,"entré par","source","sourcepath","sourcetype","year","exportsimports","sheet","marchandises","pays","value"
11,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1736,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes",18384791
12,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1737,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes",12861899
13,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1738,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes",17230625
14,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1739,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes",21787307
15,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1740,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes",17339259
16,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1741,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes",25761345
17,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1742,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes",21889901
18,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1743,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes",21418273
19,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1744,"Imports",499,"Marchandises diverses","Commerce de la Compagnie des Indes",21801869
20,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1745,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",17498846
21,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1746,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",8580310
22,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1747,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",6423601
23,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1748,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",972380
24,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1749,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",5721239
25,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1750,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",8351824
26,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1751,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",17636579
27,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1752,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",26766159
28,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1753,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",21637763
29,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1754,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",20745752
30,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1755,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",28081408
31,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1756,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",18406904
32,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1757,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes","6,336688"
33,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1758,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",14260111
34,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1759,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",10534817
35,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1760,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",2598188
36,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1761,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes","5030,013"
37,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1762,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes","4,805321"
38,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1763,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",675388
39,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1764,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",1200163
40,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1765,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes","6857,939'"
41,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1766,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",4746587
42,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1767,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",14179386
43,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1768,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",16411001
44,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1769,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",23691552
45,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1770,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",13904844
46,"Paul CHEVRET","WEBER Commerce de la compagnie des Indes 1904","National/Tableau Général/WEBER 1904 – Imports.csv","Tableau Général",1771,"Imports",500,"Marchandises diverses","Commerce de la Compagnie des Indes",17863428
