sources,product,orthographic_normalization,simplification,categorization,sitc_rev1,sitc_rev2,medicinal
toflit18,Cuirs ; forts,cuir ; fort,cuir ; fort,,6,6,
toflit18,Cuirs ; salez,cuir ; salé ; divers,cuir ; salé ; divers,cuirs ; salés,2,,
toflit18,Cuirs ; secs ; à poil,cuir ; sec ; en poil,,,,,
toflit18,Cuirs ; tannez,cuir ; tanné,cuir ; tanné,cuirs ; tannés,6,6,
toflit18,Cuivre ; non ouvré ; en rosette ou plaque,cuivre ; non ouvré ; en rosette ou plaque,cuivre ; non ouvré ; en rosette ou plaque,,6,6,
toflit18,Cuivre ; ouvré,cuivre ; ouvré,ouvrage ; de cuivre,,6,6,
toflit18,Cuivre ; rompu,cuivre ; rompu,cuivre ; rompu,,6,6,
toflit18,Damas ; Cafart,damas ; cafard,damas ; cafard,,6,6c,
toflit18,Dentelle ; d'or et d'argent,dentelle ; d'or et d'argent,dentelle ; d'or et d'argent,,6,6,
toflit18,Dentelle ; de fil,dentelle ; de fil,dentelle ; de fil,,6,6a,
toflit18,Dentelle ; de soye,dentelle ; de soie,dentelle ; de soie,,6,6c,
toflit18,"Draps ; d'Angleterre, Hollande et Espagne","drap ; d'Angleterre, de Hollande et d'Espagne","drap ; d'Angleterre, de Hollande et d'Espagne",drap,6,,
toflit18,Draps ; de douzaine,drap ; de douzaine,drap ; de douzaine,drap,6,,
toflit18,Draps ; de soye,drap ; de soie,drap ; de soie,drap,6,6c,
toflit18,Droguets,droguet,étoffe ; droguet,étoffe,6,6c,
toflit18,Etain ; non ouvré,étain ; non ouvré,étain,étain,6,6,
toflit18,Etain ; ouvré,étain ; ouvré,,,,,
toflit18,Etamine,étamette,étamette,,6,6,
toflit18,Etoffes ; de soye ; or et argent,étoffe ; de soie ; d'or et d'argent,étoffe ; de soie ; d'or et d'argent,étoffe,6,6c,
toflit18,Etoffes ; de soye ; païs etrangers,étoffe ; de soie ; étrangère,étoffe ; de soie ; étrangère,étoffe,6,6c,
toflit18,Fer ; en gueuse,fer ; en gueuse,fer ; en gueuse,,6,6,
toflit18,"Fer ; en verge, barre et batu",fer ; en verge ; barre et battu,,,,,
toflit18,Fer ; ouvré,fer ; ouvré,ouvrage ; de fer,ouvrage ; de fer,6,6,
toflit18,Fer ; vieil,fer ; vieux,fer ; vieux,fer ; vieux,6,6,
toflit18,Fil ; d'Archal,fil ; d'archal,fil ; d'archal,,6,6,
toflit18,Fil ; d'Espinay,fil ; d'Espinay,fil ; d'Espinay,,6,6,
toflit18,Fil ; d'Estoupe,fil ; d'étoupe,fil ; d'étoupe,fil,6,6a,
toflit18,Fil ; de Chanvre,fil ; de chanvre,fil ; de chanvre,fil,6,6a,
toflit18,Fil ; de fer,fil ; de fer,quincaillerie ; de fer ; fil,quincaillerie ; de fer,6,6,
toflit18,Fil ; de laine,fil ; de laine,fil ; de laine,,6,,
toflit18,Fil ; de Latton,fil ; de laiton,fil ; de laiton,fil,6,6,
toflit18,Fil ; de Lin,fil ; de lin,fil ; de lin,,6,6a,
toflit18,Fil ; de Sayette,fil ; de sayette,,,,,
toflit18,Frise ; à la Gode,frise ; à la Gode,frise ; à la Gode,,6,,
toflit18,Frisons ; d'Angleterre,frison ; d'Angleterre,,,9,,
toflit18,Fromage,fromage,fromage,fromage,0,0a,
toflit18,Futaine ; de toutes sortes,futaine ; divers,,,,,
toflit18,Genisses,bestiau ; génisse,bétail ; génisse,bétail,9,,
toflit18,Goudran,goudron,goudron,,2,,
toflit18,Harancs ; blancs,hareng ; blanc,hareng ; blanc,,0,0a,
toflit18,Harancs ; fors,hareng ; saur,hareng ; saur,,,,
toflit18,Huille ; d'Olive,huile ; d'olive,huile ; d'olive,,4,4,
toflit18,Huille ; de Baleine,huile ; de baleine,huile ; de baleine,huile,4,4,
toflit18,Huille ; de Graine,huile ; de graine,huile ; de graine,huile,4,4,
toflit18,Huille ; de Poisson,huile ; de poisson,huile ; de poisson,huile,4,4,
toflit18,Jambons,jambon,jambon,jambon,0,0a,
toflit18,Laine ; d'Autriche,laine ; d'Autriche,,,,,
toflit18,Laines ; d'Aignelin,laine ; d'agnelin,laine ; d'agnelin,laine,2,,
toflit18,Laines ; de toutes sortes,laine ; diverse,laine,laine,2,,
toflit18,Ligature ; de fil et soye,ligature ; de fil et soie,ligature ; de fil et soie,,6,6,
toflit18,Ligature ou Droguet ; de fil et laine,ligature ou droguet ; de fil et laine,ligature ou droguet ; de fil et laine,,6,6,
toflit18,Lin ; de toutes sortes,lin,lin,,2,,
toflit18,Linge ; de toutes sortes,linge ; divers,linge,,???,,
toflit18,Marroquins,peau ; apprêtée ; de maroquin,peau ; apprêtée ; de maroquin,peaux,2,,
toflit18,Mollerons,molleton,molleron,,???,,
toflit18,Moluë ; de Holande,morue ; de Hollande,,,,,
toflit18,Moluë ; seiche,morue ; sèche,poisson ; de mer ; salé ; morue,poisson,0,0a,
toflit18,Moluë ; verre,morue ; verte,,,,,
toflit18,Moucades,moucade,moucade,étoffe,6,6,
toflit18,Moutons,bestiau ; mouton,bétail ; mouton,bétail,9,,
toflit18,Mullets,mulet,mulet,mulets,9,,
toflit18,Peaux ; de Lapin,peau ; de lapin,peau ; de lapin,,2,,
toflit18,Peaux ; de Bufle,peau ; de buffle,peau ; de buffle,,2,,
toflit18,Peaux ; de Chagrin et Romagne,peau ; de chagrin et Romagne,,,,,
toflit18,Peaux ; de Chamois,peau ; de chamois,peau ; de chamois,peaux,2,,
toflit18,Peaux ; de Mouton,peau ; de mouton,peau ; de mouton,,2,,
toflit18,Peaux ; de Mouton ; en mesquis,peau ; de mouton ; apprêtée ; en mesquis,peau ; apprêtée ; de mouton ; en mesquis,peaux,2,,
toflit18,Peaux ; de Vaches ; aprestées,peau ; apprêtée ; de vache,peau ; apprêtée ; de vache,peaux,2,,
toflit18,Peaux ; de Veau ; corroyées,peau ; de veau ; corroyée,,,,,
toflit18,Peaux ; de Veau ; en Chamois,peau ; de veau ; en chamois,peau ; de veau ; en chamois,peaux ; apprêtées,2,,
toflit18,Peaux ; de Veau ; tannées,peau ; de veau ; tannée,,,,,
toflit18,Peaux ; de veaux ; à poil,peau ; de veau ; en poil,peau ; de veau ; en poil,,2,,
toflit18,Peaux ; jaune,peau ; jaune,,,,,
toflit18,Pelleterie ; aprestée,pelleterie ; apprêtée,peau ; apprêtée,peaux,2,,
toflit18,Pelleterie ; non aprestée,pelleterie ; non apprêtée,pelleterie ; non apprêtée,,2,,
toflit18,Plomb,plomb,plomb,plomb,6,6,
toflit18,Poil ; de Chevre,poil ; de chèvre,poil ; de chèvre,poil,2,,
toflit18,Porcelets,porcelet,porc ; porcelet,,0,0a,
toflit18,Porcs,porc,porc,,0,0a,
toflit18,Poullains,bête de somme ; poulain,bête de somme ; poulain,bestiaux,9,,
toflit18,Quincaillerie ; de Cuivre,quincaillerie ; de cuivre,quincaillerie ; de cuivre,quincaillerie ; de cuivre,6,6,
toflit18,Quincaillerie ; de Fer,quincaillerie ; de fer,quincaillerie ; de fer,quincaillerie ; de fer,6,6,
toflit18,"Roulleaux, Rooles",roulleau ; rooles,,,,,
toflit18,Ruban ; de Fil,ruban ; de fil,ruban ; de fil,ruban,6,6a,
toflit18,Ruban ; de Laine,ruban ; de laine,ruban ; de laine,ruban,6,,
toflit18,Ruban ; de Soye,ruban ; de soie,ruban ; de soie,ruban,6,6c,
toflit18,Satin ; de la Chine,satin ; de Chine,satin ; de Chine,,6,6c,
toflit18,Saumons ; frais,saumon ; frais,saumon ; frais,poisson,0,0a,
toflit18,Saumons ; salez,saumon ; salé,,,,,
toflit18,Savon ; blanc,savon ; blanc,savon ; blanc,savon,5,,
toflit18,Savon ; d'Alican,savon ; d'Alicante,savon ; d'Alicante,savon,5,,
toflit18,Savon ; de Marseille,savon ; de Marseille,savon ; de Marseille,savon,5,,
toflit18,Savon ; noir,savon ; noir,savon ; noir,savon,5,,
toflit18,Serges ; de Londres et autres,serge ; de Londres ; et autres,,,,,
toflit18,Soye ; cruë,soie ; crue,soie ; crue,soie,2,,
toflit18,Soye ; Teinte,soie ; teinte,soie ; teinte,soie,2,,
toflit18,Suif ; à faire Chandelle,suif ; à faire chandelle,suif ; à faire des chandelle,suif,4,4,
toflit18,Tapisseries ; de Bruxelles et autres,tapisseries ; de Bruxelles ; et autres,,,,,
toflit18,Tapisseries ; de Cuir ; doré,tapisseries ; de cuir doré,,,,,
toflit18,Toille ; à Tamis,toile ; à tamis,toile ; à tamis,,6,6a,
toflit18,Toille ; Baptiste,toile ; batiste,toile ; batiste,,6,6a,
toflit18,Toille ; bleüe,toile ; bleue,toile ; bleue,,???,,
toflit18,Toille ; d'Estoupe,toile ; d'étoupe,toile ; d'étoupe,,6,6a,
toflit18,Toille ; de Barois et Clinchamp,toile ; de Barrois ; et Clinchamp,,,,,
toflit18,Toille ; de Cotton,toile ; de coton,toile ; de coton,,6,6d,
toflit18,Toille ; de Holande,toile ; de Hollande,toile ; d'Hollande,,6,6a,
toflit18,Toille ; de Lin,toile ; de lin,toile ; de lin,,6,6a,
toflit18,Toille ; de Soye,toile ; de soie,toile ; de soie,,6,6c,
toflit18,Toille ; grosse,toile ; grosse,,,,,
toflit18,Toille ; Noyalle,toile ; noyale,toile ; noyale,,6,6a,
toflit18,Vaches,vache,,,,,
toflit18,Veaux,veau,,,,,
toflit18,Velours,velours,velours,velours,6,6c,
toflit18,Vieux ; Linge,vieux ; linge,linge ; vieux,linge,???,,
toflit18,Eaux ; de vie,eau ; de vie,eau ; de vie,eau ; de vie,1,1,
toflit18,Vin,vin,vin,vin,1,1,
toflit18,Vinaigre,vinaigre,vinaigre,vinaigre,0,0a,
toflit18,Fanons ; de baleine,baleine ; en fanon,baleine ; en fanon,baleine,0,0a,
toflit18,Toille ; d'Alemagne,toile ; d'Allemagne,,,,,
toflit18,Armes,arme,arme,arme,9,,
toflit18,Bure,bure,bure,bure,6,,
toflit18,Crespes et crespons,crêpe et crépon,crêpe et crépon,,6,6,
toflit18,Draps ; petits,drap ; petit,drap ; petit,drap,6,,
toflit18,Fer ; blanc,fer ; blanc,fer ; blanc,fer,6,6,
toflit18,Fil ; de Cardes,fil ; cardé,fil ; cardé,,6,6,
toflit18,Peaux ; d'Aigneaux ; en laine,peau ; d'agneau ; en laine,peau ; d'agneau ; en laine,peaux ; crue,2,,
toflit18,Peaux ; de Chevre ; à poil,peau ; de chèvre ; à poil,peau ; de chèvre ; à poil,,2,,
toflit18,Peaux ; de Mouton ou Chamois,peau ; de mouton ; et chamois,,,,,
toflit18,Toille ; de Chanvre,toile ; de chanvre,,,,,
toflit18,Toille ; de Quintin,toile ; de Quintin,toile ; de Quintin,,???,,
toflit18,Jumens,jument,bête de somme ; cheval,bestiaux,9,,
toflit18,Peaux ; de Chevre ; aprestées,peau ; de chèvre ; apprêtée,peau ; apprêtée ; de chèvre,peaux,2,,
toflit18,Laine ; de Vigogne,laine ; de Vigogne,laine ; de Vigogne,laine,2,,
toflit18,Lingettes,lingette,lingette,lingettes,???,,
toflit18,Bonnets ; de laine,bonnet ; de laine,bonnet ; de laine,bonnet,8,8,
toflit18,Linge ; de Toille ; d'Estoupes,lingerie ; de toile ; d'étoupe,lingerie ; de toile ; d'étoupe,lingerie,6,6a,
toflit18,Peaux ; de Chevreaux,peau ; de chevreau,peau ; de chevreau,peaux,2,,
toflit18,Treillis ; d'Allemagne,treillis ; d'Allemagne,treillis ; d'Allemagne,treillis,6,6a,
toflit18,Fil ; de couleur,fil ; de corailleur,fil ; de corailleur,fil,6,6a,
toflit18,Panestons,paneston,paneston,,???,,
toflit18,Ras et Revesche de ...,raz ; et revêche ; illisible,,,,,
toflit18,Toille ; rayée,toile ; rayée,,,,,
toflit18,Cuivre ; en rozette,cuivre ; en rosette,cuivre ; en rosette,cuivre,6,6,
toflit18,Laiton ; braisé,laiton ; braisé,laiton ; braisé,laiton,6,6,
toflit18,Tiretaine,tiretaine,tiretaine,tiretaine,6,,
toflit18,Marte ; commune et en pointe,peau ; de martre ; commune et en pointe,peau ; de martre ; commune et en pointe,,2,,
toflit18,Peaux ; d'Orignac,peau ; d'orignal,peau ; d'orignal,,2,,
toflit18,Peaux ; d'Ours,peau ; d'ours,peau ; d'ours,peaux,2,,
toflit18,Etoffes ; de laine,étoffe ; de laine,étoffe ; de laine,étoffe,6,,
toflit18,Taffetas ; d'Avignon,taffetas ; d'Avignon,taffetas ; d'Avignon,,6,6c,
toflit18,Tapis ; de Turquie,tapis ; de Turquie,tapis ; de Turquie,tapis,6,6d,
toflit18,Brocatelles ; de Venise,brocatelle ; de Venise,brocatelle ; de Venise,,???,,
toflit18,Damas ; de Luques,damas ; de Luques,damas ; de Luques,,6,6c,
toflit18,Draps ; d'or et d'argent fin,drap ; d'or et d'argent fin,drap ; d'or et d'argent fin,drap,???,,
toflit18,Fil ; de Cotton,fil ; de coton,fil ; de coton,,6,6d,
toflit18,Satin ; de Florence et Gennes,satin ; de Florence ; et Gênes,,,,,
toflit18,Soye ; des Pais Etrangers,soie ; de pays étranger,,,,,
toflit18,Frise ; seiche,frise ; sèche,frise ; sèche,,6,,
toflit18,Tripes ; de Velours,tripe ; de velours,tripe ; de velours,,6,6c,
toflit18,Peaux ; d'Aigneaux ; en Mesquis,peau ; d'agneau ; apprêtée ; en mesquis,peau ; apprêtée ; d'agneau ; en mesquis,peaux,2,,
toflit18,Boucassins,boucassin,boucassin,boucassin,6,6d,
toflit18,Chapeaux castor,chapeau ; castor,,,,,
toflit18,Eau de vie,eau ; de vie,eau ; de vie,eau ; de vie,1,1,
toflit18,Maron,marron,,,,,
toflit18,Pruneaux,pruneau,fruit ; pruneau,,0,0a,
toflit18,Sel,sel,sel,sel,2,,
toflit18,vin de Bordeaux,vin ; de Bordeaux,vin ; de France,vin ; de france,1,1,
toflit18,Vin de Saint-Jean,vin ; de Saint Jean,vin ; de Saint Jean,,1,1,
toflit18,Vin de Ré,vin ; de Ré,vin ; de Ré,vin ; de france,1,1,
toflit18,Bois de noyer,bois ; de noyer,bois ; de noyer,,2,,
toflit18,Barriques neuves,barrique ; neuve,barrique ; neuve,barrique,6,6,
toflit18,Cartes à jouer,carte ; à jouer,carte ; à jouer,cartes ; à jouer,8,8,
toflit18,Indigo,indigo,drogue ; pour la peinture et la teinture ; indigo,drogue ; pour la peinture et la teinture,5,,
toflit18,Peaux de chevreaux,peau ; de chevreau,peau ; de chevreau,peaux,2,,
toflit18,Peaux de mouton,peau ; de mouton,peau ; de mouton,,2,,
toflit18,Papier,papier,papier,papier,6,6,
toflit18,Planche De noyer,planche ; de noyer,planche ; de noyer,planches,2,,
toflit18,Pierres à fusil,pierre ; à fusil,,,,,
toflit18,Sucre Blanc,sucre ; blanc,sucre ; blanc,sucre,0,0b,
toflit18,Sucre Brut,sucre ; brut,sucre ; brut,sucre,0,0b,
toflit18,Confiture,confiture,confiture,confitures,0,0a,
toflit18,Cacao,cacao,cacao,cacao,0,0b,
toflit18,Chataigne,châtaigne,fruit ; cru ; châtaigne,fruits,0,0a,
toflit18,Fruit sec,fruit ; sec,fruit ; sec,fruits,0,0a,
toflit18,Marons,marron,,,,,
toflit18,Saffran,safran,drogue ; safran,drogues,5,,drogue ; safran
toflit18,Sucre blanc,sucre ; blanc,sucre ; blanc,sucre,0,0b,
toflit18,Sucre teste de forme,sucre ; tête ; de forme,,,,,
toflit18,Sucre Brun,sucre ; brun,sucre ; brun,sucre,0,0b,
toflit18,Vin du Cognac,vin ; de Cognac,vin ; de Cognac,vin ; de france,1,1,
toflit18,Barriques Vuides,barrique ; vide,barrique ; vide,barrique,6,6,
toflit18,Castor,castor,castor,,2,,
toflit18,Graine de Lin,graine ; de lin,graine ; de lin,graine,2,,
toflit18,Pelleterie Crue,pelleterie ; crue,peau ; non apprêtée,,2,,
toflit18,Peaux d'Ours,peau ; d'ours,peau ; d'ours,peaux,2,,
toflit18,Peaux de Loup de bois,peau ; de loup de bois,peau ; de loup ; de bois,,2,,
toflit18,Peaux de Martre,peau ; de martre,peau ; de martre,peaux,2,,
toflit18,Peaux de moutons à aprestées,peau ; apprêtée ; de mouton,peau ; apprêtée ; de mouton,peaux,2,,
toflit18,Papier de Charente,papier ; de Charente,papier ; de Charente,,6,6,
toflit18,Rognons de Castor,rognon ; de castor,rognon ; de castor,rognons ; de castor,0,0b,
toflit18,Citrons confits,citron ; confit,citron ; confit,citrons,0,0a,
toflit18,Sucre teste de Forme,sucre ; tête ; de forme,,,,,
toflit18,Vin de Bordeaux,vin ; de Bordeaux,vin ; de France,vin ; de france,1,1,
toflit18,Vin de Cognac,vin ; de Cognac,vin ; de Cognac,vin ; de france,1,1,
toflit18,Barriques vuides,barrique ; vide,barrique ; vide,barrique,6,6,
toflit18,Thé,thé,thé,thé,0,0b,
toflit18,Peau d'agneau,peau ; d'agneau,peau ; d'agneau,peaux,2,,
toflit18,Peau d'Ours,peau ; d'ours,peau ; d'ours,peaux,2,,
toflit18,Peau de Cerf,peau ; de cerf,peau ; de cerf,peaux,2,,
toflit18,Peaux de Chevereuille,peau ; de chevreuil,peau ; de chevreuil,,2,,
toflit18,Chapeaux commune,chapeau ; commun,chapeau ; commun,,,,
toflit18,Etoffe de soye,étoffe ; de soie,étoffe ; de soie,étoffe,6,6c,
toflit18,Sarge de poitou,sarge ; de poitou,sarge ; de poitou,,6,,
toflit18,Pelletrie commune,pelleterie ; commune,pelleterie ; commune,,2,,
toflit18,Rognon de Castors,rognon ; de castor,rognon ; de castor,rognons ; de castor,0,0b,
toflit18,Rocou,rocou,drogue ; pour la peinture et la teinture ; rocou,drogue ; pour la peinture et la teinture,5,,
toflit18,Pelleterie commune,pelleterie ; commune,pelleterie ; commune,,2,,
toflit18,Peaux de martre,peau ; de martre,peau ; de martre,peaux,2,,
toflit18,Peaus d'Ours,peau ; d'ours,peau ; d'ours,peaux,2,,
toflit18,Anchois,anchois,anchois,anchois,0,0a,
toflit18,Amandes,amande,amande,amande,0,0a,
toflit18,Bled Froment,bled ; froment,grain ; froment,grains,0,0a,
toflit18,Bœuf sallé,bœuf ; salé,bœuf ; salé,,0,0a,
toflit18,Café,café,café,café,0,0b,
toflit18,Capres,câpre,câpre,câpres,0,0a,
toflit18,Drogues d'apotiquaire,drogue ; d'apothicaire,drogue ; d'apothicaire,,???,,drogue ; d'apothicaire
toflit18,Epicerie,épicerie,,épicerie,0,0b,
toflit18,Farine,farine,farine,farine,0,0a,
toflit18,Figues,figue,figue,figues,0,0a,
toflit18,Huille d'Olive,huile ; d'olive,huile ; d'olive,,4,4,
toflit18,Jambon,jambon,jambon,jambon,0,0a,
toflit18,Lard,lard,lard,lard,0,0a,
toflit18,Morue Sèche,morue ; sèche,poisson ; de mer ; salé ; morue,poisson,0,0a,
toflit18,Olives,olive,olive,olives,0,0a,
toflit18,Prunneaux,pruneau,fruit ; pruneau,,0,0a,
toflit18,Ris,riz,riz,riz,0,0a,
toflit18,Raisin sec,raisin ; sec,raisin ; sec,,0,0a,
toflit18,Remèdes,remède,remède,remèdes,5,,remède
toflit18,Vin de Champagne,vin ; de Champagne,vin ; de Champagne,vin ; de france,1,1,
toflit18,Vin de Frontignan,vin ; de Frontignan,vin ; de Frontignan,vin ; de france,1,1,
toflit18,Vin d'Espagne,vin ; d'Espagne,vin ; d'Espagne,,,,
toflit18,Argent vif,argent ; vif,argent ; vif,mercure,5,,argent ; vif
toflit18,Alun,alun,alun,alun,2,,
toflit18,Amidon,amidon,amidon,amidon,5,,
toflit18,Arsons de bois,arson ; de bois,arson ; de bois,,???,,
toflit18,Bray sec,bray ; sec,bray ; sec,,5,,
toflit18,Barriques en bottes,barrique ; en botte,barrique ; en botte,barrique,6,6,
toflit18,Barres de bois,barre ; de bois,barre ; de bois,barre,2,,
toflit18,Eponge,éponge,éponge,,2,,éponge
toflit18,Fer en Verge,fer ; en verge,fer ; en verge,fer,6,6,
toflit18,Fer en Barres,fer ; en barre,fer ; en barre,,,,
toflit18,Fer en Taule,fer ; en tôle,fer ; en tôle,fer,6,6,
toflit18,Gauvron,goudron,goudron,,2,,
toflit18,Gargouffes,gargousse,,,,,
toflit18,Huile de poisson,huile ; de poisson,huile ; de poisson,huile,4,4,
toflit18,Lie de vin,lie de vin,lie de vin,lie,5,,
toflit18,Meubles à Taillandiers,meule ; à taillandier,meule ; à taillandier,,6,6,
toflit18,Ozier,osier,osier,osier,2,,
toflit18,Ocre,ocre,drogue ; pour la peinture et la teinture ; ocre,drogue ; pour la peinture et la teinture,5,,
toflit18,Plomb en plaque,plomb ; en plaque,plomb ; en plaque,,6,6,
toflit18,Rassade,rassade,,verroterie,6,6,
toflit18,Suif,suif,suif,suif,4,4,
toflit18,Therebantine,térébenthine,térébenthine,,5,,térébenthine
toflit18,Vieux oin,vieux ; oing,vieux ; oing,vieux ; oing,4,4,
toflit18,Bouton d'argent sur bois,bouton ; d'argent sur bois,bouton ; d'argent sur bois,bouton,8,8,
toflit18,Baie de foye,baie ; de foye,baie ; de foye,,???,,
toflit18,Bas de foye,baie ; de foye,baie ; de foye,,???,,
toflit18,Bas de fleuret,bas ; de fleuret,bas ; de fleuret,bas,8,8,
toflit18,Bas de Saint-Maixent,bas ; de Saint Mexant,bas ; de Saint Mexant,bas,8,8,
toflit18,Bas de fil,bas ; de fil,bas ; de fil,bas,8,8,
toflit18,Billard,billard,billard,billard,8,8,
toflit18,Bougie blanche,bougie ; blanche,bougie ; blanche,bougie,8,8,
toflit18,Barques démontées,barque ; démontée,barque ; démontée,,7,7,
toflit18,Boullets de canon,boulet ; de canon,boulet ; de canon,boulet de canon,9,,
toflit18,Bouteilles de verre,bouteille ; de verre,bouteille ; de verre,bouteille,6,6,
toflit18,Briquet,briquet,briquet,briquets,8,8,
toflit18,Couty,coutil,coutil,coutil,6,6a,
toflit18,Couvertures de laine,couverture ; de laine,couverture ; de laine,couvertures,6,6,
toflit18,Couvertures de ploc,couverture ; de ploc,couverture ; de ploc,,,,
toflit18,Chapeaux castor bordés,chapeau ; de castor ; brodé,chapeau ; de castor ; brodé,,8,8,
toflit18,Chapeaux Castor non bordées,chapeau ; de castor ; non brodé,chapeau ; de castor ; non brodé,,8,8,
toflit18,Chapeaux Demy Castor,chapeau ; demi-castor,chapeau ; demi-castor,,,,
toflit18,Chapeaux communs,chapeau ; commun,chapeau ; commun,,,,
toflit18,Couchette garnie,couchette ; garnie,couchette ; garnie,,8,8,
toflit18,Chaises pliantes,chaise ; pliante,chaise ; pliante,,8,8,
toflit18,Cuir de Roussy,cuir ; de Russie,cuir ; de Russie,cuirs,???,,
toflit18,Cuir Tanné,cuir ; tanné,cuir ; tanné,cuirs ; tannés,6,6,
toflit18,Cuivre de pompe,cuivre ; de pompe,cuivre ; de pompe,,6,6,
toflit18,Coiffe de tambou,coiffe ; de tambou,coiffe ; de tambou,,8,8,
toflit18,Cordage,cordage,cordage,cordage,6,6,
toflit18,Calotte de papier,calotte et sac de papier,calotte et sac de papier,calottes et sacs de papier,8,8,
toflit18,Couteaux,couteau,couteau,,,,
toflit18,Cuivre ouvré,cuivre ; ouvré,ouvrage ; de cuivre,,6,6,
toflit18,Cloche de fonte,cloche ; de fonte,cloche ; de fonte,cloches,8,8,
toflit18,Clous de fer,clou ; de fer,clou ; de fer,,6,6,
toflit18,Cauris,cauri,cauris,cauris,2,,
toflit18,Chandelle,chandelle,chandelle,,8,8,
toflit18,Drap de Lodève,drap ; de Lodève,drap ; de Lodève,drap,6,,
toflit18,Draperie de Poitou,draperie ; de Poitou,drap ; de Poitou,,6,,
toflit18,Dentelle de fil,dentelle ; de fil,dentelle ; de fil,,6,6a,
toflit18,Dame-jeanne,dame-jeanne,dame-jeanne,dame-jeanne,6,6,
toflit18,Etoffe argent et soye,étoffe ; soie et argent,étoffe ; soie et argent,,6,6c,
toflit18,Etamine de laine,étamine ; de laine,étamine ; de laine,étamine,6,,
toflit18,Etaing ouvré,étain ; ouvré,,,,,
toflit18,Eguilles à tabac,aiguille ; à tabac,aiguille ; à tabac,aiguille,6,6,
toflit18,Eviers,évier,évier,,,,
toflit18,Ecritoires,écritoire,ecritoire,ecritoire,8,8,
toflit18,Eau de la Reyne d'Hongrie,eau ; de la reine de Hongrie,eau ; de la reine d'Hongrie,,5,,eau ; de la reine d'Hongrie
toflit18,Fil à coudre,fil ; à coudre,fil ; à coudre,fil,6,6a,
toflit18,Fil a voille,fil ; à voile,fil ; à voile,fil,6,6a,
toflit18,Filet a pescher,filet ; pour la pêche,filet ; pour la pêche,filets,6,6,
toflit18,Fusils,fusil,arme ; à feu ; fusil,arme,9,,
toflit18,Fer ouvré,ouvrage ; de fer,ouvrage ; de fer,ouvrage ; de fer,6,6,
toflit18,Feu de fonte ouvré,ouvrage ; de fer en fonte,ouvrage ; de fer en fonte,,6,6,
toflit18,Fleau de fer,fléau ; de fer,fléau ; de fer,,,,
toflit18,Fayance,faïence,faïence,,6,6,
