country,orthographic_normalization,simplification,grouping
Guynnée,Guinée,Guinée,Colonies
Espange,Espagne,Espagne,Espagne
Isles françaises et de l'amérique,,,
Isles françoises de l'Amarique,,,
Indes orientales,Indes Orientales,Indes,Indes
Isles françaises de l'Amérique,Îles françaises de l'Amérique,Îles françaises,Colonies
Des Indes,Indes,Indes,Indes
Etats réunis de l'amérique,,,
Etats-Unis; Colonies Anglaises,États-Unis ; colonies anglaises,États-Unis d'Amérique,États-Unis d'Amérique
Etats Unis de l'amérique,,,
Etats unis de l'amerique,États-Unis d'Amérique,États-Unis d'Amérique,États-Unis d'Amérique
Genéve,Genève,Genève,Suisse
Des Isles,,,
"Isles Françoises de l'Amerique, Canada et Terre-Neuve","Îles françaises de l'Amérique, du Canada et Terre-Neuve",Îles françaises,Colonies
"Allemagne, Lorraine et le Païs","Allemagne, Lorraine et le Pays",Allemagne-Lorraine-Pays de Liège,Allemagne et Pologne (par terre)
"Espagne, Canaries et Indes Occidentales","Espagne, Canaries et Indes Occidentales",Espagne,Espagne
Nord avec villes Anseatiques,Nord qui comprend les villes hanséatiques,Villes hanséatiques-Nord,Nord
"Portugal, Isles Madere, Terceres et Acores","Portugal, île de Madère, Terceres et Açores",Portugal,Portugal
Suisse et Geneve,Genève-Suisse,Genève-Suisse,Suisse
"Espagne, Canaries et Indes Occidentalles","Espagne, Canaries et Indes Occidentales",Espagne,Espagne
Nord avec villes Anséatiques,Nord qui comprend les villes hanséatiques,Villes hanséatiques-Nord,Nord
"Isles Françoises de l'Amerique, le Canada et Terre-neuve","Îles françaises de l'Amérique, du Canada et Terre-Neuve",Îles françaises,Colonies
"Allemagne, Lorraine et Païs de Liege",Allemagne-Lorraine-Pays de Liège,Allemagne-Lorraine-Pays de Liège,Allemagne et Pologne (par terre)
"Isles Françoises de l'Amerique, le Canada et Terre-neuves","Îles françaises de l'Amérique, du Canada et Terre-Neuve",Îles françaises,Colonies
etatsunisdamrique,États-Unis d'Amérique,États-Unis d'Amérique,États-Unis d'Amérique
lorient,Lorient,Lorient,France
lorientdunkerque,Dunkerque et Lorient,Dunkerque et Lorient,France
prusse,Prusse,Prusse,Nord
angleterre,Angleterre,Angleterre,Angleterre
danemarketnorvge,Danemark-Norvège,Danemark-Norvège,Nord
sude,Suède,Suède,Nord
dunkerque,Dunkerque,Dunkerque,France
les4villesansatiques,Les 4 villes hanséatiques,Villes hanséatiques,Nord
dunkerquelorientpetitesislesb,"Dunkerque, Lorient et Petites Îles","Dunkerque, Lorient et Petites Îles",France
espagne,Espagne,Espagne,Espagne
etatsdelempereur,États de l'Empereur,États de l'Empereur,Flandre et autres états de l'Empereur
portugal,Portugal,Portugal,Portugal
russie,Russie,Russie,Nord
petitesisles,Petites Îles,Petites Îles,Petites Îles
bayonne,Bayonne,Bayonne,France
dunkerquepetitesisles,Dunkerque et Petites Îles,Dunkerque et Petites Îles,France
genveetsuisse,Genève-Suisse,Genève-Suisse,Suisse
pologne,Pologne,Pologne,Allemagne et Pologne (par terre)
allemagneetpologne,Allemagne-Pologne,Allemagne-Pologne,Allemagne et Pologne (par terre)
marseilles,Marseille,Marseille,France
milantoscaneetlucques,"Milanais, Toscane et Lucques",Milanais-Toscane,Italie
Trois Êvéchés,Trois Évêchés,Trois Évêchés,France
etatsecclesiastiques,États ecclésiastiques,États ecclésiastiques,Italie
gnes,Gênes,Gênes,Italie
dunkerquemarseille,Dunkerque et Marseille,Dunkerque et Marseille,France
venise,Venise,Venise,Italie
sardaigne,Sardaigne,Sardaigne,Italie
Petites Isles,Petites Îles,Petites Îles,Petites Îles
bayonneillisible,Bayonne et ?,Bayonne et ?,France
dunkerquebayonnemarseille,"Dunkerque, Bayonne et Marseille","Dunkerque, Bayonne et Marseille",France
france_,France,France,France
bayonnemarseille,Bayonne et Marseille,Bayonne et Marseille,France
bayonnelorient,Bayonne et Lorient,Bayonne et Lorient,France
milanstoscaneetlucques,"Milanais, Toscane et Lucques",Milanais-Toscane,Italie
lorientmarseille,Lorient et Marseille,Lorient et Marseille,France
marseillepetitesisles,Marseille et Petites Îles,Marseille et Petites Îles,France
Etats de l'Empereur,États de l'Empereur,États de l'Empereur,Flandre et autres états de l'Empereur
Allemagne et Pologne,Allemagne-Pologne,Allemagne-Pologne,Allemagne et Pologne (par terre)
allemagne,Allemagne,Allemagne,Allemagne et Pologne (par terre)
bouillon,Bouillon,Duché de Bouillon,Duché de Bouillon
lorraine,Lorraine,Lorraine,Allemagne et Pologne (par terre)
Isles,Îles,Îles,Colonies
Guinee,Guinée,Guinée,Colonies
Iles,Îles,Îles,Colonies
isles,Îles,Îles,Colonies
Espage,Espagne,Espagne,Espagne
italie,Italie,Italie,Italie
savoye,Savoie,Savoie,Italie
danemark,Danemark,Danemark,Nord
suède,Suède,Suède,Nord
nord,Nord,Nord,Nord
suede,Suède,Suède,Nord
Denmark,Danemark,Danemark,Nord
Suise,Suisse,Suisse,Suisse
???,?,?,?
??,?,?,?
?,?,?,?
Holllande,Hollande,Hollande,Hollande
Allemange,Allemagne,Allemagne,Allemagne et Pologne (par terre)
Norde,Nord,Nord,Nord
Le,Le ?,Levant,Levant
flandre,Flandre,Flandre,Flandre et autres états de l'Empereur
Non renseigné,non renseigné,?,?
Pays non indiqué,pays non indiqué,?,?
suisse,Suisse,Suisse,Suisse
Rouen,Rouen,Rouen,France
Gènes,Gênes,Gênes,Italie
Naples,Naples,Naples,Italie
Amiens,Amiens,Amiens,France
Alllemagne,Allemagne,Allemagne,Allemagne et Pologne (par terre)
geneve,Genève,Genève,Suisse
SUISSE,Suisse,Suisse,Suisse
gènes,Gênes,Gênes,Italie
N,Nord,Nord,Nord
Isle,Îles,Îles,Colonies
Suis,Suisse,Suisse,Suisse
Gène,Gênes,Gênes,Italie
Pas de pays indiqué,pays non indiqué,?,?
guinée,Guinée,Guinée,Colonies
Gen7ve,Genève,Genève,Suisse
Napels,Naples,Naples,Italie
flanc,Flandre,Flandre,Flandre et autres états de l'Empereur
flan,Flandre,Flandre,Flandre et autres états de l'Empereur
Flan,Flandre,Flandre,Flandre et autres états de l'Empereur
Suèdes,Suède,Suède,Nord
Gênes,Gênes,Gênes,Italie
indes,Indes,Indes,Indes
Guinnée,Guinée,Guinée,Colonies
gen,Gênes,Gênes,Italie
Isles et Guinee,Îles et Guinée,Îles et Guinée,Colonies
Pourtgal,Portugal,Portugal,Portugal
Noples,Naples,Naples,Italie
genes,Gênes,Gênes,Italie
GENES,Gênes,Gênes,Italie
Russa,Russie,Russie,Nord
naples,Naples,Naples,Italie
Anlgeterre,Angleterre,Angleterre,Angleterre
gennes,Gênes,Gênes,Italie
Suui,Suisse,Suisse,Suisse
Portogal,Portugal,Portugal,Portugal
Gèneve,Genève,Genève,Suisse
Venice,Venise,Venise,Italie
Savoie,Savoie,Savoie,Italie
Etats unis,États-Unis,États-Unis d'Amérique,États-Unis d'Amérique
Etats-Unis,États-Unis,États-Unis d'Amérique,États-Unis d'Amérique
Genses,Gênes,Gênes,Italie
Portigal,Portugal,Portugal,Portugal
Sardaigne,Sardaigne,Sardaigne,Italie
Barbarie,Barbarie,Barbarie,Levant
Etat de l'empreur,États de l'Empereur,États de l'Empereur,Flandre et autres états de l'Empereur
Allemagne-Pologne,Allemagne-Pologne,Allemagne-Pologne,Allemagne et Pologne (par terre)
Suisse-Geneve,Genève-Suisse,Genève-Suisse,Suisse
Etats unis d'Amerique,États-Unis d'Amérique,États-Unis d'Amérique,États-Unis d'Amérique
Milanes-Toscana,Milanais-Toscane,Milanais-Toscane,Italie
etats ecclésiastiques,États ecclésiastiques,États ecclésiastiques,Italie
Villes Auséatiques,Villes hanséatiques,Villes hanséatiques,Nord
Prusse,Prusse,Prusse,Nord
Genese,Gênes,Gênes,Italie
Etat unis de l'amerique,États-Unis d'Amérique,États-Unis d'Amérique,États-Unis d'Amérique
Milanes-Toscane,Milanais-Toscane,Milanais-Toscane,Italie
Allmagne-Pologne,Allemagne-Pologne,Allemagne-Pologne,Allemagne et Pologne (par terre)
Etats unis de l'amérique,États-Unis d'Amérique,États-Unis d'Amérique,États-Unis d'Amérique
Espagne-Portugal,Espagne-Portugal,Espagne-Portugal,Espagne-Portugal
Villes auséatiques,Villes hanséatiques,Villes hanséatiques,Nord
allmagne,Allemagne,Allemagne,Allemagne et Pologne (par terre)
Etat Eclesiastiques,États ecclésiastiques,États ecclésiastiques,Italie
pologne - Geneve,Pologne-Genève,Pologne-Genève,Allemagne et Pologne (par terre)
Angleterr,Angleterre,Angleterre,Angleterre
Geneve -Suisse,Genève-Suisse,Genève-Suisse,Suisse
Etat Ecclesiastiques,États ecclésiastiques,États ecclésiastiques,Italie
etats de l'empereur,États de l'Empereur,États de l'Empereur,Flandre et autres états de l'Empereur
Etat Unis de l'Amerique,États-Unis d'Amérique,États-Unis d'Amérique,États-Unis d'Amérique
***,?,?,?
Etat unis d'Amerique,États-Unis d'Amérique,États-Unis d'Amérique,États-Unis d'Amérique
etats eclésiastiques,États ecclésiastiques,États ecclésiastiques,Italie
Etats unis d'amériques,États-Unis d'Amérique,États-Unis d'Amérique,États-Unis d'Amérique
etats de l empereur,États de l'Empereur,États de l'Empereur,Flandre et autres états de l'Empereur
Milanais Toscane,Milanais-Toscane,Milanais-Toscane,Italie
Naples Sicile Parleme,"Naples, Sicile et Palerme",Naples-Sicile,Italie
Villes anséatiques,Villes hanséatiques,Villes hanséatiques,Nord
Etats de l'empereur,États de l'Empereur,États de l'Empereur,Flandre et autres états de l'Empereur
Suisse Genêve,Genève-Suisse,Genève-Suisse,Suisse
Etats eclésiastiques,États ecclésiastiques,États ecclésiastiques,Italie
Naples Sicile Palerme,"Naples, Sicile et Palerme",Naples-Sicile,Italie
Etats de Barbarie,état de Barbarie,Barbarie,Levant
Allemagne Pologne,Allemagne-Pologne,Allemagne-Pologne,Allemagne et Pologne (par terre)
Suisse Geneve,Genève-Suisse,Genève-Suisse,Suisse
Etats-Unis d'Amérique,États-Unis d'Amérique,États-Unis d'Amérique,États-Unis d'Amérique
Etats des Barbarie,état de Barbarie,Barbarie,Levant
Naples Sicile Parme,"Naples, Sicile et Parme",Naples-Sicile,Italie
Suisse Geneève,Genève-Suisse,Genève-Suisse,Suisse
Suisse Genève,Genève-Suisse,Genève-Suisse,Suisse
Etats écclésiastiques,États ecclésiastiques,États ecclésiastiques,Italie
Etats Ecclésiastiques,États ecclésiastiques,États ecclésiastiques,Italie
Alemagne Pologne,Allemagne-Pologne,Allemagne-Pologne,Allemagne et Pologne (par terre)
Villes anseatiques,Villes hanséatiques,Villes hanséatiques,Nord
Etat ecclesiastiques,États ecclésiastiques,États ecclésiastiques,Italie
Etat Unis d'Amèrique,États-Unis d'Amérique,États-Unis d'Amérique,États-Unis d'Amérique
Etats Eclesiastiques,États ecclésiastiques,États ecclésiastiques,Italie
Etats ecclésiastiques,États ecclésiastiques,États ecclésiastiques,Italie
etats de l'empreur,États de l'Empereur,États de l'Empereur,Flandre et autres états de l'Empereur
Etat de l'amerique,États-Unis d'Amérique,États-Unis d'Amérique,États-Unis d'Amérique
suisse geneve,Genève-Suisse,Genève-Suisse,Suisse
**,?,?,?
Toscane,Toscane,Toscane,Italie
Etat eclesiatique,États ecclésiastiques,États ecclésiastiques,Italie
Ville d'anslatique,Villes hanséatiques,Villes hanséatiques,Nord
emperend,Empereur,États de l'Empereur,Flandre et autres états de l'Empereur
Pologne,Pologne,Pologne,Allemagne et Pologne (par terre)
Villes hanséatiques,Villes hanséatiques,Villes hanséatiques,Nord
Empreur,Empereur,États de l'Empereur,Flandre et autres états de l'Empereur
Amérique,Amérique,États-Unis d'Amérique,États-Unis d'Amérique
Etat elésiastique,États ecclésiastiques,États ecclésiastiques,Italie
Ensperend,Empereur,États de l'Empereur,Flandre et autres états de l'Empereur
Ville anslatique,Villes hanséatiques,Villes hanséatiques,Nord
Sud eclésiatique,Sud ecclésiastique,États ecclésiastiques,Italie
Toseaux,Toscane,Toscane,Italie
Etat estésiatique,États ecclésiastiques,États ecclésiastiques,Italie
Suifre,Suisse,Suisse,Suisse
villes ansiatiq,Villes hanséatiques,Villes hanséatiques,Nord
Furde,Flandre,Flandre,Flandre et autres états de l'Empereur
villes ansiatiques,Villes hanséatiques,Villes hanséatiques,Nord
villes anséatiques,Villes hanséatiques,Villes hanséatiques,Nord
Etats eclesiastiques,États ecclésiastiques,États ecclésiastiques,Italie
Empereur,Empereur,États de l'Empereur,Flandre et autres états de l'Empereur
ville anséatiques,Villes hanséatiques,Villes hanséatiques,Nord
empereur,Empereur,États de l'Empereur,Flandre et autres états de l'Empereur
Villees Auséatiques,Villes hanséatiques,Villes hanséatiques,Nord
Ville auséatique,Villes hanséatiques,Villes hanséatiques,Nord
Ville Auséatique,Villes hanséatiques,Villes hanséatiques,Nord
Amériques,Amériques,États-Unis d'Amérique,États-Unis d'Amérique
Etat***,États ?,États ecclésiastiques,Italie
Villes ausiatiques,Villes hanséatiques,Villes hanséatiques,Nord
Venisr,Venise,Venise,Italie
Villes***,Villes ?,Villes hanséatiques,Nord
Espagne et les Etats en dépendants,Espagne et les état en dépendants,Espagne,Espagne
Etats du roy de Sardaigne,États du roi de Sardaigne,Sardaigne,Italie
République de Gênes,République de Gênes,Gênes,Italie
"Milanes, Toscane et Lucques","Milanais, Toscane et Lucques",Milanais-Toscane,Italie
Etat Ecclésiastique,États ecclésiastiques,États ecclésiastiques,Italie
"Naples, Sicile et Parme","Naples, Sicile et Parme",Naples-Sicile,Italie
République de Venise,République de Venise,Venise,Italie
Etats de l'Empereur : Allemagne et Flandre,États de l'Empereur : Allemagne et Flandre,États de l'Empereur : Allemagne et Flandre,Flandre et autres états de l'Empereur
Suisse et genève,Genève-Suisse,Genève-Suisse,Suisse
Danemarck et Norvège,Danemark-Norvège,Danemark-Norvège,Nord
Etats du Roy de Suède,États du roi de Suède,Suède,Nord
Etats du Roy de Prusse,États du roi de Prusse,Prusse,Nord
Russie et Courlande,Russie-Courlande,Russie-Courlande,Nord
Etats-Unis de l'Amérique,États-Unis d'Amérique,États-Unis d'Amérique,États-Unis d'Amérique
"Le Levant, l'Empire Ottoman et les Etats de Barbarie","Levant, empire Ottoman et états de Barbarie",Levant,Levant
"Entre l'étranger et les ports francs de Bayonne, Saint Jean de Luz, Lorient, Dunkerque et Marseille","entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",?,?
Saint Domingue,Saint-Domingue,Saint-Domingue,Colonies
La Martinique,Martinique,Martinique,Colonies
La Guadeloupe,Guadeloupe,Guadeloupe,Colonies
Cayenne et Guyane,Cayenne-Guyane,Cayenne-Guyane,Colonies
Tabago,Tobago,Tobago,Colonies
Sénégal et Guinée,Guinée-Sénégal,Guinée-Sénégal,Colonies
Guadeloupe,Guadeloupe,Guadeloupe,Colonies
Colonie française de l'Amérique,Colonies françaises de l'Amérique,Colonies françaises,Colonies
"Colonies francaises en Amérique,Asie et afrique","Colonies françaises en Amérique, Asie et Afrique",Colonies françaises,Colonies
Royaume d'Espagne,Royaume d'Espagne,Espagne,Espagne
Royaume de Prusse,Royaume de Prusse,Prusse,Nord
Etats d'Allemagne,États de l'Allemagne,Allemagne,Allemagne et Pologne (par terre)
République de suisse,République de Suisse,Suisse,Suisse
Royaume de Danemarck,Royaume de Danemark,Danemark,Nord
Royaume de Suede,Royaume de Suède,Suède,Nord
Milanes et toscane,Milanais-Toscane,Milanais-Toscane,Italie
République de Genes,République de Gênes,Gênes,Italie
Empire ottoman et Barbarie,Empire Ottoman et Barbarie,Levant,Levant
Royaume de sardaigne,Royaume de Sardaigne,Sardaigne,Italie
Empire d'Autriche,Empire d'Autriche,Autriche,Flandre et autres états de l'Empereur
Empire de Russie,Empire de Russie,Russie,Nord
Royaume de Portugal,Royaume du Portugal,Portugal,Portugal
Etats de Rome,États de Rome,États ecclésiastiques,Italie
Royaume de Naples,Royaume de Naples,Naples,Italie
République de VENISE,République de Venise,Venise,Italie
Royaume de genes,Royaume de Gênes,Gênes,Italie
Empire ottoman et barbarie,Empire Ottoman et Barbarie,Levant,Levant
Royaume de Genes,Royaume de Gênes,Gênes,Italie
Empire ottoman et toscane,Empire Ottoman et Toscane,Levant,Levant
Republique de Genes,République de Gênes,Gênes,Italie
Royaume de GENES,Royaume de Gênes,Gênes,Italie
République de Gènes,République de Gênes,Gênes,Italie
Empire ottoman et babbarie,Empire Ottoman et Barbarie,Levant,Levant
Royaume de naples,Royaume de Naples,Naples,Italie
Republique de Suisse,République de Suisse,Suisse,Suisse
Republique de Venise,République de Venise,Venise,Italie
Republique de Gènes,République de Gênes,Gênes,Italie
Republique de genes,République de Gênes,Gênes,Italie
Milanes de Toscane,Milanais-Toscane,Milanais-Toscane,Italie
Royaume de Sardaigne,Royaume de Sardaigne,Sardaigne,Italie
empire d'Aurtiche,Empire d'Autriche,Autriche,Flandre et autres états de l'Empereur
empire d'Autriche,Empire d'Autriche,Autriche,Flandre et autres états de l'Empereur
Royaume de Naple,Royaume de Naples,Naples,Italie
republique de Suisse,République de Suisse,Suisse,Suisse
Empoire d'Autriche,Empire d'Autriche,Autriche,Flandre et autres états de l'Empereur
Empire de sardaigne,Empire de Sardaigne,Sardaigne,Italie
Empire d'autriche,Empire d'Autriche,Autriche,Flandre et autres états de l'Empereur
Royaume de portugal,Royaume du Portugal,Portugal,Portugal
République de genes,République de Gênes,Gênes,Italie
Republique de suisse,République de Suisse,Suisse,Suisse
République de Suisse,République de Suisse,Suisse,Suisse
Etats-unis d'Amérique,États-Unis d'Amérique,États-Unis d'Amérique,États-Unis d'Amérique
Royaume de Hollande,Royaume de Hollande,Hollande,Hollande
Etats de l'Allemagne,États de l'Allemagne,Allemagne,Allemagne et Pologne (par terre)
Etats-Unis d'amérique,États-Unis d'Amérique,États-Unis d'Amérique,États-Unis d'Amérique
Royaume de Suède,Royaume de Suède,Suède,Nord
Royaume de Potugal,Royaume du Portugal,Portugal,Portugal
"Colonies francaises en Asie,Afrique en Amérique","Colonies françaises en Amérique, Asie et Afrique",Colonies françaises,Colonies
Milanes et toscane et luques,"Milanais, Toscane et Lucques",Milanais-Toscane,Italie
Villes anséatique,Villes hanséatiques,Villes hanséatiques,Nord
Royaume de suede,Royaume de Suède,Suède,Nord
Milane et toscane,Milanais-Toscane,Milanais-Toscane,Italie
Etats-Unis d'Amerique,États-Unis d'Amérique,États-Unis d'Amérique,États-Unis d'Amérique
Villes Anséatiques,Villes hanséatiques,Villes hanséatiques,Nord
Royaume de Danemark,Royaume de Danemark,Danemark,Nord
Milanie Toscane,Milanais-Toscane,Milanais-Toscane,Italie
