simplification,sitc_rev2,note
étoffe ; de coton ; drap ; de bourbon ; peint,6d,
étoffe ; de coton ; diverse,6d,
étoffe ; de coton ; divers,6d,
étoffe ; de coton ; cotonné,6d,
étoffe ; de coton ; brillant ; blanc,6d,
étoffe ; de coton,6d,
étoffe ; de chanvre,6a,
étoffe ; de castor ; raz,,
étoffe ; de capiton,6c,
étoffe ; de bourre de soie,6c,
étoffe ; de Pékin,,
étoffe ; damas,,
étoffe ; d'or,,
étoffe ; d'herbe,6a,
étoffe ; d'argent,,
étoffe ; crêpe,6c,
étoffe ; cotonnelle,6d,
étoffe ; cartignette,,
étoffe ; canelle,,
étoffe ; de laine ; camelot,,
étoffe ; barracan,,
étoffe ; auquan,,
étoffe ; mêlée de soie ; à ?,6c,
étoffe ; Lampas,6c,
étoffe ; Cirsaka,6c,
étoffe,6,
étau ; de fer,,
étamine ; à pavillon,,
étamine ; à passer fromage,,
étamine ; à bluteau,,
étamine ; rayée,,
étamine ; du Mans,,
étamine ; des prise,,
étamine ; de mi soie,,
étamine ; de laine,,
étamine ; de belzamine,,
étamine ; de Reims,,
étamine ; de Noyau,,
étamine ; de Nogent,,
étamine ; de Acims,,
étamine ; d'auvergne,,
étamine ; d'Amiens,6a,
étamine ; d'Allemagne,,
étamine ; d'agen,,
étamine ; buraite,,
étamine ; avec soie,6c,
étamine,6,
étamette dauphine casinette,,
étamette,6,
étalchasse,6,
étais en bois,,
étain ; vieux,6,
étain ; pour soudure,6,
étain ; fin,6,
etain ; en verge,6,
étain ; en lingot,6,
étain ; en feuille,6,
étain ; en cannette,6,
étain ; en bloc,6,
étain ; en bassin,6,
étain ; en barre ou en bloc,6,
étain ; en baguette,6,
étain ; divers,6,
étain ; des Indes,6,
étain ; de glace,6,
étain ; de Melac,6,
étain ; d'Angleterre,6,
étain ; brut,6,
étain ; battu,6,
étain,6,
equipement militaire,,
équipement de navire,,
épée ; montée en argent,,
épée ; montée en acier,,
épée ; masquinée,,
épée ; de cuivre,,
épée ; d'argent et de cuivre,,
épée ; d'argent,,
épée ; d'acier,,
eprouvette ; de cuivre,6,
épousterie,,
éponge ; commune et fine,,
éponge ; commune,,
éponge,,
épitaphe,,
épingle ; en cuivre,,
épingle ; de laiton,8,
épingle ; commune,,
épingle,8,
épicerie ; sucre ; en pain,0b,
épicerie ; diverse,0b,
épicerie ; poivre piment,0b,
épicerie ; poivre giroflé,0b,
épicerie ; poivre ; long,0b,
épicerie ; poivre ; en grain,0b,
épicerie ; mêlée,,
épicerie ; muscade,0b,
épicerie ; macis,0b,
epicerie ; huile ; de poisson,4,
epicerie ; huile ; de noix,4,
epicerie ; huile ; de lin et de graine,4,
epicerie ; huile ; d'olive,4,
épicerie ; gingembre ; cru,0b,
epicerie ; fine,,
épicerie ; douce,,
epicerie ; diverse,,
epicerie ; chocolat,0b,
épicerie ; cannelle ; fleur de,0b,
épicerie ; cannelle ; commune,0b,
éperon,,
épeautre ; en gerbe,,
grain ; épeautre,,
épart ; simple,6,
épart ; bris,6,
épart,6,
emery ; rouge,,
emery ; en pierre,,
elixir,,
égouttoir ; à fondre,,
égouttoir,,
églefin ; séché,,
écuelle ; de vermillon,8,
écuelle ; de terre,8,
ecru ; de cerise,,
ecritoire ; garni d'or,8,
ecritoire,8,
écrin ; peint,,
écrin,,
écrevisse de rivière,,
écrevisse de mer,,
écrevisse,,
écran,,
ecorce ; à tanner,,
ecorce ; diverse,,
ecorce ; de tilleul,,
ecorce ; de soie,,
ecorce ; de pin ; en poussière,,
ecorce ; de grenade,,
ecorce ; de cèdre,,
écorce ; de citron et d'orange,,
ecorce ; de citron confit,,
écorce ; de citron ; séchée,,
ecorce ; de chêne moulue,,
ecorce ; de chanvre,,
écorce ; de bouleau,,
ecorce ; de bois,,
écorce ; de bergamote,,
ecorce ; de chêne,,
ecorce ; d'orange et de citron,0a,
ecorce ; d'orange ; sergal,0a,
ecorce ; d'orange,0a,
"ecorce ; d'arbre, bast, foularde",,
ecorce ; d'arbre étoffe,,
ecorce ; d'arbre,,
ecorce,,
échelle,,
écharpe et gaze,,
écharpe ; de soie,,
échantillon et morceau de soie,,
echalote,0a,
ecarlate,,
écaille ; octomœe,,
écaille ; de tortue,,
écaille ; de caret,,
ebénisterie,6,
ânon,,
zédoaria,,
zingar,,
zinc,6,
bigarade ; zeste,0a,
zain,,
wuinnes,,
wollegoet,,
wagon ; artillerie,,
wagon,,
wagheschot ; scié en planche,,
wagheschot ; en blocq,,
végétal,,
vulnéraire ; de Suisse,,
vuide Constance,,
vrille,6,
voëdes,,
volant ; de camelot,8,
volant,8,
voiture,7,
voile ; de laine,,
voile,6,
vlottes,,
drogue ; métallique ; vitriol ; de Chypre,,
vitriol ; blanc,,
vis ; en fer,,
vis,,
virez,,
vipérine ; en racine,,
vipérine,,
violoncelle,8,
vinaigre ; ordinaire,0a,
vinaigre ; de vin,,
vinaigre ; de cidre,,
vinaigre ; de bière,0a,
vinaigre ; de composition,0a,
vinaigre,0a,
vin ; étranger,1,
vin ; sucré,,
vin ; rouge ; commun,1,
vin ; rouge,1,
vin ; ordinaire ; en miel,1,
vin ; ordinaire,1,
vin ; noir,1,
vin ; jauge gros bard,1,
vin ; Soissons,1,
vin ; idem ; de montagne,,
vin ; idem ; de la Ferté,,
vin ; idem ; de Ville,,
vin ; idem ; de Rully,,
vin ; idem ; de Rota,1,
vin ; idem ; de Reims,1,
vin ; idem ; d'Alicante,1,
vin ; idem ; Meursault,,
vin ; hors,1,
vin et eau de vie,,
vin ; du Portugal,1,
vin ; du Languedoc,1,
vin ; du Haut-Pays,,
vin ; du Fayal,1,
vin ; du Croisic,1,
vin ; du Comté,1,
vin ; du Cap Breton,1,
vin ; du Cap,1,
vin ; doux,1,
vin ; divers,1,
vin ; dit Bleckaert,,
vin ; des Îles,,
vin ; des Canaries,1,
vin ; de ville,1,
vin ; de rivière,1,
vin ; de poisson,1,
vin ; de montagne,1,
vin ; de liqueur,1,
vin ; en fût,1,
vin ; de hors,1,
vin ; de haut,1,
vin ; de deviet,1,
vin ; de Vienne,1,
vin ; de Touraine,1,
vin ; de Tinto,1,
vin ; de Thiaucourt,,
vin ; de Suisse,1,
vin ; de St. Seau,1,
vin ; de St. Jean,1,
vin ; de St. Laurent,1,
vin ; de Sicile,,
vin ; de Savoie,1,
vin ; de Samos,,
vin ; de Ste. Foy,1,
vin ; de Saint Jean,1,
vin ; de Saint Ange,1,
vin ; de Ré,1,
vin ; de Rouys,1,
vin ; de Rots,1,
vin ; de Rota,1,
vin ; de Rome,,
vin ; de Rochefort,1,
vin ; de Rivesac,1,
vin ; du Rhin,1,
vin ; de Ranijo,1,
vin ; de Querey,1,
vin ; de Quercy,1,
vin ; de Prague,1,
vin ; de Portugal,1,
vin ; de Poitou,,
vin ; de Picardan,1,
vin ; de Palme,1,
vin ; de Navarre,1,
vin ; de N. Jean,1,
vin ; de Mâcon,1,
vin ; de Murville,,
vin ; de Mursante,1,
vin ; de Moselle,1,
vin ; de Mezac,1,
vin ; de Metz,,
vin ; de Marennes,1,
vin ; de Manheim,1,
vin ; de Malvoisie,1,
vin ; de Malaga,1,
vin ; de Lyon,1,
vin ; de Lorraine,1,
vin ; de Langres,1,
vin ; de La Rochelle,1,
vin ; de Haule,1,
vin ; du Hainaut,1,
vin ; de Gênes,1,
vin ; de Guacy,1,
vin ; de Grèce,1,
vin ; de Gilly,,
vin ; de Gensac,1,
vin ; de Garonne,1,
vin ; de Gaillac,1,
vin ; de Frontignan,1,
vin ; de Frontignac,,
vin ; de Provence,1,
vin ; de France ; de Gascogne,1,
vin ; de France ; de Champagne,1,
vin ; de Bordeaux,1,
vin ; de France ; de Bordeaux,1,
vin ; de Florence,,
vin ; de Flandres,1,
vin ; de Domé,1,
vin ; de Dijon,1,
vin ; de Dauphiné,1,
vin ; de Coste,1,
vin ; de Corse,,
vin ; de Constance,1,
vin ; de Condrieux,1,
vin ; de Comté,1,
vin ; de Cognac,1,
vin ; de Clerac,1,
vin ; de Cioutan,1,
vin ; de Chypre,1,
vin ; de Chenove,1,
vin ; de Charente,1,
vin ; de Champagne,1,
vin ; de Chalons,,
vin ; de Chagny,1,
vin ; de Cette,1,
vin ; de Catalogne,1,
vin ; de Canaries,1,
vin ; de Cahors,1,
vin ; de Cabreton,1,
vin ; de Béziers,,
vin ; de Bugey,1,
vin ; de Bretagne,1,
vin ; de Bourgogne ; de la Ferté,1,
vin ; de Bourgogne ; de grand,1,
vin ; de Bourgogne ; de Tonnerre,1,
vin ; de Bourgogne ; de Suvigny,1,
vin ; de Bourgogne ; de Rully,1,
vin ; de Bourgogne ; de Poutigny,1,
vin ; de Bourgogne ; de Mursault,1,
vin ; de Bourgogne ; de mercuray,1,
vin ; de Bourgogne ; de Gilly,1,
vin ; de Bourgogne ; de Gevray,1,
vin ; de Bourgogne ; de Dijon,1,
vin ; de Bourgogne ; de Comté,,
vin ; de Bourgogne ; de Chalons,1,
vin ; de Bourgogne ; de Chagny,1,
vin ; de Bourgogne ; de Chablis,,
vin ; de Bourgogne ; de Beaune,1,
vin ; de Bourgogne ; d'Auxonne,1,
vin ; de Bourgogne ; d'Auxerre,1,
vin ; de Bourgogne ; d'Arbois,1,
vin ; de Bourgogne,1,
vin ; de Bordeaux ; de ville,1,
vin ; de Castillon,1,
vin ; de Médoc,1,
vin ; de Bordeaux ; de Blaye,1,
vin ; de France,1,
vin ; de Bergerac,1,
vin ; de Benicarlo,,
vin ; de Beaune,1,
vin ; de Bayonne,1,
vin ; de Barrois,1,
vin ; de Barcelone,1,
vin ; de Bar,,
vin ; de Amont,1,
vin ; d'orange,1,
vin ; d'or ; de ville,,
vin ; d'or ; de haut,,
vin ; d'or ; de Nuits,,
vin ; d'or ; de Mâcon,,
vin ; d'or ; de Dijon,,
vin ; d'or ; de Beaune,,
vin ; d'or ; d'Auxerre,,
vin ; d'aigluillon,1,
vin ; d'absinthe,1,
vin ; d'Orléans,1,
vin ; d'Oléron rouge,1,
vin ; d'Oléron,1,
vin ; d'Italie,,
vin ; d'Espagne et de liqueur,,
vin ; d'Espagne ; de Xérès,1,
vin ; d'Espagne ; de Rota,1,
vin ; d'Espagne ; de Rancio,1,
vin ; d'Espagne ; de Pacarel,1,
vin ; d'Espagne ; de Navarre,1,
vin ; d'Espagne ; de Malaga,1,
vin ; d'Espagne ; de Madère,1,
vin ; d'Espagne ; de Madres,1,
vin ; de Barcelonne,1,
vin ; d'Espagne ; Tinto,1,
vin ; d'Espagne,,
vin ; d'Auxerre,1,
vin ; d'Aument,1,
vin ; d'Aubagne,1,
vin ; d'Arbois,1,
vin ; d'Amour,1,
vin ; d'Amont,1,
vin ; d'Ambrion,1,
vin ; d'Alicante,1,
vin ; cuit,1,
vin ; blanc,,
vin ; Nantais,1,
vin ; Malvoisie,1,
vin ; Dan ; de ville,1,
vin ; de Bordeaux ; de haut,1,
vin ; de Bourg,1,
vin ; de Blaye,1,
vin ; Champagne,1,
vif d'argent,,
vieux ; oing,4,
viande ; salée,,
viande ; fumée,0a,
viande ; de mouton,,
viande ; de bœuf,,
viande ; d'agneau,,
viande,,
veste ; de toile ; brodée,8,
veste ; de soie,8,
veste ; de drap ; brodée ; en or,8,
veste,8,
vessie ; natatoire,,
vessie,,
vesce,,
vert moulu,,
vert,,
verrunes,,
verrerie ; diverse,6,
verrerie,6,
verre ; à vin,6,
verre ; à boire,6,
verre ; verroterie,6,
verre ; à vitre,6,
verre ; pour montre,,
verre ; pour lustre,,
ouvrage ; de verre ; en table,8,
verre ; moulein,6,
verre ; filé,,
ouvrage ; de verre ; bouteille,8,
verre ; de montre,6,
verre ; de mer,6,
verre ; de lampe,6,
verre ; de grin,6,
verre ; de cristallin,,
verre ; de baromètre,6,
verre ; de Venise,,
verre ; de Saint Louis,8,
verre ; de Lorraine,6,
verre ; de Hessen,,
verre ; de France,,
verre ; de Bohème,6,
verre ; de Barrois,6,
verre ; d'antimoine,6,
verre ; d'ambre,6,
verre ; d'Alsace,6,
verre ; d'Allemagne,6,
verre ; en table,6,
verre ; cristallin,6,
verre ; cassé ; en groisil,,
verre ; cassé,,
verre,6,
vermillon,,
vermeille,,
verjus,,
vergue ; de navire,6,
vergue,6,
verd ; rouge,,
verd ; distillé,,
verd ; de vessie,,
verd ; de montagne,,
verd ; de mer,,
verd ; d'eau,,
ambre ; vert,,
verd ; d'Espagne,,
verd,,
vendange,,
velours ; uni,6c,
velours ; de soie,,
velours ; de gueux,6d,
velours ; de coton,6d,
velours ; de Gênes,,
velours ; d'Utrecht,6,
velours ; avec argent,6c,
velours,6c,
veiles,,
veaux-oing,,
vaude,,
vatons,,
vase,6,
vas ; du Rhin,,
vanille,0b,
vandes,,
van ; à vanner,6,
valtones,,
vaisselle ; terre,6,
vaisselle ; plate,6,
vaisselle ; de terre,6,
vaisselle ; de bois,6,
vaisselle ; d'étain,6,
vaisselle ; d'or,6,
vaisselle ; d'argent,6,
vaisselle,6,
ustensile ; de ménage,,
tôle ; de cuivre,,
tôle,,
tête ; de morue,,
tête ; de clou de girofle,,
tétras ; noir,,
térébenthine ; en pâte,,
térébenthine ; de Venise,,
térébenthine ; commune,,
térébenthine,,
télescope,8,
tuyau ; d'orgue,,
tutilly,,
tutie,,
tutic,,
turquoise,6,
poisson ; turbot ; salé,,
poisson ; turbot,,
turbit,,
tulle,,
tuile ; plate,,
toile ; de Bretagne ; de Pontivy,6a,
tuile ; courbée,,
tube ; long,,
trully,,
truffe ; sèche,0a,
truffe ; noire,0a,
truffe,0a,
tripoli,,
tripe ; sur soie,,
tripe ; de velours,6c,
tripe ; de laine,,
tripe ; de Lannoy,,
tripe,,
trictrac,8,
tresse ; de soie,6c,
tresse ; de laine,,
tresse ; de fleuret,6c,
tresse ; de fil,6a,
tresse ; d'or et d'argent,8,
tresse ; d'or,6,
tresse ; d'argent,6,
tremille,7,
treillis ; d'Allemagne,6a,
treillis,6a,
trait ; d'or,8,
toutenague,6,
tours ; de lit ; de bourre,7,
tours,7,
touron,,
tournesol ; en drapeau,,
tournesol,,
tournebroche,6,
tourbe,,
tour ; à filer,7,
tour ; pour tourneur,,
tortue,0a,
tord ; gros,6,
tonneau ; à bière,,
tonneau ; vide,6,
tonneau ; en bois,,
tonneau,6,
tondelle,,
tombeau,,
toilette ; de femme,8,
toilette ; de bois,8,
toilette,8,
toile ; étrangère ; du Piémont,6c,
toile ; étrangère,6c,
toile ; à voile,6a,
toile ; à treillis,6a,
toile ; à tapisser,,
toile ; à tamis,6a,
toile ; à peindre,,
toile ; à pavillon,6a,
toile ; à paillasse,6a,
toile ; à drapeau,,
toile ; à doubler,6a,
toile ; à canevas,6a,
toile ; à bas,,
toile ; sangalette,6d,
toile ; royale,6a,
toile ; rouge,,
toile ; pressée,6a,
toile ; presitte,6a,
toile ; pour tente,6a,
toile ; pour talliet,,
toile ; pour tableau,6a,
toile ; pour tabac,,
toile ; pour serviette,,
toile ; à matelas,6a,
toile ; pour ameublement,,
toile ; de Poméranie,,
toile ; platille,6a,
toile ; petite,6a,
toile ; peinte ; imprimée,6a,
toile ; ouvrée,6a,
toile ; noyale,6a,
toile ; non battue,6a,
toile ; étoffe ; coton ; nankin,6d,
toile ; montagne,6a,
toile ; nicanéas,6d,
toile ; manouf,6a,
toile ; manche,6a,
toile ; lustrée,6a,
toile ; linon ; batiste,6a,
toile ; linon,6a,
toile ; linge de table ; vieux,6a,
toile ; lavée,6a,
toile ; killis,6d,
toile ; kettroy,,
toile ; indienne,6d,
toile ; imprimée,6d,
toile ; idem ; fin,,
toile ; idem ; d'Olonne,,
toile ; guinée ; bleue,6d,
toile ; guinée,6d,
toile ; gros fort,6a,
toile ; grise ; non battue,6a,
toile ; grise,6a,
toile ; gracienne,6a,
toile ; gommée,6a,
toile ; gingas ; nationale,6a,
toile ; gingas,6a,
toile ; flamande,,
toile ; fine,6a,
toile ; sac,6a,
toile et fil,6a,
toile et bonneterie,8,
toile ; en serviette,6a,
toile ; linge de table,6a,
toile ; en fair,6,
toile ; en chemise,6a,
toile ; embabis,6a,
toile ; découpée,6a,
toile ; dure,6a,
toile ; du pays,,
toile ; du Lyonnais,,
toile ; du Béarn,6a,
toile ; diverse ; en batiste,6a,
toile ; de voile,6a,
toile ; de soie,6c,
toile ; de ploc,,
toile ; de platille,6a,
toile ; de paille,6a,
toile ; de lisson,,
toile ; de lin ; écrue,6a,
toile ; de lin ; à matelas,6a,
toile ; de lin ; à doubler,6a,
toile ; de lin ; toilette,6a,
toile ; de lin ; teinte,6a,
toile ; de lin ; royale,6a,
toile ; de lin ; rayée,6a,
toile ; de lin ; platille,6a,
toile ; de lin ; linon ; brodée,6a,
toile ; de lin ; linon,6a,
toile ; de lin ; lingerie,6a,
toile ; de lin ; indigo,6a,
toile ; de lin ; imprimée,6a,
toile ; de lin ; grosse pointe,6a,
toile ; de lin ; grosse,6a,
toile ; de lin ; gingas,6a,
toile ; de lin ; fine ; de Hollande,6a,
toile ; de lin ; fine,6a,
toile ; de lin ; fin,6a,
toile ; de lin ; de bernay,6a,
toile ; de lin ; de Valenciennes,6a,
toile ; de lin ; de Troyes,6a,
toile ; de lin ; de St. Quentin,6a,
toile ; de lin ; de St. Malo,6a,
toile ; de lin ; de Servins,6a,
toile ; de lin ; de Senlis,6a,
toile ; de lin ; de Russie,6a,
toile ; de lin ; de Rouen,6a,
toile ; de lin ; de Pinon,6a,
toile ; de lin ; de Marigny,6a,
toile ; de lin ; de Lille,6a,
toile ; de lin ; de Laval,6a,
toile ; de lin ; de Hollande,6a,
toile ; de lin ; de Gand,6a,
toile ; de lin ; de Frise,6a,
toile ; de lin ; de Flandre,6a,
toile ; de lin ; de Cholet,6a,
toile ; de lin ; de Beauvais,6a,
toile ; de lin ; de Beaujolais,6a,
toile ; de lin ; d'Amiens,6a,
toile ; de lin ; d'Alençon,6a,
toile ; de lin ; d'Abbeville,6a,
toile ; de lin ; crue,6a,
