country,orthographic_normalization,note
"Entre l'étranger et les ports francs de Bayonne, Saint Jean de Luz, Lorient, Dunkerque et Marseille","entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",
"Le Levant, l'Empire Ottoman et les Etats de Barbarie","Levant, empire Ottoman et états de Barbarie",
Etats-Unis de l'Amérique,États-Unis d'Amérique,
Russie et Courlande,Russie-Courlande,
Etats du Roy de Prusse,États du roi de Prusse,
Etats du Roy de Suède,États du roi de Suède,
Danemarck et Norvège,Danemark-Norvège,
Suisse et genève,Genève-Suisse,
Etats de l'Empereur : Allemagne et Flandre,États de l'Empereur : Allemagne et Flandre,
République de Venise,République de Venise,
"Naples, Sicile et Parme","Naples, Sicile et Parme",
Etat Ecclésiastique,États ecclésiastiques,
"Milanes, Toscane et Lucques","Milanais, Toscane et Lucques",
République de Gênes,République de Gênes,
Etats du roy de Sardaigne,États du roi de Sardaigne,
Espagne et les Etats en dépendants,Espagne et les état en dépendants,
Villes***,Villes ?,
Venisr,Venise,
Villes ausiatiques,Villes hanséatiques,
Etat***,États ?,
Amériques,Amériques,
Ville Auséatique,Villes hanséatiques,
Ville auséatique,Villes hanséatiques,
Villees Auséatiques,Villes hanséatiques,
empereur,Empereur,
ville anséatiques,Villes hanséatiques,
Empereur,Empereur,
Etats eclesiastiques,États ecclésiastiques,
villes anséatiques,Villes hanséatiques,
villes ansiatiques,Villes hanséatiques,
Furde,Flandre,
villes ansiatiq,Villes hanséatiques,
Suifre,Suisse,
Etat estésiatique,États ecclésiastiques,
Toseaux,Toscane,
Sud eclésiatique,Sud ecclésiastique,
Ville anslatique,Villes hanséatiques,
Ensperend,Empereur,
Etat elésiastique,États ecclésiastiques,
Amérique,Amérique,
Empreur,Empereur,
Villes hanséatiques,Villes hanséatiques,
Pologne,Pologne,
emperend,Empereur,
Ville d'anslatique,Villes hanséatiques,
Etat eclesiatique,États ecclésiastiques,
Toscane,Toscane,
**,?,
suisse geneve,Genève-Suisse,
Etat de l'amerique,États-Unis d'Amérique,
etats de l'empreur,États de l'Empereur,
Etats ecclésiastiques,États ecclésiastiques,
Etats Eclesiastiques,États ecclésiastiques,
Etat Unis d'Amèrique,États-Unis d'Amérique,
Etat ecclesiastiques,États ecclésiastiques,
Villes anseatiques,Villes hanséatiques,
Alemagne Pologne,Allemagne-Pologne,
Etats Ecclésiastiques,États ecclésiastiques,
Etats écclésiastiques,États ecclésiastiques,
Suisse Genève,Genève-Suisse,
Suisse Geneève,Genève-Suisse,
Naples Sicile Parme,"Naples, Sicile et Parme",
Etats des Barbarie,état de Barbarie,
Etats-Unis d'Amérique,États-Unis d'Amérique,
Suisse Geneve,Genève-Suisse,
Allemagne Pologne,Allemagne-Pologne,
Etats de Barbarie,état de Barbarie,
Naples Sicile Palerme,"Naples, Sicile et Palerme",
Etats eclésiastiques,États ecclésiastiques,
Suisse Genêve,Genève-Suisse,
Etats de l'empereur,États de l'Empereur,
Villes anséatiques,Villes hanséatiques,
Naples Sicile Parleme,"Naples, Sicile et Palerme",
Milanais Toscane,Milanais-Toscane,
etats de l empereur,États de l'Empereur,
Etats unis d'amériques,États-Unis d'Amérique,
etats eclésiastiques,États ecclésiastiques,
Etat unis d'Amerique,États-Unis d'Amérique,
***,?,
Etat Unis de l'Amerique,États-Unis d'Amérique,
etats de l'empereur,États de l'Empereur,
Etat Ecclesiastiques,États ecclésiastiques,
Geneve -Suisse,Genève-Suisse,
Angleterr,Angleterre,
pologne - Geneve,Pologne-Genève,
Etat Eclesiastiques,États ecclésiastiques,
allmagne,Allemagne,
Villes auséatiques,Villes hanséatiques,
Espagne-Portugal,Espagne-Portugal,
Etats unis de l'amérique,États-Unis d'Amérique,
Allmagne-Pologne,Allemagne-Pologne,
Milanes-Toscane,Milanais-Toscane,
Etat unis de l'amerique,États-Unis d'Amérique,
Genese,Gênes,
Prusse,Prusse,
Villes Auséatiques,Villes hanséatiques,
etats ecclésiastiques,États ecclésiastiques,
Milanes-Toscana,Milanais-Toscane,
Etats unis d'Amerique,États-Unis d'Amérique,
Suisse-Geneve,Genève-Suisse,
Allemagne-Pologne,Allemagne-Pologne,
Etat de l'empreur,États de l'Empereur,
Barbarie,Barbarie,
Sardaigne,Sardaigne,
Portigal,Portugal,
Genses,Gênes,
Etats-Unis,États-Unis,
Etats unis,États-Unis,
Savoie,Savoie,
Venice,Venise,
Gèneve,Genève,
Portogal,Portugal,
Suui,Suisse,
gennes,Gênes,
Anlgeterre,Angleterre,
naples,Naples,
Russa,Russie,
GENES,Gênes,
genes,Gênes,
Noples,Naples,
Pourtgal,Portugal,
Isles et Guinee,Îles et Guinée,
gen,Gênes,
Guinnée,Guinée,
indes,Indes,
Gênes,Gênes,
Suèdes,Suède,
Flan,Flandre,
flan,Flandre,
flanc,Flandre,
Napels,Naples,
Gen7ve,Genève,
guinée,Guinée,
Pas de pays indiqué,pays non indiqué,
Gène,Gênes,
Suis,Suisse,
Isle,Îles,
N,Nord,
gènes,Gênes,
SUISSE,Suisse,
geneve,Genève,
Alllemagne,Allemagne,
Amiens,Amiens,
Naples,Naples,
Gènes,Gênes,
Rouen,Rouen,
suisse,Suisse,
Pays non indiqué,pays non indiqué,
Non renseigné,non renseigné,
flandre,Flandre,
Le,Le ?,
Norde,Nord,
Allemange,Allemagne,
Holllande,Hollande,
?,?,
??,?,
???,?,
Suise,Suisse,
Denmark,Danemark,
suede,Suède,
nord,Nord,
suède,Suède,
danemark,Danemark,
savoye,Savoie,
italie,Italie,
Espage,Espagne,
isles,Îles,
Iles,Îles,
Guinee,Guinée,
Isles,Îles,
lorraine,Lorraine,
bouillon,Bouillon,
allemagne,Allemagne,
Allemagne et Pologne,Allemagne-Pologne,
Etats de l'Empereur,États de l'Empereur,
marseillepetitesisles,Marseille et Petites Îles,
lorientmarseille,Lorient et Marseille,
milanstoscaneetlucques,"Milanais, Toscane et Lucques",
bayonnelorient,Bayonne et Lorient,
bayonnemarseille,Bayonne et Marseille,
france_,France,
dunkerquebayonnemarseille,"Dunkerque, Bayonne et Marseille",
bayonneillisible,Bayonne et ?,
Petites Isles,Petites Îles,
sardaigne,Sardaigne,
venise,Venise,
dunkerquemarseille,Dunkerque et Marseille,
gnes,Gênes,
etatsecclesiastiques,États ecclésiastiques,
Trois Êvéchés,Trois Évêchés,
milantoscaneetlucques,"Milanais, Toscane et Lucques",
marseilles,Marseille,
allemagneetpologne,Allemagne-Pologne,
pologne,Pologne,
genveetsuisse,Genève-Suisse,
dunkerquepetitesisles,Dunkerque et Petites Îles,
bayonne,Bayonne,
petitesisles,Petites Îles,
russie,Russie,
portugal,Portugal,
etatsdelempereur,États de l'Empereur,
espagne,Espagne,
dunkerquelorientpetitesislesb,"Dunkerque, Lorient et Petites Îles",
les4villesansatiques,Les 4 villes hanséatiques,
dunkerque,Dunkerque,
sude,Suède,
danemarketnorvge,Danemark-Norvège,
angleterre,Angleterre,
prusse,Prusse,
lorientdunkerque,Dunkerque et Lorient,
lorient,Lorient,
etatsunisdamrique,États-Unis d'Amérique,
"Isles Françoises de l'Amerique, le Canada et Terre-neuves","Îles françaises de l'Amérique, du Canada et Terre-Neuve",
"Allemagne, Lorraine et Païs de Liege",Allemagne-Lorraine-Pays de Liège,
"Isles Françoises de l'Amerique, le Canada et Terre-neuve","Îles françaises de l'Amérique, du Canada et Terre-Neuve",
Nord avec villes Anséatiques,Nord qui comprend les villes hanséatiques,
"Espagne, Canaries et Indes Occidentalles","Espagne, Canaries et Indes Occidentales",
Suisse et Geneve,Genève-Suisse,
"Portugal, Isles Madere, Terceres et Acores","Portugal, île de Madère, Terceres et Açores",
Nord avec villes Anseatiques,Nord qui comprend les villes hanséatiques,
"Espagne, Canaries et Indes Occidentales","Espagne, Canaries et Indes Occidentales",
"Allemagne, Lorraine et le Païs","Allemagne, Lorraine et le Pays",
"Isles Françoises de l'Amerique, Canada et Terre-Neuve","Îles françaises de l'Amérique, du Canada et Terre-Neuve",
Des Isles,,
Genéve,Genève,
Etats unis de l'amerique,États-Unis d'Amérique,
Etats Unis de l'amérique,,
Etats-Unis; Colonies Anglaises,États-Unis ; colonies anglaises,
Etats réunis de l'amérique,,
Des Indes,Indes,
Isles françaises de l'Amérique,Îles françaises de l'Amérique,
Indes orientales,Indes Orientales,
Isles françoises de l'Amarique,,
Isles françaises et de l'amérique,,
Espange,Espagne,
Guynnée,Guinée,
Allemagne et Lorraine,Allemagne-Lorraine,
Isles françaises de l'Amerique,Îles françaises de l'Amérique,
Indes,Indes,
Isles francoises de l'Amerique,Îles françaises de l'Amérique,
Venise,Venise,
Savoye,Savoie,
Indes Orientales,Indes Orientales,
Indes Occidentales,,
Isles et Colonies françaises,Îles et colonies françaises,
L'Indes,Indes,
L'Inde,Indes,
Iles française de l'Amérique,Îles françaises de l'Amérique,
Inde,Indes,
Isles Françoises de l'amerique,,
Le Danemarck,Danemark,
Nord y compris les villes anséatiques,,
Le Porugal,Portugal,
Isles françoises d'Amerique,,
Suisse,Suisse,
Gennes,Gênes,
Isle françoises de l'Amérique,,
Isles Françoises de l'Amerique,,
Naples et Sicile,Naples-Sicile,
Angletterre,Angleterre,
Isles francoises de lamerique,Îles françaises de l'Amérique,
Genes,Gênes,
Isles françoises,Îles françaises,
La Geneve,Genève,
Isles françaises,,
Flandres,Flandre,
Genève,Genève,
La Genêve,Genève,
Geneve,Genève,
La Flandre,Flandre,
Nord qui comprend les villes anseatiques,,
Danemarck,Danemark,
Pour les Isles Françaises de l'Amérique,Îles françaises de l'Amérique,
Nord qui comprend les villes anscéatiques,,
Isles françoises de l'Amerique,Îles françaises de l'Amérique,
La Savoye,Savoie,
Nord qui comprend les villes anséatiques,,
Nord qui comprend les villes ansceatiques,,
Les Isles françaises de l'Amérique,Îles françaises de l'Amérique,
La Suisse et la Geneve,Genève-Suisse,
Isles francaises de l'amerique,Îles françaises de l'Amérique,
Russie,Russie,
Isles françaises de l'ameriques,Îles françaises de l'Amérique,
La Suede,Suède,
La Russie,Russie,
Flandre,Flandre,
Les Isles françaises,Îles françaises,
Flandre Autrichienne,Flandre Autrichienne,
La Flandre autrichienne,Flandre Autrichienne,
Rusie,Russie,
Isles françaises de l'amérique,Îles françaises de l'Amérique,
Des Isles Françoises de l'Amérique & de Terreneuve,,
de Portugal,,
d'Espagne,,
de la Suede,,
De Danemarck,,
de Russie,,
Du Nord qui comprend les villes Anseatiques et la Moscovie,,
De Hollande,,
d'Angleterre,,
Isles françoises de l'amerique et pour terre neuve,,
La Suisse et Genève,Genève-Suisse,
Des Iles françoises de l'Amérique et de Terre-Neuve,,
De Portugal,,
D'Espagne,,
De la Suede,,
de Dannemark,,
Du Nord qui comprend les villes Anséatiques et la Moscovie,,
D'hollande,,
D'Angleterre,,
Isles françaises de l'Amérique et pour Terre neuve,,
Nord qui comprend les villes anseatiques et la moscovie,,
Flandre autrichienne,Flandre Autrichienne,
La Suisse,Suisse,
La Flandre Autrichienne,Flandre Autrichienne,
Nord qui comprend les villes de anséatiques et la Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,
L'Allemagne,Allemagne,
La Flandre Autrichiènne,Flandre Autrichienne,
Isles francoises de l'amérique,,
Suisse et geneve,,
Iles françaises de lamerique,,
Savoye et Piemont,Savoie et Piémont,
La sued,,
Du nord,,
Isles françois de l'Amérique,,
Pour la Suisse et Geneve,,
Pour la Suede,,
Iles Françaises de l'amerique,,
La suede,,
Du nord qui coprend les cilles anséattiques et la Moscovie,,
Islkes françoises de l'Amérique et du Canada,Îles françaises de l'Amérique et du Canada,
Allemagne,Allemagne,
De Levant,Levant,
Lorraine et l'Allemagne,Allemagne-Lorraine,
Suisse et Genève,Genève-Suisse,
Dannemark,Danemark,
Nord qui comprend les villes ansceatiques et la Moscovie,,
Pour le Piémont,,
iles françaises de l'Amerique,,
La Franche compté,Franche Comté,
Le Dannemark,Danemark,
Pour la Flandre Impérialle,Flandre impériale,
Dannemarck,Danemark,
Iles Fraçaise de l'amerique,,
Le Danemark,Danemark,
Le Flandre Impérialle,Flandre impériale,
Piemont et la Savoye,,
Flandre imperiale,,
Suède,Suède,
Nord qui comprend les villes ansceatiques et a Moscovie,,
Piémont et Savoye,,
Nord qui comprend les villes anscatiques a la Moscovie,Nord qui comprend les villes hanséatiques et la Moscovie,
Dannemarc,Danemark,
Nord (dont Hanse et Russie),Nord ; dont hanséatiques et Russie,
Suede,Suède,
Holande,Hollande,
Suéde,Suède,
Danemarc,Danemark,
La Suisse et la Genève,Genève-Suisse,
La Suède,Suède,
Piemont et Savoye,,
Geneve et la Suisse,,
Danemark,Danemark,
Nord qui comprend les villes anscatiques,Nord qui comprend les villes hanséatiques,
Le Dannemarc,Danemark,
Isles françoises de l'amérique,Îles françaises de l'Amérique,
Guinée,Guinée,
Flandre Impériale,Flandre impériale,
Flandre imperialle,,
Le Levant,Levant,
Pour la Lorraine et l'Allemagne,Allemagne-Lorraine,
L'angleterre,Angleterre,
Piemont et Geneve,,
Iles Française de l'amerique,,
La Loraine et l'Allemagne,Allemagne-Lorraine,
Isles de l'Amérique et de Terre neuve,Îles françaises de l'Amérique et Terre-Neuve,
Levant,Levant,
Isles françoises de l'Amérique,Îles françaises de l'Amérique,
Flandre impériale,Flandre impériale,
Des Isles françoises de l'amerique et de terre neuve,,
Flandre Imperialle,,
Pour les Isles françoises de l'amerique,,
Pour le Levant,,
Pour l'Italie,,
Pour le Piedmont et geneve,,
Pour l'Espagne,,
Pour la Hollande,,
Iles Française de l'Amerique,,
levant,Levant,
Piemont,,
hollande,Hollande,
la Hollande,Hollande,
Isles francoises de l'amerique,Îles françaises de l'Amérique,
La Guinée,Guinée,
La Lorraine et l'Allemagne,Allemagne-Lorraine,
La Lorraine,Lorraine,
Genève et Genève et la Genève et la Suisse,Genève-Suisse,
Iles françaises de l'Amérique et du Canada,Îles françaises de l'Amérique et du Canada,
L'Espagne,Espagne,
La Flandre Impérialle,Flandre impériale,
L'Italie,Italie,
Le Portugal,Portugal,
Le Nord,Nord,
Ile française des Amériques et du Canada,Îles françaises de l'Amérique et du Canada,
Hollande,Hollande,
Angleterre,Angleterre,
La La Louisiane,Louisiane,
La Louisiane,Louisiane,
Les Iles Françaises de l'Amérique,Îles françaises de l'Amérique,
Loraine,Lorraine,
Genève et la Suisse,Genève-Suisse,
Italie,Italie,
Portugal,Portugal,
Espagne,Espagne,
Nord,Nord,
La Hollande,Hollande,
Flandre Impérialle,Flandre impériale,
L'Angleterre,Angleterre,
Isles françoises de l'amerique,Îles françaises de l'Amérique,
