orthographic_normalization,simplification,note
soie ; cocon ; perus,,
soussi ; pour mouchoir,,
soufre ; et mèches,,
souliers ; pantouffles ; et galoche,,
soulier,soulier,
souffre ; en canon,souffre ; en canon,
soufflets ; pour orgues,,
soufflets ; pour orges,,
soufflets ; de bois,,
soucrillon ; en jarbes,,
sorte de poison,poisson,
sorte d'arbre ; utilisé pour traiter la syphilis ; Guajocum,drogue ; médicinale ; plante ; Guajocum,
sorbet,,
son ; de farine,son ; de farine,
sommier ; ou corps d'arbre de sapin,sommier ; ou corps d'arbre de sapin,
sommiers ; de chêne ; façonnés,,
sommiers ; brut pour Mannem,,
sommiers,,
sole ; ou langue,sole ; ou langue,
sole ; et playsse ; sec ; et fumé,,
soin,,
socs,,
smalte,smalte,
sitz ; et indienne ; par aune,,
sitz ; et indienne,,
sirop ; ou jus ; de cerises ; et de grenades ; avec nourriture,,
sirop ; ou jus ; de cerises ; et de grenades,,
sirop ; de sucre candi,sirop ; de sucre candi,
sirop ; de capillaire ; et autres composés,,
sirop ; d'alherine,,
singe,singe,
simanombre,,
simanombra,,
signe,signe,
sevan ; de cuir ; de Russie,,
serviettes ; découpées,,
serviettes,,
services de table,,
serrures ; de cuivre,,
serpents,,
serges ; de Nîmes ; par aune,,
serges ; de Nîmes,,
serge ; teinte ; par aune,,
serge ; teinte,,
serge ; mêlée,,
serge ; imprimé ; par aune,,
serge ; d'Angleterre,drap ; serge ; d'Angleterre,
serge ; commune ; teinte,,
serge ; commune ; par aune,,
serge ; commune,drap ; serge,
serge ; blanche,drap ; serge ; blanc,
séné ; et feuille de séné,,
semences ; écarlates,,
semences ; mêlées ; de toutes espèces,,
semences ; de sapin,,
semence ; de jardin,semence ; de jardin,
semences ; de canaris,,
semences ; d'anis ; carui ; coriandre ; etc.,,
semences ; d'anis,,
semence ; froide,semence ; froide,
semence ; de trèfle,,
semence ; de sainfoin,semence ; de sainfoin,
semence ; de oliette ; et de senegré,,
semence ; de navettes,,
moutarde ; semence,moutarde ; graine,
semence ; de luzerne,semence ; de luzerne,
semence ; de lin ; à semer,,
semence ; de lin ; à battre huile,,
semence ; de senegré,,
semence ; de cumin,semence ; de cumin,
semence ; de colsaet,semence ; de colsaet,
semence ; de chanvre,semence ; de chanvre,
semence ; d'oliettes,,
semen contra,,
sel ; pour la pèche libre,sel ; pour la pèche libre,
sel ; polychreste ; et d'ipson,,
sel ; dit beggere,sel ; dit beggere,
sel ; de vitre,sel ; de vitre,
sel ; de tartaric,sel ; de tartaric,
sel ; de St Hubert ; ou de Portugal,,
sel ; de Seignette ; polychreste ; et Glauber,,
sel ; de boue,sel ; de boue,
sel ; de Rocq,sel ; de Rocq,
sel ; d'alsem,sel ; d'alsem,
sel ; d'absinthe ; alsem,,
sel ; armoniac,sel ; armoniac,
seigle ; en gerbe,grain ; seigle ; en gerbe,
segrin,segrin,
sebestre,,
sebeste,,
seau ; cerclé de fer,,
scille ; maritime,scille ; maritime,
scie ; à moulu,scie ; à moulu,
saye ; teinte ; par aune,,
saye ; teinte,saye ; teinte,
saye ; mêlée,,
saye ; de Liège,saye ; de Liège,
saye ; de Bruges,saye ; de Bruges,
saye ; blanche ; sans apprêt,,
saye ; blanche,saye ; blanche,
savon ; blanc ; et marbré,,
saucisse ; de Boulogne,saucisse ; de Boulogne,
saumon ; en adaube,,
satinade,,
sas,sas,
sarot ; de toile,,
sardinal,,
sarde ; et anchois,,
sapin ; à bâtir,sapin ; à bâtir,
sapin ; en bloc,sapin ; en bloc,
sapien ; violet,,
sanglier,sanglier,
sang de dragon ; commun,,
sang de dragon,,
santal ; moulu,santal ; moulu,
salémporede,,
"salpêtre, raffiné","salpêtre, raffiné",
"salpêtre, crû","salpêtre, crû",
sago,,
safre,,
saffranum,,
sac ; de toile ; ayant servi,,
sable ; de verre,sable ; de verre,
rusque,,
ruche,ruche,
ruban ; de soie ; et fleuret,,
rouge ; fin,,
rouge ; de rosse,rouge ; de rosse,
rouge ; de Perse ; et de rosse,,
rouge ; de Perse,rouge ; de Perse,
rouge ; commun ; en poudre,rouge ; commun ; en poudre,
rouge ; commun,rouge ; commun,
roue ; neuve,roue ; neuve,
roue ; ferrée,roue ; ferrée,
rossoly,,
rose ; sèche,,
roseau ; d'Inde,roseau ; d'Inde,
roquette,,
romal ; pour mouchoir ; par aune,,
romal ; pour mouchoir,,
rollet ; et batiste,rollet et batiste,
rollet,rollet,
rogue ; de stockfisch,,
rognure ; de parchemin ; en valeur,,
rognure ; de fer ; blanc,,
rognure ; de cuir ; et de peau,,
rognure ; de corne ; et de parchemin,,
rognure ; de chapeau,rognure ; de chapeau,
rognure ; de carte ; et de papier,,
rognure ; de baleine,rognure ; de baleine,
roche ; de diable,roche ; de diable,
rocaille ; de corail,,
rhum ; arak ; anis ; etc.,,
réveil,réveil,
rets ; pour tisseur,,
rets ; pour la chasse et la pêche,,
rets ; ou filet,,
retail ; de peau,,
realgal,,
razure ; de corne,rognure ; de corne,
rayon ; de mouche à miel,rayon ; de mouche à miel,
rayon,rayon,
raie ; de morue,,
ratine ; teint,ratine ; teint,
raquette ; et volant,raquette et volant,
râpe ; à tabac ; d'ivoire,,
ramolaches,ramolaches,
rame ; à ramer,,
fruit ; raisin ; en grappe,fruit ; raisin,
fruit ; raisin ; en baril,fruit ; raisin,
rais,rais,
radis ; chins,radis ; chins,
raclure ; de chamois,,
racine ; de calamus,,
racine ; de zédoaire,,
racine ; de la Chine,,
quinquina ; en grabeau,,
quincaillerie ; y compris les armes ; et ferraille,,
quincaillerie ; et mercerie ; mêlée,,
quincaillerie ; de cuivre ; fer ; et d'acier,,
quincaillerie ; grosse,,
quille ; de navire,,
queue ; de renard ; et écureuil,,
quenouille ; de roseau ; au peinte,,
quenouille ; de canne ; de peinte,,
quartier de réduction,quartier de réduction,
quarlai ; botte ; etc.,,
pêche,fruit ; pêche,
pupitre,pupitre,
prune ; pêche ; cerise ; meffle ; etc.,,
prune ; de St. Catherine,fruit ; prune ; de St. Catherine,
Prunes ; commune,,
primula veris,primula veris,
préceinte ; de chêne,,
poutre ; de sapin ; de 32 pieds,,
poussin,poussin,
poussière ; d'écorce ; de pin,,
pousse ; de houblon ; et de vigne,,
poule ; de bois,,
poulain,poulain,
poudre ; à tirer ; pour fusil,,
poudre ; à tirer ; pour canon,,
poudre ; et teinture ; verte,,
poudre ; de capucin,poudre ; de capucin,
poudre ; bronzant,poudre ; bronzant,
pot ; et bouteille ; de pierre,,
pot ; de pierre,poterie ; de pierre,
potin ; à plomber pot,potin ; à plomber poterie,
potin ; raffiné,,
potin ; cru,potin ; cru,
porcelaine ; de Tournai,porcelaine ; de Tournai,
porcelaine ; commune,porcelaine ; commune,
pompe ; pour pompier,pompe ; pour pompier,
pomme ; de grenade ; et ananas,,
pomme ; de grenade,pomme ; de grenade,
pomme ; d'api,,
pomme ; élemi,,
pommade ; et savonnette,,
polleterie ; blanche,,
polimits ; et lampareille,,
poix ; terck ; daguet ; goudron,,
poivre ; noix,,
poivre ; giroflée,,
poivre ; en poussière,,
poisson ; en adobe,,
poisson ; frit ; gros,,
pois ; en jarbes,,
poix ; d'Espagne ; ou Garavance,,
pois ; commun,pois ; commun,
poire ; et pomme ; sèche,,
poire ; et pomme ; commune,,
poire ; de coing,,
poire ; de bon-chrétien ; et de coing,,
point ; de Hongrie,point ; de Hongrie,
poil ; de vache ; dit bourre,,
poil ; de chèvre ; de chameau ; lièvre,,
poil ; de chèvre ; et chameau,,
poil ; de cheval ; de vache ; etc.,,
poil ; de chèvre ; et de bièvre,,
poil ; de cerf ; dit bourre,,
poil ; de castor ; et d'élan,,
poil ; de lièvre ; et d'élan,,
poignée ; pour sabre,,
poêle ; de fer ; et leurs tuyaux,,
plâtre ; et pierre ; dito ; par livre,,
plâtre ; et pierre ; dito,,
plume ; pour chapeau,plume ; pour chapeau,
plume ; à faire lit ; vive,,
plume ; à écrire ; non travaillée,plume ; à écrire ; non travaillée,
plume ; à écrire ; cordon ; rouge,,
plume ; à écrire ; cordon ; jaune,,
plume ; à écrire ; cordon ; gris ; jaune ; et rouge,,
plume ; vive,plume ; vive,
plume ; pour dévidoir,plume ; pour dévidoir,
plume ; morte,plume,
plume ; commune,plume,
plume ; d'autruche ; ouvrée,,
plume ; d'autre brute,,
pluche ; de laine,pluche ; de laine,
pluche ; de coton,pluche ; de coton,
plomb ; tuyaux ; d'orgues,,
plomb ; travaillé ; et en rolles,,
plomb ; en planche ; gravée,plomb ; en planche ; gravée,
plomb ; en balle ; et en dragée,,
pleviers,pleviers,
plays ; ou scholles,,
plays,plays,
cuivre ; platte ; gravée et ciselée,,
plâtre ; en pierre,,
platine ; serrure ; et autre garniture ; de fusil,,
platine ; et garniture ; de pistole,,
platine ; et garniture ; de fusil,,
platine ; de ferrure,platine ; de ferrure,
plat ; en grès,plat ; en grès,
plaque ; de four,plaque ; de four,
plante ; et oignon ; de fleur,,
plante ; de vigne,,
plante ; de tabac,,
plante ; de romarin,,
plante ; d'oranger,,
plante ; d'asperge ; et jet de houblon,,
planche ; de pont de barque,planche ; de pont de barque,
planche ; sciée ; de long,,
planche ; sciée,planche ; sciée,
planche ; en poutre,planche ; en poutre,
planche ; en faux,planche ; en faux,
planche ; en chêne ; net de nœud,planche ; en chêne,
planche ; dit genou ; de bateau,,
planche ; Noordschedelen ; de 15 à 16 pieds,,
planche ; Noordschedelen ; de 11 à 12 pieds,,
planche ; dit feuillet ; et quartier,,
planche ; dit feuillet,planche ; dit feuillet,
planche ; de sapin ; de Poméranie,,
planche ; de sapin ; de Norvège,,
planche ; de sapin ; de 3/4 pouce,,
planche ; de sapin ; de 3 à 6 pieds,,
planche ; de sapin ; de 10 à 12 pieds de longueur,,
planche ; de sapin ; de 1/2 pouce,,
planche ; de sapin ; de 1 pouce,,
planche ; de sapin ; de 1 1/4 pouce,,
planche ; de sapin ; de 1 1/2 pouce d'épaisseur sur 10 pieds de longueur,,
planche ; de sapin ; de 6 à 8 pieds,,
planche ; de sapin ; de 30 à 38 pieds,,
planche ; de sapin ; de 3 à 4 pieds,,
planche ; de sapin ; de 26 à 30 pieds,,
planche ; de sapin ; de 20 à 26 pieds,,
planche ; de sapin ; de 15 à 16 pieds,,
planche ; de sapin ; de 14 à 15 pieds,,
planche ; de sapin ; de 11 à 14 pieds,,
planche ; de sapin ; boiste,,
planche ; de poirier ; cerisier ; etc.,,
planche ; de jaraconda,,
planche ; de chêne ; diverse,,
planche ; de chêne ; de 28 pieds,,
planche ; de chêne ; dont la longueur et épaisseur n'a pas été déclaré,,
planche ; de chêne ; de 6 pieds de longueur,planche ; de chêne,
planche ; de chêne ; de 5 pouces d'épaisseur,planche ; de chêne,
planche ; de chêne ; de 4 pouces d'épaisseur,,
planche ; de chêne ; de 3 pouces ; et en dessus,,
"planche ; de chêne ; de 2,5 pouces d'épaisseur",planche ; de chêne,
planche ; de chêne ; de 2 pouces ; et en dessus,,
planche ; de chêne ; de 10 pieds de longueur,planche ; de chêne,
planche ; de chêne ; de 1/4 pouce d'épaisseur,planche ; de chêne,
"planche ; de chêne ; de 1,5 pouces d'épaisseur",planche ; de chêne,
"planche ; de chêne ; de 1,25 pouces d'épaisseur",planche ; de chêne,
planche ; de chêne ; d'un pouce et en dessous,planche ; de chêne,
planche ; de châtaigner,,
planche ; de bois blanc,planche ; de bois blanc,
planche ; de Prusse ; de 8 à 9 pieds,,
planche ; de Prusse ; de 33 à 35 pieds,,
planche ; de Prusse ; de 26 à 27 pieds,,
planche ; de Prusse ; de 21 à 22 pieds,,
planche ; de Danemark ; Prusse ; et Poméranie,,
planche ; de Danemark,planche ; de Danemark,
planche ; de 3 pieds ; dit pakdrager,,
planche ; de 20 pieds ; sur 1 pouce,,
planche ; de 12 à 18 pieds,,
planche ; d'orme ; de 80 pieds de longueur ; sur 3 pouces d'épaisseur,,
planche ; d'orme,planche ; d'orme,
planche ; commune ; et bois,,
planche ; commune ; de hêtre et de chêne,,
planche ; commune ; de hêtre,,
planchenier,planchenier,
planche ; de sapin ; demi planche,,
planche ; de Prusse ; de 15 pieds,,
pierre ; de Malte,,
pistolet ; non monté,arme ; à feu ; pistolet,
pistolet ; monté,,
piphout ; scié en planche,,
piphout ; en blocq,piphout ; en bloc,
pinque,,
pinchine,pinchina,
pinceau ; à goudron,pinceau ; à goudron,
pierreuve,,
pierrette,,
pierre ; à saulx,,
pierre ; à polir ; et à faux,,
pierre ; à paver ; en longue pièce,,
pierre ; à paver ; de 9 pouces,,
pierre ; à paver ; de 8 à 9 pouces quarrée,,
pierre ; à paver ; de 3 à 9 pouces,,
pierre ; à paver ; de 12 à 13 pouces,,
pierre ; à paver ; d'un pied quarré,,
pierre ; à paver ; d'en dessus ; d'un pied quarré,,
pierre ; à moudre tabac,,
pierre ; à moudre moutarde ; de 1 1/2 à 3 pieds,,
pierre ; à moudre,,
pierre ; à diguer,pierre ; à diguer,
pierre ; à broyer couleur ; et moudre tabac,,
pierre ; à broyer couleur,pierre ; à broyer couleur,
pierre ; à aiguiser ; ou siquet,,
pierre ; à aiguiser ; milanese ; ou fiquet,,
pierre ; à affiler ; de 5 à 6 pieds,,
pierre ; à affiler ; de 3 à 4 pieds,,
pierre ; à affiler ; de 1 à 2 1/2 pieds,,
pierre ; travaillée ; pour cheminée ; statue ; etc.,,
pierre ; travaillée ; pour chassi ; et autre ouvrage,,
pierre ; travaillée ; en cheminée,,
pierre ; travaillée ; en banc ; balcon ; goulot ; etc.,,
pierre ; travaillée ; a moutarde,,
pierre ; tendre ; à aiguiser,,
pierre ; pour raffiner sucre,pierre ; pour faire sucre,
pierre ; pour pilier,,
pierre ; pour la bâtisse,,
pierre ; pour faire sucre,pierre ; pour faire sucre,
pierre ; fausse ; montée,,
pierre ; en statue,pierre ; en statue,
pierre ; en pièce ; grande,,
pierre ; en masse ; et en bloc,pierre ; en masse et en bloc,
pierre ; en cippe,pierre ; en cippe,
pierre ; en cheminée ; et statue,,
pierre ; en borne-frontière,pierre ; en borne-frontière,
pierre ; en bloc,pierre ; en bloc,
pierre ; de touche,pierre ; de touche,
pierre ; de tombe ; de moindre classe,,
pierre ; de tombe ; de haute catégorie,,
pierre ; de tombe ; de 7 à 9 pieds,,
pierre ; de tombe ; de 4 à 6 pieds,,
pierre ; de moulin ; du poids de 5000 à 6000 livres pesant,,
pierre ; de moulin ; du poids de 3000 à 4000 livres,,
pierre ; de moulin ; du poids de 300 à 1000 livres,,
pierre ; de moulin ; du poids de 2000 à 3000 livres,,
pierre ; de moulin ; du poids de 2000 à 2800 livres,,
pierre ; de moulin ; du poids de 1200 à 1800 livres,,
pierre ; de moulin ; dite petit loup d'Angleterre,,
pierre ; de moulin ; dite grand loup d'Angleterre,,
pierre ; de mouche,pierre ; de mouche,
pierre ; de marbre,,
pierre ; de grès ; ou de chaussée,,
pierre ; de Namur,pierre ; de Namur,
pierre ; de Bentem,pierre ; de Bentem,
pierre ; d'écrevisse,pierre ; d'écrevisse,
pierre ; d'autel,pierre ; d'autel,
pierre ; d'architecture,pierre ; d'architecture,
pierre ; commune ; à bâtir ; de 3 à 7 pieds,,
pierre ; commune ; à bâtir,,
pierre ; brute ; à bâtir,,
pierre ; brute ; en bloc,,
pierre ; à paver ; bleu ; en pièce longue,,
pierre ; à faune,,
pierre ; à paver ; poli,pierre ; à paver ; poli,
pierre ; à paver ; non poli,pierre ; à paver ; non poli,
pierre ; à paver ; carrée,,
pierre ; à broyer couleur ; et tabac,,
pierre ; à affiler ; Milanese ; ou fiquet,,
pierre ; ponce ; et à polir,,
pierre ; maguisse minérale ; pour la fabrique de Tournai,,
pierre ; de moulin ; de haute catégorie,,
pierre ; de Milan,pierre ; de Milan,
pierre ; de meuble,pierre ; de meuble,
pierre ; d'éponge,pierre ; d'éponge,
pierre ; d'Inde,pierre ; d'Inde,
pierre ; bleue ; en bloc,,
pierre ; blanche ; à paver ; en longue pièce,,
pied ; de vide,pieds ; de vide,
piedmento,piedmento,
pique,pique,
photar,,
photade,,
photad,,
fiole pour apothicaire,fiole pour apothicaire,
phaéton,phaeton,
petum,petum,
petit poisson ; blanc,,
"oiseau ; petit ; grive, etc.","oiseau ; petit ; grive, etc.",
chêne ; petit ; dit chenau,,
"balai, petit","balai, petit",
perche ; petite ; échala ; et stançon,,
camelot ; petit dit de Berlin,étoffe ; de laine ; camelot petit dit de Berlin,
pertuisane,,
perpétuane ; peinte,perpétuane ; peinte,
perpétuane ; peint et apprêté,,
perpétuane ; blanche,perpétuane ; blanche,
perroquet,perroquet,
perle ; fausse ; montée,,
perle ; de verre,perle ; de verre,
