"Data entry by","Source","Year","Sheet","Marchandises","Quantité",,"value","leurvaleursubtotal_1","leurvaleursubtotal₂","leurvaleursubtotal_1","Total",
"Fatima Zahra",,1788,14,"Matières premieres ; Peaux en poil ; de livres et lapins",101560,"135 560 ET 66 000 ET 802 800",152300,1272400,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Peaux en poil ; de Dain",6600,"135 560 ET 66 000 ET 802 800",18000,1272400,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Peaux en poil ; de Moutons","value","135 560 ET 66 000 ET 802 800",30000,1272400,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Peaux en poil ; de veau","66 000 ET 45 700","135 560 ET 66 000 ET 802 800",273500,1272400,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Plumes ; à écrire","value","39 540 ET 263 900",263900,357400,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Plumes ; d'autruches bruttes",2690,"39 540 ET 263 900",30900,357400,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Plumes ; à lit",36850,"39 540 ET 263 900",62600,357400,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Poils ; de chevre",235350,261729,1294400,1329100,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Poils ; de lièvres et lapins",3129,261729,11500,1329100,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; Poils ; de Porc et sanglier",23250,261729,23200,1329100,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; soye ; diverse",866920,929490,20907900,21314600,,,81388700,
"Fatima Zahra",,1788,14,"Matières premieres ; soye ; fleuret",62570,929490,406700,21314600,,,81388700,
"Fatima Zahra",,1788,14,"Objets manufacturés ; Bonnetterie ; diverse","value",,329900,1346000,,,45787700,"le total devrait être 45 877 700"
"Fatima Zahra",,1788,14,"Objets manufacturés ; Bonnetterie ; de coton","value",,396000,1346000,,,45787700,
"Fatima Zahra",,1788,14,"Objets manufacturés ; Bonnetterie ; de coton et laine","value",,25100,1346000,,,45787700,
"Fatima Zahra",,1788,14,"Objets manufacturés ; Bonnetterie ; de fil et coton ","value",,269300,1346000,,,45787700,
"Fatima Zahra",,1788,14,"Objets manufacturés ; Bonnetterie ; e laine","value",,325700,1346000,,,45787700,
"Fatima Zahra",,1788,14,"Objets manufacturés ; Chapeaux ; divers","value",,17900,64400,,,45787700,
"Fatima Zahra",,1788,14,"Objets manufacturés ; Chapeaux ; de laine","value",,46500,64400,,,45787700,
"Fatima Zahra",,1788,14,"Objets manufacturés ; couvertures","value",,46900,,,,45787700,
"Fatima Zahra",,1788,14,"Objets manufacturés ; dentelle ; de fil",1024,,1117900,,,,45787700,
"Fatima Zahra",,1788,14,"Objets manufacturés ; draperie diverse de laine","value",,1905800,,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Etoffes ; divers","value",,97400,12231000,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Etoffes ; de coton","value",,4778300,12231000,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Etoffes ; de coton et laine ","value",,35800,12231000,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Etoffes ; de laine ","value",,3938800,12231000,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Etoffes ; de soye diverses","value",,535100,12231000,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Etoffes ; de soye des indes","value",,1304200,12231000,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Etoffes ; Bours","value",,591000,12231000,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Etoffes ; de soye et coton des Indes ","value",,905400,12231000,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Etoffes ; melangée des soye","value",,45000,12231000,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Gaze ; divers","value",,170500,1562200,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Gaze ; de soye","value",,985300,1562200,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Gaze ; crepe",5080,,406400,1562200,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Mouchoirs ; divers","value",,145500,804900,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Mouchoirs ; des Indes","value",,96800,804900,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Mouchoirs ; de fil et coton ",5200,,54200,804900,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Mouchoirs ; de soye ","value",,508400,804900,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Rubans ; de fil",770840,934986,1447600,2042400,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Rubans ; de laine",157050,934986,355000,2042400,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Rubans ; de Soye ",6196,934986,239800,2042400,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; melées","805 200 - 23 700 - 3 278 746",,8852900,24666200,,,45787700,"le total 1 devrait être 24 756 200"
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; de chanvre","63 500 et 1 651 417 ",,4588700,24666200,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; d'emballage",39185,,13700,24666200,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; coutil ",76710,,337300,24666200,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; à voile","12 334 et 122 700",,296300,24666200,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; de coton ; diverses","value","6 088 ET 11 300 ET 3 982 700",3112000,4116400,24666200,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; de coton ; peinte",6088,"6 088 ET 11 300 ET 3 982 700",91300,4116400,24666200,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; de coton ; bazin","value","6 088 ET 11 300 ET 3 982 700",257700,4116400,24666200,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; de coton ; Indienne",11300,"6 088 ET 11 300 ET 3 982 700",42400,4116400,24666200,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; de coton ; mousseline","value","6 088 ET 11 300 ET 3 982 700",579500,4116400,24666200,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; de coton ; mankin","value","6 088 ET 11 300 ET 3 982 700",33500,4116400,24666200,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; Etrangere","value",,30200,24666200,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; de lin ; diverses","132 100 - 81 100 - 1 637 790",1678649,4054800,4344900,24666200,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; de lin ; fine",39799,1678649,233400,4344900,24666200,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; de lin ; batiste et linon ","222 - 3 506 - 1 060",1678649,56700,4344900,24666200,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; peinte et teinte","value",,25000,24666200,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; des Indes","66 779 ET 21 486",,2108200,24666200,,,45787700,
"Fatima Zahra",,1788,16,"Objets manufacturés ; Toiles ; Cirée et gommée",31564,,42600,24666200,,,45787700,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; agres de navire","value",,46900,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; armes blanches et à feu","value",,394800,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; artillerie en boulets",61500,,12300,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; Balais ","value",,138100,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; Bijouterie","value",,47200,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; Boutons","value",,47900,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; Brosserie",10800,,11700,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; Cannes","value",,68100,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; Cauris",153900,,158800,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; Caves avec flacon",11400,,50400,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; chandelles",369500,,234000,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; chapeaux de bois et de paille","3 500 ET 7 132",,77500,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; colle ; diverse",228100,,146000,193700,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; colle ; de poisson","value",,47700,193700,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; cordage",458800,,232800,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; cordes à violon",980,,14600,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; coutellerie","value",,100800,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; cuirs appretés, tannées de bœuf",34050,,34000,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; Eaux et huiles spiritueuses",129700,,122900,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; Essence",25710,,176800,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; Estampes","value",,33300,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; Sayence","value",,965400,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; habillements","value",,207900,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; horlogerie","value",,55600,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; Instruments ; divers","value",,148100,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; librairie",542600,,630000,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; liege en bouchons",268300,,87700,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; lingerie","value",,30000,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; Marbre ouvré",203960,,50900,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; Marchandises à la valeurs","value",,331900,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; Marchandises de l'inde","value",,123100,,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; mercerie ; melée","value","96 877 ET 1 783 200",1783200,2204700,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; mercerie ; fine",94150,"96 877 ET 1 783 200",406200,2204700,,,16555000,
"Fatima Zahra",,1788,18,"Objets d'industrie etrangere ; mercerie ; aiguilles",2727,"96 877 ET 1 783 200",15300,2204700,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; meubles","value",,72900,,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; nacre en coquille","value",,63000,,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; orphevrerie diverse","22 700 ET 1 724",,108900,,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; outils",421000,,214100,,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; divers","value",,211600,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; d'auffe",1840800,,157500,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; de bois","value",,35700,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; Jd. En avirons","value",,39000,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; de cordonies","value",,15300,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; de cuivre","value",,21200,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; de cuir","value",,32700,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; en dorure finesse",48772,,269800,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; de laine",5900,,35400,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; de model","value",,11500,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; de passementerie","value",,109100,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; de porcelaine","value",,46000,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; de sellied","value",,83300,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; de sparlerie","value",,32300,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; de terre cuite","value",,182500,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; de tourelied","value",,58000,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; de verre en bassades",373800,,163300,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; ouvrages ; de tabletterie","value",,28600,1532800,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; papier ; blanc à écrire","value",,247700,,,,16555000,
"Fatima Zahra",,1788,20,"Objets d'industrie etrangere ; papeterie","value",,18900,,,,16555000,
