marchandises,détails
industrie générale,ouvrages de terre cuite
industrie générale,ouvrages divers
industrie générale,ouvrages divers en bois et futailles vides
industrie générale,ouvrages en terre cuite
industrie générale,papier pour tenture
industrie générale,papiers à écrire
industrie générale,papiers pour tenture
industrie générale,parasols
industrie générale,parfumerie
industrie générale,passementerie
industrie générale,peaux et pelleteries
industrie générale,porcelaine
industrie générale,poudre à tirer
industrie générale,quincaillerie
industrie générale,savons
industrie générale,tableaux et estampes
industrie générale,verrerie
matière d'or et d'argent,argenterie et orfèvrerie
matière d'or et d'argent,argenteries et orfèvrerie
matière d'or et d'argent,monnaies au type étranger
matière d'or et d'argent,monnaies étrangères et lingots
matière d'or et d'argent,monnaies étrangères ou lingots
matière d'or et d'argent,orfèvrerie
matières première,alun
matières première,articles réunis
matières première,bois divers
matières première,"brai, goudron et résine"
matières première,charbons
matières première,cires jaune et blanche
matières première,cochenille
matières première,coton
matières première,cuirs apprêtes
matières première,drogues réunies
matières première,fil
matières première,garance
matières première,graines de jardin
matières première,graines de trèfle
matières première,graines diverses
matières première,huile de graine
matières première,indigo
matières première,laine
matières première,pain de navette
matières première,rocou
matières première,soie
matières première,suif
matières première,tabacs
matières première,verdet
matières premières,alquifoux ou mine de plomb
matières premières,alun
matières premières,articles réunis
matières premières,azur
matières premières,bois de îles
matières premières,bois des îles
matières premières,bois divers
matières premières,"brai, goudron et résine"
matières premières,"bray, goudron, poix et résine"
matières premières,cendres diverses
matières premières,céruse
matières premières,chanvre
matières premières,chanvre et lin
matières premières,charbon
matières premières,charbons
matières premières,cires blanche et jaune
matières premières,cires blanches et jaunes
matières premières,cires jaune et blanche
matières premières,cires jaune et blanche fondue et en bougies
matières premières,cochenille
matières premières,coton
matières premières,cuirs apprêtes
matières premières,cuirs apprêtés
matières premières,cuirs en poil
matières premières,dents d'éléphant
matières premières,drogues diverses réunies
matières premières,drogues réunies
matières premières,fil
matières premières,garance
matières premières,"goudron ,poix et résine"
matières premières,graine de lin
matières premières,graines de diverses
matières premières,graines de jardin
matières premières,graines de trèfle
matières premières,graines diverses
matières premières,graines diverses et de lin
matières premières,houblon
matières premières,huile d'olive pour fabriques
matières premières,huile de graine
matières premières,huile de grains
matières premières,huile de poisson
matières premières,huile de poissons
matières premières,huiles d'olive pour fabriques
matières premières,indigo
matières premières,laine
matières premières,lin
matières premières,noix de galle
matières premières,pain de navette
matières premières,"potasse, vedasse et gravelée"
matières premières,"poil de chèvre, lièvre et lapin"
matières premières,rocou
matières premières,saffranum
matières premières,soie
matières premières,soie de porc et sanglier
matières premières,soie et filoselle
matières premières,soude
matières premières,souffre et salpêtre
matières premières,soufre et salpêtre
matières premières,suif
matières premières,suif fondu et en chandelles
matières premières,tabacs
matières premières,verdet
métaux,argent vif
métaux,articles réunis
métaux,autres métaux
métaux,cuivre
métaux,"cuivre, bronze et laiton"
métaux,étain
métaux,fer blanc
métaux,fer-blanc
métaux,fers
métaux,fers blanc
métaux,fers et aciers
métaux,plomb
objet manufacturé,armes
objet manufacturé,articles réunis
objet manufacturé,"bonneterie en fil, coton et laine"
objet manufacturé,bonneterie ordinaire en coton et laine
objet manufacturé,bonneteries de soie
objet manufacturé,bonneteries diverses
objet manufacturé,chapellerie
objet manufacturé,dentelles
objet manufacturé,dentelles de fil
objet manufacturé,draperies
objet manufacturé,étoffe mélangées de ces matières
objet manufacturé,étoffe riches
objet manufacturé,étoffes de coton
objet manufacturé,étoffes de laine
objet manufacturé,étoffes de laine et de poil
objet manufacturé,étoffes de soie
objet manufacturé,étoffes diverses
objet manufacturé,étoffes en coton et en laine
objet manufacturé,étoffes mélangées de ces matières
objet manufacturé,étoffes riches
objet manufacturé,"gazes, crêpes et mouchoirs de soie"
objet manufacturé,mouchoirs divers en fil et coton
objet manufacturé,mouchoirs divers et des indes
objet manufacturé,mousselines
objet manufacturé,objets manufacturés réunis
objet manufacturé,rubanerie de soie
objet manufacturé,rubanerie ordinaire
objet manufacturé,rubaneries diverses
objet manufacturé,"soierie en étoffe, mouchoirs, gazes et rubans"
objet manufacturé,toile de coton
objet manufacturé,toile de fil et coton
objet manufacturé,toiles de coton
objet manufacturé,"toiles de coton, mousseline, nankin, et des indes"
objet manufacturé,toiles de fil et coton
objet manufacturé,toiles de lin et chanvre
objet manufacturé,toiles de lin et de chanvre
objet manufacturé,toiles diverses de lin et de chanvre
objet manufacturé,toiles diverses en lin et chanvre
objet manufacturé,"toiles en coton, mousseline et nankin"
passementerie,
subsistances,articles réunis
subsistances,"bestiaux en bœufs, vaches, veaux, porcs et moutons"
subsistances,beurre
subsistances,bière
subsistances,"bière, cidre et vinaigre"
subsistances,biscuit de mer
subsistances,biscuits de mer et pâtes d’Italie
subsistances,blé
subsistances,blé et autres grains
subsistances,blé et autres grains comestibles
subsistances,cacao
subsistances,café
subsistances,cannelle
subsistances,chairs salées
subsistances,chocolat
subsistances,eaux de vie
subsistances,eaux-de-vie
subsistances,épiceries diverses
subsistances,épiceries
subsistances,farine
subsistances,farine et biscuit de mer
subsistances,farine et biscuits de mer et pâtes d’Italie
subsistances,farine et pâtes d’Italie
subsistances,fromage
subsistances,fromages
subsistances,fruits divers
subsistances,"fruits secs, en amandes ,figues et raisins"
subsistances,"fruits verts, en oranges et citrons"
subsistances,girofle
subsistances,huile d'olive
subsistances,légumes
subsistances,liqueurs
subsistances,liqueurs et sirops
subsistances,miel
subsistances,muscade
subsistances,poissons de toute sorte
subsistances,poissons de toutes sortes
subsistances,poivre
subsistances,provisions de bouche réunies
subsistances,provisions diverses
subsistances,"provisions diverses,principalement en beurre"
subsistances,riz
subsistances,sel
subsistances,sirops
subsistances,sucre
subsistances,thé
subsistances,vin de liqueurs
subsistances,vins
subsistances,vins de bordeaux
subsistances,vins de liqueur
subsistances,vins divers
matières premières,alun
matières premières,articles réunis
matières premières,azur
matières premières,céruse
matières premières,cochenille
matières premières,drogues diverses réunies
matières premières,garance
matières premières,indigo
matières premières,noix de galle
matières premières,rocou
