quantity_unit,marchandises_normalisees,N2_quantity_unit_ajustees,N2_u_conv,N2_q_conv,N2_Remarque_unit,source_hambourg,incertitude_unit,need_geo
rouleaux,Papier ; à la piperie,,,,,0,,
sacs,Graine ; de navette,,,,P483 doursther,0,,
sacs,Graine ; de trèfle,,,,P483 doursther,0,,
sacs,Graines ; de genièvre,,,,P483 doursther,0,,
sacs,Plâtre,,,,P483 doursther,0,,
tierçons,Bœuf ; salé,,,,p531 : équivalent à l'aime (p17),0,,
tierçons,Saumon ; salé,,,,p531 : équivalent à l'aime (p17),0,,
tonnes,Fruits ; crus ; vendanges,tonnes de hambourg,litres,139.11,p543 doursther,,,
tonnes,Huile ; de graine,,,,,0,,
tonnes,Huile ; de poisson,,,,,0,,
tonnes,Huile ; à brûler,,,,,0,,
tonnes,Moules,,,,,0,,
tonnes,Plume ; apprêtée ; d'autruche,,,,,0,,
tonnes,Poisson ; Hareng ; Blanc,,,,,0,,
tonnes,Poisson ; de mer ; morue,,,,,0,,
tonnes,Poisson ; de mer ; morue ; Verte,,,,,0,,
tonnes,Savon ; noir,,,,,0,,
tonnes,Épicerie ; poivre ; noir,,,,,0,,
barils,Argent ; vif,,,,,0,,1
barils,Beurre,,,,p546 doursther,0,,1
barils,Bœufs et langues salées,,,,,0,,1
barils,Cauris,,,,,0,,1
barils,Cendre ; commune,,,,,0,,1
barils,Cendre ; diverses,,,,p543 doursther,0,,1
barils,Cerneaux,,,,,0,,1
barils,Charbon ; de bois,,,,,0,,1
barils,Charbon ; de terre,barils de bordeaux pour le charbon de terre,kg,13.88,59 doursther : 1 tonneau de bordeaux (905 litres) charbon = 72 barils,0,,0
barils,Couteau,,,,,0,,1
barils,Drogue ; pour la peinture et la teinture ; Blanc de céruse,,,,,0,,1
barils,Drogue ; pour la peinture et la teinture ; Sanguine,,,,,0,,1
barils,Drogue ; pour la peinture et la teinture ; alun,,,,p550 doursther,0,,1
barils,Drogue ; pour la peinture et la teinture ; ocre ; rouge,,,,,0,,1
barils,Drogue ; pour la peinture et la teinture ; vermillon,,,,,0,,1
barils,Drogue ; térébenthine,,,,,0,,1
barils,Encre ; d'imprimerie,,,,,0,,1
barils,Fer ; en barres,,,,,0,,1
barils,Fil ; à papillon,,,,,0,,1
barils,Fil ; à voile,,,,,0,,1
barils,Graine ; de lin,,,,,0,,1
barils,Grains ; froment,,,,,0,,1
barils,Huile ; d'olive,,,,p58 59 doursther : baril livourne (33.43 litres) ou gènes (14.233 litres) ? ,0,,1
barils,Huile ; de graine,,,,,0,,1
barils,Huile ; de lin,,,,p58 59 doursther : baril livourne (33.43 litres) ou gènes (14.233 litres) ? ,0,,1
barils,Huître ; fraîches,,,,Comme chez Werner (Baril d'anchoix à Londres ?),0,,1
barils,Indes ; fines,,,,,0,,1
barils,Légume,,,,p546 doursther,0,,1
barils,Mercerie,,,,,0,,1
barils,Mercure,,,,,0,,1
barils,Mine ; de plomb,,,,,0,,1
barils,Monnaie ; Piastres,,,,,0,,1
barils,Noisette,,,,,0,,1
barils,Olives,,,,,0,,1
barils,Poisson ; de mer ; morue ;  de Hollande,,,,,0,,1
barils,Poisson ; de mer ; morue ; Langue,,,,Comme chez Werner (Baril d'anchoix à Londres ?),0,,1
barils,Poisson ; de mer ; morue ; Rave,,,,p546 doursther,0,,1
barils,Poisson ; de mer ; morue ; Têtes,,,,Comme chez Werner (Baril d'anchoix à Londres ?),0,,1
barils,Poisson ; de mer ; salé ; morue,,,,p546 doursther,0,,1
barils,Poisson ; de mer; sardine,,,,Comme chez Werner (Baril d'anchoix à Londres ?),0,,1
barils,Poisson ; salé ; maquereau,,,,p546 doursther,0,,1
barils,Poisson ; de mer ; morue ; notes et langues,,,,Comme chez Werner (Baril d'anchoix à Londres ?),0,,1
barils,Poudre ; cosmétique,,,,,0,,1
barils,Quincaillerie ; de fer ; clou,,,,,0,,1
barils,Quincaillerie ; de fer ; fil,,,,,0,,1
barils,Rognes,,,,p544 doursther,0,,1
barils,Saumon,,,,,0,,1
barils,Saumon ; fumé,,,,Comme chez Werner (Baril d'anchoix à Londres ?),0,,1
barils,Soudure,,,,,0,,1
barils,Suif,,,,p546 doursther,0,,1
barils,Teinture,,,,,0,,1
barils,Vin ; d'Espagne,barils de malaga,kg,30,internets : http://www.genefourneau.com/mesures.html,0,,0
barils,Vin ; d'Espagne ; de Malaga,barils de malaga,kg,30,internets : http://www.genefourneau.com/mesures.html,0,,0
barils,Vin ; du Cap,,,,,0,,1
barils,Vin ; du Portugal,,,,,0,,1
barils,Vin ; liqueur,,,,,0,,1
barils,Épicerie,,,,,0,,1
barils,Étain ; en bloc,,,,,0,,1
barriques,Bière,bariques de bordeaux,kg,226.28999,"Witthöft 1993), fichier explications, 217.21 chez doursther",0,,0
barriques,Chaux ; vive,,,,,0,,1
barriques,Cidre,bariques de bordeaux,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Ciment,,,,,0,,1
barriques,Degras ; de peau,,,,,0,,1
barriques,Draches,,kg,,,0,,1
barriques,Drogue ; pour la peinture et la teinture ; ocre,bariques de bordeaux,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Dégrau,,kg,,,0,,1
barriques,Eau ; de vie,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Esprit ; de vin,bariques de bordeaux,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Fruit ; Pruneau,bariques de bordeaux,litres,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Fruits ; rudes,bariques de bordeaux,litres,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Futailles,barriques en nombre,pieces,1,,0,,0
barriques,Grains ; froment,,,,"Witthöft 1993), fichier explications, 217.21 chez doursther",0,,1
barriques,Grains ; seigle,,kg,,p61 doursther,0,,1
barriques,Huile ; d'olive,bariques de bordeaux,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Huile ; de baleine,bariques de bordeaux,,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Huile ; de graine,bariques de bordeaux,,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Huile ; de lin,bariques de bordeaux,,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Huile ; de noix,bariques de bordeaux,,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Huile ; de poisson,bariques de bordeaux,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Huile ; de rabelle,bariques de bordeaux,,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Pignon ; d'épine,,,,,0,,1
barriques,Poisson ; de mer ; morue ; Langue,,kg,,,0,,1
barriques,Poisson ; de mer ; morue ; Verte,,kg,,,0,,1
barriques,Pomme ; de canne,,,,,0,,1
barriques,Riz,,,,,0,,1
barriques,Saumon ; salé,,,,,0,,1
barriques,Sucre ; en pain,,kg,,"Witthöft 1993), fichier explications, 217.21 chez doursther",0,,1
barriques,Sucre ; terré,bariques de bordeaux,litres,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Tafia,bariques de bordeaux,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Vin,bariques de bordeaux,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Vin ; Nantais,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Vin ; d'Alicante,bariques d'alicante,kg,231.03,p60 61 doursther,0,,0
barriques,Vin ; d'Amont,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Vin ; d'Aubagne,bariques de bordeaux,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Vin ; d'Espagne,bariques d'alicante,kg,231.03,p60 61 doursther,0,,0
barriques,Vin ; d'Espagne ; de Xérès,bariques d'alicante,kg,231.03,p60 61 doursther,0,,0
barriques,Vin ; de Bergerac,bariques de bordeaux,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Vin ; de Blaye,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Vin ; de Bordeaux,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Vin ; de Bourgogne,barriques de bourgogne,kg,205.46001,p60 61 doursther,0,,0
barriques,Vin ; de Catalogne,bariques d'alicante,kg,231.03,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Vin ; de Cette,bariques de bordeaux,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Vin ; de Cognac,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Vin ; de Domé,bariques de bordeaux,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Vin ; de France,bariques de bordeaux,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Vin ; de Gaillac,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Vin ; de Gensac,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
