marchandises_simplifiees,marchandises_tres_simplifiees,sitc_rev1,sitc_rev2,classificationproduitsmdicinaux,remarques_marchandises,wallislist,exclusion_not_medical_primarily,nom_wallis,large,narrow,sitc1digit,sitc18thc,nbr_lignes_fr_bis,classification_hambourg_etroite,classification_hambourg_large,ajouts_565860,commestibles_eur_grainsetsubstit,grains_ou_farine,categories_de_grains,v9,source_bdc,nbr_bdc_marchandises_simplifiees
acorus,acorus,2,2,1,"Savary, volume 1, 1748 : « La racine de l'acorus est de quelque usage dans la médecine étant un des ingrédients qui entrent dans la composition du Thériaque. Les parfumeurs en emploient aussi beaucoup »",1,0,Acorus,1,0,,,2,,,,0,0,0,,1,4
acuirson,acuirson,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1
affut de fusil,affut de fusil,9,9,0,,0,,,0,0,,,,,,,0,0,0,,0,0
affût de canon,affût de canon,9,9,0,,0,,,0,0,,,19,,,,0,0,0,,1,4
affût de fusil,affut de fusil,9,9,,,,,,,,,,,,,,,,,,1,1
agaric,agaric,5,5,1,"Savary, volume 1, 1748 : Sorte de champignon. Trois sortes, l'agaric mâle (colorant), femelle et faux (pas d'utilité). A propos de l'agaric femelle : « est le plus estimé car il a beaucoup d'usage dans la médecine ». Selon Rober J James, Dictio",1,0,Agaric,0,1,5,5,30,,,,0,0,0,,0,0
agathe montée,,,,,,,,,,,,,,,,,,,,,1,1
agneau,bestiau,9,9,0,,0,,,0,0,,,1,,,,0,0,0,,1,51
agoutal,,6,6,0,"C. Tisseur, Dictionnaire étymologique du patois lyonnais: «Agottiau (pour agoutal) : Ecope »",,,,0,0,,,,,,,0,0,0,,1,1
agoutal ; de bois,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,2
agrès,agrès,7,7,0,,0,,,0,0,,,68,,,,0,0,0,,1,1
agrès ; de navire,agrès,7,7,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
agrès ; de navire ; en voile,agrès,7,7,0,,0,,,0,0,,,4,,,,0,0,0,,1,1
agrément,agrément,6,6,,,,,,,,,,,,,,,,,,1,16
agrément ; au quart,agrément,6,6,0,,0,,,0,0,,,3,,,,0,0,0,,1,2
agrément ; d'argent,agrément,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,2
agrément ; d'or,agrément,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,0,0
agrément ; d'or et d'argent,agrément,6,6,0,,0,,,0,0,,,4,,,,0,0,0,,1,4
agrément ; de fil,agrément,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,8
agrément ; de fleur,agrément,6,6,0,,0,,,0,0,,,,,,,0,0,0,,1,1
agrément ; de soie,agrément,6,6c,0,,0,,,0,0,,,17,,,,0,0,0,,1,47
agrément ; de soie et d'argent,agrément,6,6c,,,,,,,,,,,,,,,,,,1,1
agrément ; de soie et fil,agrément,6,6c,,,,,,,,,,,,,,,,,,1,1
agrément ; de soie or et argent ; faux,agrément,6,6c,,,,,,,,,,,,,,,,,,1,1
agur commun,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1
aigle,,,,,,,,,,,,,,,,,,,,,1,1
aiglefin ; séché,,,,,,,,,,,,,,,,,,,,,1,1
aigre ; de cidre,,,,,,,,,,,,,,,,,,,,,1,6
aigrette,aigrette,6,6,0,,0,,,0,0,,,2,,,,0,0,0,,1,8
aigrette ; de fil ; d'or et d'argent,aigrette,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1
aiguille,aiguille,6,6,0,,0,,,0,0,,,47,,,,0,0,0,,1,145
aiguille ; d'emballage,aiguille,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1
aiguille ; à coudre,aiguille,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,15
aiguille ; à tabac,aiguille,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1
aiguille ; à toile,aiguille,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1
aiguille ; à voile,aiguille,,,,,,,,,,,,,,,,,,,,1,13
aiguille epars de sapin,aiguille,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1
ail,ail,0,0a,1,"Selon Robert J James, Dictionnaire universel de la médecine, 1746, « échauffent & atténuent le sang […] fortifient les vicères […] et est un excellent remède contre la collique. […] contre l'asthme et les maladies respoiratoires »",0,,,1,0,,,34,,,,0,0,0,,1,118
ail blanc à casser,ail,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,1
aile de fleau,,,,,,,,,,,,,,,,,,,,,1,1
aile de moulin,,,,,,,,,,,,,,,,,,,,,1,1
ain à pêcher,ain à pêcher,8,8,0,"Savary, volume 1, 1748 : Hameçons",0,,,0,0,,,3,,,,0,0,0,,1,15
airain,airain,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,8
airain ; en batterie,airain,6,6,,,,,,,,,,,,,,,,,,1,1
airain ; ouvré,airain ; ouvré,6,6,0,,0,,,0,0,,,3,,,,0,0,0,,1,16
ajami,ajami,6,6d,0,Toile d'Antap dit Ajamis : toile de coton qui vient du Levant.,0,,,0,0,,,14,,,,0,0,0,,1,95
ajustement,ajustement,8,8,0,,0,,,0,0,,,8,,,,0,0,0,,1,34
ajustement ; de femme,ajustement,8,8,,,,,,,,,,,,,,,,,,1,2
akia,akia,,,,,,,,,,,,,,,,,,,,1,1
akia ; espèce de salade,akia,,,,,,,,,,,,,,,,,,,,1,1
alambic,alambic,5,5,0,,0,,,0,0,,,1,,,,0,0,0,,1,9
alambic ; de terre,alambic ; de terre,5,5,0,,0,,,0,0,,,17,,,,0,0,0,,1,1
alana,alana,5,5,0,"Probablement « Alatia », à vérifier",0,,,0,0,,,2,,,,0,0,0,,1,18
alatia,,,,,,,,,,,,,,,,,,,,,1,1
albâtre,albâtre,2,2,0,,0,,,0,0,,,25,,,,0,0,0,,1,2
alcanum duplicatum,,,,,,,,,,,,,,,,,,,,,1,1
alegia,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1
alenne,,,,,,,,,,,,,,,,,,,,,1,1
aliban,,???,???,0,,,,,0,0,,,,,,,0,0,0,,0,0
alibanies,alibans,6,6d,0,"Alibanies : Toiles de coton, qu’on apporte en Hollande des Indes Orientales par les retours de la Compagnie",0,,,0,0,,,4,,,,0,0,0,,1,24
alkerme,alkerme,1,1,1,Wiki : Alkermès (sanglant ; rouge ; cochenille ; kermès) : nom d'une liqueur à base de plantes nommée aussi kermès officinal. Élixir alkermès : nom de médicaments composés renfermant le suc du kermès animal.Selon l'ouvrage de Dorvault (1875) (p,1,1,Grana Tinctorum,1,0,,,,,,,0,0,0,,1,1
alleaux,,,,,,,,,,,,,,,,,,,,,1,1
allumette,allumette,8,8,0,,0,,,0,0,8,8,30,,,,0,0,0,,1,34
allumette ; droguée,allumette,8,8,,,,,,,,,,,,,,,,,,1,1
allumette ; souffrée,allumette,8,8,,,,,,,,,,,,,,,,,,1,1
allumette ; soufrée,allumette,8,8,,,,,,,,,,,,,,,,,,1,6
allumette ; à vin,allumette,8,8,,,,,,,,,,,,,,,,,,1,1
allumette ; épicée,allumette,8,8,,,,,,,,,,,,,,,,,,1,1
almagro ou crayon rouge,,,,,,,,,,,,,,,,,,,,,1,1
almanach,,,,,,,,,,,,,,,,,,,,,1,2
alocir,,,,,,,,,,,,,,,,,,,,,1,1
aloiset,aloiset,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1
alose,alose,,,,,,,,,,,,,,,,,,,,1,1
alose dite elft,alose,,,,,,,,,,,,,,,,,,,,1,1
alose fumée,alose,,,,,,,,,,,,,,,,,,,,1,1
alouette,,,,,,,,,,,,,,,,,,,,,1,2
aloès,,,,,,,,,,,,,,,,,,,,,0,0
aloès ; commun,,,,,,,,,,,,,,,,,,,,,1,1
aloès cabalin,,2,2,1,Aloès capalin ?,1,0,"Lignum Aloes, Aloes Cicotrina, Aloes Epatica",0,1,,,,,,,0,0,0,,1,2
alpargate,alpargate,8,8,0,espadrilles (Savary),0,,,0,0,,,48,,,,0,0,0,,1,7
alpiste,,,,,,,,,,,,,,,,,,,,,1,9
alquifoux,alquifoux,,,,,,,,,,,,,,,,,,,,1,42
alquifoux et mine de plomb,alquifoux et mine de plomb,,,,,,,,,,,,,,,,,,,,1,59
alquitra,alquitra,5,5,0,Synonyme de goudron (tiré de l'espagnol),0,,,0,0,,,32,,,,0,0,0,,1,3
aluchiabanis,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1
alun,alun,2,2,,,,,,,,,,,,,,,,,,1,1070
alun ; de Rome,alun,2,2,,,,,,,,,,,,,,,,,,1,1
alun ; de fer,alun,2,2,,,,,,,,,,,,,,,,,,1,1
alun ; gâté,alun,2,2,0,"Savary, volume 1, 1748 : «  Alun : Espèce de sel fossile »",,,,0,0,,,,,,,0,0,0,,1,1
alvés,alvés,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1
amadou,amadou,5,5,0,"Agaric (Grieve Herbal: B. chirurgorum (SURGEON'S AGARIC, OAK AGARIC, PUNK, TOUCHWOOD) is the product of P. fomentarius, which is found upon the oak and beech trees of Europe and is a very different substance, its uses being mechanical, as tinde",1,0,Agaric,0,0,,,27,,,,0,0,0,,1,109
amadou et agaric,amadou et agaric,???,???,1,"Agaric (Grieve Herbal: B. chirurgorum (SURGEON'S AGARIC, OAK AGARIC, PUNK, TOUCHWOOD) is the product of P. fomentarius, which is found upon the oak and beech trees of Europe and is a very different substance, its uses being mechanical, as tinde",1,0,Agaric,1,0,,,,,,,0,0,0,,1,23
amande,amande,0,0a,0,,0,,,0,0,,,197,"Fruits ; divers ; amandes, pelures, raisins, prunes","Fruits ; divers ; amandes, pelures, raisins, prunes",,0,0,0,,1,490
amande ; amère,amande,0,0a,,,,,,,,,,,,,,,,,,1,1
amande ; cassée,amande,0,0a,,,,,,,,,,,,,,,,,,1,108
amande ; courte,amande,0,0a,,,,,,,,,,,,,,,,,,1,1
amande ; douce,amande,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,3
amande ; en coque,amande,0,0a,0,,0,,,0,0,,,165,"Fruits ; divers ; amandes, pelures, raisins, prunes","Fruits ; divers ; amandes, pelures, raisins, prunes",,0,0,0,,1,108
amande ; longue,amande,0,0a,,,,,,,,,,,,,,,,,,1,1
amande et pruneau,amande et pruneau,0,0a,,,,,,,,,,,,,,,,,,1,2
amande et raisin sec,amande et raisin sec,0,0a,,,,,,,,,,,,,,,,,,1,1
amande et savon,amande et savon,0,0a,,,,,,,,,,,,,,,,,,1,2
amande et vert-de-gris,amande et vert-de-gris,0,0a,,,,,,,,,,,,,,,,,,1,1
"amande, raison sec et savon","amande, raison sec et savon",0,0a,,,,,,,,,,,,,,,,,,1,1
amaril,,,,,,,,,,,,,,,,,,,,,1,1
ambrain a grande barique,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1
ambre,ambre,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,32
ambre ; brut,ambre,2,2,,,,,,,,,,,,,,,,,,1,1
ambre ; gris,ambre,2,2,1,Wallis : primarily perfumery; waxy substance secreted by the sperm whale and found floating at sea or washed ashore; used in perfume,1,0,Ambergrease,1,0,,,8,,,,0,0,0,,1,11
ambre ; jaune,ambre,2,2,1,"Savary, volume 1, 1748 : ou KARABE Surtout pour la teinture et le vernis cependant : « Il a quelque usage en Médecine, pourvu qu'il soit véritable Karabé ; bien des gens ayant l'art de le contrefaire... ».",1,0,Carrabe,1,0,,,23,,,,0,0,0,,1,26
ambre ; karabé,ambre,2,2,1,"Savary, volume 1, 1748 : ou KARABE Surtout pour la teinture et le vernis cependant : « Il a quelque usage en Médecine, pourvu qu'il soit véritable Karabé ; bien des gens ayant l'art de le contrefaire... ».",1,0,Carrabe,1,0,,,107,,,,0,0,0,,1,9
ambre ; moulu,ambre,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,2
ambre ; vert,ambre,2,2,0,,0,,,0,0,,,0,,,,0,0,0,,1,1
amer,amer,???,???,0,,0,,,0,0,,,,,,1,0,0,0,,1,3
amertis,amertis,6,6d,0,Toile de coton blanche,0,,,0,0,,,0,,,,0,0,0,,1,1
ami de toillé,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1
amidon,amidon,5,5,0,,0,,,0,0,,,0,,,,0,0,0,,1,585
amidon et poudre à poudrer,amidon et poudre à poudrer,,,,,,,,,,,,,,,,,,,,1,1
ammoniac,ammoniac,5,5,1,"Savary, volume 1, 1748 : « Gomme […] On tire un esprit & une huile de cette gomme à qui l'on attribue de grandes vertus. »",1,0,Gum Armoniac,0,1,,,,,,,0,0,0,,1,1
ammonium,ammonium,,,,,,,,,,,,,,,,,,,,1,1
amomum,amomum,2,2,1,"Savary, volume 1, 1748 : «Espèce de fruit que l'on rapporte des Indes […]. L'Amomium qu'on compte parmi les drogues qui servent à la Médecine & qui entre particulièrement dans la composition de la Thériaque... »",1,1,Amomi Semen,1,0,,,0,,,,0,0,0,,1,6
amomum verum,amomum,2,2,,,,,,,,,,,,,,,,,,1,2
anacarde,anacarde,2,2,1,"Savary, volume 1, 1748 : «Espèce de sèves qui sont rapportées des grandes Indes […] ces sortes de sèves sont de quelque usage en Médecine étant un bon purgatif... »",1,0,Anacardium,1,0,,,2,,,,0,0,0,,1,1
ananas,fruits,0,0b,0,,0,,,0,0,,,2,,,,0,0,0,,1,32
ananas ; confit,fruits,0,0b,,,,,,,,,,,,,,,,,,1,1
anatose,anatose,???,???,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
anchois,anchois,0,0a,0,,0,,,0,0,,,25,,,,0,0,0,,1,331
anchois ; salé et mariné,anchois,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,2
ancre ; de fer,ancre,6,6,0,,,,,0,0,,,,,,,0,0,0,,0,0
ancre ; de fer ; à chaudron,ancre,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1
ancre ; gravelée,ancre,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1
ancre ; vide,ancre,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1
andes,andes,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1
andolium ou crockvisch,,,,,,,,,,,,,,,,,,,,,1,2
andouille,andouille,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,18
andouillette,andouillette,,,,,,,,,,,,,,,,,,,,1,1
âne et ânesse,âne et ânesse,9,9,,,,,,,,,,,,,,,,,,1,1
anguille,anguille,0,0a,0,,0,,,0,0,0,0a,57,,,,0,0,0,,1,20
anguille ; salée,anguille,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,3
angélique,angélique,2,2,1,"Savary, volume 1, 1748 : «Qu'on appelle aussi Archangelic ou Racine du S. Esprit,Angelica en latin ou Radix Siriaca. Plante médicinale fort estimée à cause des vertus qu'on lui croit contre les poisons, qui la fait entrer dans la composition du",1,0,Angelica,0,1,,,1,,,,0,0,0,,1,18
angélique ; du Rozème,angélique,2,2,1,"Savary, volume 1, 1748 : «Qu'on appelle aussi Archangelic ou Racine du S. Esprit,Angelica en latin ou Radix Siriaca. Plante médicinale fort estimée à cause des vertus qu'on lui croit contre les poisons, qui la fait entrer dans la composition du",1,0,Angelica,0,1,,,,,,,0,0,0,,1,1
animal ; domestique,animal domestique,9,9,,,,,,,,,,,,,,,,,,1,1
anis,anis,0,0a,0,,0,,,0,0,,,112,,,,0,0,0,,1,217
anis ; vert,anis,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,1
anis ; étoilé,anis,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,1
anis et sucre,anis et sucre,0,0a,,,,,,,,,,,,,,,,,,1,2
anisette,anisette,1,1,0,,0,,,0,0,,,2,,,,0,0,0,,1,42
anisette ; de Bordeaux,anisette,1,1,,,,,,,,,,,,,,,,,,1,1
anneau ; de fer,anneau,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1
anse ; de tonneau,anse,6,6,0,,0,,,0,0,,,,,,,0,0,0,,1,2
anspects,anspects,6,6,0,,0,,,0,0,,,4,,,,0,0,0,,1,87
antimoine,antimoine,6,6,1,"Savary, volume 1, 1748 : « Minéral qui approche fort de la nature des métaux, […] est d'un grand usage soit dans la fonte des métaux, dans la médecine et chez les Maréchaux. […] l'Antimoine, qui ne trouve plus d'adversaire et qui est devenu le ",1,0,Stibium,1,0,,,11,,,,0,0,0,,1,119
antimoine ; crû,antimoine,6,6,,,,,,,,,,,,,,,,,,1,1
antofle,antofle,0,0b,,,,,,,,,,,,,,,,,,1,1
antofle ; de girofle,antofle,0,0b,0,,0,,,0,0,,,6,,,,0,0,0,,1,9
apiers,,,,,,,,,,,,,,,,,,,,,1,2
apios,,,,,,,,,,,,,,,,,,,,,1,4
approvisionnement,,,,,,,,,,,,,,,,,,,,,1,1
apretée pour parchemin,,,,,,,,,,,,,,,,,,,,,1,1
apretée à telier les livre,,,,,,,,,,,,,,,,,,,,,1,1
arack,,,,,,,,,,,,,,,,,,,,,1,1
aracq,aracq,???,???,0,,0,,,0,0,,,46,,,,0,0,0,,1,6
arbaletrie et carte marine,arbaletrie et carte marine,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1
arbalète,arbalète,8,8,,,,,,,,,,,,,,,,,,1,1
arbre,arbres et arbrisseaux,2,2,0,,0,,,0,0,,,19,,,,0,0,0,,1,35
arbre ; chêne,arbres et arbrisseaux,2,2,,,,,,,,,,,,,,,,,,1,1
arbre ; de sapin,arbres et arbrisseaux,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
arbre ; en plant ; de bois,arbres et arbrisseaux,2,2,0,,0,,,0,0,,,4,,,,0,0,0,,1,2
arbre ; en plant ; de bois ; d'auban,arbres et arbrisseaux,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
arbre ; sauvage,arbres et arbrisseaux,2,2,,,,,,,,,,,,,,,,,,1,1
arbre ; tilleul,arbres et arbrisseaux,2,2,,,,,,,,,,,,,,,,,,1,3
arbre ; à fruit,arbres et arbrisseaux,2,2,0,,0,,,0,0,,,3,,,,0,0,0,,1,22
arbre ; à planter,arbres et arbrisseaux,2,2,,,,,,,,,,,,,,,,,,1,114
arbre ; à transformer en Pompe,arbres et arbrisseaux,2,2,,,,,,,,,,,,,,,,,,1,1
arbrisseau,arbres et arbrisseaux,2,2,,,,,,,,,,,,,,,,,,1,5
arcanson,arcanson,,,,,,,,,,,,,,,,,,,,1,2
archet de violon,archet de violon,,,,,,,,,,,,,,,,,,,,1,1
archiabanis,archiabanis,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1
ardoise,ardoise,6,6,0,,0,,,0,0,,,3,,,,0,0,0,,1,243
ardoise ; dite chérubin et à mortier,ardoise,6,6,,,,,,,,,,,,,,,,,,1,1
ardoise ; dite grande voisine,ardoise,6,6,,,,,,,,,,,,,,,,,,1,1
ardoise ; dite moyenne voisine,ardoise,6,6,,,,,,,,,,,,,,,,,,1,1
ardoise ; dite petite voisine,ardoise,6,6,,,,,,,,,,,,,,,,,,1,1
"ardoise ; dite voisine, grande, moyenne et petite",ardoise,6,6,,,,,,,,,,,,,,,,,,1,1
ardoise ; en livret,ardoise,6,6,,,,,,,,,,,,,,,,,,1,1
ardoise ; encadrée,ardoise,6,6,,,,,,,,,,,,,,,,,,1,1
ardoise ; encadrée et en livret,ardoise,6,6,,,,,,,,,,,,,,,,,,1,1
ardoise ; non travaillée,ardoise,6,6,,,,,,,,,,,,,,,,,,1,1
ardoise ; ordinaire,ardoise,6,6,,,,,,,,,,,,,,,,,,1,1
ardoise ; verte,ardoise,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
argent ; battu,argent ; métal,6,6,0,,0,,,0,0,,,2,,,,0,0,0,,1,1
argent ; brut,argent ; métal,6,6,0,,0,,,0,0,,,14,,,,0,0,0,,1,1
argent ; brûlé,argent ; métal,6,6,,,,,,,,,,,,,,,,,,1,1
argent ; carragoux,argent ; métal,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,2
argent ; divers,argent ; métal,6,6,0,,0,,,0,0,,,6,,,,0,0,0,,1,5
argent ; en barre,argent ; métal,6,6,,,,,,,,,,,,,,,,,,1,1
argent ; en couvert,argent ; métal,6,6,,,,,,,,,,,,,,,,,,1,1
argent ; en feuille,argent ; métal,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
argent ; en lame,argent ; métal,6,6,,,,,,,,,,,,,,,,,,1,1
argent ; en lingot,argent ; métal,6,6,0,,0,,,0,0,,,3,,,,0,0,0,,1,11
argent ; en matière,argent ; métal,6,6,,,,,,,,,,,,,,,,,,1,1
argent ; faux,argent ; faux,6,6,0,,0,,,0,0,,,5,,,,0,0,0,,1,10
argent ; fin,argent ; métal,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
argent ; or ; quadruple,monnaie,9,9a,0,,0,,,0,0,,,3,,,,0,0,0,,1,3
argent ; or ; sequin,monnaie,9,9a,0,,0,,,0,0,,,9,,,,0,0,0,,0,0
argent ; or ; sequin vénitien,monnaie,9,9a,0,,0,,,0,0,,,5,,,,0,0,0,,0,0
argent ; ouvré,argent ; métal,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1
argent ; paillette,argent ; métal,6,6,,,,,,,,,,,,,,,,,,1,1
argent ; sequin,monnaie,9,9a,0,,0,,,0,0,,,2,,,,0,0,0,,0,0
argent ; talari,monnaie,9,9a,0,,0,,,0,0,,,4,,,,0,0,0,,1,4
argent ; vif,mercure,5,5,1,"Savary, volume 3, 1748 : Base du Sublimé « Préparation chimique dont la base est le mercure ou le vif d'argent ; il y en a de deux sortes, de corrosif et de doux. […] réduit en poudre il tire sur le jaune. Il est bon pour faire mourir les vers ",1,1,Quicksilver ou Argentum Vivum,1,0,,,22,,,,0,0,0,,1,331
argent en baril,,,,,,,,,,,,,,,,,,,,,1,1
argent et or ; billon,,,,,,,,,,,,,,,,,,,,,1,1
argenterie,argenterie et orfèvrerie,8,8,0,,0,,,0,0,,,6,,,,0,0,0,,1,491
argenterie ; bague,argenterie et orfèvrerie,8,8,0,,0,,,0,0,,,,,,,0,0,0,,1,1
argenterie ; boucle,argenterie et orfèvrerie,8,8,0,,0,,,0,0,,,14,,,,0,0,0,,1,3
argenterie ; croix,argenterie et orfèvrerie,8,8,0,,0,,,0,0,,,1,,,,0,0,0,,1,3
argenterie ; diverse,argenterie et orfèvrerie,8,8,0,,0,,,0,0,,,1,,,,0,0,0,,1,41
argenterie ; en vaisselle,argenterie et orfèvrerie,8,8,,,,,,,,,,,,,,,,,,1,1
argenterie ; tabatière,argenterie et orfèvrerie,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1
argenterie ; vieille,argenterie et orfèvrerie,8,8,,,,,,,,,,,,,,,,,,1,1
argenterie ; épée,argenterie et orfèvrerie,8,8,0,,0,,,0,0,,,0,,,,0,0,0,,1,7
argenterie et bijouterie,argenterie et orfèvrerie,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,6
argenterie et orfèvrerie,argenterie et orfèvrerie,8,8,0,,0,,,0,0,,,8,,,,0,0,0,,1,121
argenterie et orfèvrerie ; vermeil,argenterie et orfèvrerie,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1
argile,argile,,,,,,,,,,,,,,,,,,,,1,1
aristoloche,aristoloche,2,2,1,"Savary, volume 1, 1748 : « Plante qui rentre dans la composition du Thériaque »",1,0,Aristolochia,0,1,,,3,,,,0,0,0,,1,19
armagnac,,,,,,,,,,,,,,,,,,,,,1,1
arme,arme,9,9,0,,0,,,0,0,,,162,,,,0,0,0,,1,158
arme ; artillerie,arme,9,9,,,,,,,,,,,,,,,,,,1,1
"arme ; artillerie ; en canon, pierrier, espingole et mortier",arme,9,9,0,,,,,0,0,,,,,,,0,0,0,,1,3
arme ; blanche,arme,9,9,0,,0,,,0,0,,,,,,,0,0,0,,1,128
arme ; blanche ; bayonnette,arme,9,9,0,,0,,,0,0,,,,,,,0,0,0,,1,1
arme ; blanche ; lame,arme,9,9,0,,0,,,0,0,,,,,,,0,0,0,,1,1
arme ; blanche ; lame ; d'épée,arme,9,9,,,,,,,,,,,,,,,,,,1,1
arme ; blanche ; lance d'épée,arme,9,9,0,,0,,,0,0,,,11,,,,0,0,0,,1,1
arme ; blanche ; sabre,arme,9,9,0,,0,,,0,0,,,85,,,,0,0,0,,1,4
arme ; blanche ; épée,arme,9,9,0,,0,,,0,0,,,3,,,,0,0,0,,1,12
arme ; blanche et à feu,arme,9,9,0,,,,,0,0,,,,,,,0,0,0,,1,1
arme ; canon et balle de fer,arme,9,9,,,,,,,,,,,,,,,,,,1,1
arme ; de main,arme,9,9,,,,,,,,,,,,,,,,,,1,1
arme ; diverse,arme,9,9,0,,,,,0,0,,,,,,,0,0,0,,1,100
arme ; pique,arme,9,9,,,,,,,,,,,,,,,,,,1,1
arme ; à feu,arme,9,9,0,,,,,0,0,,,,,,,0,0,0,,1,201
arme ; à feu ; diverse,arme,9,9,0,,,,,0,0,,,,,,,0,0,0,,1,25
arme ; à feu ; fusil,arme,9,9,0,,0,,,0,0,,,19,,,,0,0,0,,1,108
arme ; à feu ; fusil ; démonté,arme,9,9,,,,,,,,,,,,,,,,,,1,1
arme ; à feu ; fusil ; neuf,arme,9,9,0,,0,,,0,0,,,1,,,,0,0,0,,1,4
arme ; à feu ; fusil ; vieux,arme,9,9,0,,0,,,0,0,,,1,,,,0,0,0,,0,0
