numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value,,
40,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,5,Danemark,Amiens,55642,,
41,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,5,Danemark,Bordeaux,235742,,
42,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,5,Danemark,Caën,19690,,
43,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,5,Danemark,La Rochelle,235697,,
44,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,5,Danemark,Marseille,1164,,
45,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,5,Danemark,Montpellier,5375,,
46,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,5,Danemark,Nantes,81475,,
47,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,5,Danemark,Rennes,224989,,
48,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,5,Danemark,Roüen,457923,,
49,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,5,Danemark,Bordeaux,2310247,,
50,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,5,Danemark,Bourgogne,120,,
51,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,5,Danemark,Caën,1527,,
52,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,5,Danemark,La Rochelle,222670,,
53,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,5,Danemark,Marseille,26820,,
54,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,5,Danemark,Montpellier,297845,,
55,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,5,Danemark,Nantes,40175,,
56,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,5,Danemark,Rennes,495,,
57,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,5,Danemark,Roüen,131029,,
58,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,6,"Espagne, Canaries et Indes Occidentales",Amiens,1089616,,
59,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,6,"Espagne, Canaries et Indes Occidentales",Bayonne,4033362,,
60,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,6,"Espagne, Canaries et Indes Occidentales",Bordeaux,440015,,
61,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,6,"Espagne, Canaries et Indes Occidentales",Caën,33229,,
62,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,6,"Espagne, Canaries et Indes Occidentales",La Rochelle,34317,,
63,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,6,"Espagne, Canaries et Indes Occidentales",Marseille,8463581,,
64,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,6,"Espagne, Canaries et Indes Occidentales",Montpellier,303637,,
65,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,6,"Espagne, Canaries et Indes Occidentales",Nantes,919753,,
66,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,6,"Espagne, Canaries et Indes Occidentales",Narbonne,88765,,
67,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,6,"Espagne, Canaries et Indes Occidentales",Rennes,313679,,
68,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,6,"Espagne, Canaries et Indes Occidentales",Roüen,9247356,,
69,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,6,"Espagne, Canaries et Indes Occidentales",Saint Quentin,11259,,
70,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,6,"Espagne, Canaries et Indes Occidentales",Amiens,1551741,,
71,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,6,"Espagne, Canaries et Indes Occidentales",Bayonne,10071573,,
72,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,6,"Espagne, Canaries et Indes Occidentales",Bordeaux,858319,,
73,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,6,"Espagne, Canaries et Indes Occidentales",Châlons,346234,,
74,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,6,"Espagne, Canaries et Indes Occidentales",Flandre,914981,,
75,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,6,"Espagne, Canaries et Indes Occidentales",La Rochelle,380,,
76,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,6,"Espagne, Canaries et Indes Occidentales",Lyon,4429630,,
77,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,6,"Espagne, Canaries et Indes Occidentales",Marseille,14750764,,
78,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,6,"Espagne, Canaries et Indes Occidentales",Montpellier,470108,,
79,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,6,"Espagne, Canaries et Indes Occidentales",Nantes,2802038,,
80,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,6,"Espagne, Canaries et Indes Occidentales",Narbonne,471107,,
81,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,6,"Espagne, Canaries et Indes Occidentales",Rennes,7251180,,
82,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,6,"Espagne, Canaries et Indes Occidentales",Roüen,4138078,,
83,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,6,"Espagne, Canaries et Indes Occidentales",Saint Quentin,2414020,,
84,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,7,Flandre Autrichienne,Charleville,25091,,
85,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,7,Flandre Autrichienne,Flandre,4378407,,
86,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,7,Flandre Autrichienne,Nantes,159516,,
87,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,7,Flandre Autrichienne,Rennes,8807,,
88,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,7,Flandre Autrichienne,Roüen,785653,,
89,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,7,Flandre Autrichienne,Saint Quentin,283420,,
90,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,7,Flandre Autrichienne,Amiens,799264,,
91,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,7,Flandre Autrichienne,Bayonne,549462,,
92,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,7,Flandre Autrichienne,Bordeaux,917022,,
93,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,7,Flandre Autrichienne,Bourgogne,11807,,
94,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,7,Flandre Autrichienne,Châlons,365123,,
95,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,7,Flandre Autrichienne,Charleville,97489,,
96,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,7,Flandre Autrichienne,Flandre,5570870,,
97,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,7,Flandre Autrichienne,La Rochelle,145815,,
98,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,7,Flandre Autrichienne,Lyon,786817,,
99,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,7,Flandre Autrichienne,Montpellier,9616,,
100,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,7,Flandre Autrichienne,Nantes,1609540,,
101,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,7,Flandre Autrichienne,Roüen,357418,,
102,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,7,Flandre Autrichienne,Saint Quentin,400382,,
103,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,8,Geneve,Lyon,3765,,
104,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,8,Geneve,Amiens,2362,,
105,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,8,Geneve,Bordeaux,84059,,
106,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,8,Geneve,Bourgogne,18051,,
107,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,8,Geneve,Châlons,2288,,
108,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,8,Geneve,Flandre,13062,,
109,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,8,Geneve,Lyon,28336,,
110,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,8,Geneve,Marseille,455,,
111,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,8,Geneve,Roüen,64990,,
112,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,9,Hollande,Amiens,1056653,,
113,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,9,Hollande,Bayonne,1546646,,
114,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,9,Hollande,Bordeaux,2625955,,
115,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,9,Hollande,Caën,266127,,
116,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,9,Hollande,Charleville,6059,,
117,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,9,Hollande,La Rochelle,2288302,,
118,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,9,Hollande,Marseille,3090895,,
119,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,9,Hollande,Montpellier,8620,,
120,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,9,Hollande,Nantes,1249369,,
121,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,9,Hollande,Rennes,1363482,,
122,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,9,Hollande,Roüen,6969350,,
123,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,9,Hollande,Saint Quentin,6779,,
124,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,9,Hollande,Amiens,83101,,
125,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,9,Hollande,Bayonne,663531,,
126,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,9,Hollande,Bordeaux,10483624,,
127,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,9,Hollande,Bourgogne,1474,,
128,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,9,Hollande,Caën,4271,,
129,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,9,Hollande,Châlons,71310,,
130,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,9,Hollande,Flandre,9864,,
131,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,9,Hollande,La Rochelle,1635841,,
132,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,9,Hollande,Lyon,263350,,
133,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,9,Hollande,Marseille,1241417,,
134,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,9,Hollande,Montpellier,986344,,
135,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,9,Hollande,Nantes,3568891,,
136,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,9,Hollande,Rennes,2230525,,
137,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,9,Hollande,Roüen,3967624,,
138,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,9,Hollande,Saint Quentin,109470,,
139,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,10,Italie,Amiens,1050,,
140,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,10,Italie,Caën,9132,,
141,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,10,Italie,Lyon,1244,,
142,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,10,Italie,Marseille,4619647,,
143,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,10,Italie,Montpellier,170637,,
144,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,10,Italie,Roüen,1557169,,
145,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Italie,Amiens,579414,,
146,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Italie,Bordeaux,622027,,
147,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Italie,Bourgogne,15828,,
148,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Italie,Caën,7721,,
149,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Italie,Châlons,263203,,
150,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Italie,Flandre,137544,,
151,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Italie,La Rochelle,150413,,
152,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Italie,Lyon,7934070,,
153,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Italie,Marseille,7198127,,
154,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Italie,Montpellier,46632,,
155,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Italie,Nantes,474931,,
156,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Italie,Narbonne,53317,,
157,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Italie,Roüen,199322,,
158,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Italie,Saint Quentin,336700,,
159,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,10,Naples et Sicile,Marseille,13287650,,
160,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Naples et Sicile,Amiens,87815,,
161,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Naples et Sicile,Lyon,44857,,
162,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Naples et Sicile,Marseille,3978203,,
163,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Naples et Sicile,Saint Quentin,69300,,
164,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,10,Genes,Lyon,129800,,
165,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,10,Genes,Marseille,5208988,,
166,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,10,Genes,Narbonne,500,,
167,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Genes,Amiens,1820,,
168,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Genes,Châlons,11520,,
169,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Genes,Lyon,20603,,
170,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Genes,Marseille,5327220,,
171,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Genes,Narbonne,3110,,
172,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Genes,Saint Quentin,14980,,
173,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,10,Venise,Marseille,2117977,,
174,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Venise,Lyon,4350,,
175,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,10,Venise,Marseille,1312883,,
176,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,11,Levant,Marseille,34869960,,
177,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,11,Levant,Flandre,1244886,,
178,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Exports,11,Levant,Marseille,28873727,,
179,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,12,Nord dont villes anséatiques,Amiens,275247,,
180,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,12,Nord dont villes anséatiques,Bayonne,584900,,
181,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,12,Nord dont villes anséatiques,Bordeaux,888036,,
182,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,12,Nord dont villes anséatiques,La Rochelle,20980,,
183,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,12,Nord dont villes anséatiques,Marseille,328893,,
184,Stephen Jackson,IIHS-123,National toutes directions sans produits/1768.csv,National toutes directions sans produits,1768,Imports,12,Nord dont villes anséatiques,Nantes,847197,,
