numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value,
61,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,5,Danemark,Roüen,79465,14
62,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,6,"Espagne, Canaries et Indes Occidentalles",Amiens,21201,8
63,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,6,"Espagne, Canaries et Indes Occidentalles",Bayonne,3082106,15
64,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,6,"Espagne, Canaries et Indes Occidentalles",Bordeaux,224513,2
65,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,6,"Espagne, Canaries et Indes Occidentalles",Caën,924,18
66,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,6,"Espagne, Canaries et Indes Occidentalles",La Rochelle,14702,0
67,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,6,"Espagne, Canaries et Indes Occidentalles",Marseille,10273652,3
68,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,6,"Espagne, Canaries et Indes Occidentalles",Montpellier,122704,6
69,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,6,"Espagne, Canaries et Indes Occidentalles",Nantes,698945,18
70,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,6,"Espagne, Canaries et Indes Occidentalles",Narbonne,64972,2
71,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,6,"Espagne, Canaries et Indes Occidentalles",Rennes,2998736,11
72,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,6,"Espagne, Canaries et Indes Occidentalles",Roüen,6482754,8
73,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,6,"Espagne, Canaries et Indes Occidentalles",Amiens,1196617,6
74,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,6,"Espagne, Canaries et Indes Occidentalles",Bayonne,7930404,3
75,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,6,"Espagne, Canaries et Indes Occidentalles",Bordeaux,1075583,7
76,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,6,"Espagne, Canaries et Indes Occidentalles",Bourgogne,150,0
77,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,6,"Espagne, Canaries et Indes Occidentalles",Châlons,144987,10
78,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,6,"Espagne, Canaries et Indes Occidentalles",Flandre,1884818,0
79,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,6,"Espagne, Canaries et Indes Occidentalles",Langres,400,0
80,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,6,"Espagne, Canaries et Indes Occidentalles",La Rochelle,103951,0
81,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,6,"Espagne, Canaries et Indes Occidentalles",Lyon,3021001,10
82,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,6,"Espagne, Canaries et Indes Occidentalles",Marseille,18524261,6
83,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,6,"Espagne, Canaries et Indes Occidentalles",Montpellier,918704,3
84,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,6,"Espagne, Canaries et Indes Occidentalles",Nantes,2806035,9
85,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,6,"Espagne, Canaries et Indes Occidentalles",Narbonne,104141,15
86,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,6,"Espagne, Canaries et Indes Occidentalles",Rennes,16288140,13
87,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,6,"Espagne, Canaries et Indes Occidentalles",Roüen,3435701,18
88,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,6,"Espagne, Canaries et Indes Occidentalles",Saint Quentin,754460,0
89,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,7,Flandre Autrichienne,Amiens,89258,0
90,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,7,Flandre Autrichienne,Bayonne,6310,0
91,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,7,Flandre Autrichienne,Châlons,904,16
92,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,7,Flandre Autrichienne,Charleville,51083,10
93,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,7,Flandre Autrichienne,Flandre,3756152,3
94,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,7,Flandre Autrichienne,Roüen,1890,0
95,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,7,Flandre Autrichienne,Saint Quentin,453268,11
96,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,7,Flandre Autrichienne,Amiens,708801,0
97,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,7,Flandre Autrichienne,Bayonne,371622,0
98,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,7,Flandre Autrichienne,Bordeaux,100034,10
99,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,7,Flandre Autrichienne,Bourgogne,395705,1
100,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,7,Flandre Autrichienne,Châlons,392396,16
101,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,7,Flandre Autrichienne,Charleville,23747,15
102,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,7,Flandre Autrichienne,Flandre,3198009,13
103,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,7,Flandre Autrichienne,Langres,1660,0
104,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,7,Flandre Autrichienne,La Rochelle,78289,0
105,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,7,Flandre Autrichienne,Lyon,505767,16
106,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,7,Flandre Autrichienne,Nantes,1022978,14
107,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,7,Flandre Autrichienne,Rennes,645037,18
108,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,7,Flandre Autrichienne,Roüen,317831,9
109,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,7,Flandre Autrichienne,Saint Quentin,288465,19
110,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,8,Hollande,Amiens,990321,14
111,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,8,Hollande,Bayonne,1115555,10
112,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,8,Hollande,Bordeaux,2608432,8
113,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,8,Hollande,Caën,503264,0
114,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,8,Hollande,Charleville,65509,15
115,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,8,Hollande,Flandre,112,0
116,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,8,Hollande,La Rochelle,796375,4
117,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,8,Hollande,Marseille,1870481,2
118,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,8,Hollande,Montpellier,25689,2
119,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,8,Hollande,Nantes,1769567,4
120,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,8,Hollande,Rennes,446687,19
121,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,8,Hollande,Roüen,5973930,7
122,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,8,Hollande,Saint Quentin,162015,9
123,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,8,Hollande,Amiens,31011,6
124,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,8,Hollande,Bayonne,580168,9
125,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,8,Hollande,Bordeaux,14224181,17
126,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,8,Hollande,Bourgogne,10031,13
127,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,8,Hollande,Caën,33485,13
128,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,8,Hollande,Châlons,63128,5
129,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,8,Hollande,Charleville,1339,10
130,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,8,Hollande,Flandre,2250,0
131,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,8,Hollande,La Rochelle,820781,17
132,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,8,Hollande,Lyon,115835,0
133,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,8,Hollande,Marseille,1649995,18
134,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,8,Hollande,Montpellier,1919223,17
135,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,8,Hollande,Nantes,5383861,9
136,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,8,Hollande,Rennes,3390422,4
137,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,8,Hollande,Roüen,3866045,7
138,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,8,Hollande,Saint Quentin,1177266,15
139,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,9,Italie,Bourgogne,638,14
140,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,9,Italie,Langres,562,12
141,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,9,Italie,Lyon,2633906,6
142,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,9,Italie,Marseille,11254003,16
143,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,9,Italie,Montpellier,82198,14
144,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,9,Italie,Roüen,3368595,2
145,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,9,Italie,Amiens,645661,10
146,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,9,Italie,Bayonne,9600,0
147,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,9,Italie,Bordeaux,1190167,2
148,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,9,Italie,Bourgogne,21364,15
149,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,9,Italie,Châlons,484462,10
150,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,9,Italie,Flandre,113614,0
151,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,9,Italie,La Rochelle,507253,1
152,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,9,Italie,Lyon,8104706,5
