numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value,,,
50,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,68,Danemark,La Rochelle,208690,,
51,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,68,Danemark,Montpellier,32860,,
52,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,68,Danemark,Nantes,75661,,
53,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,68,Danemark,Paris,20180,,
54,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,68,Danemark,Rennes,117079,,
55,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,68,Danemark,Roüen,295166,,
56,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,68,Danemark,Amiens,5875,,
57,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,68,Danemark,Bayonne,41480,,
58,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,68,Danemark,Bordeaux,3287988,,
59,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,68,Danemark,Caën,2837,,
60,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,68,Danemark,La Rochelle,152744,,
61,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,68,Danemark,Montpellier,209428,,
62,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,68,Danemark,Nantes,143931,,
63,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,68,Danemark,Paris,26212,,
64,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,68,Danemark,Rennes,35125,,
65,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,68,Danemark,Roüen,136458,,
66,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,69,"Espagne, Canaries et Indes Occidentalles",Amiens,662698,,
67,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,69,"Espagne, Canaries et Indes Occidentalles",Bayonne,3072344,,
68,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,69,"Espagne, Canaries et Indes Occidentalles",Bordeaux,865212,,
69,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,69,"Espagne, Canaries et Indes Occidentalles",Caën,57960,,
70,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,69,"Espagne, Canaries et Indes Occidentalles",La Rochelle,1899793,,
71,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,69,"Espagne, Canaries et Indes Occidentalles",Marseille,11467778,,
72,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,69,"Espagne, Canaries et Indes Occidentalles",Montpellier,936057,,
73,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,69,"Espagne, Canaries et Indes Occidentalles",Nantes,1093065,,
74,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,69,"Espagne, Canaries et Indes Occidentalles",Narbonne,194482,,
75,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,69,"Espagne, Canaries et Indes Occidentalles",Paris,9670,,
76,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,69,"Espagne, Canaries et Indes Occidentalles",Rennes,684801,,
77,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,69,"Espagne, Canaries et Indes Occidentalles",Roüen,14493319,,
78,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,69,"Espagne, Canaries et Indes Occidentalles",Saint Quentin,9827,,
79,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,69,"Espagne, Canaries et Indes Occidentalles",Amiens,2679383,,
80,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,69,"Espagne, Canaries et Indes Occidentalles",Bayonne,5864725,,
81,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,69,"Espagne, Canaries et Indes Occidentalles",Bordeaux,575328,,
82,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,69,"Espagne, Canaries et Indes Occidentalles",Caën,730,,
83,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,69,"Espagne, Canaries et Indes Occidentalles",Châlons,250892,,
84,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,69,"Espagne, Canaries et Indes Occidentalles",Flandre,348059,,
85,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,69,"Espagne, Canaries et Indes Occidentalles",La Rochelle,4351,,
86,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,69,"Espagne, Canaries et Indes Occidentalles",Lyon,5190341,,
87,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,69,"Espagne, Canaries et Indes Occidentalles",Marseille,11688651,,
88,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,69,"Espagne, Canaries et Indes Occidentalles",Montpellier,376832,,
89,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,69,"Espagne, Canaries et Indes Occidentalles",Nantes,2094962,,
90,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,69,"Espagne, Canaries et Indes Occidentalles",Narbonne,822127,,
91,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,69,"Espagne, Canaries et Indes Occidentalles",Paris,1375754,,
92,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,69,"Espagne, Canaries et Indes Occidentalles",Rennes,8103551,,
93,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,69,"Espagne, Canaries et Indes Occidentalles",Roüen,3124085,,
94,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,69,"Espagne, Canaries et Indes Occidentalles",Saint Quentin,1846432,,
95,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,70,Flandre Autrichienne,Amiens,923,,
96,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,70,Flandre Autrichienne,Caën,86743,,
97,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,70,Flandre Autrichienne,Charleville,30986,,
98,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,70,Flandre Autrichienne,Flandre,9326139,,
99,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,70,Flandre Autrichienne,Paris,5075,,
100,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,70,Flandre Autrichienne,Roüen,2031048,,
101,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,70,Flandre Autrichienne,Saint Quentin,283986,,
102,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,70,Flandre Autrichienne,Amiens,458224,,
103,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,70,Flandre Autrichienne,Bayonne,422267,,
104,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,70,Flandre Autrichienne,Bordeaux,2853095,,
105,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,70,Flandre Autrichienne,Bourgogne,75407,,
106,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,70,Flandre Autrichienne,Caën,7699,,
107,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,70,Flandre Autrichienne,Châlons,482570,,
108,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,70,Flandre Autrichienne,Charleville,26671,,
109,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,70,Flandre Autrichienne,Flandre,5051551,,
110,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,70,Flandre Autrichienne,Langres,8205,,
111,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,70,Flandre Autrichienne,La Rochelle,38369,,
112,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,70,Flandre Autrichienne,Lyon,1017156,,
113,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,70,Flandre Autrichienne,Montpellier,87250,,
114,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,70,Flandre Autrichienne,Paris,522089,,
115,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,70,Flandre Autrichienne,Roüen,502893,,
116,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,70,Flandre Autrichienne,Saint Quentin,284548,,
117,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,71,Geneve,Bourgogne,2687,,
118,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,71,Geneve,Lyon,148950,,
119,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,71,Geneve,Paris,1000,,
120,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,71,Geneve,Bordeaux,565983,,
121,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,71,Geneve,Bourgogne,89539,,
122,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,71,Geneve,Flandre,20907,,
123,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,71,Geneve,Lyon,1986330,,
124,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,71,Geneve,Marseille,1267,,
125,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,71,Geneve,Montpellier,364018,,
126,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,71,Geneve,Paris,111230,,
127,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,71,Geneve,Roüen,206764,,
128,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,71,Geneve,Saint Quentin,10780,,
129,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,72,Hollande,Amiens,818951,,
130,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,72,Hollande,Bayonne,910980,,
131,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,72,Hollande,Bordeaux,9297945,,
132,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,72,Hollande,Bourgogne,700,,
133,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,72,Hollande,Caën,125757,,
134,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,72,Hollande,Flandre,1597,,
135,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,72,Hollande,La Rochelle,3467591,,
136,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,72,Hollande,Marseille,4090136,,
137,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,72,Hollande,Montpellier,12038,,
138,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,72,Hollande,Nantes,1669924,,
139,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,72,Hollande,Paris,87953,,
140,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,72,Hollande,Rennes,926867,,
141,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,72,Hollande,Roüen,5317772,,
142,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,72,Hollande,Saint Quentin,104563,,
143,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,72,Hollande,Amiens,43426,,
144,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,72,Hollande,Bayonne,722463,,
145,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,72,Hollande,Bordeaux,14188006,,
146,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,72,Hollande,Caën,164,,
147,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,72,Hollande,Châlons,86323,,
148,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,72,Hollande,Flandre,21144,,
149,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,72,Hollande,La Rochelle,275299,,
150,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,72,Hollande,Lyon,372544,,
151,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,72,Hollande,Marseille,1058677,,
152,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,72,Hollande,Montpellier,1179104,,
153,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,72,Hollande,Nantes,4150505,,
154,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,72,Hollande,Paris,640694,,
155,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,72,Hollande,Rennes,1393325,,
156,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,72,Hollande,Roüen,3045432,,
157,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,72,Hollande,Saint Quentin,225902,,
158,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,73,Italie,Bordeaux,40865,,
159,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,73,Italie,Bourgogne,450,,
160,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,73,Italie,Marseille,4717474,,
161,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,73,Italie,Montpellier,861874,,
162,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,73,Italie,Narbonne,8690,,
163,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,73,Italie,Paris,20760,,
164,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,73,Italie,Roüen,1437148,,
165,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Italie,Amiens,342096,,
166,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Italie,Bordeaux,2764736,,
167,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Italie,Bourgogne,420,,
168,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Italie,Caën,3169,,
169,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Italie,Châlons,343819,,
170,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Italie,Flandre,128988,,
171,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Italie,La Rochelle,82082,,
172,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Italie,Lyon,8968473,,
173,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Italie,Marseille,8034922,,
174,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Italie,Montpellier,569011,,
175,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Italie,Nantes,669403,,
176,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Italie,Narbonne,46218,,
177,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Italie,Paris,588759,,
178,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Italie,Roüen,287239,,
179,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Italie,Saint Quentin,351764,,
