numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value
135,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Hollande,Paris,4070
136,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Hollande,Rennes,3454973
137,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Hollande,Roüen,4841393
138,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Hollande,Saint Quentin,280693
139,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Hollande,Amiens,55036
140,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Hollande,Bayonne,591038
141,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Hollande,Bordeaux,11068282
142,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Hollande,Caën,5120
143,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Hollande,Châlons,9117
144,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Hollande,Flandre,125064
145,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Hollande,La Rochelle,1096316
146,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Hollande,Lyon,492637
147,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Hollande,Marseille,2619969
148,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Hollande,Montpellier,2804088
149,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Hollande,Nantes,1547671
150,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Hollande,Paris,408516
151,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Hollande,Rennes,2323744
152,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Hollande,Roüen,1768193
153,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Hollande,Saint Quentin,820920
154,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Italie,Lyon,4624
155,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Italie,Marseille,7884627
156,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Italie,Montpellier,394807
157,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Italie,Nantes,167057
158,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Italie,Paris,73903
159,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Italie,Roüen,1589210
160,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Italie,Saint Quentin,30968
161,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Italie,Amiens,380351
162,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Italie,Bordeaux,482527
163,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Italie,Caën,1943
164,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Italie,Châlons,498550
165,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Italie,Flandre,134980
166,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Italie,La Rochelle,26885
167,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Italie,Lyon,6265763
168,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Italie,Marseille,6735599
169,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Italie,Montpellier,151311
170,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Italie,Nantes,250409
171,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Italie,Narbonne,64480
172,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Italie,Paris,597124
173,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Italie,Rennes,29758
174,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Italie,Roüen,793399
175,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Italie,Saint Quentin,419412
176,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Genes,Marseille,3290551
177,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Genes,Narbonne,7824
178,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Genes,Châlons,10232
179,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Genes,Flandre,1115
180,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Genes,Marseille,1115292
181,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Genes,Narbonne,62550
182,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Genes,Saint Quentin,66220
183,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Naples,Marseille,754376
184,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Naples,Marseille,552930
185,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Naples,Saint Quentin,56980
186,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Venise,Marseille,302251
187,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Venise,Marseille,128472
188,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Levant,Bourgogne,2813
189,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Levant,Marseille,16122666
190,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Levant,Flandre,879877
191,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Levant,Marseille,12459907
192,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Nord,Amiens,27075
193,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Nord,Bayonne,143638
194,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Nord,Bordeaux,5789460
195,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Nord,La Rochelle,81435
196,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Nord,Marseille,677456
197,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Nord,Nantes,322882
198,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Nord,Rennes,165187
199,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,Nord,Roüen,1749359
200,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Nord,Bayonne,324614
201,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Nord,Bordeaux,19292903
202,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Nord,La Rochelle,546489
203,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Nord,Marseille,1009194
204,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Nord,Nantes,19485
205,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Nord,Paris,52240
206,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Nord,Rennes,844102
207,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,exports,,Nord,Roüen,426091
208,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Portugal et Isles Terceres, Madère et Açores",Amiens,15090
209,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Portugal et Isles Terceres, Madère et Açores",Bayonne,32672
210,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Portugal et Isles Terceres, Madère et Açores",Caën,3192
211,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Portugal et Isles Terceres, Madère et Açores",La Rochelle,12217
212,Stephen Jackson,,National toutes directions sans produits/1778.csv,National toutes directions sans produits,1779,imports,,"Portugal et Isles Terceres, Madère et Açores",Marseille,306949
