Ville;Type;product_simplification;Product_selection
Nantes;Exports;sel du Poulinguen;1
Nantes;Exports;selles de velours;
Nantes;Exports;serge de laine;1
Nantes;Exports;siamoise;
Nantes;Exports;sirop d'amont;
Nantes;Exports;sirop de mélasse;1
Nantes;Exports;sirop de sucre;
Nantes;Exports;soierie;
Nantes;Exports;soucis;
Nantes;Exports;souliers;
Nantes;Exports;sucre blanc;1
Nantes;Exports;sucre brut;1
Nantes;Exports;sucre en pain;
Nantes;Exports;sucre terré;1
Nantes;Exports;sucre têtes;
Nantes;Exports;suif;
Nantes;Exports;taffetas;
Nantes;Exports;tafia;
Nantes;Exports;tapsel;
Nantes;Exports;terre à raffiner le sucre;
Nantes;Exports;thé;
Nantes;Exports;thé bou;
Nantes;Exports;toile chasselas;
Nantes;Exports;toile corot;
Nantes;Exports;toile de Bretagne;1
Nantes;Exports;toile de Cholet;1
Nantes;Exports;toile de coton des Indes;
Nantes;Exports;toile guingans;
Nantes;Exports;toile peinte;
Nantes;Exports;tuffeaux;
Nantes;Exports;verdet;
Nantes;Exports;verres à boire;
Nantes;Exports;vin d'Amont;
Nantes;Exports;vin de Nantes;
Nantes;Exports;vin du Quercy;
Nantes;Imports;acier;
Nantes;Imports;alun;
Nantes;Imports;amidon;
Nantes;Imports;ancres de fer;
Nantes;Imports;arsenic;
Nantes;Imports;avirons;
Nantes;Imports;azur;
Nantes;Imports;azur commun;
Nantes;Imports;bajutapau;
Nantes;Imports;balais de jonc;
Nantes;Imports;baleine coupée;
Nantes;Imports;barres d'anspects;
Nantes;Imports;barres de fer;
Nantes;Imports;bâtons de sapin;
Nantes;Imports;beurre;
Nantes;Imports;bière;
Nantes;Imports;bœuf fumé;
Nantes;Imports;bœuf salé;
Nantes;Imports;bois de Brésil;
Nantes;Imports;bois de Campêche;
Nantes;Imports;bois de gaïac;
Nantes;Imports;borax;
Nantes;Imports;brai gras;1
Nantes;Imports;brosses;
Nantes;Imports;cabillaud;
Nantes;Imports;cacao;1
Nantes;Imports;café;1
Nantes;Imports;cannelle;
Nantes;Imports;cauris;
Nantes;Imports;caves de 6 flacons;
Nantes;Imports;caves de 9 flacons;
Nantes;Imports;cercles de fer;
Nantes;Imports;céruse;
Nantes;Imports;chaises de commodité;
Nantes;Imports;chandelle;
Nantes;Imports;chanvre cru;
Nantes;Imports;chocolat;
Nantes;Imports;cire jaune;
Nantes;Imports;clous de fer;1
Nantes;Imports;colle forte;
Nantes;Imports;confitures;
Nantes;Imports;cordage;
Nantes;Imports;coton;1
Nantes;Imports;couperose;
Nantes;Imports;couperose verte;
Nantes;Imports;cuirs de bœuf en poil;
Nantes;Imports;cuirs de Russie;
Nantes;Imports;cuirs en poil;
Nantes;Imports;cuivre brut;
Nantes;Imports;dents d'éléphant;
Nantes;Imports;douelles pour barriques;
Nantes;Imports;douelles pour pipes;
Nantes;Imports;drogues;
Nantes;Imports;eau-forte;
Nantes;Imports;écaille de tortue;
Nantes;Imports;épicerie;
Nantes;Imports;espars;
Nantes;Imports;étain en bloc;
Nantes;Imports;fer-blanc;
Nantes;Imports;fer-blanc simple;
Nantes;Imports;fer noir;
Nantes;Imports;figue;
Nantes;Imports;fil de fer;
Nantes;Imports;fil de laiton;
Nantes;Imports;fromage;
Nantes;Imports;garance;
Nantes;Imports;gingembre;
Nantes;Imports;girofle;
Nantes;Imports;goudron;
Nantes;Imports;grains riz;1
Nantes;Imports;grains seigle;
Nantes;Imports;guinée;
Nantes;Imports;harengs blancs;1
Nantes;Imports;huile d'olive;1
Nantes;Imports;huile de poisson;
Nantes;Imports;huile de rabette;
Nantes;Imports;indienne;
Nantes;Imports;indigo;1
Nantes;Imports;jambon;
Nantes;Imports;laine;
Nantes;Imports;laine en suint;
Nantes;Imports;limeneas;
Nantes;Imports;lin cru;
Nantes;Imports;lin peigné;
Nantes;Imports;litharge;
Nantes;Imports;manches de gaffes;
Nantes;Imports;mâtereaux;
Nantes;Imports;mercerie;
Nantes;Imports;mercure;
Nantes;Imports;mine de plomb;
Nantes;Imports;morue sèche;1
Nantes;Imports;nicanéas;
Nantes;Imports;orge mondé;
Nantes;Imports;ouvrages de cuivre;
Nantes;Imports;piment;
Nantes;Imports;pipes à fumer;1
Nantes;Imports;planches de sapin;
Nantes;Imports;planches de sapin commun;1
Nantes;Imports;planches de sapin de 10 pieds;
Nantes;Imports;planches de sapin de 12 pieds;
Nantes;Imports;planches de sapin de 8 à 9 pieds;
Nantes;Imports;planches de sapin de 9 à 10 pieds;
Nantes;Imports;platille;
Nantes;Imports;plomb en grenaille;
Nantes;Imports;plomb en saumon;
Nantes;Imports;plumes à écrire;1
Nantes;Imports;pois de Bourgogne;
Nantes;Imports;poivre;
Nantes;Imports;potasse;
Nantes;Imports;quincaillerie de fer;
Nantes;Imports;raisin sec;1
Nantes;Imports;rassades;
Nantes;Imports;rave de morue;
Nantes;Imports;rocou;
Nantes;Imports;saumon salé;
Nantes;Imports;soufre;
Nantes;Imports;stockfisch;1
Nantes;Imports;sucre brut;
Nantes;Imports;sucre en pain;
Nantes;Imports;sucre terré;1
Nantes;Imports;sucre têtes;
Nantes;Imports;suif;
Nantes;Imports;sumac;
Nantes;Imports;tapsel;
Nantes;Imports;thé;
Nantes;Imports;toile corot;
Nantes;Imports;toile peinte;
Nantes;Imports;toile pour voile;
Nantes;Imports;tôle de fer;
Nantes;Imports;vermillon;
Nantes;Imports;verroterie;
Marseille;Imports;acier;
Marseille;Imports;agaric;
Marseille;Imports;ajamis;
Marseille;Imports;allaya;
Marseille;Imports;aloès;
Marseille;Imports;alquifoux;
Marseille;Imports;alun;
Marseille;Imports;amadou;
Marseille;Imports;amandes;
Marseille;Imports;amandes cassées;
Marseille;Imports;amidon;
Marseille;Imports;anchois;
Marseille;Imports;ancres de fer;
Marseille;Imports;anis;
Marseille;Imports;anis vert;
Marseille;Imports;arsenic;
Marseille;Imports;asa fœtida;
Marseille;Imports;auf;
Marseille;Imports;avirons;
Marseille;Imports;avoine;
Marseille;Imports;azur;
Marseille;Imports;azur commun;
Marseille;Imports;babouches;
Marseille;Imports;baguettes de fusil;
Marseille;Imports;balais de palme;
Marseille;Imports;baleine coupée;
Marseille;Imports;barils vides;
Marseille;Imports;barres de fer;
Marseille;Imports;bas de coton;
Marseille;Imports;bas de coton et bas de fil;
Marseille;Imports;bas de fil;1
Marseille;Imports;bas de laine;
Marseille;Imports;bas de soie;1
Marseille;Imports;basanes tannées;
Marseille;Imports;basin;
Marseille;Imports;batanomes;
Marseille;Imports;baume;
Marseille;Imports;baume de Copahu;
Marseille;Imports;baume du Pérou;
Marseille;Imports;benjoin;
Marseille;Imports;bergamotes;
Marseille;Imports;beurre;
Marseille;Imports;bœuf salé;
Marseille;Imports;bois de Brésil;
Marseille;Imports;bois de buis;
Marseille;Imports;bois de Campêche;
Marseille;Imports;bois de gaïac;
Marseille;Imports;bois de Sainte-Marthe;
Marseille;Imports;bois de santal;
Marseille;Imports;bois fustet;
Marseille;Imports;bois jaune;
Marseille;Imports;bois pour brûler;
Marseille;Imports;bois pour construction;
Marseille;Imports;bois pour crible;
Marseille;Imports;bois pour teindre;
Marseille;Imports;bonnets de coton;
Marseille;Imports;bonnets de laine;
Marseille;Imports;borax;
Marseille;Imports;boucassin;
Marseille;Imports;bourre à bâtier;
Marseille;Imports;bourre de soie;
Marseille;Imports;bouteilles de verre;
Marseille;Imports;brai;1
Marseille;Imports;brai gras;1
Marseille;Imports;brai sec;1
Marseille;Imports;brun rouge;
Marseille;Imports;cacao;1
Marseille;Imports;café;1
Marseille;Imports;camphre;
Marseille;Imports;canefice;
Marseille;Imports;cannelle;
Marseille;Imports;canons de fer;
Marseille;Imports;cantharides;
Marseille;Imports;capillaire en herbes;
Marseille;Imports;capots;
Marseille;Imports;câpres;
Marseille;Imports;carouge;
Marseille;Imports;carreaux de marbre;
Marseille;Imports;carubis;
Marseille;Imports;cédrat;
Marseille;Imports;cendre;
Marseille;Imports;cendre bourde;
Marseille;Imports;cendre commune;
Marseille;Imports;cercles de bois;
Marseille;Imports;cercles de fer;
Marseille;Imports;cercles pour barils;
Marseille;Imports;céruse;
Marseille;Imports;chair salée;
Marseille;Imports;champignons;
Marseille;Imports;chandelle;
Marseille;Imports;chanvre battu;
Marseille;Imports;chanvre cru;
Marseille;Imports;chanvre peigné;
Marseille;Imports;chapeaux de paille;
Marseille;Imports;charbon de bois;
Marseille;Imports;charbon de terre;1
Marseille;Imports;châtaignes;
Marseille;Imports;châtaignes sèches;
Marseille;Imports;cheveux;
Marseille;Imports;chevrons;
Marseille;Imports;chocolat;
Marseille;Imports;cinabre;
Marseille;Imports;cire blanche;
Marseille;Imports;cire en grabeau;
Marseille;Imports;cire jaune;
Marseille;Imports;citrons et limons;
Marseille;Imports;citrons et orange;
Marseille;Imports;civadille;
Marseille;Imports;clous de fer;1
Marseille;Imports;cochenille;
Marseille;Imports;cochenille en grabeau;
Marseille;Imports;cochenille sylvestre;
Marseille;Imports;cocons de soie;
Marseille;Imports;colle de poisson;
Marseille;Imports;colle forte;
Marseille;Imports;colombine;
Marseille;Imports;coloquinte;
Marseille;Imports;confitures;
Marseille;Imports;conterie;
Marseille;Imports;coque du Levant;
Marseille;Imports;coquillage;
Marseille;Imports;corbeilles d'osier;
Marseille;Imports;cordage d'espars;
Marseille;Imports;cordage de chanvre;
Marseille;Imports;cordes pour violons;
Marseille;Imports;cordouans;
Marseille;Imports;cornes de cerf;
Marseille;Imports;cornes de mouton;
Marseille;Imports;coton;1
Marseille;Imports;coton soufré;
Marseille;Imports;couffins à boulanger;
Marseille;Imports;couffins de palme;
Marseille;Imports;couperose;
Marseille;Imports;couperose verte;
Marseille;Imports;couteaux;
Marseille;Imports;couvertures de coton;
Marseille;Imports;couvertures de coton et de fil;
Marseille;Imports;couvertures de laine;
Marseille;Imports;crin;
Marseille;Imports;cuirs de bœuf en poil;
Marseille;Imports;cuirs de bœuf tannés;
Marseille;Imports;cuirs de Russie;
Marseille;Imports;cuirs en poil;
Marseille;Imports;cuirs en poil de vache;
Marseille;Imports;cuirs tannés;
Marseille;Imports;cuivre brut;
Marseille;Imports;cuivre tangoul;
Marseille;Imports;cuivre vieux;
Marseille;Imports;cumin;
Marseille;Imports;dattes;
Marseille;Imports;demitte;
Marseille;Imports;dents d'éléphant;
Marseille;Imports;drap commun;
Marseille;Imports;drap petit;
Marseille;Imports;drapeaux vieux;
Marseille;Imports;drogues;
Marseille;Imports;eau-de-vie;1
Marseille;Imports;eau de citron;
Marseille;Imports;eau de fleurs d'oranger;
Marseille;Imports;eau de senteur;
Marseille;Imports;eau de senteur de la reine de Hongrie;1
Marseille;Imports;écaille de tortue;
Marseille;Imports;écorce d'orange;
Marseille;Imports;écorce de citron;
Marseille;Imports;égouttoirs;
Marseille;Imports;encens;
Marseille;Imports;encens en grabeau;
Marseille;Imports;épicerie;
Marseille;Imports;éponges;
Marseille;Imports;escamitte;
Marseille;Imports;escayolles;
Marseille;Imports;espars;
Marseille;Imports;esprit de bergamote;
Marseille;Imports;esprit de citron;
Marseille;Imports;essence;
Marseille;Imports;estrasse de soie;
Marseille;Imports;étain en bloc;
Marseille;Imports;étoffe de soie;
Marseille;Imports;étoupes de chanvre;
Marseille;Imports;étoupes de soie;
Marseille;Imports;faïence;
Marseille;Imports;farine;
Marseille;Imports;fer-blanc;
Marseille;Imports;fer en plaques;
Marseille;Imports;fer vieux;
Marseille;Imports;feuilles de tabac;
Marseille;Imports;fèves;
Marseille;Imports;ficelle;
Marseille;Imports;figue;
Marseille;Imports;fil à coudre;1
Marseille;Imports;fil blanc;
Marseille;Imports;fil cru;
Marseille;Imports;fil de chèvre;
Marseille;Imports;fil de coton;
Marseille;Imports;fil de fer;
Marseille;Imports;fil de laiton;
Marseille;Imports;fil pour voile;1
Marseille;Imports;filets à pêcher;
Marseille;Imports;filoselle;
Marseille;Imports;fleurs artificielles;
Marseille;Imports;follicule de séné;
Marseille;Imports;fourrure de soie;
Marseille;Imports;fromage;
Marseille;Imports;fruits frais;
Marseille;Imports;fruits verts;
Marseille;Imports;galbanum;
Marseille;Imports;galle;
Marseille;Imports;galle légère;
Marseille;Imports;garance;
Marseille;Imports;gingembre;
Marseille;Imports;girofle;
Marseille;Imports;glu;
Marseille;Imports;gomme adragant;
Marseille;Imports;gomme ammoniac;
Marseille;Imports;gomme arabique;
Marseille;Imports;gomme copale;
Marseille;Imports;gomme d'amandier;
Marseille;Imports;gomme du Sénégal;
Marseille;Imports;gomme élémi;
Marseille;Imports;gomme laque;
Marseille;Imports;gomme sandaraque;
Marseille;Imports;gomme thurique;
Marseille;Imports;goudron;
Marseille;Imports;graine de chanvre;
Marseille;Imports;graine de jardin;
Marseille;Imports;graine des Canaries;
Marseille;Imports;graine jaune;
Marseille;Imports;graine longue;
Marseille;Imports;grains froment;1
Marseille;Imports;grains orge;
Marseille;Imports;grains riz;1
Marseille;Imports;graisse;
Marseille;Imports;graisse de boucherie;
Marseille;Imports;gravelée;
Marseille;Imports;harengs blancs;1
Marseille;Imports;herbages;
Marseille;Imports;herbes d'orseille;
Marseille;Imports;herbes pérelle;
Marseille;Imports;hermodatte;
Marseille;Imports;huile d'amandes;
Marseille;Imports;huile d'olive;1
Marseille;Imports;huile de lin;
Marseille;Imports;huile de poisson;
Marseille;Imports;huile de vitriol;
Marseille;Imports;indienne;
Marseille;Imports;indigo;1
Marseille;Imports;ipécacuanha;
Marseille;Imports;iris;
Marseille;Imports;jalap;
Marseille;Imports;jambon;
Marseille;Imports;jaune de Naples;
Marseille;Imports;jus de citron;
Marseille;Imports;jus de réglisse;
Marseille;Imports;laine;
Marseille;Imports;laine d'Espagne;
Marseille;Imports;laine de chevron;
Marseille;Imports;laine de vigogne;
Marseille;Imports;laine lavée;
Marseille;Imports;laine pelade;
Marseille;Imports;laiton;
Marseille;Imports;laque plate;
Marseille;Imports;lard;
Marseille;Imports;légumes;
Marseille;Imports;librairie;
Marseille;Imports;liège;
Marseille;Imports;liège en bouchons;
Marseille;Imports;limes d'acier;
Marseille;Imports;lin cru;
Marseille;Imports;lin peigné;
Marseille;Imports;liqueurs;
Marseille;Imports;liqueurs à boire;
Marseille;Imports;litharge;
Marseille;Imports;lustres;
Marseille;Imports;lustres de Venise;
Marseille;Imports;manne;
Marseille;Imports;manne de Calabre;
Marseille;Imports;maquet;
Marseille;Imports;marbre brut;
Marseille;Imports;marbre brut en pierres;
Marseille;Imports;mastic;
Marseille;Imports;mâts;
Marseille;Imports;maugrebine;
Marseille;Imports;mercerie;
Marseille;Imports;mercure;
Marseille;Imports;meules pour moulins;
Marseille;Imports;miel;1
Marseille;Imports;minium;
Marseille;Imports;mortiers de marbre;
Marseille;Imports;morue sèche;1
Marseille;Imports;morue verte;
Marseille;Imports;mouchoirs de coton;
Marseille;Imports;mouchoirs de soie;
Marseille;Imports;moulins à café;
Marseille;Imports;mousseline;
Marseille;Imports;moutons;
Marseille;Imports;muscades;
Marseille;Imports;myrobolan;
Marseille;Imports;myrrhe;
Marseille;Imports;nattes;
Marseille;Imports;nattes de jonc;
Marseille;Imports;noir de fumée;
Marseille;Imports;noisettes;
Marseille;Imports;noix vomiques;
Marseille;Imports;ocre;
Marseille;Imports;oignons;
Marseille;Imports;oignons de fleurs;
Marseille;Imports;olives;
Marseille;Imports;opium;
Marseille;Imports;orange;
Marseille;Imports;orpiment;
Marseille;Imports;ouvrages de bois;
Marseille;Imports;ouvrages de cuivre;
Marseille;Imports;ouvrages de fer;1
Marseille;Imports;ouvrages de marbre;
Marseille;Imports;palme en feuilles;
Marseille;Imports;parapluies;
Marseille;Imports;pâte d'amandes;
Marseille;Imports;peaux crues de chèvre en poil;
Marseille;Imports;peaux d'agneau;
Marseille;Imports;peaux de chagrin;
Marseille;Imports;peaux de chamois;
Marseille;Imports;peaux de chèvre;
Marseille;Imports;peaux de chien de mer;
Marseille;Imports;peaux de lapin;
Marseille;Imports;peaux de lièvre;
Marseille;Imports;peaux de maroquins;
Marseille;Imports;peaux de mouton en laine;
Marseille;Imports;peaux de veau en poil;
Marseille;Imports;pelleterie;
Marseille;Imports;pelleterie crue;
Marseille;Imports;pierres à aiguiser;
Marseille;Imports;pierres à faux;
Marseille;Imports;pierres à fusils;
Marseille;Imports;pierres codes;
Marseille;Imports;pierres de Malte;
Marseille;Imports;pierres ponces;
Marseille;Imports;pignons cassés;
Marseille;Imports;pignons d'épine;
Marseille;Imports;piment;
Marseille;Imports;pipes à fumer;1
Marseille;Imports;pistaches;
Marseille;Imports;planches de sapin;
Marseille;Imports;plants d'oranger;
Marseille;Imports;plomb en saumon;
Marseille;Imports;plumes à écrire;1
Marseille;Imports;plumes à lit;
Marseille;Imports;plumes d'autruche brutes;
Marseille;Imports;plumes de poule;
Marseille;Imports;poil de chèvre;
Marseille;Imports;poil de lapin;
Marseille;Imports;poisson salé;
Marseille;Imports;poivre;
Marseille;Imports;poivre giroflé;
Marseille;Imports;poix résines;
Marseille;Imports;pommade;
Marseille;Imports;pommes;
Marseille;Imports;poncire;
Marseille;Imports;porcelaine;
Marseille;Imports;porcs salés;
Marseille;Imports;potasse;
Marseille;Imports;poterie de grès;
Marseille;Imports;poussière de tartre;
Marseille;Imports;poutargues;
Marseille;Imports;poutres;
Marseille;Imports;quincaillerie;
Marseille;Imports;quincaillerie d'acier et de fer;
Marseille;Imports;quinquina;
Marseille;Imports;racines d'alizari;
Marseille;Imports;raclure de corne;
Marseille;Imports;raisin sec;1
Marseille;Imports;réglisse;
Marseille;Imports;rhubarbe;
Marseille;Imports;rocou;
Marseille;Imports;rognures de carte;
Marseille;Imports;ruban de soie;
Marseille;Imports;sabots de bœuf;
Marseille;Imports;safran;1
Marseille;Imports;safranum;
Marseille;Imports;salicore;
Marseille;Imports;salsepareille;
Marseille;Imports;sardines salées;
Marseille;Imports;sassafras;
Marseille;Imports;saucissons;
Marseille;Imports;saumon salé;
Marseille;Imports;saumure;
Marseille;Imports;savon;1
Marseille;Imports;savonnettes;
Marseille;Imports;scammonée;
Marseille;Imports;scies;
Marseille;Imports;sébeste;
Marseille;Imports;sel d'ammoniac;
Marseille;Imports;sel médicinal;
Marseille;Imports;semen contra;
Marseille;Imports;semoule;
Marseille;Imports;séné;
Marseille;Imports;séné en grabeau;
Marseille;Imports;serge de laine;1
Marseille;Imports;sirop de capillaire;
Marseille;Imports;soie crue;
Marseille;Imports;son;
Marseille;Imports;soudes;
Marseille;Imports;soufre;
Marseille;Imports;squine;
Marseille;Imports;stockfisch;1
Marseille;Imports;storax;
Marseille;Imports;sublimé;
Marseille;Imports;sucre blanc;1
Marseille;Imports;sucre brut;1
Marseille;Imports;sucre terré;1
Marseille;Imports;sucre têtes;
Marseille;Imports;suif;
Marseille;Imports;sumac;
Marseille;Imports;tableaux;
Marseille;Imports;tables de marbre;
Marseille;Imports;tamarin;
Marseille;Imports;tartre;
Marseille;Imports;térébenthine;
Marseille;Imports;terraille;
Marseille;Imports;terre d'ombre;
Marseille;Imports;terre de porcelaine;
Marseille;Imports;thé;
Marseille;Imports;thériaque;
Marseille;Imports;thon mariné;
Marseille;Imports;thon salé;
Marseille;Imports;thonine;
Marseille;Imports;toile;
Marseille;Imports;toile blanche;
Marseille;Imports;toile caissie;
Marseille;Imports;toile cirée;
Marseille;Imports;toile d'aman;
Marseille;Imports;toile d'antale;
Marseille;Imports;toile d'Antioche;
Marseille;Imports;toile d'emballage;
Marseille;Imports;toile de crin;
Marseille;Imports;toile de Killis;
Marseille;Imports;toile de Mortagne;
Marseille;Imports;toile manouf;
Marseille;Imports;toile peinte;
Marseille;Imports;toile pour voile;1
Marseille;Imports;tournesol;
Marseille;Imports;tourons;
Marseille;Imports;turbit;
Marseille;Imports;vanille;
Marseille;Imports;velours;
Marseille;Imports;verdet;
Marseille;Imports;vermicelle;
Marseille;Imports;vermillon;
Marseille;Imports;verres cassés;
Marseille;Imports;verres communs;1
Marseille;Imports;verres de cristal;1
Marseille;Imports;vin blanc;
Marseille;Imports;vin d'Espagne;
Marseille;Imports;vin de Chypre;
Marseille;Imports;vin de Malaga;
Marseille;Imports;vin de muscat;1
Marseille;Imports;vin rouge;
Marseille;Imports;vitriol;
Marseille;Imports;vitriol de Chypre;
Marseille;Exports;acétates de plomb;
Marseille;Exports;acier;
Marseille;Exports;ajamis;
Marseille;Exports;allaya;
Marseille;Exports;alquifoux;
Marseille;Exports;alun;
Marseille;Exports;amadou;
Marseille;Exports;amandes;
Marseille;Exports;amandes cassées;
Marseille;Exports;amandes en coque;
Marseille;Exports;amidon;
Marseille;Exports;anchois;
Marseille;Exports;ânes;
Marseille;Exports;anis;
Marseille;Exports;antimoine;
Marseille;Exports;aristoloche;
Marseille;Exports;arsenic;
Marseille;Exports;auf;
Marseille;Exports;avirons;
Marseille;Exports;avoine;
Marseille;Exports;azur;
Marseille;Exports;babouches;
Marseille;Exports;baleine coupée;
Marseille;Exports;barres de fer;
Marseille;Exports;bas de coton;
Marseille;Exports;bas de coton et bas de fil;
Marseille;Exports;bas de fil;1
Marseille;Exports;bas de filoselle;
Marseille;Exports;bas de laine;
Marseille;Exports;bas de soie;1
Marseille;Exports;basanes tannées;
Marseille;Exports;basin;
Marseille;Exports;batanomes;
Marseille;Exports;benjoin;
Marseille;Exports;beurre;
Marseille;Exports;bijouterie;
Marseille;Exports;bœuf salé;
Marseille;Exports;bois de Brésil;
Marseille;Exports;bois de Campêche;
Marseille;Exports;bois de gaïac;
Marseille;Exports;bois de santal;
Marseille;Exports;bois fustet;
