marchandises_simplification,sitc18_rev3,imprimatur,status,beforeitems,afteritems,obsolete,urgent
alambic ; de terre,6k,,existing,,,yes,
alambics,6k,,ambiguous,,[Alambic] [Alambics] [Alembics],no,
alambics d'étain,6j,,new,,,no,
alambics de cuivre,6j,,new,,,no,
alambics de terre,6k,,ambiguous,,[Alambie ; de terre],no,
albâtre,2,,ambiguous,[Albatre],[Albatre],no,
albâtre et marbre brut et poli,2,,new,,,no,
alegia,???,,ambiguous,[Alegias],[Alegias] [Allegias] [Alegeas],no,
alènes,???,,new,,,no,
alibanies,6g,,ambiguous,[Alibania] [Alibanic] [Alibanis] [Alibans] [alibanic] [alibanir] [alibanis],[Alibania] [Alibanic] [Alibanis] [Alibans] [alibanic] [alibanir] [alibanis] [Allibanis],no,
alizari,5,,ambiguous,,[Drogueries ; pour peinture et teinture ; alizary] [Drogues ; pour la peinture et teinture ; alizari] [Drogues ; Pour la teinture ; Alizari] [Drogues ; pour la peinture et la teinture ; atisaric],no,
alizari et garance,5,,new,,,no,
alkerme,1,,existing,,,yes,
alkermés,1,,new,,,no,
allaya,???,,new,,,no,
alleaux,???,,existing,,,no,
allemande de poil,6e,,,,,no,
allumette,8,,existing,,,yes,
allumette ; à vin,8,,existing,,,yes,
allumette ; droguée,8,,existing,,,yes,
allumette ; épicée,8,,existing,,,yes,
allumette ; souffrée,8,,existing,,,yes,
allumette ; soufrée,8,,existing,,,yes,
allumettes,8,,ambiguous,,[Allumettes] [Alumette] [Alumettes] [allumettes] [alumettes],no,
allumettes à vin,8,,ambiguous,,[Allumettes ; a vin] [Alumettes ; a vin],no,
allumettes de coton,8,,new,,,no,
allumettes de mêche soufrée,8,,new,,,no,
allumettes droguée,8,,ambiguous,,[Alumettes ; droguées],no,
allumettes épicée,8,,ambiguous,,[Alumettes ; epicées],no,
allumettes opérées et soufrées,8,,new,,,no,
allumettes soufrées,8,,ambiguous,,[Allumettes ; souffrées] [Alumettes ; souffrées] [alumettes souffrées],no,
almagro ou crayon rouge,8,,existing,,,yes,
almanachs,8,,new,,,no,
almanachs enjolivés,8,,new,,,yes,
alocir,???,,existing,,,yes,
aloès,2,,ambiguous,,[Alloes] [Aloes] [Alois] [Aloès] [Aloës] [aloes] [aloès] [aloés] [alöes] [Drogues ; Composées pour ma médecine ; Aloès] [Drogues ; médécinales ; aloes] [Drogues; Médicinales; Aloës],no,
aloès cabalin,2,,ambiguous,[Aloes ; cabalin] [Aloes Cabalin],[Drogues ; médecinales ; aloës ; capalin] [Aloes ; cabalin] [Aloes Cabalin],no,
aloès commun,2,,new,,,no,
aloès moyen,2,,,,,no,
aloiset,???,,ambiguous,[aloiset],[aloiset],no,
alose,0a,,existing,,,no,
alose fumée,0a,,existing,,,yes,
alose salée,0a,,new,,,no,
alouettes,0a,,new,,,no,
alpargate,8,,ambiguous,[Alpargalle] [Alpargatte] [Alpargattes],[Alpargalle] [Alpargatte] [Alpargattes] [Alpargate] [Alfargate] [Alpargates] [Alpargastes],no,
alphabets,8,,new,,,no,
alpiste,5,,existing,,,no,
alquifoux,5,,ambiguous,[Alquifou] [Alquifoulx] [Alquifoux] [Arqui fou] [Arquifou] [Arquifoux] [arquifou],[Drogues ; alquifoux] [Drogues ; Pour la peinture ; Alquifoux] [Alquifou] [Alquifoulx] [Alquifoux] [Arqui fou] [Arquifou] [Arquifoux] [arquifou] [Drogues ; pour la peinture et la teinture ; alquifoux] [Drogues; Médicinales; Alquifoux] [Drogues; Pour peinture et teinture; Alquifoux] [Drogues; Pour peintures et teintures; Alquifoux] [Drogues ; pour peinture et teinture ; alquifoux] [Drogues ; Pour la peinture et la teinture ; Alquifoux] [Drogueries ; pour peinture et teinture ; alquifoux],no,
alquifoux et mine de plomb,5,,existing,,,no,
alquifoux et mine de plomb ou graphite,5,,,,,no,
alquifoux ou mine de plomb,5,,new,,,no,
"alquifoux, mine de plomb ou graphite",5,,existing,,,yes,
alquitra,5,,ambiguous,[Alquitra],[Alquitra],no,
aluchiabanis,???,,ambiguous,[aluchiabanis],[aluchiabanis],no,
alun,5,,ambiguous,[Allun] [Alum] [Alun] [alin] [alun],[Drogue ; pour peinture et teinture ; alun] [Drogueries ; pour peinture et teinture ; alun] [Drogues ; Pour la peinture et la teinture ; Alun] [Drogues ; pour la peinture et la teinture ; alun] [Drogues ; pour la peinture et teinture ; alun] [Drogues ; pour peinture et teinture ; alun] [Drogues ; Pour la teinture ; Alun] [Drogues ; alun] [Allun] [Alum] [Alun] [alin] [alun] [Drogueries pour teinture et peinture alun] [Drogues; Pour peinture et teinture; Alun] [3///Matières premières///Alun] [Drogues; Pour peintures et teintures; Alun] [3///Matières première///Alun] [3///Suite des matières premières///Alun],no,
alun ; de fer,5,,existing,,,yes,
alun ; de Rome,5,,existing,,,yes,
alun ; gâté,5,,existing,,,yes,
alun commun,5,,ambiguous,,[Drogues ; pour peinture et teinture ; alun ; commune],no,
alun de fer,5,,ambiguous,,[Alun de fer],yes,
alun de roche,5,,new,,,no,
alun de Rome,5,,ambiguous,,[Alun ; de Rome] [Alun de Romes],no,
alun de Rouen,5,,ambiguous,,[Drogues ; pour la peinture et la teinture ; alun ; de Rouen],no,
alun de Surde,5,,ambiguous,,[Drogues ; pour la peinture et la teinture ; alun ; de Surde],no,
alun du Levant,5,,ambiguous,,[Drogues ; pour la peinture et la teinture ; alun ; du Levant],no,
alun en dracy,5,,ambiguous,,[Drogue ; pour peinture et teinture ; alun ; en dracy],no,
alun gâté,5,,ambiguous,,[Alun gâté],no,
alvés,???,,ambiguous,[alvés],[alvés] [Alves],no,
amadou,5,,ambiguous,[Amadon] [Amadou] [Amadoux] [amadou] [amadoux],[Amadon] [Amadou] [Amadoux] [amadou] [amadoux],no,
amadou et agaric amadouvier,5,,new,,,no,
amande,0a,,existing,,,yes,
amande ; amère,0a,,existing,,,yes,
amande ; cassée,0a,,existing,,,yes,
amande ; courte,0a,,existing,,,yes,
amande ; douce,0a,,existing,,,yes,
amande ; en coque,0a,,existing,,,yes,
amande ; longue,0a,,existing,,,yes,
amande et pruneau,0a,,existing,,,yes,
amande et raisin sec,0a,,existing,,,yes,
amande et savon,0a,,existing,,,yes,
amande et vert-de-gris,0a,,existing,,,yes,
amande sèche et figue sèche et raisin sec,0a,,ambiguous,,"[Fruits secs, en amandes ,figues et raisins] [Fruits secs, en amandes, figues et raisins] [Fruits sesc, en amandes, figues et raisins]",no,
amande sèches,0a,,ambiguous,,[Fruits ; secs ; amandes] [Fruits secs amandes],no,
"amande, raison sec et savon",0a,,existing,,,yes,
amandes,0a,,ambiguous,,[Amandeic] [Amandes] [Amendes] [amandes] [Amande] [Amandes ; diverses] [Amandeu] [Subsistances ; fruits secs amandes],no,
amandes à la praline,0a,,new,,,no,
amandes amère,0a,,ambiguous,,[Amandes ; ameres],no,
amandes cassée,0a,,ambiguous,,"[Amande cassées] [Amandes : cassées] [Amandes ; cassees] [Amandes ; cassées] [Amandes Cassées] [Amandes cassées] [Amandes casées] [Amandes; cassées] [Amandées cassées] [Amendes ; cassées] [Amendes cassées] [amandes cassées] [amandes cassés] [amandes caséér] [Fruits ; amandes ; cassées] [Fruits ; crus, secs et à l'eau de vie ; amandes ;cassées] [Amandes; Cassées]",no,
amandes courte,0a,,ambiguous,,[amandes courtes],yes,
amandes douce,0a,,ambiguous,,[Amandes douces],no,
amandes en coque,0a,,ambiguous,,"[Amandes ; en cocques] [Amandes ; en coque] [Amandes ; en coques] [Amandes en Coques] [Amandes en coque] [Amandes en coques] [Amandes; en coques] [Amendes en coques] [amandes en cocque] [amandes en coques] [Fruits ; amandes ; en coques] [Fruits ; crus, secs et à l'eau de vie ; amandes ; en coques] [Amandes en cocques] [Amandes; En coques]",no,
amandes et figue et raisin,0a,,new,,,no,
amandes et pruneau,0a,,ambiguous,,[Amande et pruneaux] [Amandes et pruneaux],yes,
amandes et raisin sec,0a,,ambiguous,,[Amandres et raisins secs],yes,
amandes et raisin sec et savon,0a,,ambiguous,,"[Amandes, raisons secs et savon]",yes,
amandes et savon,0a,,ambiguous,,[Amandes et savon] [Amandres et savon],yes,
amandes et sucre,0a,,new,,,yes,
amandes et vert-de-gris,0a,,new,,,yes,
amandes figue secs et ???,0a,,new,,,no,
amandes fraîche,0a,,ambiguous,,"[Fruits frais, amandes]",no,
amandes longues,0a,,ambiguous,,[amandes longues],yes,
amandes sèches,0a,,new,,,no,
amaril,???,,existing,,,yes,
ambrain à grande barrique,???,,ambiguous,,[Ambrain a grande Barique],no,
ambre,2,,ambiguous,[Ambre] [Ambres] [ambre],[Ambre] [Ambres] [ambre] [Drogues odorantes (ambre)],no,
ambre ; brut,2,,existing,,,yes,
ambre ; gris,2,,existing,,,yes,
ambre ; jaune,2,,existing,,,yes,
ambre ; karabé,2,,existing,,,yes,
ambre ; moulu,2,,existing,,,yes,
ambre ; vert,2,,existing,,,yes,
ambre brut,2,,ambiguous,,[ambre brut],yes,
ambre carabé,2,,new,,,no,
ambre et corail,2,,new,,,no,
ambre gris,2,,ambiguous,,[Drogues ; Odorantes ; Ambre gris] [Ambre ; gris] [Ambre gris] [Ambre; grin] [ambre gris],no,
ambre jaune,2,,ambiguous,,[Drogues ; Odorantes ; Ambre jaune] [Ambre ; jaune] [Ambre jaune] [Ambre; jaune] [Ambres Jaune] [ambre jaune] [ambre;Jaune] [Ambre jeaune],no,
ambre moulu,2,,ambiguous,,[Ambre ; moulu],no,
ambre vert,2,,ambiguous,,[Verd ; d'ambre],no,
amer,5,,ambiguous,[Amer],[Amer],no,
amer de laine,6e,,,,,no,
amertis,6g,,ambiguous,[Amertis],[Amertis],no,
ami de toillé,???,,ambiguous,[ami de toillé],[ami de toillé],no,
amidon,5,,ambiguous,[Amidon] [Amirons] [amidon],[Amidon] [amidon],no,
amidon en grains,5,,new,,,no,
amidon et poudre à poudrer,5,,existing,,,yes,
ammoniac,5,,ambiguous,[Ammoniac],[Drogues ; chimiques et métalliques ; amoniac],no,
ammoniac et sel,5,,ambiguous,,[Drogues ; Chimiques ; Sel ammoniac] [Drogues ; Chimiques ; Sels ammoniac] [Drogues ; chimique ; sel ammoniac],no,
ammonium,5,,ambiguous,[Ammonium],[Amomum] [amomum] [Ammonium] [Ammoniac],no,
amomum,2,,existing,,,yes,
amomum verum,2,,ambiguous,[Amomum verum] [Amonum verum],[Amomum verum] [Amonum verum],no,
anabasse,???,,ambiguous,,[Anatose] [anabas] [Anatoze] [annabas] [Annabas] [Anabas] [Ananbas],no,
anacarde,2,,existing,,,yes,
anacardes,2,,new,,,no,
anacoste,6e,,new,,,no,
ananas,0b,,ambiguous,[ananas],[ananas],yes,
ananas ; confit,0b,,existing,,,yes,
ananas confit,0b,,ambiguous,,[Ananas ; confit] [ananas confits],no,
ananas planté,2,,new,,,no,
anatomie,8,,new,,,no,
anches de tonneaux,6,,ambiguous,,[Anches ; de tonneaux],no,
anchois,0a,,ambiguous,[Anchoies] [Anchois] [Anchoix] [Anchoyes] [anchois] [anchoix],[Anchoies] [Anchois] [Anchoix] [Anchoyes] [anchois] [anchoix] [Poisson ; de mer ; anchois],no,
anchois ; salé et mariné,0a,,existing,,,yes,
anchois et boutargue,0a,,new,,,no,
anchois et sardes,0a,,new,,,no,
anchois et sardines,0a,,new,,,no,
anchois mariné,0a,,new,,,no,
anchois mariné et salé,0a,,new,,,no,
anchois salé et mariné,0a,,ambiguous,,[Salé et mariné ; anchois],no,
ancres,6j,,ambiguous,,[Andes] [Ancres],no,
ancres de chaudon,6j,,new,,,no,
ancres de chaudon de fer,6j,,new,,,no,
ancres de fer,6j,,ambiguous,,[Ancre ; de fer] [Ancre de Fer] [Ancre de fer] [Ancres ; de fer] [Ancres de Fer] [Ancres de fer] [ances de Fer] [ancre de Fer] [ancre de fer] [ancres de Fer] [ancres de fer] [Fer ; en ancre] [Fer ; en ancres] [Fer ; en aneres] [Fer ; en aners] [Fer en ancres] [Fer; en ancres] [Fers ; en ancres] [fer en ancres] [Ouvrages ; De fer ; Ancres] [Ouvrages ; De fer ; Au cres] [Fer en ancre] [Fers ; en ancre] [Fe r; en ancres] [Fers en ancres] [Fer; Ancres] [Fer ; ouvré en ancre] [Fer ; en encres],no,
ancres et grappins de fer,6j,,new,,,no,
ancres gravelée,8,,ambiguous,,[Ancre gravellée],no,
ancres vide,6j,,ambiguous,,[Ancres vuides],no,
ancres vides vieilles,6j,,new,,,no,
andolium,0a,,new,,,yes,
andouille,0a,,existing,,,yes,
andouilles,0a,,ambiguous,,[Andouille] [Andouilles],no,
andouillette,0a,,existing,,,no,
âne et ânesse,0a,,existing,,,yes,
ânes,0a,,ambiguous,,[///Betes de somme///Anes] [///Bêtes de Somme///Anes] [Betes de somme ; Asnes] [Betes de somme ; Osnes] [Bêtes de somme ; anes] [Anes] [Asne] [Asner] [Asnes] [Bestiaux ; ânes] [asnes] [Bestiaux et bêtes ; de somme ; anes] [Annes],no,
ânes et anesses,0a,,new,,,no,
ânes et ânesses,0a,,ambiguous,,[anes et anesses],yes,
angélique,2,,ambiguous,[Angelique] [Angélique] [angelique],[Angelique] [Angélique] [angelique],no,
angélique ; du Rozème,2,,existing,,,yes,
angélique du Rozème,2,,ambiguous,,[angélique du Rozème],no,
anguille,0a,,existing,,,yes,
anguille ; salée,0a,,existing,,,yes,
anguilles,0a,,ambiguous,,[Anguilles] [anguilles],no,
anguilles et truites,0a,,new,,,yes,
anguilles salées,0a,,ambiguous,,[Anguille Salée] [Anguille Salées] [Anguilles Salées] [Anguilles salées] [anguille Sallées],no,
anille,???,,new,,,no,
animal ; domestique,0a,,existing,,,yes,
animaux,0a,,new,,,no,
animaux domestiques,0a,,ambiguous,,[Animaux domestiques],yes,
anis,0a,,ambiguous,[Aniec] [Anis] [Anise] [anis],[Aniec] [Anis] [Anise] [anis] [Annis],no,
anis ; étoilé,0a,,existing,,,yes,
anis ; vert,0a,,existing,,,yes,
anis et rac et rhum etc.,1,,new,,,yes,
anis et sucre,9b,,ambiguous,[Anis et sucre] [Sucre et anis],[Anis et sucre] [Sucre et anis],yes,
anis étoilé,0a,,ambiguous,,[Anis ; etoillé] [Anis ; etoilé] [Anis ; étoile] [Anis etoile] [Anis étoilé] [Anis ; étoilé] [Anis etoillé],no,
anis vert,0a,,ambiguous,,[Anis ; verds] [Anis ; vers] [Anis ; vert] [Anis vers] [Anis vert] [anis vert] [annis vert] [Anis verd] [Anis ; verd],no,
anisette,1,,ambiguous,[Anisette] [Anizete] [Anizette] [Anizettes] [Annizete],[Anisette] [Anizete] [Anizette] [Anizettes] [Annizete] [Liqueur anisette] [Liqueurs anisette] [Liqueurs ; anisette] [Liqueur (anisette)],no,
anisette ; de Bordeaux,1,,existing,,,yes,
anisette au fiasque,1,,new,,,no,
anisette de Bordeaux,1,,ambiguous,,[Anizette ; de Bordeaux],no,
anneau ; de fer,6j,,existing,,,yes,
anneau de fer,6j,,ambiguous,,[anneaux de Fer] [Anneau de fer],no,
anneaux de cuivre,6j,,new,,,no,
ânon,0a,,ambiguous,[Asnon],[Asnon],no,
anse ; de tonneau,6b,,existing,,,yes,
anspects,6b,,existing,,,yes,
anspects de bois,6b,,,,,no,
anspects de sapin,6b,,,,,no,
antchibanis,???,,new,,,no,
antennes et mâts de bateaux,2,,new,,,no,
antimoine,5,,ambiguous,[Antimoine] [Antimonium] [Antinoire] [antimoine],[Drogues ; chimiques et métalliques ; antimoine] [Drogues ; métallique et chimique ; antimoine] [Drogues ; Métalliques ; Antimoine] [Drogues ; Métalliques ; Antimoire] [Antimoine] [Antimonium] [Antinoire] [antimoine] [Drogues ; metalliques et chimiques ; antimoine] [Drogueries métalliques et chimiques antimoine],no,
antimoine ; crû,5,,existing,,,yes,
antimoine cru,5,,ambiguous,,[Drogues ; chimiques et métalliques ; antimoine ; cru],no,
antimoine crû,5,,ambiguous,,[Animoine crû] [Antimoine ; Crû] [Antimoine ; cru] [Antimoine Cru] [Antimoine cru] [Antimoine crue] [antimoine cru],no,
antofle,0b,,ambiguous,[Antolphe],[Antolphe],no,
antofle ; de girofle,0b,,existing,,,yes,
antofle de girofle,0b,,ambiguous,,[Antofle ; de gerofle] [Antolfe ; de gerofle] [Antolfe ;de geroffle] [Antolphe ; de geroffle] [Antolphe ; de girofle] [Antolphe de geroffle] [Antolphe de Geroffle],no,
apiers,0a,,existing,,,no,
apios,2,,existing,,,no,
apprêtée à toiler les livres,6h,,new,,,yes,
apprêtée pour parchemins,6c,,new,,,yes,
approvisionnement,9b,,existing,,,yes,
arak,1,,new,,,no,
araks,,,,,,no,
arbalète,8,,existing,,,yes,
arbalètes,8,,new,,,yes,
arbaletrie et carte marine,8,,existing,,,yes,
arbalètrie et cartes marines,8,,new,,,no,
arbre,2,,existing,,,yes,
arbre ; à fruit,2,,existing,,,yes,
arbre ; à planter,2,,existing,,,yes,
arbre ; à transformer en Pompe,2,,existing,,,yes,
arbre ; chêne,2,,existing,,,yes,
arbre ; de sapin,2,,existing,,,yes,
arbre ; en plant ; de bois,2,,existing,,,yes,
arbre ; en plant ; de bois ; d'auban,2,,existing,,,yes,
arbre ; sauvage,2,,existing,,,yes,
arbre ; tilleul,2,,existing,,,yes,
arbres,2,,ambiguous,,[Arbres] [Arbres ; en ?],no,
arbres à fruits,2,,ambiguous,,[Arbre ; à fruit] [Arbres ; à fruit],no,
