ÊÈCode","Description"
"282.39","Déchets et débris ferreux, n.d.a."
"283","Minerais de cuivre et leurs concentres; mattes de cuivre, cuivre de cement"
"283.1","Minerais de cuivre et leurs concentrés"
"283.2","Mattes de cuivre; cuivre de cément (précipité de cuivre)"
"283.21","Mattes de cuivre"
"283.22","Cuivre de cément (précipité de cuivre)"
"284","Minerais de nickel et leurs concentres; mattes de nickel, ""sinters"" d'oxydes de nickel et autres produits inter- mediaires de la metallurgie du nickel"
"284.1","Minerais de nickel et leurs concentrés"
"284.2","Mattes de nickel, ""sinters"" d'oxyde de nickel et autres produits intermédiaires de la métallurgie du nickel"
"284.21","Mattes de nickel"
"284.22","Sinters d'oxyde de nickel et autres produits intermédiaires de la métallurgie du nickel"
"285","Minerais d'aluminium et leurs concentres (y compris l'alumine)"
"285.1","Minerais d'aluminium et leurs concentrés"
"285.2","Alumine (oxyde d'aluminium)"
"286","Minerais d'uranium ou de thorium et leurs concentres"
"286.1","Minerais d'uranium et leurs concentrés"
"286.2","Minerais de thorium et leurs concentrés"
"287","Minerais de metaux communs et leurs concentres, n.d.a."
"287.4","Minerais de plomb et leurs concentrés"
"287.5","Minerais de zinc et leurs concentrés"
"287.6","Minerais d'étain et leurs concentrés"
"287.7","Minerais de manganèse et leurs concentrés (y compris les minerais de fer manganifères et leurs concentrés d'une teneur en manganèse de 20 % ou plus en poids, sur produit sec)"
"287.8","Minerais de molybdène, de niobium, de tantale, de titane, de vanadium et de zirconium et leurs concentrés"
"287.81","Minerais de molybdène et leurs concentrés, grillés"
"287.82","Minerais de molybdène et leurs concentrés, autres que grillés"
"287.83","Minerais de titane et leurs concentrés"
"287.84","Minerais de zirconium et leurs concentrés"
"287.85","Minerais de niobium, de tantale ou de vanadium et leurs concentrés"
"287.9","Minerais et concentrés d'autres métaux communs non ferreux"
"287.91","Minerais de chrome et leurs concentrés"
"287.92","Minerais de tungstène (ou de wolfram) et leurs concentrés"
"287.93","Minerais de cobalt et leurs concentrés"
"287.99","Minerais de métaux communs et leurs concentrés, n.d.a."
"288","Dechets et debris de metaux communs non ferreux, n.d.a."
"288.1","Cendres et résidus (autres que ceux de la fabrication du fer ou de l'acier) contenant du métal ou des composés métalliques, n.d.a."
"288.2","Autres déchets et débris de métaux communs non ferreux, n.d.a."
"288.21","Déchets et débris de cuivre"
"288.22","Déchets et débris de nickel"
"288.23","Déchets et débris d'aluminium"
"288.24","Déchets et débris de plomb"
"288.25","Déchets et débris de zinc (autres que les poussières)"
"288.26","Déchets et débris d'étain"
"289","Minerais de metaux precieux et leurs concentres; cendres d'orfevre, debris et dechets de metaux precieux (a l'exclusion de l'or)"
"289.1","Minerais de métaux précieux et leurs concentrés"
"289.11","Minerais d'argent et leurs concentrés"
"289.19","Minerais d'autres métaux précieux et leurs concentrés"
"289.2","Déchets et débris de métaux précieux (à l'exclusion de l'or) ou de plaqué ou doublé de étaux précieux (à l'exclusion de l'or)"
"289.21","Déchets et débris de platine, même de plaqué ou doublé de platine, à l'exclusion des cendres d'orfèvre contenant d'autres métaux précieux"
"289.29","Déchets et débris de métaux précieux, n.d.a., ou de plaqué de ces métaux précieux"
"29","Matieres brutes d'origine animale ou vegetale, n.d.a."
"291","Matieres brutes d'origine animale, n.d.a."
"291.1","Os, cornes, ivoires, sabots, ongles, corail, coquillages et produits similaires"
"291.11","Os (y compris les os de baleines, de phoques et d'autres vertébrés aquatiques à système respiratoire aérien) et cornillons, bruts, dégraissés ou simplement préparés (mais non découpés en forme), acidulés ou bien dégélatinés, poudres et déchets de ces matières"
"291.15","Corail et matières similaires, bruts ou simplement préparés mais non autrement travaillés; coquillages vides et os de seiches, bruts ou simplement préparés mais non découpés en forme, leurs poudres et leurs déchets"
"291.16","Ivoire, écailles de tortues, fanons (y compris les barbes) de baleines ou d'autres mammifères marins, cornes, bois, sabots, ongles, griffes et becs, bruts ou simplement préparés, mais non découpés en forme; déchets et poudres de ces matières"
"291.9","Matières d'origine animale, n.d.a."
"291.91","Cheveux bruts, même lavés ou dégraissés; déchets de cheveux"
"291.92","Soies de porc ou de sanglier; poils de blaireau et autres poils pour la brosserie; déchets de ces soies ou poils"
"291.93","Boyaux, vessies et estomacs d'animaux (entiers ou en morceaux), autres que ceux de poissons"
"291.94","Sperme de taureau"
"291.95","Peaux et autres parties d'oiseaux revêtues de leurs plumes ou de leur duvet, plumes et parties de plumes (même rognées), duvets, bruts ou simplement nettoyés, désinfectés ou traités en vue de leur conservation; poudres et déchets de plumes ou de parties de plumes"
"291.96","Produits de poissons ou de crustacés, de mollusques ou d'autres invertébrés aquatiques; animaux morts de la division 03, impropres à la consommation humaine"
"291.97","Eponges naturelles d'origine animale"
"291.98","Ambre gris, castoréum, civette et musc; cantharides; bile, même séchée; glandes et autres substances d'origine animale utilisées pour la préparation de produits pharmaceutiques, fraîches, réfrigérées, congelées ou autrement conservées de façon provisoire"
"291.99","Produits d'origine animale, n.d.a. "
"292","Matieres brutes d'origine vegetale, n.d.a."
"292.2","Gomme laque; gommes, résines, gommes-résines et baumes, naturels"
"292.21","Gomme-laque"
"292.22","Gomme arabique"
"292.29","Autres gommes, résines, gommes-résines et baumes, naturels"
"292.3","Matières végétales employées principalement en vannerie ou en sparterie (bambous, rotins, roseaux, joncs, osiers, raphia, pailles de céréales nettoyées, blanchies ou teintées, écorces de tilleul, par exemple)"
"292.31","Bambous"
"292.32","Rotins"
"292.39","Matières végétales, autres que bambous ou rotins, employées principalement en vannerie ou en sparterie"
"292.4","Plantes et parties de plantes, graines et fruits des espèces utilisées principalement en parfumerie, en médecine ou à usages insecticides, parasiticides ou similaires, frais ou secs, même coupés, concassés ou pulvérisés"
"292.41","Racines de réglisse"
"292.42","Racines de ginseng"
"292.49","Autres plantes et parties de plantes, graines et fruits des espèces utilisées principalement en parfumerie, en médecine ou à usages insecticides, parasiticides ou similaires, frais ou secs, même coupés, concassés ou pulvérisés"
"292.5","Graines, fruits et spores, n.d.a., à ensemencer"
"292.51","Graines de semence, de betteraves à sucre"
"292.52","Graines de semence, de plantes fourragères (autres que les graines de betteraves)"
"292.53","Graines de semence,de plantes herbacées cultivées principalement pour leurs fleurs"
"292.54","Autres graines végétales"
"292.59","Graines, fruits et spores de semence, n.d.a."
"292.6","Bulbes, tubercules et rhizomes de plantes à fleurs ou à feuillage; boutures, greffons, arbres et autres plantes vivantes"
"292.61","Bulbes, oignons, tubercules, racines tubéreuses, griffes et rhizomes, en repos végétatif, en végétation ou en fleurs; plants, plantes et racines de chicorée (autres que les racines du sous-groupe 054.8)"
"292.69","Autres plantes vivantes (y compris leurs racines), boutures et greffons; blanc de champignons"
"292.7","Fleurs et feuillages coupés"
"292.71","Fleurs et boutons de fleurs, coupés, pour bouquets ou pour ornements, frais, séchés, blanchis, teints, imprégnés ou autrement préparés"
"292.72","Feuillages, feuilles, rameaux et autres parties de plantes, sans fleurs ni boutons de fleurs, et herbes, mousses et lichens, pour bouquets ou pour ornements, frais, séchés, blanchis, teints, imprégnés ou autrement préparés"
"292.9","Autres matières d'origine végétale, n.d.a."
"292.92","Matières végétales employées principalement pour le rembourrage (kapok, crin végétal, crin marin, p. Ex.), même en nappes avec ou sans support en autres matières"
"292.93","Matières végétales employées principalement pour la fabrication des balais et des brosses (sorgho, piassava, chiendent, istle p. Ex.), même en torsades ou en faisceaux"
"292.94","Sucs et extraits végétaux"
"292.95","Matières pectiques, pectinates et pectates"
"292.96","Mucilages et épaississants, même modifiés, dérivés des végétaux"
"292.97","Algues marines et autres"
"292.99","Matières végétales et produits d'origine végétale, n.d.a."
"3","Combustibles minéraux, lubrifiants et produits annexes"
"32","Houilles, cokes et briquettes"
"321","Houilles, meme pulverisees, mais non agglomerees"
"321.1","Anthracite, même pulvérisé, mais non aggloméré"
"321.2","Autres houlles, même pulvérisées"
"321.21","Houille bitumineuse, même pulvérisée mais non agglomérée"
"321.22","Autres houilles, même pulvérisées mais non agglomérées"
"322","Briquettes, lignites et tourbe"
"322.1","Briquettes, boulets et combustibles solides similaires obtenus à partir de la houille"
"322.2","Lignites, même pulvérisés (à l'exclusion du jais)"
"322.21","Lignites, même pulvérisés mais non agglomérés"
"322.22","Lignites, même pulvérisés, agglomérés"
"322.3","Tourbe (y compris la tourbe pour litière), même agglomérée"
"325","Cokes et semi-cokes (y compris semi-coke en poudre) de houille, de lignite ou de tourbe, meme agglomeres; charbon de cornue"
"325.0","Cokes et semi-cokes (y compris semi-coke en poudre) de houille, de lignite ou de tourbe, même agglomérés; charbon de cornue"
"33","Petrole, produits derives du petrole et produits connexes"
"333","Huiles brutes de petrole ou de mineraux bitumineux"
"333.0","Huiles brutes de pétrole ou de minéraux bitumineux"
"334","Huiles de petrole ou de mineraux bitumineux (autres que les huiles brutes); preparations, n.d.a., contenant en poids 70 p. 100 ou plus d'huiles de petrole ou de mineraux bitumineux et dont ces huiles constituent l'element de base"
"334.1","Essences pour moteurs et autres huiles légères"
"334.11","Essences pour moteurs, y compris les essences d'aviation"
"334.12","Carburéacteurs type essence"
"334.19","Autres huiles légères de pétrole ou de minéraux bitumineux (sauf brutes); préparations légères, n.d.a., contenant en poids une proportion d'huiles de pétrole ou de minéraux bitumineux (sauf brutes) supérieure ou égale à 70 % et dont ces huiles constituent l'élément de base"
"334.2","Kérosène et autres huiles moyennes"
"334.21","Kérosène (y compris les carburéacteurs de type kérosène)"
"334.29","Autres huiles moyennes de pétrole ou de minéraux bitumineux (sauf kérosène), non brutes; préparations moyennes, n.d.a., contenant en poids une proportion d'huiles de pétrole ou de minéraux bitumineux (sauf brutes) supérieure ou égale à 70 % et dont ces huiles constituent l'élément de base"
"334.3","Gazoles"
"334.4","Fuel oils, n.d.a."
