marchandises_simplification,code,sitc18_rev3,v3,imprimatur,status,beforeitems,afteritems,obsolete
acier brut,670,6j,,,new,,,non
acier de fer,670,6j,,,ambiguous,,[Fers en acier],non
acier et clous,670,6j,,,new,,,non
acier et fer,670,6j,,,ambiguous,,[Fer et acier] [Fers et aciers] [Métaux ;Fers et aciers] [///Métaux///Fers et aciers] [Fers divers et aciers] [Fers divers et Acier] [Fers divers et acier],non
acons,700,7,,,ambiguous,,[Acon],non
acons démontés,700,7,,,new,,,non
acons démontés en gabare,700,7,,,ambiguous,,[Acons ; en gabares ; démontés] [Acons gabares démontés],non
acorus,500,5,,,ambiguous,[Accorus] [Acore (herbe)] [Acorus],[Accorus] [Acore (herbe)] [Acorus],non
acuirson,999,???,???,,ambiguous,[Acuirson],[Acuirson],non
acume de cuivre,670,6j,,,new,,,non
affûts de canons,800,8,,,ambiguous,,[Affuts ; de canon] [Affuts de canon] [Affût de canon] [Affuts de canons],non
affûts de fusils,800,8,,,ambiguous,,[Affuts ; de fusils],non
affûts de fûts à canons,800,8,,,ambiguous,,[Afust de fut a canon],non
agaric,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Agaric] [Agaric brut et préparé] [Agarie] [agaric] [agarics],non
agaric et amadouvier,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
agaric gros,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Drogues ; médecinales ; agaric ; gros],non
agate,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[Agathe],non
agate fine,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[agates fins],non
agate montée,660,6k,,,new,,,non
agneaux,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Bestiaux ; agneaux] [Bestiaux ; en agneaux] [Bestiaux en agneaux] [Agneaux] [Bestiaux divers; Agneaux] [Bestiaux et bêtes ; de somme ; agneaux] [Bestiaux; Agneaux],non
agneaux et cabris,110,0a,,,new,,,non
agnelines et crottelins,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[agnelines et crottelins],non
agoutals,630,6b,"Bois, liège, jonc",,ambiguous,,[Agoutals] [agoutats],non
agoutals de bois,630,6b,"Bois, liège, jonc",,ambiguous,,[Agoutals de bois] [agourats de bois],non
agrément,800,8,Manufs divers,,ambiguous,[Agremens] [Agrements] [Agrémens] [Agréments],[Agremens] [Agrements] [Agrémens] [Agréments],non
agrément au quart,800,8,Manufs divers,,ambiguous,,[Agrémens ; au quart] [Agrement ; au quart] [Agrémens ; auquart],non
agrément d'argent,800,8,Manufs divers,,ambiguous,,[Agrémens; d'argent] [Agrément ; d'argent],non
agrément d'or,800,8,Manufs divers,,ambiguous,,[Agrements ; d'or],non
agrément d'or et d'argent,800,8,Manufs divers,,ambiguous,,[Agremens ; or et argent] [Agrements ; or et argent] [Agrémens ; or et argent] [Agréments ; or et arg],non
agrément de fil,800,8,Manufs divers,,ambiguous,,[Agrements ; de fil] [Agrémens ; de fil] [Agrémens; de fil] [Agrément ; de fil] [Agrements de fil],non
agrément de fil et de soie,800,8,Manufs divers,,,,,non
agrément de fleur,800,8,Manufs divers,,ambiguous,,[Agrémens ; de fleurs],non
agrément de soie,800,8,Manufs divers,,ambiguous,,[Agremens ; de soye] [Agremens; de soye] [Agrement ; de soye] [Agrement de Soye] [Agrements ; de soye] [Agrémens ; de soye] [Agrément ; de soye] [Agréments ; de soye] [Agréments de soye] [Agrements de soye] [Agremens de soye],non
agrément de soie et d'argent,800,8,Manufs divers,,ambiguous,,[Agremens ; de soye et d'argent],non
agrément de soie et fil,800,8,Manufs divers,,ambiguous,,[Agremens ; de soye et fil],non
agrément de soie or et argent faux,800,8,Manufs divers,,ambiguous,,[Agremens ; de soye or et argent faux],non
agrès,655,6h,Autres textiles mêlés fibres végétales et toiles,,ambiguous,[Agrets],[Agrets],non
agrès de navire,655,6h,Autres textiles mêlés fibres végétales et toiles,,ambiguous,,[Agrais ; de navires] [Agrès ; de navire] [Agrès de navires] [Agrés ; de navire] [Agrès de navire] [Agrès de vaisseaux],non
agrès de navire en voile,655,6h,Autres textiles mêlés fibres végétales et toiles,,ambiguous,,[Agrès ; de navire ; en voiles],non
agrès de navire et jeux de voile,920,9b,,,new,,,non
agrès et apparaux,920,9b,,,new,,,non
agrès et voiles de navire,655,6h,Autres textiles mêlés fibres végétales et toiles,,,,,non
aigles,110,0a,Nourriture européenne et animaux vivants,,,,,non
aigre de cidre,,,,,,,,non
aigre de vitriol,500,5,Produits chimiques,,ambiguous,,[Aigre ; de vitriol] [Aigre de vitriol],non
aigrettes,800,8,Manufs divers,,ambiguous,,[Aigrettes] [Egrettes],non
aigrettes de fil d'or et d'argent,800,8,Manufs divers,,ambiguous,,[Egrettes de fil or et argent],non
aigrettes de soie,800,8,,,new,,,non
aigrettes de soie et argent,800,8,,,new,,,non
aigrettes et bavolets,800,8,,,new,,,non
aiguières d'étain,670,6j,,,new,,,non
aiguilles,670,6j,Métal,,ambiguous,,[Mercerie ; en aiguilles] [Mercerie ; fine ; aiguilles] [Merceries ; Fines ; Aiguilles],non
aiguilles à boîtes,670,6j,Métal,,,,,non
aiguilles à coudre,670,6j,Métal,,ambiguous,,[Mercerie ; en aiguilles ; à coudre] [Merceries ; aiguilles ; à coudre] [Mercerie ; aiguilles ; à coudre] [Mercerie ; Fine ; Aiguille à coudre] [Merceries ; Fines ; Aiguilles à coudre] [Aiguille A coudre] [Aiguille a coude] [Aiguille a coudre] [Aiguille à coudre] [Aiguilles ; a coudre] [Aiguilles ; à coudre] [Aiguilles A coudres] [Aiguilles a coudre] [Aiguilles a coudres] [Aiguilles à coudre],non
aiguilles à ralingue,670,6j,,,new,,,non
aiguilles à tabac,670,6j,Métal,,ambiguous,,[Eguilles à tabac],non
aiguilles à toile,670,6j,Métal,,ambiguous,,[Aiguille A Toile],non
aiguilles à voile,670,6j,,,new,,,non
aiguilles d'emballage,670,6j,Métal,,ambiguous,,[Eguilles d'emballage] [aiguilles d'embaleur],non
aiguilles epars de sapin,920,9b,Divers mélangés,x,ambiguous,,[eguilles Epars de Sapin],non
aiguilles et épingles,670,6j,,,new,,,non
aiguilles grosses,670,6j,,,new,,,non
ailes,655,6h,Autres textiles mêlés fibres végétales et toiles,,ambiguous,,[Ailer] [Ailes] [ailles],non
ailes de fléaux,999,???,,,new,,,non
ailes de moulins,655,6h,,,new,,,non
ailor,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Ailor],non
ails,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Ails] [Aulx] [ails] [aulx] [Ail],non
ails à fauches,999,???,???,,ambiguous,,[aux à fauxhes],non
ails blancs à casser,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[ail blanc à casé],non
aimant,670,6j,,,new,,,non
ains à pêcher,800,8,Manufs divers,,ambiguous,,[ains a pecher] [Ains à pescher] [Ains a pêcher] [Ains ; à pescher] [Ains ; a pêcher] [Ains a percher] [Ains à pêcher] [Ains à pecher] [Ains a pecher],non
ains et lignes à pêcher,800,8,,,new,,,non
airain,670,6j,Métal,,ambiguous,[Airain] [Airain ; non ouvré],[Airain],non
airain non ouvré,670,6j,Métal,,ambiguous,,[Airain ; non ouvré],non
ajustements,800,8,Manufs divers,,ambiguous,,[Ajustemens] [Ajustement] [Ajustements],non
ajustements de femme,800,8,Manufs divers,,ambiguous,,[Ajustement ; de femme] [Ajustements ; de femme] [Ajustements de femmes],non
ajustements de soie,800,8,,,new,,,non
alambics,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[Alambic] [Alambics] [Alembics],non
alambics d'étain,670,6j,,,new,,,non
alambics de cuivre,670,6j,,,new,,,non
alambics de terre,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[Alambie ; de terre],non
albâtre,660,6k,"Articles minéraux non métalliques manufacturés, n.d.a.",x,ambiguous,[Albatre],[Albatre],non
albâtre et marbre brut et poli,660,6k,"Articles minéraux non métalliques manufacturés, n.d.a.",x,new,,,non
alegia,999,???,???,,ambiguous,[Alegias],[Alegias] [Allegias] [Alegeas],non
alènes,800,8,,,new,,,non
alibanies,654,6g,Textiles coton,,ambiguous,[Alibania] [Alibanic] [Alibanis] [Alibans] [alibanic] [alibanir] [alibanis],[Alibania] [Alibanic] [Alibanis] [Alibans] [alibanic] [alibanir] [alibanis] [Allibanis],non
alizari,500,5,Produits chimiques,,ambiguous,,[Drogueries ; pour peinture et teinture ; alizary] [Drogues ; pour la peinture et teinture ; alizari] [Drogues ; Pour la teinture ; Alizari] [Drogues ; pour la peinture et la teinture ; atisaric],non
alizari et garance,500,5,Produits chimiques transformés n.d.a.,x,new,,,non
alkermés,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
allaya,670,6j,,,new,,,non
alleaux,999,???,???,,existing,,,non
allemande de poil,652,6e,Textiles laine poil,,,,,non
allumettes,800,8,Manufs divers,,ambiguous,,[Allumettes] [Alumette] [Alumettes] [allumettes] [alumettes],non
allumettes à vin,800,8,Manufs divers,,ambiguous,,[Allumettes ; a vin] [Alumettes ; a vin],non
allumettes de coton,800,8,,,new,,,non
allumettes de mêche soufrée,800,8,,,new,,,non
allumettes droguée,800,8,Manufs divers,,ambiguous,,[Alumettes ; droguées],non
allumettes épicée,800,8,Manufs divers,,ambiguous,,[Alumettes ; epicées],non
allumettes opérées et soufrées,800,8,,,new,,,non
allumettes soufrées,800,8,Manufs divers,,ambiguous,,[Allumettes ; souffrées] [Alumettes ; souffrées] [alumettes souffrées],non
almagro ou crayon rouge,800,8,Manufs divers,,existing,,,non
almanach broché,800,8,Manufs divers,,,,,non
almanach en blanc,800,8,Manufs divers,,,,,non
almanach relié,800,8,Manufs divers,,,,,non
almanachs,800,8,,,new,,,non
almanachs enjolivés,800,8,,,new,,,non
aloès,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Alloes] [Aloes] [Alois] [Aloès] [Aloës] [aloes] [aloès] [aloés] [alöes] [Drogues ; Composées pour ma médecine ; Aloès] [Drogues ; médécinales ; aloes] [Drogues; Médicinales; Aloës],non
aloès cabalin,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,[Aloes ; cabalin] [Aloes Cabalin],[Drogues ; médecinales ; aloës ; capalin] [Aloes ; cabalin] [Aloes Cabalin],non
aloès commun,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
aloès moyen,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,,,,non
aloiset,999,???,???,,ambiguous,[aloiset],[aloiset],non
alose,110,0a,Nourriture européenne et animaux vivants,,existing,,,non
alose fumée,110,0a,Nourriture européenne et animaux vivants,,existing,,,non
alose salée,110,0a,,,new,,,non
alouettes,110,0a,,,new,,,non
alpargate,800,8,Manufs divers,,ambiguous,[Alpargalle] [Alpargatte] [Alpargattes],[Alpargalle] [Alpargatte] [Alpargattes] [Alpargate] [Alfargate] [Alpargates] [Alpargastes],non
alphabets,800,8,,,new,,,non
alpiste,500,5,Produits chimiques,,existing,,,non
alquifoux,500,5,Produits chimiques,,ambiguous,[Alquifou] [Alquifoulx] [Alquifoux] [Arqui fou] [Arquifou] [Arquifoux] [arquifou],[Drogues ; alquifoux] [Drogues ; Pour la peinture ; Alquifoux] [Alquifou] [Alquifoulx] [Alquifoux] [Arqui fou] [Arquifou] [Arquifoux] [arquifou] [Drogues ; pour la peinture et la teinture ; alquifoux] [Drogues; Médicinales; Alquifoux] [Drogues; Pour peinture et teinture; Alquifoux] [Drogues; Pour peintures et teintures; Alquifoux] [Drogues ; pour peinture et teinture ; alquifoux] [Drogues ; Pour la peinture et la teinture ; Alquifoux] [Drogueries ; pour peinture et teinture ; alquifoux],non
alquifoux et mine de plomb,500,5,Produits chimiques,,existing,,,non
alquifoux et mine de plomb ou graphite,500,5,Produits chimiques,,,,,non
alquifoux ou mine de plomb,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
alquitra,500,5,Produits chimiques,,ambiguous,[Alquitra],[Alquitra],non
aluchiabanis,999,???,???,,ambiguous,[aluchiabanis],[aluchiabanis],non
alun,500,5,Produits chimiques,,ambiguous,[Allun] [Alum] [Alun] [alin] [alun],[Drogue ; pour peinture et teinture ; alun] [Drogueries ; pour peinture et teinture ; alun] [Drogues ; Pour la peinture et la teinture ; Alun] [Drogues ; pour la peinture et la teinture ; alun] [Drogues ; pour la peinture et teinture ; alun] [Drogues ; pour peinture et teinture ; alun] [Drogues ; Pour la teinture ; Alun] [Drogues ; alun] [Allun] [Alum] [Alun] [alin] [alun] [Drogueries pour teinture et peinture alun] [Drogues; Pour peinture et teinture; Alun] [3///Matières premières///Alun] [Drogues; Pour peintures et teintures; Alun] [3///Matières première///Alun] [3///Suite des matières premières///Alun],non
alun commun,500,5,Produits chimiques,,ambiguous,,[Drogues ; pour peinture et teinture ; alun ; commune],non
alun de roche,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
alun de Rome,500,5,Produits chimiques,,ambiguous,,[Alun ; de Rome] [Alun de Romes],non
alun de Rouen,500,5,Produits chimiques,,ambiguous,,[Drogues ; pour la peinture et la teinture ; alun ; de Rouen],non
alun de Surde,500,5,Produits chimiques,,ambiguous,,[Drogues ; pour la peinture et la teinture ; alun ; de Surde],non
alun du Levant,500,5,Produits chimiques,,ambiguous,,[Drogues ; pour la peinture et la teinture ; alun ; du Levant],non
alun en dracy,500,5,Produits chimiques,,ambiguous,,[Drogue ; pour peinture et teinture ; alun ; en dracy],non
alun gâté,500,5,Produits chimiques,,ambiguous,,[Alun gâté],non
alvés,999,???,???,,ambiguous,[alvés],[alvés] [Alves],non
amadou,500,5,Produits chimiques,,ambiguous,[Amadon] [Amadou] [Amadoux] [amadou] [amadoux],[Amadon] [Amadou] [Amadoux] [amadou] [amadoux],non
amadou et agaric amadouvier,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
amande et pelure et prune et raisin,110,0a,Nourriture européenne et animaux vivants,,,,,non
amande sèche et figue sèche et raisin sec,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,"[Fruits secs, en amandes ,figues et raisins] [Fruits secs, en amandes, figues et raisins] [Fruits sesc, en amandes, figues et raisins]",non
amandes,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Amandeic] [Amandes] [Amendes] [amandes] [Amande] [Amandes ; diverses] [Amandeu] [Subsistances ; fruits secs amandes],non
amandes à la praline,110,0a,,,new,,,non
amandes amère,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Amandes ; ameres],non
amandes cassée,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,"[Amande cassées] [Amandes : cassées] [Amandes ; cassees] [Amandes ; cassées] [Amandes Cassées] [Amandes cassées] [Amandes casées] [Amandes; cassées] [Amandées cassées] [Amendes ; cassées] [Amendes cassées] [amandes cassées] [amandes cassés] [amandes caséér] [Fruits ; amandes ; cassées] [Fruits ; crus, secs et à l'eau de vie ; amandes ;cassées] [Amandes; Cassées]",non
amandes courte,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[amandes courtes],non
amandes douce,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Amandes douces],non
amandes en coque,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,"[Amandes ; en cocques] [Amandes ; en coque] [Amandes ; en coques] [Amandes en Coques] [Amandes en coque] [Amandes en coques] [Amandes; en coques] [Amendes en coques] [amandes en cocque] [amandes en coques] [Fruits ; amandes ; en coques] [Fruits ; crus, secs et à l'eau de vie ; amandes ; en coques] [Amandes en cocques] [Amandes; En coques]",non
amandes et figue et raisin,110,0a,,,new,,,non
amandes et pruneau,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Amande et pruneaux] [Amandes et pruneaux],non
amandes et raisin,110,0a,Nourriture européenne et animaux vivants,,,,,non
amandes et raisin sec,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Amandres et raisins secs],non
amandes et raisin sec et savon,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,"[Amandes, raisons secs et savon]",non
amandes et savon,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Amandes et savon] [Amandres et savon],non
amandes et sucre,110,0a,,,new,,,non
amandes et vert-de-gris,920,9b,,,new,,,non
amandes figue secs et ???,920,9b,,,new,,,non
amandes fraîche,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,"[Fruits frais, amandes]",non
amandes longues,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[amandes longues],non
amandes sèches,110,0a,,,new,,,non
amaril,999,???,???,,existing,,,non
ambrain à grande barrique,999,???,???,,ambiguous,,[Ambrain a grande Barique],non
ambre,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,[Ambre] [Ambres] [ambre],[Ambre] [Ambres] [ambre] [Drogues odorantes (ambre)],non
ambre brut,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[ambre brut],non
ambre carabé,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
ambre et corail,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
ambre gris,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Drogues ; Odorantes ; Ambre gris] [Ambre ; gris] [Ambre gris] [Ambre; grin] [ambre gris],non
ambre jaune,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Drogues ; Odorantes ; Ambre jaune] [Ambre ; jaune] [Ambre jaune] [Ambre; jaune] [Ambres Jaune] [ambre jaune] [ambre;Jaune] [Ambre jeaune],non
ambre moulu,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Ambre ; moulu],non
ambre vert,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Verd ; d'ambre],non
amer,500,5,Produits chimiques,,ambiguous,[Amer],[Amer],non
amer de laine,652,6e,Textiles laine poil,,,,,non
amertis,654,6g,Textiles coton,,ambiguous,[Amertis],[Amertis],non
ami de toillé,999,???,???,,ambiguous,[ami de toillé],[ami de toillé],non
amidon,500,5,Produits chimiques,,ambiguous,[Amidon] [Amirons] [amidon],[Amidon] [amidon],non
amidon en grains,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
amidon et poudre à poudrer,500,5,Produits chimiques,,existing,,,non
ammoniac,500,5,Produits chimiques,,ambiguous,[Ammoniac],[Drogues ; chimiques et métalliques ; amoniac],non
ammoniac et sel,500,5,Produits chimiques,,ambiguous,,[Drogues ; Chimiques ; Sel ammoniac] [Drogues ; Chimiques ; Sels ammoniac] [Drogues ; chimique ; sel ammoniac],non
ammonium,500,5,Produits chimiques,,ambiguous,[Ammonium],[Amomum] [amomum] [Ammonium] [Ammoniac],non
amomum verum,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,[Amomum verum] [Amonum verum],[Amomum verum] [Amonum verum],non
anabasse,999,???,???,,ambiguous,,[Anatose] [anabas] [Anatoze] [annabas] [Annabas] [Anabas] [Ananbas],non
anacardes,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
anacoste,652,6e,,,new,,,non
ananas,120,0b,Nourriture exotique,,ambiguous,[ananas],[ananas],non
ananas confit,120,0b,Nourriture exotique,,ambiguous,,[Ananas ; confit] [ananas confits],non
ananas planté,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
anatomie,800,8,,,new,,,non
anches de tonneaux,6,6,6,,ambiguous,,[Anches ; de tonneaux],non
anchois,110,0a,Nourriture européenne et animaux vivants,,ambiguous,[Anchoies] [Anchois] [Anchoix] [Anchoyes] [anchois] [anchoix],[Anchoies] [Anchois] [Anchoix] [Anchoyes] [anchois] [anchoix] [Poisson ; de mer ; anchois],non
anchois et boutargue,110,0a,,,new,,,non
anchois et sardes,110,0a,,,new,,,non
anchois et sardines,110,0a,,,new,,,non
anchois mariné,110,0a,,,new,,,non
anchois mariné et salé,110,0a,,,new,,,non
anchois salé et mariné,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Salé et mariné ; anchois],non
ancres,670,6j,Métal,,ambiguous,,[Andes] [Ancres],non
ancres de chaudon,670,6j,,,new,,,non
ancres de chaudon de fer,670,6j,,,new,,,non
ancres de fer,670,6j,Métal,,ambiguous,,[Ancre ; de fer] [Ancre de Fer] [Ancre de fer] [Ancres ; de fer] [Ancres de Fer] [Ancres de fer] [ances de Fer] [ancre de Fer] [ancre de fer] [ancres de Fer] [ancres de fer] [Fer ; en ancre] [Fer ; en ancres] [Fer ; en aneres] [Fer ; en aners] [Fer en ancres] [Fer; en ancres] [Fers ; en ancres] [fer en ancres] [Ouvrages ; De fer ; Ancres] [Ouvrages ; De fer ; Au cres] [Fer en ancre] [Fers ; en ancre] [Fe r; en ancres] [Fers en ancres] [Fer; Ancres] [Fer ; ouvré en ancre] [Fer ; en encres],non
ancres et grappins de fer,670,6j,,,new,,,non
ancres gravelée,800,8,Manufs divers,,ambiguous,,[Ancre gravellée],non
ancres vide,670,6j,Métal,,ambiguous,,[Ancres vuides],non
ancres vides vieilles,670,6j,,,new,,,non
andolium,110,0a,,,new,,,non
andouilles,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Andouille] [Andouilles],non
andouillette,110,0a,Nourriture européenne et animaux vivants,,existing,,,non
ânes,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[///Betes de somme///Anes] [///Bêtes de Somme///Anes] [Betes de somme ; Asnes] [Betes de somme ; Osnes] [Bêtes de somme ; anes] [Anes] [Asne] [Asner] [Asnes] [Bestiaux ; ânes] [asnes] [Bestiaux et bêtes ; de somme ; anes] [Annes],non
ânes et anesses,110,0a,,,new,,,non
ânes et ânesses,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[anes et anesses],non
ânes et mulets,110,0a,Nourriture européenne et animaux vivants,,,,,non
angélique,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,[Angelique] [Angélique] [angelique],[Angelique] [Angélique] [angelique],non
angélique du Rozème,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[angélique du Rozème],non
anguilles,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Anguilles] [anguilles],non
anguilles et truites,110,0a,,,new,,,non
anguilles fraîches,110,0a,Nourriture européenne et animaux vivants,,,,,non
anguilles salées,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Anguille Salée] [Anguille Salées] [Anguilles Salées] [Anguilles salées] [anguille Sallées],non
anille,670,6j,,,new,,,non
animaux,110,0a,,,new,,,non
anis,110,0a,Nourriture européenne et animaux vivants,,ambiguous,[Aniec] [Anis] [Anise] [anis],[Aniec] [Anis] [Anise] [anis] [Annis],non
anis et rac et rhum etc.,100,1,Boissons et tabac,x,new,,,non
anis et sucre,920,9b,Divers mélangés,,ambiguous,[Anis et sucre] [Sucre et anis],[Anis et sucre] [Sucre et anis],non
anis étoilé,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Anis ; etoillé] [Anis ; etoilé] [Anis ; étoile] [Anis etoile] [Anis étoilé] [Anis ; étoilé] [Anis etoillé],non
anis vert,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Anis ; verds] [Anis ; vers] [Anis ; vert] [Anis vers] [Anis vert] [anis vert] [annis vert] [Anis verd] [Anis ; verd],non
anisette,100,1,Boissons et tabac,x,ambiguous,[Anisette] [Anizete] [Anizette] [Anizettes] [Annizete],[Anisette] [Anizete] [Anizette] [Anizettes] [Annizete] [Liqueur anisette] [Liqueurs anisette] [Liqueurs ; anisette] [Liqueur (anisette)],non
anisette au fiasque,100,1,Boissons et tabac,x,new,,,non
anisette de Bordeaux,100,1,Boissons et tabac,x,ambiguous,,[Anizette ; de Bordeaux],non
anneau de fer,670,6j,Métal,,ambiguous,,[anneaux de Fer] [Anneau de fer],non
anneaux de cuivre,670,6j,,,new,,,non
ânon,110,0a,Nourriture européenne et animaux vivants,,ambiguous,[Asnon],[Asnon],non
anspects,630,6b,"Bois, liège, jonc",,existing,,,non
anspects de bois,630,6b,"Bois, liège, jonc",,,,,non
anspects de sapin,630,6b,"Bois, liège, jonc",,,,,non
antchibanis,999,???,,,new,,,non
antennes et mâts de bateaux,630,6b,,,new,,,non
antimoine,500,5,Produits chimiques,,ambiguous,[Antimoine] [Antimonium] [Antinoire] [antimoine],[Drogues ; chimiques et métalliques ; antimoine] [Drogues ; métallique et chimique ; antimoine] [Drogues ; Métalliques ; Antimoine] [Drogues ; Métalliques ; Antimoire] [Antimoine] [Antimonium] [Antinoire] [antimoine] [Drogues ; metalliques et chimiques ; antimoine] [Drogueries métalliques et chimiques antimoine],non
antimoine cru,500,5,Produits chimiques,,ambiguous,,[Drogues ; chimiques et métalliques ; antimoine ; cru],non
antimoine crû,500,5,Produits chimiques,,ambiguous,,[Animoine crû] [Antimoine ; Crû] [Antimoine ; cru] [Antimoine Cru] [Antimoine cru] [Antimoine crue] [antimoine cru],non
antofle,120,0b,Nourriture exotique,,ambiguous,[Antolphe],[Antolphe],non
antofle de girofle,120,0b,Nourriture exotique,,ambiguous,,[Antofle ; de gerofle] [Antolfe ; de gerofle] [Antolfe ;de geroffle] [Antolphe ; de geroffle] [Antolphe ; de girofle] [Antolphe de geroffle] [Antolphe de Geroffle],non
apiers,110,0a,Nourriture européenne et animaux vivants,,existing,,,non
apios,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,existing,,,non
