numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,remarks
14,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,1,1725,Exports,Miel,Marseille,Hollande,"75 725,00",livres,"0,1000000",
15,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,1,1725,Exports,Noix,Marseille,Hollande,"305,00",sacs,"5,0000000",
16,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Olives,Marseille,Hollande,"3 525,00",livres,"0,1500000",
17,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Prunes de Brignoles,Marseille,Hollande,"74 060,00",livres,"0,1200000",
18,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Pruneaux,Marseille,Hollande,"206 500,00",livres,"0,1000000",
19,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Raisin sec,Marseille,Hollande,"450,00",livres,"0,1200000",
20,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Saffran,Marseille,Hollande,"720,00",livres,"13,0000000",
21,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Saucissons,Marseille,Hollande,"1 575,00",livres,"1,0000000",
22,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Ton mariné,Marseille,Hollande,"175,00",livres,"1,0000000",
23,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Vin ,Marseille,Hollande,"625,00",charges,"5,0000000",
24,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Vin ,Marseille,Hollande,"3 811,00",milleroles,"2,5000000",
25,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Bazannes tannées,Marseille,Hollande,"193,00",douzaines,"4,0000000",
26,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Bois travaillé,Marseille,Hollande,"1,00",valeur,"100,0000000",
27,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Graine de jardin,Marseille,Hollande,"260,00",livres,"0,4000000",
28,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Huille de senteur,Marseille,Hollande,"955,00",livres,"0,7500000",
29,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Liege,Marseille,Hollande,"8 400,00",livres,"0,1000000",
30,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Oignons de tubereuses,Marseille,Hollande,"25 000,00",en nombre,"0,0100000",
31,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Peaux de veau corroyées,Marseille,Hollande,"648,00",en nombre,"1,1666667",
32,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Savon,Marseille,Hollande,"1 565,00",livres,"0,1800000",
33,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Souffre,Marseille,Hollande,"50,00",livres,"0,0800000",
34,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Tartre,Marseille,Hollande,"8 700,00",livres,"0,1400000",
35,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Verdet,Marseille,Hollande,"960,00",livres,"0,8000000",
36,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Anchois,Marseille,Espagne,"8,00",barrils,"4,0000000",
37,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Bled froment,Marseille,Espagne,"4 888,00",livres,"0,0350000",
38,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Chair salée,Marseille,Espagne,"8 500,00",livres,"0,1500000",
39,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Confitures,Marseille,Espagne,"850,00",livres,"1,0000000",
40,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,2,1725,Exports,Café,Marseille,Espagne,"470,00",livres,"1,7500000",
41,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Cacao,Marseille,Espagne,"139 300,00",livres,"0,5000000",
42,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Dattes,Marseille,Espagne,"800,00",livres,"0,1200000",
43,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Drogues d'apoticaires,Marseille,Espagne,"10 635,00",livres,"0,5000000",
44,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Eau de vie,Marseille,Espagne,"87,00",tonneaux,"0,0000000",pas de prix indiqué
45,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Fromage,Marseille,Espagne,"78 950,00",livres,"0,1500000",
46,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Gingembre,Marseille,Espagne,"2 100,00",livres,"0,1200000",
47,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Jambon et saucisson,Marseille,Espagne,"1 530,00",livres,"0,3000000",
48,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Liqueurs à boire,Marseille,Espagne,"500,00",livres,"1,0000000",
49,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Mane de Calabre,Marseille,Espagne,"1 730,00",livres,"0,7500000",
50,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Noix,Marseille,Espagne,"102,00",sacs,"5,0000000",
51,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Poivre,Marseille,Espagne,"11 480,00",livres,"0,5600000",
52,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Prunes de Brigolles,Marseille,Espagne,"8 700,00",livres,"0,1200000",
53,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Ris,Marseille,Espagne,"33 980,00",livres,"0,0900000",
54,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Saffran,Marseille,Espagne,"751,00",livres,"13,0000000",
55,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Sucre blanc en pain,Marseille,Espagne,"127 800,00",livres,"0,5500000",
56,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Sucre cassonnade,Marseille,Espagne,"8 000,00",livres,"0,3600000",
57,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Sirop de capilaire,Marseille,Espagne,"1,00",valeur,"2 000,0000000",
58,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Sené,Marseille,Espagne,"1 825,00",livres,"1,1000000",
59,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Sené en grabeau,Marseille,Espagne,"10 000,00",livres,"0,2500000",
60,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Sang de dragon,Marseille,Espagne,"280,00",livres,"0,3000000",
61,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Ton mariné,Marseille,Espagne,"200,00",livres,"1,0000000",
62,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Tamarin,Marseille,Espagne,"222,00",livres,"0,3500000",
63,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Vin ,Marseille,Espagne,"62,00",charges,"5,0000000",
64,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Vin ,Marseille,Espagne,"426,00",milleroles,"2,5000000",
65,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Vin de Bourgogne,Marseille,Espagne,"1 584,00",bouteilles,"1,0000000",
66,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Alun de Rome,Marseille,Espagne,"4 300,00",livres,"0,1400000",
67,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,3,1725,Exports,Acier,Marseille,Espagne,"160,00",livres,"0,2000000",
68,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Bois de campet,Marseille,Espagne,"1 900,00",livres,"0,0900000",
69,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Cheveux,Marseille,Espagne,"1 835,00",livres,"9,0000000",
70,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Coton en laine,Marseille,Espagne,"7 700,00",livres,"0,4000000",
71,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Cire jaune,Marseille,Espagne,"4 210,00",livres,"1,1000000",
72,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Crasse de cire,Marseille,Espagne,"1 325,00",livres,"0,4000000",
73,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Encens,Marseille,Espagne,"1 200,00",livres,"0,3500000",
74,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Graine de jardin,Marseille,Espagne,"3 600,00",livres,"0,4000000",
75,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Gales d'Alept,Marseille,Espagne,"965,00",livres,"0,4800000",
76,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Gommes laque,Marseille,Espagne,"100,00",livres,"6,5000000",
77,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Laine lavée,Marseille,Espagne,"1 900,00",livres,"0,8000000",
78,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Lin peigné,Marseille,Espagne,"200,00",livres,"0,7000000",
79,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Noir de fumée,Marseille,Espagne,"575,00",livres,"0,1000000",
80,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Pelleterie crüe,Marseille,Espagne,"675,00",livres,"2,0000000",
81,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Planches à bastir,Marseille,Espagne,"12,00",douzaines,"1,0000000",doute unité de prix
82,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Safranon,Marseille,Espagne,"7 000,00",livres,"0,3500000",
83,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Soufre,Marseille,Espagne,"4 150,00",livres,"0,0800000",
84,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Verdet,Marseille,Espagne,"3 960,00",livres,"0,8000000",
85,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Bijouterie,Marseille,Espagne,"1,00",valeur,"7 050,0000000",
86,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Bours de Marseille,Marseille,Espagne,"2,00",pièces,"20,0000000",
87,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Burat,Marseille,Espagne,"400,00",livres,"40,5000000",
88,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Bas de soye,Marseille,Espagne,"5,00",livres,"20,0000000",
89,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Bas de filozelle,Marseille,Espagne,"1 450,00",livres,"10,0000000",
90,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Bas d'estame,Marseille,Espagne,"650,00",livres,"5,0000000",
91,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Couvertes de mulets,Marseille,Espagne,"20,00",en nombre,"2,5000000",
92,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Camelot,Marseille,Espagne,"7,00",pièces,"20,0000000",
93,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Camelot,Marseille,Espagne,"1 200,00",livres,"1,6000000",
94,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,4,1725,Exports,Chapeaux castor,Marseille,Espagne,"410,00",en nombre,"12,0000000",
95,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Chapeaux demy castor,Marseille,Espagne,"295,00",en nombre,"9,0000000",
96,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Chapeaux de poil,Marseille,Espagne,"174,00",douzaines,"40,0000000",
97,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Chapeaux de laine,Marseille,Espagne,"28,00",douzaines,"10,0000000",
98,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Cuir tanné,Marseille,Espagne,"5 885,00",livres,"0,3500000",
99,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Cartes à jouer,Marseille,Espagne,"16,00",caisses,"72,0000000",
100,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Cartes à jouer,Marseille,Espagne,"8,00",grosses,"14,4000000",
101,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Cartes à jouer,Marseille,Espagne,"3 200,00",livres,"0,3050000",
102,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Carton,Marseille,Espagne,"250,00",livres,"0,2000000",
103,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Chaises de maroquin,Marseille,Espagne,"14,00",en nombre,"7,0000000",
104,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Chaises de paille,Marseille,Espagne,"81,00",paires,"0,5000000",indiqué sous 7 douzaines à 20 sols la paire
105,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Cotton filé,Marseille,Espagne,"13 000,00",livres,"0,8000000",
106,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Cire blanche ouvrée,Marseille,Espagne,"13 140,00",livres,"1,3000000",
107,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Cloux de fer,Marseille,Espagne,"7 000,00",livres,"0,0100000",
108,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Draperie fine,Marseille,Espagne,"8 405,00",livres,"5,0000000",
109,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Dentelle du Puy,Marseille,Espagne,"22 326,00",livres,"15,0000000",
110,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Dentelle de fil de Flandres,Marseille,Espagne,"800,00",livres,"200,0000000",
111,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,"Etoffe or, argent et soye",Marseille,Espagne,"4 260,00",livres,"75,0000000",
112,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Etoffe de soye,Marseille,Espagne,"13 135,00",livres,"35,0000000",
113,Pascal Fontaine,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1725,Local,5,1725,Exports,Etoffe de laine et soye,Marseille,Espagne,"7 430,00",livres,"10,0000000",
