Data entry by,Source,Year,Sheet,Marchandises,Quantité,Leur valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Leur Valeur (sub-total 3),Total
Fatima Zahra,,1 788,42,Bois métaux combustible et autres pructions brutes de la terre ; Bois divers,,23 300,,,,3 354 900
Fatima Zahra,,1 788,44,Comestibles ;         sec à figue,295 100,67 000,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ;         raisin,338 900,75 700,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ; Grains bled,229 900,32 000,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ;          milles,92 900,11 100,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ;          ris,51 500,10 500,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ; huile d'olive importée en grande partie à Marseille,7 526 900,4 238 900,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ; Legumes divers,,27 700,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ; Poisson frais,,465 500,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ;            de mer divers ,,50 600,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ;            Morue,343 700,80 400,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ; Salé et marine anchois,20 100 ET 626 200,431 500,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ; Sel de mer,225,27 800,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ; Sucre divers ,24 600,12 300,,,,8 044 900
Fatima Zahra,,1 788,44,Comestibles ; Thé,4 010,12 000,,,,8 044 900
Fatima Zahra,,1 788,44,Boisson ; eau de vie simple,25 466,4 428 600,,,,5 356 900
Fatima Zahra,,1 788,44,Boisson ;          double ,228,39 700,,,,5 356 900
Fatima Zahra,,1 788,44,Boisson ;         de Genievre,72,13 000,,,,5 356 900
Fatima Zahra,,1 788,44,Boisson ;         rectifié,348,100 200,,,,5 356 900
Fatima Zahra,,1 788,44,Boisson ; vins divers,,144 400,,,,5 356 900
Fatima Zahra,,1 788,44,Boisson ;       commun,1 378,62 900,,,,5 356 900
Fatima Zahra,,1 788,44,Boisson ;       de liqueur,3 314,568 100,,,,5 356 900
Fatima Zahra,,1 788,45,Drogues ; médécinales diverses,,17 500,,,,6 683 300
Fatima Zahra,,1 788,45,Drogues ;                  jalap ,12 500,19 800,,,,6 683 300
Fatima Zahra,,1 788,45,Drogues ;                 jus de reglisse,188 400,86 800,,,,6 683 300
Fatima Zahra,,1 788,45,Drogues ;                 réglisse,241 700,28 000,,,,6 683 300
Fatima Zahra,,1 788,45,Drogues ;                quinquins,44 470,294 400,,,,6 683 300
