"numrodeligne","dataentryby","source","sourcepath","sourcetype","year","exportsimports","sheet","marchandises","pays","direction","value","remarks"
22,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1747,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","1231266,03333333","En fait sur deux ans"
23,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1748,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes",0,"En fait sur deux ans"
24,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1749,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","1108704,82083333","En fait sur deux ans"
25,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","National toutes directions tous partenaires",1750,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","4224520,8875","En fait sur deux ans"
26,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1751,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","9563529,05","En fait sur deux ans"
27,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1752,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","18515625,05","En fait sur deux ans"
28,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1753,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","12572574,7","En fait sur deux ans"
29,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1754,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes",15806581,"En fait sur deux ans"
30,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1755,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","18669407,75","En fait sur deux ans"
31,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1756,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","11800763,95","En fait sur deux ans"
32,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1757,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","5191128,89166667","En fait sur deux ans"
33,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1758,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","10078265,55","En fait sur deux ans"
34,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1759,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","7418724,925","En fait sur deux ans"
35,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1760,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","1379834,01666667","En fait sur deux ans"
36,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1761,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","3563664,65","En fait sur deux ans"
37,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1762,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","265897,7875","En fait sur deux ans"
38,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1763,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes",0,"En fait sur deux ans"
39,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1764,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes",0,"En fait sur deux ans"
40,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1765,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes",0,"En fait sur deux ans"
41,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1766,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes",0,"En fait sur deux ans"
42,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1767,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","5831782,55","En fait sur deux ans"
43,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1768,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","10523419,8958333","En fait sur deux ans"
44,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1769,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","15957950,35","En fait sur deux ans"
45,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1770,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","9905020,7","En fait sur deux ans"
46,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1771,"Imports",1,"marchandises des Indes et caffé de Moka","Indes et Moka","France par la Compagnie des Indes","10816223,85","En fait sur deux ans"
47,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1726,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","5345,21666666667","En fait sur deux ans"
48,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1727,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes",0,"En fait sur deux ans"
49,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1728,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","62866,875","En fait sur deux ans"
50,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1729,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","195577,425","En fait sur deux ans"
51,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1730,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","21150,8625","En fait sur deux ans"
52,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1731,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","479558,5","En fait sur deux ans"
53,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1732,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","518904,9625","En fait sur deux ans"
54,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1733,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","619684,525","En fait sur deux ans"
55,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1734,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","260413,3","En fait sur deux ans"
56,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1735,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","523289,5875","En fait sur deux ans"
57,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1736,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","882373,883333333","En fait sur deux ans"
58,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1737,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes",0,"En fait sur deux ans"
59,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1738,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","291233,3","En fait sur deux ans"
60,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1739,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes",528384,"En fait sur deux ans"
61,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1740,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes",902116,"En fait sur deux ans"
62,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1741,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","917552,6","En fait sur deux ans"
63,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1742,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","1248443,5","En fait sur deux ans"
64,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1743,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","1113696,85","En fait sur deux ans"
65,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1744,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","1284977,45","En fait sur deux ans"
66,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1745,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes",1921999,"En fait sur deux ans"
67,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1746,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes",677452,"En fait sur deux ans"
68,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1747,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","96676,8","En fait sur deux ans"
69,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1748,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes",0,"En fait sur deux ans"
70,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1749,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","2421266,75","En fait sur deux ans"
71,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","National toutes directions tous partenaires",1750,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","2249192,65","En fait sur deux ans"
72,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1751,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","2114186,15","En fait sur deux ans"
73,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1752,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","1639836,25","En fait sur deux ans"
74,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1753,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","1580744,35","En fait sur deux ans"
75,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1754,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes",23527,"En fait sur deux ans"
76,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1755,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","820669,45","En fait sur deux ans"
77,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1756,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","2017124,8","En fait sur deux ans"
78,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1757,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","420162,4","En fait sur deux ans"
79,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1758,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","775515,8","En fait sur deux ans"
80,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1759,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","1002912,8","En fait sur deux ans"
81,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1760,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","467071,55","En fait sur deux ans"
82,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1761,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","987598,4","En fait sur deux ans"
83,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1762,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","1397558,6","En fait sur deux ans"
84,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1763,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","607068,65","En fait sur deux ans"
85,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1764,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","1200163,25","En fait sur deux ans"
86,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1765,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","1684272,6","En fait sur deux ans"
87,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1766,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","316971,9","En fait sur deux ans"
88,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1767,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","1216693,7","En fait sur deux ans"
89,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1768,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","1387925,40416667","En fait sur deux ans"
90,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1769,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","1892378,55","En fait sur deux ans"
91,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1770,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","1105464,25","En fait sur deux ans"
92,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1771,"Imports",1,"caffé de Bourbon, bois d’Ebène","Isles de France et de Bourbon","France par la Compagnie des Indes","1692231,9","En fait sur deux ans"
93,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1726,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes",0,"En fait sur deux ans"
94,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1727,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","1037558,28333333","En fait sur deux ans"
95,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1728,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","358612,65","En fait sur deux ans"
96,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1729,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes",0,"En fait sur deux ans"
97,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1730,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","1997323,64166667","En fait sur deux ans"
98,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1731,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","1687852,6","En fait sur deux ans"
99,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1732,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","3017210,15416667","En fait sur deux ans"
100,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1733,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","2599053,64583333","En fait sur deux ans"
101,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1734,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","1929123,725","En fait sur deux ans"
102,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1735,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","3021600,8375","En fait sur deux ans"
103,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1736,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","3313113,2375","En fait sur deux ans"
104,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1737,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","1880771,92083333","En fait sur deux ans"
105,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1738,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","2861610,2","En fait sur deux ans"
106,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1739,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","3546088,02916667","En fait sur deux ans"
107,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1740,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","3472442,43333333","En fait sur deux ans"
