numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,unit_price,value,probleme,remarks
11,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,baguettes de fuzil,Marseille,Espagne,"2,00",milliers,"300,0000000","600,00","0,00",
12,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,balaïs de palmes,Marseille,Espagne,"3 100,00",douzaines,"0,9000000","2790,00","0,00",
13,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,beure,Marseille,Espagne,"1 035,00",livres,"0,4000000","414,00","0,00",
14,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,biscuits de mer,Marseille,Espagne,"900,00",livres,"15,0000000","13500,00","0,00",
15,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,bled froment,Marseille,Espagne,"4 554,00",charges,"25,0000000","113850,00","0,00",
16,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,bois de Brezil,Marseille,Espagne,"3 450,00",livres,"0,5000000","1725,00","0,00",
17,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,bois a bruler,Marseille,Espagne,"40 500,00",livres,"0,0075000","303,00","-0,75",
18,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,bois de campeche,Marseille,Espagne,"207 373,00",livres,"0,2500000","51843,00","-0,25",
19,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,bois de construction,Marseille,Espagne,"150,00",pieces,"30,0000000","4500,00","0,00",
20,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,1,1759,Imports,bois merrain,Marseille,Espagne,"60,00",tonneaux,"10,0000000","600,00","0,00",
21,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,bonnet de laine,Marseille,Espagne,"200,00",livres,"1,5000000","300,00","0,00",
22,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,bouchons de liege,Marseille,Espagne,"1 250,00",livres,"3,0000000","3750,00","0,00",
23,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,boulets de canon,Marseille,Espagne,"320,00",en nombre,"1,0000000","320,00","0,00",
24,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,bourde,Marseille,Espagne,"3 005 725,00",livres,"0,0800000","240458,00","0,00",
25,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,bours de fil,Marseille,Espagne,"374,00",pieces,"6,0000000","2244,00","0,00",
26,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,brun rouge,Marseille,Espagne,"47 000,00",livres,"0,0250000","1175,00","0,00",
27,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,cacao,Marseille,Espagne,"4 805,00",livres,"1,3000000","6246,00","-0,50",
28,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,caffé,Marseille,Espagne,"192 721,00",livres,"0,8000000","154176,00","-0,80",
29,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,canefice,Marseille,Espagne,"86 373,00",livres,"1,0000000","86373,00","0,00",
30,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,capres,Marseille,Espagne,"9 048,00",livres,"0,2200000","1990,00","-0,56",
31,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,carreaux de marbre,Marseille,Espagne,"8,00",milliers,"80,0000000","640,00","0,00",
32,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,cartes a joüer,Marseille,Espagne,"1 650,00",livres,"0,5000000","825,00","0,00",
33,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,cascarilles,Marseille,Espagne,"5 251,00",livres,"1,5000000","7876,00","-0,50",
34,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,cendre commune,Marseille,Espagne,"56 880,00",livres,"0,0800000","4550,00","-0,40",
35,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,cendre de soude,Marseille,Espagne,"172 500,00",livres,"0,0900000","15525,00","0,00",
36,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,ceruze,Marseille,Espagne,"2 800,00",livres,"0,2500000","700,00","0,00",
37,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,chaises de paille,Marseille,Espagne,"50,00",nombre,"0,7500000","37,00","-0,50",
38,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,chandelle,Marseille,Espagne,"4 737,00",livres,"0,4000000","1894,00","-0,80",
39,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,chocolat,Marseille,Espagne,"654,00",livres,"2,0000000","1308,00","0,00",
40,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,cire jaune,Marseille,Espagne,"6 095,00",livres,"1,5000000","9142,00","-0,50",
41,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,cloux de fer,Marseille,Espagne,"2 875,00",livres,"0,2500000","717,00","-1,75",erreur de calcul
42,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,cochenille,Marseille,Espagne,"38 857,00",livres,"17,0000000","660569,00","0,00",
43,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,colombine,Marseille,Espagne,"23 180,00",livres,"0,0500000","1159,00","0,00",
44,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,coloquintes,Marseille,Espagne,"3 280,00",livres,"1,0000000","3280,00","0,00",
45,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,confitures,Marseille,Espagne,"800,00",livres,"1,0000000","800,00","0,00",
46,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,conserve de roze,Marseille,Espagne,"500,00",livres,"1,5000000","750,00","0,00",
47,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,coquillages,Marseille,Espagne,"500,00",livres,"0,2500000","125,00","0,00",
48,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,cordages de chanvre,Marseille,Espagne,"3 250,00",livres,"0,4000000","1300,00","0,00",
49,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,cordages d'espars,Marseille,Espagne,"2 233,00",douzaines,"7,0000000","15631,00","0,00",
50,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,cordages d'espars,Marseille,Espagne,"142,00",milliers,"0,0000000","580,00","580,00",estimés
51,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,cornes de mouton,Marseille,Espagne,"125 218,00",paires,"0,2000000","25043,00","-0,60",
52,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,coton en laine,Marseille,Espagne,"1 500,00",livres,"0,8000000","1200,00","0,00",
53,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,couffins de palmes,Marseille,Espagne,"20,00",douzaines,"6,0000000","120,00","0,00",
54,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,couperoze,Marseille,Espagne,"2 500,00",livres,"0,1000000","250,00","0,00",
55,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,courdouans,Marseille,Espagne,"1 329,00",nombre,"2,0000000","2658,00","0,00",
56,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,couvertures,Marseille,Espagne,"91,00",douzaines,"120,0000000","10920,00","0,00",
57,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,cuirs en poil de bœuf,Marseille,Espagne,"8 421,00",en nombre,"14,0000000","117894,00","0,00",
58,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,cuirs de beuf tannés,Marseille,Espagne,"200,00",livres,"0,6000000","120,00","0,00",
59,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,cuivre vieux,Marseille,Espagne,"200,00",livres,"0,8500000","170,00","0,00",
60,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,dents d'elephant,Marseille,Espagne,"11,00",nombre,"100,0000000","1100,00","0,00",
61,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,drapeaux vieux,Marseille,Espagne,"6 600,00",livres,"0,2500000","1650,00","0,00",
62,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,draperie ordinaire,Marseille,Espagne,"2 948,00",livres,"6,0000000","17688,00","0,00",
63,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,draperie petite,Marseille,Espagne,"840,00",livres,"3,0000000","2520,00","0,00",
64,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,drogueries,Marseille,Espagne,"621,00",livres,"1,0000000","621,00","0,00",
65,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,escayolles,Marseille,Espagne,"58 220,00",livres,"0,1000000","5822,00","0,00",
66,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,espars,Marseille,Espagne,"699,00",milliers,"40,0000000","27960,00","0,00",
67,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,etoffe de soye,Marseille,Espagne,"630,00",livres,"40,0000000","25200,00","0,00",
68,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,eventails,Marseille,Espagne,"150,00",livres,"3,0000000","450,00","0,00",
69,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,farine,Marseille,Espagne,"13 800,00",livres,"0,1000000","1380,00","0,00",
70,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,fayance,Marseille,Espagne,"4 800,00",livres,"0,5000000","2400,00","0,00",
71,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,fer blanc,Marseille,Espagne,"300,00",livres,"0,7500000","225,00","0,00",
72,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,fer vieux,Marseille,Espagne,"18 100,00",livres,"0,0800000","1448,00","0,00",
73,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,ficelle,Marseille,Espagne,"1 200,00",livres,"0,2000000","240,00","0,00",
74,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,figues,Marseille,Espagne,"65 000,00",livres,"0,1000000","6500,00","0,00",
75,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,fil de chevre,Marseille,Espagne,"1 500,00",livres,"3,0000000","4500,00","0,00",
76,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,filets d'espars,Marseille,Espagne,"1 194,00",milliers,"40,0000000","47760,00","0,00",
77,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,filets d'espars,Marseille,Espagne,"138,00",grosses,"50,0000000","6900,00","0,00",
78,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,fromage,Marseille,Espagne,"19 220,00",livres,"0,2500000","4805,00","0,00",
79,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,garance,Marseille,Espagne,"3 767,00",livres,"0,5000000","1883,00","-0,50",
80,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,gaude,Marseille,Espagne,"4 600,00",livres,"0,1000000","460,00","0,00",
81,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,gaudron,Marseille,Espagne,"23 460,00",livres,"0,0800000","1876,00","-0,80",
82,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,gommes d'amandiers,Marseille,Espagne,"8 335,00",livres,"0,1500000","1250,00","-0,25",
83,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,gomme copale,Marseille,Espagne,"1 138,00",livres,"2,0000000","2276,00","0,00",
84,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,grabeau de corail,Marseille,Espagne,"460,00",livres,"0,1500000","69,00","0,00",
85,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,graine jaune,Marseille,Espagne,"517,00",livres,"0,3000000","155,00","-0,10",
86,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,herbes perelle,Marseille,Espagne,"1 500,00",livres,"0,4000000","600,00","0,00",
87,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,huille d'olive,Marseille,Espagne,"549,00",milleroles,"40,0000000","21960,00","0,00",
88,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,huille de poisson,Marseille,Espagne,"35 060,00",livres,"0,2500000","8765,00","0,00",
89,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,jalap,Marseille,Espagne,"32 920,00",livres,"2,2500000","74070,00","0,00",
90,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,2,1759,Imports,indigo,Marseille,Espagne,"22 884,00",livres,"8,0000000","183072,00","0,00",
91,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,jus de citrons,Marseille,Espagne,"920,00",livres,"0,4000000","368,00","0,00",
92,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,jus de reglisse,Marseille,Espagne,"250,00",livres,"0,3500000","87,00","-0,50",
93,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,laine de segovie,Marseille,Espagne,"30 970,00",livres,"1,6000000","49552,00","0,00",
94,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,laine surge,Marseille,Espagne,"80 725,00",livres,"1,0000000","80725,00","0,00",
95,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,laine de vigogne,Marseille,Espagne,"1 040,00",livres,"3,0000000","3120,00","0,00",
96,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,legumes,Marseille,Espagne,"11 345,00",livres,"0,1500000","1701,00","-0,75",
97,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,librairie,Marseille,Espagne,"6 425,00",livres,"2,0000000","12850,00","0,00",
98,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,liege,Marseille,Espagne,"56 060,00",livres,"0,1500000","8409,00","0,00",
99,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,lin cru,Marseille,Espagne,"7 795,00",livres,"0,6000000","4677,00","0,00",
100,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,liqueurs,Marseille,Espagne,"1 000,00",livres,"0,7500000","750,00","0,00",
101,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,lustres,Marseille,Espagne,"2 000,00",livres,"0,5000000","1000,00","0,00",
102,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,marbre brut pierres,Marseille,Espagne,"420,00",en nombre,"20,0000000","8400,00","0,00",
103,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,mercerie,Marseille,Espagne,"5 600,00",livres,"3,5000000","19600,00","0,00",
104,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,meules a moulin,Marseille,Espagne,"10,00",nombre,"50,0000000","500,00","0,00",
105,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,miel,Marseille,Espagne,"3 350,00",livres,"0,1500000","502,00","-0,50",
106,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,millet,Marseille,Espagne,"32 760,00",livres,"0,0500000","1638,00","0,00",
107,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,mouchoirs de soye,Marseille,Espagne,"4 464,00",douzaines,"28,0000000","124992,00","0,00",
108,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,nacres de perles,Marseille,Espagne,"350,00",livres,"1,5000000","525,00","0,00",
109,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,noizettes,Marseille,Espagne,"13 200,00",livres,"0,1000000","1320,00","0,00",
110,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,oignons de fleurs,Marseille,Espagne,"250,00",livres,"0,5000000","125,00","0,00",
111,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,olives,Marseille,Espagne,"5 500,00",livres,"0,0500000","275,00","0,00",
112,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,orge,Marseille,Espagne,"108,00",charges,"16,0000000","1728,00","0,00",
113,Hasna,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1759,Local,3,1759,Imports,papiers blanc,Marseille,Espagne,"288,00",rames,"6,0000000","1728,00","0,00",
