numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantit_unit,prix_unitaire,value,probleme,remarks
53,Hasna,Archives de la CCI de Marseille - I 82,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,cochenille fine,Marseille,Espagne,"5 157,00",livres,"18,0000000","92826,00","0,00",
54,Hasna,Archives de la CCI de Marseille - I 83,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,colombine,Marseille,Espagne,"9 350,00",livres,"0,0300000","280,00","-0,50",
55,Hasna,Archives de la CCI de Marseille - I 84,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,coloquintes,Marseille,Espagne,"3 145,00",livres,"0,7500000","2358,00","-0,75",
56,Hasna,Archives de la CCI de Marseille - I 85,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,corail brut,Marseille,Espagne,"288,00",livres,"10,0000000","2880,00","0,00",
57,Hasna,Archives de la CCI de Marseille - I 86,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,cordages d'esparts,Marseille,Espagne,"2 470,00",douzaines,"7,0000000","17290,00","0,00",
58,Hasna,Archives de la CCI de Marseille - I 87,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,cornes de mouton,Marseille,Espagne,"92 880,00",paires,"0,1000000","9288,00","0,00",
59,Hasna,Archives de la CCI de Marseille - I 88,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,coton filé,Marseille,Espagne,"1 530,00",livres,"1,0000000","1530,00","0,00",
60,Hasna,Archives de la CCI de Marseille - I 89,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,couffin de palmes,Marseille,Espagne,"100,00",douzaines,"1,2000000","120,00","0,00",
61,Hasna,Archives de la CCI de Marseille - I 90,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,couperose,Marseille,Espagne,"19 690,00",livres,"0,1000000","1969,00","0,00",
62,Hasna,Archives de la CCI de Marseille - I 91,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,cuirs de bœuf en poil,Marseille,Espagne,"5 673,00",cuirs,"14,0000000","79422,00","0,00",
63,Hasna,Archives de la CCI de Marseille - I 92,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,cuirs de bœuf tanés,Marseille,Espagne,"3 088,00",cuirs,"24,0000000","74112,00","0,00",
64,Hasna,Archives de la CCI de Marseille - I 93,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,cuirs de bœuf tanés,Marseille,Espagne,"800,00",livres,"0,6000000","480,00","0,00",
65,Hasna,Archives de la CCI de Marseille - I 94,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,cuivre vieux,Marseille,Espagne,"400,00",livres,"0,9000000","360,00","0,00",
66,Hasna,Archives de la CCI de Marseille - I 95,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,douelles a tonneaux,Marseille,Espagne,"50,00",tonneaux,"5,0000000","250,00","0,00",
67,Hasna,Archives de la CCI de Marseille - I 96,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,drogueries,Marseille,Espagne,"135,00",livres,"1,0000000","135,00","0,00",
68,Hasna,Archives de la CCI de Marseille - I 97,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,espars,Marseille,Espagne,"1 650,00",grosses,"40,0000000","66000,00","0,00",
69,Hasna,Archives de la CCI de Marseille - I 98,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,espars,Marseille,Espagne,"485,00",milliers,"80,0000000","38800,00","0,00",
70,Hasna,Archives de la CCI de Marseille - I 99,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,escayolle,Marseille,Espagne,"24 996,00",livres,"0,1000000","2499,00","-0,60",
71,Hasna,Archives de la CCI de Marseille - I 100,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,estrasse de soye,Marseille,Espagne,"60,00",livres,"0,4000000","24,00","0,00",
72,Hasna,Archives de la CCI de Marseille - I 101,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,etoffe de soye,Marseille,Espagne,"300,00",livres,"40,0000000","12000,00","0,00",
73,Hasna,Archives de la CCI de Marseille - I 102,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,fer en barres,Marseille,Espagne,"83 300,00",livres,"0,1200000","9996,00","0,00",
74,Hasna,Archives de la CCI de Marseille - I 103,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,fer vieux,Marseille,Espagne,"25 750,00",livres,"0,0800000","2060,00","0,00",
75,Hasna,Archives de la CCI de Marseille - I 104,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,feves,Marseille,Espagne,"1 856,00",charges,"10,0000000","18560,00","0,00",
76,Hasna,Archives de la CCI de Marseille - I 105,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,figues ,Marseille,Espagne,"105 580,00",livres,"0,1000000","10558,00","0,00",
77,Hasna,Archives de la CCI de Marseille - I 106,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,fil blanc,Marseille,Espagne,"800,00",livres,"2,0000000","1600,00","0,00",
78,Hasna,Archives de la CCI de Marseille - I 107,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,filets desparts,Marseille,Espagne,"5 181,00",grosses,"50,0000000","259050,00","0,00",
79,Hasna,Archives de la CCI de Marseille - I 108,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,2,1757,Imports,filets desparts,Marseille,Espagne,"347,00",milliers,"40,0000000","13880,00","0,00",
