numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantit_unit,prix_unitaire,value,probleme,remarks
271,Hasna,Archives de la CCI de Marseille - I 300,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,5,1757,Imports,bois de campeche,Marseille,Italie,"20 890,00",livres,"0,1500000","3133,00","-0,50",
272,Hasna,Archives de la CCI de Marseille - I 301,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,5,1757,Imports,bois de construction,Marseille,Italie,"150,00",pieces,"20,0000000","3000,00","0,00",
273,Hasna,Archives de la CCI de Marseille - I 302,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,5,1757,Imports,bois pour cribles,Marseille,Italie,"5 000,00",livres,"0,2500000","1250,00","0,00",
274,Hasna,Archives de la CCI de Marseille - I 303,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,5,1757,Imports,bois ouvré,Marseille,Italie,"2 125,00",livres,"0,2000000","425,00","0,00",
275,Hasna,Archives de la CCI de Marseille - I 304,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,5,1757,Imports,bonnet de cotton,Marseille,Italie,"37,00",douzaines,"6,0000000","222,00","0,00",
276,Hasna,Archives de la CCI de Marseille - I 305,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,5,1757,Imports,bonnet de laine,Marseille,Italie,"238,00",douzaines,"20,0000000","4760,00","0,00",
277,Hasna,Archives de la CCI de Marseille - I 306,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,5,1757,Imports,bonnet de laine,Marseille,Italie,"300,00",livres,"6,0000000","1800,00","0,00",
278,Hasna,Archives de la CCI de Marseille - I 307,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,5,1757,Imports,bonnets de soye,Marseille,Italie,"52,00",nombre,"6,0000000","312,00","0,00",
279,Hasna,Archives de la CCI de Marseille - I 308,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,bourde,Marseille,Italie,"556 939,00",livres,"0,0800000","44555,00","-0,12",
280,Hasna,Archives de la CCI de Marseille - I 309,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,bourre,Marseille,Italie,"300,00",livres,"0,1000000","30,00","0,00",
281,Hasna,Archives de la CCI de Marseille - I 310,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cacao,Marseille,Italie,"71 352,00",livres,"1,3000000","92757,00","-0,60",
282,Hasna,Archives de la CCI de Marseille - I 311,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,canelle,Marseille,Italie,"2 397,00",livres,"6,0000000","14382,00","0,00",
283,Hasna,Archives de la CCI de Marseille - I 312,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,canons de fer,Marseille,Italie,"139,00",nombre,"300,0000000","41700,00","0,00",
284,Hasna,Archives de la CCI de Marseille - I 313,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cantarides,Marseille,Italie,"2 200,00",livres,"4,0000000","8800,00","0,00",
285,Hasna,Archives de la CCI de Marseille - I 314,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,capots,Marseille,Italie,"1 200,00",livres,"0,5000000","600,00","0,00",
286,Hasna,Archives de la CCI de Marseille - I 315,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cardes a carder,Marseille,Italie,"1 387,00",livres,"1,5000000","2080,00","-0,50",
287,Hasna,Archives de la CCI de Marseille - I 316,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,carubis,Marseille,Italie,"600,00",livres,"0,0500000","30,00","0,00",
288,Hasna,Archives de la CCI de Marseille - I 317,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cavelle de bois,Marseille,Italie,"14,00",nombre,"6,0000000","84,00","0,00",
289,Hasna,Archives de la CCI de Marseille - I 318,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cedras,Marseille,Italie,"500,00",nombre,"0,1000000","50,00","0,00",
290,Hasna,Archives de la CCI de Marseille - I 319,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cendres,Marseille,Italie,"3 640 325,00",livres,"0,1200000","436839,00","0,00",
291,Hasna,Archives de la CCI de Marseille - I 320,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cercles de bois,Marseille,Italie,"537,00",fagots,"2,0000000","1074,00","0,00",
292,Hasna,Archives de la CCI de Marseille - I 321,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cercles de bois,Marseille,Italie,"76,00",faix,"2,0000000","152,00","0,00",
293,Hasna,Archives de la CCI de Marseille - I 322,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cercles de bois,Marseille,Italie,"999,50",milliers,"40,0000000","39980,00","0,00",
294,Hasna,Archives de la CCI de Marseille - I 323,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cercles de bois,Marseille,Italie,"11 600,00",livres,"0,0150000","174,00","0,00",
295,Hasna,Archives de la CCI de Marseille - I 324,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cercles de fer,Marseille,Italie,"172 800,00",livres,"0,2500000","43200,00","0,00",
296,Hasna,Archives de la CCI de Marseille - I 325,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,chair salée,Marseille,Italie,"2 900,00",livres,"0,2500000","725,00","0,00",
297,Hasna,Archives de la CCI de Marseille - I 326,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,chaise de paille,Marseille,Italie,"1 310,00",nombre,"1,2500000","1637,00","-0,50",
298,Hasna,Archives de la CCI de Marseille - I 327,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,champignon,Marseille,Italie,"600,00",livres,"1,8000000","1080,00","0,00",
299,Hasna,Archives de la CCI de Marseille - I 328,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,chandelle,Marseille,Italie,"300,00",livres,"0,4500000","135,00","0,00",
300,Hasna,Archives de la CCI de Marseille - I 329,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,chanvre crû,Marseille,Italie,"607 852,00",livres,"0,2500000","151963,00","0,00",
301,Hasna,Archives de la CCI de Marseille - I 330,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,chanvre peigné,Marseille,Italie,"1 776,00",livres,"0,5000000","888,00","0,00",
302,Hasna,Archives de la CCI de Marseille - I 331,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,chapeaux de paille,Marseille,Italie,"156,00",douzaines,"12,0000000","1872,00","0,00",
303,Hasna,Archives de la CCI de Marseille - I 332,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,charbon de bois,Marseille,Italie,"660 000,00",livres,"0,0250000","16500,00","0,00",
304,Hasna,Archives de la CCI de Marseille - I 333,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,charbon de terre,Marseille,Italie,"70 000,00",livres,"0,0200000","1400,00","0,00",
305,Hasna,Archives de la CCI de Marseille - I 334,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,chataignes,Marseille,Italie,"23 409,00",livres,"0,0500000","1170,00","-0,45",
306,Hasna,Archives de la CCI de Marseille - I 335,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,chocolat,Marseille,Italie,"2 653,00",livres,"2,0000000","5306,00","0,00",
307,Hasna,Archives de la CCI de Marseille - I 336,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cire blanche,Marseille,Italie,"100,00",livres,"2,0000000","200,00","0,00",
308,Hasna,Archives de la CCI de Marseille - I 337,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cire jaune,Marseille,Italie,"5 755,00",livres,"1,5000000","8632,00","-0,50",
309,Hasna,Archives de la CCI de Marseille - I 338,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,citrons,Marseille,Italie,"4 137,25",livres,"15,0000000","62058,00","-0,75",
310,Hasna,Archives de la CCI de Marseille - I 339,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,clous de fer,Marseille,Italie,"30 365,00",livres,"0,2500000","7591,00","-0,25",
311,Hasna,Archives de la CCI de Marseille - I 340,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cochenille,Marseille,Italie,"300,00",livres,"17,0000000","5100,00","0,00",
312,Hasna,Archives de la CCI de Marseille - I 341,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,colle de poisson,Marseille,Italie,"250,00",livres,"0,5000000","125,00","0,00",
313,Hasna,Archives de la CCI de Marseille - I 342,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,colombine,Marseille,Italie,"6 200,00",livres,"0,0300000","186,00","0,00",
314,Hasna,Archives de la CCI de Marseille - I 343,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,confitures,Marseille,Italie,"14 914,00",livres,"1,0000000","14914,00","0,00",
315,Hasna,Archives de la CCI de Marseille - I 344,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,conterie,Marseille,Italie,"13 311,00",livres,"0,2500000","3327,00","-0,75",
316,Hasna,Archives de la CCI de Marseille - I 345,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,coquillage,Marseille,Italie,"300,00",livres,"0,2500000","75,00","0,00",
317,Hasna,Archives de la CCI de Marseille - I 346,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,corail brut,Marseille,Italie,"4 122,00",livres,"10,0000000","41220,00","0,00",
318,Hasna,Archives de la CCI de Marseille - I 347,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,corail terraillé,Marseille,Italie,"5 000,00",livres,"1,0000000","5000,00","0,00",
319,Hasna,Archives de la CCI de Marseille - I 348,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,corbeilles d'ozier,Marseille,Italie,"1 497,00",douzaines,"18,0000000","26946,00","0,00",
320,Hasna,Archives de la CCI de Marseille - I 349,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cordes a boyaux,Marseille,Italie,"600,00",livres,"10,0000000","6000,00","0,00",
321,Hasna,Archives de la CCI de Marseille - I 350,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cordes de chanvre,Marseille,Italie,"12 700,00",livres,"0,3000000","3810,00","0,00",
322,Hasna,Archives de la CCI de Marseille - I 351,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cordes a violons,Marseille,Italie,"205,50",livres,"20,0000000","4110,00","0,00",
323,Hasna,Archives de la CCI de Marseille - I 352,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cornes de mouton,Marseille,Italie,"31 282,00",paires,"0,1000000","3128,00","-0,20",
324,Hasna,Archives de la CCI de Marseille - I 353,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,coton filé,Marseille,Italie,"47 960,00",livres,"1,0000000","47960,00","0,00",
325,Hasna,Archives de la CCI de Marseille - I 354,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,coton en laine,Marseille,Italie,"12 925,00",livres,"0,5000000","6462,00","-0,50",
326,Hasna,Archives de la CCI de Marseille - I 355,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cotton souffré,Marseille,Italie,"10,00",livres,"0,5000000","5,00","0,00",
327,Hasna,Archives de la CCI de Marseille - I 356,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cotonine,Marseille,Italie,"600,00",livres,"0,7500000","450,00","0,00",
328,Hasna,Archives de la CCI de Marseille - I 357,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,couffes a boulanger,Marseille,Italie,"113,00",douzaines,"18,0000000","2034,00","0,00",
329,Hasna,Archives de la CCI de Marseille - I 358,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,couffins,Marseille,Italie,"28,00",douzaines,"2,5000000","70,00","0,00",
330,Hasna,Archives de la CCI de Marseille - I 359,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,couperoze,Marseille,Italie,"70 840,00",livres,"0,1100000","7792,00","-0,40",
331,Hasna,Archives de la CCI de Marseille - I 360,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cordoüans,Marseille,Italie,"1 785,00",livres,"1,5000000","2677,00","-0,50",
332,Hasna,Archives de la CCI de Marseille - I 361,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,couvertures de laine,Marseille,Italie,"20,00",nombre,"15,0000000","300,00","0,00",
333,Hasna,Archives de la CCI de Marseille - I 362,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,couvertures de laine,Marseille,Italie,"20 800,00",livres,"2,0000000","41600,00","0,00",
334,Hasna,Archives de la CCI de Marseille - I 363,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,creme de tartre,Marseille,Italie,"25 518,00",livres,"1,5000000","38277,00","0,00",
335,Hasna,Archives de la CCI de Marseille - I 364,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,crin,Marseille,Italie,"20,00",livres,"1,0000000","20,00","0,00",
336,Hasna,Archives de la CCI de Marseille - I 365,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cuirs de beuf en poil,Marseille,Italie,"7 920,00",en nombre,"14,0000000","110880,00","0,00",
337,Hasna,Archives de la CCI de Marseille - I 366,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cuirs de beuf en poil,Marseille,Italie,"30 500,00",livres,"0,4000000","12200,00","0,00",
338,Hasna,Archives de la CCI de Marseille - I 367,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cuirs de beuf tanées,Marseille,Italie,"450,00",livres,"0,6000000","270,00","0,00",
339,Hasna,Archives de la CCI de Marseille - I 368,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cuirs de russie,Marseille,Italie,"500,00",livres,"1,0000000","500,00","0,00",
340,Hasna,Archives de la CCI de Marseille - I 369,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cuirs de vache en poil,Marseille,Italie,"16,00",en nombre,"12,0000000","192,00","0,00",
341,Hasna,Archives de la CCI de Marseille - I 370,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cuivre tangoul,Marseille,Italie,"700,00",livres,"0,9000000","630,00","0,00",
342,Hasna,Archives de la CCI de Marseille - I 371,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,cumin,Marseille,Italie,"1 710,00",livres,"0,2000000","342,00","0,00",
343,Hasna,Archives de la CCI de Marseille - I 372,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,dattes,Marseille,Italie,"30 400,00",livres,"0,2500000","7600,00","0,00",
344,Hasna,Archives de la CCI de Marseille - I 373,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,demitte,Marseille,Italie,"147,00",pieces,"3,0000000","441,00","0,00",
345,Hasna,Archives de la CCI de Marseille - I 374,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,6,1757,Imports,dorure fine,Marseille,Italie,"200,00",livres,"100,0000000","20000,00","0,00",
346,Hasna,Archives de la CCI de Marseille - I 375,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,douelles a tonneaux,Marseille,Italie,"14 019,00",tonneaux,"5,0000000","70095,00","0,00",
347,Hasna,Archives de la CCI de Marseille - I 376,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,douelles a tonneaux,Marseille,Italie,"14 300,00",en nombre,"0,5000000","7150,00","0,00",
348,Hasna,Archives de la CCI de Marseille - I 377,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,douelles a tonneaux,Marseille,Italie,"3 000,00",livres,"0,0400000","120,00","0,00",
349,Hasna,Archives de la CCI de Marseille - I 378,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,daperie,Marseille,Italie,"153 700,00",livres,"5,0000000","768500,00","0,00","lire ""draperie"""
350,Hasna,Archives de la CCI de Marseille - I 379,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,drogueries,Marseille,Italie,"11 239,00",livres,"1,0000000","11239,00","0,00",
351,Hasna,Archives de la CCI de Marseille - I 380,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,eau de citron,Marseille,Italie,"600,00",livres,"0,5000000","300,00","0,00",
352,Hasna,Archives de la CCI de Marseille - I 381,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,eau de fleur d'orange,Marseille,Italie,"7 913,00",livres,"0,5000000","3956,00","-0,50",
353,Hasna,Archives de la CCI de Marseille - I 382,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,eau forte,Marseille,Italie,"110,00",livres,"1,3500000","148,00","-0,50",
354,Hasna,Archives de la CCI de Marseille - I 383,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,egoutoirs,Marseille,Italie,"469,00",douzaines,"6,0000000","2814,00","0,00",
355,Hasna,Archives de la CCI de Marseille - I 384,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,email,Marseille,Italie,"400,00",livres,"1,0000000","400,00","0,00",
356,Hasna,Archives de la CCI de Marseille - I 385,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,eponges,Marseille,Italie,"24 530,00",livres,"1,0000000","24530,00","0,00",
357,Hasna,Archives de la CCI de Marseille - I 386,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,escayolles,Marseille,Italie,"58 592,00",livres,"0,1000000","5859,00","-0,20",
358,Hasna,Archives de la CCI de Marseille - I 387,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,esprit de bergamotte,Marseille,Italie,"1 013,00",livres,"6,0000000","6078,00","0,00",
359,Hasna,Archives de la CCI de Marseille - I 388,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,esprit de citron,Marseille,Italie,"200,00",livres,"1,5000000","300,00","0,00",
360,Hasna,Archives de la CCI de Marseille - I 389,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,essence de citron,Marseille,Italie,"300,00",livres,"1,0000000","300,00","0,00",
361,Hasna,Archives de la CCI de Marseille - I 390,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,estrasse de soye,Marseille,Italie,"3 580,00",livres,"0,5000000","1790,00","0,00",
362,Hasna,Archives de la CCI de Marseille - I 391,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,etain brut,Marseille,Italie,"51 390,00",livres,"0,7000000","35973,00","0,00",
363,Hasna,Archives de la CCI de Marseille - I 392,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports, etoffe de soye,Marseille,Italie,"4,00",pieces,"300,0000000","1200,00","0,00",
364,Hasna,Archives de la CCI de Marseille - I 393,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports, etoffe de soye,Marseille,Italie,"15 750,00",livres,"40,0000000","630000,00","0,00",
365,Hasna,Archives de la CCI de Marseille - I 394,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,etoupe de chanvre,Marseille,Italie,"500,00",livres,"0,1000000","50,00","0,00",
366,Hasna,Archives de la CCI de Marseille - I 395,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,farine,Marseille,Italie,"300,00",livres,"10,0000000","3000,00","0,00",
367,Hasna,Archives de la CCI de Marseille - I 396,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,fer en barres,Marseille,Italie,"67 850,00",livres,"0,1500000","10177,00","-0,50",
368,Hasna,Archives de la CCI de Marseille - I 397,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,fer battu,Marseille,Italie,"30,00",livres,"0,5000000","15,00","0,00",
369,Hasna,Archives de la CCI de Marseille - I 398,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,fer blanc,Marseille,Italie,"10 200,00",livres,"0,6000000","6120,00","0,00",
370,Hasna,Archives de la CCI de Marseille - I 399,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,fer en cercles,Marseille,Italie,"98 100,00",livres,"0,2500000","24525,00","0,00",
371,Hasna,Archives de la CCI de Marseille - I 400,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,feves,Marseille,Italie,"1 712,00",charges,"10,0000000","17120,00","0,00",
372,Hasna,Archives de la CCI de Marseille - I 401,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,feves,Marseille,Italie,"500,00",livres,"0,0400000","20,00","0,00",
373,Hasna,Archives de la CCI de Marseille - I 402,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,ficelle,Marseille,Italie,"1 230,00",livres,"0,7500000","922,00","-0,50",
374,Hasna,Archives de la CCI de Marseille - I 403,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,figues,Marseille,Italie,"32 350,00",livres,"0,1000000","3235,00","0,00",
375,Hasna,Archives de la CCI de Marseille - I 404,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,fil blanc,Marseille,Italie,"370,00",livres,"2,0000000","740,00","0,00",
376,Hasna,Archives de la CCI de Marseille - I 405,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,fil de chanvre,Marseille,Italie,"19 030,00",livres,"3,0000000","57090,00","0,00",
377,Hasna,Archives de la CCI de Marseille - I 406,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,fil a coudre,Marseille,Italie,"700,00",livres,"2,0000000","1400,00","0,00",
378,Hasna,Archives de la CCI de Marseille - I 407,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,fil crû,Marseille,Italie,"35,00",livres,"1,5000000","52,00","-0,50",
379,Hasna,Archives de la CCI de Marseille - I 408,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,fil de piemont,Marseille,Italie,"2 533,00",livres,"1,0000000","2533,00","0,00",
380,Hasna,Archives de la CCI de Marseille - I 409,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,fil a voile,Marseille,Italie,"270,00",livres,"0,5000000","135,00","0,00",
381,Hasna,Archives de la CCI de Marseille - I 410,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,filets pour la peche,Marseille,Italie,"141,00",nombre,"100,0000000","14100,00","0,00",
382,Hasna,Archives de la CCI de Marseille - I 411,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,filets pour la peche,Marseille,Italie,"613,00",livres,"1,5000000","919,00","-0,50",
383,Hasna,Archives de la CCI de Marseille - I 412,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,filets pour la peche sardinaux,Marseille,Italie,"171,00",en nombre,"150,0000000","25650,00","0,00",
384,Hasna,Archives de la CCI de Marseille - I 413,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,7,1757,Imports,fleurs artifficielles,Marseille,Italie,"10,00",boëtes,"50,0000000","500,00","0,00",
