,"Entré par","Source",,,"Page","Année","Export/Import","Nom Marchandise","Direction","Pays/Région","Quantité","Unité de poids/quantité","Prix unitaire en  Lt (décimale)","Valeur en décimales de livres tournois","Différence","Remarques"
13,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","laine surge","Marseille","Angleterre","30 200,00","livres","0,4000000","12080,00","0,00",
14,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","orge","Marseille","Angleterre","300,00","charges","12,0000000","3600,00","0,00",
15,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","peaux de marroquins","Marseille","Angleterre","300,00","livres","1,5000000","450,00","0,00",
16,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","peaux de tigre","Marseille","Angleterre","200,00","livres","4,0000000","800,00","0,00",
17,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","plomb en saumon","Marseille","Angleterre","1 154 956,00","livres","0,2000000","230991,00","-0,20",
18,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","saumon salé","Marseille","Angleterre","1 500,00","livres","0,2500000","375,00","0,00",
19,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","saumon salé","Marseille","Angleterre","554,00","barils","30,0000000","16620,00","0,00",
20,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","suif","Marseille","Angleterre","34 200,00","livres","0,4000000","13680,00","0,00",
21,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","agaric","Marseille","Espagne","11 275,00","livres","1,5000000","16912,00","-0,50",
22,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",1,1753,"Imports","ajamis","Marseille","Espagne","4 370,00","livres","2,0000000","8740,00","0,00",
23,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","amandes","Marseille","Espagne","6 673,00","livres","0,2000000","1334,00","-0,60",
24,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","anis","Marseille","Espagne","53 180,00","livres","0,2000000","10636,00","0,00",
25,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","avoine","Marseille","Espagne","200,00","charges","12,0000000","2400,00","0,00",
26,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","balais de palme","Marseille","Espagne","2 215,00","douzaines","0,9000000","1993,00","-0,50",
27,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","bas de coton","Marseille","Espagne","540,00","livres","6,0000000","3240,00","0,00",
28,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","bas de coton","Marseille","Espagne","34,00","douzaines","18,6000000","632,00","-0,40",
29,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","bas de fil","Marseille","Espagne","32,00","douzaines","18,0000000","576,00","0,00",
30,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","bas de soye","Marseille","Espagne","300,00","livres","40,0000000","12000,00","0,00",
31,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","beaume du perou","Marseille","Espagne","1 700,00","livres","10,0000000","17000,00","0,00",
32,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","bœuf salé","Marseille","Espagne","15 000,00","livres","0,3500000","5250,00","0,00",
33,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","bœuf salé","Marseille","Espagne","52,00","barils","35,0000000","1820,00","0,00",
34,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","biere","Marseille","Espagne","2 000,00","livres","0,0500000","100,00","0,00",
35,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","bijouterie","Marseille","Espagne","20,00","livres","100,0000000","2000,00","0,00",
36,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","bled froment","Marseille","Espagne","5 038,00","charges","20,0000000","100760,00","0,00",
37,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","bois a bruler","Marseille","Espagne","292 500,00","livres","0,0090000","2632,00","-0,50",
38,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","bois de campeche","Marseille","Espagne","231 734,00","livres","0,1500000","34760,00","-0,10",
39,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","bonets de laine","Marseille","Espagne","1 205,00","livres","9,0000000","10845,00","0,00",
40,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","bouchon de liege","Marseille","Espagne","450,00","livres","3,0000000","1350,00","0,00",
41,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","bourdes","Marseille","Espagne","8 363 780,00","livres","0,0800000","669102,00","-0,40",
42,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","bourre","Marseille","Espagne","355,00","livres","0,4000000","142,00","0,00",
43,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","bray","Marseille","Espagne","10 615,00","livres","0,1500000","1592,00","-0,25",
44,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","brun rouge","Marseille","Espagne","345 000,00","livres","0,0250000","8625,00","0,00",
45,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","cacao","Marseille","Espagne","4 539,00","livres","1,3000000","5900,00","-0,70",
46,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","caffé","Marseille","Espagne","4 295,00","livres","0,8000000","3436,00","0,00",
47,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","cantarides","Marseille","Espagne","300,00","livres","4,0000000","1200,00","0,00",
48,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","capres","Marseille","Espagne","87 593,00","livres","0,2200000","19270,00","-0,46",
49,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","carreaux de fayance","Marseille","Espagne","400,00","carreaux","0,6000000","240,00","0,00",
50,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","carrouge","Marseille","Espagne","15 600,00","livres","0,0500000","780,00","0,00",
51,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","cendre commune","Marseille","Espagne","66 936,00","livres","0,0800000","5354,00","-0,88",
52,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","cercles de fer","Marseille","Espagne","6 200,00","livres","0,2500000","1550,00","0,00",
53,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","chapeaux castor","Marseille","Espagne","19,00","douzaines","216,0000000","4104,00","0,00",
54,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","chocolat","Marseille","Espagne","305,00","livres","2,0000000","610,00","0,00",
55,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","clouds de fer","Marseille","Espagne","440,00","livres","2,5000000","1100,00","0,00",
56,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","cochenille","Marseille","Espagne","64 465,00","livres","17,0000000","1095905,00","0,00",
57,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","colle forte","Marseille","Espagne","1 380,00","livres","0,4000000","552,00","0,00",
58,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","confitures","Marseille","Espagne","168,00","livres","1,0000000","168,00","0,00",
59,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","corail brut","Marseille","Espagne","3 892,00","livres","2,0000000","7784,00","0,00",
60,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","cordages d'espart","Marseille","Espagne","6 263,00","douzaines","7,0000000","43841,00","0,00",
61,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","cornes de mouton","Marseille","Espagne","95 360,00","paires","0,0500000","4768,00","0,00",
62,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","couffes a boulanger","Marseille","Espagne","48,00","livres","2,5000000","120,00","0,00",
63,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","couperose","Marseille","Espagne","31 050,00","livres","0,1100000","3415,00","-0,50",
64,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","cuirs de bœuf en poil","Marseille","Espagne","3 062,00","nombre","14,0000000","42868,00","0,00",
65,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","cuivre tangoul","Marseille","Espagne","2 400,00","livres","0,9000000","2160,00","0,00",
66,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","drogueries","Marseille","Espagne","200,00","livres","1,0000000","200,00","0,00",
67,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","eau minerale","Marseille","Espagne","600,00","livres","0,2500000","150,00","0,00",
68,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","eau de vie","Marseille","Espagne","2 310,00","livres","0,1500000","346,00","-0,50",
69,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","escayolle","Marseille","Espagne","26 600,00","livres","0,1500000","3990,00","0,00",
70,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","esparts","Marseille","Espagne","1 783,00","milliers","80,0000000","142640,00","0,00",
71,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","etoffe de soye","Marseille","Espagne","900,00","livres","40,0000000","36000,00","0,00",
72,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","extrait de genievre","Marseille","Espagne","120,00","livres","3,0000000","360,00","0,00",
73,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","fayance","Marseille","Espagne","21 000,00","livres","0,5000000","10500,00","0,00",
74,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","feves","Marseille","Espagne","702,00","charges","10,0000000","7020,00","0,00",
75,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","figues","Marseille","Espagne","249 550,00","livres","0,1000000","24955,00","0,00",
76,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","fil de chevre","Marseille","Espagne","39,00","livres","3,0000000","117,00","0,00",
77,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","fil a coudre","Marseille","Espagne","115,00","livres","2,0000000","230,00","0,00",
78,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","filets d'espars","Marseille","Espagne","7 914,00","grosses","40,0000000","316560,00","0,00",
79,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","filets d'espars","Marseille","Espagne","239,00","milliers","50,0000000","11950,00","0,00",
80,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","fourrure de soye","Marseille","Espagne","130,00","livres","1,5000000","195,00","0,00",
81,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","fromages","Marseille","Espagne","115 400,00","livres","0,2500000","28850,00","0,00",
82,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","gaudron","Marseille","Espagne","28 000,00","livres","0,1500000","4200,00","0,00",
83,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","gomme d'amandier","Marseille","Espagne","527,00","livres","0,5000000","263,00","-0,50",
84,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","gomme arabique","Marseille","Espagne","392,00","livres","1,0000000","392,00","0,00",
85,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","gomme commune","Marseille","Espagne","1 500,00","livres","0,5000000","750,00","0,00",
86,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","gomme copale","Marseille","Espagne","431,00","livres","1,5000000","646,00","-0,50",
87,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",2,1753,"Imports","grabeau de cochenille","Marseille","Espagne","50,00","livres","8,0000000","400,00","0,00",
88,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","grabeau de corail","Marseille","Espagne","287,00","livres","0,5000000","143,00","-0,50",
89,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","graine de jardin","Marseille","Espagne","1 787,00","livres","0,5000000","893,00","-0,50",
90,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","graine jaune","Marseille","Espagne","460,00","livres","0,2500000","115,00","0,00",
91,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","herbes perelle","Marseille","Espagne","600,00","livres","0,5000000","300,00","0,00",
92,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","huile d'olives","Marseille","Espagne","35 874,00","milleroles","40,0000000","1434960,00","0,00",
93,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","huile de poisson","Marseille","Espagne","21 600,00","livres","0,2500000","5400,00","0,00",
94,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","jalap","Marseille","Espagne","20 928,00","livres","2,2500000","47088,00","0,00",
95,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","Jaye ouvré","Marseille","Espagne","175,00","livres","3,0000000","525,00","0,00",
96,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","indigo","Marseille","Espagne","21 100,00","livres","6,0000000","126600,00","0,00",
97,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","laine lavée","Marseille","Espagne","55 198,00","livres","1,1000000","60717,00","-0,80",
98,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","laine de sigovie","Marseille","Espagne","13 996,00","livres","1,6000000","22393,00","-0,60",
99,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","laine de sigovie","Marseille","Espagne","385,00","balles","600,0000000","231000,00","0,00",
100,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","laine surge","Marseille","Espagne","445 227,00","livres","0,4000000","178090,00","-0,80",
101,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","laine vigogne","Marseille","Espagne","5 456,00","livres","10,0000000","54560,00","0,00",
102,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","legumes","Marseille","Espagne","2 600,00","livres","0,1500000","390,00","0,00",
103,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","libraires","Marseille","Espagne","1 250,00","livres","2,0000000","2500,00","0,00",
104,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","liege","Marseille","Espagne","138 980,00","livres","0,1500000","20847,00","0,00",
105,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","liqueurs","Marseille","Espagne","3 650,00","livres","0,7500000","2737,00","-0,50",
106,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","mercerie","Marseille","Espagne","3 100,00","livres","3,5000000","10850,00","0,00",
107,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","mouchoirs de soye","Marseille","Espagne","3 283,00","douzaines","28,0000000","91924,00","0,00",
108,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","mouchoirs de soye","Marseille","Espagne","1 500,00","livres","40,0000000","60000,00","0,00",
109,"Hasna","Archives de la CCI de Marseille - I 30","Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1753.csv","Local",3,1753,"Imports","nattes d'esparts","Marseille","Espagne","10,00","douzaines","12,0000000","120,00","0,00",
