numrodesource,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
11,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Bois jaune,Marseille,Holande,"10 000,00",livres,"0,1000000","1000,00","0,00",
12,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Bois de Sainte Marthe,Marseille,Holande,"10 000,00",livres,"0,2500000","2500,00","0,00",
13,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Bois de sandal moulu,Marseille,Holande,"24 600,00",livres,"0,3000000","7380,00","0,00",
14,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Borax,Marseille,Holande,"2 600,00",livres,"5,0000000","13000,00","0,00",
15,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Brosses,Marseille,Holande,"250,00",livres,"0,6000000","150,00","0,00",
16,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Cabarets de caffé,Marseille,Holande,"60,00",en nombre,"4,0000000","240,00","0,00",
17,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Cacao,Marseille,Holande,"224 880,00",livres,"1,3000000","292344,00","0,00",
18,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Caffé,Marseille,Holande,"900,00",livres,"2,2500000","2025,00","0,00",
19,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Caffetières de fer blanc,Marseille,Holande,"350,00",livres,"1,0000000","350,00","0,00",
20,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,1,1746,Import,Camphre,Marseille,Holande,"2 400,00",livres,"4,0000000","9600,00","0,00",
21,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Canelle,Marseille,Holande,"8 900,00",livres,"6,0000000","53400,00","0,00",
22,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Carreaux de brique,Marseille,Holande,"250,00",en nombre,"0,0150000","3,00","-0,75",
23,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Ceruze,Marseille,Holande,"103 400,00",livres,"0,2000000","20680,00","0,00",
24,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Chair salée,Marseille,Holande,"12 600,00",livres,"0,2500000","3150,00","0,00",
25,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Chanvre cru,Marseille,Holande,"600,00",livres,"0,1800000","108,00","0,00",
26,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Cire blanche,Marseille,Holande,"200,00",livres,"1,8000000","360,00","0,00",
27,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Cire jaune,Marseille,Holande,"1 000,00",livres,"1,3500000","1350,00","0,00",
28,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Colle forte,Marseille,Holande,"131 600,00",livres,"0,4000000","52640,00","0,00",
29,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Cornes de mouton,Marseille,Holande,"150,00",paires,"0,0500000","7,00","-0,50",
30,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Couperose verte,Marseille,Holande,"429 000,00",livres,"0,1000000","42900,00","0,00",
31,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Couteaux communs,Marseille,Holande,"150,00",douzaines,"3,0000000","450,00","0,00",
32,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Cuirs de vache de Russie,Marseille,Holande,"1 800,00",livres,"1,0000000","1800,00","0,00",
33,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Cuivre en platine,Marseille,Holande,"10 500,00",livres,"1,6000000","16800,00","0,00",
34,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Drogueries,Marseille,Holande,"14 900,00",livres,"1,0000000","14900,00","0,00",
35,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Etain en bloc,Marseille,Holande,"38 280,00",livres,"1,0000000","38280,00","0,00",
36,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Etoffe de soye,Marseille,Holande,"600,00",livres,"40,0000000","24000,00","0,00",
37,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Fer en barres,Marseille,Holande,"2 000,00",livres,"0,1450000","290,00","0,00",
38,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Fer blanc,Marseille,Holande,"117 500,00",livres,"0,6000000","70500,00","0,00",
39,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Fer en plaques,Marseille,Holande,"55 775,00",livres,"0,1250000","6971,00","-0,88",
40,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Fil de fer,Marseille,Holande,"7 500,00",livres,"0,5000000","3750,00","0,00",
41,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Fil de tisserand,Marseille,Holande,"1 800,00",livres,"0,7500000","1350,00","0,00",
42,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Fromage,Marseille,Holande,"96 750,00",livres,"0,3000000","29025,00","0,00",
43,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Garence,Marseille,Holande,"232 400,00",livres,"0,4000000","92960,00","0,00",
44,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Gaudron,Marseille,Holande,"65 000,00",livres,"0,1500000","9750,00","0,00",
45,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Geroffle,Marseille,Holande,"15 300,00",livres,"8,0000000","122400,00","0,00",
46,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Glu,Marseille,Holande,"2 500,00",livres,"0,6000000","1500,00","0,00",
47,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Harangs blancs,Marseille,Holande,"666,00",barils,"16,0000000","10656,00","0,00",
48,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Harangs blancs,Marseille,Holande,"3 550,00",livres,"0,2000000","710,00","0,00",
49,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Harangs fumés,Marseille,Holande,"2 655,00",barils,"25,0000000","66375,00","0,00",
50,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Harangs fumés,Marseille,Holande,"300,00",en nombre,"0,0500000","15,00","0,00",
51,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Huile de poisson,Marseille,Holande,"131 400,00",livres,"0,2000000","26280,00","0,00",
52,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Huile de vitriol,Marseille,Holande,"2 000,00",livres,"0,7500000","1500,00","0,00",
53,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Jalap,Marseille,Holande,"5 500,00",livres,"2,0000000","11000,00","0,00",
54,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Indigo,Marseille,Holande,"12 000,00",livres,"4,0000000","48000,00","0,00",
55,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Legumes,Marseille,Holande,"50 000,00",livres,"0,1500000","7500,00","0,00",
56,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Librairie,Marseille,Holande,"3 950,00",livres,"2,0000000","7900,00","0,00",
57,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Lin cru,Marseille,Holande,"1 240,00",livres,"0,6000000","744,00","0,00",
58,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Litarge,Marseille,Holande,"15 300,00",livres,"0,2000000","3060,00","0,00",
59,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Mercerie,Marseille,Holande,"4 950,00",livres,"2,0000000","9900,00","0,00",
60,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Morue verte,Marseille,Holande,"206,00",barils,"30,0000000","6180,00","0,00",
61,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Morue verte,Marseille,Holande,"72 000,00",livres,"0,2000000","14400,00","0,00",
62,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Moulin a caffé,Marseille,Holande,"56,00",douzaines,"36,0000000","2016,00","0,00",
63,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Muscades,Marseille,Holande,"3 450,00",livres,"8,5000000","29325,00","0,00",
64,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Nattes de jonc,Marseille,Holande,"146,00",en nombre,"1,0000000","146,00","0,00",
65,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Orge,Marseille,Holande,"1 004,00",charges,"15,0000000","15060,00","0,00",
66,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Orge mondée,Marseille,Holande,"7 500,00",livres,"0,1000000","750,00","0,00",
67,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Peaux de lievre,Marseille,Holande,"8 500,00",livres,"0,6000000","5100,00","0,00",
68,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Pelleterie apretée,Marseille,Holande,"600,00",livres,"2,5000000","1500,00","0,00",
69,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Pelleterie crüe,Marseille,Holande,"2 300,00",livres,"1,2000000","2760,00","0,00",
70,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Pipes a fumer,Marseille,Holande,"4 410,00",grosses,"3,0000000","13230,00","0,00",
71,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Planches de sapin,Marseille,Holande,"40,00",douzaines,"9,0000000","360,00","0,00",
72,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Plaques de fer,Marseille,Holande,"140,00",en nombre,"4,0000000","560,00","0,00",
73,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Plomb en saumon,Marseille,Holande,"704 300,00",livres,"0,2000000","140860,00","0,00",
74,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Plumes a ecrire,Marseille,Holande,"250,00",livres,"5,0000000","1250,00","0,00",
75,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Poil de lapin,Marseille,Holande,"600,00",livres,"4,0000000","2400,00","0,00",
76,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Poire,Marseille,Holande,"381 202,00",livres,"1,6000000","609923,00","-0,20",
77,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,2,1746,Import,Poissons salés,Marseille,Holande,"18 000,00",livres,"0,2000000","3600,00","0,00",
78,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Porcelaines,Marseille,Holande,"3 300,00",livres,"5,0000000","16500,00","0,00",
79,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Quincaille de fer et acier,Marseille,Holande,"1 800,00",livres,"1,0000000","1800,00","0,00",
80,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Quinquina,Marseille,Holande,"12 000,00",livres,"4,0000000","48000,00","0,00",
81,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Rhubarbe,Marseille,Holande,"2 100,00",livres,"40,0000000","84000,00","0,00",
82,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Salsafras,Marseille,Holande,"970,00",livres,"0,2000000","194,00","0,00",
83,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Salsepareille,Marseille,Holande,"3 600,00",livres,"1,2500000","4500,00","0,00",
84,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Saumon salé,Marseille,Holande,"12,00",bariques,"20,0000000","240,00","0,00",
85,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Saumure,Marseille,Holande,"1 500,00",livres,"0,1500000","225,00","0,00",
86,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Serrures,Marseille,Holande,"300,00",livres,"1,0000000","300,00","0,00",
87,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Souffre,Marseille,Holande,"1 200,00",livres,"0,0900000","108,00","0,00",
88,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Soye crue,Marseille,Holande,"200,00",livres,"14,0000000","2800,00","0,00",
89,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Suif,Marseille,Holande,"20 000,00",livres,"0,4000000","8000,00","0,00",
90,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Stocfiche,Marseille,Holande,"205 375,00",livres,"0,1500000","30806,00","-0,25",
91,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Thé,Marseille,Holande,"336,00",livres,"3,0000000","1008,00","0,00",
92,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Toille blanche,Marseille,Holande,"10,00",pièces,"80,0000000","800,00","0,00",
93,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Toille blanche,Marseille,Holande,"3 950,00",livres,"3,0000000","11850,00","0,00",
94,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Toille a voile,Marseille,Holande,"144,00",pièces,"30,0000000","4320,00","0,00",
95,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Velours,Marseille,Holande,"20,00",pièces,"400,0000000","8000,00","0,00",
96,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Verres de crital,Marseille,Holande,"1 500,00",livres,"2,0000000","3000,00","0,00",
97,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Vitriol blanc,Marseille,Holande,"5 850,00",livres,"0,5000000","2925,00","0,00",
98,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Fromage,Marseille,Angleterre,"500,00",livres,"0,3000000","150,00","0,00",
99,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Plomb en saumon,Marseille,Angleterre,"495 000,00",livres,"0,2000000","99000,00","0,00",
100,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Acier ,Marseille,Nord qui comprend les villes anseatiques et la moscovie,"700,00",livres,"0,3500000","245,00","0,00",
101,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Ancres de fer,Marseille,Nord qui comprend les villes anseatiques et la moscovie,"8 000,00",livres,"0,2000000","1600,00","0,00",
102,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Azur commun,Marseille,Nord qui comprend les villes anseatiques et la moscovie,"8 900,00",livres,"0,6000000","5340,00","0,00",
103,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Bois de Brezil,Marseille,Nord qui comprend les villes anseatiques et la moscovie,"1 206,00",livres,"0,2500000","301,00","-0,50",
104,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Bray sec,Marseille,Nord qui comprend les villes anseatiques et la moscovie,"539 500,00",livres,"0,1500000","80925,00","0,00",
105,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Cuivre ouvré,Marseille,Nord qui comprend les villes anseatiques et la moscovie,"600,00",livres,"1,6000000","960,00","0,00",
106,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Fer en barres,Marseille,Nord qui comprend les villes anseatiques et la moscovie,"1 810 300,00",livres,"0,1450000","262493,00","-0,50",
107,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Fer blanc,Marseille,Nord qui comprend les villes anseatiques et la moscovie,"58 500,00",livres,"0,6000000","35100,00","0,00",
108,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,3,1746,Import,Fer vieux,Marseille,Nord qui comprend les villes anseatiques et la moscovie,"1 000,00",livres,"0,0750000","75,00","0,00",
