numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,remarks
17,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Cornes de beuf,Angleterre,"130,7",1307,En nombre,"0,1",
18,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Couperose verte,Angleterre,"2418,8",30235,Livres,"0,08",8 livres le 100
19,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Cristaux,Angleterre,60,100,Livres,"0,6",
20,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Etain ; en blocs,Angleterre,"328958,7",313294,Livres,"1,05",
21,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Etain ; de glace,Angleterre,525,525,Livres,1,
22,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Flanelle,Angleterre,50,25,Livres,2,
23,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Fromage,Angleterre,"32,5",130,Livres,"0,25",
24,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Galons ; d'or,Angleterre,1760,10,Livres,176,
25,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Galons ; de soye,Angleterre,900,60,Livres,15,
26,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Graine ; de jardin,Angleterre,737,737,Livres,1,
27,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Graine ; de lin,Angleterre,15055,150550,Livres,"0,1",
28,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Huitres vertes,Angleterre,"12922,9",258458,En nombre,"0,05",
29,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Instruments de musique,Angleterre,3000,300,Livres,10,
30,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Langues salées,Angleterre,40,2,Frequins,20,doute sur l'unité de mesure
31,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Langues salées,Angleterre,1623,2705,Livres,"0,6",
32,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Lard,Angleterre,"10975,5",36585,Livres,"0,3",
33,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Lingerie de lin,Angleterre,150,30,Livres,5,
34,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Marchandises Meslées,Angleterre,56800,1,Valeur,56800,
35,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Matelats,Angleterre,900,600,Livres,"1,5",
36,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Mercerie,Angleterre,640,160,Livres,4,
37,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Meulles ; a moulin,Angleterre,2700,18,En nombre,150,
38,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Meules ; à taillandier ; ordinaires,Angleterre,8310,554,En nombre,15,
39,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Meules ; à taillandier ; d'1 a 2 pieds,Angleterre,7925,1585,En nombre,5,
40,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Meules ; à taillandier ; de 3 à 4,Angleterre,4900,490,En nombre,10,
41,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Meules ; à taillandier ; de 4 a 5,Angleterre,340,17,En nombre,20,
42,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Morue seche,Angleterre,150,600,Livres,"0,25",
43,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Peaux de chevre,Angleterre,5742,319,Douzaines,18,
44,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Pierres a Eguiser,Angleterre,150,1500,Livres,"0,1",
45,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Plomb en saumon,Angleterre,"395070,8",1975354,Livres,"0,2",
46,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Porcelaine,Angleterre,7500,1500,Livres,5,
47,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Saumon salé,Angleterre,40022,100055,Livres,"0,4",
48,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Saumure,Angleterre,10,2,Bariques,5,
49,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Suif,Angleterre,6070,15175,Livres,"0,4",
50,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Tabac en feuilles,Angleterre,"794947,5",3179790,Livres,"0,25",
51,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Tapis de pied,Angleterre,2175,725,Livres,3,
52,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,2,Vin ordinaire,Angleterre,216,"1,5",Muids,144,
53,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Alun,Danemark,"12772,5",42575,Livres,"0,3",
54,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Anspects,Danemark,590,1180,En nombre,"0,5",
55,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Anspects,Danemark,229,1,Valeur,229,
56,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Avirons,Danemark,1290,516,En nombre,"2,5",
57,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Avirons,Danemark,684,1,Valeur,684,
58,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Bois ; a bruler,Danemark,84,7,Cordes,12,
59,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Bois ; de sapin,Danemark,"2053,8",13692,Douelles,"0,15",
60,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Bray gras,Danemark,2100,84,Barils,25,
61,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Chevrons,Danemark,333,222,En nombre,"1,5",
62,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Fer en barres,Danemark,"4492,5",29950,Livres,"0,15",
63,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Gaudron,Danemark,26140,1307,Gommes,20,
64,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Gaudron,Danemark,2475,165,Barils,15,
65,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Huile de poisson,Danemark,"17251,75",69007,Livres,"0,25",
66,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Maquereaux salés,Danemark,"64454,55",429697,Livres,"0,15",
67,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Marchandises Meslées,Danemark,68,1,Valeur,68,
68,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Mats ; de navire,Danemark,134000,335,En nombre,400,
69,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Mats ; petit,Danemark,4530,151,En nombre,30,
70,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Peaux ; de chevre,Danemark,75,50,En nombre,"1,5",
71,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Peaux ; de mouton en laine,Danemark,350,280,En nombre,"1,25",
72,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Peaux ; de veau en poil,Danemark,1455,970,En nombre,"1,5",
73,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Planches de sapin,Danemark,149183,149183,En nombre,1,
74,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Sapins,Danemark,10852,10852,En nombre,1,
75,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Sapin ; a faire combles,Danemark,3108,1554,En nombre,2,
76,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Sapin ; a faire echelle,Danemark,"17113,5",11409,En nombre,"1,5",
77,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Sapin ; a faire pioche,Danemark,"554,75",2219,En nombre,"0,25",
78,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Saumon salé,Danemark,"10396,2",34654,Livres,"0,3",
79,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Amandes ; cassées,Espagne,"52153,65",115897,Livres,"0,45",
80,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Amandes ; en coques,Espagne,"182,4",608,Livres,"0,3",
81,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Annis,Espagne,"10908,8",27272,Livres,"0,4",
82,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,3,Blanc de baleine,Espagne,50,25,Livres,2,
83,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Bois ; de campeche,Espagne,"44530,5",318075,Livres,"0,14",14 livres le 100
84,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Bois ; de marqueterie,Espagne,"619,2",6192,Livres,"0,1",
85,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Cacao,Espagne,1500,1500,Livres,1,
86,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Chataignes,Espagne,14,140,Livres,"0,1",
87,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Chocolat,Espagne,1500,1000,Livres,"1,5",
88,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Citrons,Espagne,8613,172260,En nombre,"0,05",
89,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Cochenille ; fine,Espagne,143750,5750,Livres,25,
90,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Cochenille ; mesteque,Espagne,711175,28447,Livres,25,
91,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Confitures,Espagne,48,48,Livres,1,
92,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Corail,Espagne,60,40,Livres,"1,5",
93,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Cuirs de beuf en poil,Espagne,474165,31611,En nombre,15,
94,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Cuivre en rosette,Espagne,710,710,Livres,1,
95,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Cumin,Espagne,"5037,5",10075,Livres,"0,5",
96,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Eau de vie,Espagne,"11187,5","44,75",Muids,250,
97,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Ecaille de tortue,Espagne,17320,1732,Livres,10,
98,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Esterres,Espagne,68,170,Livres,"0,4",
99,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Figues,Espagne,"6789,4",67894,Livres,"0,1",
100,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Garance,Espagne,3750,3125,Livres,"1,2",
101,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Gomme Etemy,Espagne,1900,950,Livres,2,
102,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Graine jaune,Espagne,"3982,5",7965,Livres,"0,5",
103,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Herbes d'orseille,Espagne,65,260,Livres,"0,25",
104,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Huile d'olive,Espagne,"509059,5",1018119,Livres,"0,5",
105,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Jalap,Espagne,10400,5200,Livres,2,
106,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Jambons,Espagne,"1812,75",2417,Livres,"0,75",
107,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Indigo,Espagne,52740,5860,Livres,9,
108,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Laine ; d'Espagne,Espagne,6120285,1224057,Livres,5,
109,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Laine ; de vigogne,Espagne,75512,9439,Livres,8,
110,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Marchandises Meslées,Espagne,650,1,Valeur,650,
111,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Mercerie,Espagne,184,46,Livres,4,
112,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Nattes de paille,Espagne,25,100,Livres,"0,25",
113,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Olives,Espagne,13797,22995,En nombre,"0,6",
114,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Oranges,Espagne,"5889,75",117795,En nombre,"0,05",
115,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Peaux ; de chiens de mer,Espagne,360,24,Douzaines,15,
116,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Peaux ; de loups marins,Espagne,9,6,En nombre,"1,5",
117,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Peaux ; de tigres,Espagne,216,1,Valeur,216,
118,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,4,Planches de sapin,Espagne,26,26,En nombre,1,
119,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,5,Pommes de terre,Espagne,18,360,Livres,"0,05",
120,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,5,Quinquina,Espagne,718,1,Valeur,718,
121,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,5,Raisin sec,Espagne,"44420,1",296134,Livres,"0,15",
122,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,5,Reglisse,Espagne,600,3000,Livres,"0,2",
123,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,5,Rubia tinctorum,Espagne,"1912,5",1275,Livres,"1,5",
124,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,5,Saffran,Espagne,828,46,Livres,18,
125,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,5,Savon d'alicante,Espagne,"3954,15",8787,Livres,"0,45",
126,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,5,Soude,Espagne,"1567763,75",6271055,Livres,"0,25",
127,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,5,Tabac d'Espagne,Espagne,180,18,Livres,10,
128,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,5,Toile fil et coton teinté,Espagne,386,1,Valeur,386,
129,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,5,Vanille,Espagne,3100,1,Valeur,3100,
130,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,5,Vins ; d'Espagne,Espagne,28272,"98,167",Muids,288,
131,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,5,Vins ; de liqueurs,Espagne,105648,"366,833",Muids,288,
132,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,5,Acier,Flandre autrichienne,"982,8",2457,Livres,"0,4",
133,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,5,Alun,Flandre autrichienne,115227,384090,Livres,"0,3",
134,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Rouen/Rouen - Entrées - 1767-69-74.csv,Local,1767,Imports,Rouen,5,Armes ; blanches,Flandre autrichienne,"754,5",503,Sabres,"1,5",
