line number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks,,,,,,,,,,,,
33,Local,1747,Nantes,,D'Espagne,Imports,laine,,,70971,,23657,livres,3,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,2,,,,,Marion Merville & Jules Oudot,,erreur de calcul (valeur notéé 7095),0,,,,,,,,,,,,,,,,,,,,,
34,Local,1747,Nantes,,D'Espagne,Imports,meulles bâtardes,,,2448,,816,pièces,3,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
35,Local,1747,Nantes,,D'Espagne,Imports,noisettes,,,300,,300,boisseaux,1,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,2,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
36,Local,1747,Nantes,,D'Espagne,Imports,Oranges aigres,,,3984,,66400,pièces,0.06,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
37,Local,1747,Nantes,,D'Espagne,Imports,oranges douces,,,32,,2,milliers,16,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
38,Local,1747,Nantes,,D'Espagne,Imports,peaux d’agneau en laine,,,60,,200,pièces,0.3,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
39,Local,1747,Nantes,,D'Espagne,Imports,peaux de mouton en laine,,,40,,100,pièces,0.4,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
40,Local,1747,Nantes,,D'Espagne,Imports,vin d’Espagne,,,600,,2,tonneaux,300,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
41,Local,1747,Nantes,,De hollande,Imports,acier,,,7053.25,,28213,livres,0.25,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,erreur de calcul (valeur notée 6055),0,,,,,,,,,,,,,,,,,,,,,
42,Local,1747,Nantes,,De hollande,Imports,amidon,,,11987,,59935,livres,0.2,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
43,Local,1747,Nantes,,De hollande,Imports,ancres de fer,,,5968,,23875,livres,0.25,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,-0.75,,,,,,,,,,,,,,,,,,,,,
44,Local,1747,Nantes,,De hollande,Imports,azur,,,2200,,2750,livres,0.8,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
45,Local,1747,Nantes,,De hollande,Imports,baleine coupée,,,12152,,3472,livres,3.5,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,erreur de calcul (valeur notée 12252),0,,,,,,,,,,,,,,,,,,,,,
46,Local,1747,Nantes,,De hollande,Imports,bâtons de sapin,,,36,,120,pièces,0.3,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,erreur de calcul (valeur notée 28),0,,,,,,,,,,,,,,,,,,,,,
47,Local,1747,Nantes,,De hollande,Imports,Boeuf salé,,,108990,,3633,barrils,30,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
48,Local,1747,Nantes,,De hollande,Imports,Boeuf salé,,,16308,,453,tierçons,36,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
49,Local,1747,Nantes,,De hollande,Imports,beurre,,,239,,956,livres,0.25,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
50,Local,1747,Nantes,,De hollande,Imports,bierre,,,26475,,1059,barriques,25,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
51,Local,1747,Nantes,,De hollande,Imports,bierre,,,304,,19,tierçons,16,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
52,Local,1747,Nantes,,De hollande,Imports,Bois à bruler,,,150,,15,cordes,10,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
53,Local,1747,Nantes,,De hollande,Imports,bois de caliatour,,,3856,,9642,livres,0.4,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,-0.800000000000182,,,,,,,,,,,,,,,,,,,,,
54,Local,1747,Nantes,,De hollande,Imports,bois de campêche en bûches,,,738.75,,4925,livres,0.15,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,erreur de calcul (valeur notée 1477),0,,,,,,,,,,,,,,,,,,,,,
55,Local,1747,Nantes,,De hollande,Imports,bois de fustel,,,,,20050,livres,,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,ni valeur ni prix unitaire,0,,,,,,,,,,,,,,,,,,,,,
56,Local,1747,Nantes,,De hollande,Imports,bois d’inde rapé,,,1147,,3825,livres,0.3,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,-0.5,,,,,,,,,,,,,,,,,,,,,
57,Local,1747,Nantes,,De hollande,Imports,bois d’inde en bücher,,,985,,4925,livres,0.2,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
58,Local,1747,Nantes,,De hollande,Imports,bois de sandal moulu,,,360,,600,livres,0.6,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
