Line_number,source_type,Year,customs_region,custom_office,partner,export_import,Product,origin,width_in_line,value (annoncée),Value (calculée),value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,Source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
85,Local,1716,Saint-Domingue,Le Cap,,Import,Viande salée,,,21510,21510,,717,baril,30,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
86,Local,1716,Saint-Domingue,Le Cap,,Import,Beurre,,,11762,11760,,19600,livre,0.6,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
87,Local,1716,Saint-Domingue,Le Cap,,Import,Chandelle,,,18900,18900,,25200,livre,0.75,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
88,Local,1716,Saint-Domingue,Le Cap,,Import,Huile,,,30870,30870,,10290,pot,3,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
89,Local,1716,Saint-Domingue,Le Cap,,Import,Savon,,,15240,15240,,25400,livre,0.6,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
90,Local,1716,Saint-Domingue,Le Cap,,Import,Fer en barre et en œuvre,,,17580,17580,,58600,livre,0.3,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
91,Local,1716,Saint-Domingue,Le Cap,,Import,Cordage,,,4680,4680,,11700,livre,0.4,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
92,Local,1716,Saint-Domingue,Le Cap,,Import,Marchandises sèches et mercerie,,,98000,98000,,98,boucaud et pipe,1000,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
93,Local,1716,Saint-Domingue,Le Cap,,Import,Marchandises sèches et mercerie,,,163000,163000,,326,barrique et grand coffre,500,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
94,Local,1716,Saint-Domingue,Le Cap,,Import,Marchandises sèches et mercerie,,,115500,115500,,231,balle et ballot,500,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
95,Local,1716,Saint-Domingue,Le Cap,,Import,Marchandises sèches et mercerie,,,12800,12800,,64,baril et caisse,200,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
96,Local,1716,Saint-Domingue,Le Cap,,Import,Humains,,,1374500,1374500,,2749,pièce,500,,ANOM C9A 12,,,,,,Camille Cordier,,,,,,,,,,,,
