line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,absurd_value,value_part_of_bundle,quantity,quantity_unit,absurd_quantity,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
11,Local,1771,Bordeaux,,Dannemarc,Imports,Barres ; de guindeau,,,1058,,,529,En nombre,,2,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,1,,,,,Pascal Fontaine,,0,,,,,,,,,
12,Local,1771,Bordeaux,,Dannemarc,Imports,Bois ; merrain ; ordinaire,,,13700,,,34250,En nombre,,.4,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,1,,,,,Pascal Fontaine,,0,,,,,,,,,
13,Local,1771,Bordeaux,,Dannemarc,Imports,Bois ; merrain ; pour feraille,,,2100,,,6000,En nombre,,.35,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,1,,,,,Pascal Fontaine,,0,,,,,,,,,
14,Local,1771,Bordeaux,,Dannemarc,Imports,Cuivre ; en feuilles,,,20250,,,15112,Livres,,1.34,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,"-0,08",,,,,,,,,
15,Local,1771,Bordeaux,,Dannemarc,Imports,Cuivre ; en rozette,,,9245.6,,,7112,Livres,,1.3,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
16,Local,1771,Bordeaux,,Dannemarc,Imports,Grains ; froment,,,225768,,,18814,Boisseaux,,12,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,1,,,,,Pascal Fontaine,,0,,,,,,,,,
17,Local,1771,Bordeaux,,Dannemarc,Imports,Grains ; seigle,,,108987,,,11843,Boisseaux,,9,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,1,,,,,Pascal Fontaine,,2400 erreur calcul ?,,,,,,,,,
18,Local,1771,Bordeaux,,Dannemarc,Imports,Planches ; de sapin,,,11446.5,,,7631,nombre,,1.5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
19,Local,1771,Bordeaux,,Dannemarc,Imports,Soliveaux,,,3330,,,111,Pièces,,30,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
20,Local,1771,Bordeaux,,Espagne,Imports,Avirons,,,22446,,,1247,Traques,,18,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
21,Local,1771,Bordeaux,,Espagne,Imports,Fer ; en barres,,,1942107.3,,,10789485,Livres,,.18,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
22,Local,1771,Bordeaux,,Espagne,Imports,Laine ; d'Espagne,,,46200,,,154,Balles,,350,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,-7700 erreur calcul,,,,,,,,,
23,Local,1771,Bordeaux,,Espagne,Imports,Meules ; a favre,,,565,,,113,Meules,,5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
24,Local,1771,Bordeaux,,Espagne,Imports,Ris,,,4005.25,,,16021,Livres,,.25,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
25,Local,1771,Bordeaux,,Espagne,Imports,Rognures ; de cartes,,,13.5,,,450,Livres,,.03,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
26,Local,1771,Bordeaux,,Espagne,Imports,Saumon ; sallé,,,183,,,1220,Livres,,.15,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
27,Local,1771,Bordeaux,,Hollande,Imports,Acier,,,5329.5,,,10659,Livres,,.5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
28,Local,1771,Bordeaux,,Hollande,Imports,Agaric,,,3018,,,1006,Livres,,3,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
29,Local,1771,Bordeaux,,Hollande,Imports,Aiguilles,,,156,,,26,Livres,,6,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,"erreur de calcul dans la source, confusion entre livres et sous",,,,,,,,,
30,Local,1771,Bordeaux,,Hollande,Imports,Aloes,,,6152,,,1538,Livres,,4,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
31,Local,1771,Bordeaux,,Hollande,Imports,Alumettes,,,1480.8,,,4936,Livres,,.3,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
32,Local,1771,Bordeaux,,Hollande,Imports,Alun,,,1591.5,,,10610,Livres,,.15,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
33,Local,1771,Bordeaux,,Hollande,Imports,Amidon,,,159880.8,,,1065872,Livres,,.15,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
34,Local,1771,Bordeaux,,Hollande,Imports,Angélique,,,39,,,39,Livres,,1,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
35,Local,1771,Bordeaux,,Hollande,Imports,Antimoine,,,10,,,50,Livres,,.2,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
36,Local,1771,Bordeaux,,Hollande,Imports,Appos,,,870,,,290,Livres,,3,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
37,Local,1771,Bordeaux,,Hollande,Imports,Arbres ; tilleuls,,,144,,,144,En nombre,,1,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
38,Local,1771,Bordeaux,,Hollande,Imports,Arcenic,,,9,,,90,Livres,,.1,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
39,Local,1771,Bordeaux,,Hollande,Imports,Argent ; vif,,,585,,,117,Livres,,5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
40,Local,1771,Bordeaux,,Hollande,Imports,Avirons,,,45,,,36,Paires,,2.5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,-45 erreur calcul,,,,,,,,,
41,Local,1771,Bordeaux,,Hollande,Imports,Azur,,,1516,,,3032,Livres,,.5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
42,Local,1771,Bordeaux,,Hollande,Imports,Baleine ; coupée,,,6502.5,,,1445,Livres,,4.5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
43,Local,1771,Bordeaux,,Hollande,Imports,Baleine ; en fanon,,,2.5,,,34523,Livres,,2.5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,-86305,,,,,,,,,
44,Local,1771,Bordeaux,,Hollande,Imports,Benjoin,,,148.5,,,99,Livres,,1.5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
45,Local,1771,Bordeaux,,Hollande,Imports,Beurre,,,1989136.5,,,3978273,Livres,,.5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
46,Local,1771,Bordeaux,,Hollande,Imports,Biscuits,,,37.5,,,250,Livres,,.15,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
47,Local,1771,Bordeaux,,Hollande,Imports,Blanc ; de baleine,,,156,,,52,Livres,,3,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
48,Local,1771,Bordeaux,,Hollande,Imports,Blanc ; de ceruse,,,9142.700000000001,,,26122,Livres,,.35,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
49,Local,1771,Bordeaux,,Hollande,Imports,Blanc ; de plomb,,,14898,,,7449,Livres,,2,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
50,Local,1771,Bordeaux,,Hollande,Imports,Bleu ; de prusse,,,3033,,,1011,Livres,,3,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
51,Local,1771,Bordeaux,,Hollande,Imports,Bois ; jeaune,,,615.75,,,4105,Livres,,.15,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
52,Local,1771,Bordeaux,,Hollande,Imports,Borax,,,1884.8,,,1178,Livres,,1.6,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
53,Local,1771,Bordeaux,,Hollande,Imports,Bourre,,,1820.83,,,60696,Livres,,.03,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,"-0,055",,,,,,,,,
54,Local,1771,Bordeaux,,Hollande,Imports,Brosserie,,,771,,,771,Livres,,1,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
55,Local,1771,Bordeaux,,Hollande,Imports,Brun ; rouge,,,1555.13,,,22216,Livres,,.07,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,"0,005",,,,,,,,,
56,Local,1771,Bordeaux,,Hollande,Imports,Bureaux ; de sapin,,,120,,,2,En nombre,,60,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
57,Local,1771,Bordeaux,,Hollande,Imports,Bœuf ; fumé,,,3112,,,7788,Livres,,.4,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,"-3,20000000000027 erreur calcul ?",,,,,,,,,
58,Local,1771,Bordeaux,,Hollande,Imports,Caboches,,,38.63,,,515,Livres,,.075,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
59,Local,1771,Bordeaux,,Hollande,Imports,Camphre,,,86,,,43,Livres,,2,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
60,Local,1771,Bordeaux,,Hollande,Imports,Canelle,,,2584,,,323,Livres,,8,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
61,Local,1771,Bordeaux,,Hollande,Imports,Cassia lignea,,,534,,,178,Livres,,3,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
62,Local,1771,Bordeaux,,Hollande,Imports,Ceruse,,,9972.6,,,33242,Livres,,.3,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
63,Local,1771,Bordeaux,,Hollande,Imports,Chaises ; de commodités,,,366,,,61,En nombre,,6,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
64,Local,1771,Bordeaux,,Hollande,Imports,Chanvre ; en rames,,,1900.05,,,12667,Livres,,.15,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
65,Local,1771,Bordeaux,,Hollande,Imports,Chanvre ; peigné,,,5870.7,,,32615,Livres,,.18,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
66,Local,1771,Bordeaux,,Hollande,Imports,Cinabre,,,41550,,,13850,Livres,,3,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
67,Local,1771,Bordeaux,,Hollande,Imports,Cinamomum,,,90,,,15,Livres,,6,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
68,Local,1771,Bordeaux,,Hollande,Imports,Colle ; de poisson,,,480,,,96,Livres,,5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
69,Local,1771,Bordeaux,,Hollande,Imports,Colle ; forte,,,4432.5,,,5910,Livres,,.75,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
70,Local,1771,Bordeaux,,Hollande,Imports,Coriand,,,1.65,,,11,Livres,,.15,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
71,Local,1771,Bordeaux,,Hollande,Imports,Couperose,,,1275.75,,,18225,Livres,,.07,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
72,Local,1771,Bordeaux,,Hollande,Imports,Cristal ; de roche,,,32,,,32,Livres,,1,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
73,Local,1771,Bordeaux,,Hollande,Imports,Cuivre ; en bouillote,,,0,,,2,En nombre,,0,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0 pas de total,,,,,,,,,
74,Local,1771,Bordeaux,,Hollande,Imports,Cuivre ; en feuilles,,,14631.1,,,18947,Livres,,1.3,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,-10000 erreur caclcul ou marquage,,,,,,,,,
75,Local,1771,Bordeaux,,Hollande,Imports,Cuivre ; en hopitaux,,,1117.8,,,621,Livres,,1.8,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
76,Local,1771,Bordeaux,,Hollande,Imports,Cuivre ; en platines,,,18433.35,,,16029,Livres,,1.15,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
77,Local,1771,Bordeaux,,Hollande,Imports,Cuivre ; jaune,,,9806.4,,,8172,Livres,,1.2,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
78,Local,1771,Bordeaux,,Hollande,Imports,Cuivre ; ouvré,,,19218,,,12812,Livres,,1.5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
79,Local,1771,Bordeaux,,Hollande,Imports,Eau ; forte,,,26.25,,,21,Livres,,1.25,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
80,Local,1771,Bordeaux,,Hollande,Imports,Emery,,,14.6,,,73,Livres,,.2,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
81,Local,1771,Bordeaux,,Hollande,Imports,Encoignement,,,40,,,2,En nombre,,20,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0 doute nom produit,,,,,,,,,
82,Local,1771,Bordeaux,,Hollande,Imports,Eponges,,,28,,,28,Livres,,1,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
83,Local,1771,Bordeaux,,Hollande,Imports,Esprit ; de nitre,,,9,,,9,Livres,,1,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
84,Local,1771,Bordeaux,,Hollande,Imports,Esprit ; de vitriol,,,5.65,,,11.25,Livres,,.5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,"0,025",,,,,,,,,
85,Local,1771,Bordeaux,,Hollande,Imports,Etain ; en bloc,,,300,,,600,Livres,,.5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
86,Local,1771,Bordeaux,,Hollande,Imports,Etain ; ouvré,,,2155.8,,,3593,Livres,,.6,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
87,Local,1771,Bordeaux,,Hollande,Imports,Fayance,,,8533.700000000001,,,12191,Livres,,.7,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,2,,,,,Pascal Fontaine,,0,,,,,,,,,
88,Local,1771,Bordeaux,,Hollande,Imports,Fer ; en barres,,,21903.45,,,121686,Livres,,.18,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,"-0,03",,,,,,,,,
89,Local,1771,Bordeaux,,Hollande,Imports,Fer ; en feuilles,,,2273.75,,,14211,Livres,,.16,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,"-0,01",,,,,,,,,
90,Local,1771,Bordeaux,,Hollande,Imports,Fer ; en plaques,,,370,,,37,En nombre,,10,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,0,,,,,,,,,
91,Local,1771,Bordeaux,,Hollande,Imports,Fer ; en poeles ; a frire,,,1566,,,5220,Livres,,.3,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,0,,,,,,,,,
92,Local,1771,Bordeaux,,Hollande,Imports,Fer ; en poeles ; a frire,,,16,,,4,En nombre,,4,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,0,,,,,,,,,
93,Local,1771,Bordeaux,,Hollande,Imports,Fer ; en taule,,,7612.9,,,47723,Livres,,.17,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,"-500,010000000001 erreur calcul",,,,,,,,,
94,Local,1771,Bordeaux,,Hollande,Imports,Fer ; ouvré,,,2689.2,,,8964,Livres,,.3,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,0,,,,,,,,,
95,Local,1771,Bordeaux,,Hollande,Imports,Fer; coulé,,,3939.6,,,26264,Livres,,0.15,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,erreur dans la source,,,,,,,,,
96,Local,1771,Bordeaux,,Hollande,Imports,Feves,,,69720,,,8715,Boisseaux,,8,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,0,,,,,,,,,
97,Local,1771,Bordeaux,,Hollande,Imports,Feves,,,16122,,,268700,Livres,,.06,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,0,,,,,,,,,
98,Local,1771,Bordeaux,,Hollande,Imports,Fil ; a carder,,,1244,,,3110,Livres,,.4,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,0,,,,,,,,,
99,Local,1771,Bordeaux,,Hollande,Imports,Fil ; blanc,,,3380,,,1690,Livres,,2,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,0,,,,,,,,,
100,Local,1771,Bordeaux,,Hollande,Imports,Fil ; de fer ; assortis,,,3008.5,,,8357,Livres,,.36,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,"-0,02",,,,,,,,,
101,Local,1771,Bordeaux,,Hollande,Imports,Fil ; de leton,,,27447.5,,,10979,Livres,,2.5,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,0,,,,,,,,,
102,Local,1771,Bordeaux,,Hollande,Imports,Fil ; en gros,,,6535.5,,,21785,Livres,,.3,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,0,,,,,,,,,
103,Local,1771,Bordeaux,,Hollande,Imports,Fil ; passeperle,,,619.5,,,1883,Livres,,.35,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,"-39,5500000000001 erreur calcul ou marquage",,,,,,,,,
104,Local,1771,Bordeaux,,Hollande,Imports,Fromage,,,147461.2,,,368653,Livres,,.4,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,0,,,,,,,,,
105,Local,1771,Bordeaux,,Hollande,Imports,Garance ; commune,,,12252,,,20420,Livres,,.6,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,0,,,,,,,,,
106,Local,1771,Bordeaux,,Hollande,Imports,Garance ; non robée,,,1491.4,,,2226,Livres,,.67,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,"-0,02",,,,,,,,,
107,Local,1771,Bordeaux,,Hollande,Imports,Gerofle,,,21880,,,2188,Livres,,10,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,0,,,,,,,,,
108,Local,1771,Bordeaux,,Hollande,Imports,Gomme ; Elemy,,,48.65,,,139,Livres,,.35,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,0,,,,,,,,,
109,Local,1771,Bordeaux,,Hollande,Imports,Graines ; Bled ; froment,,,84588,,,6042,Boisseaux,,14,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,0,,,,,,,,,
110,Local,1771,Bordeaux,,Hollande,Imports,Graines ; Bled ; froment,,,41564,,,415646,Livres,,.1,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,"-0,6",,,,,,,,,
111,Local,1771,Bordeaux,,Hollande,Imports,Graines ; gruau,,,239.2,,,2990,Livres,,.08,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,0,,,,,,,,,
112,Local,1771,Bordeaux,,Hollande,Imports,Graines ; seigle,,,273529.1,,,3907659,Livres,,.07,sources/Local/AD33_C4390_Bordeaux_Imports_1771.csv,AD33 C4390,3,,,,,Pascal Fontaine,,"-7,03",,,,,,,,,
