exportsimports,quantity_unit,marchandises_normalisees,N3_quantity_unit_ajustees,pays_corriges,pays_regroupes,N3_u_conv,N3_q_conv,N3_Remarque_unit,incertitude_unit
Imports,barils,Poisson ; Hareng ; Blanc,,Angleterre,Angleterre,,,comme chez Werner (baril d'anchoixà londres),
Imports,barils,Poisson ; Hareng ; saur,,Angleterre,Angleterre,,,"p549 doursther, +8àà harengs=1230kg (voir signets conso alimentaire pologne)",
Imports,barils,Saumon,,Angleterre,Angleterre,,,,
Imports,barils,Saumon ; salé,,Angleterre,Angleterre,,,p546 doursther,
Imports,barils,Suif,,Angleterre,Angleterre,,,p546 doursther,
Imports,barils,Beurre,"tonnes de copenhague pour la viande, la bierre et le beurre",Danemark,Nord,kg,131.38,p546 doursther,
Imports,barils,Brai ; gras,barils de goudron,Danemark,Nord,kg,169,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Brai et goudron,barils de goudron,Danemark,Nord,kg,169,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Bœuf ; salé,"tonnes de copenhague pour la viande, la bierre et le beurre",Danemark,Nord,litres,131.38,p546 doursther,
Imports,barils,Cendre ; diverses,tonnes de copenhague pour les grains,Danemark,Nord,litres,139.11,p543 doursther,
Imports,barils,Goudron,barils de goudron,Danemark,Nord,kg,169,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Lard,"tonnes de copenhague pour la viande, la bierre et le beurre",Danemark,Nord,litres,131.38,p546 doursther,
Imports,barils,Légume,"tonnes de copenhague pour la viande, la bierre et le beurre",Danemark,Nord,litres,131.38,p546 doursther,
Imports,barils,Poisson ; de mer ; maquereaux,"tonnes de copenhague pour la viande, la bierre et le beurre",Danemark,Nord,litres,131.38,p546 doursther,
Imports,barils,Poisson ; de mer ; morue ; Rave,"tonnes de copenhague pour la viande, la bierre et le beurre",Danemark,Nord,litres,131.38,p546 doursther,
Imports,barils,Poisson ; de mer ; salé ; morue,"tonnes de copenhague pour la viande, la bierre et le beurre",Danemark,Nord,litres,131.38,p546 doursther,
Imports,barils,Poisson ; salé ; maquereau,"tonnes de copenhague pour la viande, la bierre et le beurre",Danemark,Nord,litres,131.38,p546 doursther,
Imports,barils,Quincaillerie ; de fer ; clou,,Danemark,Nord,,,,
Imports,barils,Rogne,"tonnes de copenhague pour la viande, la bierre et le beurre",Danemark,Nord,litres,131.38,p546 doursther,
Imports,barils,Rognes,"tonnes de copenhague pour la viande, la bierre et le beurre",Danemark,Nord,litres,131.38,p546 doursther,
Imports,barils,Saumon ; salé,"tonnes de copenhague pour la viande, la bierre et le beurre",Danemark,Nord,litres,131.38,p546 doursther,
Imports,barils,Suif,"tonnes de copenhague pour la viande, la bierre et le beurre",Danemark,Nord,litres,131.38,p546 doursther,
Imports,barils,Acier,,Espagne,Espagne,,,,
Imports,barils,Anchois,,Espagne,Espagne,,,Comme chez Werner (Baril d'anchoix à Londres ?),
Imports,barils,Brai et goudron,,Espagne,Espagne,,,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Bœuf ; salé,,Espagne,Espagne,,,p550 doursther,
Imports,barils,Fer ; blanc,,Espagne,Espagne,,,,
Imports,barils,Figues,,Espagne,Espagne,,,,
Imports,barils,Fruit ; sec ; raisin,,Espagne,Espagne,,,p60 doursther,
Imports,barils,Huile ; d'olive,,Espagne,Espagne,,,p58 59 doursther : baril livourne (33.43 litres) ou gènes (14.233 litres) ? ,
Imports,barils,Noisette,,Espagne,Espagne,,,,
Imports,barils,Olives,,Espagne,Espagne,,,,
Imports,barils,Poisson ; Hareng ; Blanc,,Espagne,Espagne,,,comme chez Werner (baril d'anchoixà londres),
Imports,barils,Poisson ; de mer; sardine,,Espagne,Espagne,,,Comme chez Werner (Baril d'anchoix à Londres ?),
Imports,barils,Rogne,,Espagne,Espagne,,,p546 doursther,
Imports,barils,Saumon ; salé,,Espagne,Espagne,,,p546 doursther,
Imports,barils,Vin ; liqueur,,Espagne,Espagne,,,,
Imports,barils,Anchois,,Flandre,Flandre,,,Comme chez Werner (Baril d'anchoix à Londres ?),
Imports,barils,Brai et goudron,,Flandre,Flandre,,,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Bœuf ; salé,,Flandre,Flandre,,,p550 doursther,
Imports,barils,Charbon ; de bois,,Flandre,Flandre,,,,
Imports,barils,Encre ; d'imprimerie,,Flandre,Flandre,,,,
Imports,barils,Fer ; blanc,,Flandre,Flandre,,,,
Imports,barils,Huile ; de graine,,Flandre,Flandre,,,,
Imports,barils,Monnaie ; Piastres,,Flandre,Flandre,,,,
Imports,barils,Poisson ; Hareng ; Blanc,,Flandre,Flandre,,,comme chez Werner (baril d'anchoixà londres),
Imports,barils,Poisson ; Hareng ; saur,,Flandre,Flandre,,,"p549 doursther, +8àà harengs=1230kg (voir signets conso alimentaire pologne)",
Imports,barils,Bière,,Genève,Suisse,,,p60 doursther,
Imports,barils,Fer ; blanc,,Genève-Suisse,Suisse,,,,
Imports,barils,Bœuf ; salé,,Gênes,Italie,,,p550 doursther,
Imports,barils,Acier,,Hollande,Hollande,,,,
Imports,barils,Brai ; gras,,Hollande,Hollande,,,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Brai et goudron,,Hollande,Hollande,,,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Braule,,Hollande,Hollande,,,,
Imports,barils,Bœuf ; salé,,Hollande,Hollande,,,p550 doursther,
Imports,barils,Cabillauds,,Hollande,Hollande,,,p549 doursther,
Imports,barils,Cauris,,Hollande,Hollande,,,,
Imports,barils,Couteau,,Hollande,Hollande,,,,
Imports,barils,Drogue ; pour la peinture et la teinture ; Blanc de céruse,,Hollande,Hollande,,,,
Imports,barils,Drogue ; pour la peinture et la teinture ; Noir,,Hollande,Hollande,,,,
Imports,barils,Drogue ; pour la peinture et la teinture ; Sanguine,,Hollande,Hollande,,,,
Imports,barils,Drogue ; pour la peinture et la teinture ; ocre ; rouge,,Hollande,Hollande,,,,
Imports,barils,Drogue ; pour la peinture et la teinture ; vermillon,,Hollande,Hollande,,,,
Imports,barils,Fer ; blanc,,Hollande,Hollande,,,,
Imports,barils,Fer ; noir,,Hollande,Hollande,,,,
Imports,barils,Fil ; à papillon,,Hollande,Hollande,,,,
Imports,barils,Fil ; à voile,,Hollande,Hollande,,,,
Imports,barils,Goudron,,Hollande,Hollande,,,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Graine ; de lin,,Hollande,Hollande,,,,
Imports,barils,Grains ; froment,,Hollande,Hollande,,,,
Imports,barils,Grisette,,Hollande,Hollande,,,,
Imports,barils,Huile ; de lin,,Hollande,Hollande,,,p58 59 doursther : baril livourne (33.43 litres) ou gènes (14.233 litres) ? ,
Imports,barils,Indes ; fines,,Hollande,Hollande,,,,
Imports,barils,Mercerie,,Hollande,Hollande,,,,
Imports,barils,Mercure,,Hollande,Hollande,,,,
Imports,barils,Mine ; de plomb,,Hollande,Hollande,,,,
Imports,barils,Olives,,Hollande,Hollande,,,,
Imports,barils,Poisson ; Hareng ; Blanc,,Hollande,Hollande,,,comme chez Werner (baril d'anchoixà londres),
Imports,barils,Poisson ; Hareng ; saur,,Hollande,Hollande,,,"p549 doursther, +8àà harengs=1230kg (voir signets conso alimentaire pologne)",
Imports,barils,Poisson ; de mer ; maquereaux,,Hollande,Hollande,,,p546 doursther,
Imports,barils,Poisson ; de mer ; morue ; Rave,,Hollande,Hollande,,,p546 doursther,
Imports,barils,Poisson ; de mer ; morue ; Verte,,Hollande,Hollande,,,p549 doursther,
Imports,barils,Poisson ; salé,,Hollande,Hollande,,,Comme chez Werner (Baril d'anchoix à Londres ?),
Imports,barils,Quincaillerie ; de fer ; fil,,Hollande,Hollande,,,,
Imports,barils,Rogne,,Hollande,Hollande,,,p546 doursther,
Imports,barils,Rognes,,Hollande,Hollande,,,p544 doursther,
Imports,barils,Saumon ; fumé,,Hollande,Hollande,,,Comme chez Werner (Baril d'anchoix à Londres ?),
Imports,barils,Saumon ; salé,,Hollande,Hollande,,,p546 doursther,
Imports,barils,Soudure,,Hollande,Hollande,,,,
Imports,barils,Teinture,,Hollande,Hollande,,,,
Imports,barils,Épicerie,,Hollande,Hollande,,,,
Imports,barils,Étain ; en bloc,,Hollande,Hollande,,,,
Imports,barils,Poisson ; de mer ; morue ; Langue,,Iles,Colonies,,,Comme chez Werner (Baril d'anchoix à Londres ?),
Imports,barils,Poisson ; de mer ; morue ; Têtes,,Iles,Colonies,,,Comme chez Werner (Baril d'anchoix à Londres ?),
Imports,barils,Poisson ; de mer ; morue ; notes et langues,,Iles,Colonies,,,Comme chez Werner (Baril d'anchoix à Londres ?),
Imports,barils,Vin ; du Cap,,Indes,Indes,,,,
Imports,barils,Cerneaux,,Isles françaises,Colonies,,,,
Imports,barils,Anchois,,Italie,Italie,,,Comme chez Werner (Baril d'anchoix à Londres ?),
Imports,barils,Poisson ; Hareng ; Blanc,,Naples,Italie,,,comme chez Werner (baril d'anchoixà londres),
Imports,barils,Argent ; vif,,Nord,Nord,,,,
Imports,barils,Brai et goudron,barils de goudron,Nord,Nord,kg,169,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Bœuf ; salé,"tonnes de copenhague pour la viande, la bierre et le beurre",Nord,Nord,litres,131.38,p550 doursther,
Imports,barils,Fer ; blanc,barils de fer blanc,Nord,Nord,pieces,450,,
Imports,barils,Fer ; noir,barils de fer noir,Nord,Nord,pieces,300,,
Imports,barils,Huile ; de graine,,Nord,Nord,,,,
Imports,barils,Poisson ; Hareng ; saur,tonnes de harengs de hambourg,Nord,Nord,kg,1230,"p549 doursther, +8àà harengs=1230kg (voir signets conso alimentaire pologne)",
Imports,barils,Poisson ; de mer ; morue ; Verte,tonnes de morue d'anvers,Nord,Nord,kg,120,p549 doursther,
Imports,barils,Poudre ; cosmétique,,Nord,Nord,,,,
Imports,barils,Vin ; du Portugal,,Portugal,Portugal,,,,
Imports,barils,Brai ; gras,barils de goudron,Prusse,Nord,kg,169,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Goudron,barils de goudron,Prusse,Nord,kg,169,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Brai et goudron,barils de goudron,Russie,Nord,kg,169,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Bœuf ; salé,tonnes pour le boeuf salé de libau,Russie,Nord,kg,136.05,doursther p550 : 300 livres -> 0.4535,
Imports,barils,Fer ; blanc,barils de fer blanc,Russie,Nord,pieces,450,,
Imports,barils,Fer ; noir,barils de fer noir,Russie,Nord,pieces,300,,
Imports,barils,Goudron,barils de goudron,Russie,Nord,kg,169,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Huile ; de lin,,Russie,Nord,,,p58 59 doursther : baril livourne (33.43 litres) ou gènes (14.233 litres) ? ,
Imports,barils,Poisson ; salé,,Savoie,Italie,,,Comme chez Werner (Baril d'anchoix à Londres ?),
Imports,barils,Poudre à tirer,,Savoie,Italie,,,,
Imports,barils,Acier,,Suède,Nord,,,,
Imports,barils,Brai ; gras,barils de goudron,Suède,Nord,kg,169,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Brai ; sec,barils de goudron,Suède,Nord,kg,169,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Brai et goudron,barils de goudron,Suède,Nord,kg,169,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Cabillauds,tonnes de poissons de suède,Suède,Nord,litres,125.57,p549 doursther,
Imports,barils,Drogue ; pour la peinture et la teinture ; alun,tonnes pour le sel de suède,Suède,Nord,litres,155.64999,p550 doursther,
Imports,barils,Fer ; blanc,barils de fer blanc,Suède,Nord,pieces,450,,
Imports,barils,Fer ; en barres,,Suède,Nord,,,,
Imports,barils,Fer ; noir,barils de fer noir,Suède,Nord,pieces,300,,
Imports,barils,Goudron,barils de goudron,Suède,Nord,kg,169,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Poisson ; Hareng ; Blanc,tonnes de poissons de suède,Suède,Nord,litres,125.57,p549 doursther,
Imports,barils,Rognes,tunna de suède,Suède,Nord,litres,146.5,p544 doursther,
Imports,barils,Brai ; gras,barils de goudron,Villes hanséatiques-Nord,Nord,kg,169,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Drogue ; pour la peinture et la teinture ; Noir de fumée,tonnes de copenhague,Villes hanséatiques-Nord,Nord,litres,139.11,p543 doursther,
Imports,barils,Fer ; blanc,barils de fer blanc,Villes hanséatiques-Nord,Nord,pieces,450,,
Imports,barils,Fer ; noir,barils de fer noir,Villes hanséatiques-Nord,Nord,pieces,300,,
Imports,barils,Goudron,barils de goudron,Villes hanséatiques-Nord,Nord,kg,169,"dictionnaire universel des poids et mesures anciens et modernes p201, et masse du last dans fichier explications : 2028 kilogrammes -> 2028/12=169",
Imports,barils,Grisette,,Villes hanséatiques-Nord,Nord,,,,
Imports,barils,Poisson ; Hareng ; Blanc,tonnes de harengs de hambourg,Villes hanséatiques-Nord,Nord,kg,1230,"p549 doursther, +8àà harengs=1230kg (voir signets conso alimentaire pologne)",
Imports,barils,Saumon ; salé,barils pour saumons de londres,Villes hanséatiques-Nord,Nord,litres,158.98,p60 doursther,
Imports,barriques,Bœuf ; salé,,Angleterre,Angleterre,,,,
Imports,barriques,Charbon ; de terre,,Angleterre,Angleterre,,,,
Imports,barriques,Chaux ; vive,,Angleterre,Angleterre,,,,
Imports,barriques,Poisson ; de mer ; morue ; Langue,,Angleterre,Angleterre,kg,,,
Imports,barriques,Grains ; froment,oxehoved de copenhague,Danemark,Nord,kg,170.696,p61 doursther,
Imports,barriques,Grains ; seigle,oxehoved de copenhague,Danemark,Nord,kg,224.60001,p61 doursther,
Imports,barriques,Degras ; de peau,,Espagne,Espagne,,,,
Imports,barriques,Dégrau,,Espagne,Espagne,kg,,,
Imports,barriques,Pignon ; d'épine,,Espagne,Espagne,,,,
Imports,barriques,Poisson ; de mer ; morue ; Verte,,Espagne,Espagne,kg,,,
Imports,barriques,Poisson ; de mer; salé ; sardine,,Espagne,Espagne,kg,,,
Imports,barriques,Charbon ; de terre,,Hollande,Hollande,,,,
Imports,barriques,Ciment,,Hollande,Hollande,,,,
Imports,barriques,Gruau,,Hollande,Hollande,,,,
Imports,barriques,Pomme ; de canne,,Hollande,Hollande,,,,
Imports,barriques,Riz,,Hollande,Hollande,,,,
Imports,barriques,Draches,,Iles,Colonies,kg,,,
Imports,barriques,Goudron,,Isles françaises,Colonies,,,,
Imports,barriques,Poisson ; de mer ; morue ; Rave,,Isles françaises,Colonies,kg,,,
Imports,barriques,Saumon ; salé,,Isles françaises,Colonies,,,,
Imports,barriques,Grains ; froment,oxhoft de hambourg et de brême,Nord,Nord,kg,169.60001,"Witthöft 1993), fichier explications, 217.21 chez doursther",
Imports,barriques,Sucre ; en pain,oxhoft de hambourg et de brême,Nord,Nord,litres,223.158,"Witthöft 1993), fichier explications, 217.21 chez doursther",
Imports,barriques,Grains ; seigle,oxhufwud de suède,Suède,Nord,kg,154.974,p63 doursther,
Imports,bottes,Fourrages ; paille,bottes pour les solides,Allemagne,Allemagne,,,p81 doursther,
Imports,bottes,Oignon,bottes pour les solides,Allemagne,Allemagne,,,p81 doursther,
Imports,bottes,Paille,bottes pour les solides,Allemagne,Allemagne,,,p81 doursther,
Imports,bottes,Cercles et feuillard ; en bois,bottes pour les solides,Angleterre,Angleterre,,,p81 doursther,
Imports,bottes,Lin,bottes pour les solides,Flandre,Flandre,,,p81 doursther,
Imports,bottes,Ouvrage ; de bois,bottes pour les solides,Flandre,Flandre,,,p81 doursther,
Imports,bottes,Roseau ; d'Espagne,bottes pour les solides,Flandre,Flandre,,,p81 doursther,
Imports,bottes,Jonc,bottes pour les solides,Hollande,Hollande,,,p81 doursther,
Imports,bottes,Latte ; de bois,bottes pour les solides,Hollande,Hollande,,,p81 doursther,
Imports,bottes,Café ; de Bourbon,bottes pour les solides,Indes,Indes,,,p81 doursther,
Imports,bottes,Fourrages ; paille,bottes pour les solides de berlin,Pologne,Nord,kg,27.209999,p81 doursther,
Imports,bottes,Fruit ; sec ; raisin,bottes pour les solides,Portugal,Portugal,,,p81 doursther,
Imports,bottes,Quincaillerie ; de fer,bottes pour les solides de berlin,Villes hanséatiques-Nord,Nord,kg,27.209999,p81 doursther,
Imports,bottes,Fruits ; secs ; divers,bottes pour les solides,États-Unis d'Amérique,États-Unis d'Amérique,,,p81 doursther,
Imports,faix,Cercles et feuillard ; en bois,,Espagne,Espagne,,,,
Imports,faix,Cercles et feuillard ; en bois,,Italie,Italie,,,,
Imports,millerolles,Citrons et oranges,,Gênes,Italie,,,,
Imports,millerolles,Citrons et oranges,,Italie,Italie,,,,
Imports,millerolles,Citrons et oranges,,Levant,Levant,,,,
Imports,millerolles,Citrons et oranges,,Savoie,Italie,,,,
Imports,muids,Pomme,,Angleterre,Angleterre,,,,
Imports,poinçons,Chaux,,Allemagne,Allemagne,,,p447 doursther,
Imports,pots,Coutellerie ; commune,,Flandre,Flandre,,,,
Imports,pots,Farine ; en déchet,,Flandre,Flandre,,,,
Imports,pots,Poisson ; saumon,,Flandre,Flandre,,,,
Imports,pots,Poterie ; de grès,,Hollande,Hollande,,,,
Imports,pots,Marbre ; brut,,Marseille,Marseille,,,,
Imports,razières,Charbon ; de terre,,Angleterre,Angleterre,,,p474/5 doursther,
Imports,razières,Grains ; froment,,Angleterre,Angleterre,,,p474/5 doursther,
Imports,razières,Sel,,Angleterre,Angleterre,,,p474/5 doursther,
Imports,razières,Graine ; de colza,,Flandre,Flandre,,,p474/5 doursther,
Imports,sacs,Farine,,Angleterre,Angleterre,,,P483 doursther,
Imports,sacs,Grains ; froment,,Angleterre,Angleterre,,,P483 doursther,
Imports,sacs,Alpargate,,Espagne,Espagne,,,P483 doursther,
Imports,sacs,Cendre ; gravelée,,Flandre,Flandre,,,P483 doursther,
Imports,sacs,Charbon ; de boulanger,,Flandre,Flandre,,,P483 doursther,
Imports,sacs,Ecorce ; de chêne,,Flandre,Flandre,,,P483 doursther,
Imports,sacs,Farine ; de bouquette,,Flandre,Flandre,,,P483 doursther,
Imports,sacs,Fruits ; en somme,,Flandre,Flandre,,,P483 doursther,
Imports,sacs,Graine ; d'oiseau,,Flandre,Flandre,,,P483 doursther,
Imports,sacs,Graine ; de trèfle,,Flandre,Flandre,,,P483 doursther,
Imports,sacs,Poix ; secs,,Flandre,Flandre,,,P483 doursther,
Imports,sacs,Graine ; de lin,,Hollande,Hollande,,,P483 doursther,
Imports,sacs,Graine ; jaune,,Iles,Colonies,,,P483 doursther,
Imports,sacs,Cendre,,Savoie,Italie,,,P483 doursther,
Imports,sacs,Cendre ; commune,,Savoie,Italie,,,P483 doursther,
Imports,sacs,Grains ; froment,sacs de hambourg,Villes hanséatiques-Nord,Nord,kg,160.36,doursther p484 ,
Imports,tierçons,Bœuf ; salé,,Angleterre,Angleterre,,,p531 : équivalent à l'aime (p17),
Imports,tierçons,Saumon,,Angleterre,Angleterre,,,p531 : équivalent à l'aime (p17),
Imports,tierçons,Bœuf ; salé,,Hollande,Hollande,,,p531 : équivalent à l'aime (p17),
Imports,tonnes,Degras,,Allemagne,Allemagne,,,,
Imports,tonnes,Lessive ; grasse,,Allemagne,Allemagne,,,,
Imports,tonnes,Poisson ; de mer ; morue ; Verte,,Allemagne,Allemagne,,,,
Imports,tonnes,Charbon ; de terre,,Angleterre,Angleterre,,,,
Imports,tonnes,Saumon ; salé,tonnes de prusse pour poissons,Danemark,Nord,kg,154.34,p549 doursther,
Imports,tonnes,Bière,,Dunkerque,France,,,,
Imports,tonnes,Poisson ; salé ; mariné ; harengs ; blanc,,Dunkerque,France,,,,
Imports,tonnes,Bière,,Flandre,Flandre,,,,
Imports,tonnes,Bœuf ; salé,,Flandre,Flandre,,,,
Imports,tonnes,Chaux,,Flandre,Flandre,,,,
Imports,tonnes,Esturgeons,,Flandre,Flandre,,,,
Imports,tonnes,Huile ; de graine,,Flandre,Flandre,,,,
Imports,tonnes,Huître,,Flandre,Flandre,,,,
Imports,tonnes,Poisson ; Hareng ; Blanc,,Flandre,Flandre,,,,
Imports,tonnes,Poisson ; d'eau douce ; truite,,Flandre,Flandre,,,,
Imports,tonnes,Poisson ; de mer ; morue ; Verte,,Flandre,Flandre,,,,
Imports,tonnes,Poisson ; salé,,Flandre,Flandre,,,p549 doursther,
Imports,tonnes,Saumon ; salé,,Flandre,Flandre,,,p549 doursther,
Imports,tonnes,Épicerie ; poivre ; noir,,Flandre,Flandre,,,,
Imports,tonnes,Poisson ; de mer ; morue ; Rave,,Hollande,Hollande,,,,
Imports,tonnes,Saumon ; salé,,Hollande,Hollande,,,p549 doursther,
Imports,tonnes,Poisson ; salé,tonnes de suèdes de poisson,Nord,Nord,litres,125.57,p549 doursther,
Imports,wagons,Ecorce ; de chêne,,Flandre,Flandre,,,,
Imports,wagons,Ecorce ; de hesne,,Flandre,Flandre,,,,
