simplification,occurrences_simplification,metric,conversion_orthographic_to_metric,incertitude_unit,source_hambourg,missing,needs_more_details,remarque_unit
,855,,,,,,,Wikipédia : sorte de futaille qui pèse plus de 25kg
,855,,,,,,,
leths de cendre,6,litres,2638.2,,0,,0,"dictionnaire du commerce p600 : un leth pour 12 barils, puis p549 -> prendre tonnes de berlin ?"
,855,,,,,,,
,855,,,,,,1,nécessite le contenu et le lieu d'émission
,855,,,,,,1,nécessite le contenu et le lieu d'émission
jeux de cartes,8,pièces,6,,,,,"1 sixain ou sizain = paquet de six jeux de cartes à jouer, source Larousse"
traques,6,pièces,3,,,,,Dictionnaire de la marine françois (books.google.fr)
veltes,7,litres,7.4299998,,,,,Dourshter : mesure de Paris
,855,,,,,,,
,855,,,,,,,
,855,,,,0,1,0,
chariots,5,litres,1028.31,,,,,"Doursther : 1 chariot = 10 carreaux = 30 pieds cubes de Paris = 30*34,277 L (voir wikipédia pied cube)"
en nombre,15,pièces,1,,,,,
demi pièces,16,pièces,.5,,,,,
,855,,,,,,,
flacons,5,contenant,1,,0,,0,
,855,,,,0,1,0,"D'après le Savary, une gonne est une sorte de futaille et 1 gonne = 400 à 450 livres (quand cela concerne du saumon), ou 1 gonne = 1,25 baril (quand cela concerne de la bière ou liqueurs)"
jez,5,litres,137.11,,,,,"Doursther page 190, 1 jez = 137,11 L"
,855,,,,,,,
mannes,5,contenant,1,,,,,http://books.google.fr/books?id=9HM7AQAAIAAJ&pg=PA56&lpg=PA56&dq=mannes+de+charbon&source=bl&ots=WmK7GL1a82&sig=iO8oAqn4W-S8Bhi-28ohNUZPaP8&hl=fr&sa=X&ei=ULG2U76SNaz20gWTpoCYCQ&ved=0CFIQ6AEwCQ#v=onepage&q=mannes%20de%20charbon&f=false
mesures,5,litres,14.63,,0,,0,doursther p279
nombre,5,pièces,1,,,,,
petits,6,pièces,1,,,,,
pinte,5,litres,.952146,,,,,Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
pipe,6,litres,411.327,,0,,1,Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
,855,,,,,,1,nécessite le contenu et le lieu d'émission
????,51,,,1,0,,0,
aimes,4,kg,148,,0,,0,Doursther : Tierce=nom donné par les allemands à Aime: de 130 à 166 litres -> 148 litres
ancre,4,kg,37,,0,1,0,p27 doursther : en usage en Allemagne et en hollande formant le quart de l'aime
arrobe,4,kg,12.23749975,,,,,Doursther : l'arrobe représente 25 livres (page 40)
bailles,6,litres,14.625,,0,,0,p44 doursther numéro du dictionnaire
banne,4,contenant,1,,,,,
,855,,,,,,1,nécessite le contenu et le lieu d'émission
,855,,,,,,1,
,855,,,,,,,
bûches,4,pièces,1,,,,,???
chars,4,litres,548.4400000000001,,0,,0,"p111 doursther, mesure de genève"
coffres,4,contenant,1,,,,,
cordes,4,litres,3839.055,,0,,0,p123 doursther
coupes,4,contenant,1,,0,,0,
,855,,,,0,1,0,
pièces,123,pièces,1,,,,,
pièces,123,pièces,1,,,,,
,855,,,,,,1,nécessite le contenu et le lieu d'émission
,855,,,,,,,
,855,,,,,,,
kilogrammes,6,kg,1,,,,,
,855,,,,,,,
madriers,4,pièces,1,,,,,pièces ??
,855,,,,,,,
monts,4,kg,1250,,,,,p298 doursther
pièces,123,pièces,1,,,,,
onces,5,kg,.0305937494,,,,,
ordinaires,4,pièces,1,,,,,
peaux,5,pièces,1,,,,,
pendules,5,cm,99.38493,,,,,Doursther page 393
pieds de roi,4,cm,32.484001,,,,,p426 doursther
pierres,4,pièces,1,,,,,
poignées,5,contenant,1,,0,,0,
rames,4,,,1,,,,Doursther : mesure pour le papier. Entre 360 et 500 feuilles. Mais il y en aussi pour les draps...
,855,,,,,,,
,855,,,,,,,
,855,,,,,,1,nécessite le lieu d'émission
,855,,,,0,,1,nécessite le contenu et le lieu d'émission
voitures,4,pièces,1,,,,,
anée pour les liquides,3,kg,81.959999,,,,,p43 doursther : voir anée -> P28 -> prendre mesure de Lyon
,855,,,,,,,
barral vin de Montpellier,3,kg,25.35,,0,,0,p57 doursther
,855,,,,,,,
contenant,3,contenant,1,1,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
,855,,,,,,1,
,855,,,,,,,"vérification dans la source, il s'agit de « bouts »"
,855,,,,,,1,nécessite le contenu et le lieu d'émission
cannes,3,cm,194.89999,,,,,"p94 doursther, correspond à la toise"
,855,,,,,,,
centaine,3,pièces,100,,,,,
chapeaux,3,pièces,,,0,1,0,
cruches,3,pièces,1,,0,,0,
,855,,,,,,1,nécessite le contenu et le lieu d'émission
,855,,,,,,1,nécessite le contenu et le lieu d'émission
demi pièces,16,pièces,.5,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
futailles,4,contenant,1,,,,,
,855,,,,,,,
gobelets,3,pièces,1,,,,,
pièces,123,pièces,1,,,,,
hectolitres,3,litres,100,,,,,
jeux,3,pièces,1,,,,,
jutte,5,kg,60,,,,,"Doursther page 193, la jutte pesait environ 60kg"
,855,,,,,,,"nécessite le contenu et le lieu d'émission, voir Doursther page 205"
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
mines,3,litres,76.171997,,0,,0,Wikipedia
minots,3,litres,38.085999,,0,,0,Wikipedia
morceaux,3,pièces,1,,0,,0,
pièces,123,pièces,1,,0,,0,
,855,,,,,,,
planches,3,pièces,1,,,,,
,855,,,,,,1,
queue,3,litres,411.327,,,,,"Doursther page 468, queue = pipe"
livres,22,kg,48.949999,,,,,
livres,22,kg,48.949999,,,,,nécessite le contenu et le lieu d'émission
retz,3,litres,30.5,,,,,Doursther page 477
,855,,,,,,,
,855,,,,0,1,0,
pièces,123,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,,
????,51,,,1,0,,0,
pièces,123,pièces,1,,,,,
,855,,,,,,,
pièces,123,pièces,1,,0,,0,
barils,11,kg,48.949999,,,,,
,855,,,,,,1,
,855,,,,0,1,0,
,855,,,,,,,
bâtons,2,pièces,1,,0,1,0,
billes,2,pièces,1,,,,,
,855,,,,,,,
pièces,123,pièces,1,,0,,0,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
cabas,2,contenant,1,,,,,
caissons,2,contenant,1,,,,,
,855,,,,,,,
,855,,,,0,1,0,Doursther : voir cab page 88
caques,2,kg,13.6,,,,,"p100 doursther : équivalent au baril, en anglais cade/cag"
,855,,,,,,,
,855,,,,0,1,0,p103 voir quartière
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,0,,0,
,855,,,,,,,
,855,,,,,,1,nécessite le contenu et le lieu d'émission
demi planches,2,pièces,.5,,,,,
demi charge,2,kg,73.425005,,,,,D'après Doursther (France). Aussi la valeure choisie par Werner
pièces,123,pièces,1,,,,,
,855,,,,,,1,
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
en valeur,17,,,,,,,
,855,,,,,,,
,855,,,,,,,
feuillettes,2,kg,134.11,,0,,0,p161 doursther
,855,,,,,,,
flûtes,2,pièces,1,,,,,
fourneaux,2,pièces,1,,,,,
fours,2,pièces,1,,,,,
,855,,,,,,,
fusils,3,pièces,1,,0,,0,
,855,,,,,,,
,855,,,,,,,
gramme,2,kg,.001,,,,,
,855,,,,,,1,nécessite le contenu et le lieu d'émission
,855,,,,,,,
,855,,,,,,1,
,855,,,,,,,
cent,2,pièces,100,,,,,
,855,,,,,,,
litres,2,litres,1,,,,,
,855,,,,,,,
mètre,2,cm,100,,,,,
,855,,,,0,1,0,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,1,nécessite le contenu et le lieu d'émission
pains,3,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,nécessite le lieu d'émission
,855,,,,,,1,
,855,,,,,,,
pieds cubes,2,litres,34.277,,,,,Wikipedia
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,0,,0,
poutres,2,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,1,
quartaut,2,litres,68.55500000000001,,,,,"1 quartaut correspond à environ 68 litres, source Wikipédia"
sabres,2,pièces,1,,0,,0,
pièces,123,pièces,1,,0,,0,
jeux de cartes,8,pièces,6,,0,1,0,"1 sixain ou sizain = paquet de six jeux de cartes à jouer, source Larousse"
stères,3,litres,1000,,,,,"Doursther page 519, 1 stère = 1 mètre cube"
pièces,123,pièces,1,,0,,0,
,855,,,,,,,
,855,,,,,,,
toises,2,cm,194.89999,,0,,0,Wikipedia
,855,,,,,,,
,855,,,,,,,
topettes,2,contenant,1,,,,,
,855,,,,,,,
tuiles,2,pièces,1,,,,,
verges,2,litres,7.4299998,,0,,0,p581 : <=> veltes
,855,,,,,,,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
????,51,,,1,0,,0,
,855,,,,,,,
,855,,,,,,,
450 feuilles,1,feuilles,450,,,,,
600 feuilles,1,feuilles,600,,,,,
pièces,123,pièces,1,,0,1,0,"vérification dans la source, il est indiqué « à charnière d'or »"
pièces,123,pièces,1,,0,,0,
,855,,,,,,,unité difficilement lisible dans la source
,855,,,,,,,
,855,,,,,,,
atlas,1,pièces,1,,,,,
aunes de paris,13,cm,118.84,,,,,Wikipedia
,855,,,,,,,
bailles,6,litres,14.625,,,,,
pièces,123,pièces,1,,0,,0,
balles,9,contenant,1,,,,,
balles,9,contenant,1,,,,,
,855,,,,,,,
baquet,1,contenant,1,,,,,
,855,,,,,,,
,855,,,,,,,
bard,1,contenant,1,,0,1,0,
,855,,,,,,1,nécessite le contenu et le lieu d'émission
,855,,,,,,,
,855,,,,,,,
barils,11,feuilles,600,,,,,
,855,,,,,,1,
barils,11,kg,161.5349967,,,,1,
,855,,,,,,1,
,855,,,,,,1,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,1,
,855,,,,,,,
barils,11,kg,146.849997,,,,1,
barriques,2,,,,,,1,nécessite le contenu et le lieu d'émission
,855,,,,0,1,0,
,855,,,,,,1,nécessite le contenu et le lieu d'émission
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
barriques,2,kg,489.49999,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
bailles,6,litres,14.625,,,,,
pièces,123,pièces,1,,0,,0,
,855,,,,,,,
bêtes,1,pièces,1,,,,,
bichets de Lyon,1,litres,31.9,,0,,0,p66 doursther
billets,1,pièces,1,,0,,0,
billons,1,pièces,1,,,,,
,855,,,,,,,
,855,,,,0,1,0,
,855,,,,0,1,0,
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
pièces,123,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,1,
,855,,,,,,1,
,855,,,,0,1,0,
,855,,,,0,1,0,p83 doursther = brasses ?
,855,,,,,,,
,855,,,,0,1,0,
,855,,,,,,,
,855,,,,,,,
caisses,9,contenant,1,,,,,
,855,,,,,,1,"Doursther : 1 canastre représente la 70e partie de la pipe, page 91"
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,0,,0,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
chaises,1,pièces,1,,,,,
pièces,123,pièces,1,,0,,0,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,0,1,0,
charges,1,kg,146.849997,,,,,
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
pièces,123,pièces,1,,0,,0,
,855,,,,,,,
chipons,1,kg,146.849997,,,,,
,855,,,,0,1,0,
choux,1,pièces,1,,0,,0,
,855,,,,,,,
citrons,1,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,,
coffrets,1,contenant,1,,,,,
,855,,,,,,,
conques,1,litres,41.060001,,0,,0,doursther : 41.06 litres p119
,855,,,,,,,
,855,,,,0,1,0,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
pièces,123,pièces,1,,,,,
en nombre,15,pièces,1,,0,,0,
en nombre,15,pièces,1,,0,,0,
décagramme,1,kg,.01,,,,,
décimètres,1,cm,10,,,,,
demi pièces,16,pièces,.5,,,,,
,855,,,,,,1,nécessite le contenu et le lieu d'émission
demi pieds du roy,1,cm,16.2420005,,,,,
,855,,,,,,,
demi ancre,1,kg,18.5,,,,,p27 doursther : en usage en Allemagne et en hollande formant le quart de l'aime
demi-pièces,1,pièces,.5,,0,,0,
,855,,,,,,,
,855,,,,0,1,0,
pièces,123,pièces,1,,,,,
,855,,,,,,,
double pièce,1,pièces,2,,,,,
,855,,,,,,,
doublures,1,pièces,1,,0,,0,
,855,,,,0,1,0,
douzaines,12,pièces,12,,,,,
douzaines,12,pièces,12,,,,,
,855,,,,,,,
douzaines,12,pièces,12,,,,,
,855,,,,,,,
douzaines,12,pièces,12,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
douzaines,12,pièces,12,,,,,
douzaines,12,pièces,12,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,Doursther page 143
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
en argent,1,pièces,1,,,,,
,855,,,,,,1,nécessite le contenu et le lieu d'émission
en centaine,1,pièces,100,,,,,
en feuilles,1,pièces,1,,0,,0,
en milliers,1,pièces,1000,,,,,
pièces,123,pièces,,,,,,
en valeur,17,,,,,,,
pièces,123,pièces,1,,,,,
pièces,123,pièces,1,,0,1,0,instrument de musique
pièces,123,pièces,1,,0,,0,
,855,,,,,,,
,855,,,,0,1,0,
fanons,1,pièces,1,,0,,0,
,855,,,,,,,
,855,,,,0,1,0,
,855,,,,,,,
pièces,123,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
feuilles doubles,1,pièces,1,,,,,
feuilles,8,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,,
fromages,1,pièces,1,,,,,
fusils,3,pièces,1,,,,,
futailles,4,kg,391.599992,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,0,,0,
,855,,,,,,,
girofles,1,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
pièces,123,pièces,1,,,,,
grands,1,pièces,1,,0,,0,
pièces,123,pièces,1,,,,,
pièces,123,pièces,1,,,,,
,855,,,,,,,
paires,10,pièces,2,,,,,
grosses,11,pièces,144,,,,,"p175 doursther, 12 douzaines"
,855,,,,,,1,
,855,,,,,,,
guindeau,1,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
hectogrammes,1,kg,.1,,,,,
horloges,1,pièces,1,,,,,
huitième,1,litres,.125,,0,1,0,Doursther page 185
huitres,1,pièces,1,,0,,0,
,855,,,,,,,
pièces,123,pièces,1,,0,1,0,
pièces,123,pièces,1,,0,,0,
,855,,,,,,,
jutte,5,kg,60,,,,,"Doursther page 193, la jutte pesait environ 60kg"
jutte,5,kg,60,,0,1,0,"Doursther page 193, la jutte pesait environ 60kg"
kilogrammes,6,kg,1,,,,,
kilogrammes,6,kg,1,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
,855,,,,0,1,0,
,855,,,,,,,
mille,2,pièces,1000,,,,,
,855,,,,,,,
,855,,,,,,,
livres,22,kg,88.10999820000001,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
livres de bateau,1,kg,150,,1,,0,"Witthöft 1993, Ulrich"
livres de hambourg,1,kg,.48453999,,1,,0,"Witthöft 1993, Ulrich"
livres,22,kg,.48949999,,,,,
,855,,,,,,,
,855,,,,0,1,0,
,855,,,,0,1,0,
mailles,1,kg,.076485001,,0,,0,quart de l'once
,855,,,,,,,
,855,,,,0,1,0,
,855,,,,,,,
marcs,9,kg,.244749995,,,,,
peaux,5,pièces,1,,0,,0,
,855,,,,0,1,0,
,855,,,,,,,
mats,1,pièces,1,,0,,0,
mèches,1,pièces,1,,,,,
,855,,,,,,,
mille,2,pièces,1000,,,,,
,855,,,,,,1,"Pour Bordeaux, 1 millier de douelles au grand compte vaut environ 1610 douelles"
,855,,,,,,,
milliers,15,pièces,1000,,,,,
,855,,,,,,,
pièces,123,pièces,1,,0,1,0,signifie morues
monds,1,kg,1250,,0,,0,p298 doursther
morues,1,pièces,1,,,,,
,855,,,,0,1,0,
mouchoirs,1,pièces,1,,,,,
pièces,123,pièces,1,,0,,0,
,855,,,,,,,
pièces,123,pièces,1,,,,,
muids,1,kg,58.7399988,,,,,
,855,,,,,,1,
,855,,,,,,1,nécessite le contenu et le lieu d'émission
,855,,,,,,1,nécessite le contenu et le lieu d'émission
,855,,,,,,1,nécessite le contenu et le lieu d'émission
,855,,,,,,1,nécessite le contenu et le lieu d'émission
muids de paris,3,kg,268.22,,0,,0,Muid de Paris (Wikipedia) (137-685) (mais pas cete valeur dans Dourshter)
muids de paris,3,kg,268.22,,,,,
,855,,,,,,,
,855,,,,,,,
demi muids de paris,1,kg,134.11,,,,,Muid de Paris (Wikipedia) (137-685) (mais pas cete valeur dans Dourshter)
muids de paris,3,kg,268.22,,0,,0,Muid de Paris (Wikipedia) (137-685) (mais pas cete valeur dans Dourshter)
,855,,,,,,,
,855,,,,,,,
onces,5,kg,.0305937494,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
oxhoft,1,kg,223.158,,1,,0,"Witthöft 1993, explication 1 oxhoft=223.158 litres"
,855,,,,,,,
,855,,,,,,,
pains,3,pièces,100,,,,,
,855,,,,,,,
,855,,,,,,,
palme,2,cm,26.3952,,,,,Doursther et http://aviatechno.net/unites/pieds.php
palme,2,cm,26.3952,,,,,Doursther et http://aviatechno.net/unites/pieds.php
,855,,,,,,,
,855,,,,,,,
panier,12,contenant,1,,,,,
panier,12,contenant,1,,,,,
,855,,,,,,,
,855,,,,,,,
paquets,11,contenant,1,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
,855,,,,0,1,0,
,855,,,,,,,
,855,,,,0,1,0,unité difficilement lisible dans la source
paumes,1,cm,8.119999999999999,,,,,Doursther page 392
pièces,123,pièces,1,,,,,
pendules,5,cm,99.38493,,,,,Doursther page 393
,855,,,,,,,
,855,,,,,,,
,855,,,,,,1,
petits,6,pièces,1,,,,,
,855,,,,,,1,
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
pipe,6,litres,411.327,,,,,Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
pipettes,1,contenant,1,,0,,0,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
pièces,123,pièces,1,,,,,
pièces,123,pièces,1,,,,,
poignées,5,contenant,1,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
,855,,,,,,,
pièces,123,pièces,1,,0,,0,
pièces,123,pièces,1,,0,,0,
,855,,,,,,,
,855,,,,,,1,
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,100,,,,,
poutrelles,1,pièces,1,,,,,"vérification dans la source, il s'agit de « poutrelles »"
quarts de livres,1,kg,.125,,,,,
,855,,,,,,1,
,855,,,,,,1,
,855,,,,,,1,
,855,,,,,,,unité difficilement lisible dans la source
,855,,,,,,,
,855,,,,,,1,
,855,,,,,,1,
,855,,,,,,1,
quint,1,kg,.0038242187,,,,,Doursther page 468
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,,
robes,1,pièces,1,,0,1,0,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,"n'apparaît qu'une fois, unité difficilement lisible dans la source"
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,,
sennes,1,pièces,1,,0,,0,
serges,1,pièces,1,,0,1,0,
,855,,,,,,,
serviettes,1,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,1,
,855,,,,,,,
,855,,,,0,1,0,
,855,,,,,,,
,855,,,,,,,
stères,3,litres,1000,,,,,"Doursther page 519, 1 stère = 1 mètre cube"
,855,,,,,,,
tables,1,pièces,1,,,,,
,855,,,,,,,
,855,,,,,,,
pièces,123,pièces,1,,0,,0,
,855,,,,,,,
pièces,123,pièces,1,,0,,0,
tierce,1,kg,148,,1,,0,Doursther : Tierce=nom donné par les allemands à Aime: de 130 à 166 litres -> 148 litres
,855,,,,0,1,0,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,,
,855,,,,,,1,
tonneaux,1,kg,2569.8749475,,,,,
,855,,,,,,1,nécessite le contenu et le lieu d'émission
,855,,,,,,1,nécessite le contenu et le lieu d'émission
,855,,,,,,,
pièces,123,pièces,1,,,,,
,855,,,,,,,
pièces,123,pièces,1,,0,,0,
,855,,,,,,,
,855,,,,0,1,0,
,855,,,,,,,
pièces,123,pièces,1,,0,,0,
demi velte,1,litres,3.7149999,,,,,
,855,,,,,,,
violons,1,pièces,1,,0,,0,
pièces,123,pièces,1,,,,,
,855,,,,,,,
vollilles,1,pièces,1,,0,,0,loïc charles
veltes,7,kg,7.4299998,,,,,
,855,,,,0,,1,
imi de berne,1,litres,3.503,,0,,0,p597 doursther -> voir Imi p186
,0,,,,,,,
pièces,0,pièces,1,,0,,0,
,0,,,,,,1,
,0,,,,,,,
,0,,,,,,,
pièces,0,pièces,1,,,,,
,0,,,,,,,
millerolle,0,litres,64,,,,,Doursther : 1 millerolle = 64 litres page 292
