marchandises_normalisees,marchandises_simplifies,sitc_rev1,sitc_rev2,classificationproduitsmdicinaux,remarques_marchandises,wallislist,exclusion_not_medical_primarily,nom_wallis,large,narrow,sitc1digit,sitc18thc,nbr_lignes_fr_bis,classification_hambourg_etroite,classification_hambourg_large,ajouts_565860,commestibles_eur_grainsetsubstit,grains_ou_farine,categories_de_grains,v9,source_bdc,nbr_bdc_marchandises_normalisees,nbr_bdc_marchandises_simplifies
Agréments ; de fil,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Agréments ; de fleurs,Agréments,6,6,0,,0,,,0,0,,,,,,,0,0,0,,1,1,59
Agréments ; de soie,,6,6c,0,,,,,0,0,,,,,,,0,0,0,,1,7,63124
Agréments ; de soie or et argent ; faux,,,,,,,,,,,,,,,,,,,,,1,1,63124
Agréments ; au quart,,,,,,,,,,,,,,,,,,,,,1,1,63124
Agréments ; de soie et fil,,,,,,,,,,,,,,,,,,,,,1,1,63124
Agrément ; de soie,,,,,,,,,,,,,,,,,,,,,1,1,63124
Agur commun,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Aiglefin ; séché,,,,,,,,,,,,,,,,,,,,,1,1,63124
Aigles,,,,,,,,,,,,,,,,,,,,,1,1,63124
Aigre ; de cidre,,,,,,,,,,,,,,,,,,,,,1,6,63124
Aigrettes,Aigrettes,6,6,0,,0,,,0,0,,,2,,,,0,0,0,,1,8,8
Aigrettes ; de fil ; d'or et d'argent,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Aiguilles,Aiguilles,6,6,0,,0,,,0,0,,,47,,,,0,0,0,,1,145,145
Aiguilles ; d'emballage,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Aiguilles ; à coudre,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,15,63124
Aiguilles ; à tabac,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Aiguilles ; à toile,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Aiguilles ; à voile,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,4,63124
Aiguilles ; à voile,,,,,,,,,,,,,,,,,,,,,1,9,63124
Ail blanc à casser,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Ailes de fleaux,,,,,,,,,,,,,,,,,,,,,1,1,63124
Ailes de moulin,,,,,,,,,,,,,,,,,,,,,1,1,63124
Ails,Ails,0,0a,1,"Selon Robert J James, Dictionnaire universel de la médecine, 1746, « échauffent & atténuent le sang […] fortifient les vicères […] et est un excellent remède contre la collique. […] contre l'asthme et les maladies respoiratoires »",0,,,1,0,,,34,,,,0,0,0,,1,118,118
Ains à pêcher,Ains à pêcher,8,8,0,"Savary, volume 1, 1748 : Hameçons",0,,,0,0,,,3,,,,0,0,0,,1,15,15
Airain,Airain,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,8,8
Airain ; ouvré,Airain ; ouvré,6,6,0,,0,,,0,0,,,3,,,,0,0,0,,1,14,14
Airain ; en batterie,,,,,,,,,,,,,,,,,,,,,1,2,63124
Ajamis,Ajamis,6,6d,0,Toile d'Antap dit Ajamis : toile de coton qui vient du Levant.,0,,,0,0,,,14,,,,0,0,0,,1,66,66
Ajustements,Ajustements,8,8,0,,0,,,0,0,,,8,,,,0,0,0,,1,34,34
Ajustements ; de femme,,,,,,,,,,,,,,,,,,,,,1,2,63124
Akia,,,,,,,,,,,,,,,,,,,,,1,1,63124
Akia ; espèce de salade,,,,,,,,,,,,,,,,,,,,,1,1,63124
Alambic ; de terre,Alambic ; de terre,5,5,0,,0,,,0,0,,,17,,,,0,0,0,,1,1,1
Alambics,Alambics,5,5,0,,0,,,0,0,,,1,,,,0,0,0,,1,9,9
Alana,Alana,5,5,0,"Probablement « Alatia », à vérifier",0,,,0,0,,,2,,,,0,0,0,,1,18,18
Alatia,,,,,,,,,,,,,,,,,,,,,1,1,63124
Albâtre,Albâtre,2,2,0,,0,,,0,0,,,25,,,,0,0,0,,1,2,2
Alcanum duplicatum,,,,,,,,,,,,,,,,,,,,,1,1,63124
Alegias,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Alennes,,,,,,,,,,,,,,,,,,,,,1,1,63124
Alibanies,Alibans,6,6d,0,"Alibanies : Toiles de coton, qu’on apporte en Hollande des Indes Orientales par les retours de la Compagnie",0,,,0,0,,,4,,,,0,0,0,,1,18,18
Alibans,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,6,63124
Alkerme,,1,1,1,Wiki : Alkermès (sanglant ; rouge ; cochenille ; kermès) : nom d'une liqueur à base de plantes nommée aussi kermès officinal. Élixir alkermès : nom de médicaments composés renfermant le suc du kermès animal.Selon l'ouvrage de Dorvault (1875) (p,1,1,Grana Tinctorum,1,0,,,,,,,0,0,0,,1,1,63124
Alleaux,,,,,,,,,,,,,,,,,,,,,1,1,63124
Allumettes,Allumettes,8,8,0,,0,,,0,0,8,8,30,,,,0,0,0,,1,34,34
Allumettes ; soufrées,,,,,,,,,,,,,,,,,,,,,1,6,63124
Allumettes ; droguées,,,,,,,,,,,,,,,,,,,,,1,3,63124
Allumettes ; souffrées,,,,,,,,,,,,,,,,,,,,,1,1,63124
Allumettes ; à vin,,,,,,,,,,,,,,,,,,,,,1,5,63124
Allumettes ; épicées,,,,,,,,,,,,,,,,,,,,,1,1,63124
Almagro ou crayon rouge,,,,,,,,,,,,,,,,,,,,,1,1,63124
Almanach,,,,,,,,,,,,,,,,,,,,,1,2,63124
Alocir,,,,,,,,,,,,,,,,,,,,,1,1,63124
Aloiset,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Alose dite elft,,,,,,,,,,,,,,,,,,,,,1,1,63124
Alose fumée,,,,,,,,,,,,,,,,,,,,,1,1,63124
Aloses,,,,,,,,,,,,,,,,,,,,,1,1,63124
Alouettes,,,,,,,,,,,,,,,,,,,,,1,2,63124
Aloès,,,,,,,,,,,,,,,,,,,,,1,1,63124
Aloès cabalin,,2,2,1,Aloès capalin ?,1,0,"Lignum Aloes, Aloes Cicotrina, Aloes Epatica",0,1,,,,,,,0,0,0,,1,2,63124
Aloès ; commun,,,,,,,,,,,,,,,,,,,,,1,1,63124
Alpargate,Alpargate,8,8,0,espadrilles (Savary),0,,,0,0,,,48,,,,0,0,0,,1,7,7
Alpiste,,,,,,,,,,,,,,,,,,,,,1,9,63124
Alquifoux,,,,,,,,,,,,,,,,,,,,,1,42,63124
Alquifoux et mine de plomb,,,,,,,,,,,,,,,,,,,,,1,59,63124
Alquitra,Alquitra,5,5,0,Synonyme de goudron (tiré de l'espagnol),0,,,0,0,,,32,,,,0,0,0,,1,3,3
Aluchiabanis,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Alumettes ; souffrées,,8,8,0,,,,,0,0,,,,,,,0,0,0,,0,0,0
Alun,,,,,,,,,,,,,,,,,,,,,1,1,63124
Alun ; de fer,,,,,,,,,,,,,,,,,,,,,1,1,63124
Alun ; gâté,,2,2,0,"Savary, volume 1, 1748 : «  Alun : Espèce de sel fossile »",,,,0,0,,,,,,,0,0,0,,1,1,63124
Alun ; de Rome,,,,,,,,,,,,,,,,,,,,,1,2,63124
Alun ; de Romes,,2,2,1,"Mineral, used in medicine and dyeing (as a mordant)",1,1,Alum Roche,1,0,,,,,,,0,0,0,,0,0,0
Alvés,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Amadou,Amadou,5,5,0,"Agaric (Grieve Herbal: B. chirurgorum (SURGEON'S AGARIC, OAK AGARIC, PUNK, TOUCHWOOD) is the product of P. fomentarius, which is found upon the oak and beech trees of Europe and is a very different substance, its uses being mechanical, as tinde",1,0,Agaric,0,0,,,27,,,,0,0,0,,1,109,109
Amadou et agaric,,???,???,1,"Agaric (Grieve Herbal: B. chirurgorum (SURGEON'S AGARIC, OAK AGARIC, PUNK, TOUCHWOOD) is the product of P. fomentarius, which is found upon the oak and beech trees of Europe and is a very different substance, its uses being mechanical, as tinde",1,0,Agaric,1,0,,,,,,,0,0,0,,1,23,63124
Amandes,Amandes,0,0a,0,,0,,,0,0,,,197,"Fruits ; divers ; amandes, pelures, raisins, prunes","Fruits ; divers ; amandes, pelures, raisins, prunes",,0,0,0,,1,490,695
Amandes ; cassées,Amandes,0,0a,0,,0,,,0,0,,,50,"Fruits ; divers ; amandes, pelures, raisins, prunes","Fruits ; divers ; amandes, pelures, raisins, prunes",,0,0,0,,1,103,695
Amandes ; courtes,,,,,,,,,,,,,,,,,,,,,1,1,63124
Amandes ; en coques,Amandes,0,0a,0,,0,,,0,0,,,165,"Fruits ; divers ; amandes, pelures, raisins, prunes","Fruits ; divers ; amandes, pelures, raisins, prunes",,0,0,0,,1,102,695
Amandes ; longues,,,,,,,,,,,,,,,,,,,,,1,1,63124
Amandes et pruneaux,,,,,,,,,,,,,,,,,,,,,1,2,63124
Amandes et raisins secs,,,,,,,,,,,,,,,,,,,,,1,1,63124
Amandes et savon,,,,,,,,,,,,,,,,,,,,,1,2,63124
Amandes et vert-de-gris,,,,,,,,,,,,,,,,,,,,,1,1,63124
"Amandes, raisons secs et savon",,,,,,,,,,,,,,,,,,,,,1,1,63124
Amandes ; amères,,,,,,,,,,,,,,,,,,,,,1,1,63124
Amandes ; cassées,,,,,,,,,,,,,,,,,,,,,1,1,63124
Amandes ; douces,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,3,63124
Amaril,,,,,,,,,,,,,,,,,,,,,1,1,63124
Ambrain a grande Barique,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Ambre,Ambre,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,31,80
Ambre ; Karabé,Ambre,2,2,1,"Savary, volume 1, 1748 : ou KARABE Surtout pour la teinture et le vernis cependant : « Il a quelque usage en Médecine, pourvu qu'il soit véritable Karabé ; bien des gens ayant l'art de le contrefaire... ».",1,0,Carrabe,1,0,,,107,,,,0,0,0,,1,9,80
Ambre ; brut,,,,,,,,,,,,,,,,,,,,,1,1,63124
Ambre ; gris,Ambre,2,2,1,Wallis : primarily perfumery; waxy substance secreted by the sperm whale and found floating at sea or washed ashore; used in perfume,1,0,Ambergrease,1,0,,,8,,,,0,0,0,,1,11,80
Ambre ; jaune,Ambre,2,2,1,"Savary, volume 1, 1748 : ou KARABE Surtout pour la teinture et le vernis cependant : « Il a quelque usage en Médecine, pourvu qu'il soit véritable Karabé ; bien des gens ayant l'art de le contrefaire... ».",1,0,Carrabe,1,0,,,23,,,,0,0,0,,1,26,80
Ambre ; moulu,Ambre,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,2,80
Ambre ; vert,Ambre,2,2,0,,0,,,0,0,,,0,,,,0,0,0,,1,1,80
Amer,,???,???,0,,0,,,0,0,,,,,,1,0,0,0,,1,3,63124
Amertis,Amertis,6,6d,0,Toile de coton blanche,0,,,0,0,,,0,,,,0,0,0,,1,1,1
Ami de toillé,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Amidon,Amidon,5,5,0,,0,,,0,0,,,0,,,,0,0,0,,1,585,585
Amidon et poudre à poudrer,,,,,,,,,,,,,,,,,,,,,1,1,63124
Ammoniac,,5,5,1,"Savary, volume 1, 1748 : « Gomme […] On tire un esprit & une huile de cette gomme à qui l'on attribue de grandes vertus. »",1,0,Gum Armoniac,0,1,,,,,,,0,0,0,,1,1,63124
Ammonium,,,,,,,,,,,,,,,,,,,,,1,1,63124
Amomum,Amomum,2,2,1,"Savary, volume 1, 1748 : «Espèce de fruit que l'on rapporte des Indes […]. L'Amomium qu'on compte parmi les drogues qui servent à la Médecine & qui entre particulièrement dans la composition de la Thériaque... »",1,1,Amomi Semen,1,0,,,0,,,,0,0,0,,1,6,6
Amomum verum,,,,,,,,,,,,,,,,,,,,,1,2,63124
Anacardes,Anacardes,2,2,1,"Savary, volume 1, 1748 : «Espèce de sèves qui sont rapportées des grandes Indes […] ces sortes de sèves sont de quelque usage en Médecine étant un bon purgatif... »",1,0,Anacardium,1,0,,,2,,,,0,0,0,,1,1,1
Ananas,Fruits,0,0b,0,,0,,,0,0,,,2,,,,0,0,0,,1,32,3600
Ananas ; confit,,0,0b,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Ananas ; confit,,,,,,,,,,,,,,,,,,,,,1,1,63124
Anatose,Anatose,???,???,0,,0,,,0,0,,,1,,,,0,0,0,,1,1,1
Anchois,Anchois,0,0a,0,,0,,,0,0,,,25,,,,0,0,0,,1,331,331
Anchois ; salé et mariné,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,2,63124
Ancres ; de fer,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,16,63124
Ancres ; de fer ; à chaudron,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Ancres ; gravelée,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Ancres ; vides,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Andes,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Andolium ou crockvisch,,,,,,,,,,,,,,,,,,,,,1,2,63124
Andouille,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Andouillette,,,,,,,,,,,,,,,,,,,,,1,1,63124
Anes et anesses,,,,,,,,,,,,,,,,,,,,,1,1,63124
Anguilles,Anguilles,0,0a,0,,0,,,0,0,0,0a,57,,,,0,0,0,,1,20,20
Anguilles ; salées,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,3,63124
Angélique,Angélique,2,2,1,"Savary, volume 1, 1748 : «Qu'on appelle aussi Archangelic ou Racine du S. Esprit,Angelica en latin ou Radix Siriaca. Plante médicinale fort estimée à cause des vertus qu'on lui croit contre les poisons, qui la fait entrer dans la composition du",1,0,Angelica,0,1,,,1,,,,0,0,0,,1,18,18
Angélique ; du Rozème,,2,2,1,"Savary, volume 1, 1748 : «Qu'on appelle aussi Archangelic ou Racine du S. Esprit,Angelica en latin ou Radix Siriaca. Plante médicinale fort estimée à cause des vertus qu'on lui croit contre les poisons, qui la fait entrer dans la composition du",1,0,Angelica,0,1,,,,,,,0,0,0,,1,1,63124
Animaux ; domestiques,,,,,,,,,,,,,,,,,,,,,1,1,63124
Anis,Anis,0,0a,0,,0,,,0,0,,,112,,,,0,0,0,,1,217,217
Anis et sucre,,,,,,,,,,,,,,,,,,,,,1,2,63124
Anisette,Anisette,1,1,0,,0,,,0,0,,,2,,,,0,0,0,,1,42,42
Anisette ; de Bordeaux,,,,,,,,,,,,,,,,,,,,,1,2,63124
Anis ; vert,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,18,63124
Anis ; étoilé,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,8,63124
Anneaux ; de fer,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Anses ; de tonneaux,,6,6,0,,0,,,0,0,,,,,,,0,0,0,,1,2,63124
Anspects,Anspects,6,6,0,,0,,,0,0,,,4,,,,0,0,0,,1,87,87
Antimoine,Antimoine,6,6,1,"Savary, volume 1, 1748 : « Minéral qui approche fort de la nature des métaux, […] est d'un grand usage soit dans la fonte des métaux, dans la médecine et chez les Maréchaux. […] l'Antimoine, qui ne trouve plus d'adversaire et qui est devenu le ",1,0,Stibium,1,0,,,11,,,,0,0,0,,1,119,119
Antimoine ; crû,,,,,,,,,,,,,,,,,,,,,1,1,63124
Antofle,,,,,,,,,,,,,,,,,,,,,1,1,63124
Antofle ; de girofle,Antofle ; de girofle,0,0b,0,,0,,,0,0,,,6,,,,0,0,0,,1,9,9
Apiers,,,,,,,,,,,,,,,,,,,,,1,2,63124
Apios,,,,,,,,,,,,,,,,,,,,,1,4,63124
Approvisionnement,,,,,,,,,,,,,,,,,,,,,1,1,63124
Apretée pour parchemin,,,,,,,,,,,,,,,,,,,,,1,1,63124
Apretée à telier les livres,,,,,,,,,,,,,,,,,,,,,1,1,63124
Arack,,,,,,,,,,,,,,,,,,,,,1,1,63124
Aracq,Aracq,???,???,0,,0,,,0,0,,,46,,,,0,0,0,,1,6,6
Arbaletrie et Cartes Marines,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Arbalètes,,,,,,,,,,,,,,,,,,,,,1,1,63124
Arbres,Arbres et arbrisseaux,2,2,0,,0,,,0,0,,,19,,,,0,0,0,,1,35,168
Arbres ; chênes,,,,,,,,,,,,,,,,,,,,,1,1,63124
Arbres ; de sapin,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Arbres ; en plants ; de bois,Arbres et arbrisseaux,2,2,0,,0,,,0,0,,,4,,,,0,0,0,,1,2,168
Arbres ; en plants ; de bois ; d'auban,Arbres et arbrisseaux,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,1,168
Arbres ; sauvages,,,,,,,,,,,,,,,,,,,,,1,1,63124
Arbres ; à fruits,Arbres et arbrisseaux,2,2,0,,0,,,0,0,,,3,,,,0,0,0,,1,21,168
Arbres ; à planter,Arbres et arbrisseaux,2,2,0,,0,,,0,0,,,246,,,,0,0,0,,1,109,168
Arbres ; à transformer en Pompe,,,,,,,,,,,,,,,,,,,,,1,1,63124
Arbres ; tilleuls,,,,,,,,,,,,,,,,,,,,,1,3,63124
Arbres ; à fruit,,,,,,,,,,,,,,,,,,,,,1,1,63124
Arbres ; à planter,,,,,,,,,,,,,,,,,,,,,1,5,63124
Arbre ; à fruit,,,,,,,,,,,,,,,,,,,,,1,1,63124
Arbrisseaux,,,,,,,,,,,,,,,,,,,,,1,5,63124
Arcanson,,,,,,,,,,,,,,,,,,,,,1,2,63124
Archets de violons,,,,,,,,,,,,,,,,,,,,,1,1,63124
Archiabanis,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Ardoises,Ardoises,6,6,0,,0,,,0,0,,,3,,,,0,0,0,,1,243,244
Ardoises ; dites chérubins et à mortier,,,,,,,,,,,,,,,,,,,,,1,1,63124
Ardoises ; dites grandes voisines,,,,,,,,,,,,,,,,,,,,,1,1,63124
Ardoises ; dites moyennes voisines,,,,,,,,,,,,,,,,,,,,,1,1,63124
Ardoises ; dites petites voisines,,,,,,,,,,,,,,,,,,,,,1,1,63124
"Ardoises ; dites voisines, grandes, moyennes et petites",,,,,,,,,,,,,,,,,,,,,1,1,63124
Ardoises ; en livrets,,,,,,,,,,,,,,,,,,,,,1,1,63124
Ardoises ; encadrées,,,,,,,,,,,,,,,,,,,,,1,1,63124
Ardoises ; encadrées et en livrets,,,,,,,,,,,,,,,,,,,,,1,1,63124
Ardoises ; non travaillées,,,,,,,,,,,,,,,,,,,,,1,1,63124
Ardoises ; ordinaires,,,,,,,,,,,,,,,,,,,,,1,1,63124
Ardoises ; vertes,Ardoises,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,1,244
Argent ; battu,Argent ; métal,6,6,0,,0,,,0,0,,,2,,,,0,0,0,,1,1,22
Argent ; brut,Argent ; métal,6,6,0,,0,,,0,0,,,14,,,,0,0,0,,1,1,22
Argent ; brûlé,,,,,,,,,,,,,,,,,,,,,1,1,63124
Argent ; carragoux,Argent ; métal,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,2,22
Argent ; divers,Argent ; métal,6,6,0,,0,,,0,0,,,6,,,,0,0,0,,1,5,22
Argent ; en barres,,,,,,,,,,,,,,,,,,,,,1,1,63124
Argent ; en couvert,,,,,,,,,,,,,,,,,,,,,1,1,63124
Argent ; en feuilles,Argent ; métal,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,1,22
Argent ; en lingots,Argent ; métal,6,6,0,,0,,,0,0,,,3,,,,0,0,0,,1,11,22
Argent ; faux,Argent ; faux,6,6,0,,0,,,0,0,,,5,,,,0,0,0,,1,10,10
Argent ; fin,Argent ; métal,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,1,22
Argent ; or ; quadruples,Monnaie,9,9a,0,,0,,,0,0,,,3,,,,0,0,0,,1,3,251
Argent ; or ; sequins,Monnaie,9,9a,0,,0,,,0,0,,,9,,,,0,0,0,,1,1,251
Argent ; or ; sequins vénitiens,Monnaie,9,9a,0,,0,,,0,0,,,5,,,,0,0,0,,1,2,251
Argent ; paillettes,,,,,,,,,,,,,,,,,,,,,1,1,63124
Argent ; sequins,Monnaie,9,9a,0,,0,,,0,0,,,2,,,,0,0,0,,1,3,251
Argent ; talaris,Monnaie,9,9a,0,,0,,,0,0,,,4,,,,0,0,0,,1,4,251
Argent ; vif,Mercure,5,5,1,"Savary, volume 3, 1748 : Base du Sublimé « Préparation chimique dont la base est le mercure ou le vif d'argent ; il y en a de deux sortes, de corrosif et de doux. […] réduit en poudre il tire sur le jaune. Il est bon pour faire mourir les vers ",1,1,Quicksilver ou Argentum Vivum,1,0,,,22,,,,0,0,0,,1,331,361
Argent en barils,,,,,,,,,,,,,,,,,,,,,1,1,63124
Argent et or ; billon,,,,,,,,,,,,,,,,,,,,,1,1,63124
Argenterie,Argenterie et orfèvrerie,8,8,0,,0,,,0,0,,,6,,,,0,0,0,,1,491,667
Argenterie ; bagues,Argenterie et orfèvrerie,8,8,0,,0,,,0,0,,,,,,,0,0,0,,1,1,667
Argenterie ; boucle,Argenterie et orfèvrerie,8,8,0,,0,,,0,0,,,14,,,,0,0,0,,1,3,667
Argenterie ; croix,Argenterie et orfèvrerie,8,8,0,,0,,,0,0,,,1,,,,0,0,0,,1,3,667
Argenterie ; diverse,Argenterie et orfèvrerie,8,8,0,,0,,,0,0,,,1,,,,0,0,0,,1,41,667
Argenterie ; tabatières,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Argenterie ; épées,Argenterie et orfèvrerie,8,8,0,,0,,,0,0,,,0,,,,0,0,0,,1,7,667
Argenterie et bijouterie,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,6,63124
Argenterie et orfèvrerie,Argenterie et orfèvrerie,8,8,0,,0,,,0,0,,,8,,,,0,0,0,,1,121,667
Argenterie et orfèvrerie ; vermeil,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,37,63124
Argenterie ; en vaisselle,,,,,,,,,,,,,,,,,,,,,1,1,63124
Argenterie ; vieille,,,,,,,,,,,,,,,,,,,,,1,1,63124
Argent ; en lame,,,,,,,,,,,,,,,,,,,,,1,1,63124
Argent ; en matière,,,,,,,,,,,,,,,,,,,,,1,1,63124
Argent ; ouvré,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Argile,,,,,,,,,,,,,,,,,,,,,1,1,63124
