numrodeligne,dataentryby,sources,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
12,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Canelle,Marseille,Angleterre,"100,00",livres,"6,5000000","650,00","0,00",
13,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Capres,Marseille,Angleterre,"130,00",livres,"0,3000000","39,00","0,00",
14,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Chaises de paille,Marseille,Angleterre,"30,00",douzaines,"15,0000000","450,00","0,00",
15,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Chandelles,Marseille,Angleterre,"2 768,00",livres,"0,4500000","1 245,60","-0,60",
16,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Chanvre peigné,Marseille,Angleterre,"1 500,00",livres,"0,3600000","540,00","0,00",
17,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Chapeaux poil et laine,Marseille,Angleterre,"5,00",douzaines,"48,0000000","240,00","0,00",
18,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Cire blanche ouvrée,Marseille,Angleterre,"410,00",livres,"1,8000000","738,00","0,00",
19,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Citrons,Marseille,Angleterre,"6,00",milliers,"15,0000000","90,00","0,00",
20,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Coton en laine,Marseille,Angleterre,"20 070,00",livres,"1,0000000","20 070,00","0,00",
21,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Cumin,Marseille,Angleterre,"5 205,00",livres,"0,2000000","1 041,00","0,00",
22,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Eau de vie,Marseille,Angleterre,"193 110,00",livres,"0,1500000","28 966,50","-0,50",
23,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,1,1750,Exports,Fayence,Marseille,Angleterre,"2 500,00",livres,"0,5000000","1 250,00","0,00",
24,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Fer en barres,Marseille,Angleterre,"2 200,00",livres,"0,1800000","396,00","0,00",
25,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Galles,Marseille,Angleterre,"747,00",livres,"0,5000000","373,50","-0,50",
26,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Gerles de terre,Marseille,Angleterre,"100,00",pièces,"1,5000000","150,00","0,00",
27,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Geroffle,Marseille,Angleterre,"200,00",livres,"8,5000000","1 700,00","0,00",
28,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Huile d'olives fine,Marseille,Angleterre,"600,00",livres,"0,4000000","240,00","0,00",
29,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Huitres marinées,Marseille,Angleterre,"3 000,00",livres,"0,2000000","600,00","0,00",
30,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Indiennes,Marseille,Angleterre,"100,00",pièces,"12,0000000","1 200,00","0,00",
31,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Langues de porc salées,Marseille,Angleterre,"2 800,00",livres,"1,0000000","2 800,00","0,00",
32,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Liqueurs à boire,Marseille,Angleterre,"1 100,00",livres,"0,7500000","825,00","0,00",
33,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Lustres de Venise,Marseille,Angleterre,"400,00",livres,"1,5000000","600,00","0,00",
34,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Mercerie,Marseille,Angleterre,"300,00",livres,"3,5000000","1 050,00","0,00",
35,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Mouchoirs de soye,Marseille,Angleterre,"13,00",douzaines,"28,0000000","364,00","0,00",
36,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Noir de fumée,Marseille,Angleterre,"100,00",livres,"0,6000000","60,00","0,00",
37,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Olives,Marseille,Angleterre,"3 600,00",livres,"0,1500000","540,00","0,00",
38,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Ouate,Marseille,Angleterre,"125,00",livres,"1,5000000","187,50","-0,50",
39,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Papier a ecrire,Marseille,Angleterre,"966,00",rames,"6,0000000","5 796,00","0,00",
40,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Pipes à fumer,Marseille,Angleterre,"40,00",grosses,"3,0000000","120,00","0,00",
41,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Planches de sapin,Marseille,Angleterre,"100,00",douzaines,"10,0000000","1 000,00","0,00",
42,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Poissons salés,Marseille,Angleterre,"300,00",livres,"0,2500000","75,00","0,00",
43,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Savon madré,Marseille,Angleterre,"14 119,00",livres,"0,4000000","5 647,60","-0,60",
44,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Sirop de capilaire,Marseille,Angleterre,"100,00",livres,"1,0000000","100,00","0,00",
45,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Souffre,Marseille,Angleterre,"41 400,00",livres,"0,1500000","6 210,00","0,00",
46,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Sucre blanc,Marseille,Angleterre,"2 600,00",livres,"0,4500000","1 170,00","0,00",
47,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Sucre rafiné,Marseille,Angleterre,"7 989,00",livres,"0,6000000","4 793,40","-0,40",
48,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Tartre,Marseille,Angleterre,"3 425,00",livres,"0,2400000","822,00","0,00",
49,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Terraille,Marseille,Angleterre,"13 200,00",livres,"0,0700000","924,00","0,00",
50,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Thé,Marseille,Angleterre,"80,00",livres,"3,5000000","280,00","0,00",
51,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports, Toille blanche,Marseille,Angleterre,"200,00",livres,"4,0000000","800,00","0,00",
52,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Velours,Marseille,Angleterre,"2,00",pièces,"400,0000000","800,00","0,00",
53,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,2,1750,Exports,Vin rouge commun,Marseille,Angleterre,"33,00",milleroles,"8,0000000","264,00","0,00",
54,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Acier,Marseille,Espagne,"58 327,00",livres,"0,3500000","20 414,45","-0,45",
55,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Ajamis,Marseille,Espagne,"49 120,00",pièces,"9,0000000","442 080,00","0,00",
56,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Agaric,Marseille,Espagne,"50,00",livres,"1,0000000","50,00","0,00",
57,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Alun,Marseille,Espagne,"71 560,00",livres,"0,1200000","8 587,20","-0,20",
58,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Amadou,Marseille,Espagne,"4 734,00",livres,"0,7000000","3 313,80","-0,80",
59,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Amandes cassées,Marseille,Espagne,"4 800,00",livres,"0,2000000","960,00","0,00",
60,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Amidon,Marseille,Espagne,"3 365,00",livres,"0,2000000","673,00","0,00",
61,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Anis,Marseille,Espagne,"25,00",livres,"0,2000000","5,00","0,00",
62,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Antimoine,Marseille,Espagne,"500,00",livres,"0,1500000","75,00","0,00",
63,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Arcenic,Marseille,Espagne,"1 085,00",livres,"0,3000000","325,50","-0,50",
64,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Balais de palme,Marseille,Espagne,"17,00",douzaines,"0,9000000","15,30","-0,30",
65,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Baleine coupée,Marseille,Espagne,"652,00",livres,"5,0000000","3 260,00","0,00",
66,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Bas de coton,Marseille,Espagne,"3 346,00",livres,"5,0000000","16 730,00","0,00",
67,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Bas et bonnets de fil,Marseille,Espagne,"1 670,00",livres,"5,0000000","8 350,00","0,00",
68,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Bas de filozelle,Marseille,Espagne,"72 228,00",livres,"15,0000000","1 083 420,00","0,00",
69,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Bas de laine,Marseille,Espagne,"104 027,00",livres,"6,0000000","624 162,00","0,00",
70,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Bas de soye,Marseille,Espagne,"45 954,00",livres,"40,0000000","1 838 160,00","0,00",
71,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Batanonis,Marseille,Espagne,"774,00",pièces,"4,0000000","3 096,00","0,00",
72,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Bazin,Marseille,Espagne,"7 235,00",livres,"6,0000000","43 410,00","0,00",
73,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Bedelium,Marseille,Espagne,"100,00",livres,"1,1000000","110,00","0,00",
74,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Bœuf salé,Marseille,Espagne,"4 000,00",livres,"0,3000000","1 200,00","0,00",
75,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Biscuits de mer,Marseille,Espagne,"150,00",livres,"0,1200000","18,00","0,00",
76,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Bled froment,Marseille,Espagne,"52 184,00",charges,"25,0000000","1 304 600,00","0,00",
77,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Bois de campeche,Marseille,Espagne,"79 025,00",livres,"0,1600000","12 644,00","0,00",
78,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Bois de construction,Marseille,Espagne,"2 200,00",pièces,"30,0000000","66 000,00","0,00",
79,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,bois fustel,Marseille,Espagne,"34 550,00",livres,"0,0700000","2 418,50","-0,50",
80,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Bois de sandal moulu,Marseille,Espagne,"125,00",livres,"0,4000000","50,00","0,00",
81,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Bonnets de laine,Marseille,Espagne,"605,00",douzaines,"30,0000000","18 150,00","0,00",
82,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,3,1750,Exports,Borax,Marseille,Espagne,"300,00",livres,"12,0000000","3 600,00","0,00",
83,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Bourde,Marseille,Espagne,"6 000,00",livres,"0,0800000","480,00","0,00",
84,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Bours du Levant,Marseille,Espagne,"250,00",pièces,"6,0000000","1 500,00","0,00",
85,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Bourses a cheveux,Marseille,Espagne,"150,00",livres,"20,0000000","3 000,00","0,00",
86,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Bouteilles de verre,Marseille,Espagne,"10 549,00",livres,"0,2000000","2 109,80","-0,80",
87,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Bronze,Marseille,Espagne,"1 950,00",livres,"1,2500000","2 437,50","-0,50",
88,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Cacao,Marseille,Espagne,"185 401,00",livres,"1,4000000","259 561,40","-0,40",
89,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Caffé,Marseille,Espagne,"29 012,00",livres,"1,5000000","43 518,00","0,00",
90,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Caffetieres,Marseille,Espagne,"120,00",livres,"4,0000000","480,00","0,00",
91,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Callamande,Marseille,Espagne,"230,00",pièces,"70,0000000","16 100,00","0,00",
92,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Callamande,Marseille,Espagne,"17 414,00",livres,"3,0000000","52 242,00","0,00",
93,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Canefice,Marseille,Espagne,"309,00",livres,"0,3000000","92,70","-0,70",
94,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Canelle,Marseille,Espagne,"6 678,00",livres,"6,5000000","43 407,00","0,00",
95,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Cantarides,Marseille,Espagne,"200,00",livres,"4,0000000","800,00","0,00",
96,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Capots,Marseille,Espagne,"164,00",pièces,"9,0000000","1 476,00","0,00",
97,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Capots,Marseille,Espagne,"1 850,00",livres,"0,5000000","925,00","0,00",
98,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Capres,Marseille,Espagne,"5 320,00",livres,"0,3000000","1 596,00","0,00",
99,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Carreaux de marbre,Marseille,Espagne,"2,00",milliers,"400,0000000","800,00","0,00",
100,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Cartes a jouer,Marseille,Espagne,"2 663,00",grosses,"18,0000000","47 934,00","0,00",
101,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Cendre gravelée,Marseille,Espagne,"200,00",livres,"0,1400000","28,00","0,00",
102,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Cercles de bois,Marseille,Espagne,"35,00",milliers,"24,0000000","840,00","0,00",
103,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Ceruze,Marseille,Espagne,"2 075,00",livres,"0,2000000","415,00","0,00",
104,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Champignons,Marseille,Espagne,"284,00",livres,"2,0000000","568,00","0,00",
105,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Chandelles,Marseille,Espagne,"8 672,00",livres,"0,4500000","3 902,40","-0,40",
106,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Chanvre peigné,Marseille,Espagne,"80 850,00",livres,"0,3600000","29 106,00","0,00",
107,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,4,1750,Exports,Chapeaux de paille,Marseille,Espagne,"20,00",douzaines,"6,0000000","120,00","0,00",
