numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,destination,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte,
337,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Fils ; commun,,92,40,,,livres,11574,,,,,,0,
338,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,File ; à coudre,,53049,9069,,,livres,59661,59661,,,,,0,
339,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,File ; à coudre,,6054,1009,,,livres,59661,,,,,,0,
340,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,File ; à coudre,,288,48,,,livres,59661,,,,,,0,
341,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,File ; à coudre,,270,45,,,livres,59661,,,,,,0,
342,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,File ; à coudre,,60,10,,,livres,59661,,,,,,0,
343,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,File ; à voile,,69292,60160,,,livres,192695,192695,,,,,0,
344,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,File ; à voile,,96525,83931,,,livres,192695,,,,,Le pdf donne aussi la quantité en livres,0,
345,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,File ; à voile,,24790,21476,,,livres,192695,,,,,,0,
346,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,File ; à voile,,2088,1816,,,livres,192695,,,,,,0,
347,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,File ; à voile,,1169,1017,,,livres,192695,,,,,Le pdf donne aussi la quantité en livres,0,
348,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Fleur artificielles,,2410,,,,,4624,4624,,,,Le pdf donne aussi la quantité en livres,0,
349,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Fleur artificielles,,2214,,,,,4624,,,,,Le pdf donne aussi la quantité en livres,0,
350,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Fil de laiton,,1980,132,,,livres,1980,,,,,Le pdf donne aussi la quantité en livres,0,
351,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Fruits secs et a l'eau de vie ; divers,,3280,,,,,4203,4203,,,,Le pdf donne aussi la quantité en livres,0,
352,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Fruits secs et a l'eau de vie ; divers,,428,,,,,4203,,,,,Le pdf donne aussi la quantité en livres,0,
353,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Fruits secs et a l'eau de vie ; divers,,495,,,,,4203,,,,,Le pdf donne aussi la quantité en livres,0,
354,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Fruits secs et a l'eau de vie ; divers,,9,,,,,4203,,,,,Le pdf donne aussi la quantité en livres,0,
355,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Fruits secs et a l'eau de vie ; amandes cassées et en corps et prunes ???,,42910,174861,,,livres,57466,57466,,,,Le pdf donne aussi la quantité en livres,0,
356,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Fruits secs et a l'eau de vie ; amandes cassées et en corps et prunes ???,,8737,38173,,,livres,57466,,,,,Le pdf donne aussi la quantité en livres,0,
357,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Fruits secs et a l'eau de vie ; amandes cassées et en corps et prunes ???,,5753,25192,,,livres,57466,,,,,Le pdf donne aussi la quantité en livres,0,
358,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Fruits secs et a l'eau de vie ; amandes cassées et en corps et prunes ???,,66,300,,,livres,57466,,,,,Le pdf donne aussi la quantité en livres,0,
359,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Fruits secs et a l'eau de vie ; amandes cassées et en corps et prunes ???,,176,800,,,livres,57466,,,,,Le pdf donne aussi la quantité en livres,0,
360,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Fruits à l'eau de vie ; frais à l'eau de vie,,22042,11021,,,pots,33744,33744,,,,Le pdf donne aussi la quantité en livres,0,
361,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Fruits à l'eau de vie ; frais à l'eau de vie,,8178,4089,,,pots,33744,,,,,Le pdf donne aussi la quantité en livres,0,
362,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Fruits à l'eau de vie ; frais à l'eau de vie,,3240,1620,,,pots,33744,,,,,Le pdf donne aussi la quantité en livres,0,
363,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Fruits à l'eau de vie ; frais à l'eau de vie,,284,142,,,pots,33744,,,,,Le pdf donne aussi la quantité en livres,0,
364,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Fruits à l'eau de vie ; frais à l'eau de vie,,276,198,,,pots,33744,,,,,Le pdf donne aussi la quantité en livres,0,
365,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Futailles vides,,62573,7141,,,nombre,66869,66869,,,,,1,
366,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Futailles vides,,2370,325,,,nombre,66869,,,,,,2,
367,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Futailles vides,,1926,214,,,nombre,66869,,,,,Doute sur la marchandise / Le pdf donne aussi la quantité en livres,0,
368,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Futailles vides,,6082,3150,,,nombre,66869,,,,,Le pdf donne aussi la quantité en livres,0,
369,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Gants de peau,,8436,703,,,douzaines,16576,16576,,,,Le pdf donne aussi la quantité en livres,0,
370,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Gants de peau,,3076,248,,,douzaines,16576,,,,,Le pdf donne aussi la quantité en livres,0,
371,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Gants de peau,,4884,407,,,douzaines,16576,,,,,Le pdf donne aussi la quantité en livres,0,
372,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Gants de peau,,180,15,,,douzaines,16576,,,,,,0,
373,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Gants de peau,,72,6,,,douzaines,16576,,,,,,0,
374,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Gazes,,18414,,,,,36944,36944,,,,,0,
375,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Gazes,,14770,,,,,36944,,,,,,0,
376,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Gazes,,1440,,,,,36944,,,,,,0,
377,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Gazes,,2320,,,,,36944,,,,,,0,
378,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Gazes,,800,,,,,36944,,,,,,0,
379,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Glaces encadrées,,2000,,,,,3180,3380,,,,,0,
380,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Glaces encadrées,,1180,,,,,3180,,,,,,0,
381,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Glaces encadrées,,200,,,,,3180,,,,,,0,
382,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Graines de jardin,,4440,,,,,5730,5730,,,,,0,
383,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Graines de jardin,,904,,,,,5730,,,,,,0,
384,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Graines de jardin,,366,,,,,5730,,,,,,0,
385,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Graines de jardin,,20,,,,,5730,,,,,,0,
386,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Bardes diverses,,235609,,,,,284215,284215,,,,,0,
387,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Bardes diverses,,20304,,,,,284215,,,,,,0,
388,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Bardes diverses,,22582,,,,,284215,,,,,,0,
389,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Bardes diverses,,5720,,,,,284215,,,,,,0,
390,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Bardes diverses,,11657,,,,,284215,,,,,,0,
391,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Housse en drap et velours,,16260,,,,,17548,17548,,,,,1,
392,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Housse en drap et velours,,1288,,,,,17548,,,,,,2,
393,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Huile ; de lin ,,39724,79448,,,livres,50809,50809,,,,,0,
394,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Huile ; de lin ,,7865,15730,,,livres,50809,,,,,,0,
395,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Huile ; de lin ,,3120,6240,,,livres,50809,,,,,,0,
396,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Huile ; de lin ,,100,200,,,livres,50809,,,,,,0,
397,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Huile ; de lin ,,800,1600,,,livres,50809,,,,,,0,
398,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Huile ; d'olive,,355207,394676,,,livres,475245,475245,,,,,0,
399,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Huile ; d'olive,,68206,73563,,,livres,475245,,,,,,0,
400,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Huile ; d'olive,,48213,53570,,,livres,475245,,,,,,0,
401,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Huile ; d'olive,,3619,4022,,,livres,475245,,,,,,0,
402,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Huile ; d'olive,,7086,7874,,,livres,475245,,,,,,0,
403,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Jeux de voile ,,930000,155,,,nombre,1380000,1380000,,,,,0,
404,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Jeux de voile ,,270000,45,,,nombre,1380000,,,,,,0,
405,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Jeux de voile ,,156000,26,,,nombre,1380000,,,,,Le pdf donne aussi la quantité en nombres,0,
406,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Jeux de voile ,,24000,4,,,nombre,1380000,,,,,Le pdf donne aussi la quantité en nombres,0,
407,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Jeux de voile ,,90000,15,,,nombre,1380000,,,,,Le pdf donne aussi la quantité en nombres,0,
408,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Instruments ;  pour la pêche,,4274,,,,,7116,7116,,,,Le pdf donne aussi la quantité en nombres,0,
409,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Instruments ;  pour la pêche,,1682,,,,,7116,,,,,Le pdf donne aussi la quantité en nombres,0,
410,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Instruments ;  pour la pêche,,960,,,,,7116,,,,,Le pdf donne aussi la quantité en nombres,0,
411,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Instruments ;  pour la pêche,,200,,,,,7116,,,,,Le pdf donne aussi la quantité en nombres,0,
412,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Instruments ;  pour la pêche,,910,,,,,7116,,,,,,0,
413,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Instruments ;  de chirurgie ,,80,,,,,1430,1430,,,,,0,
414,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Instruments ;  de chirurgie ,,800,,,,,1430,,,,,,0,
415,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Instruments ;  de chirurgie ,,550,,,,,1430,,,,,,0,
416,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Instruments ;  de musique,,4138,,,,,6488,6488,,,,,0,
417,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Instruments ;  de musique,,1770,,,,,6488,,,,,,0,
418,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Instruments ;  de musique,,580,,,,,6488,,,,,,0,
419,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Jouet d'enfants,,2046,,,,,2086,2086,,,,,0,
420,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Jouet d'enfants,,40,,,,,2086,,,,,,0,
421,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Légumes ; divers,,54390,453250,,,livres,86060,86060,,,,,0,
422,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,4,Légumes ; divers,,22275,185625,,,livres,86060,,,,,,0,
423,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Légumes ; divers,,8150,68750,,,livres,86060,,,,,,0,
424,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,4,Légumes ; divers,,1245,10375,,,livres,86060,,,,,,0,
425,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Légumes ; divers,,6660,55500,,,livres,86060,,,,,,0,
426,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,4,Légumes ; pois et fèves,,14986,124890,,,livres,15082,15082,,,,,0,
427,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,4,Légumes ; pois et fèves,,96,805,,,livres,15082,,,,,,0,
428,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,4,Légumes ; pois et fèves,,24792,206600,,,livres,15082,,,,,,0,
429,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,5,Librairie,,22823,22823,,,volumes,29383,,,,,,0,
430,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,5,Librairie,,4650,4650,,,volumes,29383,,,,,Le pdf donne aussi la quantité en nombres,0,
431,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,5,Librairie,,1780,1780,,,volumes,29383,,,,,Le pdf donne aussi la quantité en nombres,0,
432,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,5,Librairie,,130,130,,,volumes,29383,,,,,Le pdf donne aussi la quantité en nombres,0,
433,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,5,Liège en bouchons,,41188,5884,,,nombre,46347,,,,,Le pdf donne aussi la quantité en nombres,0,
434,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,5,Liège en bouchons,,2345,335,,,nombre,46347,,,,,,0,
435,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,5,Liège en bouchons,,2324,332,,,nombre,46347,,,,,,0,
436,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,5,Liège en bouchons,,490,70,,,nombre,46347,,,,,Le pdf donne aussi la quantité en nombres,0,
437,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,5,Liège en bouchons,,679,97,,,nombre,46347,,,,,Le pdf donne aussi la quantité en nombres,0,
438,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,5,Lingerie ; chemises diverses,,360732,36914,,,nombre,395333,,,,,Le pdf donne aussi la quantité en nombres,0,
439,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,5,Lingerie ; chemises diverses,,20259,2331,,,nombre,395333,,,,,Le pdf donne aussi la quantité en nombres,0,
440,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,5,Lingerie ; chemises diverses,,10062,955,,,nombre,395333,,,,,Le pdf donne aussi la quantité en nombres,0,
441,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,5,Lingerie ; chemises diverses,,4280,437,,,nombre,395333,,,,,Le pdf donne aussi la quantité en nombres,0,
442,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,5,Lingerie ; chemises diverses,,1652,316,,,nombre,395333,,,,,Le pdf donne aussi la quantité en nombres,0,
443,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,5,Lingerie ; linge de table,,55397,,,,,58417,,,,,Le pdf donne aussi la quantité en nombres,0,
444,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,5,Lingerie ; linge de table,,1288,,,,,58417,,,,,,0,
445,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,5,Lingerie ; linge de table,,1732,,,,,58417,,,,,,0,
446,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,5,Lingerie ; linge de table,,1696,,,,,58417,,,,,,0,
447,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,5,Liqueurs au fiasque ; divers  ,,140667,348,,,muids,188071,,,,,,1,
448,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,5,Liqueurs au fiasque ; divers  ,,140667,29,,,pintes,188071,,,,,,2,
449,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,5,Liqueurs au fiasque ; divers  ,,37856,93,,,muids,188071,,,,,,1,
450,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,5,Liqueurs au fiasque ; divers  ,,37856,256,,,pintes,188071,,,,,,2,
451,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,5,Liqueurs au fiasque ; divers  ,,8848,21,,,muids,188071,,,,,,1,
452,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,5,Liqueurs au fiasque ; divers  ,,8848,272,,,pintes,188071,,,,,,2,
453,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,5,Liqueurs au fiasque ; divers  ,,700,1,,,muids,188071,,,,,,1,
454,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,5,Liqueurs au fiasque ; divers  ,,700,212,,,pintes,188071,,,,,,2,
455,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,5,Liqueurs au fiasque ; divers  ,,6230,15,,,muids,188071,,,,,,1,
456,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,5,Liqueurs au fiasque ; divers  ,,6230,130,,,pintes,188071,,,,,,2,
457,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,5,Liqueurs au fiasque ; anisette ,,84696,210,,,muids,115279,,,,,,0,
458,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,5,Liqueurs au fiasque ; anisette ,,84696,47,,,pintes,115279,,,,,,0,
459,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,5,Liqueurs au fiasque ; anisette ,,17157,42,,,muids,115279,,,,,,0,
460,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,5,Liqueurs au fiasque ; anisette ,,17157,159,,,pintes,115279,,,,,,0,
461,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,5,Liqueurs au fiasque ; anisette ,,12201,30,,,muids,115279,,,,,,0,
462,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,5,Liqueurs au fiasque ; anisette ,,12201,75,,,pintes,115279,,,,,,0,
463,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,5,Liqueurs au fiasque ; anisette ,,1225,3,,,muids,115279,,,,,,0,
464,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,5,Liqueurs au fiasque ; anisette ,,1225,11,,,pintes,115279,,,,,,0,
465,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,5,Liqueurs au fiasque ; anisette ,,6839,16,,,muids,115279,,,,,,0,
466,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,5,Liqueurs au fiasque ; anisette ,,6839,277,,,pintes,115279,,,,,,0,
467,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,5,Liqueurs au fiasque ; anisette ,,287,478,,,livres,,,,,,,0,
468,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,5,Liqueurs au fiasque ; sirop d'orgeat,,674,281,,,livres,786,,,,,,0,
469,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,5,Liqueurs au fiasque ; sirop d'orgeat,,27,64,,,livres,786,,,,,,0,
470,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,5,Liqueurs au fiasque ; sirop d'orgeat,,48,20,,,livres,786,,,,,,0,
471,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,5,Liqueurs au fiasque ; sirop d'orgeat,,360,150,,,livres,786,,,,,,0,
472,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,5,Marchandises diverses à la valeur,,32783,,,,,40519,,,,,,0,
473,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,5,Marchandises diverses à la valeur,,4333,,,,,40519,,,,,,0,
474,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,5,Marchandises diverses à la valeur,,3383,,,,,40519,,,,,,0,
475,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,5,Marchandises diverses à la valeur,,20,,,,,40519,,,,,,0,
476,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,5,Marchandises diverses à la valeur,,6397,,,,,40519,,,,,,0,
477,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,5,Mèches,,20010,3402,,,livres,5001,,,,,,0,
478,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,5,Mèches,,996,5860,,,livres,5001,,,,,,0,
479,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,5,Mèches,,532,3072,,,livres,5001,,,,,,0,
480,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,5,Mèches,,81,480,,,livres,5001,,,,,,0,
481,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,5,Mèches,,306,1800,,,livres,5001,,,,,,0,
482,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,5,Mercerie mêlée,,52250,34834,,,livres,63815,,,,,,0,
483,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,5,Mercerie mêlée,,7156,4771,,,livres,63815,,,,,,0,
484,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,5,Mercerie mêlée,,2834,1890,,,livres,63815,,,,,,0,
485,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,5,Mercerie mêlée,,1576,1050,,,livres,63815,,,,,,0,
486,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,5,Mercerie mêlée,,23498,15666,,,livres,63815,,,,,,0,
487,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,5,Meubles,,48924,,,,,62903,,,,,,0,
488,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,5,Meubles,,5772,,,,,62903,,,,,,0,
489,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,5,Meubles,,7091,,,,,62903,,,,,,0,
490,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,5,Meubles,,1116,,,,,62903,,,,,,0,
491,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,5,Meubles,,1300,,,,,62903,,,,,Le pdf donne aussi la quantité en livres,0,
492,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,5,Meubles à taillandiers,,873,291,,,nombre,1050,,,,,,0,
493,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,5,Meubles à taillandiers,,177,59,,,nombre,1050,,,,,,0,
494,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,5,Meubles à taillandiers,,24,8,,,nombre,1050,,,,,,0,
495,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,5,Mouchoirs ; de coton de L'Inde,,430920,7182,,,douzaines,488040,,,,,Le pdf donne aussi la quantité en livres,0,
496,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,5,Mouchoirs ; de coton de L'Inde,,25740,429,,,douzaines,488040,,,,,Le pdf donne aussi la quantité en livres,0,
497,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,5,Mouchoirs ; de coton de L'Inde,,28860,481,,,douzaines,488040,,,,,Le pdf donne aussi la quantité en livres,0,
