numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,destination,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte,
103,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Chapeaux ; à nègres,,72,72,,,nombre,3234,,,,,,Le pdf donne aussi la quantité en livres,0
104,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Chapeaux ; à nègres,,252,252,,,nombre,3234,,,,,,Le pdf donne aussi la quantité en livres,0
105,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Chapeaux ; de paille,,9504,198,,,douzaines,11640,11640,,,,,Le pdf donne aussi la quantité en livres,0
106,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Chapeaux ; de paille,,648,"13,5",,,douzaines,11640,,,,,,Le pdf donne aussi la quantité en livres,0
107,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Chapeaux ; de paille,,1008,21,,,douzaines,11640,,,,,,Le pdf donne aussi la quantité en livres,0
108,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,2,Chapeaux ; de paille,,480,10,,,douzaines,11640,,,,,,Le pdf donne aussi la quantité en livres,0
109,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Charbon de terre,,5040,336000,,,livres,5580,5400,,,,,0,
110,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Charbon de terre,,360,24000,,,livres,5580,,,,,,0,
111,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Charbon de terre,,6120,408000,,,livres,5580,,,,,,0,
112,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Cire en bougie ,,143604,52465,,,livres,163981,163981,,,,,0,
113,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Cire en bougie ,,12609,4626,,,livres,163981,,,,,Le pdf donne aussi la quantité en livres,0,
114,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Cire en bougie ,,6891,2499,,,livres,163981,,,,,Le pdf donne aussi la quantité en livres,0,
115,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,2,Cire en bougie ,,877,325,,,livres,163981,,,,,Le pdf donne aussi la quantité en livres,0,
116,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Cire en bougie ,,1377,510,,,livres,163981,,,,,Le pdf donne aussi la quantité en livres,0,
117,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,2,Coffres de chirurgie,,31200,156,,,nombre,45800,45800,,,,Le pdf donne aussi la quantité en livres,0,
118,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,2,Coffres de chirurgie,,9000,48,,,nombre,45800,,,,,,0,
119,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,2,Coffres de chirurgie,,4800,24,,,nombre,45800,,,,,,0,
120,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,2,Coffres de chirurgie,,800,4,,,nombre,45800,,,,,,0,
121,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,2,Coffres de chirurgie,,3000,15,,,nombre,45800,,,,,,0,
122,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Comestibles ; divers,,147455,,,,,207920,207920,,,,,,0
123,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Comestibles ; divers,,34269,,,,,207920,,,,,,,0
124,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Comestibles ; divers,,23514,,,,,207920,,,,,,,0
125,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Comestibles ; divers,,2682,,,,,207920,,,,,,,0
126,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Comestibles ; divers,,11326,,,,,207920,,,,,,,0
127,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Comestibles ; beurre salé,,253614,572692,,,livres,399746,399746,,,,,,0
128,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Comestibles ; beurre salé,,74287,123813,,,livres,399746,,,,,,,0
129,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Comestibles ; beurre salé,,67906,113177,,,livres,399746,,,,,,,0
130,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Comestibles ; beurre salé,,3939,6566,,,livres,399746,,,,,,,0
131,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Comestibles ; beurre salé,,8084,13477,,,livres,399746,,,,,,,0
132,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Comestibles ; bierre,,120762,1657,,,muids,132464,132464,,,,,,1
133,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Comestibles ; bierre,,120762,184,,,pintes ,132464,,,,,,,2
134,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Comestibles ; bierre,,120762,2695,,,bouteilles,132464,,,,,,,2
135,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Comestibles ; bierre,,8952,124,,,muids,132464,,,,,,,1
136,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Comestibles ; bierre,,8952,96,,,pintes,132464,,,,,,,2
137,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Comestibles ; bierre,,1550,21,,,muids,132464,,,,,,,1
138,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Comestibles ; bierre,,1560,152,,,pintes,132464,,,,,,,2
139,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Comestibles ; bierre,,1200,16,,,muids,132464,,,,,,,1
140,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Comestibles ; bierre,,1200,192,,,pintes,132464,,,,,,,2
141,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Comestibles ; bierre,,2191,11,,,muids,132464,,,,,,,1
