product,orthographic,note,sourceFR,sourceFR_nbr,sourceBEL,sourceBEL_nbr,sourceSUND,sourceSUND_nbr,sourceNAVIGO_nbr,_merge,sourceNAVIGO
Fer travaillé et clous,fer travaillé et cloux,,,,,,,,71,Using only (2),1
"Fer travaillé et clous, fer en barre","fer travaillé, fer en barre et cloux",,,,,,,,1,Using only (2),1
Fer-Blanc,fer blanc,,,,,,,,20,Using only (2),1
Feuillards (restes de),feuillard,,,,,,,,1,Using only (2),1
Feuillure,entaille,,,,,,,,1,Using only (2),1
Filet d' espart,filets d' espart,,,,,,,,5,Using only (2),1
Filets d' Espart,filets d' espart,,,,,,,,2,Using only (2),1
Filets d' espart,filets d' espart,,,,,,,,47,Using only (2),1
Filets d' esparts,filets d' espart,,,,,,,,5,Using only (2),1
Fine fleur de farine,farine fine,,,,,,,,1,Using only (2),1
Finir sa cargaison,pour compléter son chargement,,,,,,,,1,Using only (2),1
Finir sa cargaison [Marchandises],pour compléter son chargement,,,,,,,,2,Using only (2),1
Finir son chargement,pour compléter son chargement,,,,,,,,2,Using only (2),1
Finir son desarmement,finir le désarmement,,,,,,,,1,Using only (2),1
Finir son déchargement,finir le déchargement,,,,,,,,1,Using only (2),1
Finir son désarmement,finir le désarmement,,,,,,,,1,Using only (2),1
Fleur de Cannelle,cannelle,,,,,,,,1,Using only (2),1
Fleur de froment,farine fine,,,,,,,,1,Using only (2),1
Formage,fromage,,,,,,,,1,Using only (2),1
Forte piano,piano,,,,,,,,1,Using only (2),1
Fromage d' Hollande,fromage (hollande),,,,,,,,1,Using only (2),1
Fruits Frais,fruits frais,,,,,,,,2,Using only (2),1
Futailles Vides,"tonneaux vides, futailles vides",,,,,,,,22,Using only (2),1
Futs Vides,"tonneaux vides, futailles vides",,,,,,,,1,Using only (2),1
Futs vide,"tonneaux vides, futailles vides",,,,,,,,3,Using only (2),1
Fûts de Nantes,"tonneaux vides, futailles vides",,,,,,,,1,Using only (2),1
Galetaire,velour,,,,,,,,1,Using only (2),1
Gallea,galle,,,,,,,,1,Using only (2),1
Graines pour la teinture,graine pour teinture,,,,,,,,1,Using only (2),1
Graisse de bœuf,graisse de boeuf,,,,,,,,2,Using only (2),1
Gros Millet,sorgho,,,,,,,,12,Using only (2),1
Gros et petit millet,céréales,,,,,,,,1,Using only (2),1
Guines bleu,tissu guinée (bleu),,,,,,,,1,Using only (2),1
Guiné blanche,tissu guinée (blanc),,,,,,,,1,Using only (2),1
Guiné bleu,tissu guinée (bleu),,,,,,,,2,Using only (2),1
Guinée bleuever,tissu guinée (bleu),,,,,,,,1,Using only (2),1
Guinée bleus,tissu guinée (bleu),,,,,,,,1,Using only (2),1
Guinée en bleuver,tissu guinée (bleu),,,,,,,,1,Using only (2),1
Gurence,alizari,,,,,,,,1,Using only (2),1
Harans [Harengs],hareng,,,,,,,,1,Using only (2),1
Hardes à usage,hardes,,,,,,,,4,Using only (2),1
Harens,hareng,,,,,,,,1,Using only (2),1
Homme,homme,,,,,,,,1,Using only (2),1
Homme d' équipage,membre de l' équipage,,,,,,,,1,Using only (2),1
Huiile,huile,,,,,,,,1,Using only (2),1
Huile d' olive,huile d' olive,,,,,,,,4,Using only (2),1
Huile de sardine,huile de poisson,,,,,,,,3,Using only (2),1
Huile de sardine pressée,sardine préssée,,,,,,,,2,Using only (2),1
Huile thérebentine,térébenthine (huile),,,,,,,,1,Using only (2),1
Huître,huitres,,,,,,,,1,Using only (2),1
Imprimerie,effets,,,,,,,,1,Using only (2),1
Impériale,tissu de soie,,,,,,,,1,Using only (2),1
J[$],pierres,,,,,,,,1,Using only (2),1
Jarres et Dame-jeanes,jarres et dame-jeanne,,,,,,,,58,Using only (2),1
Jarres et dame-jeanes,jarres et dame-jeanne,,,,,,,,3,Using only (2),1
Laist [lest],lest,,,,,,,,1,Using only (2),1
Lait [lest],lest,,,,,,,,1,Using only (2),1
Last [lest],lest,,,,,,,,1,Using only (2),1
Le restant de son chargement en bois sapin,sapin,,,,,,,,1,Using only (2),1
Le reste de chargement,"divers, assortiment",,,,,,,,1,Using only (2),1
Lest de cendres,cendres,,,,,,,,1,Using only (2),1
Lest de cuirs,cuir,,,,,,,,1,Using only (2),1
Lest de vin,vin,,,,,,,,1,Using only (2),1
Lest en futailles vides,"tonneaux vides, futailles vides",,,,,,,,1,Using only (2),1
Lest en tuiles,tuile,,,,,,,,1,Using only (2),1
Lesté en poudre,poudre,,,,,,,,1,Using only (2),1
Lesté en sardines,sardine,,,,,,,,1,Using only (2),1
Lignes de pêche,effets de pêche,,,,,,,,2,Using only (2),1
Lignes et filets pour la pêche,effets de pêche,,,,,,,,17,Using only (2),1
Linge usagé,"vieux effets, vieux linge",,,,,,,,1,Using only (2),1
"Liqueurs, sirops ou vins étrangers","liqueurs, sirops ou vins (étranger)",,,,,,,,91,Using only (2),1
Lit anglais,lit (anglais),,,,,,,,1,Using only (2),1
"Livres, estampes et papiers","livres, estampes et papier",,,,,,,,89,Using only (2),1
Lièges,liège,,,,,,,,2,Using only (2),1
Mannequins vides,panier (vide),,,,,,,,1,Using only (2),1
Marain,goudron,,,,,,,,1,Using only (2),1
Marc d' olive,"grignons, marc d' olive",,,,,,,,183,Using only (2),1
Marchandise de la foire de Beaucaire,"divers, assortiment (foire de beaucaire)",,,,,,,,1,Using only (2),1
Marchandises anglaises,"divers, assortiment (anglais)",,,,,,,,1,Using only (2),1
Marchandises de l' Inde,"divers, assortiment",,,,,,,,1,Using only (2),1
Marchandises de l' inde,"divers, assortiment",,,,,,,,1,Using only (2),1
Marchandises de la Foire de Beaucaire,"divers, assortiment (foire de beaucaire)",,,,,,,,1,Using only (2),1
Marchandises de la foire de Beaucaire,"divers, assortiment (foire de beaucaire)",,,,,,,,40,Using only (2),1
Marchandises des Indes,"divers, assortiment",,,,,,,,2,Using only (2),1
Marchandises pour la foire de Beaucaire,"divers, assortiment (foire de beaucaire)",,,,,,,,2,Using only (2),1
Marchandiss,"divers, assortiment",,,,,,,,1,Using only (2),1
Marins digrâciés,passager (marin disgrâcié),,,,,,,,1,Using only (2),1
Marrains [merrain],merrain,,,,,,,,1,Using only (2),1
Marrein [merrain],merrain,,,,,,,,1,Using only (2),1
Marroquins et peaux tannées,maroquin et peau tannés,,,,,,,,67,Using only (2),1
Marroquins et peaux tannéesMortiers de marbre,maroquin et peau tannés,,,,,,,,1,Using only (2),1
Matelots disgrâciés,passager (marin disgrâcié),,,,,,,,1,Using only (2),1
"Merceries, quincailles et armes à feu","mercerie, quincaille et arme à feu",,,,,,,,100,Using only (2),1
Merlus salés,morue,,,,,,,,1,Using only (2),1
Meule,meule de moulin,,,,,,,,1,Using only (2),1
Miel vert,miel vert,,,,,,,,1,Using only (2),1
Morues et stockfichs,morue et stockfisch,,,,,,,,4,Using only (2),1
Mouchoir,mouchoir,,,,,,,,11,Using only (2),1
Mouchoir Masulipatan,mouchoir (indien),,,,,,,,1,Using only (2),1
Mouchoir de Cholet,mouchoir (cholet),,,,,,,,1,Using only (2),1
Mouchoir de l' Inde,mouchoir (indien),,,,,,,,1,Using only (2),1
Mouchoir masulipatan,mouchoir (indien),,,,,,,,1,Using only (2),1
"Mouchoirs Mousselines, et toiles de coton","mouchoir, mousseline et toile de coton",,,,,,,,1,Using only (2),1
Mouchoirs chollet,mouchoir (cholet),,,,,,,,1,Using only (2),1
"Mouchoirs, Mousselines et toiles de coton","mouchoir, mousseline et toile de coton",,,,,,,,1,Using only (2),1
"Mouchoirs, Mousselines, et toiles de coton","mouchoir, mousseline et toile de coton",,,,,,,,27,Using only (2),1
"Mouchoirs, mousselines et toiles de coton","mouchoir, mousseline et toile de coton",,,,,,,,10,Using only (2),1
"MouchoirsMousselines, et toiles de coton","mouchoir, mousseline et toile de coton",,,,,,,,3,Using only (2),1
"Moulha Cassen, passager",passager,,,,,,,,1,Using only (2),1
"Mousselines, et toiles de coton",mousseline et toile de coton,,,,,,,,4,Using only (2),1
"Mousselines, toiles de coton, mouchoirs et batifles","mousseline, toile de coton, mouchoir et batiste",,,,,,,,12,Using only (2),1
"Mousselines, toiles de coton, mouchoirs et batistes","mousseline, toile de coton, mouchoir et batiste",,,,,,,,5,Using only (2),1
Moutardieres de terre anglaises,moutardière (poterie anglaise),,,,,,,,1,Using only (2),1
Necaneasse,neganepeaux,,,,,,,,1,Using only (2),1
Negaue paux,neganepeaux,,,,,,,,1,Using only (2),1
Orge de retour,orge (de retour),,,,,,,,1,Using only (2),1
Others,autre,,,,,,,,2,Using only (2),1
Ouvrage de fils,ouvrage de fils,,,,,,,,1,Using only (2),1
PIns de construction,bois de construction,,,,,,,,1,Using only (2),1
Pacotilles,"divers, assortiment",,,,,,,,1,Using only (2),1
Panier,panier,,,,,,,,1,Using only (2),1
Parfumeries et Gants de peau,parfumeries et gants de peau,,,,,,,,1,Using only (2),1
Parfumeries et gants de peau,parfumeries et gants de peau,,,,,,,,99,Using only (2),1
Parfumeries et gants de peaux,parfumeries et gants de peau,,,,,,,,1,Using only (2),1
Partie de son chargement,partie de la cargaison,,,,,,,,1,Using only (2),1
Passagers [marins disgrâciés des vaisseaux du Roy],passager,,,,,,,,1,Using only (2),1
Passagers [marins disgrâciés],passager,,,,,,,,3,Using only (2),1
Passagers disgrâciés,passager,,,,,,,,1,Using only (2),1
Passagers prisonniers françois,passager (prisonnier),,,,,,,,1,Using only (2),1
Passagers turcs,passager,,,,,,,,1,Using only (2),1
Passagère,passager,,,,,,,,1,Using only (2),1
Passengers,passager,,,,,,,,1,Using only (2),1
Peaux de martres et loutres,peau (martre et loutre),,,,,,,,1,Using only (2),1
Peaux de veau en poils,peau de veau en poil,,,,,,,,1,Using only (2),1
Peinture assortie,peinture (assortie),,,,,,,,1,Using only (2),1
Petit Millet,millet,,,,,,,,7,Using only (2),1
Petit baril vide,petit baril (vide),,,,,,,,1,Using only (2),1
Petit miller,millet,,,,,,,,1,Using only (2),1
Piano forté,piano,,,,,,,,1,Using only (2),1
Pierres (restes de),pierre (reste de),,,,,,,,1,Using only (2),1
Pierres de tailles pour son lest,pierres,,,,,,,,1,Using only (2),1
Pierres à pavé,pavés de pierre,,,,,,,,1,Using only (2),1
Pin,pin,,,,,,,,689,Using only (2),1
Pins,pin,,,,,,,,2,Using only (2),1
Pins construction,bois de construction,,,,,,,,1,Using only (2),1
Pins de construction,bois de construction,,,,,,,,6,Using only (2),1
Pièce vide,récipient (vide),,,,,,,,1,Using only (2),1
Pièces de Toillerie,toile,,,,,,,,1,Using only (2),1
Pièces vides,récipient (vide),,,,,,,,1,Using only (2),1
Plat de terre anglais,plat (poterie anglais),,,,,,,,1,Using only (2),1
Plateau,plateau,,,,,,,,1,Using only (2),1
Plomb ou grenaille,plombs de chasse,,,,,,,,31,Using only (2),1
Pluieurs marchandises,"divers, assortiment",,,,,,,,1,Using only (2),1
