"marchandises","nbr_occurences_navigo_G5"
"Pêche du poisson frais",75
"Pêche fraiche",22
"Pêche fraîche",31
"Pêche fraîche annuelle",1
"Pêche salée",2
"Pelleteries",1
"Perche à faire des chaises",1
"Perches pour faire des chaises",1
"Petit millet",1
"Pièces de [Illisible]",1
"Pierre",52
"Pierre à bâtir",7
"Pierre à chaux",2
"Pierre ardoise",1
"Pierre de taille",1
"Pierres",50
"Pierres [pour la rade]",6
"Pierres à bâtir",3
"Pierres à chaux",118
"Pierres à faire chaux",1
"Pierres calcaires",1
"Pierres de chaux",2
"Pierres de construction",1
"Pierres de marbre",1
"Pierres de taille",3
"Pierres pour la fortification de la rade",1
"Pierres pour la rade",133
"Pierres pour les fortifications",2
"Pierres pour les travaux du havre",3
"Pierres pour les travaux du roi",2
"Pierres taillandiere",1
"Pierret à taillandier",1
"Pillets de frêne",1
"Planche",11
"Planches",256
"Planches de liège",1
"Planches de sapin",1
"Plomb",10
"Plomb Laminé",1
"Plume",1
"Plumes",2
"Poids",1
"Poires",2
"Pois",2
"Pois verts",1
"Poisson",6
"Poisson sec",1
"Poivre",1
"Poix",2
"Pommes",2
"Pommes de terre",2
"Porcs",1
"Poste",1
"Poste royale",1
"Potasse",3
"Poterie",14
"poterie d'orient",1
"Poteries",3
"pots de fer",8
"Potterie",2
"Potteries",11
"Poudre",2
"Poudre à feu",3
"Poudres feu",1
"Pour  la pêche à la morue",1
"Pour faire du cabotage",4
"Pour faire du commerce [cabotage]",5
"pour faire la pêche",2
"Pour la pêche à la morue",6
"Pour le service du Roy [Poste royale]",13
"prune",15
"Prunes",2
"Prunes ",51
"Quelques effets",2
"Quelques marchandises",1
"Quincaillerie",3
"Quincailleries",1
"Raisin",2
"Raisin ",1
"Raisins",2
"Raphia",1
"Ras de Sel",2
"Réglisse",20
"Resine",1
"Résine",177
"Résine, bray, goudron",1
"Restant de beurre",1
"Restant de boeure [beurre]",1
"Restant de chargement",1
"Restant de marchandises",1
"Restant de sa cargaison",1
"Restant de ses marchandises",1
"Restant de son chargement",3
"Restant de vin",4
"Restants de sel de sa cargaison",1
"Reste de beurre",1
"Reste de cargaison",21
"reste de futaille",1
"Reste de marchandises",26
"Reste de sa cargaison",1
"Reste de sel de sa cargaison",1
"Reste de sel de sa pêche",1
"Reste de son chargeme,t",1
"Reste de son chargement",161
"Reste de son chargement ",17
"Reste de son chargement de fer",1
"Reste de son chargement de planches",1
"Reste du chargement",4
"Rhum",1
"Ris",3
"Riz",2
"Rogue",3
"Rogues de poisson",1
"Sabots",2
"Safran",1
"salaison",3
"Salaisons",7
"Saligot",1
"Salmon",1
"Sandre [Cendre]",1
"Sandre [Cendres]",1
"Sardine",1
"Sardine préssée",1
"Sardines",14
"Sardines salées",2
"Saudre [Cendre]",1
"Saumac",1
"Saumon",2
"Savon",29
"Sègle",1
"Seigle",32
"Sel",2544
"Sel ",11
"Sel (Sables d'Olonne)",1
"Sel en lest",1
"Sel en tonnes",27
"Sendre [Cendre]",1
"Service de gardecote",3
"Service du roi",3
"Ses filets",29
"Ses filets [de pêche]",2
"Sirop",24
"Son",1
"Son lest",9
"Soude",60
"Soude de varec",4
"Soude ou Cendre de goemon",1
"Soudre [Cendre]",1
"Sucre",410
"Sucres",4
"Suif",2
"Sumac",1
"Sur lest",10
"Sur son lest",23
"Surplus de son chargement",1
"Tabac",87
"Tabac ",1
"Tabac en poudre",1
"Taffia",13
"Térébenthine",2
"Terrale",1
"terre",2
"Terre à pipe",1
"Terre de Broca",1
"Terre de Brone",1
"Terre de broue",6
"Terre de pipe",1
"Thé",60
"Tobacco",54
"Toile",67
"Toile ",2
"Toile à voile",1
"Toile de Bretagne",1
"Toileries",2
"Toiles",11
"Toiles de Bretagne",1
"Tolle",1
"Trafiquer",123
"Travaux de la rade",153
"Travaux de la rade du roi",5
"Travaux du havre",3
"Travaux pour la rade",1
"Tripoly",1
"Troupes",5
"tuile",21
"Tuiles",4
"tuilles",4
"Turbe",2
"Usentiles de pêche",1
"Ustensile de pêche",1
"Ustensiles",16
"Ustensiles [de pêche]",45
"Ustensiles de pêche",60
"Ustensiles de pêche de la morue verte",1
"Ustensiles de pêches",1
"Ustensiles nécessaires à la pêche à la morue",1
"Ustensiles nécessaires pour la pêche à la morue",1
"Ustensiles pour la pêche",22
"Ustensiles pour la pêche à la morue verte",1
"Ustiles de pêches",1
"Vaches",6
"Vaches vivantes",1
"Varec",2
"Védasse",1
"Verre",1
"Vers",1
"Vide",262
"Vieux canons",2
"Vieux cuivre",1
"Vieux fer",1
"Vieux filets",1
"Vieux gréement de navire",1
"Vin",1955
"Vin ",5
"vin à Blaye",1
"vin à Bourg",1
"Vin blanc",2
"Vin de Bordeaux",1
"Vin d'Espagne",1
"Vinaigre",18
"Vinaterie",17
"Vins",14
"Vives pour la pêche aux moules",1
"Vivres",66
"Vivres pour la pêche au poisson frais",3
"Vivres pour la pêche aux moules",27
"Vivres pour pêche à la morue",3
"Volailles",8
"Wine",2
"xxx",222
"(empty)",
"Total Result",22941
