numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,problème,remarks,doubleaccounts
15,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,,Angleterre,110,550,douelles,.2,0,,0
16,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Merrain à Pipes,Angleterre,20,200,douelles,.1,0,,0
17,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Merrain a quarts,Angleterre,300,2.5,tonneaux,120,0,,0
18,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Planches de Sapin,Angleterre,832,1040,en nombre,.8,0,prix divisé par cent,0
19,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Pelles de Bois,Angleterre,595,1700,en nombre,.35,0,,0
20,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Suif,Angleterre,19078.5,54510,livres,.35,0,,0
21,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Savon,Angleterre,96.25,275,livres,.35,0,,0
22,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Beurre,Hollande,460,920,livres,.5,0,,0
23,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Bière,Hollande,630,42,barriques,15,0,,0
24,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Cannelle,Hollande,721,103,livres,7,0,,0
25,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,drogueur d'apothicaire,Hollande,4500,500,livres,9,0,,0
26,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Fromage,Hollande,28830,96100,livres,.3,0,,0
27,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Girofle,Hollande,2400,300,livres,8,0,,0
28,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Harans blanc,Hollande,5786,263,Barils,22,0,,0
29,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Jambon,Hollande,20,40,livres,.5,0,,0
30,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Jus de Réglise,Hollande,8,20,livres,.4,0,,0
31,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Muscade,Hollande,2345,335,livres,7,0,,0
32,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Poivre,Hollande,5375,4300,livres,1.25,0,,0
33,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Raisin Sec,Hollande,4000,20000,livres,.2,0,,0
34,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Argent Vif,Hollande,108,18,livres,6,0,,0
35,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Acier,Hollande,40,200,livres,.2,0,,0
36,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Azur commun,Hollande,550,1100,livres,.5,0,,0
37,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Amidon,Hollande,1688,8440,livres,.2,0,,0
38,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Baleine coupée,Hollande,7700,3080,livres,2.5,0,,0
39,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Bois du BR...SIL,Hollande,1400,2000,livres,.7,0,,0
40,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Bois de Campêche,Hollande,3546,23640,livres,.15,0,,0
41,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Bois de Sapin,Hollande,175,3500,livres,.05,0,,0
42,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Bois Jaune,Hollande,40,800,livres,.05,0,,0
43,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Barriques en Bottes,Hollande,312.5,250,en nombre,1.25,0,,0
44,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Bourre de Bœuf,Hollande,660,6600,livres,.1,0,,0
45,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Bol,Hollande,1,10,livres,.1,0,,0
46,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Cuivre en Plaques,Hollande,875,625,livres,1.4,0,,0
47,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Cuivre en Mitraille,Hollande,1250,2500,livres,.5,0,,0
48,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,couperose,Hollande,7333.5,97780,livres,.075,0,,0
49,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Céruse,Hollande,160,800,livres,.2,0,,0
50,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Colle Forte,Hollande,200,500,livres,.4,0,,0
51,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Emery,Hollande,25,50,livres,.5,0,,0
52,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,...pars,Hollande,27.5,55,en nombre,.5,0,,0
53,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Fer ; en Gueuse,Hollande,210,2100,livres,.1,0,,0
54,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Garance,Hollande,5770,11540,livres,.5,0,,0
55,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Gaudron,Hollande,64,4,Barils,16,0,,0
56,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Huile de navette,Hollande,3400,13600,livres,.25,0,,0
57,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Huile de Parfum,Hollande,2720,13600,livres,.2,0,,0
58,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Huile d'Aspic,Hollande,15,15,livres,1,0,,0
59,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Lin Cru,Hollande,1912.5,7650,livres,.25,0,,0
60,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Mine Plomb,Hollande,150,600,livres,.25,0,,0
61,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Merrain à Pipe,Hollande,2786.4,13932,douelles,.2,0,,0
62,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Ocre,Hollande,80,1600,livres,.05,0,,0
63,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Pirette,Hollande,15,10,livres,1.5,0,lire graine de pirrette,0
64,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Poix de Bourgogne,Hollande,80,400,livres,.2,0,,0
65,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Plomb en Saumon,Hollande,1102.5,6300,livres,.175,0,,0
66,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Planches de Sapin,Hollande,3398.4,4248,nombre,.8,0,prix divisé par cent,0
67,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Sumac,Hollande,525,700,livres,.75,0,,0
68,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Souffre en Fanon,Hollande,112.5,750,livres,.15,0,,0
69,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Boulets de Canon,Hollande,250,2000,livres,.125,0,,0
70,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Bouteilles de Verre,Hollande,240,800,livres,.3,0,,0
71,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Briques,Hollande,900,60,en milliers,15,0,,0
72,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Cotton Fil,Hollande,1000,800,livres,1.25,0,,0
73,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Chaise de commodité,Hollande,39,13,nombre,3,0,,0
74,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Chaudron de Cuivre,Hollande,12298.2,8784,livres,1.4,.6,erreur de calcul,0
75,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Cannes à main,Hollande,1170,390,Gets,3,0,,0
76,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Duc d'Ablier,Hollande,445.5,2970,livres,.15,0,,0
77,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Fil de Laiton,Hollande,416,416,livres,1,0,,0
78,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Fil de Fer,Hollande,2349,3915,livres,.6,0,,0
79,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Fer ; blanc,Hollande,1520,19,Barils,80,0,chaque Barils à 450 Feuilles,0
80,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,2,Fer ; Ouvrée,Hollande,32,160,livres,.2,0,,0
81,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Fayence,Hollande,177.75,1185,livres,.15,0,,0
82,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Mercerie,Hollande,610,2440,livres,.25,0,,0
83,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Meuble de Bois,Hollande,75,1,valeur,75,0,,0
84,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Moulin Fer,Hollande,7.5,50,livres,.15,0,,0
85,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Nattes,Hollande,130,1,valeur,130,0,,0
86,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Paravents,Hollande,60,2,pièces,30,0,,0
87,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Papier Bleu,Hollande,930,744,rames,1.25,0,,0
88,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Plumes à écrire,Hollande,9,3,milliers,3,0,,0
89,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Pipe à Fumé,Hollande,642,642,grosses,1,0,,0
90,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Poterie en Terre,Hollande,150,100,douzaines,1.5,0,,0
91,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Poile de Fer,Hollande,188,940,livres,.2,0,,0
92,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Plaques de Fer,Hollande,401,5350,livres,.075,-.25,oubli les sous en valeur,0
93,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Quincaille en Fer,Hollande,150,600,livres,.25,0,,0
94,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Ruban de Fil,Hollande,60,150,livres,.4,0,,0
95,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Vermillon,Hollande,9,30,livres,.3,0,,0
96,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Anspects,Nord,21.6,108,nombre,.2,0,,0
97,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Bray,Nord,400,20,Barils,20,0,,0
98,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Barriques Vuiddes Vieilles,Nord,120,40,nombre,3,0,,0
99,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Cuivre en Rosette,Nord,150,1000,livres,.15,0,,0
100,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,...pars,Nord,18,36,nombre,.5,0,,0
101,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Gaudron,Nord,1200,75,Barils,16,0,,0
102,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Merrain a pipe,Nord,4240,21200,douelles,.2,0,,0
103,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Planches de Sapin,Nord,2018,25236,nombre,.08,-.88,erreur calcul et prix divisé par cent,0
104,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Raves de Morue,Nord,750,30,Barils,25,0,,0
105,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Citrons aigres,Espagne,1155,77,caisse,15,0,,0
106,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Figues,Espagne,765,5100,livres,.15,0,,0
107,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Huile d'Olive,Espagne,21195,47100,livres,.45,0,,0
108,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Olives,Espagne,560,600,livres,.35,350,erreur calcul,0
109,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Ris,Espagne,187.5,750,livres,.25,0,,0
110,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Raisin Sec,Espagne,200,1000,livres,.2,0,,0
111,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Vin de TINTO,Espagne,50,1,barriques,50,0,,0
112,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Avirons,Espagne,240,60,Traques,4,0,,0
113,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Fer ; en barres,Espagne,5526.25,44210,livres,.125,0,,0
114,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Meubles à Taillandiers,Espagne,1186,593,nombre,2,0,,0
115,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Huile d'Olive,Portugal,9315,20700,livres,.45,0,,0
116,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Jambon,Portugal,66.5,133,livres,.5,0,,0
117,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Liège,Portugal,22.5,150,livres,.15,0,,0
118,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Suif,Portugal,2940,8400,livres,.35,0,,0
119,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Confiture,Ile française des Amériques et du Canada,701.25,935,livres,.75,0,,0
120,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Citrons Confits,Ile française des Amériques et du Canada,9615,12820,livres,.75,0,,0
121,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Cacao,Ile française des Amériques et du Canada,16809.75,37355,livres,.45,0,,0
122,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Cacao Broyé,Ile française des Amériques et du Canada,30,50,livres,.6,0,,0
123,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Capillaire,Ile française des Amériques et du Canada,300,150,livres,2,0,,0
124,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Morue Séché,Ile française des Amériques et du Canada,750,5000,nombre,.15,0,,0
125,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Morue Séché,Ile française des Amériques et du Canada,12775,73000,livres,.175,0,,0
126,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Riz,Ile française des Amériques et du Canada,7.5,30,livres,.25,0,,0
127,Demba,41 ETP 270 / 9385,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1718,Imports,La Rochelle,3,Sucre blanc,Ile française des Amériques et du Canada,257480,643700,livres,.4,0,,0
