numrodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,remarks,DoubleAccounts
41,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Anis,Savoye,1810,9050.0,1810,livres,,,,0
42,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Arbres à planter,Portugal,61434,20478.0,,en nombre,,,,0
43,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Ardoises,Allemagne,2687,27500.0,58378,en nombre,,,,0
44,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Ardoises,Espagne,2766,197600.0,58378,en nombre,,,,0
45,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Ardoises,Flandre,26287,105500.0,58378,en nombre,,,,0
46,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Ardoises,Isles,26638,1902750.0,58378,en nombre,,,,0
47,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Argent vif,Levant,30775,6155.0,,livres,,,,0
48,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Argenterie,Allemagne,60769,1066.5,464855,marcs,,,,0
49,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,5,Argenterie,Angleterre,75019,1316.0,464855,marcs,,,,0
50,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Argenterie,Danemark,2023,35.0,464855,marcs,,,,0
51,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Argenterie,Flandre,9006,158.0,464855,marcs,,,,0
52,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Argenterie,Hollande,1995,35.5,464855,marcs,,,,0
53,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Argenterie,Italie,24510,430.0,464855,marcs,,,,0
54,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Argenterie,Naples,2850,50.0,464855,marcs,,,,0
55,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Argenterie,Levant,3327,58.0,464855,marcs,,,,0
56,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Argenterie,Nord,7296,128.0,464855,marcs,,,,0
57,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Argenterie,Portugal,7866,138.0,464855,marcs,,,,0
58,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Argenterie,Russie,31321,549.5,464855,marcs,,,,0
59,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Argenterie,Savoye,1254,22.0,464855,marcs,,,,0
60,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Argenterie,Suede,2280,40.0,464855,marcs,,,,0
61,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Argenterie,Suisse,34941,613.0,464855,marcs,,,,0
62,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Argenterie,Isles,196224,3442.5,464855,marcs,,,,0
63,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Argenterie,Indes,4174,73.25,464855,marcs,,,,0
64,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Armes ; blanches,Isles,240,160.0,239517,livres,14914,,,0
65,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Armes ; blanches,Guinée,10824,6181.0,239517,livres,14914,,,0
66,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Armes ; blanches,Indes,3850,1925.0,239517,bayonettes,14914,,,0
67,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Armes ; à feu,Isles,13568,13568.0,239517,livres,224603,,,0
68,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Armes ; à feu,Guinée,179238,179238.0,239517,livres,224603,,,0
69,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Armes ; à feu,Indes,,1621.0,239517,fusils,224603,,,0
70,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Armes ; à feu,Indes,31797,20450.0,239517,livres,224603,,2 qtités pour Inde,0
71,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Armoires,Isles,3400,20.0,,en nombre,,,,0
72,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Arquifou,Levant,29365,195770.0,,livres,,,,0
73,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Avirons,Hollande,2943,654.0,4653,traques,,,,0
74,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Avirons,Levant,1710,171.0,4653,paires,,,,0
75,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,7,Azur,Levant,8104,10806.0,,livres,,,,0
76,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Baleine ; coupée,Genes,4335,867.0,6335,livres,6335,,,0
77,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Baleine ; coupée,Savoye,2000,400.0,6335,livres,6335,,,0
78,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Barils vuides,Guinée,8810,5956.0,,en nombre,,,,0
79,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; assortis,Isles,99360,2760.0,3915092,douzaines,,,,0
80,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de fil et coton,Allemagne,4314,1078.5,3915092,livres,210263,,,0
81,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de fil et coton,Angleterre,28550,5710.0,3915092,livres,210263,,,0
82,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de fil et coton,Espagne,,225.33,3915092,douzaines,210263,,,0
83,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de fil et coton,Espagne,110618,23005.0,3915092,livres,210263,,2 qtités pour Espagne,0
84,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de fil et coton,Italie,15706,3161.0,3915092,livres,210263,,,0
85,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de fil et coton,Naples,1625,325.0,3915092,livres,210263,,,0
86,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de fil et coton,Genes,9025,1805.0,3915092,livres,210263,,,0
87,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de fil et coton,Savoye,9144,2021.0,3915092,livres,210263,,,0
88,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de fil et coton,Suisse,3020,389.0,3915092,douzaines,210263,,,0
89,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de fil et coton,Isles,,6540.0,3915092,paires,210263,,,0
90,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de fil et coton,Isles,23305,2238.0,3915092,livres,210263,,2 qtités pour Isles,0
91,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de fil et coton,Indes,4956,2458.0,3915092,paires,210263,,,0
92,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de filozelle,Allemagne,27528,1720.0,3915092,livres,33584,,,0
93,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de filozelle,Genes,1952,122.0,3915092,livres,33584,,,0
94,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de filozelle,Portugal,2936,183.0,3915092,livres,33584,,,0
95,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de filozelle,Savoye,1168,73.0,3915092,livres,33584,,,0
96,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de laine,Allemagne,20313,3385.0,3915092,livres,301641,,,0
97,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de laine,Espagne,175590,29265.0,3915092,livres,301641,,,0
98,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de laine,Italie,4200,700.0,3915092,livres,301641,,,0
99,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de laine,Genes,10800,1800.0,3915092,livres,301641,,,0
100,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de laine,Levant,2496,416.0,3915092,livres,301641,,,0
101,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de laine,Portugal,59910,11282.0,3915092,livres,301641,,,0
102,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de laine,Savoye,13644,2274.0,3915092,livres,301641,,,0
103,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de laine,Suisse,14688,408.0,3915092,douzaines,301641,,,0
104,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de soye,Allemagne,494814,10370.0,3915092,livres,3270244,,,0
105,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de soye,Angleterre,,382.0,3915092,douzaines,3270244,,,0
106,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de soye,Angleterre,54280,363.0,3915092,livres,3270244,,2 qtités pour Angleterre,0
107,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de soye,Danemark,1000,20.0,3915092,livres,3270244,,,0
108,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de soye,Espagne,1587680,39690.0,3915092,livres,3270244,,,0
109,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de soye,Flandre,71235,1780.0,3915092,livres,3270244,,,0
110,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de soye,Geneve,2520,63.0,3915092,livres,3270244,,,0
111,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de soye,Hollande,97050,2205.0,3915092,livres,3270244,,,0
112,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de soye,Italie,172740,4318.5,3915092,livres,3270244,,,0
113,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,9,Bas ; de soye,Naples,107300,2682.5,3915092,livres,3270244,,,0
114,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Bas ; de soye,Genes,50550,1263.75,3915092,livres,3270244,,,0
115,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Bas ; de soye,Venise,1440,36.0,3915092,livres,3270244,,,0
116,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Bas ; de soye,Nord,2950,73.75,3915092,livres,3270244,,,0
117,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Bas ; de soye,Portugal,517520,12853.25,3915092,livres,3270244,,,0
118,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Bas ; de soye,Russie,6220,155.5,3915092,livres,3270244,,,0
119,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Bas ; de soye,Savoye,4270,106.75,3915092,livres,3270244,,,0
120,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Bas ; de soye,Suede,1025,20.5,3915092,livres,3270244,,,0
121,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Bas ; de soye,Suisse,51430,1285.75,3915092,livres,3270244,,,0
122,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Bas ; de soye,Isles,,317.0,3915092,douzaines,3270244,,,0
123,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Bas ; de soye,Isles,46220,361.75,3915092,livres,3270244,,2 qtités pour Isles,0
124,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Batteaux neufs,Flandre,4510,11.0,,en nombre,,,,0
125,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beufs ; salé,Espagne,80847,2695.0,2067664,barils,1119794,,,0
126,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beufs ; salé,Suisse,2360,5245.0,2067664,livres,1119794,,,0
127,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beufs ; salé,Isles,,18778.0,2067664,barils,1119794,,,0
128,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beufs ; salé,Isles,952167,261627.0,2067664,livres,1119794,,2 qtités pour Isles,0
129,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beufs ; salé,Guinée,67205,1708.0,2067664,barils,1119794,,,0
130,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beufs ; salé,Indes,,377.5,2067664,barils,1119794,,,0
131,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beufs ; salé,Indes,17215,13050.0,2067664,livres,1119794,,2 qtités pour Inde,0
132,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beufs ; en vie,Allemagne,678880,7207.0,2067664,en nombre,947870,,,0
133,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beufs ; en vie,Angleterre,2000,10.0,2067664,en nombre,947870,,,0
134,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beufs ; en vie,Espagne,44870,371.0,2067664,en nombre,947870,,,0
135,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beufs ; en vie,Flandre,27750,111.0,2067664,en nombre,947870,,,0
136,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beufs ; en vie,Geneve,48960,408.0,2067664,en nombre,947870,,,0
137,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beufs ; en vie,Savoye,29040,242.0,2067664,en nombre,947870,,,0
138,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beufs ; en vie,Suisse,116370,1280.0,2067664,en nombre,947870,,,0
139,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beurre,Allemagne,21791,43541.0,663350,livres,,,,0
140,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beurre,Angleterre,11727,23677.0,663350,livres,,,,0
141,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beurre,Danemark,104949,209898.0,663350,livres,,,,0
142,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beurre,Espagne,20603,41345.0,663350,livres,,,,0
143,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beurre,Hollande,123051,145641.0,663350,livres,,,,0
144,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beurre,Levant,9782,24455.0,663350,livres,,,,0
145,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beurre,Nord,54434,51613.0,663350,livres,,,,0
146,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beurre,Savoye,5520,13800.0,663350,livres,,,,0
147,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beurre,Isles,291403,675123.0,663350,livres,,,,0
148,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beurre,Guinée,11654,21256.0,663350,livres,,,,0
149,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,11,Beurre,Indes,8436,15634.0,663350,livres,,,,0
150,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,13,Bierre,Hollande,1233,44.25,35410,muids,,,,0
151,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,13,Bierre,Genes,1840,46.0,35410,barriques,,,,0
152,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,13,Bierre,Isles,,56.75,35410,tonneaux,,,,0
153,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,13,Bierre,Isles,32337,859.0,35410,barriques,,,2 qtités pour Isles,0
154,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,13,Bijouterie,Naples,16000,160.0,25850,livres,,,,0
155,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,13,Bijouterie,Isles,9850,246.25,25850,livres,,,,0
