numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,prix_unitaire
16,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,1,Chataignes,Angleterre,14,140,Livres,,"0,1"
17,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Choux à planter,Angleterre,6,40,Paquets,,"0,15"
18,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Choux à planter,Angleterre,"1599,9",53330,En nombre,3 livres par 100,"0,03"
19,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Cidre,Angleterre,30,120,Pot,,"0,25"
20,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Coutil,Angleterre,710,355,Livres,,2
21,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Crin,Angleterre,"14,4",16,Livres,,"0,9"
22,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Cuirs de vache tanés,Angleterre,690,46,Pièce,,15
23,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Cuivre en batterie,Angleterre,"3300,5",1886,Livres,,"1,75"
24,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Dentelle ; de Caen,Angleterre,460,"11,5",Livres,,40
25,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Dentelle ; de Soye,Angleterre,1450,"14,5",Livres,,100
26,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Drap de laine,Angleterre,105,35,Livres,,3
27,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Eau ; de senteur,Angleterre,75,30,Livres,,"2,5"
28,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Eau ; de vie,Angleterre,25920,90,Muids,,288
29,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Farine,Angleterre,162050,810250,Livres,,"0,2"
30,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Fayance,Angleterre,90,150,Livres,,"0,6"
31,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Fer ; en barres,Angleterre,"21,3",142,Livres,,"0,15"
32,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Fer ; en marmittes,Angleterre,"3,4",34,Livres,,"0,1"
33,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Fer ; ouvré,Angleterre,"95,1",317,Livres,,"0,3"
34,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Fer ; en plaques,Angleterre,15,150,Livres,,"0,1"
35,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Fil ; blanc,Angleterre,100,20,Livres,,5
36,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Fil ; de fer,Angleterre,"10,8",27,Livres,,"0,4"
37,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Fruits secs,Angleterre,"215,25",1435,Livres,,"0,15"
38,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Graine de tremaine,Angleterre,1747,3494,Livres,,"0,5"
39,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Grenailles,Angleterre,240,800,Livres,,"0,3"
40,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Huille de rabette,Angleterre,"598,5",1995,Livres,,"0,3"
41,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Huitres marinées,Angleterre,20,80,Barils,-20 erreur calcul,"0,5"
42,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Jambons,Angleterre,"754,5",1006,Livres,,"0,75"
43,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Lard salé,Angleterre,1200,2400,Livres,,"0,5"
44,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Marchandises meslées,Angleterre,300,1,valeur,,300
45,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Mercerie,Angleterre,34372,8593,Livres,,4
46,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Miel,Angleterre,"36,75",245,Livres,,"0,15"
47,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Moutons,Angleterre,850,85,Pièce,,10
48,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Œufs,Angleterre,"1045,63",41925,Pièce,"-2,5 erreur calcul","0,025"
49,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Orge,Angleterre,"96632,5",966325,Livres,,"0,1"
50,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Paniers d'ozier,Angleterre,93,31,Douzaines,,3
51,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Parchemin,Angleterre,78,52,Peaux,,"1,5"
52,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,2,Peaux de veau corroyées,Angleterre,180,60,En nombre,,3
53,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Plumes ; a Ecrire,Angleterre,450,150,Livres,,3
54,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Plumes ; a Lit,Angleterre,2070,1725,Livres,,"1,2"
55,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Pois,Angleterre,2515,25150,Livres,,"0,1"
56,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Poix,Angleterre,"1435,1",14351,Livres,,"0,1"
57,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Porcs,Angleterre,10830,361,En nombre,,30
58,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Potterie de terre,Angleterre,"3135,6",1742,Douzaines,,"1,8"
59,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,poudre a poudres,Angleterre,57,190,Livres,,"0,3"
60,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Retz a charrue,Angleterre,585,1950,En nombre,,"0,3"
61,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Ruban de fil,Angleterre,300,1,Valeur,,300
62,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Sarazin,Angleterre,14620,146700,Livres,"10952,5 erreur calcul","0,025"
63,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Siamoise,Angleterre,1056,264,Livres,,4
64,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Suif,Angleterre,90,225,Livres,,"0,4"
65,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Toile ; cirée,Angleterre,3200,3200,Livres,,1
66,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Toile ; de crin,Angleterre,225,46,Livres,-5 erreur calcul,5
67,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Toile ; d'etoupe ; de chanvre,Angleterre,4670,3736,Livres,,"1,25"
68,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Toile ; d'etoupe ; de lin,Angleterre,11133,7422,Livres,,"1,5"
69,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Toile ; de lin blanche,Angleterre,500,50,Livres,,10
70,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Tuilles,Angleterre,5,500,En nombre,,"0,01"
71,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,vaches,Angleterre,5120,128,En nombre,,40
72,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Vaches genisses,Angleterre,450,15,En nombre,,30
73,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Vieux oing,Angleterre,"97,5",325,Livres,,"0,3"
74,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Vin ordinaire,Angleterre,37,37,Pots,,1
75,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Volailles,Angleterre,9416,"784,67",Douzaines,784 douzaines et 2/3,12
76,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Eau de vie,Danemark,1824,"6,67",muids,"-95,999999999998 erreur calcul",288
77,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Mercerie,Danemark,460,115,Livres,,4
78,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Chataignes,Hollande,7224,72248,Livres,"-0,800000000000182 décimale non marquée","0,1"
79,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Clouds de fer,Hollande,162,540,Livres,,"0,3"
80,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,3,Eau de vie,Hollande,33696,117,Muids,,288
81,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,4,Farine,Hollande,25,125,Livres,,"0,2"
82,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,4,Fil de lin,Hollande,1550,310,Livres,,5
83,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,4,Fromage,Hollande,336,840,Livres,,"0,4"
84,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,4,Fruits ; cruds,Hollande,210,14,Sommes,,15
85,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,4,Fruits ; secs,Hollande,"83,7",558,Livres,,"0,15"
86,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,4,Graine de Genievre,Hollande,80,1,Valeur,,80
87,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,4,Legumes,Hollande,18,18,Quintaux,,1
88,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,4,Marchandises meslées,Hollande,130,1,Valeur,,130
89,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,4,Oeufs,Hollande,4400,44000,Pièce,3300 erreur calcul,"0,025"
90,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,4,Vinaigre,Hollande,60,1,Muid,,60
91,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,4,Dentelle de soye,Italie,1200,12,Livres,12 livres et 12 onces soit 1275 livres,100
92,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1767,exports,Caen,4,Dentelle de soye,Italie,75,12,Onces,12 livres et 12 onces soit 1275 livres,"6,25"
93,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,1,Beuf en vie,Angleterre,2800,14,En nombre,,200
94,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,1,beure,Angleterre,1054,2108,Livres,,"0,5"
95,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,1,Biscuits de mer,Angleterre,180,900,Livres,,"0,2"
96,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,1,Bois ouvré,Angleterre,189,1,valeur,,189
97,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,1,Choux a planter,Angleterre,1266,42200,En nombre,3 livres le 100,"0,03"
98,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,1,Cotonade,Angleterre,43,215,Livres,,"0,2"
99,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,1,Coutil,Angleterre,230,115,Livres,,2
100,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,1,Cuir de vache tanné,Angleterre,3680,184,Livres,,20
101,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,1,Cuivre en batterie,Angleterre,61950,1770,Livres,,35
102,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,1,Dentelles,Angleterre,24000,60,Livres,,400
103,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,1,Dragées,Angleterre,56,56,Livres,,1
104,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,1,Eau de vie ;,Angleterre,1325,"6,63",Muids,,200
105,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,1,Eau de vie ;,Angleterre,"2234,4",1596,Pots,,"1,4"
106,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,1,Faulx a faucher,Angleterre,30,50,Livres,,"0,6"
107,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,1,Fayance,Angleterre,75,125,Livres,,"0,6"
108,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Fer ; en barres,Angleterre,45,300,Livres,,"0,15"
109,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Fer ; en marmittes,Angleterre,"19,2",192,Livres,,"0,1"
110,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Fil blanc,Angleterre,700,70,Livres,,10
111,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Fil de fer,Angleterre,"217,5",435,Livres,,"0,5"
112,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Fruits secs,Angleterre,"167,7",1118,Livres,,"0,15"
113,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Huile de graines,Angleterre,"96,75",387,Livres,,"0,25"
114,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Huitres marinées,Angleterre,262,1,Valeur,,262
115,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Jambons,Angleterre,"251,25",335,Livres,,"0,75"
116,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Lard salé,Angleterre,330,660,Livres,,"0,5"
117,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Marchandises meslées,Angleterre,1100,1,Valeur,,1100
118,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Mercerie,Angleterre,23012,5753,Livres,,4
119,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Miel,Angleterre,"194,7",1298,Livres,,"0,15"
120,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Moutons,Angleterre,1560,156,En nombre,,10
121,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Noix,Angleterre,265,"26,5",Poincon,,10
122,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Orge,Angleterre,30,300,Livres,,"0,1"
123,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Oeufs,Angleterre,"638,63",25545,En nombre,,"0,025"
124,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Peaux de veau tannées,Angleterre,222,74,En nombre,,3
125,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Pelles de bois,Angleterre,"17,7",59,En nombre,,"0,3"
126,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Plumes à lit,Angleterre,93840,3910,Livres,,24
127,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Poivre,Angleterre,175,100,Livres,,"1,75"
128,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Porcs,Angleterre,11880,396,En nombre,,30
129,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Potterie de terre,Angleterre,"2854,8",1586,douzaine,,"1,8"
130,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Pruneaux,Angleterre,30,200,Livres,,"0,15"
131,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Rets a charue,Angleterre,"15337,5",10225,En nombre,,"1,5"
132,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Rubans,Angleterre,1100,1,Valeur,,1100
133,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Sarazin,Angleterre,40,800,Livres,,"0,05"
134,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Siamoise de Rouen,Angleterre,600,150,Livres,,4
135,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Suif,Angleterre,"112,5",250,Livres,,"0,45"
136,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Toile ; de crin,Angleterre,216,54,Livres,,4
137,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Toile ; d'etoupe ; de chanvre,Angleterre,6520,5216,Livres,,"1,25"
138,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Toile ; d'etoupe ; de lin,Angleterre,2925,1950,Livres,,"1,5"
139,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Vaches,Angleterre,3520,88,En nombre,,40
140,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Vaches genisses,Angleterre,125,5,En nombre,,25
