numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,remarks
34,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Lanternes,Angleterre,0,1,valeur,27,-27
35,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Lattes,Angleterre,0,8800,en nombre,0.025,-220
36,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Miel,Angleterre,0,2800,livres,0.18,-504
37,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Mercerie ; fine,Angleterre,0,1113,livres,6,-6678
38,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Marchandises ; à l'estimation,Angleterre,0,1,valeur,23,-23
39,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Noix,Angleterre,0,2.5,poinçons,15,"-37,5"
40,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Œufs,Angleterre,0,4375,en nombre,0.0125,"-54,6875"
41,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Porc ; frais,Angleterre,0,6900,livres,0.2,-1380
42,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Pois,Angleterre,0,140,boisseaux,3,-420
43,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Pruneaux,Angleterre,0,800,livres,0.15,-120
44,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Pommes,Angleterre,0,1,charge de cheval,3,-3
45,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Perruque,Angleterre,0,1,valeur,220,-220
46,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Plume ; à lit,Angleterre,0,2202,livres,1,-2202
47,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Peaux ; de veau ; tannées,Angleterre,0,51,en nombre,1.1,"-56,1"
48,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Peaux ; passées en chamois,Angleterre,0,20,en nombre,10,-200
49,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Peaux ; de parchemin,Angleterre,0,3,douzaines,36,-108
50,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Paniers ; d'ozier,Angleterre,0,33,douzaines,12,-396
51,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Pots ; de terre,Angleterre,0,670,douzaines,1.8,-1206
52,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Pierres ; à faulx,Angleterre,0,100,livres,0.15,-15 estimation globale de 15 livres
53,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Pierres ; à bâtir,Angleterre,0,112,quintaux,6,-672
54,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Pelles ; de bois,Angleterre,0,1225,en nombre,0.25,"-306,25 erreur d'unité dans la source"
55,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Ris,Angleterre,0,30,livres,0.175,"-5,25"
56,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Raisine,Angleterre,0,100,livres,0.09,-9
57,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Rais ; à charue,Angleterre,0,3050,pièces,0.1,-305
58,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Savon,Angleterre,0,400,livres,0.4,-160
59,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Toile ; batiste,Angleterre,0,6,livres,35,-210
60,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,6,Toile ; de lin,Angleterre,0,50,livres,12,-600
61,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Toile ; d'étoupe ; de lin,Angleterre,0,9200,livres,2,-18400
62,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Toile ; de chanvre,Angleterre,0,510,livres,2.75,"-1402,5"
63,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Toile ; d'étoupe ; de chanvre,Angleterre,0,2820,livres,1,-2820
64,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Toile ; de Laval,Angleterre,0,2890,livres,4,-11560
65,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Toile ; de Marigny,Angleterre,0,4640,livres,3.5,-16240
66,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Toile ; de cotton,Angleterre,0,228,livres,3,-684
67,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Toile ; à tamis,Angleterre,0,30,livres,1,-30
68,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Volailles ; grasses,Angleterre,0,1192,pièces,1,-1192
69,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Vin,Angleterre,0,0.75,muids,100,-75
70,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Verre ; à vitre,Angleterre,0,14,paniers,36,-504
71,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Verre ; à vitre,Angleterre,0,1,valeur,46,-46
72,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Vans ; à vaner,Angleterre,0,16,en nombre,2.5,-40
73,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Aigre ; de cidre,la Hollande,0,46,tonneaux,40,-1840
74,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Arbrisseaux,la Hollande,0,1,valeur,14,-14
75,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Cheveux,la Hollande,0,1,valeur,1602,-1602
76,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Cornes ; de beuf,la Hollande,0,200,en nombre,0.025,-5 200 estimées 5 en global
77,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Fromage ; de Normandie,la Hollande,0,1100,livres,0.5,-550
78,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Fruits ; secs,la Hollande,0,1635,livres,0.1,"-163,5"
79,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Fruits ; crus,la Hollande,0,12.5,sommes,3,"-37,5"
80,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Grenades ; fruits,la Hollande,0,80,livres,0.4,-32
81,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Graine ; de genièvre,la Hollande,0,1,valeur,220,-220
82,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Huitres ; à l'écaille,la Hollande,0,89,miliers,8,-712
83,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Miel,la Hollande,0,44730,livres,0.18,"-8051,4"
84,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Marons,la Hollande,0,4100,livres,0.3,-1230
85,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Mercerie,la Hollande,0,40,livres,6,-240
86,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Marchandises ; à l'estimation,la Hollande,0,1,valeur,781,-781
87,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Noix,la Hollande,0,0.5,poinçons,15,"-7,5"
88,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Œufs,la Hollande,0,13800,en nombre,0.0125,-172.50
89,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Pelleterie ; crue,la Hollande,0,1250,livres,1,-1250
90,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Peaux ; de veau ; en poil,la Hollande,0,30,en nombre,0.75,-15
91,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,7,Peaux ; de parchemin,la Hollande,0,21,grosses,150,-3150
92,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,8,Siamoise,la Hollande,0,30,livres,4,-120
93,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,8,Toile ; de lin,la Hollande,0,100,livres,12,-1200
94,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,8,Toile ; de chanvre,la Hollande,0,135,livres,3,-405
95,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,8,Toile ; cirée,la Hollande,0,12,livres,0.75,-9
96,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,8,Vin ; de Bordeaux,la Hollande,0,74,muids,100,-7400
97,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,8,Bas ; de laine,Portugal,0,284,livres,8,-2272
98,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,8,Camelos ; de laine,Portugal,0,90,livres,10,-900
99,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,8,Drap ; de laine ; fin,Portugal,0,10,livres,14,-140
100,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,8,Etamine ; de laine,Portugal,0,510,livres,6,-3060
101,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,8,Mercerie ; fine,Portugal,0,396,livres,6,-2376
102,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,8,Oignon ; de fleur,Portugal,0,1,valeur,9,
103,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,8,Peaux ; de veaux ; tanées,Portugal,0,1073,douzaines,12.5,"-13412,5"
104,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,8,Toile ; de lin,Portugal,0,250,livres,12,-3000
105,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Exports,Caen,8,Taffetas,Portugal,0,1,valeur,10,-10
1,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Amandes,Angleterre,,10,livres,0.2,-2
2,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Ardoises,Angleterre,,10,lmiliers,42.5,-425
3,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Beuf ; en vie,Angleterre,,1,en nombre,150,-150
4,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Beure,Angleterre,,20,livres,0.3,-6
5,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Bois ; a teindre,Angleterre,,400,livres,0.14,-56
6,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Barriques ; vieilles,Angleterre,,133,en nombre,1.5,"-199,5"
7,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Cuirs ; secs ; en poil,Angleterre,,64,en nombre,14,-896
8,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Crin,Angleterre,,490,livres,0.55,"-269,5"
9,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Coton ; en laine,Angleterre,,2,livres,2,-4
10,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Chanvre ; en masse,Angleterre,,130,livres,0.25,"-32,5"
11,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Chevaux ; a bas prix,Angleterre,,4,pièces,40,-160
12,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Cire ; jaune,Angleterre,,50,livres,1.5,-75
13,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Cornes ; à lanterne,Angleterre,,300,livres,2.3,-690
14,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Corne ; de beuf,Angleterre,,100,livres,0.1,-1000
15,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Cuivre ; en mitraille,Angleterre,,4860,livres,1,-4860
16,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Charbon ; de terre,Angleterre,,5249,barils,4.5,"-23620,5"
17,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Citrons ; aigres,Angleterre,,350,en nombre,0.1,-35
18,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Drache,Angleterre,,46,bariques,10,-460
19,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Eau ; des Barbades,Angleterre,,12,bouteilles de pinte,6,-72
20,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Etamine ; de laine,Angleterre,,6,aunes,2,-12
21,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Fer ; en bares,Angleterre,,1275,livres,0.13,"-165,75"
22,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Filasse,Angleterre,,40,livres,0.3,-12
23,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Graine ; de lin,Angleterre,,30,barils,20,-600
24,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,1,Graine ; de lin,Angleterre,,12.5,setiers,27.5,"-343,75"
25,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,2,Huile ; de poisson,Angleterre,,44,bariques,120,-5280
26,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,2,Huile ; de poisson,Angleterre,,93,pots,0.9,"-83,7"
27,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,2,Huile ; d'ollive,Angleterre,,23,livres,0.38,"-8,74"
28,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,2,Laine ; en suin,Angleterre,,18600,livres,0.8,-14880
29,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,2,Lin ; cru,Angleterre,,3350,livres,0.5,-1675
30,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,2,Marée,Angleterre,,1,charge de chenal,30,-30
31,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,2,Meules ; a coutellier,Angleterre,,133,en nombre,6,-798
32,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,2,Marchandises ; a l'estimation,Angleterre,,1,valeur,12,-12
33,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,2,Noix,Angleterre,,150,miliers,2.5,-375
34,Pascal Fontaine,Archives CCI Rouen Carton VIII,Local/Caen/Caen - 1730-1776 (-).csv,Local,1730,Imports,Caen,2,Pipes ; à fumer,Angleterre,,28,grosses,2.25,-63
