line_number;source_type;year;customs_region;customs_office;partner;export_import;product;origin;width_in_line;value;value_part_of_bundle;quantity;quantity_unit;value_per_unit;filepath;source;sheet;value_total;value_sub_total_1;value_sub_total_2;value_sub_total_3;data_collector;unverified;remarks;value_minus_unit_val_x_qty;absurd_observation;trade_deficit;trade_surplus;duty_quantity;duty_quantity_unit;duty_by_unit;duty_total;duty_part_of_bundle;duty_remarks
25;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Drogues médicinales capilaire;;;400,00;;;Valeurs;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
26;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Drogues médicinales euphorbe gomme;;;105,00;;35,00;Livres;3,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;Doute lecture dénomination;0,00;;;;;;;;;
27;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Drogues médicinales orge mondé;;;528,00;;1 321,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
28;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Drogues médicinales semen contra;;;960,00;;320,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
29;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Drogues médicinales Sel de nitre;;;708,00;;860,00;Livres;0,8000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;erreur de calcul?;20,00;;;;;;;;;
30;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Drogues médicinales tamarin;;;250,00;;250,00;Livres;1,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;0,00;;;;;;;;;
31;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Drogues médicinales tournesol;;;520,00;;650,00;Livres;0,8000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;0,00;;;;;;;;;
32;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Drogues odorantes;;;258,00;;;Valeurs;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;;;;;;;;;;
33;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Drogues pour la peinture et la teinture alun;;;11 578,00;;38 595,00;Livres;0,3000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;-0,50;;;;;;;;;
34;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Drogues pour la peinture et la teinture azur;;;1 582,00;;2 260,00;Livres;0,7000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;0,00;;;;;;;;;
