line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
3962,National toutes directions partenaires manquants,1789,Marseille,Marseille,Sénégal et Guinée,Exports,Vins rouge,Lyonnais,,6072,0,109.80903,muids,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 20),48,,,,,Cyril Mouton,,,,,,,,,,,,
3963,National toutes directions partenaires manquants,1789,Marseille,Marseille,St Domingue,Exports,Vins rouge,Languedoc,,112803,0,2879.9895,muids,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 20),48,,149454,,,Cyril Mouton,,,,,,,,,,,,
3964,National toutes directions partenaires manquants,1789,Marseille,Marseille,La Martinique,Exports,Vins rouge,Languedoc,,23349,0,596.13544,muids,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 20),48,,149454,,,Cyril Mouton,,,,,,,,,,,,
3965,National toutes directions partenaires manquants,1789,Marseille,Marseille,La Guadeloupe,Exports,Vins rouge,Languedoc,,10752,0,274.52084,muids,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 20),48,,149454,,,Cyril Mouton,,,,,,,,,,,,
3966,National toutes directions partenaires manquants,1789,Marseille,Marseille,Cayenne et Guyanne,Exports,Vins rouge,Languedoc,,2550,0,65.104164,muids,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 20),48,,149454,,,Cyril Mouton,,,,,,,,,,,,
3967,National toutes directions partenaires manquants,1789,Marseille,Marseille,Sénégal et Guinée,Exports,Vins rouge,Languedoc,,7872,0,200.95486,muids,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 20),48,,,,,Cyril Mouton,,,,,,,,,,,,
3968,National toutes directions partenaires manquants,1789,Marseille,Marseille,La Martinique,Exports,Vins blanc,Marseille,,120,0,1.7361112,muids,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 20),48,,,,,Cyril Mouton,,,,,,,,,,,,
3969,National toutes directions partenaires manquants,1789,Marseille,Marseille,St Domingue,Exports,Vins rouge,Bourgogne,,150,0,100,bouteilles,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 20),48,,,,,Cyril Mouton,,,,,,,,,,,,
3970,National toutes directions partenaires manquants,1789,Marseille,Marseille,La Guadeloupe,Exports,Vinaigre,Marseille,,165,0,2.3854167,muids,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 20),48,,,,,Cyril Mouton,,,,,,,,,,,,
3971,National toutes directions partenaires manquants,1789,Marseille,Marseille,St Domingue,Exports,Ustensiles de pêche filets,,,5583,0,,,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 20),48,,24059,,,Cyril Mouton,,Pas de quantité indiquée,,,,,,,,,,
3972,National toutes directions partenaires manquants,1789,Marseille,Marseille,La Martinique,Exports,Ustensiles de pêche filets,,,12944,0,,,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 20),48,,24059,,,Cyril Mouton,,Pas de quantité indiquée,,,,,,,,,,
3973,National toutes directions partenaires manquants,1789,Marseille,Marseille,La Guadeloupe,Exports,Ustensiles de pêche filets,,,5100,0,,,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 20),48,,24059,,,Cyril Mouton,,Pas de quantité indiquée,,,,,,,,,,
3974,National toutes directions partenaires manquants,1789,Marseille,Marseille,Cayenne et Guyanne,Exports,Ustensiles de pêche filets,,,432,0,,,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 20),48,,24059,,,Cyril Mouton,,Pas de quantité indiquée,,,,,,,,,,
2,National toutes directions partenaires manquants,1789,Nantes,Nantes,Étranger,Exports,Cacao,Colonies françaises de l'Amérique,,24911,0,49820,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 5),4,336860,,,,Guillaume Daudin,,,,,,,,,,,,
7,National toutes directions partenaires manquants,1789,Nantes,Nantes,Étranger,Exports,Caffé,Colonies françaises de l'Amérique,,9161910,0,8725635,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 5),4,72801999,,,,Guillaume Daudin,,,,,,,,,,,,
18,National toutes directions partenaires manquants,1789,Nantes,Nantes,Étranger,Exports,Coton,Colonies françaises de l'Amérique,,1441194,0,960797,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 5),4,8494506,,,,Guillaume Daudin,,,,,,,,,,,,
