simplification,nbr_occurences_simpl,obsolete,grains,nbr_occurences_grains
os de cœur de cerf et de seiche,2,non,Pas grain (0),827454
os de mouton,1,non,Pas grain (0),827454
os de seiche,9,non,Pas grain (0),827454
os de seiche serpia officinalis,7,non,Pas grain (0),827454
os desséchés,2,non,Pas grain (0),827454
os et sabots de bétail,2,non,Pas grain (0),827454
oseille,1,non,Pas grain (0),827454
oseille apprêtée,1,non,Pas grain (0),827454
osier,415,non,Pas grain (0),827454
osier d'en dessous de 7 paumes,9,non,Pas grain (0),827454
osier de 10 à 11 paumes,123,non,Pas grain (0),827454
osier de 12 à 14 paumes,91,non,Pas grain (0),827454
osier de 7 à 9 paumes,27,non,Pas grain (0),827454
osier de fer-blanc,3,non,Pas grain (0),827454
osier en bottes brut,7,non,Pas grain (0),827454
osier en bottes fendu et pelé,2,non,Pas grain (0),827454
osier en bottes fendu ou pelé,2,non,Pas grain (0),827454
osier en dessous de 10 paumes,35,non,Pas grain (0),827454
osier fendu ou pelé,3,non,Pas grain (0),827454
osier torches,8,non,Pas grain (0),827454
osserie de Dieppe,19,non,Pas grain (0),827454
ouate,105,non,Pas grain (0),827454
ouate d'étoupes,38,non,Pas grain (0),827454
ouate de coton,103,non,Pas grain (0),827454
ouate de laine,12,non,Pas grain (0),827454
ouate de soie,58,non,Pas grain (0),827454
outes ?,1,non,,13751
outils,196,non,Pas grain (0),827454
outils à battre l'or,1,non,Pas grain (0),827454
outils à faire cartes et moules,3,non,Pas grain (0),827454
outils à soutirer le vin,4,non,Pas grain (0),827454
outils à sucre,1,non,Pas grain (0),827454
outils à tirer le vin,1,non,Pas grain (0),827454
outils à tirer le vin au claire,1,non,Pas grain (0),827454
outils d'acier et de fer,5,non,Pas grain (0),827454
outils d'acier pur,8,non,Pas grain (0),827454
outils d'agriculture,1,non,Pas grain (0),827454
outils d'horloge,2,non,Pas grain (0),827454
outils d'horlogerie,3,non,Pas grain (0),827454
outils d'imprimerie,10,non,Pas grain (0),827454
outils d'imprimerie et de marbre,1,non,Pas grain (0),827454
outils de cuisine,7,non,Pas grain (0),827454
outils de cuivre ou de laiton,6,non,Pas grain (0),827454
outils de fer,21,non,Pas grain (0),827454
outils de fer à forgeron,1,non,Pas grain (0),827454
outils de fer de forgeron,1,non,Pas grain (0),827454
outils de fer pur,8,non,Pas grain (0),827454
outils de fer rechargé d'acier,8,non,Pas grain (0),827454
outils de frecatage,1,non,Pas grain (0),827454
outils de la pêche,301,non,,13751
outils de la pêche à corail,1,non,,13751
outils de labourage,3,non,Pas grain (0),827454
outils de lapidaire,1,non,Pas grain (0),827454
outils de maréchal,1,non,,13751
outils de marine,1,non,Pas grain (0),827454
outils de ménage,10,non,Pas grain (0),827454
outils de menuiserie,18,non,Pas grain (0),827454
outils de menuisier,1,non,Pas grain (0),827454
outils de moulins,1,non,Pas grain (0),827454
outils de moulins à papier,2,non,Pas grain (0),827454
outils de moulins de fer,4,non,Pas grain (0),827454
outils de pêche,326,non,Pas grain (0),827454
outils de pêche à la morue,4,non,Pas grain (0),827454
outils de pêche à la morue verte,37,non,,13751
outils de pêche au poisson frais,2,non,Pas grain (0),827454
outils de pêche aux moules,25,non,Pas grain (0),827454
outils de pêche par Marseille,1,non,Pas grain (0),827454
outils menuisier,3,non,Pas grain (0),827454
outils pour boulanger,1,non,Pas grain (0),827454
outils pour charpentier,12,non,Pas grain (0),827454
outils pour ferblantier,2,non,Pas grain (0),827454
outils pour la pêche,115,oui,Pas grain (0),827454
outils pour laboureur,3,non,Pas grain (0),827454
outils pour marchands de vin,2,non,Pas grain (0),827454
outils pour miroitier,2,non,Pas grain (0),827454
outils pour orfèvre,3,non,Pas grain (0),827454
outils pour ouvrier,1,non,Pas grain (0),827454
outils pour sécheurs,10,non,Pas grain (0),827454
outils pour tisserand,3,non,Pas grain (0),827454
outremer,1,non,Pas grain (0),827454
outres de peau pleines,2,non,,13751
outres vides,2,non,Pas grain (0),827454
outres vieilles,1,non,Pas grain (0),827454
ouvrages,95,non,Pas grain (0),827454
ouvrages ???,2,non,Pas grain (0),827454
ouvrages ??? à couvrir,1,non,Pas grain (0),827454
ouvrages brisés et vieux ouvrages de laiton,1,non,Pas grain (0),827454
ouvrages d'acier,13,non,Pas grain (0),827454
ouvrages d'acier et de fer,1,non,,13751
ouvrages d'agate,4,non,Pas grain (0),827454
ouvrages d'agate et agate chique,1,non,Pas grain (0),827454
ouvrages d'airain,16,non,Pas grain (0),827454
ouvrages d'albâtre,6,non,Pas grain (0),827454
ouvrages d'albâtre et ouvrages de bois et ouvrages de marbre,8,non,Pas grain (0),827454
ouvrages d'ambre,1,non,Pas grain (0),827454
ouvrages d'ambre jaune,1,non,Pas grain (0),827454
ouvrages d'architecture,1,non,Pas grain (0),827454
ouvrages d'argent,2,non,Pas grain (0),827454
ouvrages d'argent et d'or,5,non,Pas grain (0),827454
ouvrages d'argent et d'or et de soie,24,non,Pas grain (0),827454
ouvrages d'argent et d'or faux,2,non,Pas grain (0),827454
ouvrages d'argent et de soie,2,non,Pas grain (0),827454
ouvrages d'argent fil et soie,1,non,Pas grain (0),827454
ouvrages d'argent fin d'or et de soie,1,non,Pas grain (0),827454
ouvrages d'argent or et soie,1,non,Pas grain (0),827454
ouvrages d'argent plaqué,1,non,Pas grain (0),827454
ouvrages d'auf,47,non,Pas grain (0),827454
ouvrages d'auf bandeaux,1,non,Pas grain (0),827454
ouvrages d'auf en cousses,1,non,Pas grain (0),827454
ouvrages d'auf et de jonc,2,non,Pas grain (0),827454
ouvrages d'écaille,1,non,Pas grain (0),827454
ouvrages d'étain,1006,non,Pas grain (0),827454
ouvrages d'horlogerie montés,7,non,Pas grain (0),827454
ouvrages d'industrie,301,non,Pas grain (0),827454
ouvrages d'industrie étrangers,54,non,Pas grain (0),827454
ouvrages d'ivoire,110,non,Pas grain (0),827454
ouvrages d'opium,1,non,Pas grain (0),827454
ouvrages d'optiques,5,non,Pas grain (0),827454
ouvrages d'or,1,non,Pas grain (0),827454
ouvrages d'or faux,3,non,Pas grain (0),827454
ouvrages d'orfèvrerie,6,non,Pas grain (0),827454
ouvrages d'osier,20,non,Pas grain (0),827454
ouvrages d'osserie,2,non,,13751
ouvrages de bergamotes,1,non,Pas grain (0),827454
ouvrages de bois,870,non,Pas grain (0),827454
ouvrages de bois de noyer,1,non,Pas grain (0),827454
ouvrages de bois de Saint-Claude,1,non,Pas grain (0),827454
ouvrages de bois de sapin,1,non,Pas grain (0),827454
ouvrages de bois doré,17,non,Pas grain (0),827454
ouvrages de bois en atelier de coluses,1,non,Pas grain (0),827454
ouvrages de bois en plaqué,2,non,Pas grain (0),827454
ouvrages de bois et ouvrages d'osier,10,non,Pas grain (0),827454
ouvrages de bois et ouvrages de cuir,18,non,Pas grain (0),827454
ouvrages de bois et ouvrages de cuivre,16,non,Pas grain (0),827454
ouvrages de bois et ouvrages de fer-blanc,5,non,Pas grain (0),827454
ouvrages de bois et ouvrages de modes et fleurs artificielles,18,non,Pas grain (0),827454
ouvrages de bois et ouvrages de passementerie,12,non,Pas grain (0),827454
ouvrages de bois et ouvrages de peau,10,oui,Pas grain (0),827454
ouvrages de bois et ouvrages en terre cuite et ouvrages en brique,13,non,Pas grain (0),827454
ouvrages de bois et pelleterie,10,non,,13751
ouvrages de bois et vannerie d'osier,10,non,Pas grain (0),827454
ouvrages de bois gros,118,non,Pas grain (0),827454
ouvrages de bois menus,86,non,Pas grain (0),827454
ouvrages de bois non doré,4,non,Pas grain (0),827454
ouvrages de bois peint,1,non,Pas grain (0),827454
ouvrages de bois pour bâtir,1,non,Pas grain (0),827454
ouvrages de bois pour charpente,1,non,Pas grain (0),827454
ouvrages de bois pour le bâtiment,1,non,Pas grain (0),827454
ouvrages de bois sculpté et doré,44,non,Pas grain (0),827454
ouvrages de bois simple,30,non,Pas grain (0),827454
ouvrages de bois simple et doré,25,non,Pas grain (0),827454
ouvrages de bois simples en grilles de sapin,1,non,Pas grain (0),827454
ouvrages de bois verni,2,non,Pas grain (0),827454
ouvrages de bronze,7,non,Pas grain (0),827454
ouvrages de buis,7,non,Pas grain (0),827454
ouvrages de carreaux et tuiles,2,non,Pas grain (0),827454
ouvrages de carton,36,non,Pas grain (0),827454
ouvrages de carton assemblé coupé et moulé,2,non,Pas grain (0),827454
ouvrages de chanvre,1,non,Pas grain (0),827454
ouvrages de chanvre en masse,1,non,Pas grain (0),827454
ouvrages de chanvre en rames,1,non,Pas grain (0),827454
ouvrages de charpentier,68,non,Pas grain (0),827454
ouvrages de charron,9,non,Pas grain (0),827454
ouvrages de charronnage,17,non,Pas grain (0),827454
ouvrages de chêne,1,non,Pas grain (0),827454
ouvrages de cire,4,non,Pas grain (0),827454
ouvrages de cire blanche,68,non,Pas grain (0),827454
ouvrages de cire jaune,3,non,Pas grain (0),827454
ouvrages de corail,396,non,Pas grain (0),827454
ouvrages de corail brut,1,non,Pas grain (0),827454
ouvrages de corail fin,2,non,Pas grain (0),827454
ouvrages de corail rouge,2,non,Pas grain (0),827454
ouvrages de cordonnerie de peaux,1,non,Pas grain (0),827454
ouvrages de cordonnier,8,non,Pas grain (0),827454
ouvrages de cordonnier de cuir,1,non,Pas grain (0),827454
ouvrages de cordonnier de soie,2,non,Pas grain (0),827454
ouvrages de corne et d'ivoire,1,non,Pas grain (0),827454
ouvrages de coton,3,non,Pas grain (0),827454
ouvrages de coton et de laine et de fil et de filoselle,9,non,Pas grain (0),827454
ouvrages de coudrier,60,non,Pas grain (0),827454
ouvrages de coutellerie,105,non,Pas grain (0),827454
ouvrages de coutellerie argenterie,1,non,Pas grain (0),827454
ouvrages de crin,1,non,Pas grain (0),827454
ouvrages de crin de cheval,86,non,Pas grain (0),827454
ouvrages de cristal,105,non,Pas grain (0),827454
ouvrages de cuir,178,non,Pas grain (0),827454
ouvrages de cuir ?,1,non,Pas grain (0),827454
ouvrages de cuir ???? en soie pour femme,2,non,Pas grain (0),827454
ouvrages de cuir argenté et doré,5,non,Pas grain (0),827454
ouvrages de cuir blanc,1,non,Pas grain (0),827454
ouvrages de cuir doré,3,non,Pas grain (0),827454
ouvrages de cuir et bonnets de soie,4,non,Pas grain (0),827454
ouvrages de cuir et peaux,2,non,Pas grain (0),827454
ouvrages de cuisse,1,non,Pas grain (0),827454
ouvrages de cuivre,1254,non,Pas grain (0),827454
ouvrages de cuivre argenté,23,non,Pas grain (0),827454
ouvrages de cuivre argenté et dor,5,non,,13751
ouvrages de cuivre argenté et doré et plaqué,37,non,,13751
ouvrages de cuivre doré,10,non,Pas grain (0),827454
ouvrages de cuivre doré et argenté,344,non,Pas grain (0),827454
ouvrages de cuivre et argent,1,non,Pas grain (0),827454
ouvrages de cuivre garnis en argent,1,non,Pas grain (0),827454
ouvrages de cuivre jaune,154,non,Pas grain (0),827454
ouvrages de cuivre plaqué,1,non,,13751
ouvrages de cuivre potin,1,non,Pas grain (0),827454
ouvrages de cuivre rouge,142,non,Pas grain (0),827454
ouvrages de cuivre simples,18,non,Pas grain (0),827454
ouvrages de damier,2,non,Pas grain (0),827454
ouvrages de drap,3,non,Pas grain (0),827454
ouvrages de faïence,258,non,Pas grain (0),827454
ouvrages de fer,1148,non,Pas grain (0),827454
ouvrages de fer de plomb,1,non,Pas grain (0),827454
ouvrages de fer et clous,72,non,,13751
ouvrages de fer et de fonte,1,non,Pas grain (0),827454
ouvrages de fer et ouvrages de jonc,7,non,Pas grain (0),827454
ouvrages de fer grossiers,1,non,Pas grain (0),827454
ouvrages de fer noir,1,non,Pas grain (0),827454
ouvrages de fer pour maréchal,2,non,Pas grain (0),827454
ouvrages de fer simples,1,non,Pas grain (0),827454
ouvrages de fer tôle ou fer-blanc,5,non,Pas grain (0),827454
ouvrages de fer-blanc,203,non,Pas grain (0),827454
ouvrages de fer-blanc et tôle vernie,29,non,Pas grain (0),827454
ouvrages de fer-blanc ou fer tôle,2,non,Pas grain (0),827454
ouvrages de feutres,3,non,Pas grain (0),827454
ouvrages de fil,5,non,Pas grain (0),827454
ouvrages de fil en filoselle,1,non,Pas grain (0),827454
ouvrages de fil en galon,2,non,Pas grain (0),827454
ouvrages de filoselle,8,non,Pas grain (0),827454
ouvrages de filoselle en ruban,1,non,Pas grain (0),827454
ouvrages de filoselle et de soie,1,non,Pas grain (0),827454
ouvrages de fleuret,8,non,Pas grain (0),827454
ouvrages de fleurs,6,non,Pas grain (0),827454
ouvrages de fondeur,3,non,Pas grain (0),827454
ouvrages de fonte,168,non,Pas grain (0),827454
ouvrages de fourreurs,2,non,Pas grain (0),827454
ouvrages de grès,1,non,Pas grain (0),827454
ouvrages de jais,11,non,Pas grain (0),827454
ouvrages de jaspe,17,non,Pas grain (0),827454
ouvrages de jonc,108,non,Pas grain (0),827454
ouvrages de jonc et de paille,2,non,Pas grain (0),827454
ouvrages de jonc et sparterie,2,non,Pas grain (0),827454
ouvrages de jouets en malles,1,non,Pas grain (0),827454
ouvrages de laine,3,non,Pas grain (0),827454
ouvrages de laine et soie,1,non,Pas grain (0),827454
ouvrages de laiton,128,non,Pas grain (0),827454
ouvrages de liège,11,non,Pas grain (0),827454
ouvrages de linge,6,non,Pas grain (0),827454
ouvrages de mandrier,59,non,Pas grain (0),827454
ouvrages de marbre,420,non,Pas grain (0),827454
ouvrages de marbre à jouer,2,non,Pas grain (0),827454
ouvrages de marbre et cuivre doré,2,non,Pas grain (0),827454
ouvrages de marbre et ouvrages d'albâtre,29,non,Pas grain (0),827454
ouvrages de marqueterie,1,non,Pas grain (0),827454
ouvrages de mécanique,11,non,Pas grain (0),827454
ouvrages de menuiserie,4,non,Pas grain (0),827454
ouvrages de menuiserie simple,62,non,Pas grain (0),827454
ouvrages de menuisier,2,non,Pas grain (0),827454
ouvrages de métal,2,non,Pas grain (0),827454
ouvrages de métal frappé et moulu,14,non,Pas grain (0),827454
ouvrages de mi soie,1,non,Pas grain (0),827454
ouvrages de mode et porcelaine,1,non,Pas grain (0),827454
ouvrages de modes,402,non,Pas grain (0),827454
ouvrages de paille,8,non,Pas grain (0),827454
ouvrages de paille pour chapeaux,3,non,Pas grain (0),827454
ouvrages de palme,4,non,Pas grain (0),827454
ouvrages de papeterie,1,non,Pas grain (0),827454
ouvrages de pâte,1,non,Pas grain (0),827454
ouvrages de peau,52,oui,Pas grain (0),827454
ouvrages de peaux,3,oui,Pas grain (0),827454
ouvrages de peaux d'oigneaux,1,oui,Pas grain (0),827454
ouvrages de peaux de daim,1,oui,Pas grain (0),827454
ouvrages de peaux diverses,1,oui,Pas grain (0),827454
ouvrages de peaux outres pleines,2,oui,Pas grain (0),827454
ouvrages de physique,1,non,Pas grain (0),827454
ouvrages de pierre,15,non,Pas grain (0),827454
ouvrages de pierre autre que chiques,2,non,Pas grain (0),827454
ouvrages de pierres de jais,1,non,Pas grain (0),827454
ouvrages de pierres de jayet,1,non,Pas grain (0),827454
ouvrages de plâtre,10,non,Pas grain (0),827454
ouvrages de plâtre en figure,119,non,Pas grain (0),827454
ouvrages de plomb,65,non,Pas grain (0),827454
ouvrages de plumes,15,non,Pas grain (0),827454
ouvrages de plumes d'autruche,14,non,Pas grain (0),827454
ouvrages de poterie,2,non,Pas grain (0),827454
ouvrages de potin,1,non,Pas grain (0),827454
ouvrages de sapin,1,non,Pas grain (0),827454
ouvrages de sellier de toutes sortes,130,non,Pas grain (0),827454
ouvrages de serrurerie,67,non,Pas grain (0),827454
ouvrages de serrurerie de fer,65,non,Pas grain (0),827454
ouvrages de serrurerie en ressorts de voiture,1,oui,Pas grain (0),827454
ouvrages de soie,80,non,Pas grain (0),827454
ouvrages de soie et dorure,3,non,Pas grain (0),827454
ouvrages de soulier couverts en étoffe de soie pour femme,4,non,Pas grain (0),827454
ouvrages de Spa,2,non,Pas grain (0),827454
ouvrages de Spa en bois verni,110,non,Pas grain (0),827454
ouvrages de sparterie,44,non,Pas grain (0),827454
ouvrages de sparterie commune cordage de jonc paille roseaux et écorce de bois,10,non,Pas grain (0),827454
ouvrages de sparterie commune et cordage de jonc ...,20,non,Pas grain (0),827454
ouvrages de tabac,17,non,Pas grain (0),827454
ouvrages de tabletterie,101,non,Pas grain (0),827454
ouvrages de taillandier,6,non,Pas grain (0),827454
ouvrages de terre,1,non,,13751
ouvrages de terre cuite,220,non,Pas grain (0),827454
ouvrages de terre cuite et porcelaine,2,non,,13751
ouvrages de terre en postures,5,non,Pas grain (0),827454
ouvrages de terre vernie,2,non,,13751
ouvrages de toile,18,non,Pas grain (0),827454
ouvrages de toile pour linge de table,1,non,Pas grain (0),827454
ouvrages de tôle,1,non,Pas grain (0),827454
ouvrages de tonnelier,56,non,Pas grain (0),827454
ouvrages de tonnelier en feuilles,1,non,Pas grain (0),827454
ouvrages de tonnellerie,6,non,Pas grain (0),827454
ouvrages de tourneur,39,non,Pas grain (0),827454
ouvrages de vannerie de bois et d'osier,19,non,Pas grain (0),827454
ouvrages de verre,11,non,Pas grain (0),827454
ouvrages de verre en ???,4,non,Pas grain (0),827454
ouvrages de verre en bossage,1,non,Pas grain (0),827454
ouvrages de verre en rassades,9,non,Pas grain (0),827454
ouvrages de verres,21,non,Pas grain (0),827454
ouvrages de zinc,2,non,Pas grain (0),827454
ouvrages devant,0,non,Pas grain (0),827454
ouvrages divers,340,non,Pas grain (0),827454
ouvrages divers d'étain,3,non,Pas grain (0),827454
ouvrages divers en pierre,3,non,,13751
ouvrages dorés,1,non,Pas grain (0),827454
ouvrages dorés argentés et plaqués,20,non,Pas grain (0),827454
ouvrages dorure fausse,58,non,Pas grain (0),827454
ouvrages en argenture et dorure,1,non,Pas grain (0),827454
ouvrages en brique vernissée,1,non,Pas grain (0),827454
ouvrages en cheveux,2,non,Pas grain (0),827454
ouvrages en cuivre plaqué doré et argenté,38,non,Pas grain (0),827454
ouvrages en dorure,5,non,Pas grain (0),827454
ouvrages en dorure argent faux,1,non,Pas grain (0),827454
ouvrages en dorure fil d'argent,1,non,Pas grain (0),827454
ouvrages en dorure fine,34,non,Pas grain (0),827454
ouvrages en dorure fine et galon or et argent,1,non,,13751
ouvrages en dorure sur soie,1,non,Pas grain (0),827454
ouvrages en esparballe,1,non,Pas grain (0),827454
ouvrages en fleurs artificielles,47,non,Pas grain (0),827454
ouvrages en futaillerie et de Saint-Claude,1,non,Pas grain (0),827454
ouvrages en harnais et sellerie,33,non,Pas grain (0),827454
ouvrages en ivoire et écaille,2,non,Pas grain (0),827454
ouvrages en lames à couvrir,1,non,Pas grain (0),827454
ouvrages en marbre,4,non,Pas grain (0),827454
ouvrages en métal,1,non,Pas grain (0),827454
ouvrages en métal et fer,1,non,Pas grain (0),827454
ouvrages en métaux communs argentés dorés plaqués vernissés,4,non,Pas grain (0),827454
ouvrages en métaux communs plaqués,2,non,Pas grain (0),827454
ouvrages en nacre de perle,1,non,Pas grain (0),827454
ouvrages en nattes de bois,0,non,Pas grain (0),827454
ouvrages en nattes de Moscovie,0,non,Pas grain (0),827454
ouvrages en passementerie ordinaire,13,oui,Pas grain (0),827454
ouvrages en pierres,8,non,Pas grain (0),827454
ouvrages en poil autres que le tissu,2,non,Pas grain (0),827454
ouvrages en tôle vernie,4,non,Pas grain (0),827454
ouvrages et ornements pour une église,1,non,Pas grain (0),827454
ouvrages et outils d'horlogerie,67,non,Pas grain (0),827454
ouvrages pantoufles,2,non,Pas grain (0),827454
ouvrages riches et divers,2,oui,Pas grain (0),827454
ouvrages tricotés pour vestes camisoles et culottes,120,non,Pas grain (0),827454
oxyde d'étain et de fer,4,non,Pas grain (0),827454
oxyde de cuivre,1,non,Pas grain (0),827454
oxyde de manganèse,2,non,Pas grain (0),827454
oxyde de plomb,0,non,Pas grain (0),827454
oxyde de zinc blanc,1,non,Pas grain (0),827454
oxyde de zinc blanc ou gris,2,non,Pas grain (0),827454
oxyde de zinc gris cendré,40,non,Pas grain (0),827454
P ???,1,non,Pas grain (0),827454
packlaeken,15,non,Pas grain (0),827454
packlaeken blanc,6,non,Pas grain (0),827454
packlaeken teint,4,non,Pas grain (0),827454
pacotille,20,non,,13751
padoux,30,non,Pas grain (0),827454
padoux de fil,17,non,Pas grain (0),827454
padoux de fleuret et soie,1,non,Pas grain (0),827454
padoux de laine,1,non,Pas grain (0),827454
paesures,1,non,Pas grain (0),827454
pagas,1,non,Pas grain (0),827454
pagne,11,non,Pas grain (0),827454
paillasses,1,non,Pas grain (0),827454
paillassons et tapis de sol,41,non,Pas grain (0),827454
paille,249,non,Pas grain (0),827454
paille d'herbes,2,non,Pas grain (0),827454
paille de foin,1,non,Pas grain (0),827454
paille de lin,5,non,Pas grain (0),827454
paille dite chaume à couvrir toits,2,non,Pas grain (0),827454
paille et herbes de pâturage,3,non,Pas grain (0),827454
paille hachée,60,non,Pas grain (0),827454
paille pour chaise,3,non,Pas grain (0),827454
paillers d'espars,4,non,Pas grain (0),827454
pailles de bois,1,non,Pas grain (0),827454
paillettes,1,non,,13751
paillettes d' ???,1,oui,Pas grain (0),827454
paillettes d'argent,1,non,Pas grain (0),827454
paillettes d'or,3,non,Pas grain (0),827454
paillettes d'or fin et paillous d'or fin,2,non,Pas grain (0),827454
pain,108,non,Grains transformés (5),5140
pain ?,1,non,Grains transformés (5),5140
pain à cacheter,31,non,Pas grain (0),827454
pain à castille,2,non,Pas grain (0),827454
pain d'épice,286,non,Pas grain (0),827454
pain d'épice et pâtisserie,2,non,Pas grain (0),827454
pain de cire blanche,2,non,Pas grain (0),827454
pain de colza et de lin et de navette,1,non,Pas grain (0),827454
pain de graine de lin,2,non,Pas grain (0),827454
pain de graine de lin et de navette,2,non,Pas grain (0),827454
pain de navette,288,non,Pas grain (0),827454
pain de navette en poudre,95,non,Pas grain (0),827454
paires de poulets,1,oui,Pas grain (0),827454
palangre,11,non,Pas grain (0),827454
palatine,23,non,Pas grain (0),827454
palatine avec argent,1,non,Pas grain (0),827454
palatine de chenille,1,non,Pas grain (0),827454
palatine de peau de grèbe,1,non,Pas grain (0),827454
palatine de soie,7,non,Pas grain (0),827454
palatine et coiffures de gaze,1,non,Pas grain (0),827454
palenas,1,non,Pas grain (0),827454
paliacates,3,non,Pas grain (0),827454
palins,2,non,Pas grain (0),827454
palme,19,non,Pas grain (0),827454
palme en feuilles,79,non,Pas grain (0),827454
palme pour balais,1,non,Pas grain (0),827454
palun,12,non,Pas grain (0),827454
panade,1,non,Pas grain (0),827454
panetons,2,non,Pas grain (0),827454
paniers,7,non,Pas grain (0),827454
paniers à chauffer,1,non,Pas grain (0),827454
paniers à couvrir de terre cuite,1,non,Pas grain (0),827454
paniers à ouvrages,1,non,Pas grain (0),827454
paniers d'espars,1,non,Pas grain (0),827454
paniers d'habit,5,non,Pas grain (0),827454
paniers d'habit de crin,1,non,Pas grain (0),827454
paniers d'olives,1,non,Pas grain (0),827454
paniers d'orseille,1,non,Pas grain (0),827454
paniers d'oseille,1,non,Pas grain (0),827454
paniers d'osier,101,non,Pas grain (0),827454
paniers d'osier petit,1,non,Pas grain (0),827454
paniers de caudré,1,non,Pas grain (0),827454
paniers de coudre,7,non,Pas grain (0),827454
paniers de cuivre,1,non,Pas grain (0),827454
paniers de femme,4,non,Pas grain (0),827454
paniers de fer,1,non,Pas grain (0),827454
paniers de foudre,1,non,Pas grain (0),827454
paniers de jonc,2,non,Pas grain (0),827454
paniers de vannier,2,non,,13751
paniers pour femme,2,non,Pas grain (0),827454
panine,16,non,Pas grain (0),827454
panine de soie,28,non,Pas grain (0),827454
panis à cachette,2,non,Pas grain (0),827454
panne,124,non,Pas grain (0),827454
panne à couvrir,4,non,Pas grain (0),827454
panne ciselée,2,non,Pas grain (0),827454
panne d'Amiens,8,non,Pas grain (0),827454
panne de coton,1,non,Pas grain (0),827454
panne de fil et de laine,2,non,,13751
panne de laine,33,non,Pas grain (0),827454
panne de laine et de long poil,1,non,Pas grain (0),827454
panne de laine et de poil,4,non,Pas grain (0),827454
panne de laine et peluches de laine,0,non,Pas grain (0),827454
panne de laine ficelée,1,non,Pas grain (0),827454
panne de poil,38,non,Pas grain (0),827454
panne de poil longue,1,non,Pas grain (0),827454
panne de soie,95,non,Pas grain (0),827454
panne de velours,1,non,Pas grain (0),827454
panne de velours sur soie,2,non,Pas grain (0),827454
panne des prises,2,non,Pas grain (0),827454
panne écarlate,5,non,Pas grain (0),827454
panne en poil,5,non,Pas grain (0),827454
panne imprimée,2,non,Pas grain (0),827454
panne laine et poil,2,non,Pas grain (0),827454
panne ordinaire,7,non,Pas grain (0),827454
panne poil,1,non,Pas grain (0),827454
panne rouge,1,non,Pas grain (0),827454
"panne, peluches et tripe",234,non,Pas grain (0),827454
panneau et carreaux rouges à paver,1,oui,,13751
panneaux,14,non,Pas grain (0),827454
panneaux de bois,1,non,Pas grain (0),827454
panneaux et carreaux rouges à paver,1,non,,13751
pans à couvrir de terre cuite,3,non,Pas grain (0),827454
pantalons,1,non,Pas grain (0),827454
pantalons de soie,1,non,Pas grain (0),827454
pantoufles,5,non,Pas grain (0),827454
pantoufles brodées,2,non,Pas grain (0),827454
pantoufles brodées pour femme,1,non,Pas grain (0),827454
pantoufles de cuir,2,non,Pas grain (0),827454
pantoufles de cuir et de maroquin,4,non,Pas grain (0),827454
paons,6,non,Pas grain (0),827454
papelias,1,non,Pas grain (0),827454
papeterie,5,oui,,13751
papeterie de toutes sortes,5,oui,,13751
papier,2182,non,Pas grain (0),827454
papier ???,5,non,Pas grain (0),827454
papier à bulle,18,non,Pas grain (0),827454
papier à bulle blanc,52,non,Pas grain (0),827454
papier à bulle gros,2,non,Pas grain (0),827454
papier à cartes,1,non,Pas grain (0),827454
papier à cartouche,2,non,Pas grain (0),827454
papier à connaissements,1,non,Pas grain (0),827454
papier à doublage,9,non,Pas grain (0),827454
papier à doublage et peint,3,non,Pas grain (0),827454
papier à écrire,708,non,Pas grain (0),827454
papier à écrire bleu gris,11,non,Pas grain (0),827454
papier à écrire commun,1,non,,13751
papier à écrire toute espèce,5,non,Pas grain (0),827454
papier à écu fin,2,non,Pas grain (0),827454
papier à enveloppe,12,non,Pas grain (0),827454
papier à enveloppe à pâte de couleur,5,non,,13751
papier à envelopper,1,non,Pas grain (0),827454
papier à états,1,non,Pas grain (0),827454
papier à éventail,16,non,Pas grain (0),827454
papier à facture,3,non,Pas grain (0),827454
papier à faire carte,4,non,Pas grain (0),827454
papier à feites,1,non,Pas grain (0),827454
papier à friser,1,non,Pas grain (0),827454
papier à gargousse,1,non,Pas grain (0),827454
papier à grand compte,2,non,Pas grain (0),827454
papier à image,4,non,Pas grain (0),827454
papier à impression,9,non,Pas grain (0),827454
papier à imprimer,16,non,Pas grain (0),827454
papier à imprimer et à faire carte,70,non,Pas grain (0),827454
papier à l'eau,9,non,Pas grain (0),827454
papier à l'eau commun,2,non,Pas grain (0),827454
papier à l'eau fin,3,non,Pas grain (0),827454
papier à l'école,1,non,Pas grain (0),827454
papier à l'écu,40,non,Pas grain (0),827454
papier à l'écu fin,21,non,Pas grain (0),827454
papier à l'étoile,41,non,Pas grain (0),827454
papier à l'étoile commun,6,non,Pas grain (0),827454
papier à l'étoile fin,15,non,Pas grain (0),827454
papier à la cloche,11,non,Pas grain (0),827454
papier à la noblesse,1,non,Pas grain (0),827454
papier à la piperie,2,non,Pas grain (0),827454
papier à lettre,58,non,Pas grain (0),827454
papier à lettres de Hollande,1,non,Pas grain (0),827454
papier à litière,1,non,Pas grain (0),827454
papier à meubler,128,non,Pas grain (0),827454
papier à ministre,1,non,Pas grain (0),827454
papier à musique,3,non,Pas grain (0),827454
papier à paqueter grand format,3,non,Pas grain (0),827454
papier à paqueter petit format,3,non,Pas grain (0),827454
papier à plan,4,non,Pas grain (0),827454
papier à pliage,2,non,Pas grain (0),827454
papier à sucre,40,non,Pas grain (0),827454
