simplification,nbr_occurences_simpl,obsolete,grains,nbr_occurences_grains
alquifoux ou mine de plomb,3,non,Pas grain (0),827454
alquifoux sable plombifère,1,non,Pas grain (0),827454
alquitra,3,non,Pas grain (0),827454
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,non,Pas grain (0),827454
alto basses contrebasses guitare lyres violes violons,2,non,Pas grain (0),827454
alto bassons guitare violons,3,non,Pas grain (0),827454
alun,2507,non,Pas grain (0),827454
alun à cordonnier,1,non,Pas grain (0),827454
alun autre que brûlé ou calciné,2,non,Pas grain (0),827454
alun bon,2,non,Pas grain (0),827454
alun brûlé,1,non,Pas grain (0),827454
alun commun,1,non,Pas grain (0),827454
alun de glace,1,non,Pas grain (0),827454
alun de roche,5,non,Pas grain (0),827454
alun de Rome,3,non,Pas grain (0),827454
alun de Rome fin rosé,1,non,Pas grain (0),827454
alun de Rouen,2,non,Pas grain (0),827454
alun de Surde,2,non,Pas grain (0),827454
alun du Levant,1,non,Pas grain (0),827454
alun en dracy,1,non,Pas grain (0),827454
alun en rame,1,non,Pas grain (0),827454
alun gâté,1,non,Pas grain (0),827454
alun ordinaire,1,non,Pas grain (0),827454
alvés,0,non,Pas grain (0),827454
amadou,338,non,Pas grain (0),827454
amadou et agaric amadouvier,7,non,Pas grain (0),827454
amandes,2249,non,Pas grain (0),827454
amandes à la praline,4,non,Pas grain (0),827454
amandes amères,2,non,Pas grain (0),827454
amandes arachis noisettes noix noyaux,2,non,Pas grain (0),827454
amandes cassée,7,oui,Pas grain (0),827454
amandes cassées,455,non,Pas grain (0),827454
amandes cassées ou en coque,3,oui,Pas grain (0),827454
amandes cassées ou en coques,3,non,,13751
amandes courtes,102,non,Pas grain (0),827454
amandes douces,5,non,Pas grain (0),827454
amandes en coque,438,oui,Pas grain (0),827454
amandes en coques,458,non,,13751
amandes et figue et raisin,33,non,Pas grain (0),827454
amandes et noisettes et raisins secs,2,non,,13751
amandes et noix et noisettes,100,non,,13751
amandes et pelures et prunes et raisin,0,non,Pas grain (0),827454
amandes et pruneaux,82,non,Pas grain (0),827454
amandes et raisin sec,17,non,Pas grain (0),827454
amandes et raisin sec et savon,1,non,Pas grain (0),827454
amandes et savon,13,non,Pas grain (0),827454
amandes et sucre,25,non,Pas grain (0),827454
amandes et verdet,33,non,Pas grain (0),827454
amandes fraîches,1,non,Pas grain (0),827454
amandes longues,65,non,Pas grain (0),827454
amandes mondées,2,non,Pas grain (0),827454
amandes sèches,64,non,Pas grain (0),827454
amandes sèches et figue sèche et ???,0,non,Pas grain (0),827454
amandes sèches et figue sèche et raisin sec,135,non,Pas grain (0),827454
amarinage,10,non,Pas grain (0),827454
amarine,1,non,Pas grain (0),827454
ambrain à grande barrique,1,non,Pas grain (0),827454
ambre,43,non,Pas grain (0),827454
ambre blanc,1,non,Pas grain (0),827454
ambre brut,19,non,Pas grain (0),827454
ambre carabé,22,non,Pas grain (0),827454
ambre carabé jaune,2,non,Pas grain (0),827454
ambre en grains,1,non,Pas grain (0),827454
ambre et corail,1,non,Pas grain (0),827454
ambre gris,39,non,Pas grain (0),827454
ambre jaune,88,non,Pas grain (0),827454
ambre moulu,3,non,Pas grain (0),827454
amer,3,non,Pas grain (0),827454
amer de laine,1,non,Pas grain (0),827454
amertis,4,non,Pas grain (0),827454
ameublement,2,non,Pas grain (0),827454
ameublement de chitte,1,non,Pas grain (0),827454
ami de toilé,1,non,Pas grain (0),827454
amidon,1316,non,Pas grain (0),827454
amidon alun,1,non,Pas grain (0),827454
amidon en grains,1,non,Pas grain (0),827454
amidon en poudre,1,non,Pas grain (0),827454
amidon et poudre à poudrer,132,non,Pas grain (0),827454
ammoniac,7,non,Pas grain (0),827454
ammoniac et sel,26,non,Pas grain (0),827454
ammonium,1,non,Pas grain (0),827454
amomum,16,non,Pas grain (0),827454
amomum et fèves de tonka et noix de ravensara,2,non,Pas grain (0),827454
amomum verum,2,non,Pas grain (0),827454
amurca,4,non,Pas grain (0),827454
anabasse,122,non,Pas grain (0),827454
anabasse bajutapau,3,non,Pas grain (0),827454
anabasse corat nicaneas platille,2,non,Pas grain (0),827454
anacardes,2,non,Pas grain (0),827454
anacoste,3,non,Pas grain (0),827454
ananas,12,non,Pas grain (0),827454
ananas confit,2,non,Pas grain (0),827454
ananas et pommes de grenade,8,non,Pas grain (0),827454
ananas planté,1,non,Pas grain (0),827454
anatomie,1,non,Pas grain (0),827454
anatose,3,non,Pas grain (0),827454
anches de tonneaux,2,non,Pas grain (0),827454
anchois,1178,non,Pas grain (0),827454
anchois câpres et olives,10,non,Pas grain (0),827454
anchois câpres etc.,1,non,Pas grain (0),827454
anchois câpres olives,1,non,Pas grain (0),827454
anchois et boutargue,13,non,Pas grain (0),827454
anchois et câpres,5,non,Pas grain (0),827454
anchois et câpres et olives,1,non,,13751
anchois et sardes,1,non,Pas grain (0),827454
anchois et sardines,5,non,Pas grain (0),827454
anchois mariné,10,non,Pas grain (0),827454
anchois mariné et salé,39,non,Pas grain (0),827454
anchois salé,2,non,,13751
anchois salé et mariné,2,non,Pas grain (0),827454
anchois salés,4,non,Pas grain (0),827454
anchois salés et marinés,9,non,Pas grain (0),827454
ancres,56,non,Pas grain (0),827454
ancres de chaudon,1,non,Pas grain (0),827454
ancres de fer,590,non,Pas grain (0),827454
ancres de fer à chaudrons,1,non,Pas grain (0),827454
ancres de fer au-dessus de 250 kilogrammes,1,non,Pas grain (0),827454
ancres de fer de 250 kilogrammes et au-dessous,1,non,Pas grain (0),827454
ancres de fer et embarcations,2,non,Pas grain (0),827454
ancres et embarcations,5,non,Pas grain (0),827454
ancres et grappins de fer,1,non,Pas grain (0),827454
ancres et ouvrages de fer,2,non,,13751
ancres gravelées,1,non,Pas grain (0),827454
ancres neuves,3,non,Pas grain (0),827454
ancres vides,3,non,Pas grain (0),827454
ancres vieilles,1,non,Pas grain (0),827454
ancres vieilles vides,1,non,Pas grain (0),827454
andolium,5,non,Pas grain (0),827454
andouilles,45,non,Pas grain (0),827454
andouillette,1,non,Pas grain (0),827454
ânes,182,non,Pas grain (0),827454
ânes et ânesses,97,non,Pas grain (0),827454
ânes et mulets,11,non,Pas grain (0),827454
ânesses,1,non,Pas grain (0),827454
angélique,29,non,Pas grain (0),827454
angélique du Rozème,1,non,Pas grain (0),827454
anguilles,25,non,Pas grain (0),827454
anguilles et truites,118,non,Pas grain (0),827454
anguilles fraîches,1,non,Pas grain (0),827454
