simplification,nbr_occurences_simpl,ulrich,obsolete,nbr_occurences_ulrich
drogues chimiques et métalliques sublimé,1,drogues,non,1472
drogues colorantes,1,drogues,non,1472
drogues communes,17,drogues,non,1472
drogues composées,3,drogues,non,1472
drogues composées pour médecine ???,1,drogues,non,1472
drogues composées pour médecine précipité,1,drogues,non,1472
drogues d'apothicaire,69,drogues,non,1472
drogues d'apothicaire communes,2,drogues,non,1472
drogues de misme,1,drogues,non,1472
drogues des Indes,1,drogues,non,1472
drogues diverses composées,2,drogues,non,1472
drogues diverses médicinales,5,drogues,non,1472
drogues diverses pour peintures et teinture,4,drogues,non,1472
drogues diverses réunies,2,drogues,non,1472
drogues du Languedoc,1,drogues,non,1472
drogues en plantes,1,drogues,non,1472
drogues et épicerie,5,drogues,non,1472
drogues et épiceries diverses pour peintures et teinture,2,drogues,non,1472
drogues et graines diverses,1,drogues,non,1472
drogues et jus et sirop de cerise et de grenade,1,drogues,non,1472
drogues et soie et laine,1,drogues,non,1472
drogues fines,14,drogues,non,1472
drogues galle,1,drogues,non,1472
drogues gomme médicinales diverses,1,drogues,non,1472
drogues gomme métalliques diverses,1,drogues,non,1472
drogues médicales naturelles,1,drogues,non,1472
drogues médicinales,31,drogues,non,1472
drogues médicinales ???,2,drogues,non,1472
drogues médicinales casse en ???,1,drogues,non,1472
drogues médicinales en plantes diverses,2,drogues,non,1472
drogues médicinales en rhubarbe composée,3,drogues,non,1472
drogues métalliques,7,drogues,non,1472
drogues métalliques ???,2,drogues,non,1472
drogues métalliques et chimiques,3,drogues,non,1472
drogues odorantes,1,drogues,non,1472
drogues pour la Compagnie des Indes,1,drogues,non,1472
drogues pour la médecine,1,drogues,non,1472
drogues pour la teinture,2,drogues,non,1472
drogues pour les peintures et la teinture fnée platte,1,drogues,non,1472
drogues pour les peintures et teinture gande,2,drogues,non,1472
drogues pour peintures,15,drogues,non,1472
drogues pour peintures et coiffures,5,drogues,non,1472
drogues pour peintures et la teinture,1,drogues,non,1472
drogues pour peintures et teinture,123,drogues,non,1472
drogues pour peintures et teinture ???,7,drogues,non,1472
drogues pour peintures et teinture composite,1,drogues,non,1472
drogues pour peintures et teinture diverses,12,drogues,non,1472
drogues pour peintures et teinture pae ???,1,drogues,non,1472
drogues pour peintures et teinture semence,2,drogues,non,1472
drogues pour teinture,1,drogues,non,1472
droguet,2,out,non,288284
droguet d'Angleterre,2,out,non,288284
droguet de castor,2,out,non,288284
droguet de coton et de soie,1,cotton goods,non,9461
droguet de fil de laine,1,out,non,288284
droguet de fil et de laine,10,out,non,288284
droguet de fil et laine,2,out,oui,288284
droguet de Hollande,6,out,non,288284
droguet de laine,27,out,non,288284
droguet de laine des prises,1,out,non,288284
droguet de laine et fil,2,out,oui,288284
droguet de milan,1,out,non,288284
droguet de soie,19,out,non,288284
droguet des prises,1,out,non,288284
droguet en fil,1,out,non,288284
droguet en laine,1,out,non,288284
droguet et Maroc,2,out,non,288284
droit sur vin de Blaye,1,out,non,288284
droit sur vinaigre,2,out,non,288284
drol et drouel,1,out,non,288284
duc-d'Albe,6,out,non,288284
duc-d'Albe de grés,1,out,non,288284
duc-d'Albe de terre,1,out,non,288284
duffel,2,out,non,288284
duffel teint,2,out,non,288284
duves,1,out,non,288284
duvet,12,out,non,288284
duvet de plume,1,out,non,288284
duvet de plume de canard cygne et oie,3,out,non,288284
duyvelsteen,1,out,non,288284
duyvelsterck,2,out,non,288284
e ???,1,out,non,288284
eau,3,out,non,288284
eau à noirir tabac,1,out,non,288284
eau citronnelle,2,out,non,288284
eau coclearia,1,out,non,288284
eau cordiale,4,out,non,288284
eau d'anis,2,out,non,288284
eau d'arc,1,out,non,288284
eau d'arquebusade,2,out,non,288284
eau d'aspic,1,out,non,288284
eau d'Esquebat,2,out,non,288284
eau d'odeur,2,out,non,288284
eau d'orange,1,out,non,288284
eau de balaruc,78,out,non,288284
eau de Barbade,11,out,non,288284
eau de bergamote,3,out,non,288284
eau de Bristol,4,out,non,288284
eau de Bristol des prises,1,out,non,288284
eau de bronze,1,out,non,288284
eau de Bussang,1,out,non,288284
eau de Bussingue,3,out,non,288284
eau de cannelle,4,out,non,288284
eau de Carmes,2,out,non,288284
eau de cédrat,1,out,non,288284
eau de cèdre,7,out,non,288284
eau de cerise,11,out,non,288284
eau de Charente,2,out,non,288284
eau de citron,31,out,non,288284
eau de citron distillée,1,out,non,288284
eau de citronnelle,29,out,non,288284
eau de coclearia,6,out,non,288284
eau de Cologne,12,out,non,288284
eau de composition,1,out,non,288284
eau de Cordoue,3,out,non,288284
eau de feuilles d'orange,2,out,non,288284
eau de fleurs,1,out,non,288284
eau de fleurs d'oranger,339,out,non,288284
eau de fleurs de myrte,1,out,non,288284
eau de fleurs de senteur,1,out,non,288284
eau de fleurs fortes,1,out,non,288284
eau de garance,2,out,non,288284
eau de genièvre,4,out,non,288284
eau de grain,1,out,non,288284
eau de hongrie,2,out,non,288284
eau de Hongrie,7,out,non,288284
eau de jasmin,1,out,non,288284
eau de la Côte,1,out,non,288284
eau de la reine de Hongrie,28,out,non,288284
eau de lavande,110,out,non,288284
eau de limon,1,out,non,288284
eau de liqueur,1,out,non,288284
eau de Marquette,2,out,non,288284
eau de mélisse,100,out,non,288284
eau de mer,1,out,non,288284
eau de miel,1,out,non,288284
eau de myrrhe,1,out,non,288284
eau de naffle,1,out,non,288284
eau de Naples,1,out,non,288284
eau de nard,1,out,non,288284
eau de Philippine,1,out,non,288284
eau de pin,16,out,non,288284
eau de Plombières,1,out,non,288284
eau de poix,6,out,non,288284
eau de poix raze,1,out,non,288284
eau de raisin,21,out,non,288284
eau de raison,1,out,non,288284
eau de rave,2,out,non,288284
eau de raze,2,out,non,288284
eau de résine,8,out,non,288284
eau de Rochefort,1,out,non,288284
eau de romarin,4,out,non,288284
eau de rose,113,out,non,288284
eau de rose essence de térébenthine,1,turpentine,non,556
eau de Seltzer,6,out,non,288284
eau de senlaw,1,out,non,288284
eau de senteur,253,out,non,288284
eau de senteur alcoolique,2,out,non,288284
eau de senteur alcoolique autre que Cologne et lavande,1,out,non,288284
eau de senteur de bergamote,1,out,non,288284
eau de senteur de citron,1,out,non,288284
eau de senteur de la reine de Hongrie,373,out,non,288284
eau de senteur de lavande,3,out,non,288284
eau de senteur de nard,1,out,non,288284
eau de senteur en flacons,1,out,non,288284
eau de senteur et quintessence,1,out,non,288284
eau de senteur rose,1,out,non,288284
eau de senteur sans alcool,2,out,non,288284
eau de senteur sans alcool autre que fleurs d'oranger,1,out,non,288284
eau de senteur sans pareille,1,out,non,288284
eau de Spa,14,out,non,288284
eau de tartre,3,out,non,288284
eau de térébenthine,1,turpentine,non,556
eau de toilette,1,out,non,288284
eau de vertu,1,out,non,288284
eau des Carmes,13,out,non,288284
eau des cavernes,1,out,non,288284
eau des farmes,1,out,non,288284
eau distillée,3,out,non,288284
eau distillée alcoolique,1,out,non,288284
eau distillée sans alcool,1,out,non,288284
eau distillée sans alcool autres que fleurs d'oranger,1,out,non,288284
eau diverse,7,out,non,288284
eau divine,2,out,non,288284
eau du Rhône,1,out,non,288284
eau et essence,5,out,non,288284
eau et essence spiritueuse,1,out,non,288284
eau et huile spiritueuse,4,out,non,288284
eau ferrée,1,out,non,288284
eau gazeuse,1,out,non,288284
eau médicinale,16,out,non,288284
eau médicinale cordiale,1,out,non,288284
eau médicinale d'arquebusan,2,out,non,288284
eau médicinale de cannelle,1,out,non,288284
eau médicinale de Chypre,1,out,non,288284
eau médicinale de coclearia,1,out,non,288284
eau médicinale de genièvre,1,out,non,288284
eau médicinale de marquette,1,out,non,288284
eau médicinale de mélisse,5,out,non,288284
eau médicinale de pin,1,out,non,288284
eau médicinale de raisin,1,out,non,288284
eau médicinale de Seltzer,1,out,non,288284
eau médicinale et minérale,1,out,non,288284
eau mélisse,3,out,non,288284
eau minérale,35,out,non,288284
eau minérale de Bristol,1,out,non,288284
eau ocgeniente,1,out,non,288284
eau octaze,1,out,non,288284
eau Plombières,1,out,non,288284
eau pour la goutte,1,out,non,288284
eau pour remède,1,out,non,288284
eau royale,1,out,non,288284
eau sans pareille,3,out,non,288284
eau sederale,1,out,non,288284
eau spiritueuse,4,out,non,288284
eau spiritueuse et essence,3,out,non,288284
eau vulnéraire,16,out,non,288284
eau-de-vie,2843,out,non,288284
eau-de-vie anisette,1,out,non,288284
eau-de-vie antiscorbutique,1,out,non,288284
eau-de-vie commune,18,out,non,288284
eau-de-vie composée,1,out,non,288284
eau-de-vie d'Espagne,2,out,non,288284
eau-de-vie d'Hendaye,50,out,non,288284
eau-de-vie d'Hendaye et simple,2,out,non,288284
eau-de-vie d'Oléron,3,out,non,288284
"eau-de-vie de ""?"" en pots",3,,non,1091
eau-de-vie de Charente,89,out,non,288284
eau-de-vie de cidre,6,out,non,288284
eau-de-vie de Cognac,13,out,non,288284
eau-de-vie de Dantzig,5,out,non,288284
eau-de-vie de genièvre,40,out,non,288284
eau-de-vie de genièvre et de grains,2,out,non,288284
eau-de-vie de genièvre simple,5,out,non,288284
eau-de-vie de grains,3,out,non,288284
eau-de-vie de grains autre que genièvre,1,out,non,288284
eau-de-vie de grains et simple,1,out,non,288284
eau-de-vie de lavande et simple,1,out,non,288284
eau-de-vie de Marennes,3,out,non,288284
eau-de-vie de mélasse rhum et tafia,2,out,non,288284
eau-de-vie de Ré,79,out,non,288284
eau-de-vie de Rochefort,20,out,non,288284
eau-de-vie de vin,15,out,non,288284
eau-de-vie de vin au-dessus de 32 degrés,2,out,non,288284
eau-de-vie de vin de 22 degrés à 32,2,out,non,288284
eau-de-vie de vin de 22 degrés ou moins,2,out,non,288284
eau-de-vie de vin par Marseille,1,out,non,288284
eau-de-vie des prises,1,out,non,288284
eau-de-vie diverse,3,out,non,288284
eau-de-vie double,44,out,non,288284
eau-de-vie en bouteille simple,1,out,non,288284
eau-de-vie et liqueurs,1,out,non,288284
eau-de-vie et rhum,1,out,non,288284
eau-de-vie et rhum et tafia,1,out,non,288284
eau-de-vie par Marseille,1,out,non,288284
eau-de-vie raffinée,10,out,non,288284
eau-de-vie rectifiée,5,out,non,288284
eau-de-vie royale,4,out,non,288284
eau-de-vie scorbutique,1,out,non,288284
eau-de-vie simple,240,out,non,288284
eau-de-vie simple de vin,1,out,non,288284
eau-de-vie spiritueuse,1,out,non,288284
eau-de-vie triple,2,out,non,288284
eau-forte,249,out,non,288284
eau-forte huile de vitriol le dania,1,out,non,288284
ébénisterie,1,out,non,288284
écaille,6,out,non,288284
écaille ???,1,out,non,288284
écaille au caret,1,out,non,288284
écaille cahouanne,1,out,non,288284
écaille d'ablette,1,out,non,288284
écaille de ???,1,out,non,288284
écaille de cahouanne,22,out,non,288284
écaille de caret,14,out,non,288284
écaille de poisson,2,out,non,288284
écaille de tortue,251,out,non,288284
écaille de tortue caret,1,out,non,288284
écaille de tortue en carapace,4,out,non,288284
écaille de tortue en carapace de l'étranger,1,out,non,288284
écaille de tortue et nacre de perle,2,out,non,288284
écaille de tortue onglons,3,out,non,288284
écaille de tortue onglons et rognures,1,out,non,288284
écaille de tortue rognures,3,out,non,288284
écaille octomie,1,out,non,288284
écaille ou caret,3,out,non,288284
écarlate,1,out,non,288284
écarlatine,17,out,non,288284
écarlatine de Beauvais,1,out,non,288284
écarlatine du Languedoc,1,out,non,288284
écarts de bœuf,1,out,non,288284
échalas,7,out,non,288284
échalote,11,out,non,288284
échantillons et morceaux de soie,1,out,non,288284
écharpe de soie,2,out,non,288284
écharpe de taffetas,1,out,non,288284
écharpe et gaze,1,out,non,288284
écharpe pour femme,1,out,non,288284
échaussillons,1,out,non,288284
échelles,2,out,non,288284
échelles anglaises,1,out,non,288284
échelles de 8 pieds,1,out,non,288284
échelles de bois,1,out,non,288284
échelles de bois de 10 pieds,1,out,non,288284
échelles de route,1,out,non,288284
échouements et prises,1,out,non,288284
éclisses de bois,2,out,non,288284
écluses de fer,1,out,non,288284
écope,1,out,non,288284
écopes,34,out,non,288284
écopes de sapin,2,out,non,288284
écorce,10,out,non,288284
écorce à tan moulue,2,out,non,288284
écorce à tan non moulue,3,out,non,288284
écorce à tanner,6,out,non,288284
écorce autre que citron orange et leurs variété et quinquina,1,out,non,288284
écorce d'arbre,40,out,non,288284
écorce d'arbre de gaïac,1,out,non,288284
écorce d'arbre étoffe,2,out,non,288284
écorce d'arbre rayée,2,out,non,288284
écorce d'orange,69,out,non,288284
écorce d'orange et de citron,3,out,non,288284
écorce d'orange séchée,14,out,non,288284
écorce d'orange sergal,3,out,non,288284
écorce de bergamote,8,out,non,288284
écorce de bois,3,out,non,288284
écorce de bois de fer,3,out,non,288284
écorce de boutard,1,out,non,288284
écorce de cacao,49,out,non,288284
écorce de câpres,1,out,non,288284
écorce de cédrat,6,out,non,288284
écorce de cèdre,3,out,non,288284
écorce de chanvre,1,out,non,288284
écorce de chêne,33,out,non,288284
écorce de chêne moulue,1,out,non,288284
écorce de citron,68,out,non,288284
écorce de citron confite,12,out,non,288284
écorce de citron et d'orange,4,out,non,288284
écorce de citron et d'orange et de leurs variétés,6,out,non,288284
écorce de citron non épluché,1,out,non,288284
écorce de citron sèche,2,out,non,288284
écorce de gaïac,23,out,non,288284
écorce de grande d'aulne et de bourdaine,2,out,non,288284
écorce de grenade,8,out,non,288284
écorce de limon,1,out,non,288284
écorce de limons sec,1,out,non,288284
écorce de Magellan,1,out,non,288284
écorce de mandragore,1,out,non,288284
écorce de mélisse,1,out,non,288284
écorce de pin,2,out,non,288284
écorce de pin en poussière,1,out,non,288284
écorce de pin moulue,3,out,non,288284
écorce de quinquina,5,out,non,288284
écorce de simarouba,1,out,non,288284
écorce de soie,1,out,non,288284
écorce de tilleul,4,out,non,288284
écorce de tilleul pour cordages,1,out,non,288284
écorce pour tanner,2,out,non,288284
écorce rayée,1,out,non,288284
écorce unie,1,out,non,288284
ecouette,1,out,non,288284
ecouette de nattes,1,out,non,288284
écouvillons,1,out,non,288284
écrans,2,out,non,288284
écrelet,1,out,non,288284
écrevisses,1,out,non,288284
écrevisses de mer,1,out,non,288284
écrevisses de rivière,1,out,non,288284
écritoire,4,out,non,288284
écritoire de chagrin,1,out,non,288284
écritoire de corne,1,out,non,288284
écritoire de maroquin,1,out,non,288284
écritoire garni d'or,2,out,non,288284
écru de cerise,1,out,non,288284
écuelles de terre,1,out,non,288284
écuelles de vermillon,3,out,non,288284
écume de verre,1,out,non,288284
écumoires à sucre,2,out,non,288284
écus à palmes,1,out,non,288284
édredon,1,out,non,288284
édredon de plume,4,out,non,288284
effets,1,,oui,1091
effets de troupes,1,out,non,288284
effilé de fil,5,out,non,288284
effilé de soie,2,out,non,288284
effilé or fil,1,out,non,288284
efforces à tondre,1,out,non,288284
églefins,2,out,non,288284
églefins salés,1,out,non,288284
egoutals,1,out,non,288284
egoutals de bois,1,out,non,288284
égouttoirs,33,out,non,288284
égouttoirs à fondre,1,out,non,288284
égouttoirs de bois,2,out,non,288284
egrat,1,out,non,288284
elatches,18,out,non,288284
elbots,1,out,non,288284
elbots salés,1,out,non,288284
elegias,1,out,non,288284
élixir,23,out,non,288284
élixir de garus,4,out,non,288284
élixir purgatif,1,out,non,288284
ellébore,6,out,non,288284
ellébore blanc,1,out,non,288284
élocs de fer,1,out,non,288284
émail,23,out,non,288284
émail brut,1,out,non,288284
emballage,1,out,non,288284
embarcations à dépecer,2,out,non,288284
embarcations avec agrès,1,out,non,288284
embarcations en état de servir,1,out,non,288284
embarcations et autres objets de marine,1,out,non,288284
embarcations et voiles de navire,1,out,non,288284
émeraudes brutes,1,out,non,288284
émeraudes et opales taillées,1,out,non,288284
émeraudes taillés,1,out,non,288284
émeri,38,out,non,288284
émeri en pierre,2,out,non,288284
émeri en pierres,9,out,non,288284
émeri en poudre,13,out,non,288284
empeignes,1,out,non,288284
empeignes brodées,1,out,non,288284
empeignes brodées pour souliers,1,out,non,288284
empeignes coupées pour empeignes,1,out,non,288284
empeignes de souliers,6,out,non,288284
empeignes de souliers brodés,1,out,non,288284
empeignes de souliers imprimées,1,out,non,288284
empeignes de toile,1,out,non,288284
empeignes et talons de cuir coupés,1,out,non,288284
empeignes peintes pour souliers,1,out,non,288284
en bâtiments de mer,1,out,non,288284
en pain,1,out,non,288284
enamitte,1,out,non,288284
encens,345,out,non,288284
encens commun,3,out,non,288284
encens des Indes,1,out,non,288284
encens en grabeau,4,out,non,288284
encens en poudre,1,out,non,288284
encens en poussière,4,out,non,288284
enclumes,1,out,non,288284
enclumes de fer,75,out,non,288284
enclumes de fer et étaux de fer,1,out,non,288284
encoignement,1,out,non,288284
encoignures,5,out,non,288284
encoignures de bois vernissé,1,out,non,288284
encre,5,out,non,288284
encre à dessiner en tablettes,1,out,non,288284
encre à écrire,30,out,non,288284
encre à écrire et à imprimer,1,out,non,288284
encre à imprimer,3,out,non,288284
encre commune,1,out,non,288284
encre d'imprimerie,3,out,non,288284
encre de la Chine,8,out,non,288284
encre de la petite vertu,1,out,non,288284
encre de nankin,2,out,non,288284
encre glassine,1,out,non,288284
encre liquide à écrire ou à imprimer,1,out,non,288284
encre odorante,1,out,non,288284
encre rouge,4,out,non,288284
encrin,1,out,non,288284
endives,1,out,non,288284
engins,1,,non,1091
engrais,5,out,non,288284
engrais colombine,14,out,non,288284
engrais divers,1,out,non,288284
engrais en court fumier,1,out,non,288284
engrais en fournelle,1,out,non,288284
engrais en fumier de rue,1,out,non,288284
engrais en pourette,1,out,non,288284
engrais gru,1,out,non,288284
entenolles,1,out,non,288284
épagnolette simple,1,out,non,288284
épaulettes,1,out,non,288284
épaulettes d'argent,1,out,non,288284
épeautre,1,out,non,288284
épeautre en gerbes,1,out,non,288284
épée,13,out,non,288284
épée à garde d'argent,4,out,non,288284
épée à garde de cuivre doré,1,out,non,288284
épée argentée,1,out,non,288284
épée d'acier,2,out,non,288284
épée d'argent,31,out,non,288284
épée d'argent doré,1,out,non,288284
épée d'argent et de cuivre,2,out,non,288284
épée d'argent et de cuivre doré,1,out,non,288284
épée de cuivre,3,out,non,288284
épée de cuivre doré,5,out,non,288284
épée masquinée,1,out,non,288284
épée montée en acier,1,out,non,288284
épée montée en argent,1,out,non,288284
éperons,3,out,non,288284
éperons et étriers,1,out,non,288284
éperviers,1,out,non,288284
épice,1,out,non,288284
épice de Curons,2,out,non,288284
épicerie,381,out,non,288284
épicerie commune,9,out,non,288284
épicerie douce,9,out,non,288284
épicerie fine,62,out,non,288284
épices,1,out,non,288284
épices préparées,1,out,non,288284
épices préparées autres que moutarde et poudre de kari,1,out,non,288284
épices préparées autres que moutarde et sauces épicées,1,out,non,288284
epinelle,1,out,non,288284
épines à planter,1,out,non,288284
épinettes,7,out,non,288284
épingles,97,out,non,288284
épingles communes,1,out,non,288284
épingles de laiton,4,out,non,288284
épingles de mercerie fine,6,out,non,288284
épingles en cuivre,1,out,non,288284
épingoles,3,out,non,288284
epiterie,1,out,non,288284
éponges,298,out,non,288284
éponges communes,13,out,non,288284
éponges communes et fines,1,out,non,288284
éponges et tournesol,1,out,non,288284
éponges fines,10,out,non,288284
éponges grosses,1,out,non,288284
épousterie,41,out,non,288284
éprouvette de cuivre,1,out,non,288284
équerre,2,out,non,288284
equeurs,1,out,non,288284
équille,1,out,non,288284
équille pour voile pour la Compagnie de Guinée,1,out,non,288284
equine,2,out,non,288284
ergots de bœuf,7,out,non,288284
ergots de caret,1,out,non,288284
érnail,1,out,non,288284
escabelles,2,out,non,288284
escamitte,77,cotton goods,non,9461
escamotte,4,out,non,288284
escaralles,1,out,non,288284
escarasse,20,out,non,288284
escarbille,1,out,non,288284
escargots,1,out,non,288284
escargots et crekels,1,out,non,288284
escarpins,1,out,non,288284
escarpins de chambre,1,out,non,288284
escayolles,214,out,non,288284
esclapes,1,out,non,288284
esclapes de bois,2,out,non,288284
esco,1,out,oui,288284
escope,19,out,non,288284
escortines,4,out,non,288284
escortines à huile,1,out,non,288284
escortines d'espars,5,out,non,288284
escortines de jonc,1,out,non,288284
escosses,1,out,non,288284
escot,7,out,non,288284
escot de bois,1,out,non,288284
escot de fer,5,out,non,288284
escot de laine,3,out,non,288284
escotins de bois,1,out,non,288284
espadrilles,3,out,non,288284
espagnolette,65,out,non,288284
espagnolette à fleurs,1,out,non,288284
espagnolette croisée,118,out,non,288284
espagnolette croisée et simple,3,out,non,288284
espagnolette de laine,18,out,non,288284
espagnolette de laine croisée,4,out,non,288284
espagnolette de laine lisse,2,out,non,288284
espagnolette de laine simple,1,out,non,288284
espagnolette des prises,2,out,non,288284
espagnolette simple,83,out,non,288284
espars,291,out,non,288284
espars de 10 à 15 pieds,2,out,non,288284
espars de 10 pieds,1,out,non,288284
espars de 11 à 20 pieds,1,out,non,288284
espars de 12 à 15 pieds,1,out,non,288284
espars de 14 à 16 pieds,1,out,non,288284
espars de 14 pieds,1,out,non,288284
espars de 15 à 16 pieds,1,,non,1091
espars de 15 à 20 pieds,3,out,non,288284
espars de 15 à 25 centimètres,2,out,non,288284
espars de 15 centimètres inclusivement à 25 exclusivement,2,out,non,288284
espars de 16 à 36 pieds,1,out,non,288284
espars de 17 pieds,1,,non,1091
espars de 18 à 20 pieds,4,out,non,288284
espars de 18 à 36 pieds,1,out,non,288284
espars de 18 pieds,7,out,non,288284
espars de 20 à 22 pieds,2,out,non,288284
espars de 20 à 25 pieds,4,out,non,288284
espars de 20 à 25 pieds de long,1,out,non,288284
espars de 20 à 26 pieds,1,out,non,288284
espars de 20 à 30 pieds,1,out,non,288284
espars de 20 pieds,3,out,non,288284
espars de 24 à 36 pieds,1,out,non,288284
espars de 24 pieds,2,,non,1091
espars de 25 à 26 pieds,1,out,non,288284
espars de 25 à 30 pieds,5,out,non,288284
espars de 26 à 28 pieds,1,out,non,288284
espars de 26 pieds,2,out,non,288284
espars de 27 pieds,1,out,non,288284
espars de 28 à 30 pieds,1,out,non,288284
espars de 28 à 36 pieds,1,out,non,288284
espars de 28 pieds,1,out,non,288284
espars de 3 à 4 pieds,1,,non,1091
espars de 30 à 35 pieds,1,,non,1091
espars de 30 à 40 pieds,2,out,non,288284
espars de 30 pieds,8,out,non,288284
espars de 35 à 46,1,out,non,288284
espars de 35 pieds,2,out,non,288284
espars de 36 à 40 pieds,1,out,non,288284
espars de 4 à 5 pieds,1,out,non,288284
espars de 40 à 45 pieds,1,out,non,288284
espars de 40 à 50 pieds,3,out,non,288284
espars de 40 pieds,1,out,non,288284
espars de 45 pieds,1,out,non,288284
espars de 5 à 6 pieds,1,out,non,288284
espars de 55 pieds,1,out,non,288284
espars de 56 à 61 pieds,1,out,non,288284
espars de 8 à 9 pieds,1,out,non,288284
espars de différente longueur,5,out,non,288284
espars de nitriol,1,out,oui,288284
espars de sapin,25,out,non,288284
espars de sapin de 15 pieds,1,out,non,288284
espars de sapin de 18 pieds,1,out,non,288284
espars de sapin de 20 pieds,1,out,non,288284
espars de sapin de 24 pieds,1,out,non,288284
espars de sapin de 25 pieds,1,out,non,288284
espars de sapin de 30 pieds,1,out,non,288284
espars de sapin de 37 pieds,1,,non,1091
espars de sapin de 45 pieds,1,out,non,288284
espars divers,1,out,non,288284
espars doubles,9,out,non,288284
espars marmoyées en argent,1,out,non,288284
espars petit,2,out,non,288284
espars petits,1,out,non,288284
espars pour construction,2,out,non,288284
espars simple,3,out,non,288284
espars simples,3,out,non,288284
espèce monnayée ???,1,out,non,288284
espèces,1,out,non,288284
espèces d'argent,1,out,non,288284
espingole,2,out,non,288284
esponton,4,out,non,288284
esprit,1,out,non,288284
esprit d'absinthe,1,out,non,288284
esprit de bergamote,93,out,non,288284
esprit de cédrat,2,out,non,288284
esprit de citron,86,out,non,288284
esprit de coclearia,9,out,non,288284
esprit de corne de cerf,2,out,non,288284
esprit de coton,1,out,non,288284
esprit de feuilles d'orange,1,out,non,288284
esprit de fil,1,out,non,288284
esprit de fleurs d'oranger,7,out,non,288284
esprit de lavande,1,out,non,288284
esprit de limon,4,out,non,288284
esprit de miroly,1,out,non,288284
esprit de myrrhe,1,out,non,288284
esprit de myrthe,1,out,non,288284
esprit de nitre,10,out,non,288284
esprit de romarin,3,out,non,288284
esprit de sel,7,out,non,288284
esprit de sel ammoniac,2,out,non,288284
esprit de sel marin,1,out,non,288284
esprit de soufre,5,out,non,288284
esprit de taffia,2,out,non,288284
esprit de tamarin,1,out,non,288284
esprit de vitriol,38,vitriol,non,620
esprit-de-vin,58,out,non,288284
esprots,3,out,non,288284
esprots fumés,1,out,non,288284
espuirie,1,out,non,288284
esquine,22,out,non,288284
essandoles,1,out,non,288284
essence,192,out,non,288284
essence aromatique,6,out,non,288284
essence au bruit aromatique,1,out,non,288284
essence d'anis,1,out,non,288284
essence de bergamote,4,out,non,288284
essence de cannelle,5,out,non,288284
essence de cendre de bois,1,out,non,288284
essence de citron,36,out,non,288284
essence de fleurs d'orange,1,out,non,288284
essence de girofle,5,out,non,288284
essence de jasmin,10,out,non,288284
essence de lavande,2,out,non,288284
essence de limon,5,out,non,288284
essence de muscade,1,out,non,288284
essence de paruce,1,out,non,288284
essence de pommade,1,out,non,288284
essence de romarin,1,out,non,288284
essence de rose,6,out,non,288284
essence de soie,1,out,non,288284
essence de térébenthine,14,turpentine,non,556
essence de térébenthine et huile de térébenthine,3,turpentine,non,556
essence de thym,1,out,non,288284
essence de vitriol,3,vitriol,non,620
essence et huile de térébenthine,3,turpentine,non,556
essence et pommade,3,out,non,288284
essence odoriférante,1,out,non,288284
essence ou esprit de citron,1,out,non,288284
essence vitriolique et vitriol huile,1,vitriol,non,620
essieux,1,out,non,288284
essieux à cabrouets,2,out,non,288284
essieux de fer,51,out,non,288284
estagnons,3,out,non,288284
estagnons de cuivre allié,1,out,non,288284
estampes,143,out,non,288284
estampes en feuilles,1,out,non,288284
estampes encadrées,2,out,non,288284
estampes et cartes géographiques,11,out,non,288284
estampes et gravures,2,out,non,288284
estampes et images,1,out,non,288284
estampes et librairie,13,out,non,288284
estampes et tableaux,6,out,non,288284
estampes sur papier,1,out,non,288284
estampes sur toile,1,out,non,288284
estères,2,out,non,288284
estères de jonc,4,out,non,288284
estrasse de cocons,1,out,non,288284
estrasse de Savoie,1,out,non,288284
estrasse de soie,42,out,non,288284
esturgeon,19,out,non,288284
esturgeon en adaube,1,out,non,288284
esturgeon mariné,4,out,non,288284
esturgeon salé,2,out,non,288284
étain,125,out,non,288284
étain battu,8,out,non,288284
étain battu ou limé,1,out,non,288284
étain brut,18,out,non,288284
étain brut d'Inde,1,out,non,288284
étain brut d'Inde des entrepôts,1,out,non,288284
étain brut en masses ouvrages brisés et saumons,1,out,non,288284
étain creux,1,out,non,288284
étain d'Angleterre,2,out,non,288284
étain de glaces,19,out,non,288284
étain de j ???,1,out,non,288284
étain de malgue,1,out,non,288284
étain de Melac,5,out,non,288284
étain de retour faute de vente,1,out,non,288284
étain des Indes,21,out,non,288284
étain du Pérou,1,out,non,288284
étain en bloc,281,out,non,288284
étain en bloc des Indes,1,,non,1091
étain en enclumes de fer,1,out,non,288284
étain en faux,3,out,non,288284
étain en feuilles,7,out,non,288284
étain en lingots,2,out,non,288284
étain en plats,1,out,non,288284
étain en plomb,1,out,non,288284
étain en saumon,26,out,non,288284
étain et plomb,1,out,non,288284
étain fin,1,out,non,288284
étain fin en bloc,1,out,non,288284
étain neuf,7,out,non,288284
étain non ouvré,2,out,non,288284
étain pour glaces,1,out,non,288284
étain pour soudure,2,out,non,288284
étain rouge,1,out,non,288284
étain seringues,2,out,non,288284
étain verni,1,out,non,288284
étain vieux,48,out,non,288284
étais en bois,1,out,non,288284
etalchasse,2,out,non,288284
étamette,3,out,non,288284
étamette dauphine casinettes,2,out,non,288284
étamine,215,out,non,288284
étamine à bluteau,3,out,non,288284
étamine à passer fromage,1,out,non,288284
étamine à pavillon,9,out,non,288284
