simplification,nbr_occurences_simpl,grouping,note,nbr_occurences_grouping
Pêches françaises,42,Divers,,2350
Pérou,6,Amériques,,64789
Petites Îles,595,France,,7836
Philippines,1,Asie,,4654
Piémont,1590,Italie,,107044
Piémont et Savoie,340,Italie,,107044
Piémont par mer,1,Italie,,107044
Piémont par terre,1,Italie,,107044
Poitou,1,France,,7836
Pologne,305,Allemagne,,24530
Pologne-Genève,1,Allemagne,,24530
Ports de la Baltique,1,Nord,,67765
Portugal,15447,Portugal,,15458
Prises et saisies,1305,Divers,,2350
Prusse,4705,Nord,,67765
Prusse – par mer,2,Nord,,67765
Riga,3,Nord,,67765
Rio de la Plata,14,Amériques,,64789
Rome et Venise,2,Italie,,107044
Rotterdam,6,Hollande,,78958
Rouen,1,France,,7836
Royaume d'Étrurie,1153,Italie,,107044
Royaume de Sardaigne,5879,Italie,,107044
Royaume de Sardaigne – par mer,2,Italie,,107044
Royaume de Sardaigne – par terre,2,Italie,,107044
Russie,6700,Nord,,67765
Saint-Domingue,5743,Amériques,,64789
Saint-Jean de Luz,9,France,,7836
Saint-Thomas,11,Amériques,,64789
Salonique,5,Levant et Barbarie,,26040
"Salonique, Archipel et Satali",17,Levant et Barbarie,,26040
Sardaigne,2041,Italie,,107044
Savoie,12043,Italie,,107044
Savoie et Piémont,11469,Italie,,107044
Sénégal,318,Afrique,,13899
Sénégal français,8,Afrique,,13899
Sidon,5,Levant et Barbarie,,26040
Sidon et Acre,15,Levant et Barbarie,,26040
Smyrne,35,Levant et Barbarie,,26040
"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",2,Nord,,67765
Strasbourg,1,France,,7836
Suède,11346,Nord,,67765
Suède et ses colonies,173,Nord,,67765
Suisse,14278,Suisse,,21148
Tobago,807,Amériques,,64789
Tobago et Sainte-Lucie,2,Amériques,,64789
Toscane,636,Italie,,107044
Tripoli de Syrie,15,Levant et Barbarie,,26040
Trois Évêchés,787,France,,7836
Turquie,34,Levant et Barbarie,,26040
Vénézuela,14,Amériques,,64789
Venise,1976,Italie,,107044
Villes hanséatiques,4920,Nord,,67765
Voitures diverses,2,Divers,,2350
Ypres,1,Flandre et autres états de l'Empereur,,25848
