marchandises_simplification,grains,obsolete
argent brut,Pas grain (0),non
argent brut en lingot et en masse ouvrages détruits,,non
argent carragoux,Pas grain (0),non
argent en barils,Pas grain (0),non
argent en barres,Pas grain (0),non
argent en lingots,Pas grain (0),non
argent en lingots par Calais,Pas grain (0),non
argent et or,Pas grain (0),non
argent et or billon,Pas grain (0),non
argent faux,Pas grain (0),non
argent faux en fil cantilles etc.,,non
argent faux et or faux,Pas grain (0),non
argent faux et or faux traits,Pas grain (0),non
argent fin,Pas grain (0),non
argent monnayé et nogat d'or,Pas grain (0),non
argent talari,Pas grain (0),non
argent vif,Pas grain (0),non
argenterie,Pas grain (0),non
argenterie épée,Pas grain (0),non
argenterie et bijouterie,Pas grain (0),non
argenterie et bijouterie et orfèvrerie,Pas grain (0),non
argenterie et orfévrerie,Pas grain (0),oui
argenterie et orfèvrerie,Pas grain (0),non
argenterie et orfèvrerie vermeil,Pas grain (0),non
argenterie neuve,,non
argenterie vieille,Pas grain (0),non
argile et terre pour engrais,Pas grain (0),non
aristoloche,Pas grain (0),non
armement de tables,,non
armes,Pas grain (0),non
armes à feu,Pas grain (0),non
armes à feu de guerre,,non
armes à feu de guerre et de traite,,non
armes à feu de guerre portatives,,non
armes à feu de luxe,,non
armes à feu de luxe ou de traite,,non
armes à feu de munitions,Pas grain (0),non
armes à feu de munitions fines,Pas grain (0),non
armes à feu de traite,,non
armes à feu et artillerie,Pas grain (0),non
armes à feu et de traite,,non
armes autres que de guerre à feu,,non
armes autres que de guerre blanches,,non
armes blanches,Pas grain (0),non
armes blanches de guerre,,non
armes blanches de guerre et de traite,,non
armes blanches de luxe,,non
armes blanches de luxe ou de traite,,non
armes blanches de traite,,non
armes de chasse ou de luxe à feu,,non
armes de chasse ou de luxe blanches,,non
armes de guerre,Pas grain (0),non
armes et artillerie artillerie en canons pierriers espingoles et mortiers,Pas grain (0),non
armes et munitions,Pas grain (0),non
armes lames,Pas grain (0),non
armes remontrances,Pas grain (0),non
armoires,Pas grain (0),non
armoires ayant servi,Pas grain (0),non
armoires d'acajou,Pas grain (0),non
armoires de bois de noyer,,non
armoires de bois des Indes,Pas grain (0),non
armoires de chêne,Pas grain (0),non
armoires de chêne ornée,Pas grain (0),non
armoires de noyer,Pas grain (0),non
armoires de sapin,Pas grain (0),non
armoires vieilles,,non
armoisin,Pas grain (0),non
armure de fer,Pas grain (0),non
armure vieille,Pas grain (0),non
arpois,Pas grain (0),non
arquebuse,Pas grain (0),non
arrangas,,non
arrosoirs,Pas grain (0),non
arrosoirs de bois,Pas grain (0),non
arrosoirs de cuivre,Pas grain (0),non
arrosoirs de fer-blanc,Pas grain (0),non
arrosoirs de sapin,Pas grain (0),non
arrowroot,,non
arséniate de potasse,,non
arsenic,Pas grain (0),non
arsenic métallique,,non
artichauts,Pas grain (0),non
artichauts champignons et truffes,,non
artichauts confits,Pas grain (0),non
artichauts frais,Pas grain (0),non
artichauts marinés,Pas grain (0),non
artichauts secs,Pas grain (0),non
artifice,Pas grain (0),non
artifice fusées etc.,Pas grain (0),non
artillerie,Pas grain (0),non
asa fœtida,Pas grain (0),non
asperges,Pas grain (0),non
asperges et scorsonères,Pas grain (0),non
asphaltum,Pas grain (0),non
assiette,Pas grain (0),non
assiette de Biarritz,Pas grain (0),non
assiette de bois,Pas grain (0),non
assiette de faïence,Pas grain (0),non
assiette de faïence assorties,,oui
assiette de porcelaine,Pas grain (0),non
assiette de terre,Pas grain (0),non
assiette et plats de terre,Pas grain (0),non
asustum,Pas grain (0),non
attaches de cuivre,Pas grain (0),non
attelles de colliers,Pas grain (0),non
aube,Pas grain (0),non
auchinoise,Pas grain (0),non
auclimes,Pas grain (0),non
auf,Pas grain (0),non
auf ouvré,Pas grain (0),non
auf travaillé,Pas grain (0),non
auf travaillé en cordes,,non
augemy,Pas grain (0),non
auges,Pas grain (0),non
auges de carreaux,Pas grain (0),non
augustins,Pas grain (0),non
aurcsats,Pas grain (0),non
aurcsats étoile,,non
autel de marbre,Pas grain (0),non
avelanèdes,Pas grain (0),non
avelines,Pas grain (0),non
avelines et noisettes sèches,Pas grain (0),non
avelines faînes noisettes noix,,non
avelines noisettes noix,,non
avirons,Pas grain (0),non
avirons bruts,Pas grain (0),non
avirons de 12 pieds,Pas grain (0),non
avirons de 18 pieds,Pas grain (0),non
avirons de 30 pieds,Pas grain (0),non
avirons de 5 pieds,Pas grain (0),non
avirons de 8 à 12 pieds,Pas grain (0),non
avirons de bois,Pas grain (0),non
avirons de bois façonné,,non
avirons et rames bruts,,non
avirons et rames de bois,,non
avirons et rames de bois façonné,,non
avirons et rames façonnés,,non
avirons polis,Pas grain (0),non
avoine,Menus grains (3),non
avoine en gerbes,Menus grains (3),non
avoine et haricots,Substituts (4),non
avoine et orge etc.,Menus grains (3),non
avoine mondée,Menus grains (3),non
avoine moulée,Substituts (4),non
azur,Pas grain (0),non
azur commun,Pas grain (0),non
azur et bleu de Prusse,Pas grain (0),non
azur et cobalt,Pas grain (0),non
azur fin,Pas grain (0),non
azur gros,Pas grain (0),non
babassis,Pas grain (0),non
babouches,Pas grain (0),non
babouches de maroquin,Pas grain (0),non
bacs d'1 aime,Pas grain (0),non
bacs de pierre,Pas grain (0),non
bacs de pierre bleue,Pas grain (0),non
bacs de pierre d'1 aime,Pas grain (0),non
bacs de pierre de 4 aimes,Pas grain (0),non
bacs de pierre de demi d'aime,Pas grain (0),non
bacs de pierre de moindre classe,Pas grain (0),non
bacs de pierre de trois-quart d'aime,Pas grain (0),non
bacs de pierre en dessous d'1 aime,Pas grain (0),non
bacs de pierre en dessus d'1 aime,Pas grain (0),non
badiane,Pas grain (0),non
badiane ou anis étoilé de la Chine,Pas grain (0),oui
baffetas,Pas grain (0),non
baffetas blanc,Pas grain (0),non
baffetas bleu,Pas grain (0),non
baffetas des Indes,Pas grain (0),non
bagarot,Pas grain (0),non
bagues,Pas grain (0),non
bagues à pierres fausses,Pas grain (0),non
bagues d'argent,Pas grain (0),non
bagues d'or,Pas grain (0),non
bagues de cuivre,Pas grain (0),non
bagues de laiton,Pas grain (0),non
bagues de verre,Pas grain (0),non
baguettes,Pas grain (0),non
baguettes à chandelle,Pas grain (0),non
baguettes à étoffe,Pas grain (0),non
baguettes d'étain,Pas grain (0),non
baguettes de bois,Pas grain (0),non
baguettes de bois doré,Pas grain (0),non
baguettes de cuivre,Pas grain (0),non
baguettes de fer à fusil,Pas grain (0),non
baguettes de fusil,Pas grain (0),non
bahuts,Pas grain (0),non
baie de laurier,Pas grain (0),non
baies de buis,,non
baies de genévrier à distiller,,non
baies de genièvre,,non
baignes,Pas grain (0),non
baignoires,Pas grain (0),non
baignoires d'acajou,Pas grain (0),non
baignoires de cuivre,Pas grain (0),non
baignoires de sapin,Pas grain (0),non
baignoires de tôle,Pas grain (0),non
