marchandises_simplification,grains,obsolete
orangelets secs,Pas grain (0),non
orangers,Pas grain (0),non
orangers à planter,,non
orangers petits,Pas grain (0),non
orbe,Pas grain (0),non
orcanette,Pas grain (0),non
orcillons à faire colle,Pas grain (0),non
orcre,Pas grain (0),non
oreilles et oreillons à faire colle,Pas grain (0),non
oreillons,Pas grain (0),non
orfèvrerie,Pas grain (0),non
orfèvrerie d'argent,Pas grain (0),non
orfèvrerie d'argent et d'or,Pas grain (0),non
orfèvrerie d'or,Pas grain (0),non
orfèvrerie d'or et d'argent,Pas grain (0),non
orfèvrerie d'or ou de vermeil,,non
orfèvrerie de platine,,non
organdis,Pas grain (0),non
organeaux,Pas grain (0),non
organette,,non
orge jaune,Céréales inférieures (2),non
orge mondé,Céréales inférieures (2),non
orge moulu,Céréales inférieures (2),non
orge perlé,Pas grain (0),non
orgue d'Allemagne,Pas grain (0),non
orgues,Pas grain (0),non
orgues d'église,,non
orgues de bois,,non
orgues de savoyard,Pas grain (0),non
orgues portatives,,non
orgueur de bois,,non
origan,Pas grain (0),non
ormeaux à planter,Pas grain (0),non
ornements d'église,Pas grain (0),non
ornements de dessert,,non
ornements de fer ouvré,Pas grain (0),non
ornements de table,Pas grain (0),non
orobes,Pas grain (0),non
orpiment,Pas grain (0),non
orpiment broyé,Pas grain (0),non
orpin,Pas grain (0),non
orpin broyé,Pas grain (0),non
orpin rouge,Pas grain (0),non
orseille,Pas grain (0),non
orseille apprêtée,Pas grain (0),non
orseille bleu cendré tournesol en pâte,,non
orseille en drapeaux,Pas grain (0),non
orseille en herbes,Pas grain (0),non
orseille ou tournesol préparé,Pas grain (0),non
orseille sèche,Pas grain (0),non
orseille violette cud beard,,non
ortites de menuisier,Pas grain (0),non
orviétan,Pas grain (0),non
os de bétail,,non
os de bœuf,Pas grain (0),non
os de bœuf et vache,Pas grain (0),non
os de cœur de bœuf,Pas grain (0),non
os de cœur de cerf et de seiche,,non
os de mouton,Pas grain (0),non
os de seiche,Pas grain (0),non
os de seiche serpia officinalis,Pas grain (0),non
os desséchés,Pas grain (0),non
os et sabots de bétail,,non
oseille,Pas grain (0),non
oseille apprêtée,Pas grain (0),non
osier,Pas grain (0),non
osier d'en dessous de 7 paumes,Pas grain (0),non
osier de 10 à 11 paumes,Pas grain (0),non
osier de 12 à 14 paumes,Pas grain (0),non
osier de 7 à 9 paumes,Pas grain (0),non
osier de fer-blanc,Pas grain (0),non
osier en bottes brut,,non
osier en bottes fendu et pelé,,non
osier en bottes fendu ou pelé,,non
osier en dessous de 10 paumes,Pas grain (0),non
osier fendu ou pelé,,non
osier torches,Pas grain (0),non
osserie de Dieppe,Pas grain (0),non
ouate,Pas grain (0),non
ouate d'étoupe,Pas grain (0),non
ouate de coton,Pas grain (0),non
ouate de laine,Pas grain (0),non
ouate de soie,Pas grain (0),non
ouseaux,Pas grain (0),non
outil d'acier pur,,non
outils,Pas grain (0),non
outils à battre l'or,Pas grain (0),non
outils à faire cartes et moules,Pas grain (0),non
outils à soutirer le vin,Pas grain (0),non
outils à sucre,Pas grain (0),non
outils d'acier et de fer,,non
outils d'acier pur,,non
outils d'agriculture,Pas grain (0),non
outils d'horlogerie,Pas grain (0),non
outils d'imprimerie,Pas grain (0),non
outils d'imprimerie et de marbre,Pas grain (0),non
outils de cuisine,Pas grain (0),non
outils de cuivre ou de laiton,,non
outils de fer,Pas grain (0),non
outils de fer de forgeron,Pas grain (0),non
outils de fer pur,,non
outils de fer rechargé d'acier,,non
outils de frecatage,Pas grain (0),non
outils de labourage,Pas grain (0),non
outils de lapidaire,Pas grain (0),non
outils de ménage,Pas grain (0),non
outils de menuiserie,Pas grain (0),non
outils de menuisier,,non
outils de moulin à papier,Pas grain (0),non
outils de moulins,Pas grain (0),non
outils de moulins de fer,Pas grain (0),non
outils de pêche,Pas grain (0),non
outils de pêche par Marseille,Pas grain (0),non
outils en fer,Pas grain (0),non
outils en fer et acier,Pas grain (0),oui
outils menuisier,Pas grain (0),non
outils pour boulanger,Pas grain (0),non
outils pour charpentier,Pas grain (0),non
outils pour ferblantier,Pas grain (0),non
outils pour laboureur,Pas grain (0),non
outils pour marchands de vin,Pas grain (0),non
outils pour miroitier,Pas grain (0),non
outils pour orfèvre,Pas grain (0),non
outils pour ouvrier,Pas grain (0),non
outils pour sécheurs,Pas grain (0),non
outils pour tisserand,Pas grain (0),non
outremer,,non
outres vides,Pas grain (0),non
ouvrage d'architecture,,non
ouvrage de bois,,non
ouvrage de coton,,non
ouvrage de toile,,non
ouvrage de toile pour linge de table,,non
ouvrage de tourneur,,non
ouvrage de vannier 9050 lignes,,oui
ouvrage en argenture et dorure,,non
ouvrages,Pas grain (0),non
ouvrages ???,Pas grain (0),non
ouvrages ??? à couvrir,Pas grain (0),non
ouvrages brisés et vieux ouvrages de laiton,,non
ouvrages corbeille d'osier,Pas grain (0),oui
ouvrages d'acier,Pas grain (0),non
ouvrages d'acier et fer carburé,,oui
ouvrages d'airain,Pas grain (0),non
ouvrages d'albâtre,Pas grain (0),non
ouvrages d'albâtre et ouvrages de bois et ouvrages de marbre,Pas grain (0),non
ouvrages d'ambre,Pas grain (0),non
ouvrages d'ambre jaune,Pas grain (0),non
ouvrages d'argent,Pas grain (0),non
ouvrages d'argent et d'or,Pas grain (0),non
ouvrages d'argent et d'or et de soie,Pas grain (0),non
ouvrages d'argent et d'or faux,,non
ouvrages d'argent et de soie,Pas grain (0),non
ouvrages d'argent fil et soie,,non
ouvrages d'argent fin d'or et de soie,,non
ouvrages d'argent or et soie,,non
ouvrages d'argent plaqué,Pas grain (0),non
ouvrages d'auf,Pas grain (0),non
ouvrages d'auf bandeaux,Pas grain (0),non
ouvrages d'auf en cousses,Pas grain (0),non
ouvrages d'auf et de jonc,Pas grain (0),non
ouvrages d'écaille,Pas grain (0),non
ouvrages d'étain,Pas grain (0),non
ouvrages d'horlogerie,Pas grain (0),non
ouvrages d'horlogerie montés,,non
ouvrages d'industrie,Pas grain (0),non
ouvrages d'industrie étrangers,Pas grain (0),non
ouvrages d'ivoire,Pas grain (0),non
ouvrages d'opium,Pas grain (0),non
ouvrages d'optique,Pas grain (0),non
ouvrages d'or,Pas grain (0),non
ouvrages d'or faux,Pas grain (0),non
ouvrages d'orfèvrerie,Pas grain (0),non
ouvrages d'orfèvrerie d'argent,Pas grain (0),oui
ouvrages d'osier,Pas grain (0),non
ouvrages de bois,Pas grain (0),non
ouvrages de bois de noyer,,non
ouvrages de bois de Saint-Claude,,non
ouvrages de bois de sapin,,non
ouvrages de bois doré,Pas grain (0),non
ouvrages de bois en atelier de coluses,,non
ouvrages de bois en plaqué,Pas grain (0),non
ouvrages de bois et ouvrages d'osier,Pas grain (0),non
ouvrages de bois et ouvrages de cuir,Pas grain (0),non
ouvrages de bois et ouvrages de cuivre,Pas grain (0),non
ouvrages de bois et ouvrages de fer-blanc,Pas grain (0),non
ouvrages de bois et ouvrages de modes et fleurs artificielles,Pas grain (0),non
ouvrages de bois et ouvrages de passementerie,Pas grain (0),non
ouvrages de bois et ouvrages de peau,Pas grain (0),non
ouvrages de bois et ouvrages en terre cuite et ouvrages en brique,Pas grain (0),non
ouvrages de bois et vannerie d'osier,Pas grain (0),non
ouvrages de bois gros,Pas grain (0),non
ouvrages de bois menus,Pas grain (0),non
ouvrages de bois non doré,Pas grain (0),non
ouvrages de bois peint,Pas grain (0),non
ouvrages de bois pour charpente,Pas grain (0),non
ouvrages de bois pour le bâtiment,Pas grain (0),non
ouvrages de bois sculpté et doré,Pas grain (0),non
ouvrages de bois simple,Pas grain (0),non
ouvrages de bois simple et doré,Pas grain (0),non
ouvrages de bois simples en grilles de sapin,Pas grain (0),non
ouvrages de bois verni,Pas grain (0),non
ouvrages de bois verni de Spa,Pas grain (0),non
ouvrages de bronze,Pas grain (0),non
ouvrages de buis,Pas grain (0),non
ouvrages de carreaux et tuiles,Pas grain (0),non
ouvrages de carton,Pas grain (0),non
ouvrages de carton assemblé coupé et moulé,,non
ouvrages de chanvre,Pas grain (0),non
ouvrages de chanvre en masse,Pas grain (0),non
ouvrages de chanvre en rames,Pas grain (0),non
ouvrages de charpentier,Pas grain (0),non
ouvrages de charron,Pas grain (0),non
ouvrages de charronnage,Pas grain (0),non
ouvrages de chêne,,non
ouvrages de cire,Pas grain (0),non
ouvrages de corail,Pas grain (0),non
ouvrages de corail brut,Pas grain (0),non
ouvrages de corail fin,Pas grain (0),non
ouvrages de cordonnerie de peaux,,non
ouvrages de cordonnier,Pas grain (0),non
ouvrages de cordonnier de cuir,,non
ouvrages de cordonnier de soie,,non
ouvrages de corne et d'ivoire,,non
ouvrages de coton,Pas grain (0),non
ouvrages de coton et de laine et de fil et de filoselle,Pas grain (0),non
ouvrages de coudrier,Pas grain (0),non
ouvrages de coutellerie,Pas grain (0),non
ouvrages de coutellerie argenterie,Pas grain (0),non
ouvrages de crin,Pas grain (0),non
ouvrages de crin de cheval,Pas grain (0),non
ouvrages de cristal,Pas grain (0),non
ouvrages de cuir,Pas grain (0),non
ouvrages de cuir ???? en soie pour femme,Pas grain (0),non
ouvrages de cuir argenté et doré,Pas grain (0),non
ouvrages de cuir blanc,Pas grain (0),non
ouvrages de cuir doré,Pas grain (0),non
ouvrages de cuir et bonnets de soie,Pas grain (0),non
ouvrages de cuir et peaux,,non
ouvrages de cuisse,Pas grain (0),non
ouvrages de cuivre,Pas grain (0),non
ouvrages de cuivre argenté,Pas grain (0),non
ouvrages de cuivre doré,Pas grain (0),non
ouvrages de cuivre doré et argenté,Pas grain (0),non
ouvrages de cuivre et argent,Pas grain (0),non
ouvrages de cuivre garnis en argent,Pas grain (0),non
ouvrages de cuivre jaune,Pas grain (0),non
ouvrages de cuivre potin,Pas grain (0),non
ouvrages de cuivre rouge,Pas grain (0),non
ouvrages de cuivre simples,Pas grain (0),non
ouvrages de damier,Pas grain (0),non
ouvrages de drap,Pas grain (0),non
ouvrages de faïence,Pas grain (0),non
ouvrages de fer,Pas grain (0),non
ouvrages de fer de plomb,Pas grain (0),non
ouvrages de fer et ouvrages de jonc,Pas grain (0),non
ouvrages de fer noir,Pas grain (0),non
ouvrages de fer pour maréchal,Pas grain (0),non
ouvrages de fer tôle ou fer-blanc,,non
ouvrages de fer-blanc,Pas grain (0),non
ouvrages de fer-blanc et tôle vernie,Pas grain (0),non
ouvrages de fer-blanc ou fer tôle,,non
ouvrages de feutres,,non
ouvrages de fil,Pas grain (0),non
ouvrages de fil en filoselle,Pas grain (0),non
ouvrages de fil en galon,Pas grain (0),non
ouvrages de filoselle,Pas grain (0),non
ouvrages de filoselle en ruban,Pas grain (0),non
ouvrages de filoselle et de soie,Pas grain (0),non
ouvrages de fleuret,Pas grain (0),non
ouvrages de fleurs,Pas grain (0),non
ouvrages de fleurs artificielle,Pas grain (0),non
ouvrages de fondeur,,non
ouvrages de fonte,Pas grain (0),non
ouvrages de fourreurs,Pas grain (0),non
ouvrages de grès,Pas grain (0),non
ouvrages de jais,Pas grain (0),non
ouvrages de jaspe,Pas grain (0),non
ouvrages de jonc,Pas grain (0),non
ouvrages de jonc et de paille,Pas grain (0),non
ouvrages de jonc et sparterie,Pas grain (0),non
ouvrages de jouets en malles,Pas grain (0),non
ouvrages de laine,Pas grain (0),non
ouvrages de laine et soie,,non
ouvrages de laiton,Pas grain (0),non
ouvrages de liège,Pas grain (0),non
ouvrages de linge,,non
ouvrages de mandrier,Pas grain (0),non
ouvrages de marbre,Pas grain (0),non
ouvrages de marbre à jouer,Pas grain (0),non
ouvrages de marbre et cuivre doré,Pas grain (0),non
ouvrages de marbre et ouvrages d'albâtre,Pas grain (0),non
ouvrages de marqueterie,Pas grain (0),non
ouvrages de mécanique,Pas grain (0),non
ouvrages de menuiserie,Pas grain (0),non
ouvrages de menuiserie simple,Pas grain (0),non
ouvrages de menuisier,Pas grain (0),non
ouvrages de métal,Pas grain (0),non
ouvrages de métal frappé et moulu,,non
ouvrages de mi soie,Pas grain (0),non
ouvrages de mode,Pas grain (0),non
ouvrages de paille,Pas grain (0),non
ouvrages de paille pour chapeaux,,non
ouvrages de palme,,non
ouvrages de palmes,Pas grain (0),non
ouvrages de papeterie,Pas grain (0),non
ouvrages de pâte,Pas grain (0),non
ouvrages de peau,Pas grain (0),non
ouvrages de peaux,,non
ouvrages de peaux d'oigneaux,Pas grain (0),non
ouvrages de peaux de daim,Pas grain (0),non
ouvrages de peaux diverses,Pas grain (0),non
ouvrages de peaux outres pleines,,non
ouvrages de physique,,non
ouvrages de pierre,Pas grain (0),non
ouvrages de pierre autre que chiques,,non
ouvrages de pierres de jayet,,non
ouvrages de plâtre,Pas grain (0),non
ouvrages de plâtre en figure,Pas grain (0),non
ouvrages de plomb,Pas grain (0),non
ouvrages de plumes,Pas grain (0),non
ouvrages de poterie,Pas grain (0),non
ouvrages de sapementier,Pas grain (0),non
ouvrages de sapin,Pas grain (0),non
ouvrages de sellier de toute sorte,Pas grain (0),non
ouvrages de serrurerie,Pas grain (0),non
ouvrages de serrurerie de fer,Pas grain (0),non
ouvrages de serrurerie en ressorts de voiture,Pas grain (0),non
ouvrages de soie,Pas grain (0),non
ouvrages de soie et dorure,Pas grain (0),non
ouvrages de soulier couverts en étoffe de soie pour femme,Pas grain (0),non
ouvrages de Spa,Pas grain (0),non
ouvrages de sparterie,Pas grain (0),non
ouvrages de sparterie commune cordage de jonc paille roseaux et écorce de bois,Pas grain (0),non
ouvrages de sparterie commune et cordage de jonc ...,Pas grain (0),non
ouvrages de tabac,Pas grain (0),non
ouvrages de tabletterie,Pas grain (0),non
ouvrages de taillandier,Pas grain (0),non
ouvrages de terre,Pas grain (0),non
ouvrages de terre cuite,Pas grain (0),non
ouvrages de terre en postures,Pas grain (0),non
ouvrages de tôle,Pas grain (0),non
ouvrages de tonnelier,Pas grain (0),non
ouvrages de tonnelier en feuilles,Pas grain (0),non
ouvrages de tonnellerie,Pas grain (0),non
ouvrages de tourneur,Pas grain (0),non
ouvrages de vannerie de bois et d'osier,Pas grain (0),non
ouvrages de verre,Pas grain (0),non
ouvrages de verre en ???,Pas grain (0),non
ouvrages de verre en bossage,Pas grain (0),non
ouvrages de verre en rasade,Pas grain (0),non
ouvrages de verres,Pas grain (0),non
ouvrages de zinc,,non
ouvrages devant,,non
ouvrages divers,Pas grain (0),non
ouvrages divers d'étain,Pas grain (0),non
ouvrages dorés,Pas grain (0),non
ouvrages dorés argentés et plaqués,Pas grain (0),non
ouvrages dorure fausse,Pas grain (0),non
ouvrages en brique vernissée,Pas grain (0),non
ouvrages en cheveux,,non
ouvrages en cuivre plaqué doré et argenté,Pas grain (0),non
ouvrages en dorure,Pas grain (0),non
ouvrages en dorure argent faux,Pas grain (0),non
ouvrages en dorure fil d'argent,Pas grain (0),non
ouvrages en dorure fine,Pas grain (0),non
ouvrages en dorure sur soie,,non
ouvrages en esparballe,Pas grain (0),non
ouvrages en fleurs artificielles,Pas grain (0),non
ouvrages en futaillerie et de Saint-Claude,Pas grain (0),non
ouvrages en harnais et sellerie,Pas grain (0),non
ouvrages en ivoire et écaille,Pas grain (0),non
ouvrages en lames à couvrir,Pas grain (0),non
ouvrages en marbre,Pas grain (0),non
ouvrages en métal,Pas grain (0),non
ouvrages en métal et fer,Pas grain (0),non
ouvrages en métaux communs argentés dorés plaqués vernissés,,non
ouvrages en métaux communs plaqués,,non
ouvrages en nacre de perle,Pas grain (0),non
ouvrages en nattes de bois,Pas grain (0),non
ouvrages en nattes de Moscovie,Pas grain (0),non
ouvrages en passementerie ordinaire,Pas grain (0),non
ouvrages en pierres,,non
ouvrages en plomb,Pas grain (0),oui
ouvrages en poil autres que le tissu,,non
ouvrages en terre cuite,Pas grain (0),non
ouvrages en tôle vernie,Pas grain (0),non
ouvrages et ornements pour une église,Pas grain (0),non
ouvrages et outils d'horlogerie,Pas grain (0),non
ouvrages paniers d'osier,Pas grain (0),oui
ouvrages pantoufles,Pas grain (0),non
ouvrages riches et divers,Pas grain (0),non
ouvrages tricotés pour vestes camisoles et culottes,Pas grain (0),non
oxyde d'étain et de fer,,non
oxyde de cuivre,,non
oxyde de manganèse,,non
oxyde de plomb,Pas grain (0),non
oxyde de zinc blanc,,non
oxyde de zinc blanc ou gris,,non
oxyde de zinc gris cendré,,non
packlaeken,,non
packlaeken blanc,,non
packlaeken teint,,non
padoux,Pas grain (0),non
padoux de fil,Pas grain (0),non
padoux de fleuret et soie,Pas grain (0),non
padoux de laine,Pas grain (0),non
paesures,Pas grain (0),non
pagas,Pas grain (0),non
pagne,Pas grain (0),non
paillasses,Pas grain (0),non
paillassons et tapis de sol,Pas grain (0),non
paille,Pas grain (0),non
paille d'herbe,Pas grain (0),non
paille de foin,Pas grain (0),non
paille de lin,Pas grain (0),non
paille dite chaume à couvrir toits,Pas grain (0),non
paille et herbes de pâturage,,non
paille hachée,Pas grain (0),non
paillers d'espars,,non
pailles de bois,,non
paillettes d' ???,Pas grain (0),non
paillettes d'argent,Pas grain (0),non
paillettes d'or,Pas grain (0),non
paillettes d'or fin et paillous d'or fin,Pas grain (0),non
pain,Grains transformés (5),non
pain à cacheter,Pas grain (0),non
pain d'épice,Pas grain (0),non
pain d'épice et pâtisserie,,non
pain de cire blanche,Pas grain (0),non
pain de colza et de lin et de navette,Pas grain (0),non
pain de graine de lin,Pas grain (0),non
pain de graine de lin et de navette,Pas grain (0),non
pain de navette,Pas grain (0),non
pain de navette en poudre,Pas grain (0),non
pain de navettes,Pas grain (0),non
palangre,Pas grain (0),non
palatine,Pas grain (0),non
palatine avec argent,Pas grain (0),non
palatine de chenille,Pas grain (0),non
palatine de peau de grèbe,Pas grain (0),non
palatine de soie,Pas grain (0),non
palatine et coiffures de gaze,Pas grain (0),non
palins,Pas grain (0),non
palma christi,Pas grain (0),oui
Palma Christi,,non
palme,Pas grain (0),non
palme en feuilles,Pas grain (0),non
palme pour balais,,non
palun,Pas grain (0),non
panetons,Pas grain (0),non
panier,Pas grain (0),non
panier à couvrir de terre cuite,Pas grain (0),non
panier à ouvrages,Pas grain (0),non
panier d'espars,,non
panier d'habit,Pas grain (0),non
panier d'orseille,,non
panier d'oseille,Pas grain (0),non
panier d'osier,Pas grain (0),non
panier d'osier petit,,non
panier de caudré,Pas grain (0),non
panier de coudre,Pas grain (0),non
panier de cuivre,Pas grain (0),non
panier de femme,Pas grain (0),non
panier de fer,,non
panier de foudre,Pas grain (0),non
panier de jonc,Pas grain (0),non
paniers d'osier,,non
panine,Pas grain (0),non
panine de soie,Pas grain (0),non
panis à cachette,Pas grain (0),non
panne,Pas grain (0),non
panne à couvrir,Pas grain (0),non
panne ciselée,,non
panne d'Amiens,Pas grain (0),non
panne de coton,Pas grain (0),non
panne de laine,Pas grain (0),non
panne de laine et de long poil,,non
panne de laine et de poil,Pas grain (0),non
panne de laine et peluche de laine,Pas grain (0),non
panne de laine ficelée,,non
panne de poil,Pas grain (0),non
panne de poil longue,,non
panne de soie,Pas grain (0),non
panne des prises,Pas grain (0),non
panne écarlate,Pas grain (0),non
Panne en peluches et tripe aune,Pas grain (0),non
panne en poil,,non
panne imprimée,,non
panne laine et poil,,non
panne ordinaire,Pas grain (0),non
panne peluches et tripe,Pas grain (0),non
panne poil,Pas grain (0),non
panneaux,Pas grain (0),non
pans à couvrir de terre cuite,Pas grain (0),non
pantalons,Pas grain (0),non
pantalons de soie,Pas grain (0),non
pantoufles,Pas grain (0),non
pantoufles brodées,Pas grain (0),non
pantoufles de cuir,Pas grain (0),non
pantoufles de cuir et de maroquin,Pas grain (0),non
paons,Pas grain (0),non
papeline,Pas grain (0),non
papeline de soie,Pas grain (0),oui
papier,Pas grain (0),non
papier ???,Pas grain (0),non
papier à bulle,Pas grain (0),non
papier à bulle blanc,Pas grain (0),non
papier à bulle gros,Pas grain (0),non
papier à cartes,,non
papier à cartouche,Pas grain (0),non
papier à connaissements,Pas grain (0),non
papier à doublage,Pas grain (0),non
papier à doublage et peint,Pas grain (0),non
papier à écrire,Pas grain (0),non
papier à écrire de différentes qualités,Pas grain (0),non
papier à écrire toute espèce,Pas grain (0),non
papier à enveloppe,Pas grain (0),oui
papier à envelopper,Pas grain (0),non
papier à états,Pas grain (0),non
papier à éventail,Pas grain (0),non
papier à facture,Pas grain (0),non
papier à faire carte,Pas grain (0),non
papier à feites,Pas grain (0),non
papier à friser,Pas grain (0),non
papier à gargousse,Pas grain (0),non
papier à grand compte,Pas grain (0),non
papier à image,Pas grain (0),non
papier à impression,Pas grain (0),non
papier à imprimer,Pas grain (0),non
papier à imprimer et à faire carte,Pas grain (0),non
papier à l'eau,Pas grain (0),non
papier à l'eau commun,Pas grain (0),non
papier à l'eau fin,Pas grain (0),non
papier à l'école,Pas grain (0),non
papier à l'écu,Pas grain (0),non
papier à l'écu fin,Pas grain (0),non
papier à l'étoile,Pas grain (0),non
papier à l'étoile commun,Pas grain (0),non
papier à l'étoile fin,Pas grain (0),non
papier à la cloche,Pas grain (0),non
papier à la noblesse,Pas grain (0),non
papier à la piperie,Pas grain (0),non
papier à lettre,Pas grain (0),non
papier à lettres de Hollande,Pas grain (0),non
papier à litière,Pas grain (0),non
papier à meubler,Pas grain (0),non
papier à ministre,Pas grain (0),non
papier à musique,Pas grain (0),non
papier à paqueter grand format,Pas grain (0),non
papier à paqueter petit format,Pas grain (0),non
papier à plan,Pas grain (0),non
papier à pliage,,non
papier à sucre,Pas grain (0),non
papier à tapisserie,Pas grain (0),non
papier argenté et doré,Pas grain (0),non
papier aux armes,Pas grain (0),non
papier bâtard,Pas grain (0),non
papier bâtard fin,Pas grain (0),non
papier blanc,Pas grain (0),non
papier blanc à écrire,Pas grain (0),non
papier blanc à enveloppe,Pas grain (0),non
papier blanc Galmes,,non
papier blanc ou rayé pour musique,,non
papier blanc petit format,Pas grain (0),non
papier bleu,Pas grain (0),non
papier bleu à couvrir,Pas grain (0),non
papier bleu de Hollande,Pas grain (0),non
papier bleu et gris,Pas grain (0),non
papier bleu petit format,Pas grain (0),non
papier bouet,Pas grain (0),non
papier brouillard,Pas grain (0),non
papier brun,Pas grain (0),non
papier bulle blanche,,non
papier buvard,Pas grain (0),non
papier buvard fin,Pas grain (0),non
papier carré,Pas grain (0),non
papier cartier,Pas grain (0),non
papier collé,Pas grain (0),non
papier colombier,Pas grain (0),non
papier colorié en rames,,non
papier colorié en rames pour reliures,,non
papier commun,Pas grain (0),non
papier commun et à enveloppe,Pas grain (0),non
papier cornet,Pas grain (0),non
papier cornet et petit,Pas grain (0),non
papier corue,Pas grain (0),non
papier couronne,Pas grain (0),non
papier cru fin,,non
papier d'emballage,Pas grain (0),non
papier d'emballage gris,Pas grain (0),non
papier d'enveloppe,,non
papier d'enveloppe à pâte de couleur,,non
papier d'estrasse,Pas grain (0),non
papier d'estrasse gris,,non
papier de Charente,Pas grain (0),non
papier de Chine,Pas grain (0),non
papier de couleur,Pas grain (0),non
papier de couleur et peint,Pas grain (0),non
papier de Gênes commun,Pas grain (0),non
papier de Gênes fin,Pas grain (0),non
papier de Gênes peint,Pas grain (0),non
papier de Gênes petit,,non
papier de Hollande,Pas grain (0),non
papier de Lamballe,Pas grain (0),non
papier de marquis,Pas grain (0),non
papier de matique,Pas grain (0),non
papier de musique,Pas grain (0),non
papier de pliage,Pas grain (0),non
papier de poste,Pas grain (0),non
papier de raisin,Pas grain (0),non
papier de soie,,non
papier de tapisserie,Pas grain (0),non
papier des Indes,Pas grain (0),non
papier dessiné,Pas grain (0),non
papier doré,Pas grain (0),non
papier doré et fleuragé et marbré,Pas grain (0),non
papier double lys,Pas grain (0),non
papier drapé,Pas grain (0),non
papier en balle,Pas grain (0),non
papier estrasse,Pas grain (0),non
papier et bois d'éventail,Pas grain (0),non
papier étoile fin,,non
papier fin,Pas grain (0),non
papier fleuragé et doré,Pas grain (0),non
papier gaufré,Pas grain (0),non
papier grand carnet,,non
papier grand compte,Pas grain (0),non
papier grand cornet,Pas grain (0),non
papier grand éléphant,Pas grain (0),non
papier grand format,,non
papier grand raisin,,non
papier grandes rames,Pas grain (0),non
papier gris,Pas grain (0),non
papier gris cassé,Pas grain (0),non
papier grossier,Pas grain (0),non
papier impérial,Pas grain (0),non
papier intissé,Pas grain (0),non
papier jésier,Pas grain (0),non
papier lombard,Pas grain (0),non
papier marbré,Pas grain (0),non
papier marbré doré,Pas grain (0),non
papier marbré et à meubler,Pas grain (0),non
papier métallisé,Pas grain (0),non
papier montage,Pas grain (0),non
papier musique gravé,Pas grain (0),non
papier noir,Pas grain (0),non
papier peint,Pas grain (0),non
papier peint à tapisserie,Pas grain (0),non
papier peint en rouleaux,,non
papier peint en rouleaux pour teinture,,non
papier peint et à meubler,Pas grain (0),non
papier peint et à tapisserie,Pas grain (0),non
papier peint et de foulards,Pas grain (0),non
papier peint pour teinture,,non
papier petit fin,Pas grain (0),non
papier pliage,Pas grain (0),non
papier point,Pas grain (0),non
papier pot,,non
papier pot fin,Pas grain (0),non
papier pour éventails,Pas grain (0),non
papier pour polir le bois et les métaux,,non
papier pour tapisserie,,non
papier pour tenture,Pas grain (0),non
papier raisin,Pas grain (0),non
papier registres blancs,Pas grain (0),non
papier roux,Pas grain (0),non
papier royal,Pas grain (0),non
papier tellière,Pas grain (0),non
papier tontisse,Pas grain (0),non
papier violet,Pas grain (0),non
papillons secs,Pas grain (0),non
parapluies,Pas grain (0),non
parapluies communs,Pas grain (0),non
parapluies de soie,Pas grain (0),non
parapluies de taffetas,Pas grain (0),non
parapluies de toile,Pas grain (0),non
parapluies de toile cirée,,non
parapluies et parasols,Pas grain (0),non
parasols,Pas grain (0),non
parasols de peau,Pas grain (0),non
parasols de soie,Pas grain (0),non
parasols de taffetas,Pas grain (0),non
paravent,Pas grain (0),non
paravent de la Chine,Pas grain (0),non
parchemin achevé,,non
parchemin et vélin achevés,,non
parchemin et vélin bruts,,non
parchemins,Pas grain (0),non
parchemins caficule,,non
parchemins en feuilles,Pas grain (0),non
parchemins neufs,Pas grain (0),non
parchemins vieux,Pas grain (0),non
pareira brava,Pas grain (0),non
parfum,Pas grain (0),non
parfumerie,Pas grain (0),non
parfumerie à la valeur,,non
parfumerie eau de senteur,Pas grain (0),non
parfumerie et eau spiritueuse,Pas grain (0),non
parfumerie huile et essence,Pas grain (0),non
parfumerie mêlée de bois odorant ambre gris musc eau de senteur essence et huile odorante encens myrrhe poudre et pommade,Pas grain (0),non
parfumerie musc,Pas grain (0),non
parfumerie pommade,Pas grain (0),non
parfumerie poudre à poudrer,Pas grain (0),non
parfumerie rouge,,non
parfumerie savonnettes,Pas grain (0),oui
pariera,Pas grain (0),non
parmerie poudre d'odeur,,non
parun,Pas grain (0),non
passementerie,Pas grain (0),non
passementerie argent faux,Pas grain (0),non
passementerie bise écrue ou herbée,,non
passementerie blanche ou mélangée de blanc,,non
passementerie d'argent,Pas grain (0),non
passementerie d'argent et d'or faux et de soie,,non
passementerie d'argent et de soie,,non
passementerie d'or,Pas grain (0),non
passementerie d'or et d'argent,Pas grain (0),non
passementerie d'or et de soie,Pas grain (0),non
passementerie de chanvre de fil bis écru herbé et de lin,,non
passementerie de chanvre de fil blanc et mélangé de blanc et de lin,,non
passementerie de chanvre de fil teint en tout et en partie et de lin,,non
passementerie de chanvre de laine blanche et de lin,,non
passementerie de chanvre de laine écrue et de lin,,non
passementerie de chanvre de laine teinte et de lin,,non
passementerie de coton,Pas grain (0),non
passementerie de crin,,non
passementerie de fil,,non
passementerie de fil de chanvre et de lin bis écru herbé ou mélangé,,non
passementerie de fil de chanvre et de lin bis écru ou herbé,,non
passementerie de fil de chanvre et de lin teint en tout ou partie,,non
passementerie de fil de soie et galon,Pas grain (0),non
passementerie de fil en filoselle,Pas grain (0),non
passementerie de fil et coton,Pas grain (0),non
