simplification,nbr_occurences_simpl,africa,note,nbr_occurences_africa
Colonies danoises,90,Other outre-mers,,70603
Colonies des États-Unis d'Amérique,143,Other outre-mers,,70603
Colonies espagnoles,153,Other outre-mers,,70603
Colonies françaises,2198,Other outre-mers,,70603
Colonies françaises au-delà du Cap,4,Other outre-mers,,70603
Colonies françaises d'Amérique,358,Other outre-mers,,70603
Colonies françaises en-deça du Cap,4,Other outre-mers,,70603
Colonies françaises et colonies hollandaises,20,Other outre-mers,,70603
Colonies françaises et Inde,1,Other outre-mers,,70603
Colonies françaises et Saint-Domingue,1,Other outre-mers,,70603
Colonies françaises hors Guyane et Sénégal,3,Other outre-mers,,70603
Colonies hollandaises,142,Other outre-mers,,70603
Colonies portugaises,27,Other outre-mers,,70603
Colonies suédoises,57,Other outre-mers,,70603
Commerce de la Compagnie des Indes,133,Other outre-mers,,70603
Constantinople,22,Not Outre-mers,,472247
Corse,123,Not Outre-mers,,472247
Courlande et Russie,143,Not Outre-mers,,472247
Cuba et Porto Rico,20,Other outre-mers,,70603
Danemark,12392,Not Outre-mers,,472247
Danemark et Norvège,392,Not Outre-mers,,472247
Duché de Bouillon,108,Not Outre-mers,,472247
Dunkerque,722,Not Outre-mers,,472247
Dunkerque et Lorient,2,Not Outre-mers,,472247
Dunkerque et Marseille,2,Not Outre-mers,,472247
Dunkerque et Petites Îles,4,Not Outre-mers,,472247
"Dunkerque, Lorient et Petites Îles",3,Not Outre-mers,,472247
Égypte,53,Not Outre-mers,,472247
Empire Ottoman,1480,Not Outre-mers,,472247
Empire Ottoman et Barbarie,2217,Not Outre-mers,,472247
Empire Ottoman et Levant,98,Not Outre-mers,,472247
"entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",1,Not Outre-mers,,472247
Entrepôt,87,Not Outre-mers,,472247
Épaves et échouements,56,Not Outre-mers,,472247
Espagne,60000,Not Outre-mers,,472247
Espagne et Portugal,1,Not Outre-mers,,472247
Espagne et ses colonies,3860,Not Outre-mers,,472247
Espagne par mer,2,Not Outre-mers,,472247
Espagne par terre,2,Not Outre-mers,,472247
États ?,17,????,,226
États de l'Empereur,4462,Not Outre-mers,,472247
États de l'Empereur par mer,2,Not Outre-mers,,472247
États de l'Empereur par terre,2,Not Outre-mers,,472247
États du roi,1,????,,226
États ecclésiastiques,1620,Not Outre-mers,,472247
États ecclésiastiques et Venise,52,Not Outre-mers,,472247
États romains,64,Not Outre-mers,,472247
États-Unis d'Amérique,6287,Not Outre-mers,,472247
Europe,16,Not Outre-mers,,472247
"Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",479,Not Outre-mers,,472247
Flandre,19072,Not Outre-mers,,472247
France,16,Not Outre-mers,,472247
Franche Comté,8,Not Outre-mers,,472247
Gênes,15390,Not Outre-mers,,472247
"Gênes, Milan, Toscane et Lucques",4,Not Outre-mers,,472247
Genève,3208,Not Outre-mers,,472247
Genève et Piémont,604,Not Outre-mers,,472247
Genève et Suisse,2510,Not Outre-mers,,472247
"Genève, Suisse et ses alliés",949,Not Outre-mers,,472247
Gibraltar,1,Not Outre-mers,,472247
Gothembourg,10,Not Outre-mers,,472247
Guadeloupe,2190,Other outre-mers,,70603
Guatemala,2,Other outre-mers,,70603
Guernesey,2,Not Outre-mers,,472247
Guernesey et Dumbarton,1,Not Outre-mers,,472247
Guinée,10352,Africa,,14032
Guinée et Sénégal,2992,Africa,,14032
Guyane,11,Other outre-mers,,70603
Guyane anglaise,4,Other outre-mers,,70603
Guyane et Sénégal,2,Other outre-mers,,70603
Guyane française,2,Other outre-mers,,70603
Haïti,10,Other outre-mers,,70603
Hambourg,112,Not Outre-mers,,472247
"Hambourg, Hollande et Livourne",1,Not Outre-mers,,472247
Hollande,76113,Not Outre-mers,,472247
Hollande et Villes hanséatiques,223,Not Outre-mers,,472247
Île Bourbon,53,Africa,,14032
Île Bourbon et Inde,3,Other outre-mers,,70603
Île de Ré,1,Not Outre-mers,,472247
Île Maurice,22,Africa,,14032
Îles,7104,Other outre-mers,,70603
Îles de France et de Bourbon,206,Africa,,14032
Îles de l'Amérique,134,Other outre-mers,,70603
Îles et Guinée,2,Other outre-mers,,70603
Îles françaises,1997,Other outre-mers,,70603
Îles françaises de l'Amérique,41490,Other outre-mers,,70603
Inconnu,209,Not Outre-mers,,472247
Inde étrangère,18,Other outre-mers,,70603
Indes,3488,Other outre-mers,,70603
Indes anglaises,16,Other outre-mers,,70603
Indes et Moka,41,Other outre-mers,,70603
Indes françaises,22,Other outre-mers,,70603
Indes hollandaises,6,Other outre-mers,,70603
Irlande,62,Not Outre-mers,,472247
Italie,38670,Not Outre-mers,,472247
Levant,20640,Not Outre-mers,,472247
Levant et Toscane,1,Not Outre-mers,,472247
Lisbonne,11,Not Outre-mers,,472247
Livourne,254,Not Outre-mers,,472247
Lorient,227,Not Outre-mers,,472247
Lorient et Marseille,1,Not Outre-mers,,472247
Lorient et Petites Îles,2,Not Outre-mers,,472247
Lorraine,555,Not Outre-mers,,472247
Lorraine et Trois Évêchés,1,Not Outre-mers,,472247
Louisiane,7,Other outre-mers,,70603
Lübeck en Norvège,1,Not Outre-mers,,472247
Marseille,2576,Not Outre-mers,,472247
Marseille et Petites Îles,1,Not Outre-mers,,472247
Martinique,2777,Other outre-mers,,70603
Mecklembourg-Schwerin,4,Not Outre-mers,,472247
Mexique,9,Other outre-mers,,70603
Milanais,4,Not Outre-mers,,472247
Milanais et Toscane,602,Not Outre-mers,,472247
"Milanais, Toscane et Lucques",1108,Not Outre-mers,,472247
Milddelbourg,1,Not Outre-mers,,472247
Monde,4400,Not Outre-mers,,472247
"Monde (hors Amérique, colonies françaises, Europe et Inde)",1,Not Outre-mers,,472247
Monde hors Amérique,1,Not Outre-mers,,472247
Monde hors Amérique et hors Inde,5,Not Outre-mers,,472247
Monde hors Amérique et hors Inde et hors Piémont,1,Not Outre-mers,,472247
Monde hors colonies,385,Not Outre-mers,,472247
Monde hors Europe,52,Not Outre-mers,,472247
Monde hors Europe et hors colonies,1,Not Outre-mers,,472247
Monde hors Europe et hors colonies françaises et hors Inde,1,Not Outre-mers,,472247
Monde hors Europe et hors Sénégal français,2,Not Outre-mers,,472247
Monde hors Guyanne française,2,Not Outre-mers,,472247
Monde hors Pays de Gex,1,Not Outre-mers,,472247
Monds hors Ports de la Baltique,1,Not Outre-mers,,472247
Morée,11,Not Outre-mers,,472247
Nancy,2,Not Outre-mers,,472247
Nantes,1,Not Outre-mers,,472247
Naples,5527,Not Outre-mers,,472247
Naples et Sicile,5046,Not Outre-mers,,472247
"Naples, Sicile et Palerme",52,Not Outre-mers,,472247
"Naples, Sicile et Parme",394,Not Outre-mers,,472247
Nord,22552,Not Outre-mers,,472247
Nord (Hanse et Russie),3881,Not Outre-mers,,472247
Norvège,80,Not Outre-mers,,472247
Nouvelle-Grenade,3,Other outre-mers,,70603
Pays d'Aunis,1,Not Outre-mers,,472247
Pays de Gex,20,Not Outre-mers,,472247
Pays de Labour,31,Not Outre-mers,,472247
Pays-Bas,1031,Not Outre-mers,,472247
Pays-Bas et ses colonies,1408,Not Outre-mers,,472247
Pêches à la Baleine,2,Not Outre-mers,,472247
Pêches à la Morue à Terre-Neuve,2,Not Outre-mers,,472247
Pêches à la Morue en Islande,1,Not Outre-mers,,472247
Pêches côtières (Hareng),2,Not Outre-mers,,472247
Pêches côtières (Maquereaux),2,Not Outre-mers,,472247
Pêches côtières (Sardines),1,Not Outre-mers,,472247
Pêches étrangères,17,Not Outre-mers,,472247
Pêches françaises,42,Not Outre-mers,,472247
Pérou,6,Other outre-mers,,70603
Petites Îles,464,Not Outre-mers,,472247
Philippines,1,Other outre-mers,,70603
Piémont,1590,Not Outre-mers,,472247
Piémont et Savoie,340,Not Outre-mers,,472247
Piémont par mer,1,Not Outre-mers,,472247
Piémont par terre,1,Not Outre-mers,,472247
Poitou,1,Not Outre-mers,,472247
Pologne,305,Not Outre-mers,,472247
Pologne-Genève,1,Not Outre-mers,,472247
Ports de la Baltique,1,Not Outre-mers,,472247
Portugal,15123,Not Outre-mers,,472247
Prises et saisies,1305,Not Outre-mers,,472247
Prusse,4649,Not Outre-mers,,472247
Prusse – par mer,2,Not Outre-mers,,472247
Riga,3,Not Outre-mers,,472247
Rio de la Plata,14,Other outre-mers,,70603
Rome et Venise,2,Not Outre-mers,,472247
Rotterdam,6,Not Outre-mers,,472247
Rouen,1,Not Outre-mers,,472247
Royaume d'Étrurie,1153,Not Outre-mers,,472247
Royaume de Sardaigne,5658,Not Outre-mers,,472247
Royaume de Sardaigne – par mer,2,Not Outre-mers,,472247
Royaume de Sardaigne – par terre,2,Not Outre-mers,,472247
Russie,6672,Not Outre-mers,,472247
Saint-Domingue,5564,Other outre-mers,,70603
Saint-Jean de Luz,9,Not Outre-mers,,472247
Saint-Thomas,11,Other outre-mers,,70603
Salonique,5,Not Outre-mers,,472247
"Salonique, Archipel et Satali",17,Not Outre-mers,,472247
Sardaigne,2040,Not Outre-mers,,472247
Savoie,12043,Not Outre-mers,,472247
Savoie et Piémont,11425,Not Outre-mers,,472247
Sénégal,318,Africa,,14032
Sénégal français,9,Africa,,14032
Sidon,5,Not Outre-mers,,472247
Sidon et Acre,15,Not Outre-mers,,472247
Smyrne,35,Not Outre-mers,,472247
"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",2,Not Outre-mers,,472247
Strasbourg,1,Not Outre-mers,,472247
Suède,11249,Not Outre-mers,,472247
Suède et ses colonies,173,Not Outre-mers,,472247
Suisse,13938,Not Outre-mers,,472247
Tobago,740,Other outre-mers,,70603
Tobago et Sainte-Lucie,2,Other outre-mers,,70603
Toscane,636,Not Outre-mers,,472247
Tripoli de Syrie,15,Not Outre-mers,,472247
Trois Évêchés,614,Not Outre-mers,,472247
Turquie,34,Not Outre-mers,,472247
Vénézuela,14,Other outre-mers,,70603
Venise,1943,Not Outre-mers,,472247
Villes hanséatiques,4750,Not Outre-mers,,472247
Voitures diverses,2,Not Outre-mers,,472247
Ypres,1,Not Outre-mers,,472247
