product_simplification,product_sitc_FR,observations_total,années_observées,product_new_classification_revised
bière,Boissons et tabac,42,7,"Bière, cidre et vinaigre"
bière et cidre,Boissons et tabac,100,6,"Bière, cidre et vinaigre"
bière et cidre et vinaigre,Divers mélangés,9,2,"Bière, cidre et vinaigre"
cidre,Boissons et tabac,8,1,"Bière, cidre et vinaigre"
bière cidre et vinaigre,Divers mélangés,1,1,"Bière, cidre et vinaigre"
bijouterie,Articles manufacturés divers n.d.a,391,24,Bijouterie
diamants perles et pierres fines,"Articles minéraux non métalliques manufacturés, n.d.a.",50,4,Bijouterie
perles et pierres fines montées et non montées,Divers mélangés,52,3,Bijouterie
bijouterie et perles fines,Articles manufacturés divers n.d.a,17,1,Bijouterie
diamants perles et pierres fines non montés,"Articles minéraux non métalliques manufacturés, n.d.a.",13,1,Bijouterie
grains blé,Autres produits alimentaires et animaux,263,20,Blé et autres grains comestibles
grains blé et autre grain,Autres produits alimentaires et animaux,140,13,Blé et autres grains comestibles
grains orge perlé et mondé,Autres produits alimentaires et animaux,30,7,Blé et autres grains comestibles
grains blé et autres,Autres produits alimentaires et animaux,56,3,Blé et autres grains comestibles
grains millet,Autres produits alimentaires et animaux,4,2,Blé et autres grains comestibles
blé et autres grains,Autres produits alimentaires et animaux,17,1,Blé et autres grains comestibles
blé,Autres produits alimentaires et animaux,15,1,Blé et autres grains comestibles
grains blé et riz,Autres produits alimentaires et animaux,9,1,Blé et autres grains comestibles
grains orge,Autres produits alimentaires et animaux,2,1,Blé et autres grains comestibles
bleu de Prusse et graine jaune,Produits chimiques transformés n.d.a.,2,1,Bleu de Prusse et graine jaune
bleu de Prusse,Produits chimiques transformés n.d.a.,49,9,Bleu de Prusse et lazulite
bleu de Prusse et lazulite,Produits chimiques transformés n.d.a.,15,3,Bleu de Prusse et lazulite
bois des Indes,Matières brutes non-comestibles non transformées n.d.a.,387,28,Bois des Indes
bois,Matières brutes non-comestibles non transformées n.d.a.,631,26,Bois divers hors combustible
liège en planches,"Produits du bois, liège, jonc",169,14,Bois divers hors combustible
merrains,"Produits du bois, liège, jonc",132,12,Bois divers hors combustible
bois pour construction,"Produits du bois, liège, jonc",147,9,Bois divers hors combustible
planches de bois,"Produits du bois, liège, jonc",70,4,Bois divers hors combustible
feuillards de bois,"Produits du bois, liège, jonc",69,4,Bois divers hors combustible
bois de teinture,Produits chimiques transformés n.d.a.,50,4,Bois divers hors combustible
bois d'ébénisterie et des Indes,"Produits du bois, liège, jonc",32,3,Bois divers hors combustible
bois des Indes de teinture,Produits chimiques transformés n.d.a.,14,1,Bois divers hors combustible
bois de marqueterie,"Produits du bois, liège, jonc",13,1,Bois divers hors combustible
bois des Indes et d'ébénisterie et de marqueterie,"Produits du bois, liège, jonc",10,1,Bois divers hors combustible
perches de bois et échalas de bois et échasses de bois,"Produits du bois, liège, jonc",9,1,Bois divers hors combustible
perches de bois et échalas de bois et éclisses de bois,"Produits du bois, liège, jonc",7,1,Bois divers hors combustible
liège,"Produits du bois, liège, jonc",18,3,Bois divers hors combustibles
eau-de-vie et liqueurs,Boissons et tabac,35,3,Boissons diverses et mélangées
eau-de-vie et rhum et tafia,Boissons et tabac,13,1,Eau-de-vie et rhum
liqueurs et rhum,Boissons et tabac,9,1,Boissons diverses et mélangées
vin et eau-de-vie,Boissons et tabac,9,1,Boissons diverses et mélangées
eau-de-vie et rhum,Boissons et tabac,6,1,Eau-de-vie et rhum
bonneterie,Articles manufacturés divers n.d.a,252,21,Bonneterie de coton et de laine
bonneterie de laine,Articles manufacturés divers n.d.a,142,11,Bonneterie de coton et de laine
bonneterie de coton,Articles manufacturés divers n.d.a,85,6,Bonneterie de coton et de laine
bonneterie de coton et bonneterie de fil,Articles manufacturés divers n.d.a,42,4,Bonneterie de coton et de laine
bonneterie de coton et bonneterie de fil et bonneterie de laine,Articles manufacturés divers n.d.a,15,2,Bonneterie de coton et de laine
bonneterie de laine et bonneterie poil,Articles manufacturés divers n.d.a,12,1,Bonneterie de coton et de laine
bonneterie de fil,Articles manufacturés divers n.d.a,7,1,Bonneterie de coton et de laine
bonneterie commune de coton et bonneterie commune de laine,Articles manufacturés divers n.d.a,5,1,Bonneterie de coton et de laine
bonneterie de soie,Articles manufacturés divers n.d.a,393,28,Bonneterie de soie
bougie,Articles manufacturés divers n.d.a,113,10,Bougie
bougie de cire blanche et jaune et cire blanche et jaune fondue,Divers mélangés,7,1,Bougie
bouteilles pleines de verres et vides et dame-jeannes de verre,"Articles minéraux non métalliques manufacturés, n.d.a.",41,2,Bouteilles pleines de verres et vides et dame-jeannes de verre
brai et goudron et résines,Produits chimiques transformés n.d.a.,485,28,"Brai, goudron et résines"
brai et goudron et poix et résines,Matières brutes non-comestibles non transformées n.d.a.,50,5,"Brai, goudron et résines"
brai et goudron,Produits chimiques transformés n.d.a.,43,4,"Brai, goudron et résines"
brai et goudron et galipot et résines,Produits chimiques transformés n.d.a.,23,2,"Brai, goudron et résines"
goudron,Matières brutes non-comestibles non transformées n.d.a.,6,1,"Brai, goudron et résines"
goudron et poix et résines,Matières brutes non-comestibles non transformées n.d.a.,6,1,"Brai, goudron et résines"
brique et carreaux et tuiles,"Articles minéraux non métalliques manufacturés, n.d.a.",7,1,Matériaux de construction
cacao,Produits agricoles alimentaires des régions de colonisation européenne,352,27,Cacao et chocolat
chocolat,Produits agricoles alimentaires des régions de colonisation européenne,118,16,Cacao et chocolat
cacao et chocolat,Produits agricoles alimentaires des régions de colonisation européenne,8,2,Cacao et chocolat
café,Produits agricoles alimentaires des régions de colonisation européenne,505,27,Café
pierres calamines,Produits inconnus,2,2,Drogues diverses
calamine,Matières brutes non-comestibles non transformées n.d.a.,3,1,Drogues diverses
calamine grillée,Matières brutes non-comestibles non transformées n.d.a.,1,1,Drogues diverses
cannelle,Produits agricoles alimentaires des régions de colonisation européenne,305,27,Cannelle
cantharides,Matières brutes non-comestibles non transformées n.d.a.,51,10,Drogues médicinales diverses
mouches cantharides,Matières brutes non-comestibles non transformées n.d.a.,3,1,Drogues médicinales diverses
câpres cornichons et olives,Autres produits alimentaires et animaux,10,1,"Câpres, cornichons et olives"
caractères à imprimerie,Machines et moyens de transport y compris sellerie,73,7,Caractères à imprimerie
cartes à jouer,Articles manufacturés divers n.d.a,44,5,Cartes à jouer
cendre,Matières brutes non-comestibles non transformées n.d.a.,141,20,Cendre
cendre pour manufactures,Matières brutes non-comestibles non transformées n.d.a.,42,4,Cendre
céruse,Produits chimiques transformés n.d.a.,178,28,Céruse et blanc de plomb
céruse et blanc de plomb,Produits chimiques transformés n.d.a.,10,2,Céruse et blanc de plomb
chair fraîche et salée,Autres produits alimentaires et animaux,15,1,Chairs fraîches et salées
chair salée,Autres produits alimentaires et animaux,433,22,Chairs fraîches et salées 
chair salée et chair fraîche,Autres produits alimentaires et animaux,198,11,Chairs fraîches et salées 
mouchoirs de soie,Articles manufacturés divers n.d.a,46,14,Châles et mouchoirs
mouchoirs de fil et de coton,Articles manufacturés divers n.d.a,82,13,Châles et mouchoirs
châles et mouchoirs de soie,Articles manufacturés divers n.d.a,155,11,Châles et mouchoirs
châles et mouchoirs de coton,Articles manufacturés divers n.d.a,78,7,Châles et mouchoirs
châles de laine,Articles manufacturés divers n.d.a,43,4,Châles et mouchoirs
mouchoirs de coton et de fil,Articles manufacturés divers n.d.a,39,4,Châles et mouchoirs
mouchoirs,Articles manufacturés divers n.d.a,22,4,Châles et mouchoirs
châles et mouchoirs de laine,Articles manufacturés divers n.d.a,48,3,Châles et mouchoirs
châles de laine et de poil,Articles manufacturés divers n.d.a,46,3,Châles et mouchoirs
mouchoirs de coton,Articles manufacturés divers n.d.a,40,3,Châles et mouchoirs
mouchoirs blancs et teints,Articles manufacturés divers n.d.a,27,3,Châles et mouchoirs
mouchoirs et mouchoirs des Indes,Articles manufacturés divers n.d.a,17,3,Châles et mouchoirs
châles et mouchoirs,Articles manufacturés divers n.d.a,15,3,Châles et mouchoirs
mouchoirs de coton et fil de coton,Articles manufacturés divers n.d.a,16,2,Châles et mouchoirs
cotonnades châles,Filés ou tissés de coton,11,2,Châles et mouchoirs
mouchoirs de coton et soie,Articles manufacturés divers n.d.a,4,1,Châles et mouchoirs
mouchoirs de fil,Articles manufacturés divers n.d.a,4,1,Châles et mouchoirs
chandelle,Articles manufacturés divers n.d.a,178,17,Chandelle
chandelle de suif et suif fondu,Articles manufacturés divers n.d.a,1,1,Chandelle
chanvre,Matières brutes non-comestibles non transformées n.d.a.,389,28,Chanvre
chanvre et lin,Matières brutes non-comestibles non transformées n.d.a.,8,2,Chanvre et lin
chapeaux,Articles manufacturés divers n.d.a,309,22,Chapellerie
chapeaux d'écorce de bois et de paille,Articles manufacturés divers n.d.a,151,20,Chapellerie
chapeaux de laine et de poil,Articles manufacturés divers n.d.a,55,3,Chapellerie
chapeaux de paille,Articles manufacturés divers n.d.a,27,3,Chapellerie
chapeaux d'écorce et de paille,Articles manufacturés divers n.d.a,21,3,Chapellerie
chapeaux de poil et de laine,Articles manufacturés divers n.d.a,36,2,Chapellerie
chapeaux de paille et sparterie,Articles manufacturés divers n.d.a,31,2,Chapellerie
chapeaux de coton,Articles manufacturés divers n.d.a,18,1,Chapellerie
chardons cardiers,Matières brutes non-comestibles non transformées n.d.a.,12,1,Chardons
chardons cardère,Matières brutes non-comestibles non transformées n.d.a.,11,1,Chardons
chardons à drapier,Matières brutes non-comestibles non transformées n.d.a.,10,1,Chardons
châtaignes,Autres produits alimentaires et animaux,19,2,Châtaignes
châtaignes et marrons et noix,Autres produits alimentaires et animaux,8,1,Châtaignes
chicorée moulue,Autres produits alimentaires et animaux,45,11,Chicorée moulue
chiffons,Matières brutes non-comestibles non transformées n.d.a.,17,3,Chiffons
cinabre,Produits chimiques transformés n.d.a.,1,1,Cinabre
cinabre et vermillon,Produits chimiques transformés n.d.a.,60,12,Cinabre et vermillon
cire blanche et jaune,"Huiles, graisses et cires d'origine animale et végétale",498,27,Cire
cire blanche et jaune non ouvrée,"Huiles, graisses et cires d'origine animale et végétale",23,2,Cire
cire brute jaune,"Huiles, graisses et cires d'origine animale et végétale",14,1,Cire
cire jaune,"Huiles, graisses et cires d'origine animale et végétale",12,1,Cire
cire,"Huiles, graisses et cires d'origine animale et végétale",10,1,Cire
cloches de plomb et de zinc,"Métaux, produits métalliques et outils",12,1,Ouvrages divers et mélangés
cochenille,Produits chimiques transformés n.d.a.,435,28,Cochenille
colle,Produits chimiques transformés n.d.a.,166,23,Colles diverses
colle de poisson,Produits chimiques transformés n.d.a.,41,5,Colles diverses
colle commune,Produits chimiques transformés n.d.a.,22,4,Colles diverses
colle forte,Produits chimiques transformés n.d.a.,15,2,Colles diverses
charbon,Combustibles,222,16,Combustibles dont charbons et bois
charbon de bois et de terre,Combustibles,163,10,Combustibles dont charbons et bois
bois pour brûler,Combustibles,57,9,Combustibles dont charbons et bois
charbon de terre,Combustibles,24,3,Combustibles dont charbons et bois
charbon de bois,Combustibles,21,2,Combustibles dont charbons et bois
corail brut,Matières brutes non-comestibles non transformées n.d.a.,13,3,Corail brut
corail brut et taillé,Matières brutes non-comestibles non transformées n.d.a.,23,2,Corail brut
corail brut et non monté et taillé,Matières brutes non-comestibles non transformées n.d.a.,22,2,Corail brut
corail,Matières brutes non-comestibles non transformées n.d.a.,14,2,Corail brut
corail et non monté et taillé,Matières brutes non-comestibles non transformées n.d.a.,3,1,Corail brut
cordage,Autres filés ou tissés,208,14,Cordage
cordage de chanvre,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",58,3,Cordage
cordage de jonc,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",7,1,Cordage
cordonnerie et sellerie de cuir,Divers mélangés,200,16,Cordonnerie et sellerie de cuir
cordonnerie de cuir,"Cuirs, peaux et produits dérivés hors sellerie",34,4,Cordonnerie et sellerie de cuir
sellerie de cuir,Machines et moyens de transport y compris sellerie,48,3,Cordonnerie et sellerie de cuir
ouvrages en harnais et sellerie,Machines et moyens de transport y compris sellerie,33,2,Cordonnerie et sellerie de cuir
cornes,Matières brutes non-comestibles non transformées n.d.a.,70,6,Cornes
cornes de bœuf et de vache,Matières brutes non-comestibles non transformées n.d.a.,15,2,Cornes
cornes de bétail,Matières brutes non-comestibles non transformées n.d.a.,11,1,Cornes
coton,Matières brutes non-comestibles non transformées n.d.a.,506,24,Coton non transformé
coton en laine,Matières brutes non-comestibles non transformées n.d.a.,60,4,Coton non transformé
coton en rames et fil de coton,Divers mélangés,26,2,Coton non transformé
coton en rames,Matières brutes non-comestibles non transformées n.d.a.,12,2,Coton non transformé
masses de coton,Matières brutes non-comestibles non transformées n.d.a.,16,1,Coton non transformé
coton brut et fil de coton,Divers mélangés,12,1,Coton non transformé
gaze de coton et crêpe de coton et tulle de coton,Filés ou tissés de coton,16,4,Cotonnades diverses
couvertures de coton,Filés ou tissés de coton,32,3,Cotonnades diverses
drap de coton et étoffe de coton,Filés ou tissés de coton,25,2,Cotonnades diverses
gaze de coton,Filés ou tissés de coton,10,2,Cotonnades diverses
étoffe de coton et drap de coton et velours de coton,Filés ou tissés de coton,15,1,Cotonnades diverses
étoffe de coton et drap de coton et velours de coton et couvertures de coton,Filés ou tissés de coton,13,1,Cotonnades diverses
gaze de coton et tulle de coton,Filés ou tissés de coton,3,1,Cotonnades diverses
couleurs et teinture préparées,Produits chimiques transformés n.d.a.,78,5,Couleurs et teintures préparées
couleurs et teinture fabriquées,Produits chimiques transformés n.d.a.,19,1,Couleurs et teintures préparées
couleurs,Produits chimiques transformés n.d.a.,9,1,Couleurs et teintures préparées
couperose,Produits chimiques transformés n.d.a.,43,5,Couperose
couperose verte,Produits chimiques transformés n.d.a.,31,4,Couperose
couperose et vermillon,Produits chimiques transformés n.d.a.,6,1,Couperose
craie,Matières brutes non-comestibles non transformées n.d.a.,18,2,Craie et ocre
craie et ocre et brun et rouge,Matières brutes non-comestibles non transformées n.d.a.,31,2,Craie et ocre
craie et blanc d'Espagne et ocre jaune et rouge,Matières brutes non-comestibles non transformées n.d.a.,34,2,Craie et ocre
crayons,Articles manufacturés divers n.d.a,17,4,"Crayons de pastel, laque et lack-lack des Indes"
crayons fins de pastel et laque et lack-lack des Indes,Divers mélangés,21,3,"Crayons de pastel, laque et lack-lack des Indes"
crayons de pastel,Articles manufacturés divers n.d.a,20,3,"Crayons de pastel, laque et lack-lack des Indes"
crayons et craie,Divers mélangés,16,3,Crayons et craie
crin,Matières brutes non-comestibles non transformées n.d.a.,95,11,Crin
cristal,Matières brutes non-comestibles non transformées n.d.a.,84,5,Cristal
peaux et pelleterie,"Cuirs, peaux et produits dérivés hors sellerie",612,23,"Cuirs, peaux et pelleterie"
cuirs apprêtés,"Cuirs, peaux et produits dérivés hors sellerie",299,23,"Cuirs, peaux et pelleterie"
cuirs en poil,"Cuirs, peaux et produits dérivés hors sellerie",209,16,"Cuirs, peaux et pelleterie"
pelleterie,"Cuirs, peaux et produits dérivés hors sellerie",183,11,"Cuirs, peaux et pelleterie"
cuirs non apprêtés,"Cuirs, peaux et produits dérivés hors sellerie",134,9,"Cuirs, peaux et pelleterie"
ouvrages de cuir,"Cuirs, peaux et produits dérivés hors sellerie",103,6,"Cuirs, peaux et pelleterie"
peaux apprêtées et brutes,"Cuirs, peaux et produits dérivés hors sellerie",65,4,"Cuirs, peaux et pelleterie"
peaux crues de chèvre et de mouton et de veau,Matières brutes non-comestibles non transformées n.d.a.,56,4,"Cuirs, peaux et pelleterie"
cuirs et peaux de bœuf et de vache apprêté,"Cuirs, peaux et produits dérivés hors sellerie",54,4,"Cuirs, peaux et pelleterie"
ouvrages de peau,"Cuirs, peaux et produits dérivés hors sellerie",52,4,"Cuirs, peaux et pelleterie"
oreillons,Matières brutes non-comestibles non transformées n.d.a.,32,4,"Cuirs, peaux et pelleterie"
pelleterie et peaux,"Cuirs, peaux et produits dérivés hors sellerie",40,3,"Cuirs, peaux et pelleterie"
cuirs,"Cuirs, peaux et produits dérivés hors sellerie",31,3,"Cuirs, peaux et pelleterie"
pelleterie ouvrée,"Cuirs, peaux et produits dérivés hors sellerie",32,2,"Cuirs, peaux et pelleterie"
peaux,"Cuirs, peaux et produits dérivés hors sellerie",33,1,"Cuirs, peaux et pelleterie"
cuirs et peaux non apprêtés,"Cuirs, peaux et produits dérivés hors sellerie",18,1,"Cuirs, peaux et pelleterie"
cuivre,"Métaux, produits métalliques et outils",569,28,"Cuivre, bronze et laiton"
cuivre et bronze et laiton,"Métaux, produits métalliques et outils",160,13,"Cuivre, bronze et laiton"
fil de laiton jaune et noir pour épingle,"Métaux, produits métalliques et outils",20,4,"Cuivre, bronze et laiton"
bronze et cuivre et laiton,"Métaux, produits métalliques et outils",34,3,"Cuivre, bronze et laiton"
fil et planches de laiton,"Métaux, produits métalliques et outils",13,3,"Cuivre, bronze et laiton"
fil de laiton jaune et noir,"Métaux, produits métalliques et outils",12,2,"Cuivre, bronze et laiton"
fil de laiton et laiton,"Métaux, produits métalliques et outils",10,2,"Cuivre, bronze et laiton"
fil de laiton jaune,"Métaux, produits métalliques et outils",7,1,"Cuivre, bronze et laiton"
fil de laiton,"Métaux, produits métalliques et outils",4,1,"Cuivre, bronze et laiton"
curcuma,Produits agricoles alimentaires des régions de colonisation européenne,50,8,Curcuma
curcuma moulu,Produits agricoles alimentaires des régions de colonisation européenne,8,2,Curcuma
déchet de laine bourre lanice tontisse,Matières brutes non-comestibles non transformées n.d.a.,5,2,Déchet de laine
déchet de laine,Matières brutes non-comestibles non transformées n.d.a.,2,1,Déchet de laine
déchets de laine,Matières brutes non-comestibles non transformées n.d.a.,1,1,Déchet de laine
denrées coloniales et épicerie,Divers mélangés,22,2,Subsistances diverses et mélangées
denrées coloniales,Produits agricoles alimentaires des régions de colonisation européenne,11,1,Subsistances diverses et mélangées
dentelle,Autres filés ou tissés,258,19,Dentelle
dentelle de fil,Autres filés ou tissés,60,8,Dentelle
dentelle de soie blonde,Filés ou tissés de soie et soie mélangée,61,4,Dentelle
dentelle de fil et soie,Filés ou tissés de soie et soie mélangée,43,3,Dentelle
dentelle de fil et tulle,Autres filés ou tissés,31,2,Dentelle
dentelle et blonde,Autres filés ou tissés,19,1,Dentelle
dentelle de coton et blonde de coton,Filés ou tissés de coton,18,1,Dentelle
dentelle de fil et de soie,Filés ou tissés de soie et soie mélangée,10,1,Dentelle
dents d'éléphant,Matières brutes non-comestibles non transformées n.d.a.,94,15,Dents d’éléphant
divers,Divers incertains,2974,28,Divers incertains
instruments,Divers incertains,88,4,Divers incertains
marchandises venant de l'étranger pour être réexportées aux colonies françaises principalement en armes barres de fers toile Guinée viande salée etc.,Divers mélangés,10,1,Divers incertains
valeurs de diverses marchandises entrées en franchise de droits à charge de réexportation pour le commerce colonial,Divers incertains,9,1,Divers incertains
échouements et prises,Divers incertains,2,1,Divers incertains
marchandises des Indes,Divers mélangés,1,1,Divers incertains
dorure fine,Articles manufacturés divers n.d.a,159,18,Dorure
dorure fausse,Articles manufacturés divers n.d.a,23,10,Dorure
dorure fausse en or et argent battu tiré et laminé,Articles manufacturés divers n.d.a,8,3,Dorure
dorure fausse en or et argent,Articles manufacturés divers n.d.a,5,2,Dorure
drap,Autres filés ou tissés,283,18,Draperies diverses
drap de laine,Filés ou tissés de laine et de poil,110,6,Draperies diverses
drap ordinaires de laine,Filés ou tissés de laine et de poil,70,5,Draperies diverses
drap de laine et petits et étoffes,Filés ou tissés de laine et de poil,66,5,Draperies diverses
drap fins de laine,Filés ou tissés de laine et de poil,62,4,Draperies diverses
drap et étoffe de laine,Filés ou tissés de laine et de poil,5,1,Draperies diverses
drap et étoffe,Autres filés ou tissés,3,1,Draperies diverses
drogues,Produits chimiques transformés n.d.a.,781,27,Drogues diverses
drogues diverses réunies,Divers mélangés,635,22,Drogues diverses
blanc de baleine,Matières brutes non-comestibles non transformées n.d.a.,1,1,Drogues diverses
drogues médicinales,Produits chimiques transformés n.d.a.,215,15,Drogues médicinales diverses
crème de tartre,Produits chimiques transformés n.d.a.,137,13,Drogues médicinales diverses
camphre,Matières brutes non-comestibles non transformées n.d.a.,41,9,Drogues médicinales diverses
semen contra,Matières brutes non-comestibles non transformées n.d.a.,12,4,Drogues médicinales diverses
anis,Autres produits alimentaires et animaux,14,2,Drogues médicinales diverses
benjoin,Produits chimiques transformés n.d.a.,8,2,Drogues médicinales diverses
aloès,Matières brutes non-comestibles non transformées n.d.a.,2,2,Drogues médicinales diverses
drogues médicales naturelles,Matières brutes non-comestibles non transformées n.d.a.,15,1,Drogues médicinales diverses
régule d'antimoine,Produits chimiques transformés n.d.a.,7,1,Drogues médicinales diverses
canefice,Matières brutes non-comestibles non transformées n.d.a.,4,1,Drogues médicinales diverses
cévadille,Matières brutes non-comestibles non transformées n.d.a.,3,1,Drogues médicinales diverses
squine,Matières brutes non-comestibles non transformées n.d.a.,3,1,Drogues médicinales diverses
baume,Produits chimiques transformés n.d.a.,2,1,Drogues médicinales diverses
asa fœtida,Matières brutes non-comestibles non transformées n.d.a.,2,1,Drogues médicinales diverses
alkermés,Matières brutes non-comestibles non transformées n.d.a.,1,1,Drogues médicinales diverses
cachou,Matières brutes non-comestibles non transformées n.d.a.,1,1,Drogues médicinales diverses
mirobolant,Matières brutes non-comestibles non transformées n.d.a.,1,1,Drogues médicinales diverses
eau médicinale et minérale,Produits chimiques transformés n.d.a.,24,5,Eau médicinale et minérale
eau minérale,Produits chimiques transformés n.d.a.,20,3,Eau médicinale et minérale
eau-de-vie,Boissons et tabac,619,28,Eau-de-vie et rhum
écaille,Matières brutes non-comestibles non transformées n.d.a.,90,10,Écaille
écorce à tanner,Matières brutes non-comestibles non transformées n.d.a.,62,9,Écorce
écorce pour tanner,Matières brutes non-comestibles non transformées n.d.a.,19,4,Écorce
écorce de citron et d'orange,Autres produits alimentaires et animaux,12,3,Écorce
écorce de bois,Matières brutes non-comestibles non transformées n.d.a.,5,1,Écorce
émail brut,"Articles minéraux non métalliques manufacturés, n.d.a.",2,1,Matières premières diverses
encre,Produits chimiques transformés n.d.a.,28,2,Encre
encre à écrire et à imprimer,Produits chimiques transformés n.d.a.,13,1,Encre
encre à écrire,Produits chimiques transformés n.d.a.,12,1,Encre
engrais,Matières brutes non-comestibles non transformées n.d.a.,23,6,"Engrais, terre de marne et argile"
