simplification_classification,nbr_occurences_simpl,very_simplified_classification,note,nbr_occurences_very_simplified
Danemark,11057,Danemark et ses colonies,,11539
Danemark et Norvège,392,Danemark et ses colonies,,11539
Duché de Bouillon,108,Duché de Bouillon,,108
Dunkerque,722,France,,5624
Dunkerque et Lorient,2,France,,5624
Dunkerque et Marseille,2,France,,5624
Dunkerque et Petites Îles,4,France,,5624
"Dunkerque, Lorient et Petites Îles",3,France,,5624
Égypte,25,Levant,,23648
Empire Ottoman,1480,Levant,,23648
Empire Ottoman et Barbarie,2217,Levant,,23648
Empire Ottoman et Levant,98,Levant,,23648
"entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",957,Divers,,7591
Entrepôt,87,Divers,,7591
Épaves et échouements,56,Épaves et échouements,,56
Espagne,55653,Espagne et ses colonies,,59266
Espagne et Portugal,1,Divers,,7591
Espagne et ses colonies,3430,Espagne et ses colonies,,59266
Espagne par mer,2,Espagne et ses colonies,,59266
Espagne par terre,2,Espagne et ses colonies,,59266
États ?,17,Divers,,7591
États de l'Empereur,4462,États de l'Empereur,,4466
États de l'Empereur par mer,2,États de l'Empereur,,4466
États de l'Empereur par terre,2,États de l'Empereur,,4466
États du roi,1,États du roi,,1
États ecclésiastiques,1620,États ecclésiastiques,,1738
États ecclésiastiques et Venise,52,États ecclésiastiques,,1738
États romains,64,États ecclésiastiques,,1738
États-Unis d'Amérique,5869,États-Unis d'Amérique et ses colonies,,6012
Europe,16,Divers,,7591
"Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",479,Divers,,7591
Flandre,17648,Flandre,,17649
France,16,France,,5624
Franche Comté,8,France,,5624
Gênes,13950,Gênes,,13954
"Gênes, Milan, Toscane et Lucques",4,Gênes,,13954
Genève,2944,Genève et Suisse,,19994
Genève et Piémont,604,Divers,,7591
Genève et Suisse,2504,Genève et Suisse,,19994
"Genève, Suisse et ses alliés",949,Genève et Suisse,,19994
Gibraltar,1,Angleterre et ses colonies,,24256
Gothembourg,10,Suède et ses colonies,,9657
Guadeloupe,2190,Colonies françaises,,26056
Guatemala,2,Colonies françaises,,26056
Guernesey,2,Angleterre et ses colonies,,24256
Guernesey et Dumbarton,1,Angleterre et ses colonies,,24256
Guinée,7737,Colonies françaises,,26056
Guinée et Sénégal,2992,Colonies françaises,,26056
Guyane,11,Colonies françaises,,26056
Guyane anglaise,4,Angleterre et ses colonies,,4
Guyane et Sénégal,2,Colonies françaises,,26056
Guyane française,2,Colonies françaises,,26056
Haïti,10,Colonies françaises,,26056
Hambourg,112,Villes hanséatiques,,4873
"Hambourg, Hollande et Livourne",1,Divers,,7591
Hollande,68066,Hollande et ses colonies,,70660
Hollande et Villes hanséatiques,223,Divers,,7591
Île Bourbon,53,Îles,,40914
Île Bourbon et Inde,3,Îles,,40914
Île de Ré,1,Îles,,40914
Île Maurice,22,Îles,,40914
Îles,6864,Îles,,40914
Îles de France et de Bourbon,163,Îles,,40914
Îles de l'Amérique,132,Îles,,40914
Îles et Guinée,2,Îles,,40914
Îles françaises,1037,Îles,,40914
Îles françaises de l'Amérique,32173,Îles,,40914
Inconnu,209,Divers,,7591
Inde étrangère,18,Divers,,7591
Indes,3251,Amérique et Inde,,3400
Indes anglaises,16,Angleterre et ses colonies,,24256
Indes françaises,22,Colonies françaises,,26056
Indes hollandaises,6,Hollande et ses colonies,,70660
Irlande,62,Angleterre et ses colonies,,24256
Italie,36143,Italie,,36143
Levant,19059,Levant,,23648
Levant et Toscane,1,Levant,,23648
Lisbonne,11,Portugal et ses colonies,,13725
Livourne,254,Livourne,,254
Lorient,227,France,,5624
Lorient et Marseille,1,France,,5624
Lorient et Petites Îles,2,France,,5624
Lorraine,555,France,,5624
Lorraine et Trois Évêchés,1,France,,5624
Louisiane,7,Colonies françaises,,26056
Lübeck en Norvège,1,Villes hanséatiques,,4873
Marseille,2576,France,,5624
Marseille et Petites Îles,1,France,,5624
Martinique,2777,Colonies françaises,,26056
Mecklembourg-Schwerin,4,Nord,,29082
Mexique,9,Amérique et Inde,,3400
Milanais,4,"Milanais, Toscane et Lucques",,1714
Milanais et Toscane,602,"Milanais, Toscane et Lucques",,1714
"Milanais, Toscane et Lucques",1108,"Milanais, Toscane et Lucques",,1714
Milddelbourg,1,Hollande et ses colonies,,70660
Monde,4400,Divers,,7591
"Monde (hors Amérique, colonies françaises, Europe et Inde)",1,Divers,,7591
Monde hors Amérique,1,Divers,,7591
Monde hors Amérique et hors Inde,5,Divers,,7591
Monde hors Amérique et hors Inde et hors Piémont,1,Divers,,7591
Monde hors colonies,385,Divers,,7591
Monde hors Europe,52,Divers,,7591
Monde hors Europe et hors colonies,1,Divers,,7591
Monde hors Europe et hors colonies françaises et hors Inde,1,Divers,,7591
Monde hors Europe et hors Sénégal français,2,Divers,,7591
Monde hors Guyanne française,2,Divers,,7591
Monde hors Pays de Gex,1,Divers,,7591
Monds hors Ports de la Baltique,1,Divers,,7591
Morée,6,France,,5624
Nancy,2,France,,5624
Nantes,1,France,,5624
Naples,5515,Naples,,10206
Naples et Sicile,4245,Naples,,10206
"Naples, Sicile et Palerme",52,Naples,,10206
"Naples, Sicile et Parme",394,Naples,,10206
Nord,18908,Nord,,29082
Nord (Hanse et Russie),3854,Nord,,29082
Norvège,80,Nord,,80
Nouvelle-Grenade,3,Espagne et ses colonies,,59266
Pays d'Aunis,1,France,,5624
Pays de Gex,20,France,,5624
Pays de Labour,31,,,2611
Pays-Bas,1031,Hollande et ses colonies,,70660
Pays-Bas et ses colonies,1408,Hollande et ses colonies,,70660
Pêches à la Baleine,2,Pêches,,69
Pêches à la Morue à Terre-Neuve,2,Pêches,,69
Pêches à la Morue en Islande,1,Pêches,,69
Pêches côtières (Hareng),2,Pêches,,69
Pêches côtières (Maquereaux),2,Pêches,,69
Pêches côtières (Sardines),1,Pêches,,69
Pêches étrangères,17,Pêches,,69
Pêches françaises,42,Pêches,,69
Pérou,6,Amérique et Inde,,3400
Petites Îles,464,Îles,,40914
Philippines,1,Divers,,7591
Piémont,1590,Royaume de Piemont et Sardaigne,,30735
Piémont et Savoie,340,Royaume de Piemont et Sardaigne,,30735
Piémont par mer,1,Royaume de Piemont et Sardaigne,,30735
Piémont par terre,1,Royaume de Piemont et Sardaigne,,30735
Poitou,1,France,,5624
Pologne,305,Pologne,,306
Pologne-Genève,1,Pologne,,306
Ports de la Baltique,1,Pays Baltique,,4
Portugal,13687,Portugal et ses colonies,,13725
Prises et saisies,1305,Prises et saisies,,1305
Prusse,4649,Prusse,,4651
Prusse – par mer,2,Prusse,,4651
Riga,3,Pays Baltique,,4
Rio de la Plata,14,Espagne et ses colonies,,59266
Rome et Venise,2,États ecclésiastiques,,1738
Rotterdam,6,Hollande et ses colonies,,70660
Rouen,1,France,,5624
Royaume d'Étrurie,1153,Royaume d'Étrurie,,1153
Royaume de Sardaigne,5658,Royaume de Piemont et Sardaigne,,30735
Royaume de Sardaigne – par mer,2,Royaume de Piemont et Sardaigne,,30735
Royaume de Sardaigne – par terre,2,Royaume de Piemont et Sardaigne,,30735
Russie,6173,Nord,,29082
Saint-Domingue,5564,Colonies françaises,,26056
Saint-Jean de Luz,9,Espagne et ses colonies,,59266
Saint-Thomas,11,Amérique et Inde,,3400
Salonique,5,Levant,,23648
Sardaigne,2040,Royaume de Piemont et Sardaigne,,30735
Savoie,11621,Royaume de Piemont et Sardaigne,,30735
Savoie et Piémont,9480,Royaume de Piemont et Sardaigne,,30735
Sénégal,229,Colonies françaises,,26056
Sénégal français,9,Colonies françaises,,26056
Sidon,5,Levant,,23648
Smyrne,5,Levant,,23648
"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",2,Suède et ses colonies,,9657
Strasbourg,1,France,,5624
Suède,9415,Suède et ses colonies,,9657
Suède et ses colonies,173,Suède et ses colonies,,9657
Suisse,13597,Genève et Suisse,,19994
Tobago,740,Colonies françaises,,26056
Tobago et Sainte-Lucie,2,Colonies françaises,,26056
Toscane,636,Toscane,,636
Tripoli de Syrie,5,Levant,,23648
Trois Évêchés,614,France,,5624
Turquie,34,Levant,,23648
Vénézuela,14,Amérique et Inde,,3400
Venise,1718,Venise,,1718
Villes hanséatiques,4750,Villes hanséatiques,,4873
Voitures diverses,2,Divers,,7591
Ypres,1,Flandre,,17649
