simplification_classification,nbr_occurences_simpl,coton_classification,obsolete,nbr_occurences_coton
acide de potasse tartre brut impur,2,not raw cotton,non,549530
acide muriatique,1,not raw cotton,non,549530
acide muriatique et nitrique et phosphorique,3,not raw cotton,non,549530
acide muriatique et nitro-muriatique,2,not raw cotton,non,549530
acide nitrique,4,not raw cotton,non,549530
acide oxalique,2,not raw cotton,non,549530
acide phosphorique,2,not raw cotton,non,549530
acide succinique,1,not raw cotton,non,549530
acide tartrique,2,not raw cotton,non,549530
acide vitriolique,4,not raw cotton,non,549530
acide vitriolique et huile de vitriol,109,not raw cotton,non,549530
acier,1680,not raw cotton,non,549530
acier battu forgé ou laminé,1,not raw cotton,non,549530
acier brun,1,not raw cotton,non,549530
acier brut,11,not raw cotton,non,549530
acier commun,1,not raw cotton,non,549530
acier en barres,6,not raw cotton,non,549530
acier en bottes pour la Compagnie des Indes,1,not raw cotton,non,549530
acier et clous,1,not raw cotton,non,549530
acier et fer,356,not raw cotton,non,549530
acier fondu en carreaux ou en tôle,5,not raw cotton,non,549530
acier fondu forgé,1,not raw cotton,non,549530
acier forgé,7,not raw cotton,non,549530
acons,1,not raw cotton,non,549530
acons démontés,20,not raw cotton,non,549530
acons démontés en gabare,2,not raw cotton,non,549530
acorus,5,not raw cotton,non,549530
acuirson,1,not raw cotton,non,549530
acume de cuivre,1,not raw cotton,non,549530
adatais,3,not raw cotton,non,549530
affûts,2,not raw cotton,non,549530
affûts de bois,1,,non,4126
affûts de canons,11,not raw cotton,non,549530
affûts de fer,1,,non,4126
affûts de fusils,1,not raw cotton,non,549530
affûts de fûts à canons,1,not raw cotton,non,549530
affûts et canons,1,not raw cotton,non,549530
agaric,139,not raw cotton,non,549530
agaric amadouvier,6,not raw cotton,non,549530
agaric amadouvier brut,4,not raw cotton,non,549530
agaric amadouvier brut et préparé,12,not raw cotton,non,549530
agaric amadouvier préparé,6,not raw cotton,non,549530
agaric brut et préparé,6,not raw cotton,non,549530
agaric de mélèze,4,not raw cotton,non,549530
agaric fin,1,not raw cotton,non,549530
agaric gros,3,not raw cotton,non,549530
agate,11,not raw cotton,non,549530
agate autre que chique et ouvrages,2,,non,4126
agate autre que chique et ouvrée,0,not raw cotton,oui,549530
agate brute,4,not raw cotton,non,549530
agate chique et ouvrée,0,not raw cotton,oui,549530
agate en pierres,1,,non,4126
agate fine,1,not raw cotton,non,549530
agate montée,1,not raw cotton,non,549530
agate ouvrée,0,not raw cotton,oui,549530
agneaux,118,not raw cotton,non,549530
agneaux communs,8,not raw cotton,non,549530
agneaux en vie,5,not raw cotton,non,549530
agneaux et cabris,1,not raw cotton,non,549530
agneaux mérinos et métis,7,not raw cotton,non,549530
agnelines et crottelins,1,not raw cotton,non,549530
agobille,1,,non,4126
agoutals,4,not raw cotton,non,549530
agoutals de bois,5,not raw cotton,non,549530
agrément,15,not raw cotton,non,549530
agrément au quart,3,not raw cotton,non,549530
agrément d'argent,2,not raw cotton,non,549530
agrément d'or,1,not raw cotton,non,549530
agrément d'or et d'argent,5,not raw cotton,non,549530
agrément de fil,9,not raw cotton,non,549530
agrément de fil et de soie,3,not raw cotton,non,549530
agrément de fleur,1,not raw cotton,non,549530
agrément de soie,57,not raw cotton,non,549530
agrément de soie et d'argent,1,not raw cotton,non,549530
agrément de soie or et argent faux,1,not raw cotton,non,549530
agréments de soie et milleret,1,not raw cotton,non,549530
agréments et milleret,1,not raw cotton,non,549530
agrès,12,not raw cotton,non,549530
agrès apparaux de navire et embarcations,6,not raw cotton,non,549530
agrès apparaux et embarcations,2,not raw cotton,non,549530
agrès de navire et jeux de voile,10,not raw cotton,non,549530
agrès et apparaux,1,not raw cotton,non,549530
agrès et apparaux d'or navire,1,,non,4126
agrès et bâtiments de mer,10,not raw cotton,non,549530
agrès et embarcations,8,not raw cotton,non,549530
agrès et voile de navire,1,not raw cotton,non,549530
aigles,1,not raw cotton,non,549530
aigre de cèdre,9,not raw cotton,non,549530
aigre de cidre,5,not raw cotton,non,549530
aigre de vitriol,17,not raw cotton,non,549530
aigrettes,10,not raw cotton,non,549530
aigrettes de fil d'or et d'argent,1,not raw cotton,non,549530
aigrettes de soie,1,not raw cotton,non,549530
aigrettes de soie et argent,1,not raw cotton,non,549530
aigrettes et bavolets,1,not raw cotton,non,549530
aiguières d'étain,1,not raw cotton,non,549530
aiguilles,210,not raw cotton,non,549530
aiguilles à boîtes,1,not raw cotton,non,549530
aiguilles à coudre,61,not raw cotton,non,549530
aiguilles à coudre voiles,1,not raw cotton,non,549530
aiguilles à ralingue,1,not raw cotton,non,549530
aiguilles à tabac,1,not raw cotton,non,549530
aiguilles à toile,1,not raw cotton,non,549530
aiguilles d'emballage,2,not raw cotton,non,549530
aiguilles de mercerie fine,1,not raw cotton,non,549530
aiguilles epars de sapin,1,not raw cotton,non,549530
aiguilles et épingles,1,not raw cotton,non,549530
aiguilles et épingles de mercerie fine,3,not raw cotton,non,549530
aiguilles et mercerie fine,2,not raw cotton,non,549530
aiguilles grosses,1,not raw cotton,non,549530
aiguilles pour voile,37,not raw cotton,non,549530
aiguillettes,1,not raw cotton,non,549530
ail,2,not raw cotton,non,549530
ailes,4,not raw cotton,non,549530
ailes de fléaux,1,not raw cotton,non,549530
ailes de moulins,1,not raw cotton,non,549530
ailor,1,not raw cotton,non,549530
ails,204,not raw cotton,non,549530
ails à fauches,1,not raw cotton,non,549530
ails blancs à casser,1,not raw cotton,non,549530
aimant,1,not raw cotton,non,549530
ains à pêcher,43,not raw cotton,non,549530
ains et lignes à pêcher,2,not raw cotton,non,549530
airain,6,not raw cotton,non,549530
airain non ouvré,4,not raw cotton,non,549530
ajustements,37,not raw cotton,non,549530
ajustements de femme,5,not raw cotton,non,549530
ajustements de soie,2,not raw cotton,non,549530
alambics,17,not raw cotton,non,549530
alambics d'étain,16,not raw cotton,non,549530
alambics de cuivre,2,not raw cotton,non,549530
alambics de terre,1,not raw cotton,non,549530
alana,2,not raw cotton,non,549530
alazar,2,not raw cotton,non,549530
albâtre,5,not raw cotton,non,549530
albâtre brut,3,not raw cotton,non,549530
albâtre et marbre brut et poli,21,not raw cotton,non,549530
albâtre moulé poli ou sculpté,6,not raw cotton,non,549530
alcalis autre que natron et soude,2,not raw cotton,non,549530
alcalis salin,1,not raw cotton,non,549530
alènes,5,not raw cotton,non,549530
alibanies,96,not raw cotton,non,549530
alizari,16,not raw cotton,non,549530
alizari et garance,165,not raw cotton,non,549530
alizari sèche,7,not raw cotton,non,549530
alkermés,1,not raw cotton,non,549530
alkermès en grains,23,not raw cotton,non,549530
allaya,84,not raw cotton,non,549530
alleaux,1,not raw cotton,non,549530
allemande de poil,10,not raw cotton,non,549530
allumettes,54,not raw cotton,non,549530
allumettes à vin,29,not raw cotton,non,549530
allumettes de coton,1,not raw cotton,non,549530
allumettes de mêche soufrée,1,not raw cotton,non,549530
allumettes droguées,3,not raw cotton,non,549530
allumettes épicée,2,not raw cotton,non,549530
allumettes opérées et soufrées,1,not raw cotton,non,549530
allumettes soufrées,12,not raw cotton,non,549530
almagro ou crayon rouge,1,not raw cotton,non,549530
almanachs,1,not raw cotton,non,549530
almanachs brochés,2,not raw cotton,non,549530
almanachs en blancs,1,not raw cotton,non,549530
almanachs enjolivés,1,not raw cotton,non,549530
almanachs reliés,1,not raw cotton,non,549530
aloès,229,not raw cotton,non,549530
aloès cabalin,6,not raw cotton,non,549530
aloès commun,1,not raw cotton,non,549530
aloès et opium,2,not raw cotton,non,549530
aloès hépatique,1,not raw cotton,non,549530
aloès moyen,2,not raw cotton,non,549530
aloiset,1,not raw cotton,non,549530
alose,2,not raw cotton,non,549530
alose fumée,1,not raw cotton,non,549530
alose salée,5,not raw cotton,non,549530
aloues,1,not raw cotton,non,549530
alouettes,4,not raw cotton,non,549530
alpargate,37,not raw cotton,non,549530
alphabets,1,not raw cotton,non,549530
alpiste,20,not raw cotton,non,549530
alpiste et millet,9,not raw cotton,non,549530
alquifoux,479,not raw cotton,non,549530
alquifoux en galène,2,not raw cotton,non,549530
alquifoux et mine de plomb,36,not raw cotton,non,549530
alquifoux mine de plomb ou graphite,23,not raw cotton,non,549530
alquifoux ou mine de plomb,1,not raw cotton,non,549530
alquifoux sable plombifère,1,not raw cotton,non,549530
alquitra,3,not raw cotton,non,549530
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,not raw cotton,non,549530
alto basses contrebasses guitare lyres violes violons,2,not raw cotton,non,549530
alto bassons guitare violons,3,not raw cotton,non,549530
aluchiabanis,2,not raw cotton,non,549530
alun,1873,not raw cotton,non,549530
alun à cordonnier,1,not raw cotton,non,549530
alun autre que brûlé ou calciné,2,not raw cotton,non,549530
alun bon,2,not raw cotton,non,549530
alun brûlé,1,not raw cotton,non,549530
alun commun,1,not raw cotton,non,549530
alun de glace,1,not raw cotton,non,549530
alun de roche,5,not raw cotton,non,549530
alun de Rome,3,not raw cotton,non,549530
alun de Rome fin rosé,1,not raw cotton,non,549530
alun de Rouen,2,not raw cotton,non,549530
alun de Surde,2,not raw cotton,non,549530
alun du Levant,1,not raw cotton,non,549530
alun en dracy,1,not raw cotton,non,549530
alun en rame,1,,non,4126
alun gâté,1,not raw cotton,non,549530
alun ordinaire,1,not raw cotton,non,549530
alvés,2,not raw cotton,non,549530
amadou,227,not raw cotton,non,549530
amadou et agaric amadouvier,7,not raw cotton,non,549530
amandes,1206,not raw cotton,non,549530
amandes à la praline,4,not raw cotton,non,549530
amandes amères,1,not raw cotton,non,549530
amandes arachis noisettes noix noyaux,2,not raw cotton,non,549530
amandes cassée,6,not raw cotton,non,549530
amandes cassées,383,not raw cotton,non,549530
amandes cassées ou en coque,3,not raw cotton,non,549530
amandes courtes,1,not raw cotton,non,549530
amandes douces,4,not raw cotton,non,549530
amandes en coque,298,not raw cotton,non,549530
amandes et figue et raisin,24,not raw cotton,non,549530
amandes et pelures et prunes et raisin,1,not raw cotton,non,549530
amandes et pruneaux,2,not raw cotton,non,549530
amandes et raisin sec,2,not raw cotton,non,549530
amandes et raisin sec et savon,1,not raw cotton,non,549530
amandes et savon,2,not raw cotton,non,549530
amandes et sucre,1,not raw cotton,non,549530
amandes et verdet,1,not raw cotton,non,549530
amandes fraîches,1,not raw cotton,non,549530
amandes longues,1,not raw cotton,non,549530
amandes mondées,2,not raw cotton,non,549530
amandes sèches,64,not raw cotton,non,549530
amandes sèches et figue sèche et ???,9,not raw cotton,non,549530
amandes sèches et figue sèche et raisin sec,135,not raw cotton,non,549530
amaril,1,not raw cotton,non,549530
amarine,1,not raw cotton,non,549530
ambrain à grande barrique,1,not raw cotton,non,549530
ambre,42,not raw cotton,non,549530
ambre blanc,1,not raw cotton,non,549530
ambre brut,1,not raw cotton,non,549530
ambre carabé,21,not raw cotton,non,549530
ambre carabé jaune,2,not raw cotton,non,549530
ambre en grains,1,,non,4126
ambre et corail,1,not raw cotton,non,549530
ambre gris,36,not raw cotton,non,549530
ambre jaune,72,not raw cotton,non,549530
ambre moulu,2,not raw cotton,non,549530
ameny,1,not raw cotton,non,549530
amer,3,not raw cotton,non,549530
amer de laine,1,not raw cotton,non,549530
amertis,4,not raw cotton,non,549530
ameublement,2,not raw cotton,non,549530
ameublement de chitte,1,not raw cotton,non,549530
ami de toilé,1,not raw cotton,non,549530
amidon,1165,not raw cotton,non,549530
amidon alun,1,,non,4126
amidon en grains,1,not raw cotton,non,549530
amidon en poudre,1,,non,4126
amidon et poudre à poudrer,1,not raw cotton,non,549530
ammoniac,7,not raw cotton,non,549530
ammoniac et sel,21,not raw cotton,non,549530
ammonium,5,not raw cotton,non,549530
amomum,11,not raw cotton,non,549530
amomum et fèves de tonka et noix de ravensara,2,not raw cotton,non,549530
amomum verum,2,not raw cotton,non,549530
amurca,4,not raw cotton,non,549530
anabasse,120,not raw cotton,non,549530
anabasse ; bajutapau,3,,non,4126
anabasse ; corat ; nicaneas ; platille,2,,non,4126
anacardes,2,not raw cotton,non,549530
anacoste,3,not raw cotton,non,549530
ananas,1,not raw cotton,non,549530
ananas confit,2,not raw cotton,non,549530
ananas et pommes de grenade,1,not raw cotton,non,549530
ananas planté,1,not raw cotton,non,549530
anatomie,1,not raw cotton,non,549530
anatose,3,not raw cotton,non,549530
anches de tonneaux,2,not raw cotton,non,549530
anchois,851,not raw cotton,non,549530
anchois câpres et olives,10,not raw cotton,non,549530
anchois câpres etc.,1,not raw cotton,non,549530
anchois câpres olives,1,not raw cotton,non,549530
anchois et boutargue,13,not raw cotton,non,549530
anchois et câpres,5,not raw cotton,non,549530
anchois et sardes,1,not raw cotton,non,549530
anchois et sardines,5,not raw cotton,non,549530
anchois mariné,6,not raw cotton,non,549530
anchois mariné et salé,39,not raw cotton,non,549530
anchois salé et mariné,2,not raw cotton,non,549530
anchois salés,5,not raw cotton,non,549530
anchois salés et marinés,9,not raw cotton,non,549530
ancres,5,not raw cotton,non,549530
ancres de chaudon,1,not raw cotton,non,549530
ancres de fer,552,not raw cotton,non,549530
ancres de fer à chaudrons,1,not raw cotton,non,549530
ancres de fer au-dessus de 250 kilogrammes,1,not raw cotton,non,549530
ancres de fer de 250 kilogrammes et au-dessous,1,not raw cotton,non,549530
ancres de fer et embarcations,2,not raw cotton,non,549530
ancres et embarcations,5,not raw cotton,non,549530
ancres et grappins de fer,1,not raw cotton,non,549530
ancres gravelées,1,not raw cotton,non,549530
ancres neuves,3,not raw cotton,non,549530
ancres vides,4,not raw cotton,non,549530
ancres vieilles,1,,non,4126
ancres vieilles vides,1,not raw cotton,non,549530
andolium,2,not raw cotton,non,549530
andouilles,43,not raw cotton,non,549530
andouillette,1,not raw cotton,non,549530
ânes,175,not raw cotton,non,549530
ânes et ânesses,9,not raw cotton,non,549530
ânes et mulets,11,not raw cotton,non,549530
ânesses,1,not raw cotton,non,549530
angélique,28,not raw cotton,non,549530
angélique du Rozème,1,not raw cotton,non,549530
anguilles,23,not raw cotton,non,549530
anguilles et truites,1,not raw cotton,non,549530
anguilles fraîches,1,not raw cotton,non,549530
anguilles marinées,1,not raw cotton,non,549530
anguilles salées,22,not raw cotton,non,549530
anille,1,not raw cotton,non,549530
animaux,5,not raw cotton,non,549530
anis,520,not raw cotton,non,549530
anis et rac et rhum etc.,2,not raw cotton,non,549530
anis et sucre,1,not raw cotton,non,549530
anis vert,93,not raw cotton,non,549530
anis vert à distiller,2,not raw cotton,non,549530
anisette,113,not raw cotton,non,549530
anisette au fiasque,6,not raw cotton,non,549530
anisette de Bordeaux,2,not raw cotton,non,549530
anneau de cuivre,1,,non,4126
anneau de fer,2,not raw cotton,non,549530
anneaux de cuivre,1,not raw cotton,non,549530
anneaux de fer,1,,non,4126
ânon,2,not raw cotton,non,549530
anspects,124,not raw cotton,non,549530
anspects de 3 à 4 pieds,1,not raw cotton,non,549530
anspects de bois,27,not raw cotton,non,549530
anspects de sapin,1,not raw cotton,non,549530
antale,3,not raw cotton,non,549530
antale et cauris,1,not raw cotton,non,549530
antchibanis,9,not raw cotton,non,549530
antenelle,1,not raw cotton,non,549530
antennes,2,not raw cotton,non,549530
antennes et mâts de bateaux,1,not raw cotton,non,549530
antimoine,221,not raw cotton,non,549530
antimoine cru,27,not raw cotton,non,549530
antimoine métallique et sulfuré,2,not raw cotton,non,549530
antimoine préparé,2,not raw cotton,non,549530
antimoine vert,1,not raw cotton,non,549530
antofle,1,not raw cotton,non,549530
antofle de girofle,11,not raw cotton,non,549530
apasier,1,not raw cotton,non,549530
apier,3,not raw cotton,non,549530
apios,7,not raw cotton,non,549530
apparaux et bâtiments de mer,38,not raw cotton,non,549530
apprêtée à toiler les livres,1,not raw cotton,non,549530
apprêtée pour parchemins,1,not raw cotton,non,549530
arachis olives fraîches,1,not raw cotton,non,549530
arains,6,not raw cotton,non,549530
arak,17,not raw cotton,non,549530
arbalètes,1,not raw cotton,non,549530
arbalètrrie et cartes marines,1,not raw cotton,non,549530
arbres,7,not raw cotton,non,549530
arbres à fruits,2,not raw cotton,non,549530
arbres à planter,142,not raw cotton,non,549530
arbres châtaignier,4,not raw cotton,non,549530
arbres d' ???,1,not raw cotton,non,549530
arbres d'auban,1,not raw cotton,non,549530
arbres de sapin,1,not raw cotton,non,549530
arbres et arbrisseaux,25,not raw cotton,non,549530
arbres et arbrisseaux à fruits,1,not raw cotton,non,549530
arbres et arbrisseaux sauvages,1,not raw cotton,non,549530
arbres et arbustes,6,not raw cotton,non,549530
arbres et plants,1,not raw cotton,non,549530
arbres fruitiers,87,not raw cotton,non,549530
arbres marronniers à planter,1,not raw cotton,non,549530
arbres nains,1,not raw cotton,non,549530
arbres tilleul,3,not raw cotton,non,549530
arbrisseaux,9,not raw cotton,non,549530
arbustes,3,not raw cotton,non,549530
arcanette,1,not raw cotton,non,549530
arcanie,1,not raw cotton,non,549530
arcanson,4,not raw cotton,non,549530
arcanum duplicatum,2,not raw cotton,non,549530
archets de violons,1,not raw cotton,non,549530
archets et violon,1,not raw cotton,non,549530
archiabanis,1,not raw cotton,non,549530
arçons de bas de bois,1,not raw cotton,non,549530
arçons de bois,1,not raw cotton,non,549530
arçons de selles,14,not raw cotton,non,549530
arçons démontés,1,not raw cotton,non,549530
ardoise,364,not raw cotton,non,549530
ardoise à piler,1,not raw cotton,non,549530
ardoise commune,2,not raw cotton,non,549530
ardoise dite chérubin et à mortier,1,not raw cotton,non,549530
ardoise dite grande voisine,1,not raw cotton,non,549530
ardoise dite moyenne voisine,1,not raw cotton,non,549530
ardoise dite petite voisine,1,not raw cotton,non,549530
ardoise dite voisine grande moyenne et petite,2,not raw cotton,non,549530
ardoise en carreaux,1,not raw cotton,non,549530
ardoise en carreaux et d'1 pied carré,1,not raw cotton,non,549530
ardoise en carreaux ou en table,7,not raw cotton,non,549530
ardoise en livret,1,not raw cotton,non,549530
ardoise encadrée,1,not raw cotton,non,549530
ardoise encadrée et en livret,1,not raw cotton,non,549530
ardoise non travaillée,1,not raw cotton,non,549530
ardoise pour fenêtre,6,not raw cotton,non,549530
ardoise pour toiture,8,not raw cotton,non,549530
ardoise pour toiture au kilogramme,1,not raw cotton,non,549530
ardoise pour toiture au nombre,2,not raw cotton,non,549530
ardoise verte,1,not raw cotton,non,549530
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,not raw cotton,non,549530
arelles de baleine,1,,non,4126
argent,11,not raw cotton,non,549530
argent battu,1,not raw cotton,non,549530
argent battu et en feuille,2,not raw cotton,non,549530
argent battu filé laminé et tiré,3,not raw cotton,non,549530
argent brisé et en lingots et en masses,1,not raw cotton,non,549530
argent brûlé,2,not raw cotton,non,549530
argent brut,1,not raw cotton,non,549530
argent brut en lingot et en masse ouvrages détruits,2,not raw cotton,non,549530
argent carragoux,2,not raw cotton,non,549530
argent en barils,1,not raw cotton,non,549530
argent en barres,3,not raw cotton,non,549530
argent en lingots,18,not raw cotton,non,549530
argent en lingots par Calais,1,not raw cotton,non,549530
argent et or,238,not raw cotton,non,549530
argent et or billon,1,not raw cotton,non,549530
argent faux,9,not raw cotton,non,549530
argent faux en fil cantilles etc.,2,not raw cotton,non,549530
argent faux et or faux,53,not raw cotton,non,549530
argent faux et or faux traits,1,not raw cotton,non,549530
argent fin,1,not raw cotton,non,549530
argent monnayé et nogat d'or,4,not raw cotton,non,549530
argent talari,0,not raw cotton,oui,549530
argent vif,3,not raw cotton,non,549530
argenterie,732,not raw cotton,non,549530
argenterie épée,7,not raw cotton,non,549530
argenterie et bijouterie,14,not raw cotton,non,549530
argenterie et bijouterie et orfèvrerie,1,not raw cotton,non,549530
argenterie et orfèvrerie,122,not raw cotton,non,549530
argenterie et orfèvrerie vermeil,37,not raw cotton,non,549530
argenterie neuve,4,not raw cotton,non,549530
argenterie vieille,12,not raw cotton,non,549530
argile et terre pour engrais,15,not raw cotton,non,549530
arins,1,not raw cotton,non,549530
aristoloche,68,not raw cotton,non,549530
armement de tables,3,not raw cotton,non,549530
armes,251,not raw cotton,non,549530
armes à feu,367,not raw cotton,non,549530
armes à feu de guerre,2,not raw cotton,non,549530
armes à feu de guerre et de traite,1,not raw cotton,non,549530
armes à feu de guerre portatives,2,not raw cotton,non,549530
armes à feu de luxe,4,not raw cotton,non,549530
armes à feu de luxe ou de traite,3,not raw cotton,non,549530
armes à feu de munitions,2,not raw cotton,non,549530
armes à feu de munitions fines,4,not raw cotton,non,549530
armes à feu de traite,1,not raw cotton,non,549530
armes à feu et artillerie,1,not raw cotton,non,549530
armes à feu et de traite,1,not raw cotton,non,549530
armes à feu et fusils,1,not raw cotton,non,549530
armes armureries,1,not raw cotton,non,549530
armes autres que de guerre à feu,1,not raw cotton,non,549530
armes autres que de guerre blanches,1,not raw cotton,non,549530
armes blanches,201,not raw cotton,non,549530
armes blanches de guerre,1,not raw cotton,non,549530
armes blanches de guerre et de traite,1,not raw cotton,non,549530
armes blanches de luxe,2,not raw cotton,non,549530
armes blanches de luxe ou de traite,3,not raw cotton,non,549530
armes blanches de traite,1,not raw cotton,non,549530
armes de chasse ou de luxe à feu,2,not raw cotton,non,549530
armes de chasse ou de luxe blanches,2,not raw cotton,non,549530
armes de guerre,2,not raw cotton,non,549530
armes différentes,1,not raw cotton,non,549530
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,not raw cotton,non,549530
armes et munitions,9,not raw cotton,non,549530
armes lames,1,not raw cotton,non,549530
armes remontrances,1,not raw cotton,non,549530
armoires,57,not raw cotton,non,549530
armoires ayant servi,1,not raw cotton,non,549530
armoires d'acajou,12,not raw cotton,non,549530
armoires de bois,1,not raw cotton,non,549530
armoires de bois de noyer,1,not raw cotton,non,549530
armoires de bois de sapin peintes,1,not raw cotton,non,549530
armoires de bois des Indes,1,not raw cotton,non,549530
armoires de chêne,9,not raw cotton,non,549530
armoires de chêne ornée,1,not raw cotton,non,549530
armoires de noyer,9,not raw cotton,non,549530
armoires de sapin,3,not raw cotton,non,549530
armoires et commodes,1,not raw cotton,non,549530
armoires vieilles,2,not raw cotton,non,549530
armoisin,46,not raw cotton,non,549530
armure de fer,1,not raw cotton,non,549530
armure vieille,1,not raw cotton,non,549530
arnas,1,not raw cotton,non,549530
arpois,1,not raw cotton,non,549530
arquebuse,1,not raw cotton,non,549530
arrangas,1,not raw cotton,non,549530
arrosoirs,6,not raw cotton,non,549530
arrosoirs de bois,2,not raw cotton,non,549530
arrosoirs de cuivre,1,not raw cotton,non,549530
arrosoirs de fer,1,,non,4126
arrosoirs de fer-blanc,6,not raw cotton,non,549530
arrosoirs de sapin,1,not raw cotton,non,549530
arrosoirs de terre,1,not raw cotton,non,549530
arrowroot,1,not raw cotton,non,549530
arséniate de potasse,2,not raw cotton,non,549530
arsenic,411,not raw cotton,non,549530
arsenic métallique,6,not raw cotton,non,549530
artichauts,79,not raw cotton,non,549530
artichauts champignons et truffes,2,not raw cotton,non,549530
artichauts confits,68,not raw cotton,non,549530
artichauts frais,17,not raw cotton,non,549530
artichauts marinés,2,not raw cotton,non,549530
artichauts secs,6,not raw cotton,non,549530
artifice,5,not raw cotton,non,549530
artifice fusées etc.,1,not raw cotton,non,549530
artillerie,6,not raw cotton,non,549530
asa fœtida,123,not raw cotton,non,549530
asperges,9,not raw cotton,non,549530
asperges confites,1,not raw cotton,non,549530
asperges et scorsonères,1,not raw cotton,non,549530
asphaltum,19,not raw cotton,non,549530
assiette,1,not raw cotton,non,549530
assiette de Biarritz,1,not raw cotton,non,549530
assiette de bois,1,not raw cotton,non,549530
assiette de faïence,8,not raw cotton,non,549530
assiette de porcelaine,3,not raw cotton,non,549530
assiette de porcelaine des Indes,1,not raw cotton,non,549530
assiette de terre,6,not raw cotton,non,549530
assiette et plats de terre,1,not raw cotton,non,549530
asustum,1,not raw cotton,non,549530
atastes,1,not raw cotton,non,549530
atlas,2,not raw cotton,non,549530
atlas à la feuille d'or,1,,non,4126
atlas et instruments de marine,1,not raw cotton,non,549530
atlas jaspé,1,,non,4126
attaches de cuivre,1,not raw cotton,non,549530
attelles de colliers,14,not raw cotton,non,549530
aube,1,not raw cotton,non,549530
auchinoise,2,not raw cotton,non,549530
auclimes,2,not raw cotton,non,549530
auf,117,not raw cotton,non,549530
auf ouvré,0,not raw cotton,oui,549530
auf travaillé,0,not raw cotton,oui,549530
auf travaillé en cordes,0,not raw cotton,oui,549530
augemy,2,not raw cotton,non,549530
auges,3,not raw cotton,non,549530
auges de carreaux,2,not raw cotton,non,549530
augustins,2,not raw cotton,non,549530
aurcsats,1,not raw cotton,non,549530
aurcsats étoile,1,not raw cotton,non,549530
aussière,4,not raw cotton,non,549530
autel de marbre,2,not raw cotton,non,549530
avelanèdes,58,not raw cotton,non,549530
avelines,8,not raw cotton,non,549530
avelines et noisettes sèches,22,not raw cotton,non,549530
avelines faînes noisettes noix,1,not raw cotton,non,549530
avelines noisettes noix,5,not raw cotton,non,549530
avirons,639,not raw cotton,non,549530
avirons bruts,17,not raw cotton,non,549530
avirons de 12 pieds,1,not raw cotton,non,549530
avirons de 18 pieds,1,not raw cotton,non,549530
avirons de 30 pieds,1,not raw cotton,non,549530
avirons de 5 pieds,1,not raw cotton,non,549530
avirons de 8 à 12 pieds,1,not raw cotton,non,549530
avirons de bois,51,not raw cotton,non,549530
avirons de bois façonné,1,not raw cotton,non,549530
