simplification,nbr_occurences_simpl,beaver,obsolete,nbr_occurences_beaver
chaussettes de toile,3,No link with beaver,non,554828
chaussons de carisee et drap à laver maison,1,No link with beaver,non,554828
chaussons de fil,2,No link with beaver,non,554828
chaussons de laine,3,No link with beaver,non,554828
chaussons de laine de Ségovie,1,No link with beaver,non,554828
chaussures pour tisserand,1,No link with beaver,non,554828
chaux,236,No link with beaver,non,554828
chaux à bâtir,4,No link with beaver,non,554828
chaux calcinée ou cuite,2,No link with beaver,non,554828
chaux en pierre ou éteinte,1,No link with beaver,non,554828
chaux et cendre,1,No link with beaver,non,554828
chaux et cendre de chaux mêlées,1,No link with beaver,non,554828
chaux et pierres et plâtre,14,No link with beaver,non,554828
chaux et plâtre et ciment,48,No link with beaver,non,554828
chaux éteinte,14,No link with beaver,non,554828
chaux fondue,1,No link with beaver,non,554828
chaux vive,6,No link with beaver,non,554828
chavonis,3,No link with beaver,non,554828
chelöes,2,No link with beaver,non,554828
cheminée de marbre,5,No link with beaver,non,554828
cheminée de pierre de lierre,1,No link with beaver,non,554828
cheminée statues etc.,1,No link with beaver,non,554828
chemises,215,No link with beaver,non,554828
chemises à fumer,1,No link with beaver,non,554828
chemises à nègre,81,No link with beaver,non,554828
chemises assorties,1,No link with beaver,non,554828
chemises blanches ouvrées,1,No link with beaver,non,554828
chemises bleues,2,No link with beaver,non,554828
chemises bretonnes,68,No link with beaver,non,554828
chemises bretonnes garnies,1,No link with beaver,non,554828
chemises bretonnes unies,1,No link with beaver,non,554828
chemises brodées,2,No link with beaver,non,554828
chemises communes,71,No link with beaver,non,554828
chemises communes non garnies,1,No link with beaver,non,554828
chemises communes unies,1,No link with beaver,non,554828
chemises d'homme,2,No link with beaver,non,554828
chemises de batiste,1,No link with beaver,non,554828
chemises de Bretagne,5,No link with beaver,non,554828
chemises de chanvre de Riello,1,No link with beaver,non,554828
chemises de coton,1,No link with beaver,non,554828
chemises de fil de coton,1,No link with beaver,non,554828
chemises de grosse toile à nègre,3,No link with beaver,non,554828
chemises de guingan,20,No link with beaver,non,554828
chemises de Laval,3,No link with beaver,non,554828
chemises de lin,18,No link with beaver,non,554828
chemises de lin garnies,4,No link with beaver,non,554828
chemises de lin garnies de batiste,1,No link with beaver,non,554828
chemises de lin garnies unies,3,No link with beaver,non,554828
chemises de nègre,1,No link with beaver,non,554828
chemises de siamoise,1,No link with beaver,non,554828
chemises de soldat,1,No link with beaver,non,554828
chemises de toile,7,No link with beaver,non,554828
chemises de toile bleue,1,No link with beaver,non,554828
chemises de toile bretonne,4,No link with beaver,non,554828
chemises de toile communes,2,No link with beaver,non,554828
chemises de toile de Bretagne,11,No link with beaver,non,554828
chemises de toile de Bretagne diverses,1,No link with beaver,non,554828
chemises de toile de Bretagne garnies,2,No link with beaver,non,554828
chemises de toile de Bretagne rayée,1,No link with beaver,non,554828
chemises de toile de coton,4,No link with beaver,non,554828
chemises de toile de Laval,2,No link with beaver,non,554828
chemises de toile de Laval garnies,1,No link with beaver,non,554828
chemises de toile de lin,17,No link with beaver,non,554828
chemises de toile de lin garnies,6,No link with beaver,non,554828
chemises de toile de Morlaix,1,No link with beaver,non,554828
chemises de toile de Saint-Jean,1,No link with beaver,non,554828
chemises de toile garnies,1,No link with beaver,non,554828
chemises de toile rayée,2,No link with beaver,non,554828
chemises fines,36,No link with beaver,non,554828
chemises garnies,239,No link with beaver,non,554828
chemises garnies de Batiste,2,No link with beaver,non,554828
chemises garnies de mousseline,4,No link with beaver,non,554828
chemises garnies de paille,1,No link with beaver,non,554828
chemises garnies et fines,3,No link with beaver,non,554828
chemises garnies pour femme,1,No link with beaver,non,554828
chemises garnies pour homme,1,No link with beaver,non,554828
chemises grosses,1,No link with beaver,non,554828
chemises grosses de toile à nègre,3,No link with beaver,non,554828
chemises moins communes,2,No link with beaver,non,554828
chemises neutres,1,No link with beaver,non,554828
chemises neuves,1,No link with beaver,non,554828
chemises non garnies,4,No link with beaver,non,554828
chemises ordinaires,1,No link with beaver,non,554828
chemises pour homme,2,No link with beaver,non,554828
chemises pour homme communes,1,No link with beaver,non,554828
chemises pour soldat,1,No link with beaver,non,554828
chemises royales,1,No link with beaver,non,554828
chemises unies,90,No link with beaver,non,554828
chemises vieilles,8,No link with beaver,non,554828
chemisettes,2,No link with beaver,non,554828
chemisier,1,No link with beaver,non,554828
chemisons garnis,1,No link with beaver,non,554828
chêne en blocs,1,No link with beaver,non,554828
chenille,1,No link with beaver,non,554828
chenille au quart,1,No link with beaver,non,554828
chenille de bois,5,No link with beaver,non,554828
chenille de chêne,3,No link with beaver,non,554828
chenille de flavret,1,No link with beaver,non,554828
chenille de soie,18,No link with beaver,non,554828
cheval de bois,1,No link with beaver,non,554828
chévaque,1,No link with beaver,non,554828
chevaux,543,No link with beaver,non,554828
chevaux à bas prix,16,No link with beaver,non,554828
chevaux à haut prix,11,No link with beaver,non,554828
chevaux à moyen prix,5,No link with beaver,non,554828
chevaux anglais,1,No link with beaver,non,554828
chevaux arabes,1,No link with beaver,non,554828
chevaux d'Espagne,1,No link with beaver,non,554828
chevaux d'un an,1,No link with beaver,non,554828
chevaux de Barbarie,1,No link with beaver,non,554828
chevaux de bois,5,No link with beaver,non,554828
chevaux de labour,93,No link with beaver,non,554828
chevaux de labour et mules et mulets,4,No link with beaver,non,554828
chevaux de selle,2,No link with beaver,non,554828
chevaux de trois ans,1,No link with beaver,non,554828
chevaux et ânes,4,No link with beaver,non,554828
chevaux et mulets,2,No link with beaver,non,554828
chevaux et poulains,1,No link with beaver,non,554828
chevaux hongres,10,No link with beaver,non,554828
chevaux petits,1,No link with beaver,non,554828
chevaux poulains de lait,1,No link with beaver,non,554828
chevaux pour enfant,1,No link with beaver,non,554828
chevaux pour le haras,1,No link with beaver,non,554828
chevaux vieux,1,No link with beaver,non,554828
cheveux,331,No link with beaver,non,554828
cheveux à perruques,1,No link with beaver,non,554828
cheveux apprêtés,1,No link with beaver,non,554828
cheveux communs,35,No link with beaver,non,554828
cheville,1,No link with beaver,non,554828
cheville de bois,11,No link with beaver,non,554828
cheville de chêne,2,No link with beaver,non,554828
cheville de fer,3,No link with beaver,non,554828
chevilles et masses de fer,2,No link with beaver,non,554828
chevillières,1,No link with beaver,non,554828
chevillières à tresser,1,No link with beaver,non,554828
chevillières de fil,2,No link with beaver,non,554828
chevreaux,12,No link with beaver,non,554828
chevreaux à moyen prix,1,No link with beaver,non,554828
chèvres,179,No link with beaver,non,554828
chevreuil,1,No link with beaver,non,554828
chevreuil en chamois et peaux de cerf,1,No link with beaver,non,554828
chevrons,76,No link with beaver,non,554828
chevrons d'acajou,11,No link with beaver,non,554828
chevrons de 10 pieds,1,No link with beaver,non,554828
chevrons de 12 pieds,1,No link with beaver,non,554828
chevrons de 16 pieds,1,No link with beaver,non,554828
chevrons de 18 pieds,3,No link with beaver,non,554828
chevrons de 25 pieds,1,No link with beaver,non,554828
chevrons de 26 pieds,1,No link with beaver,non,554828
chevrons de 45 à 50 pieds,1,No link with beaver,non,554828
chevrons de 5 pieds en acajou,1,No link with beaver,non,554828
chevrons de 6 pieds en acajou,1,No link with beaver,non,554828
chevrons de 8 pieds,1,No link with beaver,non,554828
chevrons de 8 pieds en acajou,1,No link with beaver,non,554828
chevrons de 9 pieds,1,,non,2639
chevrons de bois,11,No link with beaver,non,554828
chevrons de bois d'acajou de 8 pieds,1,,non,2639
chevrons de bois de noyer de 12 pieds de long,1,No link with beaver,non,554828
chevrons de cèdre,1,No link with beaver,non,554828
chevrons de chêne,9,No link with beaver,non,554828
chevrons de chêne de 10 pieds,1,No link with beaver,non,554828
chevrons de chêne de 11 pieds,1,No link with beaver,non,554828
chevrons de chêne de 12 à 18 pieds,1,No link with beaver,non,554828
chevrons de chêne de 12 pieds,1,No link with beaver,non,554828
chevrons de chêne de 15 pieds,1,No link with beaver,non,554828
chevrons de chêne de 16 pieds,2,No link with beaver,non,554828
chevrons de chêne de 18 pieds,3,No link with beaver,non,554828
chevrons de chêne de 22 pieds,1,No link with beaver,non,554828
chevrons de chêne de 5 à 6 pieds,1,No link with beaver,non,554828
chevrons de chêne de 6 pieds,1,No link with beaver,non,554828
chevrons de chêne de 7 pieds,1,No link with beaver,non,554828
chevrons de chêne de 8 pieds,1,No link with beaver,non,554828
chevrons de chêne de 9 pieds,1,No link with beaver,non,554828
chevrons de merisier,1,No link with beaver,non,554828
chevrons de pin,1,No link with beaver,non,554828
chevrons de planches,1,No link with beaver,non,554828
chevrons de sapin,84,No link with beaver,non,554828
chevrons de sapin 12 pieds,1,No link with beaver,non,554828
chevrons de sapin 24 pieds,1,No link with beaver,non,554828
chevrons de sapin de 10 pieds,1,No link with beaver,non,554828
chevrons de sapin de 12 pieds,3,No link with beaver,non,554828
chevrons de sapin de 14 à 15 pieds,1,No link with beaver,non,554828
chevrons de sapin de 14 pieds,2,No link with beaver,non,554828
chevrons de sapin de 15 à 20 pieds,1,No link with beaver,non,554828
chevrons de sapin de 15 pieds,3,No link with beaver,non,554828
chevrons de sapin de 16 pieds,4,No link with beaver,non,554828
chevrons de sapin de 18 pieds,3,No link with beaver,non,554828
chevrons de sapin de 20 pieds,3,No link with beaver,non,554828
chevrons de sapin de 22 pieds,1,No link with beaver,non,554828
chevrons de sapin de 24 pieds,5,No link with beaver,non,554828
chevrons de sapin de 25 pieds,1,No link with beaver,non,554828
chevrons de sapin de 26 pieds,1,No link with beaver,non,554828
chevrons de sapin de 28 pieds,1,No link with beaver,non,554828
chevrons de sapin de 29 pieds,1,No link with beaver,non,554828
chevrons de sapin de 3 à 4 pieds,1,No link with beaver,non,554828
chevrons de sapin de 30 pieds,1,No link with beaver,non,554828
chevrons de sapin de 36 pieds,3,No link with beaver,non,554828
chevrons de sapin de 40 pieds,2,No link with beaver,non,554828
chevrons de sapin de 6 à 7 pieds,1,No link with beaver,non,554828
chevrons de sapin de 6 à 9 pieds,1,,non,2639
chevrons de sapin de 7 à 8 pieds,1,No link with beaver,non,554828
chevrons de sapin de 7 pieds,1,No link with beaver,non,554828
chevrons de sapin de 8 pieds,2,No link with beaver,non,554828
chevrons de sapin de 9 à 10 pieds,1,No link with beaver,non,554828
chevrons de sapin de 9 pieds,1,No link with beaver,non,554828
chialar,1,No link with beaver,non,554828
chicorée moulue,48,No link with beaver,non,554828
chicorée sèche ou torréfiée,2,No link with beaver,non,554828
chicotin,9,No link with beaver,non,554828
chiendent,1,No link with beaver,non,554828
chiens,42,No link with beaver,non,554828
chiens courants de chasse,1,No link with beaver,non,554828
chiens de chasse,6,No link with beaver,non,554828
chiffons,17,No link with beaver,non,554828
chiffons vieux,1,No link with beaver,non,554828
chillas,48,No link with beaver,non,554828
chillas palma,1,No link with beaver,non,554828
chima calin,1,No link with beaver,non,554828
chine,2,No link with beaver,non,554828
chinois,3,No link with beaver,non,554828
chiques,4,No link with beaver,non,554828
chiques de pierre,7,No link with beaver,non,554828
chiquette des prises,1,No link with beaver,non,554828
chirederis,1,No link with beaver,non,554828
chise de fourneaux,1,No link with beaver,non,554828
chitte,71,No link with beaver,non,554828
chitte anglaise,1,No link with beaver,non,554828
chitte d'Amedabad,1,No link with beaver,non,554828
chitte étoffe,2,No link with beaver,non,554828
chitte Keabadis,2,No link with beaver,non,554828
chitte patenas,1,No link with beaver,non,554828
chitte rouge,1,No link with beaver,non,554828
chivelles,1,No link with beaver,non,554828
chocolat,1036,No link with beaver,non,554828
chocolat en pâte,1,No link with beaver,non,554828
chocolat et cacao broyé,4,No link with beaver,non,554828
chocolat et sorbet,1,No link with beaver,non,554828
choix de bœuf salé,2,No link with beaver,non,554828
cholas,1,No link with beaver,non,554828
chomettes de terre,1,No link with beaver,non,554828
chouclas des Indes,2,No link with beaver,non,554828
chourales,1,No link with beaver,non,554828
choux,21,No link with beaver,non,554828
choux à planter,6,No link with beaver,non,554828
choux cabus,1,No link with beaver,non,554828
choux confits,3,No link with beaver,non,554828
choux marinés,2,No link with beaver,non,554828
choux salés,1,No link with beaver,non,554828
choux-fleurs,14,No link with beaver,non,554828
choux-fleurs et cabus et artichauts,2,No link with beaver,non,554828
christ d'ivoire,3,No link with beaver,non,554828
christ d'ivoire monté sur velours,1,No link with beaver,non,554828
chromate de plomb,4,No link with beaver,non,554828
chromate de potasse,1,No link with beaver,non,554828
chuquelas,41,No link with beaver,non,554828
cidre,346,No link with beaver,non,554828
cidre jaune,1,No link with beaver,non,554828
cidre poiré et verjus,4,No link with beaver,non,554828
cierges,7,No link with beaver,non,554828
cierges de cire blanche,8,No link with beaver,non,554828
cierges de cire et bougie de cire,4,No link with beaver,non,554828
cierges de fer,2,No link with beaver,non,554828
cierges et flambeau,1,No link with beaver,non,554828
cigares,1,No link with beaver,non,554828
cigares par autorisation,1,No link with beaver,non,554828
cikous,1,No link with beaver,non,554828
cime,1,No link with beaver,non,554828
ciment,27,No link with beaver,non,554828
ciment et chaux et pierres et plâtre,8,No link with beaver,non,554828
ciment ou tiras,1,No link with beaver,non,554828
cinabre,207,No link with beaver,non,554828
cinabre broyé,27,No link with beaver,non,554828
cinabre de pierres,6,No link with beaver,non,554828
cinabre en roche,1,No link with beaver,non,554828
cinabre et vermillon,60,No link with beaver,non,554828
cinabre fin,1,No link with beaver,non,554828
cinabre naturel,1,No link with beaver,non,554828
ciradille,1,No link with beaver,non,554828
cirage pour chaussures,1,No link with beaver,non,554828
circks,1,No link with beaver,non,554828
cire,32,No link with beaver,non,554828
cire à cacheter,112,No link with beaver,non,554828
cire blanche,590,No link with beaver,non,554828
cire blanche de bougie,1,No link with beaver,non,554828
cire blanche et jaune,501,No link with beaver,non,554828
cire blanche et jaune non ouvrée,23,No link with beaver,non,554828
cire blanche non ouvrée,1,No link with beaver,non,554828
cire brune,1,No link with beaver,non,554828
cire brune non clarifiée,1,No link with beaver,non,554828
cire brune non clarifiée du Sénégal,1,No link with beaver,non,554828
cire brute,1,No link with beaver,non,554828
cire brute blanche,6,No link with beaver,non,554828
cire brute brune ou jaune,2,No link with beaver,non,554828
cire brute jaune,21,No link with beaver,non,554828
cire brute jaune des entrepôts,1,No link with beaver,non,554828
cire d'Espagne,83,No link with beaver,non,554828
cire d'Espagne à cacheter,1,No link with beaver,non,554828
cire de bougie,5,No link with beaver,non,554828
cire de bougie jaune,1,No link with beaver,non,554828
cire diverse,13,No link with beaver,non,554828
cire en branche,2,No link with beaver,non,554828
cire en pain,5,No link with beaver,non,554828
cire et chandelle de cire,1,No link with beaver,non,554828
cire grasse,1,No link with beaver,non,554828
cire jaune,1421,No link with beaver,non,554828
cire jaune du levant,1,No link with beaver,non,554828
cire jaune en bougie et chandelle,1,No link with beaver,non,554828
cire jaune en cierges et flambeaux,1,No link with beaver,non,554828
cire jaune en pain,2,No link with beaver,non,554828
cire moitié cire et moitié suif,1,No link with beaver,non,554828
cire verte,10,No link with beaver,non,554828
cire vierge,6,No link with beaver,non,554828
cirsaca,61,No link with beaver,non,554828
cirsaka,2,No link with beaver,non,554828
cirsaka de coton et de soie,2,No link with beaver,non,554828
ciseaux,20,No link with beaver,non,554828
ciseaux à élaguer,2,No link with beaver,non,554828
citrate de chaux,1,No link with beaver,non,554828
citronniers,1,No link with beaver,non,554828
citrons,3,No link with beaver,non,554828
citrons aigres,14,No link with beaver,non,554828
citrons avariés,2,No link with beaver,non,554828
citrons confits,105,No link with beaver,non,554828
citrons en saumure,1,,non,2639
citrons et limons,691,No link with beaver,non,554828
citrons et orange,362,No link with beaver,non,554828
citrons et orange frais,197,No link with beaver,non,554828
citrons étrangers,2,No link with beaver,non,554828
citrons frais,60,No link with beaver,non,554828
citrons frais et orange fraîche et amandes sèches et figue sèches et raisin sec,29,No link with beaver,non,554828
citrons orange et leurs variétés,7,No link with beaver,non,554828
citrons vert,20,No link with beaver,non,554828
citrouilles,1,No link with beaver,non,554828
civadille,100,No link with beaver,non,554828
civette,6,No link with beaver,non,554828
clafou,1,No link with beaver,non,554828
clafou de bois,1,No link with beaver,non,554828
clafou de bois ou merrains de bois,1,No link with beaver,non,554828
clafou en blocs,1,No link with beaver,non,554828
clairons,1,No link with beaver,non,554828
clairons etc.,1,No link with beaver,non,554828
clappes ou douves à barils,1,No link with beaver,non,554828
clappes ou douves à barils de sapin,1,No link with beaver,non,554828
clarges des prises,1,No link with beaver,non,554828
clarifiant,1,No link with beaver,non,554828
clarinette haut-bois,3,No link with beaver,non,554828
clavecin,19,No link with beaver,non,554828
clavecin vieux,1,No link with beaver,non,554828
clavecins épinettes orgues,2,No link with beaver,non,554828
clayes à parquer,1,No link with beaver,non,554828
clefs à vin,1,No link with beaver,non,554828
clefs de fer,2,No link with beaver,non,554828
clinquant d'or faux,1,No link with beaver,non,554828
clinquant en papier,1,No link with beaver,non,554828
cloches,18,No link with beaver,non,554828
cloches de bronze,1,No link with beaver,non,554828
cloches de cuivre,1,No link with beaver,non,554828
cloches de fer,1,No link with beaver,non,554828
cloches de fonte,67,No link with beaver,non,554828
cloches de fonte vieilles,1,No link with beaver,non,554828
cloches de métal,73,No link with beaver,non,554828
cloches de plomb et de zinc,12,No link with beaver,non,554828
cloches de verre,3,No link with beaver,non,554828
cloches vieilles,1,No link with beaver,non,554828
clochettes,12,No link with beaver,non,554828
clochettes de cuivre,6,No link with beaver,non,554828
clochettes de fonte,4,No link with beaver,non,554828
cloportes,2,No link with beaver,non,554828
clous,15,No link with beaver,non,554828
clous à têtes de cuivre doré petits,1,No link with beaver,non,554828
clous de caboche,4,No link with beaver,non,554828
clous de cuivre,11,No link with beaver,non,554828
clous de cuivre doré,4,No link with beaver,non,554828
clous de cuivre jaune,1,No link with beaver,non,554828
clous de fer,1620,No link with beaver,non,554828
clous de fer à barriques,1,No link with beaver,non,554828
clous de fer à charrettes,1,No link with beaver,non,554828
clous de fer gonds,1,No link with beaver,non,554828
clous de fer neufs,1,No link with beaver,non,554828
clous de fer ordinaires,1,No link with beaver,non,554828
clous de fer vieux,2,No link with beaver,non,554828
clous de girofle,15,No link with beaver,non,554828
clous de girofle et griffes,3,No link with beaver,non,554828
clous de girofle fleurs,5,No link with beaver,non,554828
clous de girofle fleurs des entrepôts,1,No link with beaver,non,554828
clous de laiton,10,No link with beaver,non,554828
clous dorés,46,No link with beaver,non,554828
clous et acier,1,No link with beaver,non,554828
clous vieux,2,No link with beaver,non,554828
cloutaille,1,No link with beaver,non,554828
cloutiers,1,No link with beaver,non,554828
coak,1,No link with beaver,non,554828
coas de soie,1,No link with beaver,non,554828
coati,1,No link with beaver,non,554828
cobalt grillé,4,No link with beaver,non,554828
cobalt métal,3,No link with beaver,non,554828
cobalt métal et minerai,2,No link with beaver,non,554828
cobalt minerai,1,No link with beaver,non,554828
cobalt minéral,1,No link with beaver,non,554828
cocalum,2,No link with beaver,non,554828
cocax,2,No link with beaver,non,554828
cochelis,19,No link with beaver,non,554828
cochenille,1081,No link with beaver,non,554828
cochenille Campêchane,1,No link with beaver,non,554828
cochenille Campêche,1,No link with beaver,non,554828
cochenille de retour,1,,non,2639
cochenille et indigo,1,No link with beaver,non,554828
cochenille fil verte,1,No link with beaver,non,554828
cochenille fine,23,No link with beaver,non,554828
cochenille mestèque,72,No link with beaver,non,554828
cochenille mustack,2,No link with beaver,non,554828
cochenille sylvestre,50,No link with beaver,non,554828
cochon,19,No link with beaver,non,554828
cochon de lait,1,No link with beaver,non,554828
cochon petit,2,No link with beaver,non,554828
cochon salé et petit salé,10,No link with beaver,non,554828
coclearia,11,No link with beaver,non,554828
coco du Levant,1,No link with beaver,non,554828
coco plate,1,No link with beaver,non,554828
cocons,6,No link with beaver,non,554828
cocons de soie,140,No link with beaver,non,554828
cocons de vers à soie,3,No link with beaver,non,554828
cocos,80,No link with beaver,non,554828
cocos caroubes frais,2,No link with beaver,non,554828
cocos des Indes,2,No link with beaver,non,554828
cocos du Levant,2,No link with beaver,non,554828
cocos petits,1,No link with beaver,non,554828
cocos verts,3,No link with beaver,non,554828
coctif,1,No link with beaver,non,554828
cocullus,1,No link with beaver,non,554828
coddes blancs,1,No link with beaver,non,554828
coëtif,11,No link with beaver,non,554828
cœurs de bœuf,3,No link with beaver,non,554828
coffres,7,No link with beaver,non,554828
coffres à étuve,2,No link with beaver,non,554828
coffres à garniture de peau,1,No link with beaver,non,554828
coffres à matelots,1,,non,2639
coffres à perruque,1,No link with beaver,non,554828
coffres à thé,1,No link with beaver,non,554828
coffres à vin,1,No link with beaver,non,554828
coffres de bois,25,No link with beaver,non,554828
coffres de chimie,1,No link with beaver,non,554828
coffres de chirurgie,116,No link with beaver,non,554828
coffres de commodité,5,No link with beaver,non,554828
coffres de fer,25,No link with beaver,non,554828
coffres de fer de 300 livres,1,,non,2639
coffres de fer et berses,1,No link with beaver,non,554828
coffres de fonte,1,No link with beaver,non,554828
coffres de gaz,1,No link with beaver,non,554828
coffres de noyer,1,No link with beaver,non,554828
coffres de sapin,2,No link with beaver,non,554828
coffres peints,2,No link with beaver,non,554828
coffres vides,1,No link with beaver,non,554828
coffres vieux,1,No link with beaver,non,554828
coffres-forts,21,No link with beaver,non,554828
coffres-forts de fer,13,No link with beaver,non,554828
cognac,1,No link with beaver,non,554828
cognées de bois,1,No link with beaver,non,554828
coiffes,1,No link with beaver,non,554828
coiffes à perruque,2,No link with beaver,non,554828
coiffes blondes,6,No link with beaver,non,554828
coiffes blondes et de gaze,1,No link with beaver,non,554828
coiffes blondes et palatine,1,No link with beaver,non,554828
coiffes brodées,1,No link with beaver,non,554828
coiffes de chapeaux,13,No link with beaver,non,554828
coiffes de dentelle,1,No link with beaver,non,554828
coiffes de dentelle de soie,1,No link with beaver,non,554828
coiffes de gaze,10,No link with beaver,non,554828
coiffes de Marly,1,No link with beaver,non,554828
coiffes de tambou,1,No link with beaver,non,554828
coiffes et palatines,2,No link with beaver,non,554828
coiffes pour chapeaux et coiffes de perruques,1,No link with beaver,non,554828
coiffes pour femme,2,No link with beaver,non,554828
coiffures,1,No link with beaver,non,554828
coiffures à dentelles,4,No link with beaver,non,554828
coing fruit,1,No link with beaver,non,554828
coïtif,1,No link with beaver,non,554828
çoka,1,No link with beaver,non,554828
col à femme,1,No link with beaver,non,554828
colins,1,No link with beaver,non,554828
colis,1,No link with beaver,non,554828
colle,223,No link with beaver,non,554828
colle à papetier,12,No link with beaver,non,554828
colle à papier,4,No link with beaver,non,554828
colle à poisson,1,No link with beaver,non,554828
colle claire,1,No link with beaver,non,554828
colle commune,70,No link with beaver,non,554828
colle de Flandre,37,No link with beaver,non,554828
colle de papetier,1,No link with beaver,non,554828
colle de peau d'âne,1,No link with beaver,non,554828
colle de poisson,501,No link with beaver,non,554828
colle faible,1,No link with beaver,non,554828
colle forte,656,No link with beaver,non,554828
colle forte de Flandre,1,No link with beaver,non,554828
colle forte de poisson,2,No link with beaver,non,554828
colle poisson,1,No link with beaver,non,554828
collets toile de lin,1,No link with beaver,non,554828
colliers d'ambre,1,No link with beaver,non,554828
colliers de chevaux,8,No link with beaver,non,554828
colliers de corail,1,No link with beaver,non,554828
colliers de femme,3,No link with beaver,non,554828
colliers de grenat,7,No link with beaver,non,554828
colliers de grenat faux,1,No link with beaver,non,554828
colliers de jais,2,No link with beaver,non,554828
colliers de nacre de perles,1,No link with beaver,non,554828
colliers de perles,2,No link with beaver,non,554828
colliers de perles fausses,19,No link with beaver,non,554828
colliers de verre,3,No link with beaver,non,554828
colombine,242,No link with beaver,non,554828
colonne,2,No link with beaver,non,554828
colonne de noyer,1,No link with beaver,non,554828
colophane ou Spingler,1,No link with beaver,non,554828
coloquinte,161,No link with beaver,non,554828
colorant et verdet,1,No link with beaver,non,554828
cols,1,No link with beaver,non,554828
colza navettes et autres,1,No link with beaver,non,554828
combustible,1,No link with beaver,non,554828
comestibles,67,No link with beaver,non,554828
comestibles saindoux,3,No link with beaver,non,554828
commode,49,No link with beaver,non,554828
commode avec dessus de marbre,9,No link with beaver,non,554828
commode d'acajou,4,No link with beaver,non,554828
commode de bois,5,No link with beaver,non,554828
commode de bois violet,1,No link with beaver,non,554828
commode de marqueterie,1,No link with beaver,non,554828
commode de noyer,7,No link with beaver,non,554828
commode de sapin,9,No link with beaver,non,554828
commode de sapin peinte,1,No link with beaver,non,554828
commode de sapin vernie,1,No link with beaver,non,554828
commode ornée,1,No link with beaver,non,554828
commodes de bois,1,No link with beaver,non,554828
commodes de sapin vernies,1,,non,2639
communes,1,No link with beaver,non,554828
compas,3,No link with beaver,non,554828
compas de cuivre,2,No link with beaver,non,554828
compas de fer,2,No link with beaver,non,554828
compas de mer,5,No link with beaver,non,554828
compas de route,4,No link with beaver,non,554828
compas et cartes de nouveautés,1,No link with beaver,non,554828
compas et horloge de sable,1,No link with beaver,non,554828
comperose,1,No link with beaver,non,554828
composition de chimie,1,No link with beaver,non,554828
composition de verre,4,No link with beaver,non,554828
compotiers de porcelaine,1,No link with beaver,non,554828
compotiers de terre,1,No link with beaver,non,554828
concombre et cornichons,1,No link with beaver,non,554828
concombre et cornichons en adobe,1,No link with beaver,non,554828
conducteur,1,No link with beaver,non,554828
confection,12,No link with beaver,non,554828
confection d'alkermès,3,No link with beaver,non,554828
confection d'hyacinthe,17,No link with beaver,non,554828
confitures,2154,No link with beaver,non,554828
confitures à l'eau-de-vie,5,No link with beaver,non,554828
confitures de cerise,1,No link with beaver,non,554828
confitures de Chine,1,No link with beaver,non,554828
confitures de France,1,No link with beaver,non,554828
confitures de l'étranger,1,No link with beaver,non,554828
confitures de miel,1,No link with beaver,non,554828
confitures et fruit confit au sucre,16,No link with beaver,non,554828
confitures et fruits confits au sucre,17,No link with beaver,non,554828
confitures et succade,1,No link with beaver,non,554828
confitures et sucre,1,No link with beaver,non,554828
confitures fines,4,No link with beaver,non,554828
confitures fluides et sèches,1,No link with beaver,non,554828
confitures fromage moutarde etc.,1,No link with beaver,non,554828
confitures liquides,11,No link with beaver,non,554828
confitures sèches,21,No link with beaver,non,554828
congres,52,No link with beaver,non,554828
connaissement,1,No link with beaver,non,554828
conserve d'alkermès,1,No link with beaver,non,554828
conserve de rose,8,No link with beaver,non,554828
conserves de fleurs d'oranger,1,No link with beaver,non,554828
conterie,103,No link with beaver,non,554828
contra yerba,32,No link with beaver,non,554828
contrebordé,17,No link with beaver,non,554828
contrebrodé,4,No link with beaver,non,554828
contrefoyer de fer,3,No link with beaver,non,554828
copale,3,No link with beaver,non,554828
copeaux pour fourreaux d'épée,1,No link with beaver,non,554828
coqs,2,No link with beaver,non,554828
coqs d'Inde,10,No link with beaver,non,554828
coqs du Levant,3,No link with beaver,non,554828
coque,1,No link with beaver,non,554828
coque de coco,5,No link with beaver,non,554828
coque de mouche à miel,1,No link with beaver,non,554828
coque du Levant,119,No link with beaver,non,554828
coquenard de cuivre,1,No link with beaver,non,554828
coquillage,64,No link with beaver,non,554828
coquillage de mer,3,No link with beaver,non,554828
coquillages homards moules,3,No link with beaver,non,554828
coquillages pleins et homards à la valeur,1,No link with beaver,non,554828
coquillages pleins et homards au kilogramme,1,No link with beaver,non,554828
coquilles de mer,33,No link with beaver,non,554828
coquilles de nacre,32,No link with beaver,non,554828
coquilles de Saint-Jacques,1,No link with beaver,non,554828
corail,100,No link with beaver,non,554828
corail blanc,10,No link with beaver,non,554828
corail brun,4,No link with beaver,non,554828
corail brut,212,No link with beaver,non,554828
corail brut et non monté et taillé,22,No link with beaver,non,554828
corail brut et taillé,23,No link with beaver,non,554828
corail de demitte,1,No link with beaver,non,554828
corail de jardin,54,No link with beaver,non,554828
corail de terraille,1,No link with beaver,non,554828
corail en filières,2,No link with beaver,non,554828
corail et non monté et taillé,8,No link with beaver,non,554828
corail faux,12,No link with beaver,non,554828
corail fin,4,No link with beaver,non,554828
corail gros,31,No link with beaver,non,554828
corail non monté taillé,1,No link with beaver,non,554828
