simplification,nbr_occurences_simpl,obsolete,porcelaine,nbr_occurences_porcelaine
ail,2,oui,Sans lien avec la porcelaine,815441
ailes,17,non,Sans lien avec la porcelaine,815441
ailes de fléaux,3,non,Sans lien avec la porcelaine,815441
ailes de moulins,6,non,Sans lien avec la porcelaine,815441
ailor,0,non,Sans lien avec la porcelaine,815441
ails,266,non,Sans lien avec la porcelaine,815441
ails à fauches,1,non,Sans lien avec la porcelaine,815441
ails blancs à casser,1,non,Sans lien avec la porcelaine,815441
aimant,1,non,Sans lien avec la porcelaine,815441
ains à pêcher,43,non,Sans lien avec la porcelaine,815441
ains et lignes à pêcher,2,non,Sans lien avec la porcelaine,815441
airain,6,non,Sans lien avec la porcelaine,815441
airain non ouvré,4,non,Sans lien avec la porcelaine,815441
ajamis,281,non,Sans lien avec la porcelaine,815441
ajustements,37,non,Sans lien avec la porcelaine,815441
ajustements de femme,5,non,Sans lien avec la porcelaine,815441
ajustements de soie,2,non,Sans lien avec la porcelaine,815441
alambics,17,non,Sans lien avec la porcelaine,815441
alambics d'étain,17,non,Sans lien avec la porcelaine,815441
alambics de cuivre,2,non,Sans lien avec la porcelaine,815441
alambics de terre,1,non,Sans lien avec la porcelaine,815441
alana,2,non,Sans lien avec la porcelaine,815441
alazar,2,non,Sans lien avec la porcelaine,815441
albâtre,5,non,Sans lien avec la porcelaine,815441
albâtre brut,3,non,Sans lien avec la porcelaine,815441
albâtre et marbre brut et poli,21,non,Sans lien avec la porcelaine,815441
albâtre moulé poli ou sculpté,6,non,Sans lien avec la porcelaine,815441
alcalis autre que natron et soude,2,oui,Sans lien avec la porcelaine,815441
alcalis autre que natron et soudes,2,non,,37165
alcalis salin,1,non,Sans lien avec la porcelaine,815441
aleine à cordonnier en acier et en fer,1,non,,37165
alènes,5,non,Sans lien avec la porcelaine,815441
alènes à cordonnier en acier et en fer,1,oui,,37165
algue marine,1,non,,37165
ali,0,non,,37165
alibanies,110,non,Sans lien avec la porcelaine,815441
alibanis,14,oui,,37165
alicot,0,non,,37165
alizari,31,non,Sans lien avec la porcelaine,815441
alizari et garance,165,non,Sans lien avec la porcelaine,815441
alizari sèche,7,non,Sans lien avec la porcelaine,815441
alkermés,1,non,Sans lien avec la porcelaine,815441
alkermès en grains,23,non,Sans lien avec la porcelaine,815441
allaya,88,non,Sans lien avec la porcelaine,815441
alleaux,1,non,Sans lien avec la porcelaine,815441
allemande de poil,10,oui,Sans lien avec la porcelaine,815441
allumettes,135,non,Sans lien avec la porcelaine,815441
allumettes à vin,30,non,Sans lien avec la porcelaine,815441
allumettes de coton,1,non,Sans lien avec la porcelaine,815441
allumettes de mêche soufrée,1,non,Sans lien avec la porcelaine,815441
allumettes droguées,3,non,Sans lien avec la porcelaine,815441
allumettes épicée,2,non,Sans lien avec la porcelaine,815441
allumettes opérées et soufrées,1,non,Sans lien avec la porcelaine,815441
allumettes soufrées,13,non,Sans lien avec la porcelaine,815441
almagro ou crayons rouges,2,non,Sans lien avec la porcelaine,815441
almanachs,1,non,Sans lien avec la porcelaine,815441
almanachs brochés,2,non,Sans lien avec la porcelaine,815441
almanachs en blancs,1,non,Sans lien avec la porcelaine,815441
almanachs enjolivés,2,non,Sans lien avec la porcelaine,815441
almanachs reliés,1,non,Sans lien avec la porcelaine,815441
aloès,257,non,Sans lien avec la porcelaine,815441
aloès cabalin,5,non,Sans lien avec la porcelaine,815441
aloès commun,1,non,Sans lien avec la porcelaine,815441
aloès et opium,2,non,Sans lien avec la porcelaine,815441
aloès hépatique,1,non,Sans lien avec la porcelaine,815441
aloès moyen,2,non,Sans lien avec la porcelaine,815441
aloiset,1,non,Sans lien avec la porcelaine,815441
alose,8,non,Sans lien avec la porcelaine,815441
alose fumée,4,non,Sans lien avec la porcelaine,815441
alose salée,5,non,Sans lien avec la porcelaine,815441
aloues,1,non,Sans lien avec la porcelaine,815441
alouettes,5,non,Sans lien avec la porcelaine,815441
alpargate,36,non,Sans lien avec la porcelaine,815441
alphabets,1,non,Sans lien avec la porcelaine,815441
alpiste,21,non,Sans lien avec la porcelaine,815441
alpiste et millet,9,non,Sans lien avec la porcelaine,815441
alquifoux,495,non,Sans lien avec la porcelaine,815441
alquifoux en galène,2,non,Sans lien avec la porcelaine,815441
alquifoux et mine de plomb,36,non,Sans lien avec la porcelaine,815441
alquifoux mine de plomb ou graphite,23,non,Sans lien avec la porcelaine,815441
alquifoux ou mine de plomb,1,non,Sans lien avec la porcelaine,815441
alquifoux sable plombifère,1,non,Sans lien avec la porcelaine,815441
alquitra,3,non,Sans lien avec la porcelaine,815441
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,non,Sans lien avec la porcelaine,815441
alto basses contrebasses guitare lyres violes violons,2,non,Sans lien avec la porcelaine,815441
alto bassons guitare violons,3,non,Sans lien avec la porcelaine,815441
aluchiabanis,3,oui,Sans lien avec la porcelaine,815441
alun,2475,non,Sans lien avec la porcelaine,815441
alun à cordonnier,1,non,Sans lien avec la porcelaine,815441
alun autre que brûlé ou calciné,2,non,Sans lien avec la porcelaine,815441
alun bon,2,non,Sans lien avec la porcelaine,815441
alun brûlé,1,non,Sans lien avec la porcelaine,815441
alun commun,1,non,Sans lien avec la porcelaine,815441
alun de glace,1,non,Sans lien avec la porcelaine,815441
alun de roche,5,non,Sans lien avec la porcelaine,815441
alun de Rome,3,non,Sans lien avec la porcelaine,815441
alun de Rome fin rosé,1,non,Sans lien avec la porcelaine,815441
alun de Rouen,2,non,Sans lien avec la porcelaine,815441
alun de Surde,2,non,Sans lien avec la porcelaine,815441
alun du Levant,1,non,Sans lien avec la porcelaine,815441
alun en dracy,1,non,Sans lien avec la porcelaine,815441
alun en rame,1,non,,37165
alun gâté,1,non,Sans lien avec la porcelaine,815441
alun ordinaire,1,non,Sans lien avec la porcelaine,815441
alvés,0,non,Sans lien avec la porcelaine,815441
amadou,335,non,Sans lien avec la porcelaine,815441
amadou et agaric amadouvier,7,non,Sans lien avec la porcelaine,815441
amandes,2219,non,Sans lien avec la porcelaine,815441
amandes à la praline,4,non,Sans lien avec la porcelaine,815441
amandes amères,1,non,Sans lien avec la porcelaine,815441
amandes arachis noisettes noix noyaux,2,non,Sans lien avec la porcelaine,815441
amandes cassée,7,oui,Sans lien avec la porcelaine,815441
amandes cassées,419,non,Sans lien avec la porcelaine,815441
amandes cassées ou en coque,3,oui,Sans lien avec la porcelaine,815441
amandes cassées ou en coques,3,non,,37165
amandes courtes,102,non,Sans lien avec la porcelaine,815441
amandes douces,5,non,Sans lien avec la porcelaine,815441
amandes en coque,438,oui,Sans lien avec la porcelaine,815441
amandes en coques,441,non,,37165
amandes et figue et raisin,33,non,Sans lien avec la porcelaine,815441
amandes et noisettes et raisins secs,2,non,,37165
amandes et noix et noisettes,100,non,,37165
amandes et pelures et prunes et raisin,0,non,Sans lien avec la porcelaine,815441
amandes et pruneaux,82,non,Sans lien avec la porcelaine,815441
amandes et raisin sec,17,non,Sans lien avec la porcelaine,815441
amandes et raisin sec et savon,1,non,Sans lien avec la porcelaine,815441
amandes et savon,13,non,Sans lien avec la porcelaine,815441
amandes et sucre,25,non,Sans lien avec la porcelaine,815441
amandes et verdet,33,non,Sans lien avec la porcelaine,815441
amandes fraîches,1,non,Sans lien avec la porcelaine,815441
amandes longues,65,non,Sans lien avec la porcelaine,815441
amandes mondées,2,non,Sans lien avec la porcelaine,815441
amandes sèches,64,non,Sans lien avec la porcelaine,815441
amandes sèches et figue sèche et ???,0,non,Sans lien avec la porcelaine,815441
amandes sèches et figue sèche et raisin sec,135,non,Sans lien avec la porcelaine,815441
amaril,,oui,Sans lien avec la porcelaine,815441
amarinage,10,non,,37165
amarine,1,non,Sans lien avec la porcelaine,815441
ambrain à grande barrique,1,non,Sans lien avec la porcelaine,815441
ambre,43,non,Sans lien avec la porcelaine,815441
ambre blanc,1,non,Sans lien avec la porcelaine,815441
ambre brut,19,non,Sans lien avec la porcelaine,815441
ambre carabé,21,non,Sans lien avec la porcelaine,815441
ambre carabé jaune,2,non,Sans lien avec la porcelaine,815441
ambre en grains,1,non,,37165
ambre et corail,1,non,Sans lien avec la porcelaine,815441
ambre gris,38,non,Sans lien avec la porcelaine,815441
ambre jaune,87,non,Sans lien avec la porcelaine,815441
ambre moulu,3,non,Sans lien avec la porcelaine,815441
ameny,1,oui,Sans lien avec la porcelaine,815441
amer,3,non,Sans lien avec la porcelaine,815441
amer de laine,1,non,Sans lien avec la porcelaine,815441
amertis,4,non,Sans lien avec la porcelaine,815441
ameublement,2,non,Sans lien avec la porcelaine,815441
ameublement de chitte,1,non,Sans lien avec la porcelaine,815441
ami de toilé,1,non,Sans lien avec la porcelaine,815441
amidon,1287,non,Sans lien avec la porcelaine,815441
amidon alun,1,non,,37165
amidon en grains,1,non,Sans lien avec la porcelaine,815441
amidon en poudre,1,non,,37165
amidon et poudre à poudrer,132,non,Sans lien avec la porcelaine,815441
ammoniac,7,non,Sans lien avec la porcelaine,815441
ammoniac et sel,26,non,Sans lien avec la porcelaine,815441
ammonium,1,non,Sans lien avec la porcelaine,815441
amomum,16,non,Sans lien avec la porcelaine,815441
amomum et fèves de tonka et noix de ravensara,2,non,Sans lien avec la porcelaine,815441
amomum verum,2,non,Sans lien avec la porcelaine,815441
amurca,4,non,Sans lien avec la porcelaine,815441
anabasse,121,non,Sans lien avec la porcelaine,815441
anabasse bajutapau,3,non,,37165
anabasse corat nicaneas platille,2,non,,37165
anacardes,2,non,Sans lien avec la porcelaine,815441
anacoste,3,non,Sans lien avec la porcelaine,815441
ananas,12,non,Sans lien avec la porcelaine,815441
ananas confit,2,non,Sans lien avec la porcelaine,815441
ananas et pommes de grenade,8,non,Sans lien avec la porcelaine,815441
ananas planté,1,non,Sans lien avec la porcelaine,815441
anatomie,1,non,Sans lien avec la porcelaine,815441
anatose,3,non,Sans lien avec la porcelaine,815441
anches de tonneaux,2,non,Sans lien avec la porcelaine,815441
anchois,1131,non,Sans lien avec la porcelaine,815441
anchois câpres et olives,10,non,Sans lien avec la porcelaine,815441
anchois câpres etc.,1,non,Sans lien avec la porcelaine,815441
anchois câpres olives,1,non,Sans lien avec la porcelaine,815441
anchois et boutargue,13,non,Sans lien avec la porcelaine,815441
anchois et câpres,5,non,Sans lien avec la porcelaine,815441
anchois et câpres et olives,1,non,,37165
anchois et sardes,1,non,Sans lien avec la porcelaine,815441
anchois et sardines,5,non,Sans lien avec la porcelaine,815441
anchois mariné,10,non,Sans lien avec la porcelaine,815441
anchois mariné et salé,39,non,Sans lien avec la porcelaine,815441
anchois salé,2,non,,37165
anchois salé et mariné,2,non,Sans lien avec la porcelaine,815441
anchois salés,4,non,Sans lien avec la porcelaine,815441
anchois salés et marinés,9,non,Sans lien avec la porcelaine,815441
ancres,56,non,Sans lien avec la porcelaine,815441
ancres de chaudon,1,non,Sans lien avec la porcelaine,815441
ancres de fer,580,non,Sans lien avec la porcelaine,815441
ancres de fer à chaudrons,1,non,Sans lien avec la porcelaine,815441
ancres de fer au-dessus de 250 kilogrammes,1,non,Sans lien avec la porcelaine,815441
ancres de fer de 250 kilogrammes et au-dessous,1,non,Sans lien avec la porcelaine,815441
ancres de fer et embarcations,2,non,Sans lien avec la porcelaine,815441
ancres et embarcations,5,non,Sans lien avec la porcelaine,815441
ancres et grappins de fer,1,non,Sans lien avec la porcelaine,815441
ancres et ouvrages de fer,2,non,,37165
ancres gravelées,1,non,Sans lien avec la porcelaine,815441
ancres neuves,3,non,Sans lien avec la porcelaine,815441
ancres vides,3,non,Sans lien avec la porcelaine,815441
ancres vieilles,1,non,,37165
ancres vieilles vides,1,non,Sans lien avec la porcelaine,815441
andolium,5,non,Sans lien avec la porcelaine,815441
andouilles,43,non,Sans lien avec la porcelaine,815441
andouillette,1,non,Sans lien avec la porcelaine,815441
ânes,175,non,Sans lien avec la porcelaine,815441
ânes et ânesses,97,non,Sans lien avec la porcelaine,815441
ânes et mulets,11,non,Sans lien avec la porcelaine,815441
ânesses,1,non,Sans lien avec la porcelaine,815441
angélique,28,non,Sans lien avec la porcelaine,815441
angélique du Rozème,1,non,Sans lien avec la porcelaine,815441
anguilles,25,non,Sans lien avec la porcelaine,815441
anguilles et truites,118,non,Sans lien avec la porcelaine,815441
anguilles fraîches,1,non,Sans lien avec la porcelaine,815441
anguilles marinées,1,non,Sans lien avec la porcelaine,815441
anguilles salées,22,non,Sans lien avec la porcelaine,815441
anille,1,non,Sans lien avec la porcelaine,815441
animaux,5,non,Sans lien avec la porcelaine,815441
anis,575,non,Sans lien avec la porcelaine,815441
anis et rac et rhum etc.,101,non,Sans lien avec la porcelaine,815441
anis et sucre,1,non,Sans lien avec la porcelaine,815441
anis vert,94,non,Sans lien avec la porcelaine,815441
anis vert à distiller,2,non,Sans lien avec la porcelaine,815441
anisette,112,non,Sans lien avec la porcelaine,815441
anisette au fiasque,6,non,Sans lien avec la porcelaine,815441
anisette de Bordeaux,2,non,Sans lien avec la porcelaine,815441
anneau de cuivre,1,non,,37165
anneau de fer,2,non,Sans lien avec la porcelaine,815441
anneaux de cuivre,1,non,Sans lien avec la porcelaine,815441
anneaux de fer,1,non,,37165
ânon,2,non,Sans lien avec la porcelaine,815441
anspects,118,non,Sans lien avec la porcelaine,815441
anspects de 3 à 4 pieds,1,non,Sans lien avec la porcelaine,815441
anspects de bois,21,non,Sans lien avec la porcelaine,815441
anspects de sapin,1,non,Sans lien avec la porcelaine,815441
antale,3,non,Sans lien avec la porcelaine,815441
antale et cauris,1,non,Sans lien avec la porcelaine,815441
antchibanis,9,oui,Sans lien avec la porcelaine,815441
antenelle,1,non,Sans lien avec la porcelaine,815441
antennes,2,non,Sans lien avec la porcelaine,815441
antennes et mâts de bateaux,1,non,Sans lien avec la porcelaine,815441
antimoine,283,non,Sans lien avec la porcelaine,815441
antimoine cru,27,non,Sans lien avec la porcelaine,815441
antimoine métallique et sulfuré,2,non,Sans lien avec la porcelaine,815441
antimoine préparé,2,non,Sans lien avec la porcelaine,815441
antimoine vert,1,non,Sans lien avec la porcelaine,815441
antofle,1,non,Sans lien avec la porcelaine,815441
antofle de girofle,11,non,Sans lien avec la porcelaine,815441
apasier,1,non,Sans lien avec la porcelaine,815441
apier,3,non,Sans lien avec la porcelaine,815441
apios,7,non,Sans lien avec la porcelaine,815441
apparaux,1,non,,37165
apparaux et bâtiments de mer,38,non,Sans lien avec la porcelaine,815441
apprêtée à toiler les livres,2,non,Sans lien avec la porcelaine,815441
apprêtée pour parchemins,2,non,Sans lien avec la porcelaine,815441
apprêts,0,non,,37165
arachis olives fraîches,1,non,Sans lien avec la porcelaine,815441
arains,6,non,Sans lien avec la porcelaine,815441
arak,17,non,Sans lien avec la porcelaine,815441
arbalètes,7,non,Sans lien avec la porcelaine,815441
arbalètrie et cartes marines,1,non,,37165
arbalètrrie et cartes marines,1,oui,Sans lien avec la porcelaine,815441
arbres,51,non,Sans lien avec la porcelaine,815441
arbres à fruits,2,non,Sans lien avec la porcelaine,815441
arbres à planter,141,non,Sans lien avec la porcelaine,815441
arbres à planter pommiers,1,non,,37165
arbres châtaignier,4,non,Sans lien avec la porcelaine,815441
arbres d' ???,1,non,Sans lien avec la porcelaine,815441
arbres d'auban,1,non,Sans lien avec la porcelaine,815441
arbres de sapin,1,non,Sans lien avec la porcelaine,815441
arbres et arbrisseaux,25,non,Sans lien avec la porcelaine,815441
arbres et arbrisseaux à fruits,134,non,Sans lien avec la porcelaine,815441
arbres et arbrisseaux sauvages,138,non,Sans lien avec la porcelaine,815441
arbres et arbustes,6,non,Sans lien avec la porcelaine,815441
arbres et plants,1,non,Sans lien avec la porcelaine,815441
arbres fruitiers,94,non,Sans lien avec la porcelaine,815441
arbres marronniers à planter,1,non,Sans lien avec la porcelaine,815441
arbres nains,1,non,Sans lien avec la porcelaine,815441
arbres tilleul,3,non,Sans lien avec la porcelaine,815441
arbrisseaux,9,non,Sans lien avec la porcelaine,815441
arbustes,4,non,Sans lien avec la porcelaine,815441
arcanette,1,non,Sans lien avec la porcelaine,815441
arcanie,1,non,Sans lien avec la porcelaine,815441
arcanson,4,non,Sans lien avec la porcelaine,815441
arcanum duplicatum,2,non,Sans lien avec la porcelaine,815441
archets de violons,19,non,Sans lien avec la porcelaine,815441
archets et violon,1,non,Sans lien avec la porcelaine,815441
archiabanis,2,oui,Sans lien avec la porcelaine,815441
arçons de bas de bois,1,non,Sans lien avec la porcelaine,815441
arçons de bois,1,non,Sans lien avec la porcelaine,815441
arçons de selles,23,non,Sans lien avec la porcelaine,815441
arçons démontés,1,non,Sans lien avec la porcelaine,815441
ardoise,383,non,Sans lien avec la porcelaine,815441
ardoise à piler,1,non,Sans lien avec la porcelaine,815441
ardoise commune,215,non,Sans lien avec la porcelaine,815441
ardoise dite chérubin et à mortier,63,non,Sans lien avec la porcelaine,815441
ardoise dite grande voisine,2,non,Sans lien avec la porcelaine,815441
ardoise dite moyenne voisine,3,non,Sans lien avec la porcelaine,815441
ardoise dite petite voisine,2,non,Sans lien avec la porcelaine,815441
ardoise dite voisine grande moyenne et petite,7,non,Sans lien avec la porcelaine,815441
ardoise en carreaux,2,non,Sans lien avec la porcelaine,815441
ardoise en carreaux et d'1 pied carré,1,non,Sans lien avec la porcelaine,815441
ardoise en carreaux ou en table,7,non,Sans lien avec la porcelaine,815441
ardoise en livret,7,non,Sans lien avec la porcelaine,815441
ardoise encadrée,2,non,Sans lien avec la porcelaine,815441
ardoise encadrée et en livret,71,non,Sans lien avec la porcelaine,815441
ardoise non travaillée,8,non,Sans lien avec la porcelaine,815441
ardoise pour fenêtre,6,non,Sans lien avec la porcelaine,815441
ardoise pour toiture,8,non,Sans lien avec la porcelaine,815441
ardoise pour toiture au kilogramme,1,non,Sans lien avec la porcelaine,815441
