simplification,nbr_occurences_simpl,obsolete,porcelaine,nbr_occurences_porcelaine
huile de verre,2,non,Sans lien avec la porcelaine,815441
huile de vialle,2,non,Sans lien avec la porcelaine,815441
huile de vitriol,400,non,Sans lien avec la porcelaine,815441
huile de vitriol et vitriol,24,non,Sans lien avec la porcelaine,815441
huile dellevette,2,non,Sans lien avec la porcelaine,815441
huile diverse,40,non,Sans lien avec la porcelaine,815441
huile diverse à la valeur,1,non,Sans lien avec la porcelaine,815441
huile du Pérou,4,non,Sans lien avec la porcelaine,815441
huile du Sénégal,1,non,,37165
huile en bouteille,1,non,,37165
huile en crasse,4,non,Sans lien avec la porcelaine,815441
huile en crasse ou degnes ???,0,non,Sans lien avec la porcelaine,815441
huile en crasse ou degras et ???,2,non,,37165
huile en degens,1,non,,37165
huile en dignar,1,non,Sans lien avec la porcelaine,815441
huile en zégnar,1,non,,37165
huile essencée,1,non,Sans lien avec la porcelaine,815441
huile essentielle ou volatile de citron girofle menthe rose etc.,2,non,Sans lien avec la porcelaine,815441
huile et essence de térébenthine,24,non,Sans lien avec la porcelaine,815441
huile et provisions,5,non,Sans lien avec la porcelaine,815441
huile et rabete,1,non,Sans lien avec la porcelaine,815441
huile et sirop,12,non,Sans lien avec la porcelaine,815441
huile fine,3,non,Sans lien avec la porcelaine,815441
huile grap indigo,1,non,Sans lien avec la porcelaine,815441
huile grasse d'amandes,4,oui,Sans lien avec la porcelaine,815441
huile grasse d'olive comestible,4,oui,Sans lien avec la porcelaine,815441
huile grasse d'olive pour fabrique,4,oui,Sans lien avec la porcelaine,815441
huile grasse de faine et noix,4,oui,Sans lien avec la porcelaine,815441
huile grasse de graines autres que lin œillette et pavot,2,oui,Sans lien avec la porcelaine,815441
huile grasse de graines d'œillette ou pavot,2,oui,Sans lien avec la porcelaine,815441
huile grasse de graines de lin,2,oui,Sans lien avec la porcelaine,815441
huile grasse de graines grasses,2,oui,Sans lien avec la porcelaine,815441
huile grasse de palme,2,oui,Sans lien avec la porcelaine,815441
huile grasse de palme et pignon,2,oui,Sans lien avec la porcelaine,815441
huile grasse de ricin,4,oui,Sans lien avec la porcelaine,815441
huile marc d'olive ou amurca,1,non,Sans lien avec la porcelaine,815441
huile médicinale,14,non,Sans lien avec la porcelaine,815441
huile pétrole,19,non,Sans lien avec la porcelaine,815441
huile pour étranger de poisson,1,oui,Sans lien avec la porcelaine,815441
huile pour France de poisson,3,oui,Sans lien avec la porcelaine,815441
huile pour lampe,1,non,Sans lien avec la porcelaine,815441
huile rabette,1,non,Sans lien avec la porcelaine,815441
huile spirituelle d'olive,8,non,Sans lien avec la porcelaine,815441
huile spirituelle de poisson,1,non,Sans lien avec la porcelaine,815441
huile stale,1,non,Sans lien avec la porcelaine,815441
huile succin,3,non,Sans lien avec la porcelaine,815441
huile superfine,1,non,Sans lien avec la porcelaine,815441
huile térébenthine,12,oui,Sans lien avec la porcelaine,815441
huile vierge,1,non,Sans lien avec la porcelaine,815441
huile vitriol,3,non,Sans lien avec la porcelaine,815441
huile volatile,2,non,Sans lien avec la porcelaine,815441
huile volatile d'anis fenouil marjolaine romarin et sauge,2,non,Sans lien avec la porcelaine,815441
huile volatile de cade cèdre ou oxycèdre et gaïac,2,non,Sans lien avec la porcelaine,815441
huile volatile de cannelle girofle macis muscade et sassafras,2,non,Sans lien avec la porcelaine,815441
huile volatile de citron orange et leurs variétés,2,non,Sans lien avec la porcelaine,815441
huile volatile de genièvre,1,non,Sans lien avec la porcelaine,815441
huile volatile de jasmin et autres fleurs d'odeur fugace,2,non,Sans lien avec la porcelaine,815441
huile volatile de lavande,2,non,Sans lien avec la porcelaine,815441
huile volatile de rose et de Rhodes,2,non,Sans lien avec la porcelaine,815441
huitres,98,oui,,37165
huîtres,387,non,Sans lien avec la porcelaine,815441
huîtres à la daube,69,non,Sans lien avec la porcelaine,815441
huîtres à la daube ou marinée,1,non,Sans lien avec la porcelaine,815441
huîtres à mariner,1,non,Sans lien avec la porcelaine,815441
huîtres en écaille,20,non,Sans lien avec la porcelaine,815441
huîtres en pierres,2,non,Sans lien avec la porcelaine,815441
huîtres fraîches,15,non,Sans lien avec la porcelaine,815441
huîtres fraîches et salées,18,non,Sans lien avec la porcelaine,815441
huîtres marines,1,non,Sans lien avec la porcelaine,815441
humains,24,non,Sans lien avec la porcelaine,815441
humains de Guinée,18,non,,37165
humains de Sénégal,27,non,,37165
hydromel,123,non,Sans lien avec la porcelaine,815441
hypochetia,1,non,Sans lien avec la porcelaine,815441
hypocristis,1,non,Sans lien avec la porcelaine,815441
igname,5,non,Sans lien avec la porcelaine,815441
images,17,non,Sans lien avec la porcelaine,815441
images à cadres dorés,1,non,,37165
images de cire,1,non,Sans lien avec la porcelaine,815441
images de corne,1,non,Sans lien avec la porcelaine,815441
images de papier,38,non,Sans lien avec la porcelaine,815441
images de papier et estampes et cartes géographiques,220,non,Sans lien avec la porcelaine,815441
images de parchemin,73,non,Sans lien avec la porcelaine,815441
images de parchemin de corne,2,non,Sans lien avec la porcelaine,815441
images de vélin,6,non,Sans lien avec la porcelaine,815441
images des Indes,1,non,Sans lien avec la porcelaine,815441
images et cartes géographiques,2,non,Sans lien avec la porcelaine,815441
images peintes,2,non,Sans lien avec la porcelaine,815441
images sur papier,1,non,Sans lien avec la porcelaine,815441
impériale,9,non,Sans lien avec la porcelaine,815441
impériale de laine,1,non,Sans lien avec la porcelaine,815441
inde,5,non,Sans lien avec la porcelaine,815441
inde de Java,10,non,Sans lien avec la porcelaine,815441
inde fine,28,non,Sans lien avec la porcelaine,815441
inde florée,1,non,Sans lien avec la porcelaine,815441
inde flottante,15,non,Sans lien avec la porcelaine,815441
inde Java,3,oui,Sans lien avec la porcelaine,815441
inde plate,118,non,Sans lien avec la porcelaine,815441
indienne,839,non,Sans lien avec la porcelaine,815441
indienne ???,1,non,Sans lien avec la porcelaine,815441
indienne commune,6,non,Sans lien avec la porcelaine,815441
indienne de coton,21,non,Sans lien avec la porcelaine,815441
indienne de coton et de fil,1,non,Sans lien avec la porcelaine,815441
indienne de coton et siamoise de coton et toile de coton imprimée et toile de coton peinte et toile de coton teinte,25,non,Sans lien avec la porcelaine,815441
indienne de coton et siamoise de coton et toile de coton peinte,16,non,Sans lien avec la porcelaine,815441
indienne de coton et toile de coton peinte,65,non,Sans lien avec la porcelaine,815441
indienne de coton peinte,2,non,Sans lien avec la porcelaine,815441
indienne de différentes qualités,1,non,Sans lien avec la porcelaine,815441
indienne de France,6,non,Sans lien avec la porcelaine,815441
indienne de Suisse,1,non,,37165
indienne des Indes,4,non,Sans lien avec la porcelaine,815441
indienne des Indes et toile peinte,5,non,Sans lien avec la porcelaine,815441
indienne en coupon,1,non,,37165
indienne et sitz,143,non,Sans lien avec la porcelaine,815441
indienne et toile perse,1,non,Sans lien avec la porcelaine,815441
indienne étrangère,5,non,Sans lien avec la porcelaine,815441
indienne étrangère et toile peinte,3,non,Sans lien avec la porcelaine,815441
indienne française,1,non,Sans lien avec la porcelaine,815441
indienne nationale et toile peinte,5,non,Sans lien avec la porcelaine,815441
indienne peinte,30,non,Sans lien avec la porcelaine,815441
indigo,6553,non,Sans lien avec la porcelaine,815441
indigo commun,2,non,Sans lien avec la porcelaine,815441
indigo de Guatemala,3,non,,37165
indigo de retour,3,non,Sans lien avec la porcelaine,815441
indigo des Îles françaises,1,non,Sans lien avec la porcelaine,815441
indigo des Indes,1,non,Sans lien avec la porcelaine,815441
indigo en gr ???,1,non,Sans lien avec la porcelaine,815441
indigo en grabeau,102,non,,37165
indigo et sucre,1,non,Sans lien avec la porcelaine,815441
indigo floré,13,non,Sans lien avec la porcelaine,815441
indigo guatimalo,8,non,Sans lien avec la porcelaine,815441
indigo inde-plate boules de bleu,1,non,Sans lien avec la porcelaine,815441
indigo par Bordeaux Nantes Le Havre et Dunkerque,1,non,Sans lien avec la porcelaine,815441
injubes,2,non,Sans lien avec la porcelaine,815441
insectes,4,non,Sans lien avec la porcelaine,815441
instruments,110,non,Sans lien avec la porcelaine,815441
instruments d'artillerie,1,non,,37165
instruments d'arts libéraux,7,non,Sans lien avec la porcelaine,815441
instruments d'astronomie,5,non,Sans lien avec la porcelaine,815441
instruments d'optique lunettier,1,non,,37165
instruments d'optiques,13,non,Sans lien avec la porcelaine,815441
instruments d'optiques et ouvrages ditto,34,non,Sans lien avec la porcelaine,815441
instruments d'orfèvrerie,1,non,Sans lien avec la porcelaine,815441
instruments de b??? mêlés,1,non,Sans lien avec la porcelaine,815441
instruments de chimie,3,non,Sans lien avec la porcelaine,815441
instruments de chirurgie,48,non,Sans lien avec la porcelaine,815441
instruments de jardinage,1,non,Sans lien avec la porcelaine,815441
instruments de marine,17,non,Sans lien avec la porcelaine,815441
instruments de mathématique,85,non,Sans lien avec la porcelaine,815441
instruments de mathématique et de musique,9,non,Sans lien avec la porcelaine,815441
instruments de mathématique et instruments de chirurgie,49,non,Sans lien avec la porcelaine,815441
instruments de mécanique,3,non,Sans lien avec la porcelaine,815441
instruments de mer,2,oui,Sans lien avec la porcelaine,815441
instruments de mesure,1,non,,37165
instruments de musique,504,non,Sans lien avec la porcelaine,815441
instruments de musique ???,1,non,Sans lien avec la porcelaine,815441
instruments de musique et autres,11,non,Sans lien avec la porcelaine,815441
instruments de navigation,3,non,Sans lien avec la porcelaine,815441
instruments de physique,24,non,Sans lien avec la porcelaine,815441
instruments de pilotage,4,non,Sans lien avec la porcelaine,815441
instruments épinettes,1,non,Sans lien avec la porcelaine,815441
instruments machine et mécanique,3,non,Sans lien avec la porcelaine,815441
instruments machine et mécanique propres aux arts et aux sciences,11,non,Sans lien avec la porcelaine,815441
instruments pour hôpitaux militaires,1,non,,37165
instruments pour la pêche,10,non,Sans lien avec la porcelaine,815441
instruments pour les arts et les sciences,180,non,Sans lien avec la porcelaine,815441
instruments propres aux arts libéraux,10,non,Sans lien avec la porcelaine,815441
instruments propres aux science,2,non,Sans lien avec la porcelaine,815441
ipécacuanha,309,non,Sans lien avec la porcelaine,815441
iranis,1,non,Sans lien avec la porcelaine,815441
iris,182,non,Sans lien avec la porcelaine,815441
iris de citron,1,non,Sans lien avec la porcelaine,815441
iris de Florence,60,non,Sans lien avec la porcelaine,815441
irtaine,1,oui,Sans lien avec la porcelaine,815441
isaris d'auf,1,non,Sans lien avec la porcelaine,815441
isatis,5,non,Sans lien avec la porcelaine,815441
issarions de palme,4,non,Sans lien avec la porcelaine,815441
istarions d'espars,1,non,Sans lien avec la porcelaine,815441
ita à planter,1,non,Sans lien avec la porcelaine,815441
Itaine de laine,1,non,Sans lien avec la porcelaine,815441
ivies,1,non,Sans lien avec la porcelaine,815441
ivoire,85,non,Sans lien avec la porcelaine,815441
ivoire brûlé,2,non,Sans lien avec la porcelaine,815441
ivoire brut,81,non,Sans lien avec la porcelaine,815441
ivoire de Dieppe,1,non,Sans lien avec la porcelaine,815441
ivoire en grabeau,2,non,,37165
ivoire en morceaux,2,non,Sans lien avec la porcelaine,815441
ivoire et or,10,non,,37165
ivoire noir,1,non,Sans lien avec la porcelaine,815441
ivoire ou morphil,1,oui,Sans lien avec la porcelaine,815441
jaillet,2,non,Sans lien avec la porcelaine,815441
jais,139,non,Sans lien avec la porcelaine,815441
jais brut,1,non,Sans lien avec la porcelaine,815441
jais de chêne,1,non,Sans lien avec la porcelaine,815441
jais ou ouvrages de jais,1,non,Sans lien avec la porcelaine,815441
jalap,479,non,Sans lien avec la porcelaine,815441
jalap en grabeau,1,non,,37165
jamard,2,non,Sans lien avec la porcelaine,815441
jamavar,20,non,Sans lien avec la porcelaine,815441
jambon,1376,non,Sans lien avec la porcelaine,815441
jambon de Bayonne,11,non,Sans lien avec la porcelaine,815441
jambon de Mayence,6,non,Sans lien avec la porcelaine,815441
jambon du pays,1,non,Sans lien avec la porcelaine,815441
jambon et lard,1,non,Sans lien avec la porcelaine,815441
jambon et lard salé,1,non,Sans lien avec la porcelaine,815441
jambon et saucissons,1,non,Sans lien avec la porcelaine,815441
jambon fumé,28,non,Sans lien avec la porcelaine,815441
jambon lard et saucissons,1,non,Sans lien avec la porcelaine,815441
jambon non fumé,2,non,Sans lien avec la porcelaine,815441
jambon pour l'entrepôt de la Compagnie,1,non,Sans lien avec la porcelaine,815441
jambon salé,100,non,Sans lien avec la porcelaine,815441
jambons,8,oui,Sans lien avec la porcelaine,815441
jantes,100,non,Sans lien avec la porcelaine,815441
jantes et rais,5,non,Sans lien avec la porcelaine,815441
japonis,1,non,,37165
jardinage divers,1,non,Sans lien avec la porcelaine,815441
jardinage jasmin,2,non,Sans lien avec la porcelaine,815441
jarres,228,non,Sans lien avec la porcelaine,815441
jarres de grès,1,non,,37165
jarres de terre,26,non,Sans lien avec la porcelaine,815441
jarres et dame-jeannes,61,non,,37165
jarres vides,1,non,Sans lien avec la porcelaine,815441
jarretières,3,non,Sans lien avec la porcelaine,815441
jarretières d'argent,4,non,Sans lien avec la porcelaine,815441
jarretières d'argent et d'or,1,non,Sans lien avec la porcelaine,815441
jarretières d'argent et d'or et de soie,1,non,Sans lien avec la porcelaine,815441
jarretières de fil,3,non,Sans lien avec la porcelaine,815441
jarretières de filoselle,2,non,Sans lien avec la porcelaine,815441
jarretières de fleuret,12,non,Sans lien avec la porcelaine,815441
jarretières de laine,11,non,Sans lien avec la porcelaine,815441
jarretières de soie,21,non,Sans lien avec la porcelaine,815441
jarretières et ruban de laine,1,non,Sans lien avec la porcelaine,815441
jarretières et tresse de laine,1,non,Sans lien avec la porcelaine,815441
jas,1,non,Sans lien avec la porcelaine,815441
jaspe,3,non,Sans lien avec la porcelaine,815441
jatape,1,non,Sans lien avec la porcelaine,815441
jattes de bois,3,non,Sans lien avec la porcelaine,815441
jaune commun,64,non,Sans lien avec la porcelaine,815441
jaune de Cassel,1,non,Sans lien avec la porcelaine,815441
jaune de chrome,2,non,Sans lien avec la porcelaine,815441
jaune de Naples,86,non,Sans lien avec la porcelaine,815441
jaune doré,7,non,Sans lien avec la porcelaine,815441
jaune gros,1,non,Sans lien avec la porcelaine,815441
jaune paille,2,non,Sans lien avec la porcelaine,815441
jaune royal,2,non,Sans lien avec la porcelaine,815441
jeanette de laine,1,non,,37165
jeanne,1,non,Sans lien avec la porcelaine,815441
jeanne gros,1,non,Sans lien avec la porcelaine,815441
jet de bière,10,non,Sans lien avec la porcelaine,815441
jet et lie de bière,136,non,Sans lien avec la porcelaine,815441
jetons d'argent,1,non,Sans lien avec la porcelaine,815441
jetons de cuivre,2,non,Sans lien avec la porcelaine,815441
jets de canettes,2,non,Sans lien avec la porcelaine,815441
jets de canettes de grès,3,non,,37165
jets de cannes,3,non,Sans lien avec la porcelaine,815441
jets de cannes à poignée d'ambre,1,non,Sans lien avec la porcelaine,815441
jets de creusets,2,non,,37165
jets de grès,1,non,Sans lien avec la porcelaine,815441
jets de terre,1,non,Sans lien avec la porcelaine,815441
jets de voile,43,oui,Sans lien avec la porcelaine,815441
jeux d'échecs,1,non,Sans lien avec la porcelaine,815441
jeux d'écrevisse,1,non,Sans lien avec la porcelaine,815441
jeux d'orgues,1,non,,37165
jeux de camagnolle,2,non,Sans lien avec la porcelaine,815441
jeux de moulins,19,non,Sans lien avec la porcelaine,815441
jeux de moulins à sucre,10,non,Sans lien avec la porcelaine,815441
jeux de quadrilles,1,non,,37165
jeux de voile,105,non,Sans lien avec la porcelaine,815441
jeux de voile en toile de Bretagne,1,non,,37165
joaillerie,1,non,Sans lien avec la porcelaine,815441
jolités de cristal garnis de cuivre,2,non,Sans lien avec la porcelaine,815441
jolités en pinsbeck,3,non,Sans lien avec la porcelaine,815441
jolités mêlées,135,non,Sans lien avec la porcelaine,815441
joncs,78,non,Sans lien avec la porcelaine,815441
joncs à faire des cannes,4,non,Sans lien avec la porcelaine,815441
joncs à joncher les volailles,3,non,Sans lien avec la porcelaine,815441
joncs à voile,,oui,Sans lien avec la porcelaine,815441
joncs communs,4,non,Sans lien avec la porcelaine,815441
joncs de cannes,1,non,Sans lien avec la porcelaine,815441
joncs des Indes,1,non,Sans lien avec la porcelaine,815441
joncs des marais,3,non,,37165
joncs en blocs,1,non,Sans lien avec la porcelaine,815441
joncs en herbes,1,non,Sans lien avec la porcelaine,815441
joncs entés,17,non,Sans lien avec la porcelaine,815441
joncs et roseaux,32,non,Sans lien avec la porcelaine,815441
joncs et roseaux des jardins,2,non,Sans lien avec la porcelaine,815441
joncs et roseaux des marais d'Europe Presle et Sparte brut,2,non,Sans lien avec la porcelaine,815441
joncs et roseaux exotiques bambous et joncs forts à cannes,2,non,Sans lien avec la porcelaine,815441
joncs et roseaux exotiques rotins de petit calibre,3,non,Sans lien avec la porcelaine,815441
joncs odorants,2,non,Sans lien avec la porcelaine,815441
joncs ou auf,2,non,Sans lien avec la porcelaine,815441
joncs pour cannes,1,non,Sans lien avec la porcelaine,815441
joncs pour cannes et bambou et rotin,19,non,Sans lien avec la porcelaine,815441
joncs pour cannes et bambou et ruban,8,non,Sans lien avec la porcelaine,815441
joncs pour chaises,4,non,Sans lien avec la porcelaine,815441
joncs pour couvrir,87,non,Sans lien avec la porcelaine,815441
joncs pour couvrir bottes,2,non,Sans lien avec la porcelaine,815441
joncs pour couvrir toits,85,non,Sans lien avec la porcelaine,815441
joncs pour faire ???,2,non,Sans lien avec la porcelaine,815441
joncs pour faire chaises,50,non,Sans lien avec la porcelaine,815441
joncs pour faire des vertugadins,3,non,Sans lien avec la porcelaine,815441
joncs pour faire les chaises des Indes,1,non,Sans lien avec la porcelaine,815441
joncs pour faire voile,1,non,Sans lien avec la porcelaine,815441
joncs pour joncher les volailles,1,non,Sans lien avec la porcelaine,815441
joncs pour joncher voiles,2,non,Sans lien avec la porcelaine,815441
joncs pour voile,25,non,,37165
joncs rotin,3,non,Sans lien avec la porcelaine,815441
joncs Sparte brut et autres communs,1,non,Sans lien avec la porcelaine,815441
joncs travaillés et paille travaillée,92,non,Sans lien avec la porcelaine,815441
joncs vernis,1,non,Sans lien avec la porcelaine,815441
jonquilles,1,non,,37165
jonquine,14,non,Sans lien avec la porcelaine,815441
Joséphine de laine et de soie,1,non,Sans lien avec la porcelaine,815441
jouets,6,non,Sans lien avec la porcelaine,815441
jouets d'enfance,1,non,Sans lien avec la porcelaine,815441
jouets d'enfant,12,non,Sans lien avec la porcelaine,815441
jougs de bœuf,5,non,Sans lien avec la porcelaine,815441
joujoux d'enfants,9,non,Sans lien avec la porcelaine,815441
juifs qui payent le droit corporel à la sortie,64,non,Sans lien avec la porcelaine,815441
jujubes,94,non,Sans lien avec la porcelaine,815441
julaux,1,non,Sans lien avec la porcelaine,815441
julienne,2,non,Sans lien avec la porcelaine,815441
juments,41,non,Sans lien avec la porcelaine,815441
juments de somme,3,non,Sans lien avec la porcelaine,815441
juments et poulains,8,non,Sans lien avec la porcelaine,815441
juments ou mulets,1,non,Sans lien avec la porcelaine,815441
jupes,7,non,Sans lien avec la porcelaine,815441
jupes de basin brodée en soie,1,non,Sans lien avec la porcelaine,815441
jupes de calmande,1,non,Sans lien avec la porcelaine,815441
jupes de cirsaca,1,non,,37165
jupes de coton,2,non,Sans lien avec la porcelaine,815441
jupes de laine et de soie,1,non,Sans lien avec la porcelaine,815441
jupes de molleton,2,non,Sans lien avec la porcelaine,815441
jupes de satin brodée,1,non,Sans lien avec la porcelaine,815441
jupes de toile peinte,5,non,Sans lien avec la porcelaine,815441
jupes et tabliers de toile peinte,1,non,,37165
jupes peintes,1,non,Sans lien avec la porcelaine,815441
jupes piquées,5,non,Sans lien avec la porcelaine,815441
jupons,24,non,Sans lien avec la porcelaine,815441
jupons brodés,2,non,Sans lien avec la porcelaine,815441
jupons de basin brodés,1,non,Sans lien avec la porcelaine,815441
jupons de Pékin brodé en soie or et argent,1,non,Sans lien avec la porcelaine,815441
jupons de satin,1,non,Sans lien avec la porcelaine,815441
jupons de taffetas,3,non,Sans lien avec la porcelaine,815441
jupons de toile,1,non,Sans lien avec la porcelaine,815441
jupons de toile peinte,2,non,Sans lien avec la porcelaine,815441
jupons peints,1,non,Sans lien avec la porcelaine,815441
jupons piqués,5,non,Sans lien avec la porcelaine,815441
jus,2,non,Sans lien avec la porcelaine,815441
jus d'orange,2,non,Sans lien avec la porcelaine,815441
jus de cerise,1,non,Sans lien avec la porcelaine,815441
jus de citrate calcaire,1,non,Sans lien avec la porcelaine,815441
jus de citron,403,non,Sans lien avec la porcelaine,815441
jus de citron et de limon,8,non,Sans lien avec la porcelaine,815441
jus de citron et de limonade,2,non,Sans lien avec la porcelaine,815441
jus de Florence,1,non,Sans lien avec la porcelaine,815441
jus de griotte,1,non,Sans lien avec la porcelaine,815441
jus de limon,35,non,Sans lien avec la porcelaine,815441
jus de réglisse,839,non,Sans lien avec la porcelaine,815441
jus et sirop de cerise et de grenade,7,non,Sans lien avec la porcelaine,815441
jus et sirop de cerise et de grenade avec nourritures,69,non,Sans lien avec la porcelaine,815441
kalmouk,10,non,Sans lien avec la porcelaine,815441
kalmouk de mauvaise qualité,1,non,,37165
kalmouk de Sedan 20 lignes,1,non,Sans lien avec la porcelaine,815441
kalmouk de Sedan 350 lignes,1,non,Sans lien avec la porcelaine,815441
kichorchais,8,non,Sans lien avec la porcelaine,815441
kicoutis,2,non,Sans lien avec la porcelaine,815441
killis,1,oui,Sans lien avec la porcelaine,815441
kirschwasser,6,non,Sans lien avec la porcelaine,815441
korola des Indes,2,non,Sans lien avec la porcelaine,815441
l? de fer,1,non,,37165
labdanum,3,non,Sans lien avec la porcelaine,815441
lac commun,57,non,Sans lien avec la porcelaine,815441
lacets,6,non,Sans lien avec la porcelaine,815441
lacets d'argent et de soie,1,non,,37165
lacets de fil,30,non,Sans lien avec la porcelaine,815441
lacets de filoselle,14,non,Sans lien avec la porcelaine,815441
lacets de filoselle et de soie,1,non,Sans lien avec la porcelaine,815441
lacets de fleuret,19,non,Sans lien avec la porcelaine,815441
lacets de laine,2,non,Sans lien avec la porcelaine,815441
lacets de peau,3,non,Sans lien avec la porcelaine,815441
lacets de soie,21,non,Sans lien avec la porcelaine,815441
lackière,1,non,Sans lien avec la porcelaine,815441
lacoris,1,non,Sans lien avec la porcelaine,815441
ladanum,1,non,Sans lien avec la porcelaine,815441
lagias,12,non,Sans lien avec la porcelaine,815441
laimes,1,non,Sans lien avec la porcelaine,815441
laimois,1,non,Sans lien avec la porcelaine,815441
lain,1,non,Sans lien avec la porcelaine,815441
lainage couvertures,53,oui,Sans lien avec la porcelaine,815441
laine,1099,non,Sans lien avec la porcelaine,815441
laine à broder,19,non,Sans lien avec la porcelaine,815441
laine à laver,1,non,Sans lien avec la porcelaine,815441
laine à lisières,2,non,Sans lien avec la porcelaine,815441
laine à matelas,3,non,Sans lien avec la porcelaine,815441
laine à tapis fine,1,non,,37165
laine à tapisserie,111,non,Sans lien avec la porcelaine,815441
laine à tricoter,1,non,Sans lien avec la porcelaine,815441
laine apprêtée pour perruques,10,non,Sans lien avec la porcelaine,815441
laine bâtarde,5,non,Sans lien avec la porcelaine,815441
laine blanche,4,non,Sans lien avec la porcelaine,815441
laine blanche et fine et filée et teinte,13,non,Sans lien avec la porcelaine,815441
laine blanche non filée,1,non,Sans lien avec la porcelaine,815441
laine bourre et déchets de laine,2,non,Sans lien avec la porcelaine,815441
laine brute,519,non,Sans lien avec la porcelaine,815441
laine brute fine,6,non,Sans lien avec la porcelaine,815441
laine brute surfine,5,non,Sans lien avec la porcelaine,815441
laine cardée,4,non,Sans lien avec la porcelaine,815441
laine chevron,8,non,Sans lien avec la porcelaine,815441
laine commune,127,non,Sans lien avec la porcelaine,815441
laine commune brute,6,non,Sans lien avec la porcelaine,815441
laine commune d'Espagne,2,non,Sans lien avec la porcelaine,815441
laine commune épurée,1,non,Sans lien avec la porcelaine,815441
laine commune et lavée et en suint,8,non,Sans lien avec la porcelaine,815441
laine commune lavée à chaud,4,non,Sans lien avec la porcelaine,815441
laine commune lavée à froid,6,non,Sans lien avec la porcelaine,815441
laine commune sans distinction,1,non,Sans lien avec la porcelaine,815441
laine crottelins,1,non,Sans lien avec la porcelaine,815441
laine crue,2,non,Sans lien avec la porcelaine,815441
laine d'agnelin,109,non,Sans lien avec la porcelaine,815441
laine d'agnelin en suint,2,non,Sans lien avec la porcelaine,815441
laine d'Allemagne,103,non,Sans lien avec la porcelaine,815441
laine d'alpaca,2,non,Sans lien avec la porcelaine,815441
laine d'Angleterre,2,non,Sans lien avec la porcelaine,815441
laine d'Ardenny,2,non,Sans lien avec la porcelaine,815441
laine d'Arles,1,non,Sans lien avec la porcelaine,815441
laine d'Arménie,1,non,Sans lien avec la porcelaine,815441
laine d'Autriche,32,non,Sans lien avec la porcelaine,815441
laine d'Écosse,2,non,Sans lien avec la porcelaine,815441
laine d'écrue,5,non,Sans lien avec la porcelaine,815441
laine d'Espagne,643,non,Sans lien avec la porcelaine,815441
laine d'Espagne fine,2,non,Sans lien avec la porcelaine,815441
laine d'Espagne fine par Rouen et Marseille,1,non,Sans lien avec la porcelaine,815441
laine d'Espagne grossière,1,non,Sans lien avec la porcelaine,815441
laine d'Espagne lavée,1,non,Sans lien avec la porcelaine,815441
laine d'Espagne non filée,2,non,Sans lien avec la porcelaine,815441
laine d'Estrémadure lavée,2,non,Sans lien avec la porcelaine,815441
laine d'Italie,15,non,Sans lien avec la porcelaine,815441
laine de ???,1,non,,37165
laine de Barbarie,11,non,Sans lien avec la porcelaine,815441
laine de Bayonne,1,non,,37165
laine de Bologne,3,non,Sans lien avec la porcelaine,815441
laine de Brême,2,non,Sans lien avec la porcelaine,815441
laine de Carmenie,40,non,Sans lien avec la porcelaine,815441
laine de chamois,1,non,Sans lien avec la porcelaine,815441
laine de chèvre,9,non,Sans lien avec la porcelaine,815441
laine de chevron,363,non,Sans lien avec la porcelaine,815441
laine de chevrons et poil de chameau,43,non,Sans lien avec la porcelaine,815441
laine de chevrons et poil de chameau et vigogne,24,non,Sans lien avec la porcelaine,815441
laine de chevrons et poil de lapin,5,non,Sans lien avec la porcelaine,815441
laine de chevrons non filée,1,non,Sans lien avec la porcelaine,815441
laine de Constantinople,2,non,Sans lien avec la porcelaine,815441
laine de farumie,2,non,Sans lien avec la porcelaine,815441
laine de fer,1,non,Sans lien avec la porcelaine,815441
laine de fil,1,non,Sans lien avec la porcelaine,815441
laine de France,1,non,Sans lien avec la porcelaine,815441
laine de Hollande,7,non,Sans lien avec la porcelaine,815441
laine de Moscou,1,non,Sans lien avec la porcelaine,815441
laine de pelade,1,non,Sans lien avec la porcelaine,815441
laine de Perse,10,non,Sans lien avec la porcelaine,815441
laine de Pologne,34,non,Sans lien avec la porcelaine,815441
laine de Pologne et autre laine étrangère,7,non,Sans lien avec la porcelaine,815441
laine de Poméranie,2,non,Sans lien avec la porcelaine,815441
laine de Prusse,2,non,Sans lien avec la porcelaine,815441
laine de Smyrne,1,non,Sans lien avec la porcelaine,815441
laine de Suède,1,non,Sans lien avec la porcelaine,815441
laine de surge,2,non,Sans lien avec la porcelaine,815441
laine de tan,1,non,Sans lien avec la porcelaine,815441
laine de tapisserie,,oui,Sans lien avec la porcelaine,815441
laine de vigogne,144,non,Sans lien avec la porcelaine,815441
laine demi fine,1,non,,37165
laine demi lavée,14,non,Sans lien avec la porcelaine,815441
laine du Béarn,19,non,Sans lien avec la porcelaine,815441
laine du Brabant,1,non,Sans lien avec la porcelaine,815441
laine du Danemark,11,non,Sans lien avec la porcelaine,815441
laine du Levant,20,non,Sans lien avec la porcelaine,815441
laine du Nord,22,non,Sans lien avec la porcelaine,815441
laine du pays,8,non,Sans lien avec la porcelaine,815441
laine du Portugal,42,non,Sans lien avec la porcelaine,815441
laine écrue,5,non,Sans lien avec la porcelaine,815441
laine écrue lavée,1,non,Sans lien avec la porcelaine,815441
