goods_simpl_classification,nbr_occurences_simpl,edentreaty_classification,obsolete,nbr_occurences_edentreaty
ains et lignes à pêcher,2,,non,483234
airain,6,,non,483234
airain non ouvré,4,,non,483234
ajustements,37,,non,483234
ajustements de femme,5,,non,483234
ajustements de soie,2,,non,483234
alambics,17,,non,483234
alambics d'étain,17,,non,483234
alambics de cuivre,2,,non,483234
alambics de terre,1,,non,483234
alana,2,,non,483234
alazar,2,,non,483234
albâtre,5,,non,483234
albâtre brut,3,,non,483234
albâtre et marbre brut et poli,21,,non,483234
albâtre moulé poli ou sculpté,6,,non,483234
alcalis autre que natron et soude,2,,non,483234
alcalis salin,1,,non,483234
alènes,5,,non,483234
alibanies,97,,non,483234
alizari,16,,non,483234
alizari et garance,165,,non,483234
alizari sèche,7,,non,483234
alkermés,1,,non,483234
alkermès en grains,23,,non,483234
allaya,84,,non,483234
alleaux,1,,non,483234
allemande de poil,10,,non,483234
allumettes,54,,non,483234
allumettes à vin,29,,non,483234
allumettes de coton,1,,non,483234
allumettes de mêche soufrée,1,,non,483234
allumettes droguées,3,,non,483234
allumettes épicée,2,,non,483234
allumettes opérées et soufrées,1,,non,483234
allumettes soufrées,12,,non,483234
almagro ou crayon rouge,1,,non,483234
almanachs,1,,non,483234
almanachs brochés,2,,non,483234
almanachs en blancs,1,,non,483234
almanachs enjolivés,1,,non,483234
almanachs reliés,1,,non,483234
aloès,229,,non,483234
aloès cabalin,6,,non,483234
aloès commun,1,,non,483234
aloès et opium,2,,non,483234
aloès hépatique,1,,non,483234
aloès moyen,2,,non,483234
aloiset,1,,non,483234
alose,2,,non,483234
alose fumée,1,,non,483234
alose salée,5,,non,483234
aloues,1,,non,483234
alouettes,4,,non,483234
alpargate,37,,non,483234
alphabets,1,,non,483234
alpiste,20,,non,483234
alpiste et millet,9,,non,483234
alquifoux,479,,non,483234
alquifoux en galène,2,,non,483234
alquifoux et mine de plomb,36,,non,483234
alquifoux mine de plomb ou graphite,23,,non,483234
alquifoux ou mine de plomb,1,,non,483234
alquifoux sable plombifère,1,,non,483234
alquitra,3,,non,483234
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,,non,483234
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitares haut-bois serinettes serpent tambours trompettes et violons basses,0,,oui,483234
alto basses contrebasses guitare lyres violes violons,2,,non,483234
alto basses contrebasses guitares lyres violes violons,0,,oui,483234
alto bassons guitare violons,3,,non,483234
alto bassons guitares violons,0,,oui,483234
aluchiabanis,3,,non,483234
alun,1872,,non,483234
alun à cordonnier,1,,non,483234
alun autre que brûlé ou calciné,2,,non,483234
alun bon,2,,non,483234
alun brûlé,1,,non,483234
alun commun,1,,non,483234
alun de glace,1,,non,483234
alun de roche,5,,non,483234
alun de Rome,3,,non,483234
alun de Rome fin rosé,1,,non,483234
alun de Rouen,2,,non,483234
alun de Surde,2,,non,483234
alun du Levant,1,,non,483234
alun en dracy,1,,non,483234
alun en rame,1,,non,483234
alun gâté,1,,non,483234
alun ordinaire,1,,non,483234
alvés,2,,non,483234
amadou,225,,non,483234
amadou et agaric amadouvier,7,,non,483234
amandes,1207,,non,483234
amandes à la praline,4,,non,483234
amandes amères,1,,non,483234
amandes arachis noisettes noix noyaux,2,,non,483234
amandes cassée,6,,non,483234
amandes cassées,384,,non,483234
amandes cassées ou en coque,3,,non,483234
amandes courtes,1,,non,483234
amandes douces,4,,non,483234
amandes en coque,300,,non,483234
amandes et figue et raisin,24,,non,483234
amandes et pelures et prunes et raisin,1,,non,483234
amandes et pruneaux,2,,non,483234
amandes et raisin sec,2,,non,483234
amandes et raisin sec et savon,1,,non,483234
amandes et savon,2,,non,483234
amandes et sucre,1,,non,483234
amandes et verdet,1,,non,483234
amandes et vert-de-gris,0,,oui,483234
amandes fraîches,1,,non,483234
amandes longues,1,,non,483234
amandes mondées,2,,non,483234
amandes sèches,64,,non,483234
amandes sèches et figue sèche et ???,9,,non,483234
amandes sèches et figue sèche et raisin sec,135,,non,483234
amaril,1,,oui,483234
amarine,1,,non,483234
ambrain à grande barrique,1,,non,483234
ambre,42,,non,483234
ambre blanc,1,,non,483234
ambre brut,1,,non,483234
ambre carabé,21,,non,483234
ambre carabé jaune,2,,non,483234
ambre en grains,1,,non,483234
ambre et corail,1,,non,483234
ambre gris,36,,non,483234
ambre gris castoréum civette musc,0,,oui,483234
ambre jaune,72,,non,483234
ambre moulu,2,,non,483234
ameny,1,,non,483234
amer,3,,non,483234
amer de laine,1,Lainage,non,9492
amertis,4,,non,483234
ameublement,2,,non,483234
ameublement de chitte,1,,non,483234
ami de toilé,1,,non,483234
amidon,1166,,non,483234
amidon alun,1,,non,483234
amidon en grains,1,,non,483234
amidon en poudre,1,,non,483234
amidon et poudre à poudrer,1,,non,483234
ammoniac,7,,non,483234
ammoniac et sel,21,,non,483234
ammonium,5,,non,483234
amomum,11,,non,483234
amomum et fèves de tonka et noix de ravensara,2,,non,483234
amomum verum,2,,non,483234
amurca,4,,non,483234
anabasse,121,,non,483234
anabasse ; bajutapau,3,,non,483234
anabasse ; corat ; nicaneas ; platille,2,,non,483234
anacardes,2,,non,483234
anacoste,3,,non,483234
ananas,1,,non,483234
ananas confit,2,,non,483234
ananas et pommes de grenade,1,,non,483234
ananas planté,1,,non,483234
anatomie,1,,non,483234
anatose,3,,non,483234
anches de tonneaux,2,,non,483234
anchois,851,,non,483234
anchois câpres et olives,10,,non,483234
anchois câpres etc.,1,,non,483234
anchois câpres olives,1,,non,483234
anchois et boutargue,13,,non,483234
anchois et câpres,5,,non,483234
anchois et sardes,1,,non,483234
anchois et sardines,5,,non,483234
anchois mariné,6,,non,483234
anchois mariné et salé,39,,non,483234
anchois salé et mariné,2,,non,483234
anchois salés,5,,non,483234
anchois salés et marinés,9,,non,483234
ancres,5,,non,483234
ancres de chaudon,1,,non,483234
ancres de fer,553,,non,483234
ancres de fer à chaudrons,1,,non,483234
ancres de fer au-dessus de 250 kilogrammes,1,,non,483234
ancres de fer de 250 kilogrammes et au-dessous,1,,non,483234
ancres de fer et embarcations,2,,non,483234
ancres et embarcations,5,,non,483234
ancres et grappins de fer,1,,non,483234
ancres gravelées,1,,non,483234
ancres neuves,3,,non,483234
ancres vides,4,,non,483234
ancres vieilles,1,,non,483234
ancres vieilles vides,1,,non,483234
andolium,2,,non,483234
andouilles,43,,non,483234
andouillette,1,,non,483234
ânes,174,,non,483234
ânes et ânesses,9,,non,483234
ânes et mulets,11,,non,483234
ânesses,1,,non,483234
angélique,28,,non,483234
angélique du Rozème,1,,non,483234
anguilles,23,,non,483234
anguilles et truites,1,,non,483234
anguilles fraîches,1,,non,483234
anguilles marinées,1,,non,483234
anguilles salées,22,,non,483234
anille,1,,non,483234
animaux,5,,non,483234
anis,520,,non,483234
anis et rac et rhum etc.,2,,non,483234
anis et sucre,1,,non,483234
anis étoilé,0,,oui,483234
anis vert,94,,non,483234
anis vert à distiller,2,,non,483234
anisette,113,,non,483234
anisette au fiasque,6,,non,483234
anisette de Bordeaux,2,,non,483234
anneau de cuivre,1,,non,483234
anneau de fer,2,,non,483234
anneaux de cuivre,1,,non,483234
anneaux de fer,1,,non,483234
ânon,2,,non,483234
anspects,124,,non,483234
anspects de 3 à 4 pieds,1,,non,483234
anspects de bois,27,,non,483234
anspects de sapin,1,,non,483234
antale,3,,non,483234
antale et cauris,1,,non,483234
antchibanis,9,,non,483234
antenelle,1,,non,483234
antennes,2,,non,483234
antennes et mâts de bateaux,1,,non,483234
antimoine,221,,non,483234
antimoine cru,27,,non,483234
antimoine métallique et sulfuré,2,,non,483234
antimoine préparé,2,,non,483234
antimoine vert,1,,non,483234
antofle,1,,non,483234
antofle de girofle,11,,non,483234
apasier,1,,non,483234
apier,3,,non,483234
apios,7,,non,483234
apparaux et bâtiments de mer,38,,non,483234
apprêtée à toiler les livres,1,,non,483234
apprêtée pour parchemins,1,,non,483234
arachis olives fraîches,1,,non,483234
arains,6,,non,483234
arak,17,,non,483234
arbalètes,1,,non,483234
arbalètrrie et cartes marines,1,,non,483234
arbres,7,,non,483234
arbres à fruits,2,,non,483234
arbres à planter,142,,non,483234
arbres châtaignier,4,,non,483234
arbres d' ???,1,,non,483234
arbres d'auban,1,,non,483234
arbres de sapin,1,,non,483234
arbres et arbrisseaux,25,,non,483234
arbres et arbrisseaux à fruits,1,,non,483234
arbres et arbrisseaux sauvages,1,,non,483234
arbres et arbustes,6,,non,483234
arbres et plants,1,,non,483234
arbres fruitiers,87,,non,483234
arbres marronniers à planter,1,,non,483234
arbres nains,1,,non,483234
arbres tilleul,3,,non,483234
arbrisseaux,9,,non,483234
arbustes,3,,non,483234
arcanette,1,,non,483234
arcanie,1,,non,483234
arcanson,4,,non,483234
arcanum duplicatum,2,,non,483234
archets de violons,1,,non,483234
archets et violon,1,,non,483234
archiabanis,2,,non,483234
arçons de bas de bois,1,,non,483234
arçons de bois,1,,non,483234
arçons de selles,14,,non,483234
arçons démontés,1,,non,483234
ardoise,365,,non,483234
ardoise à piler,1,,non,483234
ardoise commune,2,,non,483234
ardoise dite chérubin et à mortier,1,,non,483234
ardoise dite grande voisine,1,,non,483234
ardoise dite moyenne voisine,1,,non,483234
ardoise dite petite voisine,1,,non,483234
ardoise dite voisine grande moyenne et petite,2,,non,483234
ardoise en carreaux,1,,non,483234
ardoise en carreaux et d'1 pied carré,1,,non,483234
ardoise en carreaux ou en table,7,,non,483234
ardoise en livret,1,,non,483234
ardoise encadrée,1,,non,483234
ardoise encadrée et en livret,1,,non,483234
ardoise non travaillée,1,,non,483234
ardoise pour fenêtre,6,,non,483234
ardoise pour toiture,8,,non,483234
ardoise pour toiture au kilogramme,1,,non,483234
ardoise pour toiture au nombre,2,,non,483234
ardoise verte,1,,non,483234
ardoises,0,,oui,483234
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,,non,483234
arelles de baleine,1,,non,483234
argent,11,,non,483234
argent battu,1,,non,483234
argent battu et en feuille,2,,non,483234
argent battu filé laminé et tiré,3,,non,483234
argent brisé et en lingots et en masses,1,,non,483234
argent brûlé,2,,non,483234
argent brut,1,,non,483234
argent brut en lingot et en masse ouvrages détruits,2,,non,483234
argent carragoux,2,,non,483234
argent en barils,1,,non,483234
argent en barres,3,,non,483234
argent en lingots,18,,non,483234
argent en lingots par Calais,1,,non,483234
argent et or,238,,non,483234
argent et or billon,1,,non,483234
argent faux,9,,non,483234
argent faux en fil cantilles etc.,2,,non,483234
argent faux et or faux,53,,non,483234
argent faux et or faux traits,1,,non,483234
argent fin,1,,non,483234
argent monnayé et nogat d'or,4,,non,483234
argent talari,0,,oui,483234
argent vif,3,,non,483234
argenterie,732,,non,483234
argenterie épée,7,,non,483234
argenterie et bijouterie,14,,non,483234
argenterie et bijouterie et orfèvrerie,1,,non,483234
argenterie et orfévrerie,0,,oui,483234
argenterie et orfèvrerie,122,,non,483234
argenterie et orfèvrerie vermeil,37,,non,483234
argenterie neuve,4,,non,483234
argenterie vieille,12,,non,483234
argile et terre pour engrais,15,,non,483234
arins,1,,non,483234
aristoloche,68,,non,483234
armement de tables,3,,non,483234
armes,251,,non,483234
armes à feu,367,,non,483234
armes à feu de guerre,2,,non,483234
armes à feu de guerre et de traite,1,,non,483234
armes à feu de guerre portatives,2,,non,483234
armes à feu de luxe,4,,non,483234
armes à feu de luxe ou de traite,3,,non,483234
armes à feu de munitions,2,,non,483234
armes à feu de munitions fines,4,,non,483234
armes à feu de traite,1,,non,483234
armes à feu et artillerie,1,,non,483234
armes à feu et de traite,1,,non,483234
armes à feu et fusils,1,,non,483234
armes armureries,1,,non,483234
armes autres que de guerre à feu,1,,non,483234
armes autres que de guerre blanches,1,,non,483234
armes blanches,201,,non,483234
armes blanches de guerre,1,,non,483234
armes blanches de guerre et de traite,1,,non,483234
armes blanches de luxe,2,,non,483234
armes blanches de luxe ou de traite,3,,non,483234
armes blanches de traite,1,,non,483234
armes de chasse ou de luxe à feu,2,,non,483234
armes de chasse ou de luxe blanches,2,,non,483234
armes de guerre,2,,non,483234
armes différentes,1,,non,483234
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,,non,483234
armes et munitions,9,,non,483234
armes lames,1,,non,483234
armes remontrances,1,,non,483234
armoires,57,,non,483234
armoires ayant servi,1,,non,483234
armoires d'acajou,12,,non,483234
armoires de bois,1,,non,483234
armoires de bois de noyer,1,,non,483234
armoires de bois de sapin peintes,1,,non,483234
armoires de bois des Indes,1,,non,483234
armoires de chêne,9,,non,483234
armoires de chêne ornée,1,,non,483234
armoires de noyer,9,,non,483234
armoires de sapin,3,,non,483234
armoires et commodes,1,,non,483234
armoires vieilles,2,,non,483234
armoisin,46,,non,483234
armure de fer,1,,non,483234
armure vieille,1,,non,483234
arnas,1,,non,483234
arpois,1,,non,483234
arquebuse,1,,non,483234
arrangas,1,,non,483234
arrosoirs,6,,non,483234
arrosoirs de bois,2,,non,483234
arrosoirs de cuivre,1,,non,483234
arrosoirs de fer,1,,non,483234
arrosoirs de fer-blanc,6,,non,483234
arrosoirs de sapin,1,,non,483234
arrosoirs de terre,1,,non,483234
arrowroot,1,,non,483234
arséniate de potasse,2,,non,483234
arsenic,411,,non,483234
arsenic métallique,6,,non,483234
artichauts,79,,non,483234
artichauts champignons et truffes,2,,non,483234
artichauts confits,68,,non,483234
artichauts frais,17,,non,483234
artichauts marinés,2,,non,483234
artichauts secs,6,,non,483234
artifice,5,,non,483234
artifice fusées etc.,1,,non,483234
artillerie,6,,non,483234
asa fœtida,123,,non,483234
asperges,9,,non,483234
asperges confites,1,,non,483234
asperges et scorsonères,1,,non,483234
asphaltum,19,,non,483234
assiette,1,,non,483234
assiette de Biarritz,1,,non,483234
assiette de bois,1,,non,483234
assiette de faïence,8,,non,483234
assiette de porcelaine,3,,non,483234
assiette de porcelaine des Indes,1,,non,483234
assiette de terre,6,,non,483234
assiette et plats de terre,1,,non,483234
asustum,1,,non,483234
atastes,1,,non,483234
atlas,2,,non,483234
atlas à la feuille d'or,1,,non,483234
atlas et instruments de marine,1,,non,483234
atlas jaspé,1,,non,483234
attaches de cuivre,1,,non,483234
attelles de colliers,14,,non,483234
aube,1,,non,483234
auchinoise,2,,non,483234
auclimes,2,,non,483234
auf,117,,non,483234
auf ouvré,0,,oui,483234
auf travaillé,0,,oui,483234
auf travaillé en cordes,0,,oui,483234
augemy,2,,non,483234
auges,3,,non,483234
auges de carreaux,2,,non,483234
augustins,2,,non,483234
aurcsats,1,,non,483234
aurcsats étoile,1,,non,483234
aussière,4,,non,483234
autel de marbre,2,,non,483234
avelanèdes,58,,non,483234
avelines,8,,non,483234
avelines et noisettes sèches,22,,non,483234
avelines faînes noisettes noix,1,,non,483234
avelines noisettes noix,5,,non,483234
avirons,639,,non,483234
avirons bruts,17,,non,483234
avirons de 12 pieds,1,,non,483234
avirons de 18 pieds,1,,non,483234
avirons de 30 pieds,1,,non,483234
avirons de 5 pieds,1,,non,483234
avirons de 8 à 12 pieds,1,,non,483234
avirons de bois,51,,non,483234
avirons de bois façonné,1,,non,483234
avirons de chêne,1,,non,483234
avirons de sapin,1,,non,483234
avirons et perches de bois,3,,non,483234
avirons et rames bruts,2,,non,483234
avirons et rames de bois,1,,non,483234
avirons et rames de bois façonné,2,,non,483234
avirons et rames façonnés,5,,non,483234
avirons polis,1,,non,483234
avoine,496,,non,483234
avoine en gerbes,1,,non,483234
avoine et haricots,1,,non,483234
avoine et orge etc.,1,,non,483234
avoine mondée,1,,non,483234
avoine moulée,1,,non,483234
azur,729,,non,483234
azur commun,197,,non,483234
azur et bleu de Prusse,9,,non,483234
azur et cobalt,20,,non,483234
azur fin,13,,non,483234
azur gros,22,,non,483234
babassis,1,,non,483234
babouches,90,,non,483234
babouches de maroquin,2,,non,483234
bacs d'1 aime,1,,non,483234
bacs de pierre,1,,non,483234
bacs de pierre bleue,1,,non,483234
bacs de pierre d'1 aime,1,,non,483234
bacs de pierre de 4 aimes,1,,non,483234
bacs de pierre de demi d'aime,1,,non,483234
bacs de pierre de moindre classe,1,,non,483234
bacs de pierre de trois-quart d'aime,1,,non,483234
bacs de pierre en dessous d'1 aime,1,,non,483234
bacs de pierre en dessus d'1 aime,1,,non,483234
badiane,60,,non,483234
badiane ou anis étoilé de la Chine,0,,oui,483234
baffetas,10,,non,483234
baffetas blanc,19,,non,483234
baffetas bleu,26,,non,483234
baffetas des Indes,2,,non,483234
bagarot,1,,non,483234
bagues,5,,non,483234
bagues à pierres fausses,1,,non,483234
bagues d'argent,2,,non,483234
bagues d'or,1,,non,483234
bagues de cuivre,2,,non,483234
bagues de laiton,1,,non,483234
bagues de verre,3,,non,483234
baguettes,6,,non,483234
baguettes à chandelle,1,,non,483234
baguettes à étoffe,2,,non,483234
baguettes d'étain,2,,non,483234
baguettes de bois,1,,non,483234
baguettes de bois doré,1,,non,483234
baguettes de cuivre,3,,non,483234
baguettes de fer à fusil,1,,non,483234
baguettes de fusil,47,,non,483234
bahuts,24,,non,483234
baie de laurier,28,,non,483234
baies de buis,1,,non,483234
baies de genévrier à distiller,2,,non,483234
baies de genièvre,6,,non,483234
baignes,3,,non,483234
baignoires,2,,non,483234
baignoires d'acajou,1,,non,483234
baignoires de cuivre,4,,non,483234
baignoires de sapin,1,,non,483234
baignoires de tôle,2,,non,483234
baigots,1,,non,483234
baillarge,5,,non,483234
bailles,1,,non,483234
baïonnettes,14,,non,483234
bais de bois de chêne,1,,non,483234
bajutapau,231,,non,483234
bajutapau commun,1,,non,483234
bajutapau des Indes,1,,non,483234
"bajutapau, canelis, etc.",3,,non,483234
bakeliau et stockfis,0,,oui,483234
balais,123,,non,483234
balais communs,5,,non,483234
balais coupés,3,,non,483234
balais de bois,39,,non,483234
balais de brandes,1,,non,483234
balais de bruyère,13,,non,483234
balais de chanvre,1,,non,483234
balais de crin,12,,non,483234
balais de foyer,1,,non,483234
balais de jonc,50,,non,483234
balais de jonc petits,1,,non,483234
balais de laine à laver les planchers,1,,non,483234
balais de millet,2,,non,483234
balais de paille,2,,non,483234
balais de paille de riz,6,,non,483234
balais de palme,295,,non,483234
balais de palme petits,1,,non,483234
balais de plumes,3,,non,483234
balais de poil,2,,non,483234
balais de riz,5,,non,483234
balais de soie,7,,non,483234
balais de soie de porcs,18,,non,483234
balais de toile,1,,non,483234
balais du roi,1,,non,483234
balais fins,1,,non,483234
balais grands de palme,2,,non,483234
balais ou ramons,1,,non,483234
balais petits,1,,non,483234
balance,8,,non,483234
balance à la romaine,1,,non,483234
balance complète,1,,non,483234
balance de bois,1,,non,483234
balance de cuivre,8,,non,483234
balance de cuivre jaune,1,,non,483234
balance de fer,4,,non,483234
balance et poids de cuivre,1,,non,483234
balance et romaine,2,,non,483234
balance et ses poids,1,,non,483234
balance ou fléaux en fer,1,,non,483234
balance petite,1,,non,483234
balance romaine,3,,non,483234
balauste,0,,oui,483234
balcon de fer,1,,non,483234
baleine,125,,non,483234
baleine apprêtée,1,,non,483234
baleine coupée,641,,non,483234
baleine coupée en fanon,11,,non,483234
baleine coupée et en fanon,12,,non,483234
baleine de sarde,18,,non,483234
baleine en fanon,278,,non,483234
baleine en fanon et de sarde,1,,non,483234
baleine non sciée,1,,non,483234
baleine taillée,1,,non,483234
balles,1,,non,483234
balles à jouer,3,,non,483234
balles d'osier,3,,non,483234
balles de fer et canons de fer,2,,non,483234
balles de fer uni,1,,non,483234
balles de jonc,1,,non,483234
balles de palme,1,,non,483234
balles de plomb,8,,non,483234
balles et dragées de plomb,1,,non,483234
balles vides,1,,non,483234
balustres,12,,non,483234
bamboches,1,,non,483234
bambous,8,,non,483234
banastron,1,,non,483234
banc à couper la paille,1,,non,483234
banc de sapin,1,,non,483234
bandages,4,,non,483234
bandages de peaux,5,,non,483234
bandages pour soldats,1,,non,483234
bandanas des Indes,1,,non,483234
bandanas et mousseline et Nankin de soieries des Indes,0,,oui,483234
bandeaux,4,,non,483234
banderoles,1,,non,483234
banderoles de cuir,2,,non,483234
bandes de cabrouets de fer,3,,non,483234
bandes de charrettes,1,,non,483234
bandes de fer,4,,non,483234
bandes de fer à tombereaux,1,,non,483234
bandes de roues de fer,1,,non,483234
bandes de tulles brodées,1,,non,483234
bandes et barres de fer,4,,non,483234
bandoulières garnies d'argent,1,,non,483234
banjoin,0,,oui,483234
bannes et bannettes d'osier,1,,non,483234
bannettes d'osier,1,,non,483234
bannettes de cuir,1,,non,483234
bannière de Damas,1,,non,483234
banquette,4,,non,483234
baquelets,1,,non,483234
baquets,2,,non,483234
baquets à jeter l'eau,1,,non,483234
baquets de cuivre,5,,non,483234
baquets de fer,1,,non,483234
baquets de rechange,1,,non,483234
baquets de sapin,2,,non,483234
baracan,173,,non,483234
baracan aune,1,,non,483234
baracan d'Abbeville,1,,non,483234
baracan de laine,14,,non,483234
baracan de laine et de poil,2,,non,483234
baracan de Lille,1,,non,483234
baracan de poil,64,,non,483234
barail,0,,oui,483234
baras,1,,non,483234
barat de laine,1,,non,483234
