orthographic,nbr_occurences_ortho,simplification,nbr_occurences_simpl
affûts de fûts à canons,1,affûts de fûts à canons,1
agaric,91,agaric,93
agaric amadouvier,2,agaric amadouvier,2
agaric amadouvier brut,2,agaric amadouvier brut,2
agaric amadouvier brut et préparé,2,agaric amadouvier brut et préparé,2
agaric amadouvier préparé,1,agaric amadouvier préparé,3
agaric amadouvier préparé (amadou),2,agaric amadouvier préparé,3
agaric brut et préparé,1,agaric brut et préparé,1
agaric de mélèze,3,agaric de mélèze,3
agaric fin,1,agaric fin,1
agaric gros,1,agaric gros,2
agate,5,agate,5
agate brute,1,agate brute,1
agate fine,1,agate fine,1
agate montée,1,agate montée,1
agate ouvrée,1,ouvrages d'agate,1
agate ouvrée et autre que chique,1,agate autre que chique et ouvrages,1
agate ouvrée et chique,1,ouvrages d'agate et agate chique,1
agate pierre,1,agate en pierres,1
agneaux,37,agneaux,53
agneaux en vie,5,agneaux en vie,5
agneaux et cabris,1,agneaux et cabris,1
agnelines et crottelins,1,agnelines et crottelins,1
agobille,2,agobille,2
agoutals,4,agoutals,4
agoutals de bois,5,agoutals de bois,5
agrément,4,agrément,4
agrément au quart,3,agrément au quart,3
agrément d'argent,2,agrément d'argent,2
agrément d'or,1,agrément d'or,1
agrément de fil,5,agrément de fil,5
agrément de fleur,1,agrément de fleur,1
agrément de soie,22,agrément de soie,23
agrément de soie et d'argent,1,agrément de soie et d'argent,1
agrément de soie et fil,1,agrément de fil et de soie,3
agrément de soie or et argent faux,1,agrément de soie or et argent faux,1
agrément or et argent,5,agrément d'or et d'argent,5
agrément soie et fil,2,agrément de fil et de soie,3
agrès,4,agrès,14
agrès de navire,9,agrès,14
agrès de navire en voile,1,voile de navire,3
agrès de navire et jeux de voile,5,agrès de navire et jeux de voile,10
agrès de navire jeux de voile,5,agrès de navire et jeux de voile,10
agrès de vaisseaux,1,agrès,14
agrès et apparaux,2,agrès et apparaux,2
agrès et apparaux d'or navire,1,agrès et apparaux d'or navire,1
agrès et voiles de navire,1,agrès et voile de navire,1
aigles,1,aigles,1
aigre de cèdre,9,aigre de cèdre,9
aigre de cidre,5,aigre de cidre,5
aigre de vitriol,8,aigre de vitriol,8
aigrettes,3,aigrettes,3
aigrettes de fil or et argent,1,aigrettes de fil d'or et d'argent,1
aigrettes de soie,1,aigrettes de soie,1
aigrettes de soie et argent,1,aigrettes de soie et argent,1
aiguières d'étain,1,aiguières d'étain,1
aiguilles,72,aiguilles,84
aiguilles à boîtes,1,aiguilles à boîtes,1
aiguilles à coudre,45,aiguilles à coudre,51
aiguilles à coudre voiles,1,aiguilles à coudre voiles,1
aiguilles à ralingue,1,aiguilles à ralingue,1
aiguilles à tabac,1,aiguilles à tabac,1
aiguilles à toile,1,aiguilles à toile,1
aiguilles à voile,37,aiguilles pour voile,37
aiguilles d'emballage,1,aiguilles d'emballage,2
aiguilles d'emballeur,1,aiguilles d'emballage,2
aiguilles espars de sapin,1,aiguilles epars de sapin,1
aiguilles grosses,1,aiguilles grosses,1
aiguillettes,1,aiguillettes,1
ailes,3,ailes,3
ailes de fléaux,1,ailes de fléaux,1
ailes de moulins,1,ailes de moulins,1
ailor,1,ailor,1
ails,120,ails,133
ails à fauches,1,ails à fauches,1
ails blancs à casser,1,ails blancs à casser,1
aimant,1,aimant,1
ains,2,ains à pêcher,38
ains à pêcher,36,ains à pêcher,38
ains et lignes à pêcher,2,ains et lignes à pêcher,2
airain,3,airain,3
airain en batterie,4,batterie d'airain,5
airain non ouvré,1,airain non ouvré,1
airain ouvré,3,ouvrages d'airain,4
ajustements,6,ajustements,6
ajustements de femme,4,ajustements de femme,5
ajustements de soie,2,ajustements de soie,2
ajustements pour femme,1,ajustements de femme,5
alambics,8,alambics,8
alambics d'étain,17,alambics d'étain,17
alambics de cuivre,1,alambics de cuivre,2
alambics de terre,1,alambics de terre,1
alambics en cuivre,1,alambics de cuivre,2
alana (tripoli),1,alana,1
alazar,2,alazar,2
albâtre,3,albâtre,3
albâtre brut,1,albâtre brut,1
albâtre et marbre ouvrés,2,ouvrages de marbre et ouvrages d'albâtre,2
"albâtre sculpté, moulé ou poli",1,albâtre moulé poli ou sculpté,1
alcalis cendre de bois vive,2,cendre de bois vive,2
alcalis natron,1,natron,5
alcalis perlasse et cendre gravelées,1,perlasse et gravelées,1
alcalis potasse,1,potasse,177
alcalis salin,1,alcalis salin,1
alcalis soudes autre que natron,1,alcalis autre que natron et soudes,1
alcalis soudes de toute sorte,3,soudes de toute sorte,3
alcalis soudes et natron,1,natron et soudes,1
alènes,2,alènes,3
alènes de cordonnier,1,alènes,3
alibanies,90,alibanies,91
alibanies étoffe,1,alibanies,91
alicot,1,alicot,1
alizary,2,alizari,13
alkermés,1,alkermés,1
allaya,68,allaya,68
alleaux,1,alleaux,1
allumettes,31,allumettes,32
allumettes à vin,29,allumettes à vin,29
allumettes de coton,1,allumettes de coton,1
allumettes de mêche soufrée,1,allumettes de mêche soufrée,1
allumettes droguées,3,allumettes droguées,3
allumettes épicées,2,allumettes épicée,2
allumettes opérées et soufrées,1,allumettes opérées et soufrées,1
allumettes soufrées,12,allumettes soufrées,12
almagro ou crayon rouge,1,almagro ou crayon rouge,1
almanachs,1,almanachs,1
almanachs enjolivés,1,almanachs enjolivés,1
aloès,118,aloès,123
aloès cabalin,4,aloès cabalin,6
aloès commun,1,aloès commun,1
aloès hépatique,1,aloès hépatique,1
aloès moyen,2,aloès moyen,2
aloiset,1,aloiset,1
alose,1,alose,2
alose dite elft,1,alose,2
alose fumée,1,alose fumée,1
alose salée,5,alose salée,5
aloues,1,aloues,1
alouettes,2,alouettes,4
alpargate,31,alpargate,31
alphabets,1,alphabets,1
alpiste,19,alpiste,19
alpiste et millet,1,alpiste et millet,1
alquifoux,276,alquifoux,293
alquifoux et mine de plomb,1,alquifoux et mine de plomb,1
alquifoux mine de plomb ou graphite,1,alquifoux mine de plomb ou graphite,1
alquifoux ou mine de plomb,1,alquifoux ou mine de plomb,1
alquitra,1,alquitra,1
alun,885,alun,934
alun à cordonnier,1,alun à cordonnier,1
alun bon,2,alun bon,2
alun de glace,1,alun de glace,1
alun de Rome,3,alun de Rome,3
alun en rame,1,alun en rame,1
alun gâté,1,alun gâté,1
alvés,2,alvés,2
amadou,137,amadou,137
amadou et agaric amadouvier,1,amadou et agaric amadouvier,1
amandes,644,amandes,651
amandes à la praline,4,amandes à la praline,4
amandes amères,1,amandes amères,1
amandes cassées,339,amandes cassées,339
amandes coque,1,amandes en coque,251
amandes courtes,1,amandes courtes,1
amandes diverses,2,amandes,651
amandes douces,4,amandes douces,4
amandes en coque,245,amandes en coque,251
amandes en coque ou cassées,1,amandes cassées ou en coque,1
amandes et pruneaux,2,amandes et pruneaux,2
amandes et raisin sec,1,amandes et raisin sec,2
amandes et savon,2,amandes et savon,2
amandes et vert-de-gris,1,amandes et verdet,1
amandes longues,1,amandes longues,1
amandes mondées,2,amandes mondées,2
amandes raisin sec et savon,1,amandes et raisin sec et savon,1
amarinage,1,amarinage,1
amarine,1,amarine,1
ambrain à grande barrique,1,ambrain à grande barrique,1
ambre,14,ambre,15
ambre blanc,1,ambre blanc,1
ambre brut,1,ambre brut,1
ambre carabé,15,ambre carabé,15
ambre et corail,1,ambre et corail,1
ambre gris,20,ambre gris,21
ambre jaune,58,ambre jaune,60
ambre jaune carabé,2,ambre carabé jaune,2
ambre jaune travaillé,1,ouvrages d'ambre jaune,1
ambre moulu,1,ambre moulu,1
ambre ouvré,1,ouvrages d'ambre,1
amer,1,amer,1
amertis,3,amertis,3
ameublement,2,ameublement,2
ameublement de chitte,1,ameublement de chitte,1
ami de toilé,1,ami de toilé,1
amidon,789,amidon,789
amidon alun,1,amidon alun,1
amidon en grains,1,amidon en grains,1
amidon et poudre à poudrer,1,amidon et poudre à poudrer,1
ammoniac,1,ammoniac,7
ammonium,1,ammonium,1
amomum,10,amomum,10
amomum et fèves de tonka et noix de ravensara,1,amomum et fèves de tonka et noix de ravensara,1
amomum verum,2,amomum verum,2
amurca,1,amurca,2
amurca ou marc d'olive,1,amurca,2
anabasse,109,anabasse,109
anabasse bajutapau,3,anabasse bajutapau,3
anabasse corat nicaneas platille,2,anabasse corat nicaneas platille,2
anacardes,1,anacardes,1
anacoste,3,anacoste,3
ananas,1,ananas,1
ananas confit,2,ananas confit,2
ananas planté,1,ananas planté,1
anatomie,1,anatomie,1
anatose,3,anatose,3
anches de tonneaux,1,anches de tonneaux,1
anchois,589,anchois,597
anchois câpres etc.,1,anchois câpres etc.,1
anchois salés,1,anchois salés,5
ancres,4,ancres,4
ancres de chaudon,1,ancres de chaudon,1
ancres de fer,200,ancres de fer,402
ancres de fer à chaudons,1,ancres de fer à chaudrons,1
ancres et grappins de fer,1,ancres et grappins de fer,1
ancres gravelées,1,ancres gravelées,1
ancres neuves,3,ancres neuves,3
ancres vides,4,ancres vides,4
ancres vieilles vides,1,ancres vieilles vides,1
ancres vielles,1,ancres vieilles,1
andolium,1,andolium,2
andolium ou crockfish,1,andolium,2
andouilles,37,andouilles,37
andouillette,1,andouillette,1
ânes,60,ânes,71
ânes et ânesses,2,ânes et ânesses,3
ânesses,1,ânesses,1
angélique,19,angélique,19
angélique du Rozème,1,angélique du Rozème,1
anguilles,5,anguilles,5
anguilles marinées,1,anguilles marinées,1
anguilles salées,22,anguilles salées,22
aniec,1,anis,319
anille,1,anille,1
anis,318,anis,319
anis et sucre,1,anis et sucre,1
anis étoilé,11,badiane,16
anis vert,89,anis vert,89
anisette,87,anisette,101
anisette de Bordeaux,2,anisette de Bordeaux,2
anneau de cuivre,1,anneau de cuivre,1
anneau de fer,2,anneau de fer,2
ânon,2,ânon,2
anspects,93,anspects,93
anspects barre,1,barres d'anspects,72
anspects de 3 à 4 pieds,1,anspects de 3 à 4 pieds,1
anspects de sapin,1,anspects de sapin,1
antale,2,antale,2
antenelle,1,antenelle,1
antennes,2,antennes,2
antennes et mâts de bateaux,1,antennes et mâts de bateaux,1
antimoine,92,antimoine,111
antimoine cru,24,antimoine cru,26
antimoine cru et préparé,1,antimoine,111
antimoine préparé,2,antimoine préparé,2
antimoine sulfuré et métallique,1,antimoine métallique et sulfuré,1
antimoine vert,1,antimoine vert,1
antofle,1,antofle,1
antofle de girofle,9,antofle de girofle,9
apasier,1,apasier,1
apier,3,apier,3
apios,7,apios,7
apparaux,1,apparaux,1
apprêtée à toiler les livres,1,apprêtée à toiler les livres,1
apprêtée pour parchemins,1,apprêtée pour parchemins,1
apprêts,1,apprêts,1
arains,6,arains,6
arak,11,arak,13
arak boisson,1,arak,13
arbalètes,1,arbalètes,1
arbalètrie et cartes marines,1,arbalètrie et cartes marines,1
arbres,5,arbres,7
arbres à fruits,2,arbres à fruits,2
arbres à planter,43,arbres à planter,45
arbres châtaignier,1,arbres châtaignier,1
arbres de sapin,1,arbres de sapin,1
arbres en ???,1,arbres,7
arbres en plants,2,arbres à planter,45
arbres en plants de bois d'???,1,arbres d' ???,1
arbres en plants de bois d'auban,1,arbres d'auban,1
arbres et arbrisseaux,2,arbres et arbrisseaux,2
arbres et arbrisseaux à fruits,1,arbres et arbrisseaux à fruits,1
arbres et arbrisseaux sauvages,1,arbres et arbrisseaux sauvages,1
arbres et arbustes,4,arbres et arbustes,6
arbres et arbustes divers,2,arbres et arbustes,6
arbres et plants divers,1,arbres et plants,1
arbres fruitiers,87,arbres fruitiers,87
arbres marronniers à planter,1,arbres marronniers à planter,1
arbres nains,1,arbres nains,1
arbres orangers,2,orangers,15
arbres plants de bois,1,arbres,7
arbres tilleul,3,arbres tilleul,3
arbrisseaux,8,arbrisseaux,8
arbustes,3,arbustes,3
arcanette,1,arcanette,1
arcanie,1,arcanie,1
arcanson,4,arcanson,4
arcanum duplicatum,2,arcanum duplicatum,2
archets de violons,1,archets de violons,1
arçons de bas de bois,1,arçons de bas de bois,1
arçons de bois,1,arçons de bois,1
arçons de selles,12,arçons de selles,12
arçons démontés,1,arçons démontés,1
ardoise,163,ardoise,163
ardoise à piler,1,ardoise à piler,1
ardoise dite cherubin et à mortier,1,ardoise dite chérubin et à mortier,1
ardoise dite grande voisine,1,ardoise dite grande voisine,1
ardoise dite moyenne voisine,1,ardoise dite moyenne voisine,1
ardoise dite petite voisine,1,ardoise dite petite voisine,1
ardoise dite voisine grande moyenne et petite,2,ardoise dite voisine grande moyenne et petite,2
ardoise en carreaux,1,ardoise en carreaux,1
ardoise en carreaux d'1 pied carré,1,ardoise en carreaux et d'1 pied carré,1
ardoise en carreaux ou en table,2,ardoise en carreaux ou en table,2
ardoise en livret,1,ardoise en livret,1
ardoise encadrée,1,ardoise encadrée,1
ardoise encadrée et en livret,1,ardoise encadrée et en livret,1
ardoise non travaillée,1,ardoise non travaillée,1
ardoise ordinaire,2,ardoise commune,2
ardoise pour fenêtre,6,ardoise pour fenêtre,6
ardoise pour toitures,3,ardoise pour toiture,3
ardoise pour toitures au kilogramme,1,ardoise pour toiture au kilogramme,1
ardoise pour toitures au nombre,1,ardoise pour toiture au nombre,1
ardoise verte,1,ardoise verte,1
ardoises tablettes,1,tablettes d'ardoise,3
argent,1,argent,7
argent argent carragoux,1,argent carragoux,1
argent argent piastres,1,piastres,70
argent argent piastres d'Espagne,1,piastres d'Espagne,2
argent argent piastres du Grand Seigneur,1,piastres du grand seigneur,1
argent argent talaris,1,talaris,2
argent battu,1,argent battu,1
argent battu et en feuilles,1,argent battu et en feuille,1
"argent battu, tiré, laminé et filé",2,argent battu filé laminé et tiré,2
argent brûlé,1,argent brûlé,1
argent brut en masses et en lingots et brisé,1,argent brisé et en lingots et en masses,1
argent brut en masses et en lingots et ouvrages détruits,1,argent brut en lingot et en masse ouvrages détruits,1
argent divers,1,argent,7
argent en barils,1,argent en barils,1
argent en barres,2,argent en barres,2
argent en bijouterie,1,bijouterie en argent,1
argent en lames,1,lames d'argent,2
argent en lingots,10,argent en lingots,11
argent en lingots de bas aloi,1,argent en lingots,11
argent en lingots par Calais,1,argent en lingots par Calais,1
argent en matières,1,argent,7
argent en monnaie,1,monnaies d'argent,22
argent en orfèvrerie,1,orfèvrerie d'argent,24
argent en piastres,1,piastres,70
argent en piastres gourdes,1,piastres gourdes,1
argent et or billon,1,argent et or billon,1
argent et or monnayé argent brut,1,argent brut,1
argent et or monnayé argent en feuilles,1,feuilles d'argent,2
argent et or monnayé argent monnayé,2,monnaies d'argent,22
argent et or monnayé or monnayé,1,monnaies d'or,13
argent et or monnayé piastres,2,piastres,70
argent et or monnayé sequins,2,sequins,11
argent faux,3,argent faux,3
argent faux en fil cantilles etc.,2,argent faux en fil cantilles etc.,2
argent fin,1,argent fin,1
argent monnayé,16,monnaies d'argent,22
argent monnayé en écus à palmes,1,écus à palmes,1
argent monnayé en espèces coursables,1,monnaies d'argent en espèces coursables,1
argent monnayé en piastres,2,piastres,70
argent monnayé en piastres et talaris,1,piastres et talaris,1
argent monnayé en piastres et talaris par La Cure et Strasbourg,1,piastres et talaris par La Cure et Strasbourg,1
argent monnayé en piastres et talaris par Marseille,1,piastres et talaris par Marseille,1
argent monnayé en piastres et talaris par Strasbourg,1,piastres et talaris par Strasbourg,1
argent monnayé en piastres par le Havre,1,piastres par le Havre,1
argent monnayé en piastres par le Pont de Beauvoisin,1,piastres par le Pont de Beauvoisin,1
argent monnayé en talaris,1,talaris,2
argent monnayé par Calais,1,monnaies d'argent par Calais,1
argent monnayé par Strasbourg et Metz,1,monnaies d'argent par Strasbourg et Metz,1
argent monnayé par Valenciennes,1,monnaies d'argent par Valenciennes,1
argent oeis,1,argent vif,1
argent or quadruples,1,monnaies d'or quadruple,1
argent or sequins,1,sequins,11
argent or sequins vénitiens,1,sequins,11
argent ouvré,1,ouvrages d'argent,2
argent vif,290,mercure,319
argent vif et mercure,1,mercure,319
argent vif ou mercure,2,mercure,319
argenterie,237,argenterie,246
argenterie bagues,1,bagues d'argent,2
argenterie boucles,1,boucles d'argent,10
argenterie bugues,1,bagues d'argent,2
argenterie croix,2,croix d'argent,3
argenterie croix d'argent neuve,1,croix d'argent neuve,1
argenterie diverse,3,argenterie,246
argenterie en vaisselle,1,vaisselle d'argent,164
argenterie épée,3,argenterie épée,3
argenterie et bijouterie,8,argenterie et bijouterie,8
argenterie et orfévrerie,1,argenterie et orfèvrerie,4
argenterie et orfévrerie en vermeil,1,argenterie et orfèvrerie vermeil,2
argenterie et orfèvrerie en vermeil,1,argenterie et orfèvrerie vermeil,2
argenterie neuve,4,argenterie neuve,4
argenterie tabatières,1,tabatières d'argent,16
argenterie vieille,12,argenterie vieille,12
arins,1,arins,1
aristoloche,50,aristoloche,51
armement de tables,3,armement de tables,3
armes,10,armes,24
armes à feu,196,armes à feu,212
armes à feu boucaniers,1,boucaniers,11
armes à feu de munitions,2,armes à feu de munitions,2
armes à feu de munitions fines,4,armes à feu de munitions fines,4
armes à feu dites de luxe,1,armes à feu de luxe,2
armes à feu diverses,9,armes à feu,212
armes à feu en fusils,3,fusils,205
armes à feu en fusils à deux coups,3,fusils à deux coups,3
armes à feu en fusils de chasse,4,fusils de chasse,29
armes à feu en fusils de traite,7,fusils de traite,90
armes à feu en fusils dits boucaniers,5,boucaniers,11
armes à feu en pistolets,3,pistolets,85
armes à feu et artillerie,1,armes à feu et artillerie,1
armes à feu et de traite,1,armes à feu et de traite,1
armes à feu et fusils,1,armes à feu et fusils,1
armes à feu fusils,81,fusils,205
armes à feu fusils de chasse,3,fusils de chasse,29
armes à feu fusils de maître,1,fusils de maître,11
armes à feu fusils de munitions,1,fusils de munitions,1
armes à feu fusils de traite,6,fusils de traite,90
armes à feu fusils et leurs baïonnettes,1,fusils et leurs baïonnettes,1
armes à feu fusils ordinaires,3,fusils ordinaires,3
armes à feu mousquetons,1,mousquetons,1
armes à feu paires de pistolets,1,pistolets par paire,1
armes à feu pistolets,21,pistolets,85
armes à feu pistolets de traite,3,pistolets de traite,6
armes armureries,1,armes armureries,1
armes autres que de guerre à feu,1,armes autres que de guerre à feu,1
armes autres que de guerre blanches,1,armes autres que de guerre blanches,1
armes baïonnettes,1,baïonnettes,12
armes blanches,92,armes blanches,102
armes blanches baïonnettes,2,baïonnettes,12
armes blanches diverses,6,armes blanches,102
armes blanches en épée,1,épée,13
armes blanches en sabres,2,sabres,92
armes blanches en sabres de traite,1,sabres de traite,14
armes blanches en sabres ordinaires,2,sabres ordinaires,2
armes blanches épée,1,épée,13
armes blanches épée d'argent,1,épée d'argent,31
armes blanches et à feu,3,armes,24
armes blanches lames,1,armes lames,1
armes blanches lames d'épée,3,lames d'épée,47
armes blanches lames de fleuret,1,lames de fleuret,6
armes blanches lames de sabres,4,lames de sabres,4
armes blanches lances,1,lances,2
armes blanches sabres,35,sabres,92
armes blanches sabres et baïonnettes,1,sabres et baïonnettes,1
armes canons de fer,2,canons de fer,203
armes canons et affûts,1,affûts et canons,1
armes canons et balles de fer,1,canons de fer et balles de fer,1
armes de chasse ou de luxe à feu,1,armes de chasse ou de luxe à feu,1
armes de chasse ou de luxe blanches,1,armes de chasse ou de luxe blanches,1
armes de feu,1,armes à feu,212
armes de guerre,1,armes de guerre,1
armes de guerre à feu,1,armes à feu de guerre,1
armes de guerre à feu portatives,1,armes à feu de guerre portatives,1
armes de guerre blanches,1,armes blanches de guerre,1
armes de luxe à feu,1,armes à feu de luxe,2
armes de luxe blanches,1,armes blanches de luxe,1
armes de luxe ou de traite à feu,1,armes à feu de luxe ou de traite,1
armes de luxe ou de traite blanches,1,armes blanches de luxe ou de traite,1
armes de traite à feu,1,armes à feu de traite,1
armes de traite blanches,1,armes blanches de traite,1
armes de traite et de guerre à feu,1,armes à feu de guerre et de traite,1
armes de traite et de guerre blanches,1,armes blanches de guerre et de traite,1
armes différentes,1,armes différentes,1
armes diverses,8,armes,24
armes diverses à feu,5,armes à feu,212
armes diverses blanches,3,armes blanches,102
armes diverses et munitions de guerre,1,armes et munitions,1
armes épées,2,épée,13
armes et artillerie armes à feu,1,armes à feu,212
armes et artillerie armes blanches,1,armes blanches,102
armes et artillerie artillerie en canons pierriers espingoles et mortiers,1,armes et artillerie artillerie en canons pierriers espingoles et mortiers,1
armes fusils,5,fusils,205
armes fusils de traite,5,fusils de traite,90
armes non reprises,1,armes,24
armes pistolets,3,pistolets,85
armes platines de fusils,1,platines de fusils,7
armes remontrances,1,armes remontrances,1
armes sabres,3,sabres,92
armes sabres de traite,2,sabres de traite,14
armoire d'acajou,1,armoires d'acajou,12
armoires,30,armoires,30
armoires ayant servi,1,armoires ayant servi,1
armoires d'acajou,8,armoires d'acajou,12
armoires de bois,1,armoires de bois,1
armoires de bois d'acajou,3,armoires d'acajou,12
armoires de bois de chêne,1,armoires de chêne,9
armoires de bois de noyer,3,armoires de noyer,9
armoires de bois de sapin,1,armoires de sapin,3
armoires de bois de sapin peintes,1,armoires de bois de sapin peintes,1
armoires de bois des Îles,1,armoires de bois des Indes,1
armoires de chêne,8,armoires de chêne,9
armoires de chêne ornée,1,armoires de chêne ornée,1
armoires de noyer,6,armoires de noyer,9
armoires de sapin,2,armoires de sapin,3
armoires et commodes,1,armoires et commodes,1
armoires vieilles,2,armoires vieilles,2
armoisin,40,armoisin,40
armure vieille,1,armure vieille,1
arnas,1,arnas,1
arquebuse,1,arquebuse,1
arrangas,1,arrangas,1
arrelles de baleine,1,arelles de baleine,1
arrosoirs,5,arrosoirs,5
arrosoirs de bois,2,arrosoirs de bois,2
arrosoirs de cuivre,1,arrosoirs de cuivre,1
arrosoirs de fer-blanc,4,arrosoirs de fer-blanc,6
arrosoirs de sapin,1,arrosoirs de sapin,1
arrosoirs de terre,1,arrosoirs de terre,1
arrowroot,1,arrowroot,1
arséniate de potasse,1,arséniate de potasse,1
arsenic,283,arsenic,297
arsenic métallique,1,arsenic métallique,1
artichauts,50,artichauts,50
artichauts confits,65,artichauts confits,65
artichauts frais,16,artichauts frais,17
artichauts marinés,2,artichauts marinés,2
artichauts secs,6,artichauts secs,6
artichauts verts,1,artichauts frais,17
articles d'industrie réunis,1,ouvrages d'industrie,6
articles de manufactures étrangères en toile à voile,1,toile à voile,1
articles de pêche,1,outils pour la pêche,8
articles de peu de valeur réunis,1,divers,40
articles réunis,2,divers,40
articles réunis d'une valeur moindre de 2000 francs chacun,4,divers,40
articles réunis de peu de valeur,1,divers,40
articles réunis et tissus étrangers réexportés,1,divers,40
artifice,3,artifice,3
artifice fusées etc.,1,artifice fusées etc.,1
artillerie,1,artillerie,1
artillerie canons de différents calibres,1,canons de différents calibres,1
artillerie en bombes et boulets,2,bombes et boulets,3
artillerie en boulets,1,boulets,9
artillerie en canons bombes,1,bombes et canons,1
artillerie en canons de fer,3,canons de fer,203
asa foetida,88,asa fœtida,92
asperges,1,asperges,1
asperges confites,1,asperges confites,1
asperges et scorsonères,1,asperges et scorsonères,1
asperges plants,1,plants d'asperges,12
asphaltum,7,asphaltum,9
asphaltum ou bitume de Judée,2,asphaltum,9
assiette,1,assiette,1
assiette de Biarritz,1,assiette de Biarritz,1
assiette de bois,1,assiette de bois,1
assiette de faïence,6,assiette de faïence,8
assiette de porcelaine,3,assiette de porcelaine,3
assiette de porcelaine des Indes,1,assiette de porcelaine des Indes,1
assiette de terre,6,assiette de terre,6
asustum,1,asustum,1
atastes,1,atastes,1
atchiabanis,14,atchiabanis,14
atlas,2,atlas,2
atlas à fleurs d'or,1,atlas à la feuille d'or,1
atlas et instruments de marine,1,atlas et instruments de marine,1
atlas jaspé,1,atlas jaspé,1
attaches de cuivre,1,attaches de cuivre,1
attelles de colliers,8,attelles de colliers,8
au lest,1,lest,6
aube,1,aube,1
auclimes,2,auclimes,2
auf,87,auf,87
auf ouvré,23,ouvrages d'auf,39
auf travaillé,3,ouvrages d'auf,39
auf travaillé en cordes,1,cordes d'auf,14
augemy,2,augemy,2
auges,3,auges,3
auges de carreaux,2,auges de carreaux,2
augustins,2,augustins,2
aurcsats,1,aurcsats,1
