goods_simpl_classification,nbr_occurences_simpl,canada_classification,details_provenance,obsolete,imports_des_colonies,nbr_occurences_canada
grains mondé et perlé,8,,,non,0,386384
grains orge,738,,,non,0,386384
grains orge en gerbe,1,,,non,0,386384
grains orge et soucrion,2,,,non,0,386384
grains orge et soucrion en gerbe,1,,,non,0,386384
grains orge germé,14,,,non,0,386384
grains orge paillarge,1,,,non,0,386384
grains orge par Marseille,1,,,non,0,386384
grains orge par Marseilles,0,,,oui,0,386384
grains orge perlé et mondé,30,,,non,0,386384
grains petits,1,,,non,0,386384
grains riz,2058,Hors Canada,,non,1,154362
grains sarrasin,53,,,non,0,386384
grains seigle,600,,,non,0,386384
grains seigle avarié,1,,,non,0,386384
grains seigle en gerbe,1,,,non,0,386384
grains seigle en gerbes,1,,,non,0,386384
grains seigle et blé,1,,,non,0,386384
grains seigle par Marseille,1,,,non,0,386384
grains soucrillon,7,,,non,0,386384
graisse,334,,,non,0,386384
graisse à chapeler,1,,,non,1,386384
graisse blanche,2,,,non,0,386384
graisse d'autruche,1,,,non,0,386384
graisse d'oint,1,,,non,0,386384
graisse d'ours,2,Exclusivement Canada,,non,1,7529
graisse de baleine,1,,,non,0,386384
graisse de boucherie,51,,,non,0,386384
graisse de cacao,1,Hors Canada,,non,1,154362
graisse de chanvre,3,,,non,0,386384
graisse de cheval d'ours et de pied de bœuf,3,,,non,0,386384
graisse de cire,1,,,non,0,386384
graisse de cochon,6,,,non,0,386384
graisse de gras de peau,6,,,non,0,386384
graisse de jardin,1,,,non,0,386384
graisse de mouton,5,,,non,0,386384
graisse de pied de bœuf,1,,,non,0,386384
graisse de poisson,11,,,non,0,386384
graisse de poisson de pêche étrangère,1,,,non,0,386384
graisse de poisson de pêche française,2,,,non,0,386384
graisse de poisson des pays hors d'Europe,1,,,non,0,386384
graisse de porcs,110,,,non,0,386384
graisse de tasson et autres,1,,,non,0,386384
graisse de toute sorte sauf graisse de bœuf d'ours de gras de peau et suif brut,2,,,non,0,386384
graisse de toute sorte sauf graisse de cheval d'ours de gras de peau et suif brut,1,,,non,0,386384
graisse de toute sorte sauf gras de peau et suif brut,2,,,non,0,386384
graisse douce,3,,,non,0,386384
graisse douce de cochon,1,,,non,,386384
graisse et chair salée de porcs,1,,,non,0,386384
graisse et suif,1,,,non,0,386384
graisse fine,2,,,non,0,386384
graisse fondue,1,,,non,0,386384
graisse ou vieux-oint,0,,,oui,0,386384
graisse salée,1,,,non,0,386384
grande voile de vaisseaux,1,,,non,0,386384
granille de cochenille,44,,,non,0,386384
granit,1,,,non,0,386384
grannette de coton,1,,,non,0,386384
graphite,7,,,non,0,386384
grappins,4,,,non,0,386384
grappins de fer,56,,,non,0,386384
gras de tours,1,,,non,0,386384
gras rouge,1,,,non,0,386384
gras-double,7,,,non,0,386384
grattes,1,,,non,0,386384
grattes en fer,2,,,non,0,386384
grattoirs,3,,,non,0,386384
grattoirs de fer,1,,,non,,386384
gravelée,152,,,non,0,386384
gravelée et potasse et védasse,0,,,oui,0,386384
gravelée potasse et védasse,139,,,non,0,386384
gravelle,17,,,non,0,386384
gravures,2,,,non,0,386384
gravures encadrées,1,,,non,0,386384
gravures et lithographies,2,,,non,0,386384
gravures noires ou coloriées,6,,,non,0,386384
gravures peintures et sculptures,54,,,non,1,386384
grèles,1,,,non,0,386384
grèles à café,1,,,non,0,386384
grelin,4,,,non,0,386384
grelots,52,,,non,0,386384
grelots de cuivre,60,,,non,0,386384
grelots de laiton,1,,,non,0,386384
grelots et sonnettes,1,,,non,,386384
grenade,37,,,non,0,386384
grenade à feu,1,,,non,0,386384
grenade de coton,1,,,non,0,386384
grenade de fer,12,,,non,0,386384
grenade de Florence,1,,,non,0,386384
grenade étoffe,2,,,non,0,386384
grenade fruit,7,,,non,0,386384
grenade pour la Compagnie des Indes,1,,,non,0,386384
grenades de fonte,1,,,non,0,386384
grenadier et laurier et jasmin etc,2,,,non,0,386384
grenaille,7,,,non,0,386384
grenaille d'acier et de fer,1,,,non,0,386384
grenaille de cochenille,3,,,non,0,386384
grenat,15,,,non,0,386384
grenat et rubis,1,,,non,0,386384
grenat faux,2,,,non,0,386384
grenat faux et autres pierres fausses non montées,1,,,non,0,386384
grenat fin,3,,,non,0,386384
grenat fin monté,1,,,non,0,386384
grenat fin non monté,1,,,non,0,386384
grès,1,,,non,0,386384
grès à laver,4,,,non,0,386384
grès en pavé,3,,,non,0,386384
grès rouge,1,,,non,0,386384
grignons,5,,,non,0,386384
grillages,1,,,non,0,386384
grillages de fer,2,,,non,0,386384
grillages en fer,1,,,non,0,386384
grilles,1,,,non,0,386384
grilles de fer,56,,,non,0,386384
grilles de fer à moulins à sucre,1,,,non,,386384
grilles de fer de fonte,4,,,non,0,386384
grilles de fer pour moulins à sucre,1,,,non,0,386384
grilles et tambours de fer,1,,,non,0,386384
grillons,1,,,non,0,386384
grillons de fonte,1,,,non,0,386384
grinza,1,,,non,0,386384
gris,3,,,non,0,386384
grisette,53,,,non,1,386384
grisette de Flandre,1,,,non,0,386384
grisette de laine,2,,,non,0,386384
grisette de soie,10,,,non,0,386384
grisons,2,,,non,0,386384
grives,3,,,non,0,386384
groisil,1,,,non,0,386384
groisil de verre,2,,,non,0,386384
groison,2,,,non,0,386384
gros de Mours,0,,,oui,0,386384
gros de Naples,1,,,non,0,386384
gros de Tours,5,,,non,0,386384
gros détours,0,,,oui,0,386384
gros rouge,5,,,non,0,386384
gros tors,2,,,non,0,386384
groseille,1,,,non,0,386384
grosgrain,1,,,non,0,386384
grosil,20,,,non,0,386384
grosse de soie,1,,,non,,386384
gruau,285,,,non,0,386384
gruau d'avoine,1,,,non,0,386384
gruau de grains comestible,2,,,non,0,386384
gruau de grains sarrasin,1,,,non,0,386384
gruau de millet,1,,,non,0,386384
gruau et fécule,6,,,non,0,386384
grulleau,0,,,oui,0,386384
gruyère,3,,,non,0,386384
guajocum utilisé pour traiter la syphilis,1,,,non,0,386384
guéridon,4,,,non,0,386384
guéridon de sapin,1,,,non,0,386384
guéridon et tables,1,,,non,,386384
guéridon peint,1,,,non,0,386384
guêtres,18,,,non,0,386384
guêtres de coton,1,,,non,0,386384
guêtres de cuir,3,,,non,0,386384
guêtres de toile,3,,,non,0,386384
gueuse de fer,1,,,non,0,386384
guftas,1,,,non,0,386384
guidive des prises,1,,,non,,386384
guigan de Bengale,0,,,oui,,386384
guignolet en ratafia,4,,,non,0,386384
guignolet en ratafia de cerise,3,,,non,0,386384
guildive,16,Hors Canada,antilles,non,1,154362
guildive de prise,0,,,oui,0,386384
guin ???,1,,,non,0,386384
guina,1,,,non,0,386384
guincastafs,1,,,non,0,386384
guindeaux,2,,,non,0,386384
guinée,181,,,non,1,386384
Guinée,0,,,oui,0,386384
guinée blanche,92,,,non,0,386384
Guinée blanche,0,,,oui,0,386384
guinée blanche des Indes,4,,,non,0,386384
Guinée blanche des Indes,0,,,oui,0,386384
guinée blanche et bleue,1,,,non,0,386384
Guinée blanche et bleue,0,,,oui,0,386384
guinée blanche et bleue des Indes,4,,,non,0,386384
Guinée blanche et bleue des Indes,0,,,oui,0,386384
guinée blanche ordinaire,2,,,non,0,386384
guinée bleue,188,,,non,1,386384
Guinée bleue,0,,,oui,0,386384
guinée bleue de coton,1,,,non,0,386384
Guinée bleue de coton,0,,,oui,0,386384
guinée bleue des Indes,1,,,non,0,386384
Guinée bleue des Indes,0,,,oui,0,386384
guinée bleue imitant celle des Indes,1,,,non,0,386384
Guinée bleue imitant celle des Indes,0,,,oui,0,386384
guinée de coton,2,,,non,0,386384
guinée des Indes,1,,,non,0,386384
Guinée des Indes,0,,,oui,0,386384
guinée imitant celle des Indes,2,,,non,0,386384
Guinée imitant celle des Indes,0,,,oui,0,386384
guinée masulipatan,1,,,non,0,386384
guinée Sénégal,1,,,non,0,386384
Guinée Sénégal,0,,,oui,0,386384
guinée tachée,1,,,non,0,386384
Guinée tachée,0,,,oui,0,386384
guingan,581,Hors Canada,France,non,1,154362
guingan blanc,1,,,non,0,386384
guingan bleu,1,,,non,0,386384
guingan de Bengale,2,,,non,,386384
guingan de coton,1,,,non,0,386384
guingan de fil,25,,,non,0,386384
guingan de Grenade,1,,,non,,386384
guingan de lin,19,,,non,0,386384
guingan de Madras,23,,,non,0,386384
guingan de Masulipatan,1,,,non,0,386384
guingan de Pondichéry,26,,,non,0,386384
guingan de Pondichéry et de Madras,1,,,non,0,386384
guingan de prises,0,,,oui,0,386384
guingan de Rouen,3,,,non,0,386384
guingan des Indes,3,,,non,0,386384
guingan des prises,1,,,non,,386384
guingan du Bengale,8,,,non,0,386384
guingan en Madras,1,,,non,0,386384
guingan peint,2,,,non,,386384
guingan pièces,1,,,non,0,386384
guinimos,1,,,non,0,386384
guipon,6,,,non,0,386384
guisine,1,,,non,0,386384
guitare,8,,,non,0,386384
guitare de fer,3,,,non,0,386384
guitares,0,,,oui,0,386384
gullots,1,,,non,0,386384
habassis,5,,,non,0,386384
habillement,0,,,oui,0,386384
habillement brodé d'argent et d'or,0,,,oui,0,386384
habillement brodé d'or,0,,,oui,0,386384
habillement brodé de soie,0,,,oui,0,386384
habillement d'argent et d'or,0,,,oui,0,386384
habillement d'or,0,,,oui,0,386384
habillement de drap noir,1,,,non,,386384
habillement de nègre,0,,,oui,0,386384
habillement de nègre en étoffe,0,,,oui,0,386384
habillement de soie,0,,,oui,0,386384
habillement de toile de chanvre,0,,,oui,0,386384
habillement de troupes,0,,,oui,0,386384
habillement et lingerie,0,Intraitable,,oui,0,6282
habillement et lingerie et effets militaires,0,,,oui,0,386384
habillement pour nègre,0,,,oui,0,386384
habillement riche,0,,,oui,0,386384
habillement supporté,0,,,oui,0,386384
habillements,0,,,oui,0,386384
habillements neufs,0,,,oui,0,386384
habillements supportés,0,,,oui,0,386384
habillements supportés à la valeur,0,,,oui,0,386384
habillements supportés au kilogramme,0,,,oui,0,386384
habillés,1,,,non,0,386384
habit de droguet,0,,,oui,0,386384
habit de gogorans,0,,,oui,0,386384
habits,437,,,non,0,386384
habits à nègre,1,,,non,0,386384
habits brodés d'argent et d'or,1,,,non,0,386384
habits brodés d'or,15,,,non,0,386384
habits brodés de soie,6,,,non,0,386384
habits complets,3,,,non,0,386384
habits complets et neufs,2,,,non,0,386384
habits d'argent et d'or,1,,,non,0,386384
habits d'étamine,1,,,non,0,386384
habits d'homme,0,,,oui,0,386384
habits d'homme avec argent et or,0,,,oui,0,386384
habits d'or,3,,,non,0,386384
habits de camelot,1,,,non,0,386384
habits de camelot complet,1,,,non,,386384
habits de cour,1,,,non,0,386384
habits de drap,12,,,non,0,386384
habits de drap d'Elbeuf,1,,,non,0,386384
habits de drap galonné,1,,,non,0,386384
habits de drap galonnés d'argent et d'or,1,,,non,0,386384
habits de drap neuf,1,,,non,0,386384
habits de drap uni,2,,,non,0,386384
habits de droguet,1,,,non,0,386384
habits de droguet de soie,1,,,non,0,386384
habits de femme,0,,,oui,0,386384
habits de gogorans,2,,,non,0,386384
habits de laine,1,,,non,0,386384
habits de laine pour nègre,1,,,non,0,386384
habits de livrée,1,,,non,0,386384
habits de livrée et ornements d'église,2,,,non,0,386384
habits de nègre,1,,,non,0,386384
habits de nègre en étoffe,1,,,non,0,386384
habits de négresse,1,,,non,,386384
habits de peau,3,,,non,0,386384
habits de peau complets,1,,,non,0,386384
habits de peaux de mouton,1,,,non,0,386384
habits de Pékin brodés,1,,,non,0,386384
habits de pelleterie,1,,,non,0,386384
habits de pinchina,1,,,non,0,386384
habits de satin brodé,1,,,non,0,386384
habits de soie,38,,,non,0,386384
habits de soldat,2,,,non,0,386384
habits de toile,1,,,non,,386384
habits de toile de chanvre,1,,,non,0,386384
habits de troupes,2,,,non,0,386384
habits de velours,1,,,non,0,386384
habits divers,87,,,non,0,386384
habits enrichis,1,,,non,0,386384
habits et lingerie,581,,,non,1,386384
habits et lingerie et effets militaires,38,,,non,0,386384
habits et meubles,2,,,non,0,386384
habits et ornements d'Eglise,1,,,non,0,386384
habits et taffetas,1,,,non,0,386384
habits et vestes brodés,1,,,non,0,386384
habits et vestes vieux,1,,,non,0,386384
habits neufs,3,,,non,0,386384
habits pour femme,3,,,non,,386384
habits pour homme,6,,,non,0,386384
habits pour homme avec argent et or,2,,,non,,386384
habits pour homme brodés d'or,1,,,non,,386384
habits pour homme complets,1,,,non,0,386384
habits pour homme et pour femme,1,,,non,0,386384
habits pour nègre,3,,,non,0,386384
habits riches,1,,,non,0,386384
habits supportés,4,,,non,0,386384
habits supportés à la valeur,1,,,non,0,386384
habits supportés au kilogramme,2,,,non,0,386384
habits uniformes,1,,,non,0,386384
habits unis,1,,,non,0,386384
habits vieux,5,,,non,0,386384
haches,57,,,non,1,386384
haches d'armes,1,,,non,0,386384
haches de fer,25,,,non,0,386384
haches de fer et d'acier,5,,,non,0,386384
haches de fer et houes de fer et serpes de fer,3,,,non,0,386384
haches et houe et serpes,1,,,non,,386384
haches et houes,4,,,non,0,386384
haches et houes de fer,1,,,non,0,386384
haches et houes et serpes,76,,,non,0,386384
haches et serpes,2,,,non,0,386384
haches paille,1,,,non,0,386384
haillons de laine,2,,,non,0,386384
hallebardes,1,,,non,0,386384
haltsays,1,,,non,0,386384
hamacs,71,,,non,0,386384
hamacs de coton,8,,,non,0,386384
hamacs de retour,0,Hors Canada,,oui,0,154362
hamacs de retour faute de vente,1,,,non,0,386384
hamans,0,,,oui,0,386384
hameçons,56,,,non,0,386384
hameçons cassés,1,,,non,0,386384
hampes de plumes,1,,,non,0,386384
harancades,22,,,non,0,386384
haras,1,,,non,0,386384
hardes,80,,,non,0,386384
hardes à usage,4,,,non,0,386384
hardes capillaire,1,,,non,0,386384
hardes et habillement,0,,,oui,0,386384
hardes et habits,4,,,non,0,386384
hardes neuves,17,,,non,0,386384
hardes perelle,1,,,non,0,386384
hardes pour nègre,2,,,non,0,386384
hardes vieilles,38,,,non,0,386384
hareng frais,0,,,oui,0,386384
harengs,77,Exclusivement Canada,,non,1,7529
harengs blanc,0,,,oui,0,386384
harengs blancs,665,Exclusivement Canada,,non,1,7529
harengs blancs demi-feuillettes,2,,,non,0,386384
harengs blancs feuillettes,2,,,non,0,386384
harengs blancs marinés et salés,15,,,non,0,386384
harengs blancs salés,1,,,non,0,386384
harengs blancs salés et marinés,1,,,non,0,386384
harengs bleus,1,,,non,,386384
harengs cades,2,,,non,0,386384
harengs de la Baltique petits,1,,,non,0,386384
harengs de la pêche nationale,1,,,non,0,386384
harengs et maquereaux salés,4,,,non,1,386384
harengs et saumons salés,1,,,non,0,386384
harengs frais,4,,,non,0,386384
harengs frais et merlan frais,1,,,non,0,386384
harengs fumés,65,,,non,0,386384
harengs marinés et salés,3,,,non,0,386384
harengs marinés et salés et saurs,8,,,non,0,386384
harengs pecks,0,,,oui,0,386384
harengs pecs,3,,,non,0,386384
harengs salés,28,,,non,1,386384
harengs salés et sardines salées,4,,,non,0,386384
harengs salés et sardines salées et saumon salé,6,,,non,0,386384
harengs saurs,411,,,non,0,386384
harengs secs,11,,,non,0,386384
haricots,65,,,non,0,386384
haricots confits,2,,,non,0,386384
haricots en fèves,1,,,non,0,386384
haricots en fil,1,,,non,0,386384
haricots et lentilles et pois secs,3,,,non,0,386384
haricots marinés,1,,,non,0,386384
harmonica et orgues portatives,2,,,non,0,386384
harnais,83,,,non,0,386384
harnais de carrosses,1,,,non,0,386384
harnais de chaise,23,,,non,0,386384
harnais de chevaux,20,,,non,0,386384
harnais de chevaux de cuir,8,,,non,0,386384
harnais de cuir,2,,,non,0,386384
harnais de sellier,1,,,non,0,386384
harnais et chaises roulantes,1,,,non,0,386384
harnais et housses de chevaux,1,,,non,0,386384
harnais et housses de mulet,1,,,non,0,386384
harnais et phaéton,1,,,non,0,386384
harnais et selles,11,,,non,0,386384
harnais pour chaise de cuir,1,,,non,0,386384
harpes,9,,,non,0,386384
harpes et guitare,1,,,non,0,386384
harpes et guitare et psalterions,2,,,non,0,386384
harpes et orgues d'église,2,,,non,0,386384
harpins,1,,,non,0,386384
harpoix,0,,,oui,0,386384
harpoix et tartre,0,,,oui,0,386384
harpoix et térébenthine,0,,,oui,0,386384
harpons de scies,1,,,non,,386384
hartreuse,1,,,non,0,386384
haussière,0,,,oui,0,386384
hautbois,3,,,non,0,386384
hebichets de fil de fer,1,,,non,0,386384
helateas,2,,,non,0,386384
hellébore,1,,,non,0,386384
hemitacortum,2,,,non,0,386384
herbages,81,,,non,0,386384
herbes,60,,,non,1,386384
herbes à charpentier,3,Hors Canada,,non,1,154362
herbes à col,1,,,non,0,386384
herbes à teindre,116,,,non,0,386384
herbes à teindre ou terre jaune,1,,,non,0,386384
herbes aromatiques,1,,,non,,386384
herbes d'absinthe,2,,,non,0,386384
herbes d'acacia,1,,,non,0,386384
herbes d'acacia à teindre,1,,,non,0,386384
herbes d'orseille,101,,,non,0,386384
herbes d'oseille,26,,,non,0,386384
herbes de capillaire,0,Hors Canada,,oui,0,154362
herbes de sarriette,1,,,non,0,386384
herbes de violette,1,,,non,0,386384
herbes émollientes,1,,,non,0,386384
herbes et plantes et racines,6,,,non,0,386384
herbes et racines,1,,,non,0,386384
herbes et trèfle,2,,,non,0,386384
herbes gaude,72,,,non,0,386384
herbes mauves,1,,,non,,386384
herbes médicinales,12,,,non,1,386384
herbes médicinales et plantes médicinales,58,,,non,0,386384
herbes médicinales et plantes médicinales et racines médicinales,35,Hors Canada,,non,1,154362
herbes pérelle,118,,,non,1,386384
herbes plantes racines fleurs etc.,14,,,non,0,386384
herbes qacrette,3,,,non,0,386384
herbes vaudes,28,,,non,0,386384
herbes véroniques,1,,,non,,386384
herbes vulnéraires,24,,,non,0,386384
hermine,2,,,non,0,386384
herminettes,2,,,non,0,386384
hermodatte,51,,,non,0,386384
herse,1,,,non,0,386384
hesses et hirondelles,1,,,non,0,386384
hêtre en blocs,1,,,non,0,386384
hipocide,4,,,non,0,386384
hipouditte,1,,,non,0,386384
histoire naturelle,18,,,non,1,386384
histoire naturelle coquillages,1,,,non,1,386384
Hondschoote blanche,1,,,non,0,386384
Hondschoote peinte,3,,,non,0,386384
hôpitaux,2,,,non,0,386384
hôpitaux à café,1,,,non,0,386384
hôpitaux de cuivre,65,,,non,0,386384
horloge,46,,,non,0,386384
horloge à réveils,1,,,non,0,386384
horloge commune,5,,,non,0,386384
horloge d'église,1,,,non,0,386384
horloge de bois,28,,,non,0,386384
horloge de fer,1,,,non,0,386384
horloge de mer,1,,,non,0,386384
horloge de sable,23,,,non,0,386384
horloge de tables,4,,,non,0,386384
horloge neuve,1,,,non,0,386384
horlogerie,794,,,non,0,386384
horlogerie boîtes d'argent,6,,,non,0,386384
horlogerie boîtes d'or,4,,,non,0,386384
horlogerie boîtes de montre d'argent,1,,,non,0,386384
horlogerie boîtes de montre d'or,1,,,non,0,386384
horlogerie boîtes de pendule,3,,,non,0,386384
horlogerie cadrans,1,,,non,0,386384
horlogerie cadrans d'émail,1,,,non,0,386384
horlogerie carillon,1,,,non,0,386384
horlogerie carillon au-dessous d'une hectogramme,1,,,non,0,386384
horlogerie chaînes d'argent,1,,,non,0,386384
horlogerie chaînes d'or,3,,,non,0,386384
horlogerie chaînes de cuivre,1,,,non,0,386384
horlogerie clefs de montre,1,,,non,0,386384
horlogerie d'or,2,,,non,0,386384
horlogerie et carillon,4,,,non,0,386384
horlogerie fournitures,6,,,non,0,386384
horlogerie horloge de fer,12,,,non,0,386384
horlogerie monom à montre,1,,,non,0,386384
horlogerie monom à pendule,2,,,non,0,386384
horlogerie montres d'argent,12,,,non,0,386384
horlogerie montres d'or,14,,,non,0,386384
horlogerie montres de cuivre,3,,,non,0,386384
horlogerie montres de métal,1,,,non,0,386384
horlogerie montres maillées,1,,,non,0,386384
horlogerie mouvements de montre,7,,,non,0,386384
horlogerie mouvements de pendule,5,,,non,0,386384
horlogerie outils d'horloge,2,,,non,0,386384
horlogerie pendule,36,,,non,1,386384
horlogerie pendule de cuivre,2,,,non,0,386384
horlogerie pendule et réveils,2,,,non,0,386384
horlogerie ressorts de montre,2,,,non,0,386384
horlogerie ressorts de pendule,3,,,non,0,386384
horlogerie réveils,2,,,non,0,386384
horlogerie timbres,1,,,non,0,386384
hôtes,1,,,non,0,386384
hôtes d'osier,4,,,non,0,386384
houblon,293,,,non,0,386384
houes,12,,,non,0,386384
houes de fer,17,,,non,0,386384
houes et serpes,21,,,non,0,386384
houes haches et serpes,4,,,non,,386384
houille,4,,,non,0,386384
houille frontières,2,,,non,0,386384
houille par Ardennes et Meuse,2,,,non,0,386384
houille par mer,3,,,non,0,386384
houille par mer à Baisieux,2,,,non,0,386384
houille par terre,1,,,non,0,386384
houille par terre Ardennes et autre,2,,,non,0,386384
houppe de cygne,5,,,non,0,386384
housses,1,,,non,0,386384
housses de chevaux,25,,,non,0,386384
housses de chevaux enrichie,1,,,non,0,386384
housses de chevaux et faux,1,,,non,0,386384
housses de chevaux et faux et fourreaux garnis de soie,1,,,non,0,386384
housses de chevaux garnies d'argent et d'or,1,,,non,0,386384
housses de drap,5,,,non,0,386384
housses de drap et de velours,2,,,non,0,386384
housses de lit,2,,,non,0,386384
housses de selles,1,,,non,0,386384
housses de velours,1,,,non,0,386384
housses et faux fourreaux,3,,,non,0,386384
housses et faux fourreaux garnis d'argent,1,,,non,0,386384
housses et selles de chevaux,1,,,non,0,386384
housses galonnées,2,,,non,0,386384
housses galonnées d'or,4,,,non,0,386384
housses galonnées d'or et d'argent,1,,,non,,386384
housses garnies d'or,2,,,non,,386384
housses garnies et d'or,0,,,oui,0,386384
hubalingue,1,,,non,0,386384
hubellimeus,1,,,non,0,386384
huide de codde,1,,,non,0,386384
huile,18,Hors Canada,,non,1,154362
huile à ???,1,,,non,0,386384
huile à brûler,48,,,non,0,386384
huile à brûler de graine,1,,,non,0,386384
huile à brûler et de poisson,12,,,non,0,386384
huile à lin,0,,,oui,0,386384
huile ambrée,1,,,non,0,386384
huile antique et huile volatile ambrée,1,,,non,0,386384
huile blanche,1,,,non,0,386384
huile carabée,1,,,non,0,386384
huile chimique,1,,,non,0,386384
huile citron orange et leurs variétés,2,,,non,0,386384
huile commune,4,,,non,0,386384
huile commune d'olive,1,,,non,0,386384
huile concrète de cacao et de laurier,2,,,non,0,386384
huile d'absinthe,2,,,non,0,386384
huile d'Aix,2,,,non,0,386384
huile d'Alma Christi,0,Hors Canada,tropiques,oui,0,154362
huile d'amandes,77,,,non,0,386384
huile d'amandes douces,14,,,non,0,386384
huile d'ambre,11,,,non,0,386384
huile d'anis,28,,,non,0,386384
huile d'anis carvi et fenouil,1,,,non,0,386384
huile d'anis et fenouil,2,,,non,0,386384
huile d'aspic,58,,,non,0,386384
huile d'élite dite keurolie,1,,,non,0,386384
huile d'enc,1,,,non,0,386384
huile d'étain,1,,,non,0,386384
huile d'œillette,31,,,non,0,386384
huile d'olive,3295,,,non,0,386384
huile d'olive à manger,11,,,non,0,386384
huile d'olive blanche de Gênes,1,,,non,0,386384
huile d'olive comestible,3,,,non,0,386384
huile d'olive commune,18,,,non,0,386384
huile d'olive Corse pour la France,1,,,non,0,386384
huile d'olive de fèce ou fie d'huile,2,,,non,0,386384
huile d'olive et autres pour fabrique,21,,,non,0,386384
huile d'olive fine,123,,,non,0,386384
huile d'olive importée en grande partie à Marseille,1,,,non,0,386384
huile d'olive pour fabrique,245,Hors Canada,,non,1,154362
huile d'olive pour fabrique de la Corse,1,,,non,0,386384
huile d'ours,1,Exclusivement Canada,,non,1,7529
huile de baleine,90,,,non,0,386384
huile de baleine et spirituelle,1,,,non,0,386384
huile de baume,1,,,non,0,386384
huile de benedie,1,,,non,0,386384
huile de benjoin,1,,,non,0,386384
huile de brique,1,,,non,0,386384
huile de cacao,2,Hors Canada,,non,1,154362
huile de cacao et palme,1,,,non,0,386384
huile de cade,4,,,non,0,386384
huile de cahouanne,3,Hors Canada,,non,1,154362
huile de cannelle,17,,,non,0,386384
huile de cannelle macis muscade de Rhodes et rose,2,,,non,0,386384
huile de carabe,7,,,non,0,386384
huile de carde,3,,,non,0,386384
huile de casse cède cédrin genièvre,2,,,non,0,386384
huile de castor,1,,,non,0,386384
huile de chanvre,11,,,non,0,386384
huile de chien de mer,2,,,non,0,386384
huile de chimie,1,,,non,0,386384
huile de chimie ?,1,,,non,,386384
huile de citron bergamote et orange,1,,,non,0,386384
huile de coco,1,,,non,0,386384
huile de copahu,53,Hors Canada,amérique du sud,non,1,154362
huile de corde,1,,,non,0,386384
huile de corne de cerf,1,,,non,0,386384
huile de crabette,1,,,non,0,386384
huile de crème,1,,,non,0,386384
huile de cumin,1,,,non,0,386384
huile de dégras,1,,,non,0,386384
huile de faine et de noix,5,,,non,0,386384
huile de farde,1,,,non,0,386384
huile de Flandre,1,,,non,0,386384
huile de flanelle,1,,,non,0,386384
huile de Florence,1,,,non,0,386384
huile de gaïac,1,,,non,0,386384
huile de Garonne,1,,,non,0,386384
huile de genièvre,14,,,non,0,386384
huile de girofle,46,,,non,0,386384
huile de girofle et sassafras,1,,,non,0,386384
huile de girofle et spirituelle,1,,,non,0,386384
huile de grain,4,,,non,0,386384
huile de graine,629,,,non,0,386384
huile de graine d'anis,1,,,non,0,386384
huile de graine d'olive,1,,,non,0,386384
huile de graine de cannelle,1,,,non,0,386384
huile de graine de colza lin navette etc. et de noix,2,,,non,0,386384
huile de graine de girofle,1,,,non,0,386384
huile de graine de lin,3,,,non,0,386384
huile de graine de macis,1,,,non,0,386384
huile de graine de moutarde,1,,,non,0,386384
huile de graine de navette,1,,,non,0,386384
huile de graine de navette et de chanvre,1,,,non,0,386384
huile de graine de poisson,1,,,non,0,386384
huile de graine de Rhodes,1,,,non,0,386384
huile de graine de térébenthine,1,,,non,0,386384
huile de graine et de lin,6,,,non,0,386384
huile de graine et de noix,38,,,non,0,386384
huile de graine grasse,3,,,non,0,386384
huile de grains,5,,,non,0,386384
huile de grains à peintures,0,,,oui,0,386384
huile de grains à peinures,1,,,non,0,386384
huile de graisse,2,,,non,0,386384
huile de graisse de poisson,1,,,non,0,386384
huile de gras,1,,,non,0,386384
huile de gras et de traen pour tanneur,0,,,oui,0,386384
huile de gras et de traens pour tanneurs,1,,,non,0,386384
huile de gras pour tanneur,0,,,oui,0,386384
huile de gras pour tanneurs,1,,,non,0,386384
huile de Haarlem,1,,,non,0,386384
huile de hareng,1,,,non,0,386384
huile de jasmin,17,,,non,0,386384
huile de jasmin et autres fleurs,3,,,non,0,386384
huile de jayet,1,,,non,0,386384
huile de laine,1,,,non,0,386384
huile de laurier,75,,,non,0,386384
huile de lavande,6,,,non,0,386384
huile de lin,842,,,non,0,386384
huile de lin et spirituelle,6,,,non,0,386384
huile de lin pour l'entrepôt pour la Compagnie des Indes,1,,,non,0,386384
huile de loifon,9,,,non,0,386384
huile de loup marin,7,Exclusivement Canada,,non,1,7529
huile de maïs,1,,,non,0,386384
huile de Majorque,1,,,non,0,386384
huile de marjolaine et sauge,1,,,non,0,386384
huile de menthe,1,,,non,0,386384
huile de morne,2,,,non,0,386384
huile de morue,84,Exclusivement Canada,,non,1,7529
huile de muscade,24,,,non,0,386384
huile de navette,179,,,non,0,386384
huile de noisettes,2,,,non,,386384
huile de noix,249,,,non,0,386384
huile de Palma Christi,9,Hors Canada,tropiques,non,1,154362
huile de palme,32,Hors Canada,tropiques,non,1,154362
huile de palmier,1,,,non,1,386384
huile de parfum,4,,,non,0,386384
huile de peinture,1,,,non,0,386384
huile de pierre,1,,,non,0,386384
huile de pignon et ricin,2,,,non,0,386384
huile de pin,1,,,non,0,386384
huile de plantes,1,,,non,1,386384
huile de poisson,1646,Hors Canada,,non,1,154362
huile de poisson des Indes,1,,,non,0,386384
huile de poisson et de lin,1,,,non,0,386384
huile de poisson et poix,1,,,non,0,386384
