goods_simpl_classification,nbr_occurences_simpl,canada_classification,details_provenance,obsolete,imports_des_colonies,nbr_occurences_canada
ancres,5,,,non,0,386384
ancres de chaudon,1,,,non,0,386384
ancres de fer,553,,,non,0,386384
ancres de fer à chaudrons,1,,,non,0,386384
ancres de fer au-dessus de 250 kilogrammes,1,,,non,0,386384
ancres de fer de 250 kilogrammes et au-dessous,1,,,non,0,386384
ancres de fer et embarcations,2,,,non,0,386384
ancres et embarcations,5,,,non,0,386384
ancres et grappins de fer,1,,,non,0,386384
ancres gravelées,1,,,non,0,386384
ancres neuves,3,,,non,0,386384
ancres vides,4,,,non,0,386384
ancres vieilles,1,,,non,,386384
ancres vieilles vides,1,,,non,0,386384
andolium,2,,,non,0,386384
andouilles,43,,,non,0,386384
andouillette,1,,,non,0,386384
ânes,174,,,non,0,386384
ânes et ânesses,9,,,non,0,386384
ânes et mulets,11,,,non,0,386384
ânesses,1,,,non,0,386384
angélique,28,,,non,0,386384
angélique du Rozème,1,,,non,0,386384
anguilles,22,Hors Canada,,non,1,154362
anguilles et truites,1,,,non,0,386384
anguilles fraîches,1,,,non,0,386384
anguilles marinées,1,,,non,0,386384
anguilles salées,22,Hors Canada,,non,1,154362
anille,1,,,non,0,386384
animaux,5,,,non,0,386384
anis,520,,,non,1,386384
anis et rac et rhum etc.,2,,,non,0,386384
anis et sucre,1,,,non,0,386384
anis étoilé,0,,,oui,0,386384
anis vert,94,,,non,0,386384
anis vert à distiller,2,,,non,0,386384
anisette,113,,,non,1,386384
anisette au fiasque,6,,,non,0,386384
anisette de Bordeaux,2,,,non,0,386384
anneau de cuivre,1,,,non,,386384
anneau de fer,2,,,non,0,386384
anneaux de cuivre,1,,,non,0,386384
anneaux de fer,1,,,non,,386384
ânon,2,,,non,0,386384
anspects,124,,,non,0,386384
anspects de 3 à 4 pieds,1,,,non,0,386384
anspects de bois,27,,,non,0,386384
anspects de sapin,1,,,non,0,386384
antale,3,,,non,0,386384
antale et cauris,1,,,non,0,386384
antchibanis,9,,,non,0,386384
antenelle,1,,,non,0,386384
antennes,2,,,non,0,386384
antennes et mâts de bateaux,1,,,non,0,386384
antimoine,221,,,non,0,386384
antimoine cru,27,,,non,0,386384
antimoine métallique et sulfuré,2,,,non,0,386384
antimoine préparé,2,,,non,0,386384
antimoine vert,1,,,non,0,386384
antofle,1,,,non,0,386384
antofle de girofle,11,,,non,0,386384
apasier,1,,,non,1,386384
apier,3,,,non,0,386384
apios,7,,,non,0,386384
apparaux et bâtiments de mer,38,,,non,0,386384
apprêtée à toiler les livres,1,,,non,0,386384
apprêtée pour parchemins,1,,,non,0,386384
arachis olives fraîches,1,,,non,0,386384
arains,6,,,non,0,386384
arak,17,,,non,0,386384
arbalètes,1,,,non,0,386384
arbalètrrie et cartes marines,1,,,non,0,386384
arbres,7,,,non,0,386384
arbres à fruits,2,,,non,0,386384
arbres à planter,142,,,non,0,386384
arbres châtaignier,4,,,non,0,386384
arbres d' ???,1,,,non,0,386384
arbres d'auban,1,,,non,0,386384
arbres de sapin,1,,,non,0,386384
arbres et arbrisseaux,25,,,non,0,386384
arbres et arbrisseaux à fruits,1,,,non,0,386384
arbres et arbrisseaux sauvages,1,,,non,0,386384
arbres et arbustes,6,,,non,0,386384
arbres et plants,1,,,non,0,386384
arbres fruitiers,87,,,non,0,386384
arbres marronniers à planter,1,,,non,0,386384
arbres nains,1,,,non,0,386384
arbres tilleul,3,,,non,0,386384
arbrisseaux,9,,,non,0,386384
arbustes,3,,,non,0,386384
arcanette,1,,,non,0,386384
arcanie,1,,,non,0,386384
arcanson,4,,,non,0,386384
arcanum duplicatum,2,,,non,0,386384
archets de violons,1,,,non,0,386384
archets et violon,1,,,non,0,386384
archiabanis,2,,,non,0,386384
arçons de bas de bois,1,,,non,0,386384
arçons de bois,1,,,non,0,386384
