exportsimports,direction,country_grouping,product_simplification,quantity_unit_ortho,quantity_unit_ajustees,u_conv,q_conv,remarques
Exports,,Divers,,barils,,,,
Exports,,Espagne,,barils,,,,
Exports,,Flandre et autres états de l'Empereur,,barils,,,,
Exports,,Hollande,,barils,,,,
Exports,,Italie,,barils,,,,
Exports,,Levant et Barbarie,,barils,,,,
Exports,,Nord,,barils,,,,
Exports,,Outre-mers,,barils,,,,
Exports,,Portugal,,barils,,,,
Exports,,Suisse,,barils,,,,
Exports,,États-Unis d'Amérique,,barils,,,,
Exports,Amiens,Espagne,,barils,,,,
Exports,Amiens,France,,barils,,,,
Exports,Amiens,Suisse,,barils,,,,
Exports,Bayonne,Allemagne,,barils,,,,
Exports,Bayonne,Angleterre,,barils,,,,
Exports,Bayonne,Espagne,,barils,,,,
Exports,Bayonne,Flandre et autres états de l'Empereur,,barils,,,,
Exports,Bayonne,Hollande,,barils,,,,
Exports,Bayonne,Italie,,barils,,,,
Exports,Bayonne,Nord,,barils,,,,
Exports,Bayonne,Outre-mers,,barils,,,,
Exports,Bayonne,Portugal,,barils,,,,
Exports,Besancon,Italie,,barils,,,,
Exports,Besancon,Suisse,,barils,,,,
Exports,Bordeaux,,,barils,,,,
Exports,Bordeaux,Angleterre,,barils,,,,
Exports,Bordeaux,Hollande,,barils,,,,
Exports,Bordeaux,Nord,,barils,,,,
Exports,Bordeaux,Outre-mers,,barils,,,,
Exports,Bordeaux,Portugal,,barils,,,,
Exports,Bourgogne,Allemagne,,barils,,,,
Exports,Bourgogne,Flandre et autres états de l'Empereur,,barils,,,,
Exports,Bourgogne,Suisse,,barils,,,,
Exports,Caen,Angleterre,,barils,,,,
Exports,Caen,Nord,,barils,,,,
Exports,Charleville,Allemagne,,barils,,,,
Exports,Charleville,Flandre et autres états de l'Empereur,,barils,,,,
Exports,Châlons,Allemagne,,barils,,,,
Exports,Châlons,France,,barils,,,,
Exports,Dunkerque,Outre-mers,,barils,,,,
Exports,Flandre,Flandre et autres états de l'Empereur,,barils,,,,
Exports,France,Outre-mers,,barils,,,,
Exports,La Rochelle,Angleterre,,barils,,,,
Exports,La Rochelle,France,,barils,,,,
Exports,La Rochelle,Hollande,,barils,,,,
Exports,La Rochelle,Outre-mers,,barils,,,,
Exports,Langres,Allemagne,,barils,,,,
Exports,Langres,Suisse,,barils,,,,
Exports,Le Havre,Outre-mers,,barils,,,,
Exports,Lorient,France,,barils,,,,
Exports,Lyon,Italie,,barils,,,,
Exports,Lyon,Suisse,,barils,,,,
Exports,Marseille,Angleterre,,barils,,,,
Exports,Marseille,Espagne,,barils,,,,
Exports,Marseille,France,,barils,,,,
Exports,Marseille,Hollande,,barils,,,,
Exports,Marseille,Italie,,barils,,,,
Exports,Marseille,Levant et Barbarie,,barils,,,,
Exports,Marseille,Nord,,barils,,,,
Exports,Marseille,Outre-mers,,barils,,,,
Exports,Marseille,Portugal,,barils,,,,
Exports,Marseille,Suisse,,barils,,,,
Exports,Montpellier,Hollande,,barils,,,,
Exports,Montpellier,Italie,,barils,,,,
Exports,Nantes,Allemagne,,barils,,,,
Exports,Nantes,Angleterre,,barils,,,,
Exports,Nantes,Espagne,,barils,,,,
Exports,Nantes,Flandre et autres états de l'Empereur,,barils,,,,
Exports,Nantes,Hollande,,barils,,,,
Exports,Nantes,Nord,,barils,,,,
Exports,Nantes,Outre-mers,,barils,,,,
Exports,Nantes,Portugal,,barils,,,,
Exports,Nantes,États-Unis d'Amérique,,barils,,,,
Exports,Rennes,Angleterre,,barils,,,,
Exports,Rennes,Espagne,,barils,,,,
Exports,Rennes,Hollande,,barils,,,,
Exports,Rennes,Italie,,barils,,,,
Exports,Rennes,Nord,,barils,,,,
Exports,Rennes,Outre-mers,,barils,,,,
Exports,Rennes,Portugal,,barils,,,,
Exports,Rennes,Suisse,,barils,,,,
Exports,Rennes,États-Unis d'Amérique,,barils,,,,
Exports,Rouen,,,barils,,,,
Exports,Rouen,Angleterre,,barils,,,,
Exports,Rouen,Espagne,,barils,,,,
Exports,Rouen,France,,barils,,,,
Exports,Rouen,Hollande,,barils,,,,
Exports,Rouen,Italie,,barils,,,,
Exports,Rouen,Levant et Barbarie,,barils,,,,
Exports,Rouen,Nord,,barils,,,,
Exports,Rouen,Outre-mers,,barils,,,,
Exports,Rouen,Portugal,,barils,,,,
Exports,Saint-Malo,Angleterre,,barils,,,,
Exports,Saint-Quentin,Flandre et autres états de l'Empereur,,barils,,,,
Exports,Valenciennes,Flandre et autres états de l'Empereur,,barils,,,,
Imports,,,,barils,,,,
Imports,,Allemagne,,barils,,,,
Imports,,Angleterre,,barils,,,,
Imports,,Divers,,barils,,,,
Imports,,Espagne,,barils,,,,
Imports,,Flandre et autres états de l'Empereur,,barils,,,,
Imports,,Hollande,,barils,,,,
Imports,,Italie,,barils,,,,
Imports,,Nord,,barils,,,,
Imports,,Outre-mers,,barils,,,,
Imports,,Portugal,,barils,,,,
Imports,,Suisse,,barils,,,,
Imports,,États-Unis d'Amérique,,barils,,,,
Imports,Amiens,Angleterre,,barils,,,,
Imports,Amiens,Flandre et autres états de l'Empereur,,barils,,,,
Imports,Amiens,Hollande,,barils,,,,
Imports,Amiens,Nord,,barils,,,,
Imports,Bayonne,Angleterre,,barils,,,,
Imports,Bayonne,Espagne,,barils,,,,
Imports,Bayonne,Flandre et autres états de l'Empereur,,barils,,,,
Imports,Bayonne,Hollande,,barils,,,,
Imports,Bayonne,Nord,,barils,,,,
Imports,Bayonne,Outre-mers,,barils,,,,
Imports,Bayonne,Portugal,,barils,,,,
Imports,Bordeaux,Angleterre,,barils,,,,
Imports,Bordeaux,Espagne,,barils,,,,
Imports,Bordeaux,Hollande,,barils,,,,
Imports,Bordeaux,Nord,,barils,,,,
Imports,Bordeaux,Outre-mers,,barils,,,,
Imports,Bourgogne,Allemagne,,barils,,,,
Imports,Bourgogne,Suisse,,barils,,,,
Imports,Caen,Angleterre,,barils,,,,
Imports,Caen,Flandre et autres états de l'Empereur,,barils,,,,
Imports,Caen,Hollande,,barils,,,,
Imports,Caen,Nord,,barils,,,,
Imports,Charleville,Allemagne,,barils,,,,
Imports,Charleville,Flandre et autres états de l'Empereur,,barils,,,,
Imports,Châlons,Allemagne,,barils,,,,
Imports,Flandre,Allemagne,,barils,,,,
Imports,Flandre,Angleterre,,barils,,,,
Imports,Flandre,Flandre et autres états de l'Empereur,,barils,,,,
Imports,Grenoble,Italie,,barils,,,,
Imports,"Grenoble, Lyon et Marseille",Italie,,barils,,,,
Imports,La Rochelle,Angleterre,,barils,,,,
Imports,La Rochelle,Espagne,,barils,,,,
Imports,La Rochelle,Flandre et autres états de l'Empereur,,barils,,,,
Imports,La Rochelle,France,,barils,,,,
Imports,La Rochelle,Hollande,,barils,,,,
Imports,La Rochelle,Nord,,barils,,,,
Imports,La Rochelle,Outre-mers,,barils,,,,
Imports,La Rochelle,Portugal,,barils,,,,
Imports,Langres,Allemagne,,barils,,,,
Imports,Langres,Suisse,,barils,,,,
Imports,Lorient,Angleterre,,barils,,,,
Imports,Lorient,Hollande,,barils,,,,
Imports,Lorient,Nord,,barils,,,,
Imports,Lorient,États-Unis d'Amérique,,barils,,,,
Imports,Lyon,Italie,,barils,,,,
Imports,Lyon,Suisse,,barils,,,,
Imports,Marseille,Angleterre,,barils,,,,
Imports,Marseille,Espagne,,barils,,,,
Imports,Marseille,France,,barils,,,,
Imports,Marseille,Hollande,,barils,,,,
Imports,Marseille,Italie,,barils,,,,
Imports,Marseille,Levant et Barbarie,,barils,,,,
Imports,Marseille,Nord,,barils,,,,
Imports,Marseille,Outre-mers,,barils,,,,
Imports,Montpellier,Angleterre,,barils,,,,
Imports,Montpellier,Espagne,,barils,,,,
Imports,Montpellier,France,,barils,,,,
Imports,Montpellier,Hollande,,barils,,,,
Imports,Nantes,Allemagne,,barils,,,,
Imports,Nantes,Angleterre,,barils,,,,
Imports,Nantes,Espagne,,barils,,,,
Imports,Nantes,Flandre et autres états de l'Empereur,,barils,,,,
Imports,Nantes,Hollande,,barils,,,,
Imports,Nantes,Nord,,barils,,,,
Imports,Nantes,Outre-mers,,barils,,,,
Imports,Nantes,Portugal,,barils,,,,
Imports,Nantes,États-Unis d'Amérique,,barils,,,,
Imports,Narbonne,Espagne,,barils,,,,
Imports,Rennes,Angleterre,,barils,,,,
Imports,Rennes,Espagne,,barils,,,,
Imports,Rennes,Flandre et autres états de l'Empereur,,barils,,,,
Imports,Rennes,Hollande,,barils,,,,
Imports,Rennes,Italie,,barils,,,,
Imports,Rennes,Nord,,barils,,,,
Imports,Rennes,Outre-mers,,barils,,,,
Imports,Rennes,Portugal,,barils,,,,
Imports,Rennes,États-Unis d'Amérique,,barils,,,,
Imports,Rouen,Angleterre,,barils,,,,
Imports,Rouen,Espagne,,barils,,,,
Imports,Rouen,Flandre et autres états de l'Empereur,,barils,,,,
Imports,Rouen,Hollande,,barils,,,,
Imports,Rouen,Nord,,barils,,,,
Imports,Rouen,Outre-mers,,barils,,,,
Imports,Saint-Quentin,Allemagne,,barils,,,,
Imports,Saint-Quentin,Flandre et autres états de l'Empereur,,barils,,,,
Imports,Toulon,France,,barils,,,,
Imports,Toulon,Italie,,barils,,,,
Imports,Valenciennes,Flandre et autres états de l'Empereur,,barils,,,,
Exports,Marseille,????,???,barils,,,,
Exports,,Allemagne,Allemagne,barils,,,,
Exports,Bayonne,Allemagne,Allemagne,barils,,,,
Exports,Bourgogne,Allemagne,Allemagne,barils,,,,
Exports,Châlons,Allemagne,Allemagne,barils,,,,
Exports,Langres,Allemagne,Allemagne,barils,,,,
Exports,Nantes,Allemagne,Allemagne,barils,,,,
Imports,,Allemagne,Allemagne,barils,,,,
Imports,Bourgogne,Allemagne,Allemagne,barils,,,,
Imports,Charleville,Allemagne,Allemagne,barils,,,,
Imports,Châlons,Allemagne,Allemagne,barils,,,,
Imports,Flandre,Allemagne,Allemagne,barils,,,,
Imports,Langres,Allemagne,Allemagne,barils,,,,
Imports,Nantes,Allemagne,Allemagne,barils,,,,
Exports,Charleville,Allemagne,"Allemagne, Lorraine et Pays de Liège",barils,,,,
Exports,Châlons,Allemagne,"Allemagne, Lorraine et Pays de Liège",barils,,,,
Exports,Langres,Allemagne,"Allemagne, Lorraine et Pays de Liège",barils,,,,
Imports,Bourgogne,Allemagne,"Allemagne, Lorraine et Pays de Liège",barils,,,,
Imports,Charleville,Allemagne,"Allemagne, Lorraine et Pays de Liège",barils,,,,
Imports,Châlons,Allemagne,"Allemagne, Lorraine et Pays de Liège",barils,,,,
Imports,Langres,Allemagne,"Allemagne, Lorraine et Pays de Liège",barils,,,,
Imports,Saint-Quentin,Allemagne,"Allemagne, Lorraine et Pays de Liège",barils,,,,
Exports,Châlons,France,Alsace,barils,,,,
Exports,Nantes,Outre-mers,Amériques,barils,,,,
Exports,,Angleterre,Angleterre,barils,,,,
Exports,Bayonne,Angleterre,Angleterre,barils,,,,
Exports,Bordeaux,Angleterre,Angleterre,barils,,,,
Exports,Caen,Angleterre,Angleterre,barils,,,,
Exports,La Rochelle,Angleterre,Angleterre,barils,,,,
Exports,Marseille,Angleterre,Angleterre,barils,,,,
Exports,Nantes,Angleterre,Angleterre,barils,,,,
Exports,Rennes,Angleterre,Angleterre,barils,,,,
Exports,Rouen,Angleterre,Angleterre,barils,,,,
Exports,Saint-Malo,Angleterre,Angleterre,barils,,,,
Imports,,Angleterre,Angleterre,barils,,,,
Imports,Amiens,Angleterre,Angleterre,barils,,,,
Imports,Bayonne,Angleterre,Angleterre,barils,,,,
Imports,Bordeaux,Angleterre,Angleterre,barils,,,,
Imports,Caen,Angleterre,Angleterre,barils,,,,
Imports,Flandre,Angleterre,Angleterre,barils,,,,
Imports,La Rochelle,Angleterre,Angleterre,barils,,,,
Imports,Lorient,Angleterre,Angleterre,barils,,,,
Imports,Marseille,Angleterre,Angleterre,barils,,,,
Imports,Montpellier,Angleterre,Angleterre,barils,,,,
Imports,Nantes,Angleterre,Angleterre,barils,,,,
Imports,Rennes,Angleterre,Angleterre,barils,,,,
Imports,Rouen,Angleterre,Angleterre,barils,,,,
Imports,Nantes,Flandre et autres états de l'Empereur,Bruges,barils,,,,
Exports,Nantes,Espagne,Cadix,barils,,,,
Exports,Bordeaux,Outre-mers,Cayenne et Guyane,barils,,,,
Exports,Le Havre,Outre-mers,Cayenne et Guyane,barils,,,,
Imports,Marseille,France,Corse,barils,,,,
Exports,,Nord,Danemark,barils,,,,
Exports,Caen,Nord,Danemark,barils,,,,
Exports,Marseille,Nord,Danemark,barils,,,,
Exports,Nantes,Nord,Danemark,barils,,,,
Exports,Rennes,Nord,Danemark,barils,,,,
Exports,Rouen,Nord,Danemark,barils,,,,
Imports,,Nord,Danemark,barils,,,,
Imports,Amiens,Nord,Danemark,barils,,,,
Imports,Bayonne,Nord,Danemark,barils,,,,
Imports,Bordeaux,Nord,Danemark,barils,,,,
Imports,La Rochelle,Nord,Danemark,barils,,,,
Imports,Lorient,Nord,Danemark,barils,,,,
Imports,Marseille,Nord,Danemark,barils,,,,
Imports,Nantes,Nord,Danemark,barils,,,,
Imports,Rennes,Nord,Danemark,barils,,,,
Imports,Rouen,Nord,Danemark,barils,,,,
Imports,,Nord,Danemark et Norvège,barils,,,,
Imports,Nantes,Nord,Danemark et Norvège,barils,,,,
Imports,Rouen,Nord,Danemark et Norvège,barils,,,,
Exports,Marseille,France,Dunkerque,barils,,,,
Exports,,Espagne,Espagne,barils,,,,
Exports,Amiens,Espagne,Espagne,barils,,,,
Exports,Bayonne,Espagne,Espagne,barils,,,,
Exports,Marseille,Espagne,Espagne,barils,,,,
Exports,Nantes,Espagne,Espagne,barils,,,,
Exports,Rennes,Espagne,Espagne,barils,,,,
Exports,Rouen,Espagne,Espagne,barils,,,,
Imports,,Espagne,Espagne,barils,,,,
Imports,Bayonne,Espagne,Espagne,barils,,,,
Imports,Bordeaux,Espagne,Espagne,barils,,,,
Imports,La Rochelle,Espagne,Espagne,barils,,,,
Imports,Marseille,Espagne,Espagne,barils,,,,
Imports,Montpellier,Espagne,Espagne,barils,,,,
Imports,Nantes,Espagne,Espagne,barils,,,,
Imports,Narbonne,Espagne,Espagne,barils,,,,
Imports,Rennes,Espagne,Espagne,barils,,,,
Imports,Rouen,Espagne,Espagne,barils,,,,
Exports,Bayonne,Espagne,Espagne et ses colonies,barils,,,,
Exports,Rennes,Espagne,Espagne et ses colonies,barils,,,,
Exports,Rouen,Espagne,Espagne et ses colonies,barils,,,,
Imports,,Espagne,Espagne et ses colonies,barils,,,,
Imports,Nantes,Espagne,Espagne et ses colonies,barils,,,,
Imports,Narbonne,Espagne,Espagne et ses colonies,barils,,,,
Imports,Rennes,Espagne,Espagne et ses colonies,barils,,,,
Exports,,Divers,"Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",barils,,,,
Imports,,Divers,"Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",barils,,,,
Imports,Rouen,Nord,Fer-blanc de 600 feuilles,barils,,,,
Exports,,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Exports,Bayonne,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Exports,Bourgogne,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Exports,Charleville,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Exports,Flandre,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Exports,Nantes,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Exports,Saint-Quentin,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Imports,,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Imports,Amiens,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Imports,Bayonne,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Imports,Caen,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Imports,Charleville,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Imports,Flandre,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Imports,La Rochelle,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Imports,Nantes,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Imports,Rennes,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Imports,Rouen,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Imports,Saint-Quentin,Flandre et autres états de l'Empereur,Flandre,barils,,,,
Exports,,Suisse,Genève,barils,,,,
Imports,,Suisse,Genève,barils,,,,
Exports,Marseille,Italie,Genève et Piémont,barils,,,,
Exports,Amiens,Suisse,Genève et Suisse,barils,,,,
Exports,Bourgogne,Suisse,Genève et Suisse,barils,,,,
Exports,Langres,Suisse,Genève et Suisse,barils,,,,
Exports,Lyon,Suisse,Genève et Suisse,barils,,,,
Exports,Marseille,Suisse,Genève et Suisse,barils,,,,
Imports,Lyon,Suisse,Genève et Suisse,barils,,,,
Exports,Besancon,Suisse,"Genève, Suisse et ses alliés",barils,,,,
Imports,Nantes,Nord,Gothembourg,barils,,,,
Exports,Bordeaux,Outre-mers,Guadeloupe,barils,,,,
Exports,Le Havre,Outre-mers,Guadeloupe,barils,,,,
Exports,,Outre-mers,Guinée,barils,,,,
Exports,Bordeaux,Outre-mers,Guinée,barils,,,,
Exports,La Rochelle,Outre-mers,Guinée,barils,,,,
Exports,Nantes,Outre-mers,Guinée,barils,,,,
Exports,Rennes,Outre-mers,Guinée,barils,,,,
Exports,Rouen,Outre-mers,Guinée,barils,,,,
Exports,,Outre-mers,Guinée et Sénégal,barils,,,,
Exports,Bordeaux,Outre-mers,Guinée et Sénégal,barils,,,,
Exports,France,Outre-mers,Guinée et Sénégal,barils,,,,
Exports,Le Havre,Outre-mers,Guinée et Sénégal,barils,,,,
Exports,,Italie,Gênes,barils,,,,
Exports,Bayonne,Italie,Gênes,barils,,,,
Exports,Marseille,Italie,Gênes,barils,,,,
Imports,,Italie,Gênes,barils,,,,
Imports,Marseille,Italie,Gênes,barils,,,,
Imports,Rennes,Italie,Gênes,barils,,,,
Imports,Toulon,Italie,Gênes,barils,,,,
Exports,Nantes,Nord,Hambourg,barils,,,,
Imports,Nantes,Nord,Hambourg,barils,,,,
Exports,,Hollande,Hollande,barils,,,,
Exports,Bayonne,Hollande,Hollande,barils,,,,
Exports,Bordeaux,Hollande,Hollande,barils,,,,
Exports,La Rochelle,Hollande,Hollande,barils,,,,
Exports,Marseille,Hollande,Hollande,barils,,,,
Exports,Montpellier,Hollande,Hollande,barils,,,,
Exports,Nantes,Hollande,Hollande,barils,,,,
Exports,Rennes,Hollande,Hollande,barils,,,,
Exports,Rouen,Hollande,Hollande,barils,,,,
Imports,,Hollande,Hollande,barils,,,,
Imports,Amiens,Hollande,Hollande,barils,,,,
Imports,Bayonne,Hollande,Hollande,barils,,,,
Imports,Bordeaux,Hollande,Hollande,barils,,,,
Imports,Caen,Hollande,Hollande,barils,,,,
Imports,La Rochelle,Hollande,Hollande,barils,,,,
Imports,Lorient,Hollande,Hollande,barils,,,,
Imports,Marseille,Hollande,Hollande,barils,,,,
Imports,Montpellier,Hollande,Hollande,barils,,,,
Imports,Nantes,Hollande,Hollande,barils,,,,
Imports,Rennes,Hollande,Hollande,barils,,,,
Imports,Rouen,Hollande,Hollande,barils,,,,
Imports,,Hollande,Inde fine,barils,,,,Aucune information trouvée
Exports,,Outre-mers,Indes,barils,,,,
Exports,La Rochelle,Outre-mers,Indes,barils,,,,
Exports,Marseille,Outre-mers,Indes,barils,,,,
Exports,Nantes,Outre-mers,Indes,barils,,,,
Exports,Rennes,Outre-mers,Indes,barils,,,,
Imports,,Outre-mers,Indes,barils,,,,
Imports,Rennes,Outre-mers,Indes,barils,,,,
Imports,Nantes,Angleterre,Irlande,barils,,,,
Exports,,Italie,Italie,barils,,,,
Exports,Bayonne,Italie,Italie,barils,,,,
Exports,Marseille,Italie,Italie,barils,,,,
Exports,Montpellier,Italie,Italie,barils,,,,
Exports,Rennes,Italie,Italie,barils,,,,
Exports,Rouen,Italie,Italie,barils,,,,
Imports,,Italie,Italie,barils,,,,
Imports,Marseille,Italie,Italie,barils,,,,
Imports,Rennes,Italie,Italie,barils,,,,
Exports,,Levant et Barbarie,Levant,barils,,,,
Exports,Marseille,Levant et Barbarie,Levant,barils,,,,
Exports,Rouen,Levant et Barbarie,Levant,barils,,,,
Imports,Marseille,Levant et Barbarie,Levant,barils,,,,
Exports,Lorient,France,Lorient,barils,,,,
Exports,Rouen,France,Lorient,barils,,,,
Imports,Marseille,France,Lorient,barils,,,,
Exports,Châlons,Allemagne,Lorraine,barils,,,,
Exports,La Rochelle,Outre-mers,Louisiane,barils,,,,
Exports,Amiens,France,Marseille,barils,,,,
Imports,Montpellier,France,Marseille,barils,,,,
Imports,Toulon,France,Marseille,barils,,,,
Exports,Bayonne,Outre-mers,Martinique,barils,,,,
Exports,Bordeaux,Outre-mers,Martinique,barils,,,,
Exports,Le Havre,Outre-mers,Martinique,barils,,,,
Exports,,Italie,Naples,barils,,,,
Imports,,Italie,Naples,barils,,,,
Exports,Marseille,Italie,Naples et Sicile,barils,,,,
Imports,Marseille,Italie,Naples et Sicile,barils,,,,
Imports,Toulon,Italie,"Naples, Sicile et Parme",barils,,,,
Exports,,Nord,Nord,barils,,,,
Exports,Bayonne,Nord,Nord,barils,,,,
Exports,Bordeaux,Nord,Nord,barils,,,,
Exports,Nantes,Nord,Nord,barils,,,,
Exports,Rennes,Nord,Nord,barils,,,,
Exports,Rouen,Nord,Nord,barils,,,,
Imports,,Nord,Nord,barils,,,,
Imports,Bayonne,Nord,Nord,barils,,,,
Imports,Bordeaux,Nord,Nord,barils,,,,
Imports,Caen,Nord,Nord,barils,,,,
Imports,La Rochelle,Nord,Nord,barils,,,,
Imports,Marseille,Nord,Nord,barils,,,,
Imports,Nantes,Nord,Nord,barils,,,,
Imports,Rennes,Nord,Nord,barils,,,,
Imports,Rouen,Nord,Nord,barils,,,,
Exports,Nantes,Nord,Nord (Hanse et Russie),barils,,,,
Exports,Rouen,Nord,Nord (Hanse et Russie),barils,,,,
Imports,Bayonne,Nord,Nord (Hanse et Russie),barils,,,,
Imports,Bordeaux,Nord,Nord (Hanse et Russie),barils,,,,
Imports,La Rochelle,Nord,Nord (Hanse et Russie),barils,,,,
Imports,Marseille,Nord,Nord (Hanse et Russie),barils,,,,
Imports,Nantes,Nord,Nord (Hanse et Russie),barils,,,,
Imports,Rennes,Nord,Nord (Hanse et Russie),barils,,,,
Imports,Rouen,Nord,Nord (Hanse et Russie),barils,,,,
Imports,Nantes,Nord,Norvège,barils,,,,
Exports,La Rochelle,France,Petites Îles,barils,,,,
Exports,Lorient,France,Petites Îles,barils,,,,
Imports,La Rochelle,France,Petites Îles,barils,,,,
Exports,Marseille,Italie,Piémont,barils,,,,
Imports,Marseille,Italie,Piémont,barils,,,,
Exports,Marseille,Italie,Piémont et Savoie,barils,,,,
Imports,,Allemagne,Pologne,barils,,,,
Exports,,Portugal,Portugal,barils,,,,
Exports,Bayonne,Portugal,Portugal,barils,,,,
Exports,Bordeaux,Portugal,Portugal,barils,,,,
Exports,Marseille,Portugal,Portugal,barils,,,,
Exports,Nantes,Portugal,Portugal,barils,,,,
Exports,Rennes,Portugal,Portugal,barils,,,,
Exports,Rouen,Portugal,Portugal,barils,,,,
Imports,,Portugal,Portugal,barils,,,,
Imports,Bayonne,Portugal,Portugal,barils,,,,
Imports,La Rochelle,Portugal,Portugal,barils,,,,
Imports,Nantes,Portugal,Portugal,barils,,,,
Imports,Rennes,Portugal,Portugal,barils,,,,
Imports,Rouen,Nord,Prusse,barils,,,,
Exports,Besancon,Italie,Royaume de Sardaigne,barils,,,,
Exports,Marseille,Italie,Royaume de Sardaigne,barils,,,,
Imports,Grenoble,Italie,Royaume de Sardaigne,barils,,,,
Imports,"Grenoble, Lyon et Marseille",Italie,Royaume de Sardaigne,barils,,,,
Imports,Marseille,Italie,Royaume de Sardaigne,barils,,,,
Exports,,Nord,Russie,barils,,,,
Exports,Rennes,Nord,Russie,barils,,,,
Exports,Rouen,Nord,Russie,barils,,,,
Imports,,Nord,Russie,barils,,,,
Imports,Bordeaux,Nord,Russie,barils,,,,
Imports,La Rochelle,Nord,Russie,barils,,,,
Imports,Nantes,Nord,Russie,barils,,,,
Imports,Rennes,Nord,Russie,barils,,,,
Imports,Rouen,Nord,Russie,barils,,,,
Exports,Bayonne,Outre-mers,Saint-Domingue,barils,,,,
