goods_simpl_classification,nbr_occurences_simpl,grains_classification,obsolete,nbr_occurences_grains
alkermès en grains,23,Pas grain (0),non,539069
allaya,84,Pas grain (0),non,539069
alleaux,1,Pas grain (0),non,539069
allemande de poil,10,Pas grain (0),non,539069
allumettes,54,Pas grain (0),non,539069
allumettes à vin,29,Pas grain (0),non,539069
allumettes de coton,1,Pas grain (0),non,539069
allumettes de mêche soufrée,1,Pas grain (0),non,539069
allumettes droguées,3,Pas grain (0),non,539069
allumettes épicée,2,Pas grain (0),non,539069
allumettes opérées et soufrées,1,Pas grain (0),non,539069
allumettes soufrées,12,Pas grain (0),non,539069
almagro ou crayon rouge,1,Pas grain (0),non,539069
almanachs,1,Pas grain (0),non,539069
almanachs brochés,2,Pas grain (0),non,539069
almanachs en blancs,1,Pas grain (0),non,539069
almanachs enjolivés,1,Pas grain (0),non,539069
almanachs reliés,1,Pas grain (0),non,539069
aloès,229,Pas grain (0),non,539069
aloès cabalin,6,Pas grain (0),non,539069
aloès commun,1,Pas grain (0),non,539069
aloès et opium,2,Pas grain (0),non,539069
aloès hépatique,1,Pas grain (0),non,539069
aloès moyen,2,Pas grain (0),non,539069
aloiset,1,Pas grain (0),non,539069
alose,2,Pas grain (0),non,539069
alose fumée,1,Pas grain (0),non,539069
alose salée,5,Pas grain (0),non,539069
aloues,1,Pas grain (0),non,539069
alouettes,4,Pas grain (0),non,539069
alpargate,37,Pas grain (0),non,539069
alphabets,1,Pas grain (0),non,539069
alpiste,20,Pas grain (0),non,539069
alpiste et millet,9,Pas grain (0),non,539069
alquifoux,479,Pas grain (0),non,539069
alquifoux en galène,2,Pas grain (0),non,539069
alquifoux et mine de plomb,36,Pas grain (0),non,539069
alquifoux mine de plomb ou graphite,23,Pas grain (0),non,539069
alquifoux ou mine de plomb,1,Pas grain (0),non,539069
alquifoux sable plombifère,1,Pas grain (0),non,539069
alquitra,3,Pas grain (0),non,539069
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,Pas grain (0),non,539069
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitares haut-bois serinettes serpent tambours trompettes et violons basses,0,Pas grain (0),oui,539069
alto basses contrebasses guitare lyres violes violons,2,Pas grain (0),non,539069
alto basses contrebasses guitares lyres violes violons,0,Pas grain (0),oui,539069
alto bassons guitare violons,3,Pas grain (0),non,539069
alto bassons guitares violons,0,Pas grain (0),oui,539069
aluchiabanis,3,Pas grain (0),non,539069
alun,1872,Pas grain (0),non,539069
alun à cordonnier,1,Pas grain (0),non,539069
alun autre que brûlé ou calciné,2,Pas grain (0),non,539069
alun bon,2,Pas grain (0),non,539069
alun brûlé,1,Pas grain (0),non,539069
alun commun,1,Pas grain (0),non,539069
alun de glace,1,Pas grain (0),non,539069
alun de roche,5,Pas grain (0),non,539069
alun de Rome,3,Pas grain (0),non,539069
alun de Rome fin rosé,1,Pas grain (0),non,539069
alun de Rouen,2,Pas grain (0),non,539069
alun de Surde,2,Pas grain (0),non,539069
alun du Levant,1,Pas grain (0),non,539069
alun en dracy,1,Pas grain (0),non,539069
alun en rame,1,,non,1391
alun gâté,1,Pas grain (0),non,539069
alun ordinaire,1,Pas grain (0),non,539069
alvés,2,Pas grain (0),non,539069
amadou,225,Pas grain (0),non,539069
amadou et agaric amadouvier,7,Pas grain (0),non,539069
amandes,1207,Pas grain (0),non,539069
amandes à la praline,4,Pas grain (0),non,539069
amandes amères,1,Pas grain (0),non,539069
amandes arachis noisettes noix noyaux,2,Pas grain (0),non,539069
amandes cassée,6,Pas grain (0),non,539069
amandes cassées,384,Pas grain (0),non,539069
amandes cassées ou en coque,3,Pas grain (0),non,539069
amandes courtes,1,Pas grain (0),non,539069
amandes douces,4,Pas grain (0),non,539069
amandes en coque,300,Pas grain (0),non,539069
amandes et figue et raisin,24,Pas grain (0),non,539069
amandes et pelures et prunes et raisin,1,Pas grain (0),non,539069
amandes et pruneaux,2,Pas grain (0),non,539069
amandes et raisin sec,2,Pas grain (0),non,539069
amandes et raisin sec et savon,1,Pas grain (0),non,539069
amandes et savon,2,Pas grain (0),non,539069
amandes et sucre,1,Pas grain (0),non,539069
amandes et verdet,1,Pas grain (0),non,539069
amandes et vert-de-gris,0,Pas grain (0),oui,539069
amandes fraîches,1,Pas grain (0),non,539069
amandes longues,1,Pas grain (0),non,539069
amandes mondées,2,Pas grain (0),non,539069
amandes sèches,64,Pas grain (0),non,539069
amandes sèches et figue sèche et ???,9,Pas grain (0),non,539069
amandes sèches et figue sèche et raisin sec,135,Pas grain (0),non,539069
amaril,1,Pas grain (0),oui,539069
amarine,1,Pas grain (0),non,539069
ambrain à grande barrique,1,Pas grain (0),non,539069
ambre,42,Pas grain (0),non,539069
ambre blanc,1,Pas grain (0),non,539069
ambre brut,1,Pas grain (0),non,539069
ambre carabé,21,Pas grain (0),non,539069
ambre carabé jaune,2,Pas grain (0),non,539069
ambre en grains,1,,non,1391
ambre et corail,1,Pas grain (0),non,539069
ambre gris,36,Pas grain (0),non,539069
ambre gris castoréum civette musc,0,Pas grain (0),oui,539069
ambre jaune,72,Pas grain (0),non,539069
ambre moulu,2,Pas grain (0),non,539069
ameny,1,Pas grain (0),oui,539069
amer,3,Pas grain (0),non,539069
amer de laine,1,Pas grain (0),non,539069
amertis,4,Pas grain (0),non,539069
ameublement,2,Pas grain (0),non,539069
ameublement de chitte,1,Pas grain (0),non,539069
ami de toilé,1,Pas grain (0),non,539069
amidon,1166,Pas grain (0),non,539069
amidon alun,1,,non,1391
amidon en grains,1,Pas grain (0),non,539069
amidon en poudre,1,,non,1391
amidon et poudre à poudrer,1,Pas grain (0),non,539069
ammoniac,7,Pas grain (0),non,539069
ammoniac et sel,21,Pas grain (0),non,539069
ammonium,1,Pas grain (0),non,539069
amomum,14,Pas grain (0),non,539069
amomum et fèves de tonka et noix de ravensara,2,Pas grain (0),non,539069
amomum verum,2,Pas grain (0),non,539069
amurca,4,Pas grain (0),non,539069
anabasse,121,Pas grain (0),non,539069
anabasse ; bajutapau,3,,non,1391
anabasse ; corat ; nicaneas ; platille,2,,non,1391
anacardes,2,Pas grain (0),non,539069
anacoste,3,Pas grain (0),non,539069
ananas,1,Pas grain (0),non,539069
ananas confit,2,Pas grain (0),non,539069
ananas et pommes de grenade,1,Pas grain (0),non,539069
ananas planté,1,Pas grain (0),non,539069
anatomie,1,Pas grain (0),non,539069
anatose,3,Pas grain (0),non,539069
anches de tonneaux,2,Pas grain (0),non,539069
anchois,851,Pas grain (0),non,539069
anchois câpres et olives,10,Pas grain (0),non,539069
anchois câpres etc.,1,Pas grain (0),non,539069
anchois câpres olives,1,Pas grain (0),non,539069
anchois et boutargue,13,Pas grain (0),non,539069
anchois et câpres,5,Pas grain (0),non,539069
anchois et sardes,1,Pas grain (0),non,539069
anchois et sardines,5,Pas grain (0),non,539069
anchois mariné,6,Pas grain (0),non,539069
anchois mariné et salé,39,Pas grain (0),non,539069
anchois salé et mariné,2,Pas grain (0),non,539069
anchois salés,5,Pas grain (0),non,539069
anchois salés et marinés,9,Pas grain (0),non,539069
ancres,5,Pas grain (0),non,539069
ancres de chaudon,1,Pas grain (0),non,539069
ancres de fer,553,Pas grain (0),non,539069
ancres de fer à chaudrons,1,Pas grain (0),non,539069
ancres de fer au-dessus de 250 kilogrammes,1,Pas grain (0),non,539069
ancres de fer de 250 kilogrammes et au-dessous,1,Pas grain (0),non,539069
ancres de fer et embarcations,2,Pas grain (0),non,539069
ancres et embarcations,5,Pas grain (0),non,539069
ancres et grappins de fer,1,Pas grain (0),non,539069
ancres gravelées,1,Pas grain (0),non,539069
ancres neuves,3,Pas grain (0),non,539069
ancres vides,4,Pas grain (0),non,539069
ancres vieilles,1,,non,1391
ancres vieilles vides,1,Pas grain (0),non,539069
andolium,2,Pas grain (0),non,539069
andouilles,43,Pas grain (0),non,539069
andouillette,1,Pas grain (0),non,539069
ânes,174,Pas grain (0),non,539069
ânes et ânesses,9,Pas grain (0),non,539069
ânes et mulets,11,Pas grain (0),non,539069
ânesses,1,Pas grain (0),non,539069
angélique,28,Pas grain (0),non,539069
angélique du Rozème,1,Pas grain (0),non,539069
anguilles,22,Pas grain (0),non,539069
anguilles et truites,1,Pas grain (0),non,539069
anguilles fraîches,1,Pas grain (0),non,539069
anguilles marinées,1,Pas grain (0),non,539069
anguilles salées,22,Pas grain (0),non,539069
anille,1,Pas grain (0),non,539069
animaux,5,Pas grain (0),non,539069
anis,520,Pas grain (0),non,539069
anis et rac et rhum etc.,2,Pas grain (0),non,539069
anis et sucre,1,Pas grain (0),non,539069
anis étoilé,0,Pas grain (0),oui,539069
anis vert,94,Pas grain (0),non,539069
anis vert à distiller,2,Pas grain (0),non,539069
anisette,113,Pas grain (0),non,539069
anisette au fiasque,6,Pas grain (0),non,539069
anisette de Bordeaux,2,Pas grain (0),non,539069
anneau de cuivre,1,,non,1391
anneau de fer,2,Pas grain (0),non,539069
anneaux de cuivre,1,Pas grain (0),non,539069
anneaux de fer,1,,non,1391
ânon,2,Pas grain (0),non,539069
anspects,124,Pas grain (0),non,539069
anspects de 3 à 4 pieds,1,Pas grain (0),non,539069
anspects de bois,27,Pas grain (0),non,539069
anspects de sapin,1,Pas grain (0),non,539069
antale,3,Pas grain (0),non,539069
antale et cauris,1,Pas grain (0),non,539069
antchibanis,9,Pas grain (0),non,539069
antenelle,1,Pas grain (0),non,539069
antennes,2,Pas grain (0),non,539069
antennes et mâts de bateaux,1,Pas grain (0),non,539069
antimoine,221,Pas grain (0),non,539069
antimoine cru,27,Pas grain (0),non,539069
antimoine métallique et sulfuré,2,Pas grain (0),non,539069
antimoine préparé,2,Pas grain (0),non,539069
antimoine vert,1,Pas grain (0),non,539069
antofle,1,Pas grain (0),non,539069
antofle de girofle,11,Pas grain (0),non,539069
apasier,1,Pas grain (0),non,539069
apier,3,Pas grain (0),non,539069
apios,7,Pas grain (0),non,539069
apparaux et bâtiments de mer,38,Pas grain (0),non,539069
apprêtée à toiler les livres,1,Pas grain (0),non,539069
apprêtée pour parchemins,1,Pas grain (0),non,539069
arachis olives fraîches,1,Pas grain (0),non,539069
arains,6,Pas grain (0),non,539069
arak,17,Pas grain (0),non,539069
arbalètes,1,Pas grain (0),non,539069
arbalètrrie et cartes marines,1,Pas grain (0),non,539069
arbres,7,Pas grain (0),non,539069
arbres à fruits,2,Pas grain (0),non,539069
arbres à planter,142,Pas grain (0),non,539069
arbres châtaignier,4,Pas grain (0),non,539069
arbres d' ???,1,Pas grain (0),non,539069
arbres d'auban,1,Pas grain (0),non,539069
arbres de sapin,1,Pas grain (0),non,539069
arbres et arbrisseaux,25,Pas grain (0),non,539069
arbres et arbrisseaux à fruits,1,Pas grain (0),non,539069
arbres et arbrisseaux sauvages,1,Pas grain (0),non,539069
arbres et arbustes,6,Pas grain (0),non,539069
arbres et plants,1,Pas grain (0),non,539069
arbres fruitiers,87,Pas grain (0),non,539069
arbres marronniers à planter,1,Pas grain (0),non,539069
arbres nains,1,Pas grain (0),non,539069
arbres tilleul,3,Pas grain (0),non,539069
arbrisseaux,9,Pas grain (0),non,539069
arbustes,3,Pas grain (0),non,539069
arcanette,1,Pas grain (0),non,539069
arcanie,1,Pas grain (0),non,539069
arcanson,4,Pas grain (0),non,539069
arcanum duplicatum,2,Pas grain (0),non,539069
archets de violons,1,Pas grain (0),non,539069
archets et violon,1,Pas grain (0),non,539069
archiabanis,2,Pas grain (0),non,539069
arçons de bas de bois,1,Pas grain (0),non,539069
arçons de bois,1,Pas grain (0),non,539069
arçons de selles,14,Pas grain (0),non,539069
arçons démontés,1,Pas grain (0),non,539069
ardoise,365,Pas grain (0),non,539069
ardoise à piler,1,Pas grain (0),non,539069
ardoise commune,2,Pas grain (0),non,539069
ardoise dite chérubin et à mortier,1,Pas grain (0),non,539069
ardoise dite grande voisine,1,Pas grain (0),non,539069
ardoise dite moyenne voisine,1,Pas grain (0),non,539069
ardoise dite petite voisine,1,Pas grain (0),non,539069
ardoise dite voisine grande moyenne et petite,2,Pas grain (0),non,539069
ardoise en carreaux,1,Pas grain (0),non,539069
ardoise en carreaux et d'1 pied carré,1,Pas grain (0),non,539069
ardoise en carreaux ou en table,7,Pas grain (0),non,539069
ardoise en livret,1,Pas grain (0),non,539069
ardoise encadrée,1,Pas grain (0),non,539069
ardoise encadrée et en livret,1,Pas grain (0),non,539069
ardoise non travaillée,1,Pas grain (0),non,539069
ardoise pour fenêtre,6,Pas grain (0),non,539069
ardoise pour toiture,8,Pas grain (0),non,539069
ardoise pour toiture au kilogramme,1,Pas grain (0),non,539069
ardoise pour toiture au nombre,2,Pas grain (0),non,539069
ardoise verte,1,Pas grain (0),non,539069
ardoises,0,Pas grain (0),oui,539069
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,Pas grain (0),non,539069
arelles de baleine,1,,non,1391
argent,11,Pas grain (0),non,539069
argent battu,1,Pas grain (0),non,539069
argent battu et en feuille,2,Pas grain (0),non,539069
argent battu filé laminé et tiré,3,Pas grain (0),non,539069
argent brisé et en lingots et en masses,1,Pas grain (0),non,539069
argent brûlé,1,Pas grain (0),non,539069
argent brut,1,Pas grain (0),non,539069
argent brut en lingot et en masse ouvrages détruits,2,Pas grain (0),non,539069
argent carragoux,2,Pas grain (0),non,539069
argent en barils,1,Pas grain (0),non,539069
argent en barres,2,Pas grain (0),non,539069
argent en lingots,18,Pas grain (0),non,539069
argent en lingots par Calais,1,Pas grain (0),non,539069
argent et or,237,Pas grain (0),non,539069
argent et or billon,1,Pas grain (0),non,539069
argent faux,9,Pas grain (0),non,539069
argent faux en fil cantilles etc.,2,Pas grain (0),non,539069
argent faux et or faux,53,Pas grain (0),non,539069
argent faux et or faux traits,1,Pas grain (0),non,539069
argent fin,1,Pas grain (0),non,539069
argent monnayé et nogat d'or,4,Pas grain (0),non,539069
argent talari,0,Pas grain (0),oui,539069
argent vif,3,Pas grain (0),non,539069
argenterie,732,Pas grain (0),non,539069
argenterie épée,7,Pas grain (0),non,539069
argenterie et bijouterie,14,Pas grain (0),non,539069
argenterie et bijouterie et orfèvrerie,1,Pas grain (0),non,539069
argenterie et orfévrerie,0,Pas grain (0),oui,539069
argenterie et orfèvrerie,122,Pas grain (0),non,539069
argenterie et orfèvrerie vermeil,37,Pas grain (0),non,539069
argenterie neuve,4,Pas grain (0),non,539069
argenterie vieille,12,Pas grain (0),non,539069
argile et terre pour engrais,15,Pas grain (0),non,539069
arins,1,Pas grain (0),non,539069
aristoloche,68,Pas grain (0),non,539069
armement de tables,3,Pas grain (0),non,539069
armes,251,Pas grain (0),non,539069
armes à feu,368,Pas grain (0),non,539069
armes à feu de guerre,2,Pas grain (0),non,539069
armes à feu de guerre et de traite,1,Pas grain (0),non,539069
armes à feu de guerre portatives,2,Pas grain (0),non,539069
armes à feu de luxe,4,Pas grain (0),non,539069
armes à feu de luxe ou de traite,3,Pas grain (0),non,539069
armes à feu de munitions,2,Pas grain (0),non,539069
armes à feu de munitions fines,4,Pas grain (0),non,539069
armes à feu de traite,1,Pas grain (0),non,539069
armes à feu et artillerie,1,Pas grain (0),non,539069
armes à feu et de traite,1,Pas grain (0),non,539069
armes à feu et fusils,1,Pas grain (0),non,539069
armes armureries,1,Pas grain (0),non,539069
armes autres que de guerre à feu,1,Pas grain (0),non,539069
armes autres que de guerre blanches,1,Pas grain (0),non,539069
armes blanches,201,Pas grain (0),non,539069
armes blanches de guerre,1,Pas grain (0),non,539069
armes blanches de guerre et de traite,1,Pas grain (0),non,539069
armes blanches de luxe,2,Pas grain (0),non,539069
armes blanches de luxe ou de traite,3,Pas grain (0),non,539069
armes blanches de traite,1,Pas grain (0),non,539069
armes de chasse ou de luxe à feu,2,Pas grain (0),non,539069
armes de chasse ou de luxe blanches,2,Pas grain (0),non,539069
armes de guerre,2,Pas grain (0),non,539069
armes différentes,1,Pas grain (0),non,539069
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,Pas grain (0),non,539069
armes et munitions,9,Pas grain (0),non,539069
armes lames,1,Pas grain (0),non,539069
armes remontrances,1,Pas grain (0),non,539069
armoires,57,Pas grain (0),non,539069
armoires ayant servi,1,Pas grain (0),non,539069
armoires d'acajou,12,Pas grain (0),non,539069
armoires de bois,1,Pas grain (0),non,539069
armoires de bois de noyer,1,Pas grain (0),non,539069
armoires de bois de sapin peintes,1,Pas grain (0),non,539069
armoires de bois des Indes,1,Pas grain (0),non,539069
armoires de chêne,9,Pas grain (0),non,539069
armoires de chêne ornée,1,Pas grain (0),non,539069
armoires de noyer,9,Pas grain (0),non,539069
armoires de sapin,3,Pas grain (0),non,539069
armoires et commodes,1,Pas grain (0),non,539069
armoires vieilles,2,Pas grain (0),non,539069
armoisin,46,Pas grain (0),non,539069
armure de fer,1,Pas grain (0),non,539069
armure vieille,1,Pas grain (0),non,539069
arnas,1,Pas grain (0),non,539069
arpois,1,Pas grain (0),non,539069
arquebuse,1,Pas grain (0),non,539069
arrangas,1,Pas grain (0),non,539069
arrosoirs,6,Pas grain (0),non,539069
arrosoirs de bois,2,Pas grain (0),non,539069
arrosoirs de cuivre,1,Pas grain (0),non,539069
arrosoirs de fer,1,,non,1391
arrosoirs de fer-blanc,6,Pas grain (0),non,539069
arrosoirs de sapin,1,Pas grain (0),non,539069
