marchandises,orthographic_normalization_class,état_du_travail,nbr_occurences_source,nbr_occurences_ortho
Garance,garance,,823,964
Garance ; billon,garance billons,,14,35
Garance ; bilon,garance billons,,1,35
Garance ; commune,garance commune,,24,50
Garance ; comune,garance commune,,1,50
Garance ; diverses,garance diverse,,18,18
Garance ; en grappe,garance en grappe,,1,2
Garance ; en racine ; sèche ou alisari,garance en racine sèche ou alizari,,4,6
Garance ; en racine ; verte,garance en racine verte,,3,3
Garance ; en racine sèche et alisari,garance en racine sèche ou alizari,,2,6
Garance ; grape,garance grappe,,10,27
Garance ; grapes,garance grappe,,1,27
Garance ; grappe,garance grappe,,3,27
Garance ; moulu ou en paille,garance moulue ou en paille,,2,5
Garance ; moulue,garance moulue,,1,1
Garance ; moulue et en paille,garance moulue et en paille,,2,2
Garance ; moulue ou en paille,garance moulue ou en paille,,2,5
Garance ; non robbee,garance non robée,x,1,46
Garance ; non robée,garance non robée,x,19,46
Garance ; racines de lizary,garance racines d'alizari,x,1,2
Garance ; racins de lizary,garance racines d'alizari,x,1,2
Garance ; sèche ou alisari,garance sèche ou alizari,,1,1
Garance billon,garance billons,,16,35
Garance billots,garance billons,,1,35
Garance bilon,garance billons,,1,35
Garance blanc,garance blanche,x,1,1
Garance commun,garance commune,,1,50
garance commune,garance commune,,2,50
Garance commune,garance commune,,17,50
Garance Commune,garance commune,,1,50
Garance comune,garance commune,,1,50
Garance en grappe,garance en grappe,,1,2
Garance et alizari,garance et alizari,,71,165
Garance et alizary,garance et alizari,,61,165
Garance et alyzary,garance et alizari,,30,165
Garance fine,garance fine,,1,1
Garance grape,garance grappe,,5,27
Garance grappe,garance grappe,,7,27
Garance moulue ou en paille,garance moulue ou en paille,,1,5
garance non preparée,garance non préparée,,1,1
Garance non robé,garance non robée,,3,46
Garance non robée,garance non robée,,22,46
garance préparée,garance préparée,,1,1
Garance robé,garance robée,,1,1
Garances,garance,,7,964
Garancine,garancine,,1,1
Garandolles ; de verre,girandoles de verre,,1,1
Garans fort,garans fort,x,1,1
Garanxe commune,garance commune,,1,50
garas,garas,,10,55
Garas,garas,,42,55
Garas ; blanc,garas blanc,,2,27
garas blanc,garas blanc,,9,27
Garas blanc,garas blanc,,10,27
Garas blanche,garas blanc,,1,27
garas blancs,garas blanc,,1,27
Garas blancs,garas blanc,,3,27
garas bleu,garas bleu,,1,17
garas Bleu,garas bleu,,1,17
Garas bleu,garas bleu,,11,17
garas bleue,garas bleu,,1,17
Garas bleue,garas bleu,,1,17
Garas bleuë,garas bleu,,1,17
Garas Bleuë,garas bleu,,1,17
Garas; blancs,garas blanc,,1,27
Garaz,garas,,1,55
garbeau d'encens,grabeau d'encens,,1,100
Garbeau de cire,grabeau de cire,,3,81
Garbeau de corail,grabeau de corail,,1,26
garbeau de sel armoniac,grabeau de sel ammoniac,,1,5
Garbeau de sené,grabeau de séné,,1,125
Garde ; d'épée ; de cuivre ; doré,garde d'épée de cuivre doré,,1,1
garde feu,garde-feu,,1,3
Garde feu,garde-feu,,1,3
Garde Feu,garde-feu,,1,3
Garde meuble,garde-meuble,,1,2
Garde robbe,garde-robe,,1,7
Garde robbes,garde-robe,,1,7
Garde robe,garde-robe,,1,7
Garde robe de noyer,garde-robe de noyer,,1,1
Garderobbes,garde-robe,,1,7
Garderobe,garde-robe,,2,7
Garderobes,garde-robe,,1,7
Gardes ; d'epée ; d'argent,gardes d'epée d'argent,,1,1
Gardes ; d'épée ; d'argent,gardes d'épée d'argent,,1,2
Gardes ; d'épées,gardes d'épée,,1,4
Gardes ; d'épées ; argentées,gardes d'épée argentée,,1,1
Gardes ; d'épées et tabatières ; d'argent,gardes d'épée et tabatières d'argent,,1,1
Gardes d'épee d'argent dorée,gardes d'épée d'argent dorée,,1,1
gardes d'épées,gardes d'épée,,1,4
gardes d'épées communs,gardes d'épée commune,,1,1
gardes d'épées d'argent,gardes d'épée d'argent,,1,2
gardes d'épées de cuivre et de fer,gardes d'épée de cuivre et de fer,,1,1
gardes d'épées en acier,gardes d'épée en acier,,1,1
Gardes d'epés,gardes d'épée,,2,4
Gardes meuble,garde-meuble,,1,2
garence,garance,,19,964
Garence,garance,,82,964
Garence ; billon,garance billons,,1,35
Garence ; commune,garance commune,,1,50
Garence ; grape,garance grappe,,1,27
Garence billy,garance billons,,1,35
Garence commun,garance commune,,1,50
Garence et alisary,garance et alizari,,1,165
Garence non robée,garance non robée,,1,46
Garence ou alisary,garance et alizari,,2,165
garences,garance,,1,964
Garenne,garenne,,1,1
Gargouffes,gargousses,x,1,1
Garnas,garnas,x,1,1
Garniture ; de blonde,garniture de blonde,,1,1
Garniture ; de commodes,garniture de commode,,1,4
Garniture ; de dentelle,garniture de dentelle,,1,1
Garniture ; de lit,garniture de lit,,2,3
Garniture ; de lit ; ayant servi,garniture de lit ayant servi,,1,1
garniture ; de toilette,garniture de toilettes,,1,2
Garniture ; de toilette,garniture de toilettes,,1,2
garniture de carosses,garniture de carrosses,,1,1
Garniture de fauteuille,garniture de fauteuil,,1,1
Garniture de lin,garniture de lin,,1,1
Garniture de lit,garniture de lit,,1,3
Garniture de Lit Vieille,garniture de lit vieille,,1,1
Garnitureisles,garniture îles,,1,1
Garnitures,garniture,,2,2
Garnitures ; de bride,garniture de brides,,1,1
Garnitures ; de commode,garniture de commode,,2,4
Garnitures ; de gaze,garniture de gaze,,1,2
Garnitures ; de robes,garniture de robes,,1,1
Garnitures ; de robes ; de femme,garniture de robes de femme,,1,1
Garnitures de cabrouets,garniture de cabrouets,,1,1
Garnitures de comodes,garniture de commode,,1,4
Garnitures de gaze,garniture de gaze,,1,2
Garnitures de gaze noire,garniture de gaze noire,,1,1
Garnitures de lit de Soye des Indes,garniture de lit de soie des Indes,,1,1
Garnitures de pierres fines,garniture de pierres fines,,1,1
Garnitures de selles,garniture de selles,,1,1
garnitures des fusils,garniture de fusils,,1,1
Garos,garos,,1,1
Garou (Racine de),racine de garou,,1,1
Garrance,garance,,2,964
Garras,garras,x,4,4
Garras bleu,garras bleu,,1,1
Garres,garres,x,4,5
Garrés,garres,x,1,5
Garres de terre,garres de terre,x,1,2
Garres de Terre,garres de terre,x,1,2
Gase,gaze,,1,39
Gase ; a peu,gaze à peu,,1,3
Gase ; au 6è de soie,gaze au sixième de soie,,1,10
Gase ; de fil,gaze de fil,,1,56
Gase ; de fil ; dite Marty,gaze de fil dite Marly,,1,1
Gase ; de soie,gaze de soie,,3,497
Gase ; de soie ; brodée,gaze de soie brodée,,1,4
Gase ; de soie ; platrée,gaze de soie plâtrée,,1,3
Gase ; de soye,gaze de soie,,1,497
Gase ; mouchoirs,gaze mouchoirs,,1,3
Gase à peu de soye,gaze à peu de soie,,1,25
Gase de soie de renvoi,gaze de soie de renvoi,,1,1
Gase de soye,gaze de soie,,3,497
Gase fond argent,gaze fond argent,,1,1
"Gases, crêpes, mouchoirs et rubans de soie",gazes crêpe mouchoirs et ruban de soie,,7,7
Gasn de fil,gants de fil,,1,28
Gasn de peaux,gants de peaux,,1,1
gateaux de miel,gâteaux de miel,,1,1
Gateux de fleur d'orange,gâteaux de fleurs d'oranger,,1,2
Gatteaux ; de fleur d'orange,gâteaux de fleurs d'oranger,,1,2
gaude,gaude,x,1,20
Gaude,gaude,x,5,20
Gaude et pastel,gaude et pastel,x,3,5
Gaude et Pastel,gaude et pastel,x,2,5
Gaude pour teinture,gaude pour teinture,x,3,4
"Gaude, pastel, sarrette",gaude pastel sarrette,x,2,2
Gauderon,goudron,,1,1066
gaudes,gaude,x,4,20
Gaudes,gaude,x,10,20
Gaudes de Sapin,gaude de sapin,,1,1
gaudes pour teinture,gaude pour teinture,x,1,4
gaudon,,,1,2599
gaudron,goudron,,71,1066
Gaudron,goudron,,774,1066
Gaudron Ou Gaudron,goudron ou gaudron,,1,1
gaudrons,goudron,,1,1066
Gauffres,gaufres,,2,2
Gauffrier,gaufriers,,2,5
Gauffriers,gaufriers,,1,5
gaufriers,gaufriers,,1,5
Gaufriers,gaufriers,,1,5
Gauldron,goudron,,1,1066
Gaule,gaules,,1,32
Gaule de 36 pieds,gaules de 36 pieds,,1,1
gaule de sapin,gaules de sapin,,1,31
Gaule petite,gaules petites,,1,1
gaules,gaules,,3,32
Gaules,gaules,,26,32
Gaules ; de sapin,gaules de sapin,,11,31
Gaules ; moyennes ; de sapin,gaules moyennes de sapin,,1,1
Gaules ; petites ; de sapin,gaules petites de sapin,,1,1
Gaules de peche,gaules de pêche,,1,1
gaules de sapin,gaules de sapin,,8,31
Gaules de sapin,gaules de sapin,,11,31
Gaules pour mâts a bateau,gaules pour mâts à bateaux,,1,1
gaulles,gaules,,2,32
gaulles de 30 pieds,gaules de trente pieds,,1,1
gaulles de bois,gaules de bois,,5,5
Gauvron,goudron,x,1,1066
Gauze,gaze,,1,39
Gay et brut,gayet brut,x,1,3
Gayet,gayet,x,1,1
Gayet brut,gayet brut,x,2,3
Gaz ; de soye,gaze de soie,,1,497
Gaz de Soye,gaze de soie,,1,497
gaze,gaze,,3,39
Gaze,gaze,,26,39
Gaze ; à pau de soye,gaze à peu de soie,,5,25
Gaze ; à peu,gaze à peu,,1,3
Gaze ; à peu ; de soye,gaze à peu de soie,,2,25
Gaze ; a peu de soie,gaze à peu de soie,,1,25
Gaze ; à peu de soie,gaze à peu de soie,,1,25
Gaze ; à peu de soye,gaze à peu de soie,,9,25
Gaze ; au 1/4 de soye,gaze au quart de soie,,4,15
Gaze ; au 6è de soye,gaze au sixième de soie,,1,10
Gaze ; au bas ; de soye,gaze au bas de soie,,1,1
Gaze ; au guars de soye,gaze au quart de soie,,1,15
Gaze ; au quart,gaze au quart,,21,22
Gaze ; au quart ; de soye,gaze au quart de soie,,3,15
Gaze ; au quart de soye,gaze au quart de soie,,6,15
Gaze ; au sixieme de soye,gaze au sixième de soie,,1,10
Gaze ; auquast,gaze au quart,x,1,22
Gaze ; crèpe,gaze crêpe,,1,3
Gaze ; crêpe,gaze crêpe,,1,3
Gaze ; d'argent,gaze d'argent,,2,5
Gaze ; d'argent ; faux,gaze d'argent faux,,1,1
Gaze ; d'or ; faux,gaze d'or faux,,1,1
Gaze ; de crèpes,gaze de crêpe,,1,1
Gaze ; de fil,gaze de fil,,23,56
Gaze ; de soie,gaze de soie,,7,497
Gaze ; de soie pure,gaze de soie pure,,2,3
gaze ; de soye,gaze de soie,,4,497
Gaze ; de soye,gaze de soie,,252,497
Gaze ; De soye,gaze de soie,,12,497
Gaze ; de soye ; au 6è de soye,gaze de soie au sixième de soie,,2,2
Gaze ; de soye ; au sixieme,gaze de soie au sixième,,1,1
Gaze ; de soye ; crèpe,gaze de soie crêpe,,1,2
Gaze ; de soye ; en mouchoir,gaze de soie en mouchoirs,,1,2
Gaze ; de soye ; en mouchoirs,gaze de soie en mouchoirs,,1,2
Gaze ; de soye et argent,gaze de soie et argent,,1,1
Gaze ; de soye et fil,gaze de soie et fil,,5,8
Gaze ; de soye or et argent,gaze de soie or et argent,,1,1
Gaze ; de toute autre sorte que soie pure,gaze de toute autre sorte que soie pure,,2,2
Gaze ; diverse,gaze diverse,,1,9
Gaze ; en crèpe,gaze en crêpe,,1,3
Gaze ; en cripe,gaze en crêpe,x,1,3
Gaze ; en mouchoirs,gaze en mouchoirs,,1,6
gaze ; fil et soye,gaze fil et soie,,1,8
Gaze ; fil et soye,gaze fil et soie,,2,8
Gaze ; marly,gaze Marly,,1,2
Gaze ; May soye,gaze mi soie,,2,24
Gaze ; mi soye,gaze mi soie,x,2,24
Gaze ; My foye,gaze mi soie,,9,24
Gaze ; or et argent,gaze or et argent,,7,9
Gaze ; peinte,gaze peinte,,1,5
Gaze ; soïe et fil,gaze soie et fil,,1,8
Gaze ; soye et fil,gaze soie et fil,,5,8
Gaze a fleurs,gaze à fleurs,,1,1
Gaze à peu,gaze à peu,,1,3
Gaze a peu de soye,gaze à peu de soie,,1,25
Gaze à peu de soye,gaze à peu de soie,,3,25
Gaze au 6e de soye,gaze au sixième de soie,,5,10
Gaze au 6eme de soie,gaze au sixième de soie,,1,10
Gaze au quart de soye,gaze au quart de soie,,1,15
Gaze au sixième de soye,gaze au sixième de soie,,1,10
Gaze blanche,gaze blanche,,1,1
Gaze crèpe,gaze crêpe,,1,3
Gaze d'argent,gaze d'argent,,3,5
gaze de fil,gaze de fil,,1,56
Gaze de fil,gaze de fil,,17,56
gaze de fil / aune,gaze de fil aune,,1,1
gaze de fil et soye,gaze de fil et soie,,1,1
Gaze de fil marly,gaze de fil Marly,,2,2
Gaze de fil sur soye,gaze de fil sur soie,,4,4
Gaze de fleuret,gaze de fleuret,,1,1
gaze de soie,gaze de soie,,1,497
Gaze de soie,gaze de soie,,20,497
Gaze de Soie,gaze de soie,,1,497
Gaze de soie pure,gaze de soie pure,,1,3
gaze de soye,gaze de soie,,5,497
Gaze de soye,gaze de soie,,138,497
Gaze de Soye,gaze de soie,,5,497
gaze de soye / aune,gaze de soie aune,,1,1
Gaze de soye brodée,gaze de soie brodée,,2,4
Gaze de soye crêpe,gaze de soie crêpe,,1,2
Gaze de soye en dorure,gaze de soie en dorure,,2,2
Gaze de Soye et argent faux,gaze de soie et argent faux,,1,1
gaze de soye et d'or en argent faux,gaze de soie et d'or en argent faux,,1,1
Gaze de soye et fil,gaze de soie et fil,,2,8
Gaze de soye et or fin,gaze de soie et or fin,,1,1
Gaze de soye fichus,gaze de soie fichus,,2,2
Gaze de soye Marly,gaze de soie Marly,,1,1
Gaze de soye or et argent fin,gaze de soie or et argent fin,,1,1
Gaze de soye platrée,gaze de soie plâtrée,,1,3
Gaze en argent faux,gaze en argent faux,,2,2
Gaze en mouchoirs,gaze en mouchoirs,,5,6
gaze et marli,gaze et Marly,,1,1
gaze et marli de fil,gaze et Marly de fil,,1,1
gaze et marli de fil / aune,gaze et marli de fil aune,,1,1
gaze et marli de soye,gaze et Marly de soie,,1,1
gaze et marli de soye mellés de fil d'or faux,gaze et Marly de soie mêlés de fil d'or faux,,1,1
Gaze fil et coton,gaze fil et coton,,2,2
Gaze fil et soye,gaze fil et soie,,4,8
gaze marly,gaze Marly,,1,2
Gaze Marly platré,gaze Marly plâtrée,,1,1
Gaze mélangée de soye,gaze mélangée de soie,,1,1
Gaze mouchoirs,gaze mouchoirs,,2,3
Gaze or et argent,gaze or et argent,,1,9
gaze or et argent faux,gaze or et argent faux,,1,2
Gaze or et argent faux,gaze or et argent faux,,1,2
Gaze or et argent fin,gaze or et argent fin,,1,1
Gaze paille,gaze paille,,1,1
gaze peinte,gaze peinte,,3,5
Gaze peinte,gaze peinte,,1,5
Gaze soye et dorure,gaze soie et dorure,,1,1
Gaze soye et fil,gaze soie et fil,,1,8
Gaze Soye et fil,gaze soie et fil,,1,8
gazes,gaze,,1,39
Gazes,gaze,,7,39
Gazes ; a peu de soye,gaze à peu de soie,,1,25
Gazes ; de fil,gaze de fil,,12,56
Gazes ; de fil et coton,gaze de fil et coton,,1,1
Gazes ; de soie,gaze de soie,,25,497
Gazes ; de soye,gaze de soie,,10,497
Gazes ; diverses,gaze diverse,,7,9
Gazes ; diverses ; mêlées ; de fil ; en soye,gaze diverse mêlée de fil en soie,,4,4
Gazes ; en crépe,gaze en crêpe,,1,3
Gazes ; mi soye,gaze mi soie,,1,24
Gazes ; my soie,gaze mi soie,,10,24
Gazes ; or et argent,gaze or et argent,,1,9
Gazes de fil,gaze de fil,,2,56
Gazes de mouchoirs,gaze de mouchoirs,,2,2
Gazes de soie,gaze de soie,,1,497
Gazes de soye,gaze de soie,,5,497
Gazes de Soye,gaze de soie,,2,497
Gazes de soye brodée,gaze de soie brodée,,1,4
Gazes de soye en fichus,gaze de soie en fichus,,2,2
Gazes de soye et dorure,gaze de soie et dorure,,1,1
Gazes de Soye et fil,gaze de soie et fil,,1,8
Gazes de soye platrées,gaze de soie plâtrée,,1,3
Gazes diverses,gaze diverse,,1,9
Gazes et crêpes,gaze et crêpe,,3,3
Gazes et crêpes de soie,gaze et crêpe de soie,,3,3
Gazes et mouchoirs de soie,gaze et mouchoirs de soie,,7,7
Gazes fil et soye,gaze fil et soie,,1,8
"Gazes, crèpes et mouchoirs de soie",gaze crêpe et mouchoirs de soie,,29,142
"Gazes, crêpes et mouchoirs de soie",gaze crêpe et mouchoirs de soie,,113,142
"Gazes, crèpes et rubans de soie",gaze crêpe et ruban de soie,,57,57
"Gazes, crêpes et tulles de soie",gaze crêpe et tulle de soie,,12,12
"Gazes, crêpes, mouchoirs",gaze crêpe mouchoirs,,6,6
geernaerts,geernaerts,x,1,1
Geingembre,gingembre,,2,556
Gélatine,gélatine,,1,1
gélinottes,gélinottes,,1,1
gellée de ?,gelée de ????,,1,1
Gemmes ; brutes ; Autres,gemmes brutes autres,,2,2
Gemmes ; brutes ; Diamants,gemmes brutes diamants,,2,2
Gemmes ; brutes ; Émeraudes,gemmes brutes émeraudes,,1,1
Gemmes ; brutes ; Rubis,gemmes brutes rubis,,1,1
Gemmes ; brutes ; Topazes,gemmes brutes topazes,,1,1
Gemmes ; taillées ; Autres,gemmes taillées autres,,2,2
Gemmes ; taillées ; Diamants,gemmes taillées diamants,,2,2
Gemmes ; taillées ; Émeraudes et opales,gemmes taillées émeraudes et opales,,1,1
Gemmes ; taillées ; Rubis,gemmes taillées rubis,,1,1
Gemmes ; taillées ; Saphirs,gemmes taillées saphirs,,1,1
Gemmes ; taillées ; Topazes,gemmes taillées topazes,,2,2
Gems,gemmes,x,1,1
Genain,genin,x,1,1
Genaux ; de chesne,genaux de chêne,,1,1
Gene fin,gene fin,x,1,1
Genestrole ou genêt des teinturiers,genestrole ou genêt des teinturiers,,4,6
Genests,genêts,,2,2
Genests ; pour salade,genêts pour salade,,1,3
Genests pour salade,genêts pour salade,,1,3
Genêtes pour salades,genêts pour salade,,1,3
genettes,genettes,,1,1
genevre,genièvre,x,1,13
genevre de Cologne,genièvre de Cologne,x,1,1
Geniève,genièvre,,1,13
genievre,genièvre,,1,13
Genievre,genièvre,,3,13
genièvre,genièvre,,1,13
Genièvre,genièvre,,4,13
Genievre ?,genièvre,,1,13
Genievre en coquelerrie,genièvre en coquelerrie,x,1,1
Genina,genina,x,1,3
Genine,genina,x,1,3
Genisses,génisses,,7,9
Génisses,génisses,,2,9
Génisses et bouvillons,génisses et bouvillons,,4,4
Genistrole ou genêt des teinturiers,genestrole ou genêt des teinturiers,,2,6
Geniva,genina,x,1,3
gensin,ginseng,x,1,39
Gensin,ginseng,x,2,39
gensine,ginseng,x,4,39
Gensine,ginseng,x,22,39
gensing,ginseng,,1,39
gensive,gensive,x,1,1
gentes,gentes,,1,2
Gentes,gentes,,1,2
Gentes ; de bois,gentes de bois,,2,2
Gentes ; de fer,gentes de fer,,1,1
Gentes de terre,gentes de terre,,1,1
Gentes pour roues,gentes pour roues,,1,1
gentiane,gentiane,,1,11
Gentiane,gentiane,,5,11
Gentianne,gentiane,,3,11
Gentienne,gentiane,,2,11
Gerle ; de terre,gerle de chêne,,1,2
Gerle de chene,gerle de chêne,,1,2
Gerles ; de terre,gerles de terre,x,5,49
Gerles ; de terres,gerles de terre,x,2,49
gerles de terre,gerles de terre,x,2,49
Gerles de terre,gerles de terre,x,38,49
Gerles de terres,gerles de terre,x,1,49
Geroffe,girofle,,8,853
geroffle,girofle,,32,853
Geroffle,girofle,,388,853
Gerofflé,girofle,,3,853
géroffle,girofle,,2,853
Géroffle,girofle,,7,853
Geroffle confit,girofle confite,,1,2
geroffles,girofle,,1,853
Geroffles,girofle,,1,853
Gerofflfe,girofle,,1,853
gerofle,girofle,,10,853
Gerofle,girofle,,135,853
Geroflé,girofle,,1,853
gérofle,girofle,,1,853
Gérofle,girofle,,5,853
Gerofle ; confit,girofle confite,,1,2
Gerofles,girofle,,2,853
Gertes ; de terre,gerles de terre,x,1,49
Geziga,,,1,2599
Gibecieres,gibecières,,2,2
Gibecières ; par douzaines,gibecières par douzaines,,1,1
Giberne avec le baudrier,gibernes avec les baudriers,,1,1
gibernes et aversacs,gibernes et havresacs,,1,1
Gibernes et ceinturons,gibernes et ceinturons,,3,3
Giberue,,,1,2599
Gibier,gibier,,49,56
Gibier ; alloüettes,gibier alouettes,,1,1
Gibier ; becasses,gibier bécasses,,1,1
Gibier ; becassines,gibier bécassines,,1,1
Gibier ; cailles,gibier cailles,,1,2
Gibier ; divers,gibier divers,,4,5
Gibier ; lapins,gibier lapins,,1,1
Gibier ; perdrix,gibier perdrix,,1,4
Gibier ; pluviers,gibier pluviers,,1,1
Gibier ; sarcelles,gibier sarcelles,,1,1
Gibier cailles,gibier cailles,,1,2
Gibier divers,gibier divers,,1,5
Gibier en allouettes,gibier en alouettes,,1,1
Gibier lievres,gibier lièvres,,1,1
Gibier perdrix,gibier perdrix,,3,4
"Gibier, volailles et tortues vivantes",gibier volailles et tortues vivantes,,6,6
gibiers,gibier,,1,56
Gibiers,gibier,,6,56
gigembre,gingembre,,1,556
Gilet de coton en filozelle,gilets de coton en filoselle,,1,1
Gilet de soye en dorure,gilets de soie en dorure,,1,1
Gilets,gilets,,1,13
Gilets a negres,gilets à nègre,,3,4
Gilets de laine,gilets de laine,,4,13
Gilets de moleton,gilets de molleton,,1,3
Gilets de toile,gilets de toile,,1,2
gillet de laine,gilets de laine,,1,13
Gillet de molton,gilets de molleton,,1,3
Gillet de soye,gilets de soie,,2,2
gillet de toile,gilets de toile,,1,2
gillets,gilets,,1,13
Gillets,gilets,,11,13
Gillets ; de demitte,gilets de demitte,,1,2
Gillets ; de laine,gilets de laine,,1,13
gillets à nègres,gilets à nègre,,1,4
Gillets de demitte,gilets de demitte,,1,2
gillets de laine,gilets de laine,,2,13
Gillets de laine,gilets de laine,,5,13
Gillets de molton,gilets de molleton,,1,3
gimgembre,gingembre,,3,556
Gimgembre,gingembre,,2,556
Gingamp,guingan,,1,209
gingamps,guingan,,1,209
Gingan,guingan,,3,209
Gingans,guingan,,1,209
Gingans de Pontichery,guingan de Pondichéry,,1,22
gingas,guingan,,3,209
Gingas,guingan,,5,209
gingas de fil,guingan de fil,,1,3
gingembre,gingembre,,38,556
Gingembre,gingembre,,508,556
Gingembre ; sec,gingembre sec,,4,19
gingembre confit,gingembre confit,,1,11
Gingembre confit,gingembre confit,,9,11
Gingembre conflit,gingembre confit,,1,11
Gingembre sec,gingembre sec,,15,19
Gingimbre,gingembre,,1,556
Ginguamp,guingan,,1,209
Ginguan,guingan,,1,209
Ginsin,ginseng,,1,39
Ginsine,ginseng,,4,39
Ginsiné,ginseng,,1,39
Ginssin,ginseng,x,1,39
Ginza,ginza,x,2,2
Giomme commune,gomme commune,,1,89
Girabeau ; de sené,grabeau de séné,x,1,125
Girandolles,girandolles,,2,2
giroffle,girofle,,3,853
Giroffle,girofle,,18,853
girofle,girofle,,1,853
Girofle,girofle,,227,853
Girofle ; clous,clous de girofle,,3,12
Girofle ; clous (fleurs),clous de girofle fleurs,,5,5
Girofle ; clous (fleurs) ; des entrepôts,clous de girofle fleurs des entrepôts,,1,1
Girofle ; Griffes (pédicules),girofle griffes pédicules,,1,1
Girofle ; griffes et pédicules,girofle griffes et pédicules,,1,1
Girofle (Clous de),clous de girofle,,1,12
Girofle (clous et griffes),clous de girofle et griffes,,3,3
"Girofle, muscade",girofle muscade,,10,10
Girofles,girofle,,7,853
Girouettes,girouettes,,1,1
gites de 4 pouces quarrés,gites de 4 pouces carrés,x,1,1
gites de 4 pouces sur 14 pieds de longeur,gites de 4 pouces sur 14 pieds de longueur,x,1,1
gites de 4 pouces sur 33 pieds de longeur,gites de 4 pouces sur 33 pieds de longueur,x,1,1
gites de 4 pouces sur 7 pieds de longeur,gites de 4 pouces sur 7 pieds de longueur,x,1,1
gites de 5 à 7 pouces sur 56 pieds de longeur,gites de 5 à 7 pouces sur 56 pieds de longueur,x,1,1
gites de sapin,gites de sapin,x,1,1
gites ou côtes de sommiers,gites ou côtes de sommiers,x,1,1
gites ou côtes de sommiers de 1 pouce,gites ou côtes de sommiers de 1 pouce,x,1,1
gites ou côtes de sommiers de 2 pouces,gites ou côtes de sommiers de 2 pouces,x,1,1
glacé,glacé,,1,1
Glace ; de miroir,glaces de miroirs,,6,84
Glace de miroirs,glaces de miroirs,,5,84
Glace de miroirs grandes,glaces de miroirs grandes,,1,1
Glace et miroir,glaces et miroirs,,2,295
glaces,glaces,,3,131
Glaces,glaces,,128,131
Glaces ; ?,glaces ???,,1,1
Glaces ; a miroirs,glaces à miroirs,,1,1
Glaces ; au Tain,glaces au tain,,1,2
Glaces ; de ? crud ; ?,glaces de ??? cru ???,,2,2
Glaces ; de ? d'oeuf ; ?,glaces de ??? d'œuf ???,,1,1
Glaces ; de carosse,glaces de carrosses,,1,2
Glaces ; de carosses,glaces de carrosses,,1,2
Glaces ; de miroir,glaces de miroirs,,10,84
Glaces ; de miroirs,glaces de miroirs,,7,84
Glaces ; de mirroir,glaces de miroirs,,1,84
Glaces ; pour estampes,glaces pour estampes,,1,2
Glaces a miroirs de 3 pieds,glaces à miroirs de 3 pieds,,1,1
Glaces au tain,glaces au tain,,1,2
Glaces avec cadre doré,glaces avec cadres dorés,,5,5
glaces d'en dessous une aune,glaces d'en dessous 1 aune,,1,1
glaces d'endessous de 1/4 aune ou petits miroirs,glaces d'en dessous de 1/4 aune ou petits miroirs,,1,1
glaces d'une aune et en dessus,glaces d'1 aune et en dessus,,1,1
glaces de 1 1/2 aunes d'hauteur,glaces de 1 1/2 aunes de hauteur,,1,1
glaces de 1 1/4 aunes d'hauteur,glaces de 1 1/4 aunes de hauteur,,1,1
glaces de 1 1/8 aunes d'hauteur,glaces de 1 1/8 aunes de hauteur,,1,1
glaces de 1 aune d'hauteur,glaces de 1 aune de hauteur,,1,1
glaces de 1/2 aune d'hauteur,glaces de 1/2 aune de hauteur,,1,1
glaces de 1/4 aune d'hauteur,glaces de 1/4 aune de hauteur,,1,1
glaces de 2 1/2 aunes d'hauteur,glaces de 2 1/2 aunes de hauteur,,1,1
glaces de 3/4 aune d'hauteur,glaces de 3/4 aune de hauteur,,1,1
glaces de 3/8 aune d'hauteur,glaces de 3/8 aune de hauteur,,1,1
glaces de 5/8 aune d'hauteur,glaces de 5/8 aune de hauteur,,1,1
glaces de 7/8 aune d'hauteur,glaces de 7/8 aune de hauteur,,1,1
Glaces de la manufacture de Paris de différentes grandeurs,glaces de la manufacture de Paris de différentes grandeurs,,1,1
Glaces de miroir,glaces de miroirs,,17,84
Glaces de miroir ; de 13 pouces,glaces de miroirs de 13 pouces,,1,1
glaces de miroirs,glaces de miroirs,,2,84
Glaces de miroirs,glaces de miroirs,,36,84
glaces de miroirs d'une aune et en dessus,glaces de miroirs d'1 aune et en dessus,,1,1
glaces en dessous d'une aune,glaces en dessous d'1 aune,,1,1
glaces en dessus d'une aune,glaces en dessus d'1 aune,,1,1
glaces en valeur,glaces en valeur,,1,1
glaces encadrées,glaces encadrées,,2,7
Glaces encadrées,glaces encadrées,,5,7
Glaces et miroir,glaces et miroirs,,1,295
Glaces et miroires,glaces et miroirs,,13,295
Glaces et miroirs,glaces et miroirs,,266,295
Glaces et mirroirs,glaces et miroirs,,12,295
Glaces et mirrois,glaces et miroirs,,1,295
Glaces faux teint,glaces faux teint,,1,1
glaces miroirs,glaces miroirs,,1,1
glaces nues,glaces nues,,4,7
Glaces nues,glaces nues,,3,7
Glaces petits miroirs,glaces petits miroirs,,1,1
glaces pour carosses,glaces pour carrosses,,1,1
glaces pour estampes,glaces pour estampes,,1,2
glaces pour miroirs,glaces pour miroirs,,1,1
Gland,glands,,1,2
Glands ; d'or,glands d'or,,1,1
glands de chêne,glands de chêne,,1,1
Glans,glands,,1,2
Globelets ; de cristal,gobelets de cristal,,1,34
Globelets ; de fayaux,gobelets de fayaux,x,1,1
glu,glu,,2,69
